# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_model
# start_datetime = 2022-03-09 16:33:25 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc4ba654d3.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00492524
# Diagonal elements of inverse mass matrix:
# 0.186017, 0.107232, 0.10035, 0.100853, 0.0188737, 0.0095576, 0.22525, 0.120409, 0.407737, 0.394815, 0.319467, 0.307088, 0.288724, 0.497523, 0.356162, 0.318375, 0.324096, 0.315433, 0.303536, 0.340423, 0.517436, 0.306794, 0.327542, 0.305802, 0.273682, 0.383667, 0.274267, 0.353886, 0.294982, 0.418538, 0.31892, 0.317879, 0.282772, 0.282416, 0.349131, 0.405314, 0.323434, 0.529832, 0.308044, 0.29478, 0.214331, 0.00641071, 0.220167, 0.222329, 0.219752, 0.221361, 0.221736, 0.221108, 0.220459, 0.221168, 0.217192, 0.221515, 0.220167, 0.220902, 0.222205, 0.219486, 0.224419, 0.220265, 0.22117, 0.224389, 0.221899, 0.219109, 0.222347, 0.220178, 0.222298, 0.222842, 0.220412, 0.221714, 0.223223, 0.218229, 0.2222, 0.220255, 0.2205, 0.221068, 0.220868, 0.223245, 0.222119, 0.219396, 0.221704, 0.221286, 0.2231, 0.219589, 0.221333, 0.223985, 0.224179, 0.223225, 0.221516, 0.221621, 0.22066, 0.220452, 0.220303, 0.222473, 0.218883, 0.222308, 0.223411, 0.218211, 0.218977, 0.218031, 0.221427, 0.219546, 0.218491, 0.219956, 0.221817, 0.220255, 0.21962, 0.222332, 0.220926, 0.221579, 0.219628, 0.219762, 0.219991, 0.219166, 0.222993, 0.221127, 0.222632, 0.221083, 0.222804, 0.223807, 0.219754, 0.221001, 0.221248, 0.219172, 0.234313, 1.71159, 1.82399, 1.68373, 1.56937, 1.40247, 1.70473, 1.77782, 1.41223, 1.51247, 1.43982, 1.48991, 1.72642, 1.56187, 1.4174, 1.5938, 1.81475, 1.64875, 1.53643, 1.7618, 1.54558, 1.70393, 1.74107, 1.75865, 1.54352, 1.71187, 1.57215, 1.56755, 1.55842, 1.87474, 1.82448, 1.58149, 1.55562, 0.218831, 0.219815, 0.219091, 0.219262, 0.220184, 0.21884, 0.221232, 0.219524, 0.220329, 0.219584, 0.220571, 0.219184, 0.219945, 0.219482, 0.219237, 0.219882, 0.219517, 0.218586, 0.218607, 0.219227, 0.220988, 0.219266, 0.220448, 0.220798, 0.220418, 0.220911, 0.220806, 0.219944, 0.218841, 0.219147, 0.219699, 0.220459, 7.96919e-05
1783.93,0.987291,0.00492524,9,511,0,-1690.26,0.548437,0.133923,0.248677,0.480519,-0.439695,0.00707328,-0.224062,0.733488,-0.992615,-1.1637,-0.072612,-0.204693,-0.0989647,0.632676,0.301904,-0.29455,0.505123,0.220972,-0.70987,-0.518047,1.22745,-0.357131,0.486496,0.35752,-0.205907,0.0576606,-0.414885,-0.770999,-0.563581,-0.321782,-1.36062,-0.670208,-1.40983,-0.591363,-0.166114,0.178355,-0.934668,0.676991,-1.0486,-0.279269,-0.56028,0.608036,-0.362279,-0.646456,-1.339,-0.171559,-0.84949,-0.376261,-1.0998,-0.243184,-0.480482,-0.90297,-0.6735,-0.811984,-0.0464445,0.167486,-0.14395,-0.799261,-1.05414,-0.759629,-1.01652,-0.318992,-1.0686,-0.439367,-0.953235,-1.47294,-1.03229,-1.1038,0.376842,-0.761331,-0.952569,-1.72326,-1.00068,-1.25322,-0.818126,-1.41091,0.781497,-0.338744,-0.303371,-0.718222,-0.222337,-1.95272,-0.331788,-0.826886,-0.549787,-0.108843,-0.275937,0.283394,-0.438134,-0.261101,-1.24051,-0.66509,-0.267089,-0.685618,-0.897218,-0.548139,0.0274897,0.364388,-1.03396,-0.00175101,-1.01132,-0.292092,0.588118,0.290186,-0.77327,-0.618558,-1.19942,-0.563875,-0.564281,-0.831114,-1.13579,-0.0186801,-1.31816,-0.925976,-0.662698,-1.1542,0.144008,0.216663,0.241804,-0.500713,-0.66156,-0.996442,3.81432,0.168679,0.149637,0.0608004,0.289376,0.333812,0.40665,0.116919,0.0603327,0.210898,0.186388,0.820344,0.801963,0.205653,0.0743461,0.366678,0.0564304,0.319092,0.57678,0.0163376,0.274449,1.26008,0.379096,0.0264693,0.0447276,0.110839,0.17858,0.219796,0.138538,0.102197,0.051161,0.580029,0.237776,0.571125,0.0410026,0.697157,1.1396,0.635951,2.36698,1.06686,1.26176,1.26975,1.29647,0.136022,0.335403,2.10204,0.276291,0.479557,0.622222,0.496917,1.55622,0.251921,0.254999,0.67543,-0.476942,-0.0330393,-0.517739,-0.382673,0.0745397,0.492554,1.07553,-0.438715,1.61235,-0.356162,0.58844,0.461304
1790.87,0.994818,0.00492524,9,1023,0,-1701.6,0.163734,0.186893,0.50751,-0.0437977,-0.242309,0.147617,-0.173991,0.483742,-0.767726,-0.23825,0.67103,0.650135,0.240542,0.964265,0.593521,0.201527,0.350123,0.0756399,-0.0142073,-0.035987,-0.172229,-0.358025,0.0138256,0.224504,-0.364139,0.75023,-0.32035,-0.360394,-0.089364,-0.853452,0.0810531,-0.436968,-0.042958,0.0626044,0.371193,-0.202238,-0.177132,0.645403,-0.175147,-0.006425,-0.706871,0.503985,-0.47443,-0.760384,-1.31776,-0.137976,-0.939961,-0.394266,-1.22173,-0.446672,-0.661385,-0.965579,-0.697285,-0.94332,-0.142524,0.0455387,-0.24346,-0.916674,-1.28878,-0.983445,-1.14985,-0.406066,-1.23462,-0.564933,-1.07924,-1.62097,-1.21108,-1.14804,0.231725,-0.838278,-1.00986,-1.82834,-1.06541,-1.3433,-0.96368,-1.46168,0.65343,-0.348835,-0.389878,-0.794207,-0.335676,-2.03699,-0.405929,-0.724896,-0.751632,-0.249254,-0.398727,0.200488,-0.512959,-0.273029,-1.36969,-0.788428,-0.360508,-0.728492,-1.09127,-0.558313,-0.074016,0.176172,-1.10148,-0.241023,-0.975868,-0.403776,0.386705,0.11891,-0.854453,-0.677898,-1.2976,-0.769295,-0.649473,-0.830271,-1.22847,-0.0772073,-1.43998,-1.09567,-0.857551,-1.32257,-0.0319747,0.0833867,0.186692,-0.641812,-0.850378,-1.22702,2.04866,0.115955,0.756189,0.931477,0.590244,0.420697,0.356967,0.109012,0.26192,0.0854787,0.998739,0.493594,0.548449,1.49445,0.210526,0.774652,0.126977,0.27532,0.522472,0.0579729,0.280182,0.0320815,0.232507,0.320878,0.227098,0.525338,0.0891185,0.210614,0.539575,0.103029,0.358962,0.355711,0.109295,0.688355,0.138631,0.772069,1.14607,0.728606,2.48894,1.13391,1.32048,1.36275,1.39289,0.300051,0.496907,2.17338,0.276316,0.469067,0.825074,0.555435,1.70898,0.379975,0.423006,0.853031,-0.432054,0.110842,-0.474114,-0.234816,0.196511,0.637179,1.1405,-0.285857,1.75838,-0.225255,0.629362,0.464333
1769.28,0.976144,0.00492524,9,545,1,-1675.42,0.0396675,-0.127419,0.300706,-0.253649,-0.473661,0.33165,-0.149072,0.459557,-0.505733,-0.667989,-0.0824666,0.360984,0.438429,0.702768,0.289146,-0.154535,-0.620398,0.309798,0.0307587,-0.340702,1.05884,-0.154456,-0.00342778,0.663598,0.085935,0.535732,-0.461037,-0.195714,0.0886598,-0.820207,0.0980349,-0.22916,0.0212304,0.974857,0.00490738,0.0014718,-0.0786801,0.657583,-0.243035,0.0373965,-0.838937,0.48602,-0.493921,-0.827672,-1.47232,-0.392423,-0.983413,-0.519865,-1.17529,-0.41605,-0.706678,-1.17631,-0.803002,-0.913749,-0.285708,0.0122793,-0.304135,-0.940076,-1.2404,-0.835552,-1.10512,-0.343113,-1.28064,-0.653394,-1.19053,-1.63789,-1.2882,-1.22456,0.261342,-0.923045,-1.07843,-1.95847,-1.18591,-1.43369,-1.11904,-1.49143,0.53904,-0.435136,-0.468539,-0.849217,-0.510013,-2.05413,-0.503225,-0.924444,-0.61634,-0.420774,-0.562388,0.0674818,-0.566692,-0.476736,-1.29553,-0.898638,-0.404772,-0.824985,-1.19937,-0.60248,-0.104062,0.247712,-1.21816,-0.14259,-1.10528,-0.418094,0.318278,0.166512,-1.01794,-0.758325,-1.34124,-0.760883,-0.781461,-0.828443,-1.38126,-0.0918858,-1.41336,-1.074,-0.796939,-1.36388,-0.093355,-0.0490335,0.0171347,-0.710059,-0.797935,-1.0536,1.04063,0.883645,0.888328,0.53266,0.26771,0.0585594,0.149415,0.837047,0.310172,1.51666,0.461731,0.120421,2.03306,0.437535,0.349163,0.0308185,0.0749924,0.105702,0.108247,0.833143,3.93374,0.389462,0.196262,0.489938,0.720781,0.345708,0.419205,0.179415,0.557747,0.224135,0.349738,0.258268,0.290813,0.71853,0.258373,0.808235,1.24225,0.720601,2.56852,1.29282,1.33848,1.46547,1.4465,0.361915,0.410088,2.22978,0.45585,0.590559,0.87259,0.697404,1.74157,0.360445,0.405871,0.866683,-0.415983,0.144015,-0.329032,-0.204773,0.229224,0.632442,1.23809,-0.34653,1.80784,-0.205935,0.676128,0.464119
1772.66,0.98875,0.00492524,9,511,0,-1665.49,0.523931,0.682056,0.0177618,-0.249574,-0.0832524,0.255196,-0.648821,0.771314,-1.35855,-1.84273,-0.0234595,-0.184927,-0.765959,0.40091,0.108238,-0.0616905,-0.654622,-0.504215,-0.724409,-1.34365,-0.0939773,-0.372032,-0.482425,0.41795,-0.0116259,0.0709398,-1.3609,-0.880071,0.378247,-1.00491,-0.444609,-0.417135,-0.395576,-0.073125,-0.503682,0.072013,-0.924764,0.37668,-1.72842,-0.0751195,-0.751349,0.590486,-0.565483,-0.864567,-1.41327,-0.294907,-1.02301,-0.517431,-1.28045,-0.505941,-0.786425,-1.05788,-0.778203,-1.05275,-0.290614,0.00604586,-0.390333,-0.967858,-1.28902,-0.920871,-1.22018,-0.546078,-1.26232,-0.594378,-1.02094,-1.75787,-1.2045,-1.21797,0.219346,-0.903289,-1.07925,-2.06076,-1.24591,-1.51118,-1.15171,-1.58408,0.583971,-0.412261,-0.443207,-0.862852,-0.440681,-2.16555,-0.556464,-0.872074,-0.827313,-0.306365,-0.550728,0.0431725,-0.415352,-0.515218,-1.44881,-0.877398,-0.308995,-0.851978,-1.16987,-0.722825,-0.0180055,0.224043,-1.16599,-0.190309,-1.19099,-0.503544,0.349337,0.0790225,-0.979112,-0.847006,-1.38667,-0.893477,-0.796823,-0.946975,-1.43313,-0.155682,-1.52703,-1.1803,-0.988341,-1.3737,-0.143817,0.0338406,0.092846,-0.724947,-0.918079,-1.2345,2.27806,0.0638583,0.577746,0.72362,0.150601,0.106081,0.0463996,0.0280968,0.641177,0.52105,0.197111,0.784065,0.857059,1.30862,0.407165,1.3566,0.183519,0.116696,2.42453,0.823979,0.0212449,0.457604,1.13704,0.0244011,0.300183,0.423806,0.49577,0.0865782,0.332328,0.0191618,0.400754,0.803698,0.054601,0.77283,0.323569,0.864541,1.27375,0.80177,2.67948,1.30174,1.38787,1.51318,1.5301,0.416041,0.557553,2.21933,0.381355,0.61423,0.930036,0.660523,1.75881,0.433623,0.438019,0.882891,-0.317964,0.148262,-0.386913,-0.18795,0.280316,0.685962,1.27354,-0.264898,1.81558,-0.152678,0.733488,0.454141
1788.56,0.989951,0.00492524,9,1023,0,-1680.93,1.05423,-0.343987,-0.40005,-0.429454,-0.263989,0.253402,-0.466422,0.362619,-1.22637,-1.28409,-0.757,0.18351,-0.386906,-0.0652674,-0.341187,-0.231889,0.238656,-0.464524,-0.804895,-0.481604,-1.17484,-0.3076,-0.48777,0.0725643,-0.567515,-0.660065,-0.422806,-1.03622,0.0560856,-1.15595,-0.761673,-0.52301,-0.643508,-0.577984,-0.525849,-0.0881781,-0.809379,-0.567026,-1.19236,-0.456952,-0.848293,0.595147,-0.485422,-0.827038,-1.53881,-0.315997,-1.06778,-0.57295,-1.34486,-0.499862,-0.713268,-1.11064,-0.879251,-1.07123,-0.287209,-0.155508,-0.304666,-1.08022,-1.34918,-1.07558,-1.19048,-0.440109,-1.39359,-0.652156,-1.2261,-1.65619,-1.41806,-1.26454,0.092241,-0.991525,-1.11833,-1.8359,-1.23158,-1.51788,-1.05332,-1.46894,0.433673,-0.565309,-0.592394,-0.858208,-0.522787,-2.06737,-0.546154,-1.00469,-0.694077,-0.509712,-0.593998,0.155705,-0.752254,-0.399698,-1.43039,-0.832517,-0.446944,-0.873174,-1.24955,-0.637679,-0.260928,0.0953362,-1.26093,-0.264189,-1.0796,-0.486901,0.300925,0.115858,-0.991449,-0.760098,-1.30697,-0.783795,-0.836834,-0.925958,-1.34944,-0.171304,-1.48622,-1.16788,-0.906258,-1.41647,-0.105924,-0.0310933,0.00831515,-0.825252,-0.774956,-1.22541,2.3356,0.153684,0.349323,0.327155,0.221809,0.255643,0.944907,0.716257,0.822026,0.455212,0.338265,0.193,0.510271,1.40539,0.382243,0.155076,0.320817,0.196887,0.931006,0.0934744,0.183879,0.311704,0.0487476,0.0212107,0.0823188,0.235216,0.528022,0.294007,0.0438345,0.198853,0.936609,0.345343,0.11815,0.780167,0.314975,0.846348,1.30374,0.845769,2.58149,1.31163,1.40876,1.48217,1.53617,0.414795,0.533469,2.2623,0.452163,0.578946,0.95499,0.677426,1.81314,0.434445,0.478792,0.892585,-0.320276,0.276403,-0.344829,-0.163125,0.265253,0.716564,1.29258,-0.250394,1.84779,-0.164529,0.732097,0.463294
1782.81,0.989083,0.00492524,9,511,0,-1679.99,0.96192,-0.0743423,-0.0367198,-0.506297,-0.12109,0.195273,-0.524201,0.370958,-1.02577,-0.864181,-0.704963,0.228992,-0.413054,-0.176701,-0.842442,-0.802737,-0.90978,-0.448234,-0.407345,-0.695538,0.257659,-0.215677,-0.572121,-0.0849305,-0.274159,-0.233745,-0.509275,-0.277539,-0.757753,-1.0517,-0.567436,-0.730245,-0.930055,-0.190885,-0.520766,0.0755395,-0.787379,-0.295409,-0.388954,-0.587872,-0.792855,0.537992,-0.436674,-0.811428,-1.53562,-0.31094,-1.02069,-0.555632,-1.38551,-0.45798,-0.666183,-1.07586,-0.87662,-1.06788,-0.233881,-0.09457,-0.263607,-1.02254,-1.35519,-1.02506,-1.20767,-0.419281,-1.43396,-0.655734,-1.2279,-1.72026,-1.39098,-1.22008,0.131836,-0.925453,-1.11335,-1.83955,-1.23059,-1.46895,-1.03094,-1.41065,0.437618,-0.513122,-0.566664,-0.866752,-0.456701,-2.09932,-0.528593,-0.974563,-0.618716,-0.457073,-0.584224,0.176639,-0.686925,-0.361137,-1.43393,-0.836424,-0.446084,-0.870266,-1.18412,-0.718352,-0.20956,0.158206,-1.23133,-0.272795,-1.08906,-0.435475,0.343752,0.111874,-0.960174,-0.766066,-1.33852,-0.746779,-0.845783,-0.88383,-1.36939,-0.204285,-1.4871,-1.20012,-0.852928,-1.4169,-0.0823935,-0.0180105,-0.00173603,-0.865255,-0.772749,-1.25896,2.10724,0.51413,0.448118,0.0515108,0.117604,0.647049,1.49942,0.999842,0.529042,0.481939,0.618839,0.223572,0.433772,0.562711,0.877331,0.120965,0.0744572,0.697963,0.603922,0.345472,1.31405,0.391244,0.309809,0.277883,0.121591,0.271561,0.0824829,0.286322,0.0994436,0.107048,1.30766,0.385648,0.623351,0.720764,0.269216,0.818912,1.28716,0.857972,2.56887,1.28008,1.39047,1.4914,1.49622,0.426296,0.489166,2.2457,0.432035,0.661682,0.920894,0.674883,1.82589,0.439743,0.442081,0.904016,-0.285147,0.20571,-0.290148,-0.201717,0.243436,0.715899,1.20768,-0.201517,1.83877,-0.150976,0.709284,0.46088
