# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_model
# start_datetime = 2022-03-05 09:03:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c17304dcd.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00176814
# Diagonal elements of inverse mass matrix:
# 0.2075, 0.122333, 0.0947689, 0.104768, 0.0133583, 0.00625327, 0.157972, 0.0695554, 0.23595, 0.245028, 0.252214, 0.254642, 0.421824, 0.243, 0.213839, 0.229013, 0.215783, 0.228094, 0.236257, 0.239864, 0.254098, 0.210167, 0.219407, 0.228064, 0.224721, 0.229859, 0.248767, 0.22184, 0.199101, 0.233164, 0.251104, 0.257517, 0.228076, 0.212547, 0.234031, 0.240243, 0.197811, 0.229605, 0.212061, 0.269002, 0.182651, 0.00743222, 0.184077, 0.183644, 0.185514, 0.187399, 0.185261, 0.183832, 0.188205, 0.184136, 0.184575, 0.183832, 0.183697, 0.186652, 0.184528, 0.183327, 0.185746, 0.186396, 0.186033, 0.185425, 0.184689, 0.184467, 0.184676, 0.185142, 0.186136, 0.186191, 0.185768, 0.18508, 0.183748, 0.186741, 0.186321, 0.18582, 0.183337, 0.184072, 0.187057, 0.184211, 0.185748, 0.184439, 0.184771, 0.18586, 0.184255, 0.184345, 0.184564, 0.186537, 0.184085, 0.185046, 0.184756, 0.18443, 0.184328, 0.187044, 0.184641, 0.18378, 0.185714, 0.185508, 0.18474, 0.186592, 0.184436, 0.18526, 0.186512, 0.18437, 0.186203, 0.185119, 0.185395, 0.186087, 0.186471, 0.185785, 0.18825, 0.186166, 0.185726, 0.182265, 0.183619, 0.184972, 0.186259, 0.18259, 0.183095, 0.186669, 0.184697, 0.185237, 0.186054, 0.183985, 0.186487, 0.181864, 0.210501, 1.4904, 1.68221, 1.67887, 1.65426, 1.12637, 1.57273, 1.48953, 1.51925, 2.09351, 1.70099, 1.63744, 1.44364, 1.54309, 1.39665, 1.50539, 1.41852, 1.4324, 1.53583, 1.50203, 1.43844, 1.62414, 1.76303, 1.76001, 1.61333, 1.45603, 1.66526, 1.6999, 1.52536, 1.38478, 1.71002, 1.52068, 1.58097, 0.182975, 0.183602, 0.18335, 0.183486, 0.183484, 0.184013, 0.18277, 0.182746, 0.183125, 0.184296, 0.182931, 0.183553, 0.183834, 0.183647, 0.182896, 0.184343, 0.183559, 0.183402, 0.183376, 0.182416, 0.18288, 0.183563, 0.18266, 0.182766, 0.181793, 0.184092, 0.185292, 0.185033, 0.183872, 0.18383, 0.182672, 0.181737, 8.08459e-05
1732.16,0.997783,0.00176814,11,4095,0,-1635,0.441423,0.343403,-0.530594,-0.875664,-0.0636737,-0.0515794,-0.474492,0.496464,-0.232732,-0.0092567,0.00660016,-0.940621,0.581597,-0.896523,-1.04339,0.189234,-0.310529,-0.221329,-0.6703,-1.03243,-0.944064,0.0557207,-0.614564,-0.169836,-0.0113191,-0.822074,-0.284257,-0.037273,-0.379417,-0.905716,-0.952316,-1.12142,-0.322731,-0.315386,-0.314761,-0.0440575,-0.194893,-0.493698,-0.20444,0.0250931,0.353775,0.61481,0.623643,0.241277,-0.46431,0.838968,0.165585,0.684792,-0.0604981,0.833085,0.268287,-0.0354139,0.361556,0.149976,0.880567,1.06119,0.83925,0.222084,-0.114259,0.347477,-0.179385,0.728937,-0.138962,0.590541,-0.0449633,-0.543255,-0.19695,-0.168483,1.36812,0.26949,0.0507528,-0.850751,-0.203924,-0.242142,0.1554,-0.519004,1.70764,0.591152,0.626347,0.398064,0.689344,-0.970756,0.63655,0.286541,0.402703,0.758861,0.656603,1.23655,0.534518,0.672079,-0.305283,0.25959,0.668788,0.177136,-0.114783,0.467381,1.03939,1.44743,-0.000241964,1.10014,-0.00640475,0.664369,1.54732,1.28776,-0.047279,0.230092,-0.230492,0.401396,0.300854,0.13348,-0.277092,1.12397,-0.301674,0.0329832,0.219373,-0.0940807,0.841479,1.10656,1.04616,0.281485,0.249469,-0.113996,3.72785,0.0612252,0.0725177,0.390711,0.381413,0.360586,0.43783,0.628124,0.473073,0.447451,0.0359421,0.339575,0.294091,0.0215046,0.270319,0.511181,0.0517363,0.0317677,0.0260981,0.419785,0.0434582,0.0335007,0.0284396,0.0533326,0.0993095,0.309495,0.209748,0.510694,0.0675366,0.185682,0.180866,0.208322,0.249898,0.508998,0.74608,0.740567,-0.593007,1.416,0.24498,0.191133,0.171556,0.327941,0.493161,-0.441562,-0.345764,-1.10925,-0.179628,-0.550817,-0.415784,-0.148511,-0.982699,0.0658926,-0.246891,-0.575346,-1.15728,-1.4236,-1.75569,-0.533969,-1.14524,-0.704018,-0.717671,-0.973729,-1.24402,-0.802553,-0.18139,0.460333
1732.69,0.994251,0.00176814,11,2047,0,-1657.16,-0.433467,0.321856,-0.0238439,-0.430935,-0.106598,0.229476,-0.369005,0.505235,-0.217406,0.107143,0.0321325,-0.688023,-0.0394285,-0.0397485,-0.117997,-0.291373,-0.367405,-0.207908,-0.658767,-0.83442,-0.843429,-0.147756,-0.241619,0.00749049,0.0783628,-0.967043,0.263124,-0.541415,-0.531811,-0.923661,-0.920701,-0.524384,0.121931,-0.306274,-0.683897,-0.530364,-0.625364,-1.25655,-0.343899,0.217864,0.431887,0.560799,0.618009,0.32378,-0.41773,0.958444,0.124946,0.491823,-0.216498,0.758362,0.391138,-0.00998437,0.298133,0.124443,0.739022,1.12357,0.757276,0.207821,-0.136163,0.119433,-0.113022,0.65636,-0.197575,0.405769,-0.0292308,-0.696436,-0.130276,-0.0225133,1.29346,0.184518,0.141787,-0.785037,-0.0435871,-0.325073,0.027541,-0.473446,1.80128,0.674406,0.517856,0.239473,0.711283,-1.00422,0.720395,0.34664,0.335766,0.797548,0.664787,1.19504,0.398764,0.700253,-0.301304,0.415639,0.669481,0.205836,-0.237738,0.336381,1.05699,1.22905,0.049424,1.22107,-0.10372,0.687043,1.53733,1.26389,0.154161,0.22339,-0.321353,0.387411,0.224267,0.216188,-0.200253,1.01291,-0.312906,-0.0803175,0.162376,-0.195603,0.98421,1.19349,1.13327,0.246571,0.203089,-0.114057,4.62208,0.0385551,0.117869,0.0675069,0.0901805,0.789311,0.260916,0.329716,0.192897,0.0193375,0.13704,0.403568,0.0611843,0.152083,0.0498196,0.453258,0.195711,0.0766413,0.0224197,0.227352,0.0187282,0.0092858,0.130268,0.0845644,0.735637,0.430118,0.077932,0.085419,0.149155,0.327998,0.302638,0.0736596,0.124755,0.565795,0.682845,0.705845,-0.584182,1.4949,0.180528,0.205017,0.160065,0.312818,0.487789,-0.428533,-0.282566,-1.06933,-0.203424,-0.558425,-0.411092,-0.11678,-0.909006,0.0945767,-0.293769,-0.556469,-1.1582,-1.46732,-1.73504,-0.501038,-1.03247,-0.687099,-0.682687,-1.00649,-1.24638,-0.844359,-0.228477,0.463975
1729.29,0.981576,0.00176814,10,1696,1,-1631.47,-0.331871,0.419082,-0.103882,-0.470442,-0.0284579,0.142625,-0.262133,0.329213,-0.0936281,-0.0610236,0.349082,-0.514576,-0.0187044,-0.722931,0.0406483,-0.264265,-0.0246993,-0.0599898,-0.41507,-0.654315,-0.858264,0.190194,-0.405297,-0.65486,0.282667,-0.611609,0.0954228,0.0054503,-0.394262,-0.564297,-0.556693,-0.537637,-0.293765,-0.237987,-0.756352,-0.249688,-0.0414381,-0.719459,-0.325736,0.467305,0.235005,0.515283,0.517437,0.0982232,-0.563043,0.696358,0.101156,0.543055,-0.177987,0.680959,0.218828,-0.146401,0.269227,0.0285688,0.79326,0.935476,0.717163,0.143345,-0.248283,0.123373,-0.11449,0.557422,-0.188539,0.523509,-0.0838747,-0.663578,-0.323225,-0.311241,1.18112,0.118431,-0.116196,-0.970521,-0.296068,-0.304871,0.0583123,-0.530349,1.63202,0.519739,0.508557,0.332978,0.447803,-1.0603,0.604841,0.17908,0.343501,0.760949,0.518224,1.15296,0.505752,0.520455,-0.32153,0.144391,0.706596,0.0737655,-0.149458,0.266753,0.955546,1.36353,-0.171624,0.921798,-0.066372,0.539192,1.40062,1.19655,-0.0762423,0.113525,-0.367224,0.283837,0.23038,0.0882173,-0.381014,0.954673,-0.374472,-0.109479,0.108577,-0.286248,0.800781,1.08361,0.93747,0.263131,0.0888975,-0.114883,4.54954,0.0351593,0.475109,0.0396837,0.122245,0.85901,0.26505,0.110388,0.134697,0.111805,0.12622,0.068068,0.199261,0.124984,0.113754,0.0708483,0.340778,0.0190877,0.330022,0.212388,0.609191,0.0230278,0.320583,0.123483,0.198777,0.358081,0.586345,0.439792,0.159858,0.296026,0.179176,0.499486,0.0128466,0.545293,0.78734,0.824953,-0.436014,1.59496,0.292156,0.25911,0.223185,0.491977,0.536114,-0.26842,-0.222078,-0.974883,-0.0572848,-0.413273,-0.353894,-0.0224745,-0.844444,0.177246,-0.189426,-0.530079,-1.04637,-1.34483,-1.65992,-0.446043,-0.996765,-0.624427,-0.595828,-0.866394,-1.19516,-0.692798,-0.0504002,0.461469
1727.63,0.99887,0.00176814,11,2047,0,-1622.66,-0.0775198,-0.0344801,-0.494563,-0.583689,-0.142849,-0.014694,0.214955,0.544354,0.812688,0.755593,0.920332,-0.554584,1.5142,0.437651,0.379823,0.10182,0.491884,0.538549,0.100275,-0.730097,-0.393097,0.598149,0.458358,0.511344,0.572922,-0.0911351,0.825726,-0.146915,0.119272,-0.185504,-0.518455,-0.456579,0.31973,-0.380194,0.00610512,0.369038,0.150455,-0.322556,0.00874165,-0.10709,0.219978,0.46688,0.567286,0.123127,-0.623752,0.739992,0.0621264,0.489225,-0.158961,0.612417,0.305828,-0.0919784,0.316136,0.0578788,0.739581,0.966648,0.722601,0.11049,-0.278294,0.0890659,-0.0931082,0.616639,-0.274344,0.507375,-0.0227065,-0.672425,-0.331604,-0.276619,1.16608,0.159397,-0.0642728,-0.928094,-0.272631,-0.336144,0.0909308,-0.532625,1.65861,0.489013,0.544244,0.25723,0.497693,-1.07367,0.594275,0.145244,0.311304,0.676144,0.485063,1.16385,0.435097,0.588275,-0.365869,0.18167,0.626934,0.0637922,-0.139628,0.271656,0.942218,1.32183,-0.109943,0.914585,-0.183592,0.512995,1.39422,1.23307,-0.0484355,0.127167,-0.313593,0.20363,0.243882,0.115693,-0.31942,0.977621,-0.419101,-0.164883,0.0446938,-0.291854,0.8153,1.09762,0.956311,0.192015,0.13007,-0.0719463,5.10472,0.150789,0.097435,0.0318412,0.0402031,0.220512,0.0773216,0.060169,0.105243,0.0957431,0.106169,0.169754,0.488027,0.0110741,0.0361343,0.0179808,0.102018,0.0644487,0.114202,0.00607499,0.281022,0.0175594,0.234294,0.161562,0.211532,0.287497,0.130148,0.142718,0.19393,0.460664,0.159012,0.41134,0.350736,0.65122,0.774004,0.794873,-0.461154,1.60137,0.387186,0.307182,0.290701,0.492071,0.531544,-0.351919,-0.221833,-0.97959,-0.0499171,-0.360177,-0.317599,0.0432059,-0.818968,0.196901,-0.201087,-0.498766,-0.970408,-1.31472,-1.6336,-0.448006,-1.01115,-0.638421,-0.658355,-0.845073,-1.15706,-0.738129,-0.080072,0.470242
1730.29,0.990322,0.00176814,10,2045,1,-1628.91,-0.357046,0.383176,-0.149141,-0.586868,-0.0535147,0.0465748,0.189692,0.456042,0.150207,0.73559,0.824285,-0.553046,1.08247,0.123643,0.366844,0.221906,0.353107,0.277856,-0.114147,-0.182272,-0.508724,0.49165,0.302934,0.325244,0.410091,-0.288524,0.708759,-0.196989,0.145632,-0.4478,-0.254258,-0.493122,0.591376,0.0672168,-0.0620609,0.304415,0.379385,-0.191321,0.211798,0.465424,0.131498,0.532059,0.436468,0.140115,-0.658471,0.675555,-0.0337214,0.368997,-0.478537,0.596932,0.097402,-0.193943,0.0408697,-0.1851,0.604875,0.885268,0.553373,-0.00199586,-0.274491,-0.100141,-0.328916,0.485135,-0.267345,0.212755,-0.330678,-0.712876,-0.314448,-0.259796,1.10345,-0.0353136,-0.131464,-1.13893,-0.366466,-0.442271,-0.171124,-0.739599,1.61145,0.473137,0.371983,0.0668808,0.425153,-1.20386,0.529064,0.0512021,0.247584,0.528632,0.507158,0.966462,0.226864,0.471356,-0.537031,0.186407,0.476752,0.00875565,-0.398926,0.103377,0.881846,1.13247,-0.101412,0.88678,-0.357633,0.590798,1.26334,1.12027,-0.0785691,0.0194547,-0.557158,0.274044,0.0857495,-0.0377073,-0.460637,0.886658,-0.524908,-0.274158,0.0706552,-0.395169,0.650167,1.06524,0.914845,0.0951611,-0.0125452,-0.341233,8.28671,0.297155,0.0720762,0.0692222,0.121028,0.659075,0.281102,0.133411,0.17891,0.00803988,0.069642,0.363398,0.0210621,0.091352,0.127339,0.156086,0.0281696,0.0948241,0.126135,0.0672039,0.235884,0.093489,0.00541761,0.0429285,0.0186225,0.0994127,0.0067198,0.18646,0.0888234,0.0737941,0.0837154,0.0599499,0.278994,0.764551,0.969405,0.980986,-0.387513,1.59034,0.372071,0.434763,0.324709,0.547054,0.671429,-0.230886,-0.0441306,-0.90552,0.104223,-0.317594,-0.231476,0.0791828,-0.721197,0.301299,-0.109877,-0.374486,-0.897825,-1.18671,-1.50216,-0.336665,-0.902862,-0.524738,-0.590092,-0.70967,-1.05212,-0.610947,0.0105594,0.46213
1717.03,0.995903,0.00176814,11,2047,0,-1609.84,-0.0593745,-0.289568,-0.306134,-0.625865,-0.0815273,0.15965,-0.0717383,0.441363,0.296262,0.657488,0.451967,-0.155712,-0.503273,0.118792,0.556831,-0.101535,0.264045,0.427257,-0.385458,-0.203656,-0.356631,-0.0313565,-0.188182,-0.203794,0.0284163,-0.632387,0.328901,-0.433405,-0.301577,-0.746662,-0.306772,-0.581043,-0.256795,-0.113963,-1.16055,-0.0385421,-0.484117,-0.309852,-0.0364693,0.0894007,0.11875,0.609735,0.423862,0.0335717,-0.631821,0.681897,-0.0598409,0.39356,-0.356057,0.537526,0.234113,-0.183332,0.0528606,-0.145462,0.649096,0.924669,0.591565,0.0295125,-0.242422,-0.0504738,-0.296042,0.52583,-0.276294,0.261901,-0.328116,-0.807268,-0.277951,-0.352265,1.10538,0.0282676,-0.124395,-1.05331,-0.362844,-0.510652,-0.0657137,-0.740008,1.62645,0.399995,0.352429,0.0756586,0.394733,-1.15006,0.530668,0.0708156,0.260541,0.540041,0.484718,0.991148,0.239352,0.479593,-0.498736,0.0948301,0.511659,-0.00978828,-0.409827,0.122326,0.95487,1.11074,-0.241194,0.886049,-0.361346,0.537293,1.3127,1.1297,-0.0756097,0.0646898,-0.499514,0.263969,0.0905224,-0.025508,-0.484578,0.919694,-0.492398,-0.255243,0.019152,-0.340107,0.676821,1.16617,0.877737,0.114775,0.0495476,-0.270207,3.0242,0.120194,0.413447,0.252666,0.267673,1.42916,0.129574,0.408234,0.190931,0.142782,0.157168,0.519582,0.0227722,0.392839,0.290476,0.0754147,0.386693,0.164609,0.169662,0.222183,1.73844,0.00656151,0.0331473,0.177707,0.245737,0.935327,0.00800521,0.430592,0.169507,0.222933,0.517374,0.10204,0.385897,0.774277,0.958801,0.946224,-0.352599,1.63336,0.456971,0.419364,0.353792,0.551936,0.670364,-0.204457,-0.0902609,-0.938266,0.0576995,-0.28969,-0.15365,0.0706043,-0.724194,0.247563,-0.143103,-0.378218,-0.906722,-1.24506,-1.51488,-0.321148,-0.83392,-0.49532,-0.503762,-0.784055,-1.11088,-0.593402,0.0581476,0.467073
