# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim4_nocor_model
# start_datetime = 2022-03-09 17:20:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc22ee41c.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00154422
# Diagonal elements of inverse mass matrix:
# 0.171194, 0.142668, 0.140187, 0.119593, 0.0207817, 0.0176801, 0.0314774, 0.0168738, 0.229281, 0.12178, 0.38517, 0.409036, 0.329512, 0.360311, 0.322728, 0.538162, 0.400199, 0.343923, 0.335008, 0.330931, 0.336437, 0.341805, 0.575769, 0.32037, 0.373076, 0.331336, 0.301097, 0.392093, 0.304848, 0.396063, 0.312797, 0.403847, 0.323707, 0.323769, 0.309188, 0.324639, 0.383767, 0.389545, 0.330542, 0.45321, 0.329531, 0.321, 0.341381, 0.00679072, 0.348244, 0.353013, 0.35074, 0.348576, 0.350364, 0.352937, 0.350352, 0.352293, 0.350131, 0.350152, 0.350069, 0.352434, 0.351046, 0.348476, 0.351898, 0.34876, 0.351763, 0.352099, 0.351011, 0.353521, 0.348803, 0.35049, 0.347857, 0.350282, 0.34778, 0.348731, 0.351393, 0.350692, 0.349404, 0.347959, 0.350249, 0.350326, 0.349931, 0.350765, 0.353433, 0.352403, 0.350962, 0.353852, 0.350611, 0.350075, 0.349054, 0.352153, 0.350864, 0.347191, 0.351335, 0.349841, 0.350225, 0.350418, 0.352456, 0.351438, 0.347629, 0.353784, 0.353514, 0.349606, 0.349087, 0.350603, 0.354528, 0.35067, 0.352395, 0.348404, 0.349065, 0.351858, 0.353408, 0.351336, 0.351709, 0.349104, 0.350502, 0.351241, 0.351696, 0.353172, 0.348108, 0.353297, 0.349951, 0.35219, 0.353299, 0.349461, 0.349029, 0.352475, 0.349202, 0.347996, 0.254082, 2.11745, 1.63598, 1.58849, 1.60199, 1.69277, 1.94371, 1.80365, 1.45096, 1.53019, 1.70255, 1.8202, 1.59144, 1.57776, 1.48913, 1.41266, 1.6728, 1.53904, 1.79133, 1.75095, 1.6598, 1.55958, 1.73226, 1.74237, 1.32963, 1.43426, 1.81801, 1.53036, 1.5288, 1.72838, 1.74596, 1.69233, 1.59338, 0.349979, 0.34893, 0.349561, 0.349171, 0.348362, 0.349408, 0.349376, 0.346785, 0.349792, 0.347542, 0.350121, 0.348199, 0.349962, 0.349482, 0.349762, 0.346835, 0.351413, 0.348131, 0.349973, 0.347444, 0.349903, 0.350048, 0.348336, 0.348463, 0.350064, 0.350112, 0.350775, 0.350328, 0.349889, 0.348094, 0.349602, 0.350294, 8.60607e-05
1836.95,0.977565,0.00154422,10,1989,1,-1740.97,-0.545094,0.519181,0.121344,-0.832426,-0.194558,-0.124686,0.0601903,0.295727,0.643367,0.289882,0.606194,0.259916,0.594554,0.514636,0.557698,1.09853,0.714292,0.609165,1.06953,1.0047,-0.0650484,1.22869,0.727417,0.094632,-0.123469,0.81029,0.457266,0.886371,0.406641,0.998755,0.713084,0.353515,0.520688,0.352918,0.635624,0.452546,0.617025,0.795928,0.214899,0.977661,0.451622,0.713139,-0.117751,0.601832,0.163007,-0.0958277,-0.826341,0.364909,-0.377076,0.142639,-0.613362,0.139487,0.0545108,-0.325747,-0.0840755,-0.407493,0.432903,0.67926,0.335899,-0.330134,-0.664738,-0.268782,-0.614376,0.294507,-0.637706,0.143812,-0.418727,-1.0085,-0.70022,-0.566338,0.767423,-0.350105,-0.343145,-1.15784,-0.541377,-0.72953,-0.353626,-0.778326,1.29512,0.198366,0.204931,-0.119261,0.199914,-1.32686,0.0639629,-0.238102,-0.143918,0.299404,0.0731805,0.738757,0.0850081,0.159084,-0.618815,-0.135193,0.277154,-0.155094,-0.316451,-0.0401352,0.457155,0.860189,-0.562068,0.500721,-0.405943,0.0845964,0.999332,0.880647,-0.28011,-0.0637684,-0.645027,-0.0465542,-0.0620173,-0.248701,-0.679731,0.596411,-0.762047,-0.483125,-0.268909,-0.669114,0.666049,0.710138,0.698211,0.024802,-0.176301,-0.621219,2.44165,0.468536,1.0559,0.180379,0.137129,0.105705,0.862667,0.103966,0.0584965,0.117832,0.119258,0.512944,0.655499,1.21169,0.216126,0.489718,0.921772,0.0721674,0.388384,0.290395,1.24154,0.453618,0.423809,0.122726,0.18019,0.749136,0.810503,0.932437,0.280897,0.135468,1.20158,0.27377,0.0253176,0.121563,-0.335899,0.238791,0.780657,0.262423,1.98667,0.828168,0.850785,0.850263,0.770297,-0.164312,-0.203202,1.60157,-0.309969,-0.240165,0.27327,0.0785274,1.02135,-0.209626,-0.362714,0.155934,-1.01535,-0.466788,-0.991913,-0.790804,-0.266753,-0.444574,0.171988,-1.07726,0.815923,-0.924358,-0.0846689,0.453114
1853.42,0.999305,0.00154422,12,5119,0,-1754.6,-0.56935,0.735525,-0.121629,-0.315378,-0.248603,-0.110268,0.0265701,0.11155,0.685168,0.299289,0.187057,0.31018,0.559278,0.576191,0.434889,0.42391,0.830109,0.691043,1.08,0.850368,0.920316,0.37629,0.598955,0.586063,1.01751,0.686218,0.751957,0.977617,0.811405,0.305588,0.883883,0.219783,0.549225,0.96827,0.968737,0.979295,0.617288,1.09027,0.365213,0.897149,0.402955,0.875054,-0.325469,0.517819,-0.123783,-0.517726,-0.993173,0.109238,-0.496456,-0.1161,-0.865466,-0.0126045,-0.426203,-0.730492,-0.418896,-0.590167,0.124267,0.35452,0.129647,-0.56161,-0.869961,-0.562384,-0.72338,-0.153277,-0.878421,-0.244257,-0.709808,-1.23578,-0.744733,-0.824046,0.757677,-0.455837,-0.717203,-1.51434,-0.794103,-1.0285,-0.748179,-1.12828,1.03709,-0.00493965,-0.0664116,-0.482053,-0.0243692,-1.64514,-0.0213937,-0.418613,-0.22834,-0.00476699,-0.0978334,0.57045,-0.189931,-0.0100657,-1.0728,-0.495122,0.0640773,-0.496593,-0.930288,-0.17504,0.383992,0.630249,-0.724446,0.199962,-0.771944,0.057727,0.809722,0.480825,-0.530382,-0.352658,-0.94159,-0.416875,-0.426282,-0.517578,-0.894359,0.252288,-1.03874,-0.702212,-0.481035,-0.97451,0.236151,0.461678,0.545854,-0.447003,-0.381774,-0.728308,1.92935,0.768126,1.1236,0.09718,0.0193616,0.320963,1.38131,0.107786,0.42339,0.00441917,0.328089,1.65654,0.0946189,1.3708,0.261537,0.0864134,0.609331,0.931555,1.04125,0.249257,0.561279,0.146541,0.520294,0.728016,0.509221,0.486669,0.402105,0.108436,0.0524306,0.301711,0.839203,0.0734938,0.0772395,0.371394,-0.0386337,0.478047,1.08952,0.534413,2.23634,1.11488,1.13132,1.09151,1.11214,0.0276907,0.0592142,1.8374,-0.0675526,0.027726,0.54488,0.277659,1.32395,0.0476093,-0.0706505,0.425772,-0.758667,-0.208004,-0.72607,-0.515206,0.0420542,-0.185348,0.378033,-0.847955,1.10867,-0.650326,0.160632,0.45746
1858.05,0.992513,0.00154422,11,2047,0,-1772.82,-0.475359,0.328073,0.177288,-0.129676,-0.257071,0.175634,0.0439758,0.00773038,0.270608,0.450078,0.33439,-0.725016,-0.414709,0.236099,0.265946,1.01971,1.04369,0.121225,0.295259,0.0825814,-0.173478,-0.190746,0.577975,0.0759466,0.186431,-0.0478018,0.342408,0.8698,0.198633,0.94749,0.618581,0.0487155,0.480985,0.218181,0.0526676,0.373498,0.391954,0.888996,-0.068527,0.782994,0.452555,0.488192,-0.1343,0.520935,0.0994447,-0.300242,-0.864732,0.303334,-0.345853,0.100717,-0.671491,0.212107,-0.154879,-0.492832,-0.185644,-0.42411,0.392909,0.571956,0.432193,-0.335505,-0.608425,-0.354384,-0.533253,0.0914148,-0.675999,-0.000804982,-0.440441,-0.973124,-0.563399,-0.596797,0.806475,-0.267042,-0.444471,-1.22221,-0.646661,-0.697003,-0.557155,-0.865064,1.2278,0.125071,0.233637,-0.237228,0.126548,-1.34381,0.105881,-0.305439,-0.173896,0.254374,0.079982,0.679752,-0.0297363,0.187727,-0.819689,-0.247627,0.260571,-0.333381,-0.609815,-0.0107835,0.554796,0.832586,-0.52471,0.454402,-0.516691,0.233827,1.11217,0.707515,-0.259625,-0.163091,-0.736288,-0.256406,-0.217757,-0.335625,-0.702444,0.489323,-0.853514,-0.542058,-0.342599,-0.699855,0.562546,0.600567,0.711678,-0.151978,-0.164918,-0.556833,2.91397,0.927903,0.187737,0.185856,0.432923,0.0329299,0.263359,0.406276,0.015697,0.00178458,0.236432,0.0494088,0.355642,0.57005,0.156096,0.238415,0.913704,0.070193,0.451335,0.187553,0.826676,0.346694,1.05557,0.347676,0.118579,0.164672,0.0505277,0.0508479,0.059811,0.0108475,0.683429,0.83476,0.504794,0.117685,-0.210202,0.207013,0.856122,0.300759,1.93521,0.861172,0.874425,0.862613,0.858654,-0.0967513,-0.138089,1.61487,-0.231008,-0.201867,0.326333,0.143007,1.11869,-0.151283,-0.261959,0.211014,-0.925425,-0.443216,-0.914857,-0.719814,-0.302086,-0.401881,0.144142,-1.02968,0.868976,-0.804472,-0.00540735,0.456001
1854.2,0.997444,0.00154422,12,6143,0,-1760.58,-0.218755,0.874904,0.202312,0.39956,0.0757844,0.0595409,0.177065,-0.190193,0.0661483,0.373345,-0.218553,-0.0863052,-0.3989,0.463669,-0.132871,0.525527,0.609009,-0.120672,0.167715,0.0214988,-0.529742,-0.626412,-0.0563098,0.128613,0.290118,0.272723,0.581559,0.615907,0.00084797,0.453951,-0.211221,-0.111423,-0.393682,-0.026514,0.0891335,-0.277397,0.0666269,0.571084,0.152894,0.427712,-0.353252,0.234803,-0.252028,0.481118,-0.0241934,-0.315322,-0.961816,0.181385,-0.456801,-0.0392944,-0.809707,0.0188692,-0.236495,-0.527538,-0.29323,-0.49501,0.12373,0.465961,0.168569,-0.537207,-0.784802,-0.423336,-0.715995,0.0915308,-0.803614,-0.0743509,-0.537003,-1.11092,-0.754371,-0.739824,0.712983,-0.374739,-0.548582,-1.34746,-0.615979,-0.951638,-0.510146,-1.03884,1.07453,0.0352832,-0.0135956,-0.346186,0.0591158,-1.64352,-0.0636677,-0.340075,-0.147283,0.0575075,-0.0650749,0.64513,-0.0389808,-0.000101842,-0.794639,-0.370745,0.148305,-0.217639,-0.650051,-0.156164,0.312425,0.722509,-0.69615,0.337509,-0.531321,0.027571,0.765474,0.612647,-0.460858,-0.261776,-0.8413,-0.233073,-0.26467,-0.396037,-0.831678,0.304116,-0.927415,-0.568489,-0.406371,-0.895379,0.375459,0.627197,0.604189,-0.277188,-0.403162,-0.728704,1.88365,0.231195,1.19144,0.186065,0.14189,0.094144,0.601548,0.453461,0.317847,0.030438,0.528698,0.279227,0.412384,0.748859,1.23092,0.476618,1.12613,0.528433,0.574107,0.408327,0.894554,0.154947,1.30127,0.218723,0.906963,0.948294,0.0649204,0.175575,0.174435,1.85047,0.51779,0.401609,0.627506,0.258091,-0.167385,0.419345,0.986744,0.426934,2.10749,0.953076,0.992056,0.978731,1.02382,0.0176688,-0.0036325,1.73441,-0.154625,-0.0349292,0.465222,0.205893,1.24633,-0.0413717,-0.164587,0.360296,-0.934073,-0.315552,-0.843253,-0.574455,-0.0470955,-0.197518,0.289013,-0.833338,0.977537,-0.756893,0.021949,0.450145
1833.98,0.996777,0.00154422,12,6143,0,-1728.93,-0.00359749,-0.433408,-0.59626,-1.16835,-0.402511,-0.158904,0.368101,0.142186,0.390053,0.252326,0.317609,0.105578,0.594126,0.355809,0.324688,0.689289,0.596953,0.587744,0.412223,-0.116756,0.240168,0.505382,0.307514,0.399878,0.4788,0.561044,-0.106174,0.682545,-0.072979,0.336583,0.21307,0.411088,-0.0191031,0.111428,-0.0200234,0.141814,0.42814,0.658481,-0.190274,0.486702,0.0898549,0.494571,0.2547,0.55503,0.432445,0.120222,-0.482598,0.654786,0.0281813,0.410519,-0.312557,0.500549,0.207231,-0.0957134,0.199601,-0.0740275,0.595102,0.921206,0.649102,-0.0937767,-0.357394,0.0300486,-0.217575,0.432893,-0.362776,0.391733,-0.110603,-0.658152,-0.307842,-0.292132,1.16247,0.00777462,-0.148584,-0.906487,-0.171703,-0.446286,-0.0676969,-0.556189,1.64153,0.505118,0.400401,0.0689337,0.562303,-1.13301,0.357898,0.103643,0.279708,0.533233,0.34719,1.15505,0.372884,0.481619,-0.370605,0.136043,0.607939,0.269326,-0.112456,0.309225,0.824354,1.21487,-0.302068,0.757371,-0.096188,0.467085,1.22737,1.11886,-0.0202815,0.252494,-0.424473,0.262507,0.0921082,0.0691468,-0.420214,0.762044,-0.428051,-0.138642,0.0585533,-0.471643,0.843696,1.02885,1.03143,0.206214,0.0938298,-0.270874,1.30521,0.546365,1.50338,0.193376,0.0230849,0.546274,1.50852,3.90692,0.845087,0.42173,2.28481,0.255941,0.0130123,0.626766,0.556389,1.94305,0.109334,0.139177,0.195234,0.0133717,2.1637,0.59286,2.68949,0.999271,0.518327,0.478868,1.46858,0.162134,0.349329,0.200735,0.588088,0.0206066,1.53397,-0.19057,-0.612072,-0.0279764,0.516862,-0.0196139,1.67651,0.490028,0.515284,0.500852,0.526639,-0.448193,-0.433096,1.29251,-0.606796,-0.50846,-0.049733,-0.231961,0.817413,-0.462855,-0.630586,-0.0918088,-1.36876,-0.785656,-1.30483,-1.0002,-0.528839,-0.709348,-0.166703,-1.29163,0.53729,-1.20167,-0.430985,0.448106
1821.33,0.999001,0.00154422,10,1023,0,-1727.17,-0.0607401,-0.486755,-0.828754,-0.911828,-0.490558,-0.0445858,0.0561318,-0.00329103,0.354158,0.254435,-0.204017,0.0958358,0.140722,0.345779,0.751104,0.577622,0.876258,0.294867,-0.161971,0.0360594,0.28053,0.321146,-0.267037,0.339039,0.119387,0.329431,0.109568,0.852513,0.666119,-0.0079581,0.333759,0.335746,0.313792,0.575918,-0.00875583,0.64397,0.493144,0.600596,0.00505911,0.855272,0.370239,0.674778,0.358112,0.569286,0.485901,0.0525524,-0.451913,0.61913,-0.0879168,0.452663,-0.36021,0.381732,0.156367,-0.0601481,0.0659863,-0.0774505,0.641508,0.846917,0.662651,-0.0488601,-0.217267,-0.0629297,-0.286611,0.522089,-0.38233,0.385651,-0.0963841,-0.727762,-0.17465,-0.287656,1.11626,0.0444574,-0.153739,-0.871224,-0.153262,-0.50434,-0.122903,-0.461037,1.58558,0.541051,0.46512,0.129707,0.433763,-0.991546,0.444815,0.124758,0.236361,0.574728,0.420294,1.02585,0.368983,0.537686,-0.557789,0.0632234,0.595362,0.110211,-0.158919,0.32348,0.887753,1.13261,-0.2022,0.797366,-0.0872794,0.443463,1.29979,1.1256,0.0407449,0.139164,-0.34484,0.121669,0.0765702,0.0772351,-0.460462,0.795619,-0.53575,-0.244617,0.0236465,-0.423941,0.913105,0.974468,1.0205,0.262049,0.0492566,-0.280752,1.04635,0.692198,1.42726,0.369252,0.032168,0.298257,1.38436,2.77264,0.821242,2.19574,0.454613,0.636514,0.0210591,1.0123,0.349475,0.344837,0.79786,0.476478,1.07893,0.0543874,0.519864,0.617473,4.71143,0.998368,0.0383423,0.203089,0.486006,0.356143,1.68743,0.715718,0.771553,0.0520112,0.147462,-0.168539,-0.639659,-0.113286,0.521076,-0.0647765,1.65906,0.535967,0.588251,0.575865,0.555414,-0.460092,-0.433818,1.29676,-0.531716,-0.527509,0.0481896,-0.17763,0.689962,-0.419256,-0.587341,-0.118683,-1.28971,-0.77625,-1.3355,-1.14098,-0.549501,-0.761352,-0.145191,-1.27468,0.487327,-1.15223,-0.351726,0.459036
