# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim4_nocor_model
# start_datetime = 2022-02-24 13:35:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpEdkaY0/standata-53603a543a89.json
# init = 2 (Default)
# random
#   seed = 1661923731
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,l,s_HJ.1,s_HJ.2,s_HJ.3,s_HJ.4,s_HJ.5,s_HJ.6,s_HJ.7,s_HJ.8,s_HJ.9,s_HJ.10,s_HJ.11,s_HJ.12,s_HJ.13,s_HJ.14,s_HJ.15,s_HJ.16,s_HJ.17,s_HJ.18,s_HJ.19,s_HJ.20,s_HJ.21,s_HJ.22,s_HJ.23,s_HJ.24,s_HJ.25,s_HJ.26,s_HJ.27,s_HJ.28,s_HJ.29,s_HJ.30,s_HJ.31,s_HJ.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00212557
# Diagonal elements of inverse mass matrix:
# 0.162419, 0.149521, 0.14721, 0.125018, 0.0218262, 0.0188948, 0.0226875, 0.0146821, 0.170403, 0.0200017, 0.221691, 0.216218, 0.191209, 0.196711, 0.225095, 0.25756, 0.21352, 0.212362, 0.197555, 0.211784, 0.191442, 0.273662, 0.197609, 0.221497, 0.216216, 0.224175, 0.245507, 0.230635, 0.220926, 0.205624, 0.222259, 0.235705, 0.193602, 0.230018, 0.255258, 0.25064, 0.188041, 0.222157, 0.203681, 0.187454, 0.217112, 0.261296, 0.190057, 0.00660257, 0.191802, 0.192873, 0.193699, 0.192152, 0.192924, 0.191988, 0.192249, 0.192857, 0.192041, 0.193211, 0.192748, 0.193221, 0.192749, 0.192206, 0.192318, 0.191859, 0.191898, 0.192173, 0.192055, 0.192122, 0.192281, 0.193136, 0.192259, 0.192391, 0.191983, 0.191888, 0.192152, 0.192262, 0.192302, 0.192201, 0.192235, 0.192341, 0.192544, 0.192066, 0.191675, 0.192303, 0.192274, 0.192044, 0.192726, 0.192322, 0.192396, 0.192296, 0.192125, 0.192684, 0.192975, 0.192524, 0.192285, 0.191598, 0.192507, 0.191885, 0.192311, 0.191424, 0.191714, 0.192384, 0.192075, 0.191835, 0.19264, 0.191949, 0.192707, 0.193156, 0.192085, 0.192116, 0.192019, 0.19259, 0.191504, 0.192329, 0.19228, 0.193463, 0.192294, 0.19222, 0.192193, 0.19262, 0.192339, 0.192696, 0.192498, 0.192059, 0.192333, 0.191088, 0.191852, 0.193433, 0.0318228, 0.00259045, 0.00346482, 0.00245618, 0.00279005, 0.00370464, 0.00301495, 0.00229318, 0.00296045, 0.00251456, 0.00325219, 0.00275461, 0.00233791, 0.00246796, 0.00228245, 0.00222414, 0.00298171, 0.00237812, 0.00234408, 0.0030872, 0.00260353, 0.00242933, 0.00545327, 0.00260124, 0.00253968, 0.00244695, 0.0026315, 0.00244501, 0.00244294, 0.00239984, 0.00285104, 0.00254517, 0.00285806
6185.28,0.9968,0.00212557,11,2047,0,-6114,0.250831,0.706285,-0.83086,-0.573804,-0.437761,-0.386033,0.117085,0.0306186,0.10301,0.600165,0.72903,0.453675,0.348622,-0.850323,-0.460314,0.344371,-0.370018,-0.203112,0.387378,0.648556,-0.647238,1.53541,-0.167422,0.0506995,0.650317,-0.0872602,0.389789,-0.284321,-0.31267,0.509438,0.187077,0.242028,-0.524983,-1.08507,-0.28355,-0.475559,1.16059,0.647812,-0.250733,0.0714645,-0.326076,0.185816,0.18367,0.446514,0.269335,-0.0408781,-0.611594,0.568203,-0.110246,0.277953,-0.431347,0.424335,0.131278,-0.264992,0.0265475,-0.1221,0.535995,0.768563,0.456558,-0.0499189,-0.397731,-0.14075,-0.331106,0.457669,-0.392113,0.209072,-0.263051,-0.745411,-0.45959,-0.305499,1.019,-0.00373903,-0.265092,-1.03306,-0.37537,-0.462131,-0.185652,-0.637163,1.48053,0.257457,0.348576,0.0418785,0.356405,-1.04475,0.274363,-0.0566258,0.175433,0.481908,0.324712,0.915253,0.250553,0.318178,-0.454936,-0.000146747,0.404803,-0.0870738,-0.334636,0.23048,0.74899,0.98796,-0.27064,0.725437,-0.232348,0.394856,1.23935,1.04106,-0.143078,-0.0383429,-0.422143,0.084695,0.0069103,-0.0970805,-0.496536,0.693118,-0.589601,-0.279557,-0.099416,-0.470298,0.635145,0.957531,0.740468,0.027182,-0.024955,-0.304374,2.59641,0.712919,0.117666,0.534031,0.100784,0.1046,0.165872,0.253318,0.124725,0.232393,0.132762,0.32174,0.949748,0.348067,0.218484,0.365328,0.157839,0.59552,0.309442,0.0985205,0.211991,0.198257,0.0346575,0.171785,0.329943,0.312726,0.288089,0.224581,0.566346,0.17386,0.165779,0.283769,0.182424,1.22577,0.462922,0.760152,-0.585041,0.117674,1.59297,-0.279522,0.744661,1.14015,1.18612,-0.0407114,1.30487,-0.400549,-0.292839,-0.0248897,-0.560797,-0.642913,-0.111203,-0.623709,0.438809,-0.221461,-0.426506,-1.04585,-1.34406,-1.19253,-1.44081,0.394096,0.35068,-0.87286,-0.370034,-0.671957,-0.958185
6188.2,0.969232,0.00212557,11,2047,0,-6106.23,-0.515602,0.26806,-0.158462,-0.34409,-0.26827,-0.0323564,-0.0681503,0.0643781,0.752721,0.606439,1.18619,0.846774,1.0799,-0.161993,0.154148,1.8495,0.0343671,0.754288,1.24713,1.64413,0.20704,1.50517,0.537846,0.816435,1.01705,0.663913,0.640828,0.570505,0.479552,1.22576,0.927831,0.896285,0.0671719,-0.307285,0.183705,-0.198994,1.60261,1.15657,0.200759,0.636613,0.218755,0.404171,-0.11782,0.538045,0.102773,-0.190075,-0.782118,0.40117,-0.276006,0.110999,-0.598884,0.247467,-0.0241033,-0.413576,-0.149474,-0.343012,0.371306,0.586574,0.309105,-0.257556,-0.558183,-0.293674,-0.491618,0.21719,-0.586734,0.0300713,-0.429827,-0.887212,-0.653108,-0.482922,0.860679,-0.230717,-0.444731,-1.18543,-0.53037,-0.621381,-0.358503,-0.799912,1.32485,0.0803311,0.169792,-0.125822,0.156064,-1.22447,0.101865,-0.235784,0.00890274,0.311326,0.174243,0.762816,0.0829091,0.155646,-0.651338,-0.194308,0.223683,-0.259877,-0.527355,0.0532207,0.568271,0.825678,-0.43727,0.564129,-0.401835,0.232353,1.0768,0.844063,-0.334376,-0.194039,-0.608931,-0.10401,-0.157831,-0.264296,-0.662568,0.52707,-0.76321,-0.400943,-0.234752,-0.65405,0.490864,0.756202,0.58712,-0.110758,-0.229913,-0.461043,1.94915,0.729776,0.122099,0.545641,0.0998246,0.094379,0.171494,0.239637,0.134516,0.22631,0.142554,0.319238,0.961868,0.354081,0.219708,0.384768,0.163321,0.592981,0.322505,0.0915784,0.211295,0.210068,0.0359061,0.175055,0.333929,0.300255,0.298462,0.227732,0.57121,0.17046,0.165078,0.312431,0.182758,1.26916,0.630998,0.906441,-0.425079,0.28691,1.78059,-0.131618,0.909449,1.28279,1.34369,0.153078,1.34666,-0.203433,-0.13241,0.14476,-0.364597,-0.450548,0.0781826,-0.449376,0.584065,-0.0608466,-0.251725,-0.86818,-1.12777,-1.03511,-1.26983,0.56235,0.449559,-0.705419,-0.204486,-0.518134,-0.77621
6167.17,0.99857,0.00212557,11,2047,0,-6097.79,-0.163437,0.759145,-0.455181,-0.785295,-0.219653,-0.204528,-0.0695813,0.011061,0.665945,0.497445,1.06152,0.591566,0.634543,-0.604756,-0.0461388,1.08186,-0.178842,0.415496,0.88829,1.01994,-0.202702,1.64343,0.558592,0.83461,1.01383,0.594656,0.635905,0.656608,0.471099,1.29534,0.927102,0.84262,0.238242,-0.16564,0.259267,0.0546798,1.81258,1.4944,0.466462,0.885746,0.525762,0.630476,-0.117352,0.584809,0.04749,-0.258582,-0.852079,0.314408,-0.353391,0.0592306,-0.667441,0.218027,-0.0995091,-0.501344,-0.192608,-0.408388,0.311566,0.524784,0.253778,-0.296773,-0.614792,-0.326782,-0.504261,0.219922,-0.596375,-0.0292869,-0.429847,-0.985008,-0.704073,-0.534631,0.806512,-0.25258,-0.495203,-1.24619,-0.576131,-0.733886,-0.441412,-0.826045,1.2857,0.0681855,0.121916,-0.166255,0.101534,-1.3218,0.0241982,-0.263458,-0.050098,0.236294,0.0791241,0.70465,0.0595503,0.149295,-0.69302,-0.253574,0.160426,-0.280363,-0.589164,0.00528831,0.521494,0.771335,-0.492624,0.493757,-0.509751,0.167187,1.02267,0.804838,-0.328444,-0.234601,-0.666548,-0.162941,-0.197286,-0.293802,-0.699056,0.485198,-0.805111,-0.52578,-0.292082,-0.707253,0.426224,0.719655,0.525736,-0.188633,-0.289822,-0.528036,1.95035,0.733229,0.120085,0.484328,0.100544,0.0930769,0.175244,0.231939,0.133844,0.23136,0.138734,0.323089,1.01964,0.334828,0.216417,0.372814,0.164812,0.617824,0.317379,0.0940559,0.209247,0.203779,0.0364644,0.176984,0.340045,0.30273,0.29358,0.228626,0.577811,0.165571,0.162847,0.329309,0.184301,1.39374,0.679177,0.934835,-0.377846,0.326846,1.82382,-0.0504636,0.984855,1.35981,1.3943,0.195432,1.59989,-0.142623,-0.0503363,0.219126,-0.355519,-0.338178,0.159231,-0.397541,0.675664,0.0095411,-0.205397,-0.814089,-1.08227,-0.983503,-1.23353,0.632699,0.545726,-0.645282,-0.131063,-0.447372,-0.747427
6190.94,0.87611,0.00212557,11,2047,0,-6121.33,-0.424352,-0.0219445,-0.725379,-0.779492,-0.332061,-0.0853737,0.0700653,-0.0487406,0.91712,0.64441,1.40841,1.04748,1.24941,-0.00132322,0.251781,1.87035,0.212992,0.827252,1.38448,1.76645,0.283663,1.82429,0.56182,0.775905,1.24824,0.603357,0.863791,0.590995,0.415263,1.29736,0.889828,0.87341,0.43046,-0.150341,0.51326,0.537908,2.12146,1.69351,0.793989,1.12609,0.830568,1.17097,0.0876366,0.51606,0.234096,-0.056335,-0.653151,0.530338,-0.152811,0.218642,-0.473368,0.400519,0.118143,-0.298877,-0.0195872,-0.190999,0.514658,0.734496,0.40981,-0.101006,-0.403035,-0.14101,-0.296535,0.397534,-0.422844,0.181324,-0.254881,-0.761898,-0.491011,-0.333247,1.02197,-0.0676803,-0.294793,-1.03978,-0.423696,-0.482154,-0.237108,-0.625512,1.46986,0.254877,0.316688,0.0378558,0.300116,-1.10514,0.236988,-0.0995172,0.139701,0.43301,0.266174,0.865929,0.233265,0.315333,-0.494748,-0.0386304,0.367368,-0.0767974,-0.375673,0.185643,0.707334,0.964646,-0.294254,0.701635,-0.267258,0.362344,1.22108,1.0186,-0.183121,-0.045995,-0.4584,0.0645399,0.0217819,-0.100957,-0.50158,0.686824,-0.641598,-0.287094,-0.105659,-0.537225,0.619407,0.938644,0.708289,0.0117802,-0.0590014,-0.332184,3.00953,0.826054,0.116947,0.560679,0.0906256,0.0970429,0.171154,0.250519,0.136696,0.233453,0.14,0.309705,1.0004,0.301014,0.206008,0.385157,0.165315,0.521178,0.315658,0.0850891,0.21266,0.217702,0.0319941,0.179377,0.319483,0.293532,0.323656,0.252563,0.506982,0.190229,0.163762,0.304857,0.175087,1.23524,0.504527,0.80416,-0.557507,0.140248,1.64515,-0.268325,0.788767,1.19808,1.20936,-0.0136715,1.3069,-0.362268,-0.250684,0.00756774,-0.521841,-0.648061,-0.0249389,-0.586674,0.496536,-0.186066,-0.399702,-0.995462,-1.30565,-1.1351,-1.441,0.437253,0.293366,-0.852675,-0.311598,-0.606551,-0.943521
6174.79,0.974587,0.00212557,11,2047,0,-6091.17,-1.3257,0.402489,0.282321,0.631162,-0.208087,0.129185,0.00486887,-0.207849,0.625043,0.749835,1.2909,0.85438,1.20939,-0.0106298,0.219624,2.35988,0.017303,1.00718,1.51086,1.92584,0.383715,1.44494,0.544502,0.726664,1.02849,0.535386,0.501987,0.598399,0.387301,1.29991,0.828068,0.751979,-0.0984857,-0.641375,-0.253761,0.419103,1.70712,1.53241,0.546729,0.764874,0.662226,0.938626,0.194388,0.4647,0.333726,0.0530788,-0.566426,0.63841,-0.0876177,0.305457,-0.333336,0.489943,0.209775,-0.17284,0.0623809,-0.106765,0.584642,0.83361,0.538973,-0.0263419,-0.343936,-0.0613249,-0.269721,0.485985,-0.342244,0.283515,-0.220592,-0.673238,-0.426247,-0.275045,1.10352,-0.00439323,-0.2045,-0.96253,-0.313498,-0.433346,-0.13411,-0.563973,1.55819,0.321893,0.386412,0.118862,0.39367,-1.05111,0.320496,-0.014918,0.213449,0.504921,0.382098,0.974312,0.305389,0.420989,-0.423306,0.00900601,0.439931,0.0081355,-0.276196,0.294435,0.821449,1.04862,-0.195802,0.800774,-0.188362,0.435054,1.29952,1.0884,-0.073152,0.0392157,-0.381384,0.117215,0.054975,-0.0592037,-0.424002,0.707015,-0.558558,-0.228175,-0.0270773,-0.432556,0.711707,0.98999,0.829022,0.0644124,0.0135964,-0.216862,2.93102,0.771181,0.110857,0.53986,0.101459,0.093197,0.157621,0.232156,0.136724,0.223765,0.147964,0.331701,0.923058,0.346374,0.221359,0.3529,0.160827,0.586421,0.314023,0.0975289,0.213161,0.19672,0.0351922,0.190583,0.352548,0.290467,0.325865,0.243754,0.517706,0.170143,0.179554,0.309556,0.172737,1.0869,0.418659,0.652204,-0.63733,0.0542503,1.57522,-0.379797,0.704894,1.11589,1.11589,-0.0807764,1.20792,-0.435549,-0.356658,-0.110918,-0.60973,-0.807351,-0.188547,-0.680572,0.397098,-0.286151,-0.485827,-1.10949,-1.3055,-1.22685,-1.47035,0.35695,0.182944,-0.957219,-0.43081,-0.71041,-1.03579
6173.19,0.998716,0.00212557,11,2047,0,-6105.17,-0.287081,0.254321,-0.222665,-1.43454,-0.431056,-0.305054,-0.371585,0.166555,0.779517,0.483991,1.19789,0.995184,0.933025,-0.245182,0.0710319,1.10595,0.154228,0.418454,1.02979,1.33066,-0.0208236,1.93739,0.553879,1.24502,0.829937,1.08535,0.541794,0.431968,0.852597,1.20388,1.349,1.40125,0.518605,0.104667,0.956959,0.158542,2.06593,1.39725,0.515396,0.97744,0.423747,0.805263,0.271951,0.550918,0.48923,0.219945,-0.413904,0.769557,0.108744,0.488428,-0.19779,0.671611,0.335023,-0.0279382,0.258979,0.0732109,0.760308,0.977633,0.673566,0.177808,-0.161923,0.0957725,-0.0665176,0.67282,-0.167078,0.409832,-0.0463291,-0.50549,-0.257919,-0.0861899,1.26761,0.17418,-0.0499286,-0.816401,-0.153709,-0.258897,0.034131,-0.401191,1.72073,0.532231,0.601033,0.298295,0.553431,-0.87066,0.484181,0.169416,0.398888,0.742713,0.532517,1.11776,0.504635,0.530316,-0.275822,0.193757,0.61594,0.168536,-0.112164,0.447221,0.949525,1.20642,-0.0237502,0.940046,-0.0519533,0.614121,1.43911,1.26433,0.0958907,0.187785,-0.209486,0.30464,0.251874,0.122464,-0.286068,0.888134,-0.386454,-0.0560526,0.167196,-0.2708,0.896049,1.16959,0.951379,0.26193,0.175432,-0.0076761,2.12171,0.821019,0.116813,0.59132,0.108288,0.0929753,0.165122,0.244744,0.132302,0.23735,0.141886,0.324543,0.927835,0.361148,0.214895,0.374691,0.16223,0.569891,0.310276,0.0930324,0.213772,0.194411,0.0394539,0.174977,0.335332,0.311201,0.310112,0.236902,0.451478,0.161655,0.185868,0.307572,0.181204,0.937006,0.254274,0.51317,-0.809045,-0.109847,1.3602,-0.506677,0.526627,0.94595,0.959842,-0.248668,1.03544,-0.588031,-0.492492,-0.260405,-0.780161,-0.900568,-0.30992,-0.852909,0.221975,-0.452512,-0.656277,-1.26147,-1.55395,-1.34169,-1.6499,0.18039,0.110287,-1.09158,-0.588082,-0.911216,-1.17919
