# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim4_nocor_model
# start_datetime = 2022-03-05 09:52:50 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c18bd2982.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.00262642
# Diagonal elements of inverse mass matrix:
# 0.184031, 0.115568, 0.142099, 0.138446, 0.0149956, 0.0105055, 0.0244888, 0.0120068, 0.237183, 0.07693, 0.309271, 0.319402, 0.297014, 0.336751, 0.477778, 0.326236, 0.313573, 0.313095, 0.295966, 0.28866, 0.312394, 0.328246, 0.324766, 0.292452, 0.311293, 0.310205, 0.304456, 0.295783, 0.333907, 0.319894, 0.27455, 0.315041, 0.325564, 0.343635, 0.282447, 0.314582, 0.303964, 0.299913, 0.288641, 0.303231, 0.28048, 0.325851, 0.274941, 0.00631279, 0.280705, 0.280033, 0.283502, 0.276913, 0.281235, 0.278916, 0.280912, 0.279921, 0.282647, 0.279019, 0.281921, 0.281298, 0.278502, 0.27901, 0.280698, 0.28016, 0.280244, 0.280841, 0.284433, 0.279404, 0.280965, 0.280927, 0.278974, 0.282067, 0.281786, 0.282842, 0.283805, 0.278283, 0.281396, 0.282364, 0.28175, 0.278569, 0.279433, 0.283578, 0.281885, 0.281994, 0.279877, 0.282758, 0.282219, 0.277404, 0.282335, 0.282201, 0.280686, 0.281674, 0.278347, 0.282891, 0.283544, 0.280566, 0.280794, 0.279855, 0.278194, 0.281161, 0.278371, 0.283541, 0.280636, 0.281133, 0.281035, 0.280275, 0.280371, 0.281457, 0.278579, 0.281051, 0.279136, 0.280545, 0.281544, 0.280682, 0.278539, 0.282297, 0.281117, 0.280237, 0.28099, 0.280763, 0.280968, 0.280593, 0.28036, 0.2802, 0.281826, 0.280514, 0.282443, 0.282476, 0.166674, 1.59248, 1.53573, 1.45501, 1.34442, 0.741056, 1.37403, 1.26773, 1.6624, 1.55192, 1.8079, 1.65206, 1.4152, 1.48359, 1.33527, 1.49984, 1.32867, 1.70842, 1.64661, 1.75534, 1.59565, 1.42336, 1.47851, 1.65014, 1.5221, 1.39048, 1.7769, 1.64538, 1.67962, 1.49019, 1.49107, 1.44588, 1.53975, 0.28025, 0.279768, 0.279968, 0.280313, 0.28005, 0.280926, 0.279317, 0.281107, 0.279212, 0.28007, 0.27907, 0.279726, 0.279447, 0.280268, 0.280007, 0.279625, 0.279568, 0.280855, 0.279229, 0.281518, 0.278914, 0.280328, 0.27933, 0.279502, 0.278201, 0.281008, 0.280463, 0.278619, 0.281174, 0.27843, 0.2791, 0.279176, 7.52158e-05
1938.77,0.992014,0.00262642,10,1023,0,-1844.29,0.202006,0.769798,0.652257,-0.167363,-0.10531,0.0719797,-0.208256,0.0223581,0.0636307,0.324779,0.437945,0.554981,0.286668,-0.317676,0.544334,-0.1288,0.612615,0.0792309,0.52902,0.306035,0.143655,0.0573551,-0.239107,0.725584,0.103878,0.320299,0.480344,-0.218148,0.776246,0.305735,0.20768,-0.318619,-0.103061,-0.246918,0.124794,0.2445,0.0957211,0.208516,0.257135,-0.253161,0.365958,0.741947,-0.823818,0.49289,-0.618112,-0.873792,-1.55095,-0.433673,-0.948171,-0.676447,-1.32466,-0.459938,-0.92157,-1.17701,-0.825859,-1.05592,-0.334756,-0.182017,-0.346122,-0.928228,-1.28802,-1.08389,-1.27636,-0.481727,-1.29652,-0.737751,-1.21533,-1.68587,-1.41998,-1.25358,0.136184,-1.04776,-1.20625,-2.05381,-1.3466,-1.46547,-1.13948,-1.71519,0.569288,-0.560863,-0.728839,-0.778445,-0.547353,-1.93722,-0.524009,-0.903455,-0.888425,-0.388422,-0.652346,-0.00797567,-0.747725,-0.526265,-1.51131,-0.890604,-0.456504,-0.974296,-1.37815,-0.815383,-0.127873,0.1177,-1.27424,-0.166128,-1.2686,-0.561084,0.283186,-0.010188,-1.11597,-0.989245,-1.45812,-0.787463,-0.900658,-1.02486,-1.38283,-0.203532,-1.39503,-1.16956,-0.906067,-1.31374,-0.263132,-0.10767,-0.11183,-0.943982,-1.05407,-1.18652,7.44963,0.0695771,0.443919,0.383373,0.0250798,0.86865,0.262071,0.0263225,0.035457,0.210267,0.356833,0.180774,0.205758,0.105366,0.0912615,0.235216,0.143705,0.12525,0.0188066,0.0824643,0.201136,0.118316,0.0292585,0.126453,0.0481345,0.236362,0.102263,0.00696288,0.113374,0.0310946,0.169768,0.0304467,0.0753551,1.76224,1.93036,1.93938,0.805095,2.75051,1.34973,1.60985,1.45042,1.54893,1.71794,0.931194,0.973731,0.139127,1.03755,0.520295,0.849388,1.14519,0.284132,1.29165,0.78526,0.544158,0.0460381,-0.183846,-0.441297,0.658495,0.299181,0.135001,0.113348,0.1839,-0.227226,0.333041,0.810619,0.450172
1944.72,0.901001,0.00262642,11,2047,0,-1864.97,0.302055,0.687852,0.0246672,-0.306233,0.0436694,0.167321,0.0418857,-0.194301,0.439101,0.517204,0.0894884,0.714157,0.355688,-0.0613482,1.63217,-0.177634,0.406037,0.158565,-0.112097,0.223383,-0.337118,0.12829,-0.074486,0.466298,-0.00229887,0.433364,0.758913,-0.0685963,0.572549,0.323424,-0.230233,-0.243886,0.121099,-0.517518,1.03512,0.243516,0.853432,0.758591,0.423511,0.340843,0.628288,1.17166,-0.817439,0.55614,-0.555307,-1.01935,-1.62079,-0.398472,-0.938337,-0.627013,-1.257,-0.408805,-0.79936,-1.10441,-0.803982,-1.03614,-0.442681,-0.0929417,-0.438415,-0.957098,-1.25009,-0.874957,-1.19033,-0.531958,-1.31191,-0.612702,-1.22404,-1.78649,-1.26566,-1.26541,0.0534692,-0.944513,-1.10371,-1.96311,-1.22899,-1.44964,-1.07183,-1.54942,0.476455,-0.505024,-0.623178,-0.769883,-0.49584,-1.99965,-0.568484,-0.894465,-0.780101,-0.433595,-0.505684,-0.0571774,-0.684827,-0.543121,-1.37336,-0.857225,-0.536136,-0.88148,-1.24201,-0.869792,-0.0939699,0.162118,-1.14438,-0.101757,-1.196,-0.503845,0.284394,0.140548,-1.0084,-0.973153,-1.45394,-0.857697,-0.889854,-1.01104,-1.27623,-0.163297,-1.3652,-1.13911,-1.01939,-1.36022,-0.239293,-0.0575137,-0.13135,-0.862504,-1.03503,-1.24931,7.66742,0.198673,0.0168606,0.0601697,0.375173,0.330335,0.0588388,0.257015,0.0295226,0.0967548,0.0440586,0.293598,0.423952,0.115548,0.172788,0.00584269,0.0283668,0.127302,0.0720637,0.328807,0.0507769,0.241576,0.349948,0.0477676,0.111739,0.103609,0.0888064,0.18228,0.0521471,0.0304002,0.162589,0.0265053,0.0229883,1.76861,1.96786,1.9095,0.813074,2.74642,1.38185,1.61194,1.39519,1.45789,1.6294,0.863534,0.955036,0.0928227,0.988086,0.513234,0.88096,1.12246,0.223891,1.3084,0.753215,0.5108,0.04368,-0.130017,-0.491201,0.681092,0.273515,0.0907734,0.0998905,0.110695,-0.229272,0.306753,0.803646,0.449882
1933.08,0.988799,0.00262642,12,7167,0,-1844.59,-0.211119,0.300397,0.133461,-0.524379,0.0581742,0.220695,-0.296622,-0.0342096,0.0319631,0.405556,0.145564,0.561753,0.29983,-0.0533474,0.193701,-0.533791,-0.272411,-0.0262539,-0.101091,0.324247,-0.304452,-0.558768,-0.117015,0.638861,0.143769,0.213249,0.571491,0.0997976,0.45291,0.71882,0.177225,-0.265052,-0.109902,-0.741924,0.527118,0.028491,0.180067,-0.0734126,-0.133982,-0.417077,0.0867954,0.552406,0.117873,0.441648,0.416531,-0.0520401,-0.692852,0.601467,0.0141581,0.349909,-0.265657,0.508067,0.107717,-0.17212,0.102353,-0.0763418,0.487309,0.897775,0.52951,0.0216372,-0.260716,0.0398031,-0.180185,0.385186,-0.339998,0.344075,-0.210726,-0.829246,-0.327989,-0.245013,1.0804,0.0106414,-0.127034,-1.01706,-0.326316,-0.469751,-0.0649698,-0.567669,1.4353,0.43983,0.405016,0.194306,0.420127,-1.03765,0.439611,0.12504,0.153038,0.516857,0.414765,0.97863,0.223741,0.396369,-0.451187,0.0806013,0.415731,0.0487948,-0.339254,0.133538,0.864974,1.13765,-0.181116,0.863068,-0.221478,0.456135,1.25819,1.13084,-0.0493244,0.0758809,-0.454867,0.0766487,0.0866596,-0.0424861,-0.359126,0.792759,-0.379412,-0.223762,-0.10689,-0.386387,0.737212,0.967882,0.811996,0.136479,-0.0857112,-0.234577,4.85962,0.0907427,0.00313037,0.122082,0.492915,1.24212,0.157736,0.339096,0.14116,0.21676,0.211385,0.811316,0.146059,0.0923947,0.0793901,0.334022,0.0262265,0.010933,0.149151,0.172932,0.0763379,0.623139,0.0255891,0.221474,0.0925118,0.448982,0.00859763,0.121142,0.0163427,0.608628,0.0802285,0.0163752,0.116636,0.762311,1.01282,0.9098,-0.166939,1.76835,0.371206,0.619082,0.398437,0.570208,0.734294,-0.0906787,-0.0596221,-0.831803,0.0376044,-0.435524,-0.114071,0.182481,-0.690784,0.352766,-0.281811,-0.439827,-0.905186,-1.12152,-1.44234,-0.262063,-0.69132,-0.813154,-0.870221,-0.871792,-1.19737,-0.670115,-0.216251,0.45263
1950.66,0.976537,0.00262642,10,2047,0,-1847.14,0.232484,0.386433,-0.00151132,-0.704424,-0.115699,0.0270942,-0.256252,-0.120986,-0.0369625,0.316385,-0.193182,0.152056,0.235759,-0.461216,-0.204078,-0.489981,-0.275601,-0.279347,-0.2497,-0.110931,-0.481687,-0.665378,-0.435557,0.129086,0.151727,-0.0236964,0.161645,-0.457302,0.245909,0.0798484,-0.157963,-0.46351,-0.650152,-0.64177,0.438684,-0.174908,0.037979,0.196941,0.0182927,-0.286589,0.173755,0.255424,0.0655401,0.512074,0.397446,0.0799644,-0.608204,0.592469,0.0651341,0.331148,-0.33699,0.594776,0.0751655,-0.198432,0.21095,-0.0737188,0.614957,0.770503,0.589527,0.0042538,-0.358595,-0.0755264,-0.451154,0.584061,-0.23023,0.203213,-0.156266,-0.65576,-0.323841,-0.362564,1.1225,0.0496523,-0.115685,-0.894273,-0.29853,-0.352798,-0.0843663,-0.595141,1.46897,0.458145,0.414006,0.139957,0.409646,-1.09652,0.445497,0.0919193,0.220504,0.580395,0.42971,0.947863,0.409256,0.495494,-0.446111,0.105745,0.420836,-0.0636483,-0.322917,0.183928,0.749987,1.11219,-0.183512,0.855543,-0.231612,0.458991,1.25974,1.0132,-0.116002,-0.0984373,-0.489803,0.0919376,0.135874,0.0273081,-0.419223,0.793023,-0.505405,-0.230784,0.0765894,-0.282152,0.729254,0.929219,0.878442,0.171287,-0.00131177,-0.229515,5.74795,0.135434,0.0132667,0.256239,0.422428,0.611914,0.0549007,0.163898,0.17883,0.111067,0.119158,0.53605,0.0583373,0.201157,0.334668,0.154331,0.0481665,0.162221,0.113311,0.437933,0.127215,0.459311,0.099962,0.138102,0.258022,0.252538,0.0333793,0.386601,0.0121996,0.0208326,0.0302058,0.0187147,0.176285,0.767471,0.974006,0.950686,-0.207946,1.77399,0.367011,0.577327,0.400631,0.52636,0.669115,-0.107208,-0.0240472,-0.880895,-0.021925,-0.473436,-0.112629,0.182538,-0.747586,0.350864,-0.282884,-0.42528,-0.899892,-1.10233,-1.38482,-0.32111,-0.659635,-0.843381,-0.890744,-0.879195,-1.16262,-0.660008,-0.167351,0.447944
1945.96,0.986887,0.00262642,11,2047,0,-1857.94,-0.297225,0.238394,-0.194133,-0.834445,0.0663938,0.120118,-0.140803,-0.117598,0.143944,0.412385,0.529681,0.72405,0.349436,-0.149283,0.703995,-0.161192,0.602497,0.281799,0.263407,0.243578,-0.293859,-0.414353,-0.14735,0.112938,0.216632,0.569406,0.703826,-0.153924,0.444343,0.545533,0.475501,-0.289303,-0.182806,-0.421489,0.836651,0.24826,0.596179,0.527629,0.230903,0.101193,0.507155,1.04152,0.294858,0.570669,0.582966,0.135955,-0.498634,0.726404,0.148224,0.473182,-0.161865,0.679514,0.281042,-0.0670348,0.246877,-0.0137567,0.698369,0.927164,0.745789,0.111986,-0.16807,0.0253695,-0.193314,0.673511,-0.121021,0.361341,-0.0584825,-0.633651,-0.15988,-0.182448,1.31468,0.101897,0.0162756,-0.868191,-0.0893784,-0.350919,0.0255512,-0.540881,1.70061,0.630604,0.524041,0.195074,0.71187,-0.961329,0.60287,0.142441,0.348343,0.778558,0.617275,1.0611,0.48169,0.639679,-0.293124,0.21502,0.554691,0.1676,-0.139368,0.295516,1.02427,1.32809,0.0162737,0.929505,-0.0836024,0.583395,1.39116,1.21442,0.0317654,0.0835691,-0.372713,0.350949,0.14773,0.167853,-0.274732,0.956192,-0.346771,-0.0713981,0.217343,-0.180705,0.875482,0.956416,0.983572,0.314529,0.137134,-0.094117,7.29167,0.03871,0.00708655,0.212432,0.0282707,0.571867,0.0440111,0.047705,0.0265358,0.204475,0.0326589,0.163803,0.183625,0.0634218,0.277504,0.0393879,0.154072,0.034609,0.0616272,0.247418,0.0400434,0.168958,0.0534032,0.291916,0.0650955,0.160087,0.260039,0.207989,0.0408029,0.0137268,0.0212232,0.0425006,0.0105135,0.698791,0.816514,0.776868,-0.31765,1.65806,0.264693,0.481285,0.299392,0.408302,0.516915,-0.261442,-0.255155,-0.992211,-0.127012,-0.604187,-0.266878,0.0356169,-0.874585,0.193759,-0.342384,-0.522435,-1.01733,-1.30332,-1.50629,-0.373464,-0.820825,-1.03727,-1.00927,-1.04425,-1.34727,-0.8093,-0.327009,0.448744
1937.6,0.906475,0.00262642,12,6143,0,-1844.72,0.216553,0.293959,-0.0681825,-0.30841,0.108348,0.173716,-0.0895207,-0.162495,0.40001,0.501377,0.621474,0.758144,0.664279,-0.0940066,1.5391,-0.0752013,0.647879,0.482949,0.161518,0.335366,-0.132331,-0.238225,-0.139276,0.0382006,0.0971646,0.251446,0.595421,-0.0595683,0.879607,0.482645,0.251802,-0.290175,-0.331607,-0.725737,0.647169,0.309042,0.379281,0.399956,-0.0313912,-0.0563138,0.212434,0.782179,-0.493636,0.543502,-0.201849,-0.519294,-1.22769,-0.0113835,-0.650652,-0.24039,-0.893441,-0.0743459,-0.462442,-0.811463,-0.422175,-0.684581,-0.00503643,0.29419,-0.115242,-0.662112,-0.970678,-0.560269,-0.898033,-0.0581396,-0.813763,-0.292341,-0.888092,-1.27334,-0.991378,-0.891051,0.402703,-0.675888,-0.782059,-1.57252,-0.868469,-1.01477,-0.613822,-1.18749,0.828664,-0.226953,-0.1641,-0.444613,-0.2778,-1.57251,-0.234701,-0.575687,-0.424517,-0.0717037,-0.261233,0.417281,-0.319625,-0.212532,-1.01524,-0.458277,-0.0893462,-0.60269,-0.969973,-0.525457,0.233995,0.467234,-0.846987,0.207393,-0.892785,-0.113202,0.702102,0.359131,-0.723185,-0.635338,-1.05251,-0.411884,-0.483453,-0.648316,-1.12297,0.177677,-1.11051,-0.940108,-0.633222,-1.09168,0.044935,0.28888,0.283405,-0.542124,-0.680589,-0.810395,6.45548,0.0371789,0.201635,0.137656,0.132587,0.184265,0.233005,0.14062,0.0851646,0.00888533,0.0331038,0.172295,0.173251,0.0410889,0.251402,0.224642,0.112249,0.0760226,0.0180856,0.0185169,0.042828,0.108952,0.0532803,0.0971749,0.176956,0.144675,0.242591,0.0567424,0.192287,0.107475,0.0783318,0.03201,0.26986,1.36777,1.59945,1.53341,0.477529,2.40045,0.912503,1.21337,1.0463,1.09842,1.27603,0.523221,0.60359,-0.243834,0.564051,0.188029,0.52134,0.811104,-0.136134,0.976133,0.354524,0.210523,-0.29789,-0.533809,-0.794008,0.365845,-0.0537061,-0.276058,-0.230729,-0.225441,-0.588518,-0.0507531,0.499794,0.448321
