# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim4_nocor_model
# start_datetime = 2022-03-09 17:20:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc22ee41c.json
# init = 2 (Default)
# random
#   seed = 1891843561
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,r,s_SI.1,s_SI.2,s_SI.3,s_SI.4,s_SI.5,s_SI.6,s_SI.7,s_SI.8,s_SI.9,s_SI.10,s_SI.11,s_SI.12,s_SI.13,s_SI.14,s_SI.15,s_SI.16,s_SI.17,s_SI.18,s_SI.19,s_SI.20,s_SI.21,s_SI.22,s_SI.23,s_SI.24,s_SI.25,s_SI.26,s_SI.27,s_SI.28,s_SI.29,s_SI.30,s_SI.31,s_SI.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ
# Adaptation terminated
# Step size = 0.000914401
# Diagonal elements of inverse mass matrix:
# 0.178382, 0.135079, 0.138632, 0.132034, 0.0187136, 0.0193579, 0.0282696, 0.0164765, 0.170792, 0.0709891, 0.289411, 0.303318, 0.250875, 0.303348, 0.246442, 0.496046, 0.321123, 0.260725, 0.272208, 0.266343, 0.236052, 0.263623, 0.525631, 0.256723, 0.295089, 0.286194, 0.242328, 0.315852, 0.24382, 0.293796, 0.240981, 0.340906, 0.265914, 0.253256, 0.245976, 0.276877, 0.288547, 0.300412, 0.258825, 0.379412, 0.2439, 0.237713, 0.173045, 0.00691915, 0.181675, 0.17904, 0.177129, 0.181342, 0.182333, 0.180054, 0.179979, 0.180055, 0.181045, 0.178213, 0.17898, 0.179829, 0.179325, 0.177969, 0.179842, 0.178216, 0.178551, 0.180481, 0.179345, 0.178956, 0.178588, 0.181463, 0.179843, 0.179006, 0.179873, 0.178837, 0.1772, 0.181038, 0.178312, 0.178123, 0.18031, 0.178985, 0.180905, 0.179885, 0.179422, 0.176914, 0.178959, 0.180234, 0.179254, 0.179869, 0.180063, 0.180355, 0.180243, 0.180395, 0.17782, 0.178715, 0.179156, 0.179239, 0.175456, 0.180691, 0.180596, 0.178042, 0.181009, 0.178543, 0.17895, 0.178271, 0.178965, 0.179294, 0.180136, 0.179836, 0.180214, 0.1797, 0.179047, 0.180902, 0.181659, 0.179076, 0.18049, 0.177978, 0.179546, 0.178994, 0.182979, 0.179913, 0.178519, 0.178382, 0.18014, 0.178838, 0.179764, 0.178353, 0.177454, 0.181275, 0.19726, 1.6665, 1.61955, 1.49438, 1.55923, 1.54013, 1.593, 1.68959, 1.32058, 1.53824, 1.62674, 1.64613, 1.4697, 1.37276, 1.50572, 1.51918, 1.66313, 1.73965, 1.70105, 1.4014, 1.25568, 1.46651, 1.65317, 1.73694, 1.41032, 1.45603, 1.54651, 1.49448, 1.5901, 1.48747, 1.56739, 1.51571, 1.59629, 0.17832, 0.178489, 0.17822, 0.177296, 0.178285, 0.178687, 0.177653, 0.177761, 0.178531, 0.177357, 0.178568, 0.177221, 0.177316, 0.179489, 0.177935, 0.178084, 0.177273, 0.176909, 0.178277, 0.176632, 0.177969, 0.177747, 0.178664, 0.178186, 0.179604, 0.178572, 0.177936, 0.177723, 0.177634, 0.177879, 0.177757, 0.177189, 8.8565e-05
1849.74,0.990961,0.000914401,12,4513,1,-1751.94,0.698874,-0.0565759,0.214296,-0.406896,-0.363706,0.184296,-0.0732937,0.0549102,-0.41716,0.601434,-0.884148,-1.27358,-0.965862,0.205119,-0.701969,0.782795,0.19789,-0.833455,-0.417041,-0.229144,-1.02417,-0.983404,0.709802,-0.753145,0.075885,0.195635,-0.938537,0.109399,-0.644471,-0.96195,-0.268701,-1.35389,-0.512649,-1.00425,-0.753071,-0.620626,-0.345173,0.168501,-0.685945,0.771008,-0.518358,-0.188274,-0.331646,0.495727,-0.0124921,-0.394057,-1.06888,0.253591,-0.436493,-0.0521332,-0.816036,0.0243646,-0.146098,-0.598392,-0.317076,-0.606601,0.194575,0.457367,0.201277,-0.473171,-0.799762,-0.405457,-0.651129,-0.0212384,-0.90876,-0.178243,-0.587838,-1.10736,-0.644015,-0.70528,0.718216,-0.43437,-0.616566,-1.38394,-0.724734,-0.971307,-0.618556,-1.03219,1.04786,0.035778,0.0675501,-0.325332,0.049101,-1.61097,-0.0868785,-0.337069,-0.317351,0.12782,-0.00897447,0.626232,-0.0347465,-0.0306972,-0.828495,-0.3248,0.110204,-0.365317,-0.69608,-0.0914993,0.39638,0.741129,-0.652456,0.272079,-0.629088,0.045241,0.831783,0.653337,-0.452711,-0.285428,-0.826975,-0.287375,-0.33884,-0.369183,-0.820292,0.358949,-1.0094,-0.619696,-0.526297,-0.868904,0.426109,0.573765,0.554171,-0.339137,-0.262867,-0.77331,1.9651,0.251262,0.663154,0.479285,0.732884,0.267507,0.366788,0.0937554,0.109757,0.275305,0.295709,0.358934,0.496768,0.106932,0.0268793,0.320071,0.176214,0.308531,0.225047,0.295388,0.109112,0.020061,0.0458269,0.262187,0.414714,0.0509495,0.377691,0.0548113,0.451885,0.0379663,0.206139,0.609718,0.844916,0.31188,-0.0932022,0.330395,0.972439,0.455947,2.15579,0.955893,0.984348,1.01251,1.02992,-0.0559739,-0.00968091,1.79046,-0.140599,0.0150159,0.519883,0.247221,1.31737,-0.0176407,-0.206947,0.397207,-0.870081,-0.267074,-0.769627,-0.581384,-0.0784384,-0.223657,0.272175,-0.830999,1.02284,-0.712979,0.103449,0.450536
1848.63,0.994235,0.000914401,12,4095,0,-1758.22,1.03714,-0.0590221,-0.0320837,-0.574779,-0.159188,0.113946,-0.0351495,0.0880004,-0.677398,0.366511,-0.701155,-1.53882,-0.928799,-0.553508,-0.61625,0.151187,-0.580845,-0.916662,-0.858354,-0.304799,-1.24139,-1.36264,-0.443015,-0.968407,-0.401815,-0.343239,-0.684417,0.143885,-0.706811,-0.955491,-0.508555,-0.636401,-0.608219,-0.806292,-0.761466,-0.813263,-0.154916,-0.452044,-1.24976,-0.2284,-1.05473,-0.534885,-0.349011,0.445154,-0.0803686,-0.368721,-1.00561,0.164433,-0.499642,-3.58721e-05,-0.78375,0.0181519,-0.296731,-0.562743,-0.404982,-0.622048,0.201214,0.44856,0.0708058,-0.401633,-0.767408,-0.508473,-0.785438,-0.00100233,-0.835138,-0.14869,-0.604211,-1.12737,-0.888028,-0.841163,0.766008,-0.454287,-0.554322,-1.47071,-0.717564,-1.01125,-0.560225,-0.985067,1.02996,-0.0307098,0.0560699,-0.38066,-0.0605684,-1.57683,-0.0247076,-0.555721,-0.12816,0.0599908,-0.123329,0.671533,-0.0837767,0.0406131,-0.852504,-0.448124,0.108022,-0.476922,-0.746448,-0.177027,0.381415,0.676669,-0.603814,0.298422,-0.68945,0.0585961,0.870738,0.559585,-0.424273,-0.275948,-0.797778,-0.362316,-0.274931,-0.423604,-0.904185,0.401838,-0.9322,-0.716234,-0.505125,-0.914239,0.299202,0.49036,0.640308,-0.266636,-0.484499,-0.761556,1.3164,1.58823,0.0134691,0.139082,0.700091,0.0196623,0.933628,0.533691,0.375618,0.445163,0.134033,0.312719,0.794469,1.2135,0.100286,0.281607,0.127057,0.238164,0.147316,0.9834,0.418944,0.0151161,0.753768,0.483356,0.511762,0.415264,0.265791,0.50383,0.389716,0.0211186,0.611058,0.316743,0.211873,0.33193,-0.126135,0.366779,1.00526,0.481902,2.08568,1.01787,1.03477,1.04918,1.02453,-0.00804141,0.0260978,1.80716,-0.105162,-0.0109686,0.50758,0.242725,1.22133,0.0175647,-0.131528,0.386821,-0.813124,-0.266764,-0.770168,-0.592422,-0.0636668,-0.185342,0.27137,-0.837677,1.05435,-0.706292,0.144267,0.450895
1852.66,0.995411,0.000914401,12,4095,0,-1769.52,0.430373,0.854592,0.378401,0.170103,0.028966,-0.0285258,-0.141197,-0.0839711,-0.78087,0.416714,-1.09605,-0.885601,-0.911646,-0.279099,-0.701522,-0.39655,-0.665122,-0.782657,-0.992086,-1.1622,-1.10731,-1.26864,-0.868379,-0.754755,-0.795629,-0.810061,-0.472069,0.0406023,-0.807717,-0.837035,-0.243618,-0.878417,-0.809982,-1.38718,-1.15727,-0.447336,-0.494162,-0.449272,-1.35036,-0.378455,-0.801905,-0.445638,-0.144963,0.523862,0.0702107,-0.291725,-0.838444,0.252358,-0.413747,0.0716316,-0.650886,0.152172,-0.171469,-0.480288,-0.207749,-0.580984,0.292149,0.543461,0.225693,-0.402676,-0.760646,-0.384015,-0.688718,0.031037,-0.703276,-0.0847116,-0.612791,-1.07102,-0.673869,-0.726338,0.713894,-0.479301,-0.484531,-1.43319,-0.737925,-0.959466,-0.557127,-0.911331,1.13258,-0.0163266,0.0390324,-0.254469,0.0370426,-1.46662,0.0965331,-0.421795,-0.0336752,0.133003,0.00790935,0.62629,-0.0538001,0.161263,-0.79137,-0.319124,0.14408,-0.359638,-0.650228,-0.202575,0.488987,0.822357,-0.726257,0.355214,-0.663374,0.0752089,0.911649,0.729145,-0.38758,-0.221935,-0.818181,-0.364673,-0.248142,-0.323136,-0.780238,0.401695,-0.838815,-0.62155,-0.433148,-0.856959,0.387165,0.615614,0.642412,-0.210735,-0.303705,-0.71259,2.41724,0.432171,0.608233,0.294702,0.105901,0.338652,1.1352,0.455554,1.17762,0.564543,0.906029,0.209772,0.0153392,0.966739,0.106149,0.401207,0.655907,0.956234,0.265361,0.128144,0.540286,0.269791,0.719172,0.066232,0.0165061,0.527192,0.30879,0.127207,0.470363,0.0879122,0.612534,0.279364,0.0395605,0.243485,-0.214802,0.38128,0.911768,0.417741,2.0682,0.944825,0.982155,0.928192,0.921584,-0.11794,-0.080557,1.71768,-0.168499,-0.0550331,0.43416,0.181291,1.14185,-0.0876444,-0.159441,0.33221,-0.92138,-0.304501,-0.828779,-0.708273,-0.129217,-0.232969,0.249685,-0.864278,0.983321,-0.782301,0.0225464,0.455303
1855.74,0.99972,0.000914401,12,4095,0,-1758.06,-0.239464,0.878292,0.613609,0.0336827,-0.215634,-0.00833377,0.356581,0.212809,-0.574772,0.385466,-0.764188,-0.995206,-0.387956,-0.0264283,-0.415742,-0.654898,-1.0329,-0.482141,0.397374,-1.09034,-0.866744,-0.463947,-0.774742,-0.79337,-0.626843,-0.0665553,-0.855245,-0.55268,-0.602811,-1.22037,0.0273997,-1.82634,-0.429101,-0.608178,-0.509571,-0.161491,-0.416839,-1.11655,-0.828146,-0.660155,-0.881006,-0.273413,-0.129199,0.500254,0.0584406,-0.287001,-0.817092,0.233164,-0.444603,0.0928371,-0.656763,0.126443,-0.131348,-0.493659,-0.225569,-0.557143,0.297881,0.583684,0.249088,-0.39487,-0.708998,-0.350979,-0.650871,0.0313656,-0.686677,-0.0615777,-0.551221,-1.05447,-0.727248,-0.680466,0.752463,-0.3816,-0.507817,-1.30027,-0.68451,-0.904504,-0.504983,-0.911698,1.15197,0.0244088,0.0839195,-0.24473,0.0692085,-1.42568,0.080744,-0.376683,-0.0776156,0.153858,0.0932289,0.674744,-0.061847,0.147373,-0.780541,-0.311324,0.134551,-0.310421,-0.615785,-0.17873,0.479471,0.804278,-0.679854,0.345669,-0.607259,0.137742,0.92866,0.755576,-0.377861,-0.270377,-0.820408,-0.362957,-0.206875,-0.284799,-0.751128,0.422599,-0.80136,-0.63065,-0.366973,-0.857908,0.385811,0.577822,0.6553,-0.204579,-0.264014,-0.640912,3.06571,0.153075,0.129667,0.0918742,0.0065982,0.132459,0.725689,0.506302,0.201501,0.164429,0.564102,0.110942,0.646955,0.828246,0.522672,0.413102,0.114092,0.533954,0.709356,0.158327,0.708791,0.540308,0.0185988,0.112873,0.339044,0.0420555,0.718922,0.455373,0.67487,0.124182,1.37249,0.219898,0.267358,0.221427,-0.187987,0.343057,0.926346,0.331788,2.01191,0.917451,0.921605,1.03995,0.933905,-0.0773502,-0.0650794,1.66247,-0.145218,-0.0800421,0.378984,0.173648,1.15815,-0.102995,-0.250396,0.342439,-0.919379,-0.356172,-0.889743,-0.64097,-0.14645,-0.268786,0.155626,-0.94869,0.973357,-0.848619,0.0053283,0.457921
1837.49,0.986278,0.000914401,12,4095,0,-1752.24,0.424454,0.617574,0.696562,0.00104699,-0.374826,0.0738475,0.101985,0.325715,-0.872005,0.38066,-1.56804,-1.17842,-0.35555,-0.921269,-0.940533,-0.038382,-0.190449,-1.0318,-0.648091,-1.68937,-1.6891,-0.674706,-1.10634,-1.35269,-1.00184,-0.436231,-1.46577,-0.343498,-1.18133,-1.63485,-0.874578,-1.38109,-0.802124,-0.814325,-1.29561,-0.413453,-0.994128,-0.72003,-1.06821,-0.234472,-1.03176,-1.45174,-0.260478,0.607011,0.0216812,-0.252373,-0.977805,0.278789,-0.416059,0.0159372,-0.75346,0.113788,-0.275585,-0.624366,-0.235876,-0.526367,0.275426,0.477067,0.186608,-0.509558,-0.727661,-0.439634,-0.763897,-0.0180964,-0.83858,-0.0931649,-0.548947,-1.18354,-0.779172,-0.589073,0.775429,-0.432578,-0.659728,-1.38655,-0.677256,-0.921034,-0.502547,-0.926822,1.11148,0.119913,0.0182806,-0.27637,0.0423815,-1.50846,0.0918593,-0.406034,-0.264364,0.0874637,0.0343673,0.648415,-0.0466203,0.161168,-0.867857,-0.2603,0.131308,-0.280029,-0.638876,-0.181818,0.46101,0.720094,-0.679364,0.42435,-0.513556,0.026007,0.870634,0.633933,-0.331268,-0.163105,-0.81278,-0.380586,-0.231586,-0.425537,-0.746785,0.415606,-0.829018,-0.618442,-0.369558,-0.841253,0.35097,0.590082,0.616203,-0.261029,-0.282429,-0.72098,2.32079,0.817897,0.476704,0.560397,1.13545,0.266978,0.734972,0.389824,0.00209163,1.31883,0.687291,0.560553,0.574402,1.05749,0.0989004,0.110919,0.178968,0.248077,0.878587,0.00548178,1.09099,0.151432,0.87256,1.03336,0.119216,0.236096,0.0812777,0.468743,0.237617,0.291141,0.0896021,0.522156,0.749237,0.23035,-0.185249,0.38189,1.00067,0.367347,2.07028,1.00542,0.978831,1.01906,0.968561,0.00574958,-0.00839233,1.72256,-0.176084,-0.0702368,0.388912,0.173965,1.1871,-0.0888026,-0.17781,0.3911,-0.907324,-0.361864,-0.802527,-0.639837,-0.097132,-0.27405,0.265828,-0.859037,1.00018,-0.796046,0.047245,0.454765
1839.32,0.999543,0.000914401,12,4095,0,-1751.73,-0.600728,0.727875,0.497875,0.0810737,-0.596049,-0.146584,0.0541678,0.263903,-0.00705505,0.561994,-0.976696,0.749706,0.421371,-0.288825,-0.00507712,1.35383,0.147021,-1.12749,0.474857,0.384984,-0.582924,0.0536225,1.22276,0.0626854,0.34331,0.831992,-0.0782969,0.456431,-0.133069,-0.59676,0.20976,-0.867147,-0.242961,-0.0437949,-0.395846,0.211025,-0.671306,0.245054,0.15256,0.232824,-0.626265,-0.0206994,0.197003,0.562338,0.352762,0.0385427,-0.549597,0.600108,-0.00679642,0.421401,-0.413525,0.389709,0.303459,-0.149704,0.0871371,-0.0510948,0.613169,0.929506,0.585059,-0.0306326,-0.381339,-0.00285915,-0.160626,0.462369,-0.37912,0.275536,-0.156526,-0.683212,-0.315497,-0.407902,1.07455,0.00918865,-0.153176,-0.935644,-0.326603,-0.467904,-0.180353,-0.604479,1.59372,0.468774,0.383331,0.0812859,0.339911,-1.15851,0.33458,-0.0521041,0.163949,0.556074,0.414389,0.996533,0.416386,0.353058,-0.415701,0.048413,0.57232,-0.00441987,-0.191939,0.249782,0.74817,1.12084,-0.155963,0.743221,-0.249174,0.562332,1.37513,1.0828,-0.0396688,0.175337,-0.363218,0.169827,0.0936271,-0.0749927,-0.421373,0.841562,-0.538607,-0.252071,-0.0248909,-0.354,0.903539,0.985754,0.991165,0.0911408,0.0584987,-0.350614,4.99771,0.0527302,0.929278,0.467356,0.0998717,0.0256179,0.322933,0.308734,0.529103,0.014527,0.0546969,0.198205,0.856776,0.0454919,0.30807,0.463899,0.132953,0.0648452,0.302958,0.0511104,0.394283,0.0901721,0.078642,0.216086,0.216125,0.0694065,0.00554938,0.0147812,0.289624,0.736682,0.38446,0.0904468,0.323353,-0.13286,-0.571288,-0.0383642,0.554689,0.0265083,1.71097,0.516227,0.5595,0.597396,0.597792,-0.413618,-0.453252,1.30173,-0.534942,-0.442259,0.0216596,-0.131414,0.815404,-0.458157,-0.530934,-0.00100645,-1.3152,-0.749023,-1.23139,-1.06874,-0.483926,-0.686411,-0.164136,-1.31046,0.623177,-1.14955,-0.260663,0.462427
