# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim5_model
# start_datetime = 2022-03-09 18:49:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bccb3048ed.json
# init = 2 (Default)
# random
#   seed = 1750050239
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0431738
# Diagonal elements of inverse mass matrix:
# 0.14291, 0.0997881, 0.0944313, 0.0962522, 0.0163967, 0.00659562, 0.125927, 0.437331, 0.275785, 0.244283, 0.18223, 0.169951, 0.162214, 0.221658, 0.183729, 0.179873, 0.177842, 0.178975, 0.183629, 0.232127, 0.245708, 0.196277, 0.191348, 0.185183, 0.178142, 0.190695, 0.184299, 0.264868, 0.158933, 0.323957, 0.21994, 0.2483, 0.198105, 0.1693, 0.194047, 0.196937, 0.203692, 0.232364, 0.225219, 0.177678, 2.22119, 0.018984, 0.0246103, 0.0198275, 0.0196517, 0.0241154, 0.0222894, 0.0178127, 0.0198819, 0.020427, 0.0214701, 0.0173525, 0.0189526, 0.0180044, 0.017279, 0.0187791, 0.0247318, 0.015723, 0.0206939, 0.0200035, 0.0209951, 0.0183089, 0.0192751, 0.0225057, 0.0221095, 0.0183307, 0.0197733, 0.0184279, 0.0200627, 0.0195634, 0.0181591, 0.0201849, 0.0227834
13.684,0.872265,0.0431738,7,127,0,12.9018,-0.193433,0.314274,0.217087,0.00483754,-0.164915,0.0445771,-0.882959,0.123523,-0.950447,-0.997577,-0.978682,-0.724063,-0.959073,-0.850519,-0.717474,-0.535905,-0.886449,-0.828599,-0.663747,-0.759993,-0.879277,-0.998527,-0.709977,-0.745902,-0.796694,-0.90885,-1.10857,-0.846352,-0.964714,-0.883048,-0.753517,-1.00166,-1.04989,-0.850379,-0.904897,-0.778211,-0.839097,-0.83172,-0.774723,-0.956521,0.528182,-0.668887,-0.803534,-0.642773,0.0418319,-0.480108,0.582351,-0.336997,-0.144151,-0.290264,0.201999,-0.738438,-0.954692,0.405194,-1.33859,-0.810699,-0.244902,-0.844039,-0.140703,-1.24304,-1.00056,-0.669511,-1.84807,-1.23519,-2.02685,-1.78518,-0.997159,-0.874917,-0.484992,-1.54804,0.00460848,-1.99035,-0.806673
4.83805,0.985322,0.0431738,7,127,0,36.5152,-0.430446,0.29535,0.0929806,-0.364837,-0.154535,0.223083,-0.65287,0.21207,-0.615485,-0.743762,-0.341466,-0.886139,-0.555468,-0.902675,-0.223729,-0.457852,-0.637474,-0.667157,-1.00632,-0.960173,-0.351363,-0.717638,-0.649762,-0.592491,-0.484935,-0.624999,-0.888103,-0.916532,-0.480579,-0.538332,-0.491351,-0.691345,-0.688302,-0.560715,-0.743477,-0.943799,-0.501222,-0.192097,-0.72075,-0.732236,0.400303,-0.474256,-1.0293,-0.311576,-0.5455,-0.472032,0.66911,-0.388957,-0.172664,-0.0266066,-0.0743152,-0.844707,-0.775103,0.55079,-0.728586,-0.895582,-0.766514,-0.589498,-0.123971,-1.25775,-1.06266,-0.405873,-1.77046,-1.20833,-1.90485,-1.69856,-1.37409,-0.823412,-0.305079,-1.5334,0.010926,-1.40013,-1.17811
2.54766,0.992281,0.0431738,7,127,0,25.1144,-0.256138,-0.102093,-0.0777423,-0.148321,-0.223599,0.159231,-0.563977,0.349744,-1.17012,-0.750656,-0.359855,-0.0703903,-0.742782,-0.0394721,-0.625356,-0.698163,-0.836604,-0.501035,-0.983411,-0.600829,-0.429528,-1.14498,-0.43389,-0.383955,-0.524242,0.130794,-0.709821,-0.816746,-0.735824,-1.41836,-1.25593,-0.898448,-0.968239,-0.488798,-0.654568,-0.0931855,-1.22458,-0.47498,-0.794312,-0.987447,0.33757,-0.545041,-1.03404,-0.372651,-0.302524,-0.572886,0.746258,-0.233907,-0.259974,-0.271014,0.0714178,-0.637636,-0.981242,0.415361,-1.07997,-0.953191,-0.786954,-0.685485,-0.00674796,-1.05534,-1.14913,-0.669803,-1.80507,-1.21326,-1.90069,-1.58544,-0.965285,-0.832844,-0.156764,-1.5388,0.119257,-1.46741,-0.864892
6.02821,0.994755,0.0431738,6,63,0,33.0439,-0.372104,0.150411,0.147056,-0.257765,-0.412349,0.135891,-0.589418,0.340872,-1.33037,-1.13937,-0.345082,-1.06642,-0.596565,-0.292835,-0.328674,-0.745425,-0.504865,-0.852726,-0.741267,-0.796281,-0.310361,-0.88201,-0.595853,-0.18737,-0.327168,-0.575737,-0.671456,-0.9411,-0.694978,-0.993177,-0.626462,-0.292358,-0.807291,-0.521576,0.089677,-0.519094,-0.41025,0.330336,-0.884811,-0.567125,0.261028,-0.693279,-0.850958,-0.349042,-0.43666,-0.433384,0.796035,-0.436362,-0.0964153,-0.336129,0.0924428,-0.781685,-1.05514,0.240804,-1.08235,-0.869758,-0.454186,-0.811755,0.0700314,-1.0665,-0.96539,-0.48725,-1.79762,-1.1839,-1.71573,-1.37986,-1.15815,-0.696747,-0.651322,-1.25398,0.309554,-1.62072,-0.91229
-6.76335,0.979395,0.0431738,7,127,0,39.8537,-0.241991,-0.0735238,-0.116413,-0.524405,-0.311291,0.0378493,-0.331072,0.44179,-1.26805,-0.95052,-0.798782,-0.410423,-0.156433,0.370323,-0.352652,-0.565882,-0.359446,0.312292,-0.638471,-0.40175,0.324907,-0.482216,0.0515537,-0.00955938,-0.655223,0.569491,-0.337362,-0.721806,-0.213036,-0.837047,-0.333954,-0.782952,-0.342042,-0.0665108,-0.218397,0.40406,0.402843,0.0786336,-0.529597,-0.542376,0.193118,-0.590953,-0.815398,-0.672118,-0.548347,-0.254861,0.57997,-0.494688,-0.0675749,-0.262904,-0.0419957,-0.814161,-0.939166,0.0268225,-0.965929,-0.784364,-0.682126,-0.692072,0.301729,-0.867836,-1.11945,-0.565384,-1.64332,-1.16282,-1.99654,-1.5775,-1.03902,-0.508585,-0.517265,-1.21106,-0.0402407,-1.68621,-1.05642
-13.0075,0.990793,0.0431738,6,127,0,46.947,-0.920238,0.792825,0.349225,0.219774,-0.172364,0.0319603,-0.267099,0.558008,-0.1346,-0.754081,-0.299077,-0.422131,-0.391432,0.072934,0.282388,-0.498851,-0.432648,0.252116,-0.691451,-0.773156,0.514716,-0.433557,0.529774,0.166402,-0.284154,0.331143,-0.332641,-0.143147,0.216029,-1.3664,-0.218753,-0.591827,-0.750907,-0.54845,-0.393417,0.0744602,-0.266492,-0.139619,-1.10612,-0.0964116,0.450432,-0.726077,-0.990373,-0.441402,-0.364372,-0.417774,0.882906,-0.354416,-0.0355613,-0.395582,0.130887,-0.820453,-0.964399,0.115233,-1.14277,-0.779352,-0.52578,-0.84914,-0.0819337,-0.865762,-0.672692,-0.451242,-1.81142,-1.31104,-2.18805,-1.66834,-1.09367,-0.82175,-0.30233,-1.5896,-0.0509067,-1.67291,-0.862481
