# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim5_model
# start_datetime = 2022-03-09 18:49:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bccb3048ed.json
# init = 2 (Default)
# random
#   seed = 1750050239
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0122139
# Diagonal elements of inverse mass matrix:
# 0.150296, 0.103202, 0.0874869, 0.0884887, 0.0160341, 0.00714698, 0.15088, 1.02485, 0.271657, 0.242815, 0.202924, 0.224268, 0.191297, 0.322393, 0.237445, 0.213657, 0.217794, 0.219984, 0.195771, 0.221492, 0.353371, 0.194538, 0.21449, 0.209455, 0.186897, 0.253454, 0.187036, 0.252123, 0.190526, 0.302053, 0.217365, 0.221483, 0.192867, 0.19307, 0.222714, 0.277132, 0.200918, 0.35438, 0.225133, 0.194387, 0.958886, 0.0178775, 0.0220427, 0.0183369, 0.0194591, 0.0182206, 0.0237334, 0.0186755, 0.0189457, 0.0225628, 0.0189998, 0.0199434, 0.0173599, 0.0151179, 0.0190692, 0.0216321, 0.0222917, 0.0157903, 0.0191832, 0.0220549, 0.0177247, 0.019297, 0.0193903, 0.0245231, 0.0217474, 0.0185415, 0.0212684, 0.0234596, 0.0207192, 0.0209105, 0.0176257, 0.0244241, 0.0224116
79.4629,1,0.0122139,9,511,0,-45.63,-0.264272,0.0991816,-0.194074,-0.520776,-0.296272,0.153136,-0.564377,0.375907,-1.24033,-1.3465,-0.860198,-0.502764,-0.578748,-0.08302,-0.311423,-0.715718,-0.710973,-0.575519,-1.20436,-0.923503,0.425012,-0.686774,-0.284579,0.106465,-0.483625,-0.154088,-0.568924,-0.969665,-0.298619,-1.20045,-0.745247,-0.729089,-0.695331,-0.245472,-0.199806,-0.0124507,-0.628668,0.616795,-0.948001,-0.526766,0.0240181,-0.391702,-0.794487,-0.493993,-0.242661,-0.543305,0.724953,-0.422901,0.120491,-0.239629,-0.02694,-1.08801,-0.646847,0.301048,-0.94335,-0.743219,-0.57973,-0.737142,-0.170179,-0.98245,-0.852251,-0.501264,-1.5852,-1.19785,-1.91042,-1.48869,-1.09859,-0.654017,-0.506824,-1.52973,0.154179,-1.72641,-0.989593
68.7802,0.853781,0.0122139,8,255,0,-38.048,-0.33273,0.0495844,0.067087,0.0828636,-0.235528,0.0901956,-0.479583,0.474828,-1.0694,-1.16418,-0.689894,-0.255101,-0.354235,0.41187,-0.317814,-0.434039,-0.0691322,-0.502066,-0.761372,-1.04979,0.388858,-0.587762,-0.51016,-0.267146,-0.588898,0.189213,-0.561788,-1.10852,-0.460459,-1.54448,-1.07898,-1.55561,-1.13792,-0.693357,-0.783641,-0.326352,-1.03776,0.266733,-1.35177,-0.763317,0.0287732,-0.573073,-0.971361,-0.642249,-0.221116,-0.517339,0.779054,-0.608824,-0.0191669,0.114861,-0.284107,-0.875682,-1.09592,0.351716,-0.736395,-0.863311,-0.705133,-0.665356,0.17686,-0.831918,-1.07447,-0.629977,-1.83507,-1.13689,-2.15952,-1.45695,-1.05334,-0.879642,-0.56894,-1.44971,0.211767,-1.67,-0.84376
59.9137,0.982224,0.0122139,8,255,0,-23.5056,-0.25509,-0.422267,-0.689402,-0.785745,-0.283288,0.140588,-0.18285,0.573155,-0.819965,-0.637315,-0.316177,-0.103172,-0.256193,0.649699,0.351941,-0.380798,0.0091439,-0.00199224,-0.430527,-0.55194,1.16816,-0.289641,0.147997,0.388412,-0.0827785,0.433501,0.0964409,-0.403218,0.138672,-1.13298,-0.411518,-0.292101,-0.4217,-0.223351,0.0254662,0.198759,-0.52409,0.818814,-0.45216,-0.118669,0.0346293,-0.483671,-0.672236,-0.447698,-0.442854,-0.704345,0.83318,-0.265979,-0.160769,0.00627628,-0.0250162,-0.780682,-0.820927,0.564271,-1.03659,-0.839403,-0.681439,-0.828041,-0.102569,-0.811128,-0.867661,-0.653943,-1.99731,-1.2141,-1.7214,-1.46984,-1.30317,-0.700705,-0.618322,-1.6521,0.111246,-1.46838,-0.882235
49.7099,0.92388,0.0122139,8,511,0,-18.2303,-0.963045,0.339846,0.529189,-0.0704135,-0.199539,0.16646,-0.188542,0.554523,-1.00542,-1.11065,-0.386842,0.0962657,0.094793,0.336104,0.215896,-0.205647,-0.288682,-0.0299231,-0.560842,-0.878733,0.368701,-0.634925,-0.364339,0.0486832,-0.45884,0.0818687,-0.920203,-1.2081,-0.274319,-1.07052,-0.676252,-0.896427,-0.576925,0.0128135,-0.182097,0.30743,-0.302895,0.434991,-0.909691,-0.121473,0.0457907,-0.729834,-1.13085,-0.490958,-0.214837,-0.331738,0.569929,-0.388018,-0.0824438,-0.296995,-0.0172205,-0.944666,-1.09212,0.260169,-0.773306,-0.634838,-0.488065,-0.627734,0.120513,-1.2202,-1.09176,-0.467169,-1.38699,-1.34593,-2.16975,-1.54167,-1.0131,-0.772472,-0.309999,-1.3487,-0.101104,-1.80734,-0.941982
31.6741,0.972653,0.0122139,9,511,0,4.32051,-1.26367,0.25503,0.517972,-0.178828,-0.160284,0.195556,0.142994,0.525832,-0.600168,-0.688389,-0.0593079,0.376379,0.465249,0.747394,0.578082,0.0656698,0.193232,0.0973584,-0.152638,-0.537464,0.549697,-0.498437,-0.228932,0.356221,-0.0603068,0.452998,-0.186347,-0.81456,-0.239893,-0.794049,-0.321515,-0.587326,-0.231133,0.247467,-0.200719,0.50126,-0.12801,0.761779,-0.598148,0.206234,0.0673133,-0.665605,-1.16083,-0.524381,-0.364717,-0.42898,0.679488,-0.478359,-0.172881,-0.187343,-0.0306411,-0.937926,-1.03281,0.326133,-0.846752,-0.674286,-0.483101,-0.520741,0.119502,-0.782228,-0.934431,-0.609016,-1.35619,-1.39935,-2.12885,-1.56321,-1.20071,-0.875702,-0.404715,-1.44558,-0.214697,-1.79008,-1.06909
51.1911,0.996732,0.0122139,9,511,0,-0.807885,0.302049,-0.448002,-0.652517,-1.10171,-0.208129,0.0944217,-0.648729,0.525555,-1.20848,-1.15543,-0.658352,-0.605162,-0.548261,0.271294,-0.0715481,-0.594983,-0.629863,-0.257558,-0.991265,-0.924056,0.556429,-0.829487,-0.337352,-0.427456,-0.344805,0.216094,-0.674266,-1.0589,-0.454713,-1.28168,-0.842578,-0.854569,-0.841535,-0.30823,-0.186277,0.13929,-0.603958,0.507278,-0.720662,-0.563398,0.0459734,-0.631712,-0.912533,-0.467149,-0.347773,-0.551531,0.804961,-0.212177,-0.0343714,-0.271645,0.109661,-0.887474,-0.843707,0.450487,-1.12822,-0.637184,-0.893678,-0.600283,0.0974366,-0.985145,-1.10982,-0.682169,-1.56187,-1.43162,-1.9985,-1.66541,-1.15526,-0.758435,-0.567416,-1.49023,-0.0303006,-1.55512,-1.08027
