# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim5_model
# start_datetime = 2022-03-05 10:41:18 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c377b793a.json
# init = 2 (Default)
# random
#   seed = 1750050239
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.0291109
# Diagonal elements of inverse mass matrix:
# 0.161792, 0.0922783, 0.0830021, 0.0862527, 0.014382, 0.00647945, 0.142511, 0.461851, 0.224978, 0.201669, 0.201495, 0.214872, 0.197274, 0.3071, 0.258453, 0.196861, 0.2045, 0.216744, 0.186648, 0.198913, 0.343423, 0.169342, 0.214738, 0.243348, 0.191011, 0.251568, 0.18233, 0.208455, 0.195557, 0.22709, 0.193408, 0.192382, 0.188112, 0.202864, 0.21201, 0.267509, 0.178333, 0.357699, 0.198514, 0.206133, 0.483982, 0.0160026, 0.0211909, 0.0197954, 0.0203129, 0.0187384, 0.0205802, 0.0185394, 0.0184306, 0.0239118, 0.0184137, 0.017425, 0.0197963, 0.0157409, 0.0155182, 0.0197654, 0.01919, 0.0150734, 0.0215039, 0.0192206, 0.0209563, 0.0168311, 0.0190993, 0.02151, 0.0285768, 0.0177127, 0.019776, 0.0205001, 0.0206708, 0.0224362, 0.0194588, 0.0218917, 0.0206437
55.7611,0.326205,0.0291109,4,31,0,-17.9817,-0.399249,0.139947,0.251864,-0.179166,-0.250273,0.126181,-0.545013,0.378398,-1.12796,-1.1373,-0.50894,-0.362047,-0.256744,0.236355,-0.0287092,-0.708913,-0.61091,-0.505981,-0.870372,-1.08063,0.153611,-1.04503,-0.768932,-0.509272,-0.664455,-0.190212,-0.844922,-1.24253,-0.573529,-1.3564,-0.861077,-1.3627,-0.709182,-0.510869,-0.684729,-0.189864,-0.749199,0.427352,-1.04363,-1.14528,0.0394769,-0.516958,-0.782474,-0.401255,-0.206679,-0.375982,0.801662,-0.261041,-0.146292,-0.291093,-0.215311,-0.920061,-0.988143,0.278315,-1.01411,-0.986194,-0.777613,-0.603341,0.0786976,-0.975182,-0.964795,-0.543857,-1.4584,-1.16486,-2.21177,-1.28166,-1.10406,-0.960464,-0.487729,-1.44839,0.100912,-1.63729,-1.42133
58.111,0.0433015,0.0291109,5,47,0,-29.699,-0.332026,0.104377,0.243605,-0.184384,-0.235528,0.105495,-0.531892,0.44896,-1.16877,-1.10594,-0.576607,-0.250121,-0.243538,0.301505,-0.00810635,-0.702524,-0.593137,-0.487976,-0.901206,-1.05665,0.128042,-0.984291,-0.891868,-0.521945,-0.601089,-0.0944551,-0.890838,-1.2816,-0.587179,-1.42052,-0.934325,-1.37248,-0.685275,-0.469062,-0.57742,-0.118355,-0.795035,0.366895,-1.06608,-1.06399,0.0378189,-0.527248,-0.814118,-0.38198,-0.19545,-0.359436,0.792092,-0.263017,-0.172917,-0.292406,-0.204726,-0.91493,-0.982573,0.279739,-1.01601,-0.98623,-0.80974,-0.593937,0.0850828,-0.949659,-0.97705,-0.525482,-1.47729,-1.17892,-2.19847,-1.25283,-1.10354,-0.947083,-0.479381,-1.42404,0.109243,-1.63858,-1.378
58.111,0.0243572,0.0291109,5,63,0,-26.6315,-0.332026,0.104377,0.243605,-0.184384,-0.235528,0.105495,-0.531892,0.44896,-1.16877,-1.10594,-0.576607,-0.250121,-0.243538,0.301505,-0.00810635,-0.702524,-0.593137,-0.487976,-0.901206,-1.05665,0.128042,-0.984291,-0.891868,-0.521945,-0.601089,-0.0944551,-0.890838,-1.2816,-0.587179,-1.42052,-0.934325,-1.37248,-0.685275,-0.469062,-0.57742,-0.118355,-0.795035,0.366895,-1.06608,-1.06399,0.0378189,-0.527248,-0.814118,-0.38198,-0.19545,-0.359436,0.792092,-0.263017,-0.172917,-0.292406,-0.204726,-0.91493,-0.982573,0.279739,-1.01601,-0.98623,-0.80974,-0.593937,0.0850828,-0.949659,-0.97705,-0.525482,-1.47729,-1.17892,-2.19847,-1.25283,-1.10354,-0.947083,-0.479381,-1.42404,0.109243,-1.63858,-1.378
47.1939,0.180481,0.0291109,7,255,0,-17.7063,-0.330434,0.126535,0.298265,-0.105339,-0.226365,0.121154,-0.80673,0.45507,-1.26381,-1.101,-0.556117,-0.271113,-0.297704,0.311831,-0.158324,-0.747343,-0.596406,-0.45035,-0.961757,-1.04555,0.104114,-1.13622,-1.08789,-0.732078,-0.832869,-0.157414,-1.07419,-1.34945,-0.571405,-1.53003,-1.10277,-1.46302,-0.798774,-0.543338,-0.578201,-0.215372,-0.981773,0.179408,-1.2046,-1.20799,0.0512883,-0.598481,-0.740373,-0.371465,-0.203808,-0.357113,0.791085,-0.371922,-0.173452,-0.305234,-0.0672447,-0.943058,-0.916281,0.361125,-1.01287,-1.01642,-0.874963,-0.683846,0.0971426,-0.99791,-0.917707,-0.521576,-1.47542,-1.17153,-2.17062,-1.26087,-0.998455,-0.863581,-0.460737,-1.48993,0.0715996,-1.68819,-1.39378
47.2679,0.0811188,0.0291109,7,127,0,-12.3213,-0.650913,0.410672,0.49568,-0.0535317,-0.213857,0.126122,-0.435461,0.570227,-1.17922,-1.20427,-0.628008,-0.486666,-0.72304,0.125742,-0.327742,-0.573221,-0.250536,-0.242388,-1.03568,-1.0138,0.250294,-1.17648,-0.482102,-0.355995,-0.671768,-0.22796,-1.0289,-1.27021,-0.603662,-1.54056,-1.12695,-0.917108,-0.488353,-0.402005,-0.501459,0.154777,-0.884783,0.562572,-0.910119,-0.315771,0.0537504,-0.569132,-0.880593,-0.426714,-0.388622,-0.879962,0.590604,-0.585737,-0.0380337,-0.0195384,0.0583869,-0.994607,-0.954658,0.37389,-1.13471,-0.633156,-0.672392,-0.65873,-0.0704612,-1.11021,-0.983254,-0.444424,-1.62004,-1.67485,-2.00346,-1.23171,-1.1495,-0.865497,-0.362374,-1.57066,0.1905,-1.52136,-0.77017
45.5364,0.779471,0.0291109,7,127,0,-6.90012,-0.364943,-0.0905591,0.0861721,-0.66733,-0.180512,0.245306,-0.657728,0.44942,-1.41809,-0.951446,-0.880803,-0.00408213,-0.483009,0.010317,-0.0735648,-0.47773,-0.729727,-0.45215,-0.869478,-1.14511,0.0487182,-1.11743,-0.695664,-0.256513,-0.709924,0.0210805,-0.848843,-1.55868,-0.712566,-1.79069,-0.636583,-1.15291,-0.450088,-0.00883558,-0.407375,-0.128365,-0.855937,0.221694,-0.893898,-0.46135,0.0560736,-0.700225,-0.687397,-0.52162,-0.301151,-0.627786,0.776833,-0.471941,-0.0630588,-0.251137,0.0583821,-0.942218,-0.961011,0.228389,-0.967122,-0.641355,-0.587633,-0.694321,0.263459,-1.00289,-1.09124,-0.582927,-1.76936,-1.30134,-2.19951,-1.35855,-1.1554,-0.645901,-0.399467,-1.5724,-0.0107739,-1.54768,-0.846051
