# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim5_re_model
# start_datetime = 2022-03-05 10:43:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c624e2f0c.json
# init = 2 (Default)
# random
#   seed = 1725594587
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,re_k.11,re_k.12,re_k.13,re_k.14,re_k.15,re_k.16,re_k.17,re_k.18,re_k.19,re_k.20,re_k.21,re_k.22,re_k.23,re_k.24,re_k.25,re_k.26,re_k.27,re_k.28,re_k.29,re_k.30,re_k.31,re_k.32,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.00313476
# Diagonal elements of inverse mass matrix:
# 0.167588, 0.0995757, 0.0870805, 0.0870888, 0.0133486, 0.00626059, 0.148095, 0.0199517, 0.213539, 0.198494, 0.193312, 0.21947, 0.194355, 0.208643, 0.207297, 0.21752, 0.197412, 0.193322, 0.186417, 0.194589, 0.186859, 0.181208, 0.199885, 0.199166, 0.190209, 0.189518, 0.190132, 0.191845, 0.181763, 0.189714, 0.210391, 0.20443, 0.188611, 0.205077, 0.196623, 0.196618, 0.179759, 0.186031, 0.180885, 0.19002, 0.218338, 0.642953, 0.218325, 0.219887, 0.219608, 0.220039, 0.218811, 0.21884, 0.219511, 0.220592, 0.220287, 0.218714, 0.219589, 0.22048, 0.220089, 0.219855, 0.220802, 0.218896, 0.220372, 0.220336, 0.220746, 0.220484, 0.219258, 0.218537, 0.220858, 0.220348, 0.220711, 0.219548, 0.219288, 0.219482, 0.221283, 0.219387, 0.219508, 0.219699
76.3738,0.990201,0.00313476,11,2559,0,-38.3361,-0.728302,0.316253,0.153949,0.404639,-0.388035,0.161394,-0.383284,0.650753,-1.11635,-1.06048,-0.348828,-0.276814,-0.236494,0.455877,0.496016,-0.453091,-0.480367,-0.0436867,-0.146431,-0.479071,1.12073,-0.267587,0.395913,0.521784,-0.103298,0.739312,-0.0118324,-0.444813,0.17719,-0.884513,-0.945548,-0.793347,-0.414575,-0.252218,-0.160682,0.119692,-0.873161,0.361662,-0.78903,-0.775926,-0.364381,0.0198294,-0.368803,-0.363836,-0.395933,-0.368799,-0.3622,-0.37853,-0.376239,-0.368969,-0.367954,-0.357712,-0.368509,-0.351536,-0.367011,-0.370995,-0.355137,-0.365835,-0.371476,-0.355149,-0.375716,-0.33273,-0.374229,-0.368277,-0.377938,-0.35362,-0.381696,-0.406079,-0.34963,-0.367008,-0.363779,-0.373663,-0.346082,-0.366337,-0.236962,-0.642854,-0.180852,-0.134552,-0.422925,1.13305,0.116573,0.312334,-0.122681,0.361427,-0.222197,-0.453379,0.917578,-0.644638,-0.294022,-0.348656,-0.436223,0.646826,-0.566087,-0.407523,-0.168243,-1.46709,-0.8855,-1.69766,-0.797186,-0.685557,-0.185585,-0.0158765,-1.45799,0.365076,-1.18415,-0.760005
80.2951,0.989227,0.00313476,9,511,0,-44.7786,-0.302184,0.240777,0.58371,0.593825,-0.144932,0.106004,-0.423394,0.545374,-0.37983,-0.80932,-0.0544994,0.316538,-0.102468,0.65456,0.258868,0.0327086,-0.000912086,-0.058894,-0.521603,-0.634421,0.430429,-1.09764,-0.596363,-0.251081,-0.880338,0.0781151,-0.644263,-0.945649,-0.566956,-1.47666,-1.28224,-1.60603,-1.23703,-0.934451,-0.721096,-0.353333,-1.36173,0.210804,-1.17686,-0.819428,-0.582326,0.0193268,-0.580207,-0.58063,-0.540186,-0.558171,-0.595761,-0.5848,-0.563285,-0.590072,-0.581309,-0.579613,-0.573771,-0.587969,-0.568851,-0.581518,-0.589954,-0.575992,-0.582375,-0.583043,-0.58915,-0.592165,-0.561914,-0.58469,-0.587279,-0.586919,-0.573785,-0.541126,-0.594706,-0.580403,-0.588184,-0.577126,-0.604895,-0.58043,0.178287,-0.469398,0.237902,0.462168,-0.0338832,1.18287,0.20964,0.502537,0.362347,0.322079,-0.411684,-0.395163,0.942045,-0.650973,-0.22084,-0.0344221,-0.462916,0.631065,-0.309508,-0.298505,-0.108483,-1.10676,-0.801556,-1.48554,-0.921685,-0.683775,-0.134978,0.191452,-1.07619,0.761776,-0.820463,-0.309507
82.9554,0.989185,0.00313476,9,511,0,-34.0792,0.0190097,0.16977,0.426735,0.363461,-0.12122,0.0875424,-0.530025,0.507566,-0.702425,-0.661333,-0.298207,0.0183168,-0.419739,0.26264,0.0234459,-0.0743674,-0.146005,-0.25489,-0.817768,-0.854607,0.46318,-0.823978,-0.613376,-0.204398,-0.867653,-0.189948,-0.826894,-0.833759,-0.557468,-1.81439,-1.34766,-1.84427,-1.48848,-0.657649,-0.773932,-0.204472,-1.28143,0.230632,-1.71711,-0.696685,-0.584572,0.0117502,-0.582228,-0.570763,-0.608726,-0.591399,-0.575838,-0.582816,-0.595192,-0.572757,-0.579252,-0.580456,-0.607162,-0.58011,-0.592978,-0.577798,-0.575867,-0.578328,-0.582586,-0.590756,-0.590626,-0.579744,-0.588932,-0.579666,-0.573584,-0.587432,-0.599076,-0.614187,-0.565347,-0.591369,-0.578352,-0.575632,-0.566581,-0.576884,0.00116544,-0.13912,0.183141,0.380261,-0.123354,0.940183,0.222412,0.556497,0.394607,0.300539,-0.486811,-0.417707,1.09913,-0.242349,-0.0923668,0.185975,-0.309363,0.480577,-0.337746,-0.0855681,0.0340379,-1.29697,-0.808201,-1.60607,-1.0873,-0.309441,-0.149636,0.385253,-0.906298,0.826651,-1.28272,-0.133882
83.1787,0.960757,0.00313476,9,511,0,-42.1316,0.263855,0.0173105,0.266139,-0.478986,-0.344319,-0.0402768,-0.238005,0.66278,-1.25743,-1.15084,-0.402562,-0.719508,-0.50138,0.495789,-0.111782,-0.530125,-0.336759,-0.0448872,-0.742233,-0.896211,0.394181,-0.774562,-0.27399,-0.291728,-1.00042,-0.392573,-1.13818,-1.14667,-0.430649,-1.72631,-0.663902,-0.545875,-0.960553,-0.199747,-0.121571,0.845383,-0.50031,1.10115,-0.718651,0.0356092,-0.377414,0.0134854,-0.384222,-0.373003,-0.403471,-0.381537,-0.382499,-0.38432,-0.39489,-0.355227,-0.387777,-0.369484,-0.389107,-0.392737,-0.388285,-0.384632,-0.375633,-0.365776,-0.395384,-0.393183,-0.386561,-0.372391,-0.372399,-0.373826,-0.375672,-0.370638,-0.392531,-0.390727,-0.367941,-0.369745,-0.384006,-0.386934,-0.358199,-0.378264,-0.380783,-0.500454,-0.157181,0.0535205,-0.203502,1.00951,0.198317,0.428885,0.0769595,0.410916,-0.346158,-0.777084,0.886582,-0.436471,-0.397021,-0.207952,-0.439682,0.198025,-0.773845,-0.624406,-0.0645012,-1.57059,-0.722039,-1.45973,-1.41148,-0.512199,-0.805553,0.0632032,-1.31416,0.625783,-1.36416,-0.245171
88.4309,0.988165,0.00313476,9,511,0,-54.9258,0.0748106,-0.0988649,-0.292217,-0.871174,-0.149439,0.131485,-0.722062,0.434215,-1.61044,-1.04542,-0.639908,-0.585555,-0.760297,-0.337241,-0.504088,-0.607546,-0.432986,-0.687065,-1.16504,-1.34507,0.288503,-1.05007,-0.825674,-0.51369,-0.810887,-0.151656,-0.998193,-1.19593,-0.829233,-1.36429,-0.880768,-1.06822,-0.644381,-0.62259,-0.468251,-0.200493,-0.865329,0.508235,-1.27813,-0.354535,0.119385,0.0126227,0.116313,0.109842,0.119808,0.105679,0.124369,0.107265,0.147374,0.130817,0.117548,0.125055,0.127475,0.116701,0.114088,0.123574,0.106643,0.0843918,0.101335,0.122118,0.106535,0.110504,0.111824,0.120235,0.119248,0.125202,0.110449,0.124471,0.132808,0.107615,0.113446,0.110241,0.12126,0.11539,-0.929146,-0.611292,-0.232595,-0.396134,-0.628132,0.335502,-0.515585,-0.0394748,0.047388,-0.188426,-0.99026,-0.992549,0.352713,-1.05283,-0.879603,-0.775795,-0.865985,-0.0448273,-1.13853,-0.96979,-0.819819,-1.4462,-1.46003,-2.01888,-1.39412,-1.46119,-0.872237,-0.647098,-1.62361,0.0458247,-1.96335,-0.881459
90.7966,0.97957,0.00313476,9,1023,0,-52.2152,0.121924,-0.437916,-0.321766,-0.625433,-0.192142,0.158453,-0.636567,0.441686,-1.22077,-0.981939,-0.434841,-0.306656,-0.469535,-0.0550059,-0.17632,-0.482097,-0.268979,-0.18277,-0.88393,-0.995992,0.30116,-1.11158,-0.633333,-0.366697,-0.688633,0.0325644,-1.01301,-1.21197,-0.827829,-1.35829,-1.0545,-1.27594,-0.878098,-0.704031,-0.77697,-0.256584,-0.837932,0.233736,-1.47011,-0.657153,0.0174478,0.0160564,0.0292894,0.0162304,0.00385677,0.0219122,0.0151368,0.00836622,0.0144763,0.0253307,0.010308,0.0282665,-0.00213927,-0.00102679,0.00881023,0.0090191,0.0131966,0.0232631,0.0135711,0.0345862,0.00706476,-0.00694635,0.0070706,0.0105036,0.02185,0.0257327,0.0203725,-0.0214054,-0.00648522,0.0249852,0.024176,0.0262324,0.00731662,0.0316307,-0.66167,-0.730032,-0.228014,-0.348171,-0.595272,0.482495,-0.476167,-0.0579683,0.0317864,0.14148,-0.954869,-0.859619,0.442198,-1.05665,-0.654799,-0.634616,-0.690392,0.2284,-1.12437,-0.873338,-0.757245,-1.40513,-1.28947,-1.98843,-1.33226,-1.26185,-0.818398,-0.35281,-1.31369,0.127794,-1.85193,-0.835438
