# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim5_re_model
# start_datetime = 2022-03-05 10:43:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c624e2f0c.json
# init = 2 (Default)
# random
#   seed = 1725594587
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5_re-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5_re-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,re_k.11,re_k.12,re_k.13,re_k.14,re_k.15,re_k.16,re_k.17,re_k.18,re_k.19,re_k.20,re_k.21,re_k.22,re_k.23,re_k.24,re_k.25,re_k.26,re_k.27,re_k.28,re_k.29,re_k.30,re_k.31,re_k.32,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.00793621
# Diagonal elements of inverse mass matrix:
# 0.174961, 0.100882, 0.0827941, 0.0803742, 0.0149508, 0.00613101, 0.166794, 0.0244968, 0.233244, 0.210685, 0.21069, 0.214859, 0.204322, 0.239611, 0.21737, 0.224784, 0.21131, 0.212316, 0.198979, 0.220186, 0.200887, 0.199257, 0.235868, 0.209647, 0.192928, 0.200969, 0.194134, 0.216894, 0.202009, 0.206205, 0.237758, 0.229736, 0.214588, 0.222238, 0.241843, 0.248036, 0.234452, 0.226709, 0.210517, 0.223195, 0.165793, 1.28112, 0.166558, 0.166177, 0.166495, 0.165334, 0.16666, 0.166477, 0.166837, 0.166695, 0.167662, 0.166653, 0.165167, 0.166147, 0.165941, 0.165993, 0.165956, 0.167095, 0.165673, 0.16615, 0.165501, 0.16624, 0.166616, 0.166355, 0.166457, 0.168035, 0.166115, 0.166343, 0.166556, 0.166668, 0.167156, 0.165265, 0.165327, 0.166287
66.6219,0.97735,0.00793621,7,127,0,-21.8994,-1.13125,0.328082,0.326363,0.032491,-0.260139,0.0988566,0.0463036,0.448622,-0.522432,-0.556868,-0.00342071,-0.00707157,0.107931,0.780676,0.644776,-0.195076,-0.0249601,0.0793616,-0.360407,-0.402909,0.796828,-0.184401,-0.192814,0.475938,-0.151635,0.579223,-0.130854,-0.688495,0.137011,-0.930328,-0.232786,-0.415966,-0.438134,0.0411592,-0.0612138,0.329762,-0.186864,0.950305,-0.417936,-0.160213,0.0690245,0.0286035,0.0385033,0.102805,0.0490411,0.0482647,0.0883823,0.0776842,0.0697255,0.0591177,0.0630896,0.0264125,0.135779,0.0584827,0.0924072,0.0805454,0.0397641,0.0632361,0.0619855,0.067149,0.0226625,0.0417881,0.0384982,0.0932468,0.128809,0.0874936,0.0246924,0.104148,0.0444396,0.0865151,0.122338,0.0457412,0.124077,0.0804001,-0.487845,-0.822509,-0.445768,-0.438631,-0.553327,0.670354,-0.136535,-0.22755,-0.340125,-0.204008,-0.947475,-0.940643,0.222109,-0.875704,-1.10322,-0.536791,-0.804013,0.0786944,-0.931612,-1.11136,-0.533094,-1.75941,-1.08365,-1.91334,-1.58576,-1.13113,-0.997055,-0.680269,-1.4794,0.0427893,-1.58329,-1.05
79.8877,0.900478,0.00793621,9,767,0,-50.2478,-0.358179,0.0705219,-0.0225324,-0.331526,-0.223604,0.224189,-0.718729,0.433495,-1.4599,-1.56429,-0.788555,-0.427193,-0.558222,-0.278072,0.0168171,-0.810746,-0.872514,-0.404407,-0.890777,-1.41894,0.346659,-1.02296,-0.821529,-0.423938,-0.484423,-0.279629,-0.648029,-1.27783,-0.562662,-1.54833,-0.811101,-0.884325,-0.879911,-0.26931,-0.792429,-0.348398,-1.04192,0.344184,-1.23795,-0.515462,-0.0245516,0.0190544,-0.0487192,-0.0377405,-0.0174408,-0.0274993,-8.93092e-05,-0.0165532,-0.0113478,-0.0236315,-0.0142965,-0.043994,0.0194007,-0.0256187,0.00222217,-0.0286302,-0.0526521,-0.00493009,-0.017414,-0.0185504,-0.0574452,-0.0428362,-0.0256389,-0.0178871,0.00066432,-0.030863,-0.0321368,0.0113044,-0.0383954,-0.00902196,0.0241363,-0.0307829,0.0175067,0.00694548,-0.609812,-1.11148,-0.348415,-0.39543,-0.58468,0.586678,-0.252051,-0.157514,-0.323053,0.172383,-0.853465,-1.06079,0.442225,-1.0276,-0.875285,-0.844082,-0.594826,-0.120292,-0.885973,-0.912523,-0.549086,-1.6714,-1.14851,-1.77744,-1.4724,-1.02222,-0.785229,-0.404968,-1.61974,0.236515,-1.70646,-0.747109
91.225,0.875169,0.00793621,7,255,0,-60.6137,-0.684572,0.320328,0.0747001,-0.256197,-0.155255,0.216018,-0.581605,0.418266,-1.20618,-1.03116,-1.0371,-0.158137,-0.72191,-0.176927,-0.230331,-0.705803,-0.607818,-0.726501,-0.786641,-1.15217,0.391027,-0.747768,-0.478981,0.166361,-0.529826,0.112003,-0.580016,-1.1183,-0.410101,-1.48483,-0.631327,-1.05264,-0.626552,-0.199041,-0.66793,-0.282627,-0.889298,0.0645196,-0.965622,-0.623332,0.0838848,0.0151424,0.0839479,0.0903314,0.0710609,0.083139,0.0710019,0.0746329,0.121367,0.102072,0.102189,0.10525,0.0824922,0.0942257,0.0653307,0.0685624,0.0862561,0.0870595,0.103413,0.0742268,0.0705276,0.0980186,0.0739546,0.0710642,0.0765681,0.0711208,0.0721751,0.0802931,0.0895101,0.100473,0.0873155,0.0798256,0.119104,0.106966,-0.599378,-0.760557,-0.714942,-0.300598,-0.844439,0.500407,-0.581528,-0.296046,-0.209756,-0.309463,-0.864893,-0.886945,0.232563,-0.975811,-0.680766,-0.410533,-0.891657,-0.00218334,-1.0304,-1.02912,-0.625493,-1.7951,-1.26713,-2.07429,-1.43946,-1.18369,-0.883389,-0.542363,-1.63167,-0.291053,-1.63209,-1.12534
83.0531,0.983513,0.00793621,10,2047,0,-46.2276,-0.508482,0.265764,0.557364,0.0347626,-0.355195,0.0219458,-0.528722,0.562938,-1.29038,-1.09582,-0.429488,-0.524296,-0.585593,0.338836,0.0894548,-0.852705,-0.330678,-0.0502596,-0.66408,-0.838418,0.22832,-1.03479,-0.633381,-0.330074,-0.991051,-0.233249,-0.736006,-1.12641,-0.602433,-1.50189,-1.02525,-0.775403,-0.821472,-0.485117,-0.137205,0.214558,-0.484013,0.71195,-0.83342,-0.892213,0.0169197,0.0164973,0.0270515,0.0410775,0.0193654,0.0185144,0.0192359,0.0147928,0.00462175,-0.0123837,-0.00827306,0.0338026,0.017674,-0.00495804,-0.00423144,0.00925851,0.0134254,0.0129845,0.0299948,0.00666995,0.00725617,0.0371607,0.0105714,0.0294654,0.0222187,0.0619715,-0.00397472,-0.0100142,0.017891,0.0245164,0.00349704,0.0103712,0.0546163,0.0119656,-0.72832,-0.830664,-0.518636,-0.259614,-0.747576,0.590002,-0.123416,-0.269178,-0.246171,0.0776613,-0.724763,-1.05781,0.365412,-1.05688,-1.06767,-0.67801,-0.846962,0.00514225,-0.794515,-0.895021,-0.595582,-1.71211,-1.27352,-1.90642,-1.47494,-1.05923,-0.840606,-0.590142,-1.44837,0.160259,-1.62413,-1.30667
76.5359,0.496072,0.00793621,8,255,0,-46.1526,-0.598377,-0.0715788,0.548205,0.0941254,-0.462455,0.202731,-0.64693,0.450065,-1.60219,-1.19996,-0.567018,-0.335464,-0.432874,-0.0373869,0.427606,-1.07347,-0.603525,-0.204642,-0.52727,-1.07988,-0.0677766,-1.27113,-0.820493,-0.417191,-1.13313,-0.411757,-0.860978,-1.51082,-0.654496,-1.53811,-0.895876,-0.722781,-0.908873,-0.150603,-0.404296,-0.00461537,-0.785703,0.0821014,-0.947815,-0.84512,-0.00372947,0.016759,-0.00993383,-0.00742279,0.0080532,-0.0190843,0.0082257,-0.0166399,-0.00210864,0.0310889,0.0146536,0.0053263,-0.00804444,-0.0323585,-0.00160247,-0.00228481,0.0211256,0.000955052,-0.00391839,0.00126878,0.0203577,0.0397178,-0.00565683,-0.00057812,-0.024714,-0.000583229,0.0106761,-0.00870562,0.00514389,-0.000302212,-0.000527428,-0.00266329,0.0324914,-0.0101451,-0.701872,-0.860353,-0.514555,-0.344798,-0.823556,0.632314,-0.203489,-0.319357,-0.324968,0.130439,-0.786063,-1.19699,0.345215,-1.06539,-0.977262,-0.809851,-0.885185,0.133123,-0.876813,-0.800895,-0.411076,-1.57731,-0.932441,-1.90866,-1.47299,-0.785566,-0.510953,-0.243162,-1.58044,-0.00119191,-1.51646,-0.92389
84.2372,0.947111,0.00793621,10,2047,0,-39.0621,0.164733,0.359687,0.0606242,-0.327924,-0.200148,0.0970593,-0.43422,0.548637,-1.23363,-1.2268,-0.690553,-0.482555,-0.553655,0.1271,-0.576746,-0.493293,-0.217596,-0.603175,-1.10724,-0.969727,0.639603,-0.533407,-0.348245,0.0213035,-0.291405,0.0614492,-0.732554,-1.08005,-0.483346,-1.32231,-0.838318,-0.749442,-0.582797,-0.445165,-0.400703,0.0531015,-0.648334,0.738754,-1.17605,-0.131726,-0.61179,0.0134997,-0.620057,-0.59629,-0.587102,-0.622281,-0.602985,-0.615183,-0.604112,-0.601272,-0.636157,-0.591333,-0.59591,-0.622238,-0.608497,-0.603684,-0.590146,-0.598926,-0.625431,-0.614616,-0.590973,-0.57983,-0.612363,-0.616712,-0.639656,-0.608691,-0.601177,-0.614359,-0.605196,-0.608486,-0.612979,-0.596552,-0.580811,-0.607206,-0.00164847,-0.246812,0.174481,0.327779,0.100952,1.26859,-0.0355068,0.666093,0.745291,0.384175,-0.395553,-0.178082,1.08405,-0.178656,-0.141067,0.107752,0.0722939,0.562979,-0.483017,-0.497765,-0.112287,-1.07357,-0.789778,-1.19832,-0.76258,-0.664926,-0.354543,0.0421806,-0.918608,0.785707,-1.34848,-0.0921333
