# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim5_re_model
# start_datetime = 2022-03-09 18:51:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc5bff5a14.json
# init = 2 (Default)
# random
#   seed = 1725594587
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5_re-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim5_re-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_k,s_SI,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.00422451
# Diagonal elements of inverse mass matrix:
# 0.217503, 0.122918, 0.098345, 0.100674, 0.0156455, 0.00683091, 0.146907, 0.0231323, 0.193727, 0.180325, 0.192636, 0.199838, 0.197583, 0.202936, 0.210684, 0.189221, 0.193118, 0.18155, 0.186997, 0.206332, 0.179312, 0.182739, 0.222286, 0.209341, 0.185914, 0.187237, 0.182525, 0.185689, 0.178247, 0.188739, 0.206068, 0.219649, 0.183829, 0.199255, 0.208804, 0.220633, 0.198957, 0.182227, 0.189266, 0.18837, 0.174647, 0.702908, 0.174854, 0.174982, 0.174649, 0.176269, 0.174616, 0.175239, 0.175575, 0.175513, 0.17515, 0.175064
2.08054,0.994595,0.00422451,11,2303,0,24.1355,-0.164407,-0.237116,-0.332609,-0.430623,-0.225111,0.235786,-0.0775875,0.469259,-0.777311,-0.548465,-0.183504,0.245191,0.137498,0.79115,0.746226,-0.0199407,0.40346,0.0379058,-0.385637,-0.617241,1.08837,-0.258247,-0.252782,0.596427,0.162449,0.458535,-0.0582941,-0.792708,0.114807,-0.847478,-0.300715,-0.41488,-0.585331,0.267281,-0.296497,0.00488601,-0.734849,0.568892,-0.557926,-0.305041,-0.613058,0.0166559,-0.638691,-0.618961,-0.598128,-0.604684,-0.650777,-0.613705,-0.648366,-0.616104,-0.636375,-0.59952,-0.00315987,-0.184357,0.177933,0.16524,0.00901984,1.59014,0.363619,0.545938,0.874954,0.536914,-0.449915,-0.338346,1.09101,-0.35649,-0.390381,0.0697989,-0.0523516,0.525379,-0.401494,-0.508422,0.0349069,-1.06495,-0.530986,-1.20461,-1.0724,-0.391376,-0.149581,0.0876028,-1.19708,0.59008,-0.910096,-0.418754
-2.15692,0.999842,0.00422451,9,1023,0,19.7939,0.258095,0.218346,-0.115583,-0.241524,0.0179281,0.0490241,-0.206197,0.571707,-0.391854,-0.598289,-0.343889,0.162888,-0.228689,0.484976,-0.115934,0.101657,-0.147252,0.314299,-0.537924,-0.674879,0.891452,-0.421828,-0.153826,-0.0920795,-0.277916,0.790809,-0.382381,-0.295893,-0.00889788,-1.30561,-0.675632,-1.37687,-0.573232,-0.541455,-0.29148,0.154682,-0.787423,0.689117,-1.24426,-0.117914,-0.76715,0.0351347,-0.763497,-0.739568,-0.797611,-0.811701,-0.757776,-0.791417,-0.717987,-0.762534,-0.7338,-0.77436,0.194362,-0.0472193,0.275195,0.613718,0.293809,1.13702,0.359001,0.636657,0.463067,0.922427,-0.0205396,-0.0492202,1.12978,-0.17547,0.163468,0.120593,-0.090078,1.02402,-0.184317,-0.012198,0.235999,-1.04976,-0.620309,-1.27699,-0.497457,-0.519817,-0.0627897,0.388486,-0.645824,0.860019,-1.11142,-0.00407062
-1.36236,0.999435,0.00422451,11,3071,0,29.5931,-0.64588,0.358441,0.0561572,-0.22188,-0.193745,0.322034,-0.0834103,0.465869,-1.04346,-0.772941,-0.564747,0.329515,-0.0116513,0.325272,0.406732,-0.292041,-0.334409,-0.105532,-0.343519,-1.04023,1.04878,-0.241673,-0.320951,0.773548,0.261063,0.517847,-0.131705,-0.744963,0.215239,-0.653141,-0.0980959,-0.285003,-0.383724,0.525564,-0.535601,0.0508832,-0.550749,0.652165,-0.334465,-0.119832,-0.632492,0.025603,-0.658476,-0.643689,-0.588358,-0.579199,-0.664127,-0.62131,-0.614983,-0.607761,-0.653829,-0.65225,0.0382639,-0.163225,0.161771,0.318843,0.0550115,1.54748,0.135574,0.491333,0.486831,0.73939,-0.221602,-0.38475,1.1273,-0.249982,-0.244031,0.27744,0.0333352,0.651622,-0.469941,-0.304942,0.222716,-0.764066,-0.532819,-1.20123,-1.03947,-0.396957,-0.288388,0.242841,-1.06601,0.672065,-0.755002,-0.335137
4.39896,0.999404,0.00422451,10,1279,0,21.361,-0.30514,0.272447,0.0353103,-0.239833,-0.174362,0.229983,-0.187265,0.555394,-0.998577,-0.894727,-0.298237,0.0340407,0.00806147,0.286038,0.317633,-0.243006,-0.403789,-0.245737,-0.380271,-0.915291,0.969078,-0.636483,-0.31832,0.459336,0.0923673,0.585981,-0.215372,-0.801235,0.0629347,-1.3887,-0.2551,-0.67285,-0.556042,0.235619,-0.323214,-0.0372073,-0.432646,0.71473,-0.898764,0.0173134,-0.651049,0.0153861,-0.667443,-0.67195,-0.622325,-0.618261,-0.675297,-0.639561,-0.653871,-0.654067,-0.678606,-0.665521,0.0214181,-0.239688,0.402086,0.250425,0.234211,1.37263,0.299592,0.568317,0.381781,0.561143,-0.104395,-0.278901,1.18097,-0.502733,-0.167701,0.213924,0.0884836,0.8476,-0.318709,-0.323841,0.210893,-1.3473,-0.470193,-1.32127,-0.970041,-0.358637,-0.104094,0.132186,-0.780049,0.789113,-1.16092,-0.0601454
-3.43988,0.998497,0.00422451,10,1279,0,19.9304,-0.764433,-0.0330541,-0.173126,-0.164613,-0.274245,0.204584,-0.272438,0.530705,-1.07208,-0.801036,-0.236116,-0.0776027,0.0210025,0.395781,0.196209,-0.356107,-0.354406,-0.0655793,-0.288524,-0.685621,1.02694,-0.506195,-0.101323,0.578857,-0.0571131,0.598179,-0.159834,-0.673725,0.103981,-1.26172,-0.706485,-0.754659,-0.757083,-0.321834,-0.296075,0.0572178,-0.521692,0.518242,-0.909202,-0.3231,-0.0125885,0.0761,-0.0531565,0.0347885,0.0061893,-0.00582919,0.122693,-0.00380413,0.0300365,-0.0197457,0.0133825,0.0428516,-0.685282,-0.831112,-0.352113,-0.483327,-0.526509,0.73018,-0.578234,-0.140372,-0.336324,-0.0139772,-0.757822,-0.902177,0.532764,-1.12327,-0.849014,-0.477444,-0.733523,0.18222,-0.992669,-0.907447,-0.49075,-2.02405,-1.27382,-2.00357,-1.63727,-1.32839,-0.651897,-0.376818,-1.45428,0.091914,-1.70771,-0.831106
-4.98337,0.998849,0.00422451,11,2303,0,39.3421,-0.714504,0.309453,0.0832078,-0.381024,-0.0188385,0.0924427,0.0758654,0.478669,-0.255889,-0.127113,0.02046,0.446543,-0.0673433,0.897715,0.568372,0.20564,-0.206729,0.275553,-0.363694,-0.422316,0.971112,-0.422333,0.0891892,0.412222,0.109172,0.613043,-0.0791035,-0.262906,0.406792,-0.810572,-0.0505348,-0.5305,-0.0659767,0.41893,0.118787,0.598898,-0.35961,1.0905,-0.498446,0.248123,-0.283417,0.0427925,-0.290019,-0.241049,-0.200541,-0.264382,-0.277626,-0.325342,-0.304486,-0.272236,-0.253115,-0.231364,-0.344421,-0.322671,-0.10261,0.0684031,-0.376834,0.883973,0.164904,0.0269682,-0.320589,0.163995,-0.667812,-0.552294,0.527052,-0.874836,-0.293897,-0.148842,-0.425797,0.174355,-0.624817,-0.610687,-0.0441763,-1.27305,-1.04283,-1.56961,-1.07976,-0.681923,-0.623808,-0.149069,-1.2986,0.264672,-1.42823,-0.661705
-8.53032,0.993323,0.00422451,10,1535,0,36.9337,-0.269467,-0.290689,0.110327,0.034953,-0.246462,0.206022,-0.0641922,0.538466,-0.404335,-0.159501,0.115383,0.678362,0.420878,0.658718,1.0689,-0.0128915,0.066912,0.319716,-0.187081,-0.400457,1.04876,-0.395655,-0.29595,0.611217,-0.226198,0.517027,-0.174576,-0.943963,-0.204205,-1.09926,-0.553319,-0.761964,-0.527212,-0.139259,-0.549213,0.0990227,-0.762093,0.726076,-0.799421,-0.233053,-0.736099,0.0577073,-0.804175,-0.669848,-0.724872,-0.759929,-0.6757,-0.68621,-0.692053,-0.706293,-0.760859,-0.703955,0.166311,0.0143376,0.23417,0.47028,0.107538,1.20444,0.52945,0.381856,0.306194,0.589122,-0.430132,-0.372042,1.33242,-0.222454,-0.217966,0.367529,-0.128482,0.870972,-0.217438,-0.404079,-0.0109215,-1.0566,-0.440604,-1.26177,-0.695654,-0.443434,-0.17992,0.398027,-0.955464,1.00984,-0.872296,-0.0448537
-11.6242,0.99673,0.00422451,9,1023,0,40.3122,-0.405137,-0.100964,0.34627,-0.145203,-0.244234,0.20532,0.115921,0.538005,-0.672617,-0.331617,-0.0335902,0.539516,0.0960018,0.322028,0.753714,-0.0471426,0.293832,0.589778,0.0359445,-0.254766,0.850355,-0.384558,-0.332298,0.47001,-0.333396,0.327929,-0.331099,-0.957193,-0.343951,-1.22493,-0.103191,-0.426192,-0.152884,0.400321,-0.248373,0.042951,-0.498761,0.613838,-0.550294,-0.0777602,-0.653404,0.0261863,-0.672043,-0.72363,-0.666644,-0.643996,-0.625384,-0.693871,-0.718372,-0.6469,-0.650011,-0.660641,-0.0546583,-0.108039,0.136593,0.382306,-0.164356,0.916444,0.268136,0.395348,0.583422,0.90922,-0.154759,-0.174138,1.2326,-0.111768,-0.152704,0.328518,-0.136569,0.779829,-0.27358,-0.319874,-0.0512602,-1.0815,-0.308282,-1.23827,-0.636591,-0.219052,-0.195724,0.0259466,-1.00601,0.580574,-0.938136,-0.206888
-2.84371,0.997352,0.00422451,8,511,0,24.4887,-0.358765,-0.130016,0.187812,-0.114659,-0.423418,0.245104,-0.0232991,0.53557,-1.07531,-0.659354,-0.263865,0.296595,0.314431,0.657722,0.872048,-0.279338,0.00544856,-0.0235755,0.0475181,-0.367774,0.982732,-0.465236,-0.240254,0.509142,-0.265665,0.440148,-0.187935,-0.997635,0.0177568,-0.792029,-0.4755,-0.226603,-0.218261,0.319557,-0.124605,0.337342,-0.391035,0.63032,-0.37098,-0.0498318,-0.692334,0.0511418,-0.738752,-0.647825,-0.727668,-0.797172,-0.805251,-0.700218,-0.6531,-0.728748,-0.728706,-0.701983,0.0520907,-0.104823,0.0872484,0.412671,0.140835,1.63346,0.418847,0.654711,0.563572,0.5863,-0.00532197,-0.171917,1.35482,-0.282909,-0.330348,0.0840976,-0.104182,0.932988,-0.267963,-0.294191,0.234585,-0.833963,-0.46123,-1.26463,-0.687014,-0.273545,0.00394669,0.345138,-1.01145,0.720777,-0.784388,-0.014719
-2.79927,0.998575,0.00422451,8,511,0,24.7125,0.00477662,-0.109589,-0.0454826,0.0409701,-0.359667,0.108506,-0.239149,0.462448,-1.08557,-0.653869,-0.125451,-0.0815139,-0.0382749,0.338913,0.463009,-0.681922,-0.0319209,-0.0927957,-0.367913,-0.62981,0.840614,-0.357125,0.303194,0.24252,-0.206393,0.368258,-0.348016,-0.824431,-0.00845829,-0.835219,-0.955264,-0.916627,-0.715338,-0.415542,-0.40948,0.232366,-0.449941,0.530061,-0.849505,-0.639846,-0.582967,0.0588404,-0.592481,-0.677082,-0.580813,-0.503554,-0.569367,-0.628099,-0.649489,-0.601168,-0.608482,-0.560571,-0.116617,-0.071843,0.18409,0.327461,0.0249485,1.07934,0.38842,0.222481,0.453462,0.436548,-0.202116,-0.45215,1.0618,-0.297132,0.0320885,-0.113715,-0.0644105,0.692014,-0.411182,-0.421477,0.0808421,-0.96572,-0.594948,-1.45017,-0.765318,-0.471454,-0.251172,0.2881,-0.728446,0.755705,-0.952168,-0.361518
-6.25965,0.998004,0.00422451,8,255,0,31.8095,-0.0455729,-0.0284702,-0.120925,0.00364994,-0.371641,0.108834,-0.191842,0.463334,-1.17837,-0.842964,-0.186385,-0.230906,0.0923251,0.323329,0.279928,-0.773405,-0.0384155,-0.0105972,-0.245177,-0.463898,0.973129,-0.275405,0.140542,0.198445,-0.281701,0.428061,-0.256713,-0.954005,-0.0876192,-0.815391,-0.934256,-0.827739,-0.698179,-0.425094,-0.36592,0.508385,-0.636207,0.595372,-0.965006,-0.826078,-0.557508,0.0561929,-0.554442,-0.574067,-0.609727,-0.568952,-0.568636,-0.582512,-0.535736,-0.495312,-0.589905,-0.592823,-0.152753,-0.21387,0.157869,0.225944,0.188628,1.10953,0.237114,0.188799,0.487534,0.560776,-0.0428847,-0.255916,1.07067,-0.34442,-0.273878,-0.297372,-0.262712,0.63159,-0.449703,-0.671924,-0.126351,-1.08124,-0.654419,-1.47152,-0.842301,-0.57206,-0.30467,0.463646,-1.01975,0.729485,-1.16685,-0.634245
1.9284,0.999554,0.00422451,10,1535,0,28.5715,-0.15095,-0.0643267,0.105112,-0.555895,-0.200842,0.0809517,-0.477097,0.503046,-1.14519,-0.98985,-0.519701,-0.297334,-0.406629,0.428619,0.0266206,-0.453145,-0.271626,-0.0995299,-0.615502,-0.974528,0.133338,-1.06505,-0.418094,-0.452775,-0.678679,0.0242818,-0.86367,-1.07956,-0.583432,-1.67369,-0.748345,-0.889956,-0.476821,-0.457464,-0.118966,0.295278,-0.877774,0.466536,-0.781061,-0.24431,-0.0692452,0.0415264,-0.0711031,-0.106338,0.0102903,-0.0408391,-0.11568,-0.0755016,-0.0655171,-0.020433,-0.011406,-0.0582064,-0.699786,-0.780866,-0.442515,-0.225706,-0.507712,0.766776,-0.171779,-0.0641421,-0.0962479,0.100396,-0.659306,-0.970986,0.274462,-1.01393,-0.531507,-0.654447,-0.602141,0.222685,-0.901689,-0.816569,-0.515952,-1.72895,-1.25917,-1.89992,-1.21676,-1.22108,-0.681512,-0.324546,-1.72496,-0.0787688,-1.53006,-0.780558
-5.03204,0.997737,0.00422451,9,1023,0,31.3342,-0.292622,-0.207245,-0.211687,-0.630164,-0.23721,0.10818,-0.109254,0.643456,-0.867593,-0.826702,-0.360632,0.0693703,-0.0641232,0.393269,0.230215,-0.397842,-0.185181,-0.11543,-0.675757,-0.528312,1.01137,-0.468056,-0.3381,0.122675,-0.36751,0.191415,-0.517073,-0.963924,-0.175993,-1.21847,-0.489419,-0.535204,-0.70169,0.138029,-0.185762,0.238996,-0.267554,1.02807,-0.688612,-0.212045,-0.0176961,0.0449281,-0.00257224,0.00728991,-0.0928671,-0.0792852,0.0251535,-0.0492904,-0.0530487,-0.0740166,-0.0685628,0.0013404,-0.549434,-0.800346,-0.47737,-0.0916404,-0.416549,0.597328,-0.249719,-0.15887,-0.185947,-0.0872022,-0.960533,-0.732029,0.75302,-0.832717,-0.884512,-0.553117,-0.714714,0.000713068,-0.999578,-1.06577,-0.521324,-1.70876,-1.16812,-1.80343,-1.65099,-0.851804,-0.887841,-0.530734,-1.33096,0.333787,-1.63604,-0.908204
-9.50712,0.995342,0.00422451,9,1023,0,32.4944,0.147956,-0.305746,-0.373702,-0.630289,-0.301591,-0.0537745,-0.241054,0.648883,-0.826299,-0.989229,-0.182866,-0.454432,-0.413482,0.924523,-0.127583,-0.511609,0.0670937,0.22205,-0.702237,-0.615502,0.604491,-0.54824,0.21093,0.174279,-0.536055,0.365516,-0.421749,-0.471404,-0.176016,-1.06803,-0.830795,-0.754115,-0.339086,-0.517116,0.495584,0.798832,-0.660978,0.90315,-0.617951,-0.0314695,-0.126068,0.0712096,-0.128711,-0.00460151,-0.104685,-0.0152664,-0.217033,-0.0943712,-0.122368,-0.0244238,-0.132362,-0.0644101,-0.517988,-0.860604,-0.427487,-0.181396,-0.575129,0.896449,-0.260031,-0.112662,-0.0300794,0.161739,-0.777873,-0.97071,0.308826,-0.979066,-0.642292,-0.460808,-0.753371,0.155863,-0.811088,-0.759406,-0.582267,-1.65859,-1.19411,-1.86696,-1.04645,-1.08469,-0.471402,-0.254166,-1.70473,0.137387,-1.51425,-0.608297
-11.8783,0.998592,0.00422451,9,767,0,44.1694,-0.204773,-0.322852,-0.379277,-0.66732,-0.265069,0.028435,-0.281965,0.521857,-0.710378,-0.931286,-0.0382569,-0.449169,-0.210272,0.852557,0.109748,-0.216847,0.00903035,0.093093,-0.520971,-0.485861,0.682101,-0.400395,0.301317,-0.0759791,-0.0371662,0.252159,-0.29515,-0.39568,0.170705,-0.935004,-0.787829,-0.594455,-0.656056,-0.0747974,0.213021,0.614001,-0.58685,0.955734,-0.706669,0.13599,-0.00210243,0.0724733,-0.0216653,0.109839,0.0195184,0.0991392,0.0147093,0.0403141,0.0860322,0.0446811,0.0168109,-0.0395851,-0.601255,-1.05579,-0.415106,-0.598141,-0.665589,0.741729,-0.395603,-0.103761,-0.238226,-0.121765,-0.900693,-0.959904,0.187994,-1.0133,-0.60713,-0.944101,-0.538109,-0.166352,-0.947284,-0.807355,-0.420596,-1.6883,-1.47962,-1.94501,-1.65023,-1.02181,-0.782243,-0.456859,-1.80097,0.0616278,-1.7912,-0.667758
-17.5995,0.996451,0.00422451,9,767,0,57.4402,-0.665424,0.195312,-0.0289151,-0.10288,-0.29797,0.059148,-0.168466,0.496611,-1.13352,-0.648707,-0.430682,-0.13234,-0.314972,0.362017,0.222549,-0.562799,-0.0725064,0.0501948,-0.480179,-0.661068,0.912033,-0.277036,0.25051,0.445743,-0.260537,0.391069,-0.304805,-0.689347,-0.113795,-1.00325,-0.647847,-0.625598,-0.837028,-0.342192,-0.186385,0.180254,-0.477758,0.760484,-0.532116,-0.0895632,0.043721,0.149206,-0.0190347,-0.031293,0.0324889,-0.0657363,0.0381887,-0.0120298,0.197168,0.151431,-0.15786,0.042596,-0.8063,-0.611291,-0.649753,-0.1768,-0.676619,0.46917,-0.222525,-0.258307,-0.1459,0.0132211,-0.756846,-0.989397,0.373167,-0.94944,-0.72694,-0.540745,-0.83427,-0.0628172,-1.0485,-1.10837,-0.761919,-1.83347,-1.18629,-1.90457,-1.71538,-1.19472,-0.984414,-0.702754,-1.57618,0.0489849,-1.48486,-0.726673
-16.2235,1,0.00422451,9,1023,0,34.2005,-0.430494,-0.309542,-0.162668,-0.346221,-0.394369,0.19651,-0.365801,0.509104,-1.24307,-1.32127,-0.393751,-0.117779,-0.112274,0.0416299,0.34007,-0.480476,-0.308106,0.0378585,-0.188875,-0.819098,0.71528,-0.383627,-0.102531,0.291715,-0.316715,0.0218042,-0.358435,-1.15705,-0.203092,-1.04891,-0.827729,-0.549429,-0.859788,-0.418754,-0.113425,0.414908,-0.61338,0.439495,-0.957352,-0.401891,-0.0743574,0.0712342,-0.101198,-0.136042,-0.0140304,-0.0861966,-0.0361707,-0.13368,0.0311589,0.0364335,-0.243866,-0.0278709,-0.573138,-1.15313,-0.44685,-0.294455,-0.590527,0.538521,-0.366827,0.0411457,-0.168398,0.225769,-0.554656,-1.0168,0.564343,-0.711304,-0.715718,-0.569885,-0.632026,-0.0166613,-0.898689,-1.03114,-0.498635,-1.58546,-1.18199,-1.88379,-1.66393,-1.30694,-0.456577,-0.0407156,-1.59056,0.0926407,-1.74173,-0.768514
-2.92,0.999671,0.00422451,9,1023,0,39.6425,-0.243249,-0.337018,-0.163772,-0.38224,-0.346871,0.0447953,-0.125946,0.661225,-1.26391,-0.789703,-0.420217,-0.415088,-0.098175,0.763841,-0.110907,-0.611129,-0.0478091,-0.0405476,-0.440458,-0.675915,0.515847,-0.716058,-0.0833299,0.0608752,-0.5784,0.0574693,-0.400449,-0.949542,-0.336999,-1.09886,-1.05792,-0.893753,-0.621659,-0.518764,-0.0717987,0.398287,-0.679731,0.646199,-0.899184,-0.371602,0.132265,0.0356232,0.115059,0.124129,0.124019,0.170897,0.117304,0.0917275,0.140021,0.0453497,0.175293,0.163252,-0.988167,-0.827267,-0.780422,-0.499846,-0.576235,0.759339,-0.662027,-0.337785,-0.238428,-0.18877,-0.819593,-1.16331,0.241696,-1.14566,-0.892104,-0.7103,-0.869082,-0.117757,-0.888981,-1.10824,-0.73834,-1.71218,-1.43988,-2.13777,-1.39932,-1.24229,-0.82813,-0.45697,-1.73764,0.0146585,-1.7875,-0.892484
-2.53384,0.990064,0.00422451,8,255,0,27.902,-0.538318,0.357192,0.0790807,-0.26462,-0.0723122,0.0515497,-0.43002,0.472772,-0.928806,-1.15523,-0.561016,-0.380084,-0.536347,0.330776,-0.294454,-0.27576,-0.283221,-0.384371,-0.852128,-0.914695,0.437443,-0.980223,-0.640133,-0.309672,-0.481385,0.15482,-0.639861,-0.863137,-0.345533,-1.44242,-0.528963,-1.08154,-1.0133,-0.465834,-0.499176,0.224451,-0.699732,0.705303,-1.11665,-0.558977,0.156302,0.0347801,0.115589,0.14354,0.179397,0.213924,0.209257,0.175271,0.23617,0.175542,0.0830039,0.169407,-0.804846,-1.1388,-0.569632,-0.457911,-0.653954,0.438525,-0.469503,-0.194511,-0.256483,-0.348794,-0.949112,-0.949826,0.0903281,-1.35975,-1.05649,-0.802613,-0.874157,-0.171672,-1.07388,-1.14397,-0.719163,-1.86024,-1.23892,-1.97122,-1.80575,-1.28921,-1.16055,-0.457542,-1.50839,0.0277376,-1.88996,-1.25568
-8.40512,0.996842,0.00422451,9,767,0,35.4585,0.0658657,-0.322274,0.169365,-0.282269,-0.313728,0.0469781,-0.586127,0.497017,-1.26063,-0.967475,-0.495138,-0.297685,-0.214598,0.538996,-0.177197,-0.646887,-0.481572,-0.113888,-0.895409,-0.884395,0.0892266,-1.13306,-0.6377,-0.421906,-1.11984,-0.434595,-1.24609,-1.52827,-1.04552,-1.79435,-1.27417,-0.895038,-0.873701,-0.650879,-0.35253,0.213781,-1.21336,0.391478,-1.17896,-0.569267,-0.0735306,0.0586332,-0.0231819,-0.0165941,-0.0799335,-0.0759715,-0.158909,-0.086444,-0.0991187,-0.0670935,0.00696943,-0.04603,-0.723436,-0.720109,-0.533121,-0.10593,-0.372101,0.829191,-0.407243,-0.118321,-0.366174,0.0398558,-0.96344,-1.03742,0.457558,-0.90533,-0.746446,-0.509572,-0.772922,0.0232088,-1.07812,-1.04905,-0.792224,-1.73278,-1.26385,-1.66441,-1.22127,-0.955956,-0.661423,-0.184584,-1.80794,0.188989,-1.62015,-0.678134
-16.5295,0.992342,0.00422451,10,1791,0,42.9755,-0.721681,0.433623,0.247009,-0.114993,-0.10382,0.130097,-0.656805,0.706662,-0.766417,-1.0266,-0.528634,-0.50332,-0.4308,0.546487,-0.0962697,-0.458641,-0.369619,-0.246903,-0.887101,-0.935199,0.558293,-0.755167,-0.873241,-0.596431,-0.704748,0.166344,-0.698721,-1.23725,-0.387863,-1.43294,-0.58309,-1.1625,-0.986262,-0.088809,-0.214431,-0.150142,-0.71122,0.899195,-0.843972,-0.213355,0.0109245,0.036303,0.0332449,0.0783245,-0.021099,0.0636327,0.0506199,-0.0168491,0.044498,-0.00374636,0.0233364,0.0540815,-0.448199,-0.918847,-0.400757,-0.643071,-0.571577,0.897516,-0.375604,-0.257831,-0.190985,-0.0555796,-0.99827,-0.845391,0.356769,-1.00322,-1.11809,-1.06341,-1.02791,-0.0055718,-1.0811,-1.28753,-0.627455,-1.73598,-1.23019,-2.06761,-1.75179,-0.954827,-0.623509,-0.588828,-1.44394,0.410778,-1.52593,-0.785341
