# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim1_model
# start_datetime = 2022-03-05 08:06:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c4a04cf6.json
# init = 2 (Default)
# random
#   seed = 1801615243
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00557622
# Diagonal elements of inverse mass matrix:
# 0.162679, 0.152298, 0.54305, 0.460838, 0.447482, 0.420726, 0.350822, 0.341083, 0.515769, 0.329145, 0.331699, 0.410718, 0.321583, 0.427, 0.520479, 0.718768, 0.377156, 0.325766, 0.372837, 0.390209, 0.530844, 0.3535, 0.422767, 0.304866, 0.616, 0.413146, 0.338934, 0.367006, 0.394853, 0.355044, 0.466988, 0.368597, 0.665704, 0.381323, 0.346942, 0.124453, 0.00597931, 0.0143351, 0.0137409, 0.0282689, 0.0166485, 0.0145397, 0.01378, 0.021103, 0.0154156, 0.0133245, 0.0174084, 0.0133965, 0.0151457, 0.0165983, 0.0211914, 0.015001, 0.0143657, 0.0196439, 0.0146203, 0.0179499, 0.0145958, 0.0218597, 0.0130705, 0.0170373, 0.0345495, 0.0217415, 0.0182211, 0.0266527, 0.0140032, 0.0166698, 0.0486721, 0.0193889, 0.0221512, 0.0156968, 0.0306287, 0.0385545, 0.0138589, 0.0140887, 0.0130409, 0.0137048, 0.064784, 0.0137599, 0.0144926, 0.0127476, 0.0160122, 0.0140547, 0.0233046, 0.0137218, 0.013617, 0.0238753, 0.0138634, 0.0152885, 0.0145578, 0.0192738, 0.0135841, 0.0196848, 0.0257629, 0.0180746, 0.0203754, 0.0175244, 0.0143337, 0.0319455, 0.0247626, 0.014392, 0.0134347, 0.0224706, 0.013498, 0.0133007, 0.0148098, 0.0230503, 0.0193007, 0.0277074, 0.0175001, 0.0139313, 0.0234252, 0.0178985, 0.0246388, 0.0198829, 0.0130721, 0.0137944, 0.0177794, 0.96875, 0.130649, 0.130723, 0.130605, 0.129965, 0.130202, 0.130648, 0.13062, 0.130213, 0.130539, 0.130203, 0.130661, 0.129842, 0.129668, 0.130759, 0.130968, 0.130528, 0.130319, 0.130743, 0.13058, 0.130317, 0.130803, 0.130631, 0.13016, 0.130089, 0.129911, 0.130847, 0.130315, 0.130655, 0.13075, 0.130229, 0.13031, 0.130563, 8.45601e-05
7055.89,0.976699,0.00557622,10,1023,0,-6976.78,-0.434462,-0.193315,0.242074,-2.34369,-1.31512,-0.714151,-0.587082,1.31053,1.27981,2.19179,0.641858,-0.440088,-0.526856,-0.836751,0.362295,-0.660118,0.306678,0.557978,0.145592,1.52953,0.143797,0.231363,-0.0972216,0.660286,-0.0282079,1.84767,-0.518497,-0.302315,-0.0937266,-0.4807,1.51616,-0.245773,0.514236,1.41488,-0.874693,0.55373,0.697446,0.719384,0.0107542,-1.23626,1.04697,-0.142188,0.549927,-0.823823,0.909017,0.324753,-0.45652,0.190121,-0.256193,1.04402,1.40152,0.907893,-0.0702438,-0.627764,-0.119146,-0.544509,0.831157,-0.833789,0.492181,-0.394494,-1.50736,-0.838764,-0.663663,1.78835,-0.0563345,-0.352383,-1.98242,-0.63357,-0.882641,-0.252758,-1.37106,2.35534,0.612821,0.69326,0.192116,0.697562,-2.5513,0.619574,0.037121,0.358731,0.932087,0.672725,1.53182,0.576377,0.639833,-0.926658,0.0411636,0.820268,-0.115645,-0.600837,0.450581,1.35657,1.78692,-0.527172,1.3102,-0.520567,0.803041,2.00109,1.67067,-0.201667,0.0910579,-0.857386,0.306802,0.123209,-0.173202,-0.893309,1.33602,-1.11503,-0.541939,-0.0624297,-0.927431,1.22282,1.63587,1.37153,0.116835,0.00476332,-0.481862,0.571682,-1.72835,-1.76341,-1.30237,-0.516986,-0.931263,0.151588,-0.259241,-0.835024,-0.822476,-0.720457,-1.45337,-1.74985,0.883217,-0.816824,-0.643388,-0.0697635,-0.564878,0.444601,-0.899648,-1.2815,-0.234228,-2.01829,-0.468938,-1.09057,-0.854498,-0.0364285,-0.155637,0.290926,-1.14819,0.926104,-1.10461,-0.203709,0.198452,-0.760661,-0.511672,-0.366193,-0.335433,0.123929,0.116492,0.33726,-0.0379384,-0.299849,-0.320853,-0.395871,-0.105613,-0.353113,-0.119077,-0.0582436,-0.158071,0.176943,-0.158506,-0.137309,-0.21685,-0.0334775,-0.200144,0.253956,-0.31883,-0.266498,-0.216004,-0.30968,0.173707,-0.252811,-0.0688325,0.149191,-0.405056,1.05546,0.561231,-0.308496,1.28393,0.454561,0.937275,-0.0208419,1.18772,0.780228,0.235332,0.686329,0.375049,1.28188,1.53121,1.18694,0.504739,0.115899,0.470633,0.173964,1.13342,-0.0277925,0.897,0.278592,-0.497569,-0.0312621,0.0908613,1.80101,0.51444,0.307962,-0.828898,0.111849,-0.0618645,0.377445,-0.402513,2.19645,0.98114,1.03724,0.687721,1.04024,-1.22567,0.985849,0.57962,0.803925,1.20381,1.02292,1.62209,0.955722,0.999979,-0.0925636,0.58244,1.12582,0.473074,0.134679,0.867986,1.49987,1.80001,0.186056,1.46753,0.190663,1.11381,1.94938,1.71893,0.413078,0.617238,-0.0442504,0.767708,0.639662,0.432931,-0.0693044,1.48553,-0.223943,0.175757,0.510189,-0.093103,1.40658,1.69466,1.5103,0.635216,0.557052,0.217657
7034.41,0.976363,0.00557622,10,1023,0,-6962.89,0.0522214,-0.774518,0.208421,-1.1609,-0.326641,1.5515,-1.67346,-0.0710217,1.09763,-1.8479,-2.3662,-0.745972,1.13828,-0.490501,1.62529,0.0943886,-0.0404709,-0.151625,0.328721,-1.00841,-0.0313323,0.320164,-2.54606,-0.16219,1.2612,0.448678,-0.0453765,0.809805,0.418076,-0.359511,-0.57262,0.768006,0.25962,0.265313,1.14846,0.711453,0.680103,0.701874,0.033678,-1.28097,1.0036,-0.145848,0.606825,-0.852978,0.82177,0.26182,-0.550313,0.137354,-0.256917,1.03155,1.42463,0.979996,-0.163598,-0.749185,-0.169448,-0.60728,0.739578,-0.848937,0.464642,-0.450006,-1.59602,-0.876213,-0.593523,1.74462,-0.129048,-0.447615,-2.09467,-0.713063,-0.957218,-0.25697,-1.40976,2.29256,0.612632,0.680488,0.165658,0.652657,-2.64188,0.600471,-0.0657076,0.34286,0.898236,0.627698,1.6189,0.601089,0.675336,-1.05468,-0.0193154,0.756002,-0.0460533,-0.715002,0.392931,1.28884,1.73833,-0.617127,1.40831,-0.492189,0.679446,2.02537,1.6882,-0.321341,-0.0328625,-0.893366,0.218077,0.108849,-0.198658,-0.931063,1.23911,-1.2668,-0.575077,-0.129265,-0.968871,1.14293,1.663,1.37809,0.126324,-0.0606642,-0.585739,0.600095,-1.86468,-1.87397,-1.4602,-0.618452,-1.06575,0.0417347,-0.382032,-0.988962,-0.947897,-0.87023,-1.60222,-1.88468,0.727922,-0.964172,-0.790324,-0.208924,-0.667118,0.291944,-1.01225,-1.40117,-0.372129,-2.1281,-0.625091,-1.23113,-0.982721,-0.174688,-0.308252,0.143048,-1.25873,0.782213,-1.23466,-0.31514,0.200986,-1.01647,-0.842597,-0.451154,-1.1233,-0.78932,-0.545749,-1.15966,-1.26768,-0.929994,-0.537278,-0.876748,-0.435773,-0.754845,-0.782953,-0.80612,-0.706006,-0.984691,-0.781048,-0.707789,-1.30517,-0.808322,-0.511658,-0.681004,-0.783975,-0.605738,-0.687382,-0.849448,-0.893864,-0.61445,-0.720408,-0.719221,-0.535155,1.1888,0.734358,-0.159739,1.394,0.612261,1.12416,0.13134,1.27034,0.889518,0.337183,0.804868,0.536723,1.41301,1.68035,1.37795,0.60019,0.20193,0.596211,0.29844,1.21444,0.134089,1.02746,0.405403,-0.374004,0.115538,0.307796,1.89797,0.623688,0.407029,-0.713138,0.226497,0.0604464,0.536687,-0.247329,2.27063,1.12811,1.17426,0.824118,1.15533,-1.0853,1.11984,0.666765,0.944634,1.32235,1.13835,1.81247,1.12026,1.17075,-0.00583521,0.698317,1.22561,0.680132,0.225178,0.978687,1.588,1.89369,0.291743,1.66925,0.376714,1.17355,2.08891,1.8596,0.492908,0.689103,0.103872,0.859768,0.785482,0.576345,0.0782342,1.55418,-0.150099,0.320341,0.62354,0.0525205,1.48876,1.84247,1.6487,0.797367,0.670195,0.31309
7036.78,0.832846,0.00557622,10,1023,0,-6949.5,0.577184,-1.14414,0.243177,-2.19515,-0.790695,0.46124,1.53723,0.933168,0.659672,-0.7683,-0.422254,-0.245745,0.251701,-1.77895,1.21627,1.05045,-0.940574,0.291074,1.24035,-0.77219,-0.454349,-0.169519,-0.825631,1.30558,0.191037,-0.068137,0.919745,0.246916,0.0664996,-0.918812,0.764166,-1.14463,1.39433,-0.314415,0.719942,0.844378,0.606656,0.671462,-0.122784,-1.5669,1.11188,-0.238203,0.633864,-1.06019,0.88576,0.222958,-0.693185,0.0540041,-0.388984,1.13085,1.49255,0.958486,-0.258503,-0.975535,-0.216542,-0.771943,0.832729,-1.00967,0.495231,-0.645295,-1.75098,-1.0898,-0.763159,1.88994,-0.158157,-0.535294,-2.48447,-0.860847,-1.16151,-0.349743,-1.6192,2.53306,0.614601,0.710098,0.0857935,0.750165,-3.04967,0.65868,-0.153713,0.327772,0.977672,0.625498,1.74418,0.533887,0.637536,-1.24842,-0.084161,0.79271,-0.1381,-0.90534,0.355367,1.39365,1.85999,-0.763794,1.46393,-0.630504,0.724773,2.23716,1.8207,-0.388832,-0.00698661,-1.11831,0.128976,0.0631395,-0.31188,-1.09572,1.30775,-1.47497,-0.715573,-0.176019,-1.11731,1.23884,1.78508,1.47195,0.0197947,-0.139375,-0.786432,0.700576,-1.94339,-1.96726,-1.53058,-0.723821,-1.14537,-0.0304437,-0.497773,-1.05643,-1.03883,-0.951385,-1.66535,-1.95778,0.686334,-1.01279,-0.8811,-0.28887,-0.751695,0.202504,-1.0808,-1.47193,-0.435754,-2.22174,-0.692881,-1.32208,-1.09455,-0.285101,-0.378894,0.0670149,-1.35155,0.68185,-1.33636,-0.41862,0.20195,-1.67795,-1.33642,-1.03198,-0.770323,-0.917217,-0.983725,-1.33098,-1.24682,-1.2039,-1.08293,-1.57674,-0.848374,-0.888698,-1.37287,-1.07336,-0.842517,-1.33192,-1.25463,-1.18537,-1.34492,-0.826656,-1.09769,-1.16071,-0.920481,-1.0841,-1.12797,-1.36758,-0.958315,-1.42249,-0.805074,-1.2206,-0.969069,1.25172,0.769891,-0.106191,1.51891,0.699871,1.22892,0.201207,1.38173,0.979637,0.423854,0.87714,0.608399,1.53042,1.74984,1.42585,0.687556,0.252564,0.713012,0.376075,1.34956,0.231859,1.14481,0.452906,-0.217866,0.183243,0.381403,1.99092,0.748431,0.519639,-0.662839,0.32214,0.139739,0.632204,-0.137917,2.38108,1.21723,1.27516,0.896426,1.29947,-1.00572,1.24397,0.751128,1.04322,1.43749,1.22384,1.90249,1.16826,1.23114,0.0870157,0.793322,1.32528,0.760599,0.295148,1.05996,1.68985,1.97275,0.381018,1.73248,0.461879,1.28407,2.20156,1.94892,0.608491,0.84014,0.165951,0.922623,0.882682,0.655174,0.179654,1.63773,-0.0504231,0.410272,0.737595,0.166555,1.59593,1.92731,1.73735,0.856387,0.759826,0.367284
7029.51,0.985333,0.00557622,10,1023,0,-6939.17,0.524031,-1.01639,0.197334,-1.94591,-0.246371,0.982705,2.41589,1.58609,0.468195,-0.473235,-0.650134,0.123372,0.221136,-2.17051,1.86036,0.968223,-1.332,-0.523957,0.909748,-0.85852,-0.816988,0.173277,-0.682527,0.824629,0.0500657,-0.8832,-0.698541,-0.794175,1.03036,0.527604,0.358301,-0.77364,1.28473,-0.407058,0.274257,0.250847,0.585583,0.634545,-0.0514952,-1.5659,1.11755,-0.350371,0.559517,-1.12438,1.03804,0.208408,-0.640455,0.0420605,-0.371045,1.10155,1.56548,1.04685,-0.181954,-0.976462,-0.24672,-0.769715,0.843895,-1.08291,0.484762,-0.596906,-2.02263,-1.11006,-0.86311,1.99534,-0.161504,-0.565704,-2.60413,-0.841495,-1.16802,-0.426592,-1.6625,2.65477,0.711955,0.763769,0.0649018,0.664691,-3.11027,0.63769,-0.218229,0.3223,0.997228,0.640761,1.68846,0.536164,0.634682,-1.27211,-0.126158,0.812697,-0.235688,-0.949982,0.322587,1.39298,1.91004,-0.816565,1.479,-0.731083,0.781367,2.19152,1.84543,-0.354434,-0.0382326,-1.1601,0.143512,0.0449114,-0.392259,-1.15423,1.39198,-1.51989,-0.831742,-0.198349,-1.22223,1.30654,1.81034,1.54934,0.0494296,-0.112109,-0.80448,0.66192,-1.36441,-1.36965,-0.94046,-0.130007,-0.53604,0.556934,0.091546,-0.481259,-0.458076,-0.34592,-1.08732,-1.41356,1.29478,-0.457922,-0.296952,0.341999,-0.175196,0.824063,-0.495476,-0.867669,0.155373,-1.64757,-0.0904773,-0.727189,-0.458977,0.339659,0.207536,0.656277,-0.77509,1.30995,-0.696004,0.19519,0.19726,-1.40038,-1.065,-0.822466,-0.53965,-0.703399,-0.923997,-1.10977,-1.14468,-0.992042,-0.97275,-1.4447,-0.649275,-0.825324,-1.27924,-1.11978,-0.836863,-1.1858,-1.17761,-0.982194,-1.15107,-0.85366,-1.00651,-1.19067,-1.15423,-1.1731,-0.813063,-0.912273,-0.945683,-1.16905,-0.762867,-1.09671,-0.962267,0.622426,0.220692,-0.66612,0.905267,0.0456755,0.578491,-0.407571,0.858703,0.372887,-0.124193,0.275477,0.0335694,0.895894,1.16757,0.863866,0.144298,-0.320953,0.106372,-0.199885,0.745017,-0.383285,0.534715,-0.0986912,-0.933571,-0.399184,-0.254576,1.41928,0.156273,-0.0804202,-1.27409,-0.241919,-0.433125,0.00104199,-0.722685,1.80544,0.667756,0.698097,0.288852,0.640079,-1.57047,0.624268,0.123056,0.43958,0.834807,0.626066,1.23958,0.564816,0.622506,-0.494077,0.176971,0.726749,0.112832,-0.305447,0.439748,1.06655,1.36933,-0.22732,1.11692,-0.177263,0.708402,1.53416,1.3315,0.0432963,0.228458,-0.428488,0.334885,0.277146,0.0211466,-0.42505,1.06597,-0.639177,-0.236207,0.134697,-0.464871,1.01594,1.31095,1.15811,0.279792,0.185197,-0.220243
7041.04,0.996285,0.00557622,10,1023,0,-6955.06,0.334086,0.0654192,0.158196,-2.21324,-0.135691,1.72716,-0.0789323,0.812187,0.399824,1.40872,-2.05016,-0.820878,1.8152,-2.33901,-1.03418,1.70261,-0.403587,-2.06356,0.998018,-0.623136,-1.30493,0.913653,0.372091,0.345308,0.796456,-0.966115,-0.0537958,-0.208971,1.56531,-1.15799,-0.211354,-0.127649,1.00837,-0.874724,-0.560844,-0.359846,0.65704,0.635853,-0.0412844,-1.37428,1.07705,-0.22066,0.558207,-0.949252,0.911172,0.236575,-0.515607,0.0917735,-0.261739,1.03321,1.44522,0.928128,-0.0891104,-0.813639,-0.222334,-0.609928,0.847957,-0.907815,0.472227,-0.569901,-1.60723,-0.928276,-0.741489,1.81963,-0.116414,-0.51216,-2.20654,-0.702214,-1.04237,-0.319523,-1.52877,2.40507,0.654685,0.738231,0.09921,0.63422,-2.78218,0.643677,-0.135012,0.341704,0.966765,0.608284,1.5303,0.512497,0.599408,-1.02437,-0.0567688,0.801,-0.116933,-0.78803,0.338575,1.31017,1.79463,-0.64295,1.38214,-0.542886,0.747001,2.08851,1.70558,-0.270234,0.0185659,-0.977286,0.148082,0.0994236,-0.238098,-0.978392,1.32508,-1.32589,-0.611373,-0.167329,-1.04585,1.23468,1.71707,1.44309,0.104371,0.025407,-0.640638,0.56874,-0.807616,-0.77996,-0.359188,0.452995,0.0416725,1.14858,0.697262,0.107883,0.128241,0.255632,-0.486676,-0.790763,1.86234,0.108045,0.284733,0.881256,0.407759,1.38866,0.0656851,-0.313782,0.740576,-1.0681,0.47739,-0.174627,0.0778208,0.923861,0.77053,1.23109,-0.206415,1.88407,-0.157451,0.766324,0.201821,-0.284706,0.0439535,0.33865,0.0529324,0.193904,0.12867,0.288274,-0.258908,-0.0644405,0.352577,-0.304603,-0.0981842,0.334765,0.00157335,-0.261027,0.223302,-0.0331584,-0.141016,0.209955,0.124283,0.120046,0.191416,-0.0874164,0.0569089,0.0323608,0.313045,-0.117771,0.0319839,0.0452256,0.22494,-0.0729586,-0.0233041,0.0579347,-0.386972,-1.26281,0.34782,-0.504829,0.00691788,-0.983542,0.23883,-0.204407,-0.69862,-0.299547,-0.531819,0.319017,0.589723,0.249971,-0.418395,-0.894439,-0.505928,-0.760593,0.197295,-0.956316,-0.049574,-0.734294,-1.41586,-0.96976,-0.847034,0.83572,-0.436334,-0.696356,-1.80963,-0.821229,-1.04473,-0.569785,-1.36431,1.22038,0.0703079,0.125201,-0.294661,0.0568616,-2.18785,0.0630755,-0.448554,-0.135333,0.275357,0.0398209,0.64562,-0.0231153,0.0339891,-1.0329,-0.397145,0.166443,-0.436675,-0.877613,-0.137389,0.500988,0.819296,-0.78229,0.548277,-0.716543,0.130963,1.01239,0.760788,-0.5374,-0.347648,-1.00196,-0.26255,-0.294521,-0.516286,-1.00269,0.510785,-1.23101,-0.761542,-0.469788,-1.04701,0.451385,0.768336,0.588319,-0.29127,-0.343153,-0.780771
7042.01,0.956951,0.00557622,10,1023,0,-6953.15,-0.0568745,0.282171,0.184428,0.0781575,-0.692453,-1.73541,-1.17087,-1.12347,0.281193,-0.935188,0.765408,-0.58342,-0.533114,1.53116,0.455601,-0.301386,0.78045,0.547677,-0.530611,-0.0971113,2.16617,-0.760766,-1.28603,0.792823,-1.99821,1.47261,-0.338403,-2.01603,-0.938139,1.14451,0.890695,1.43304,0.138647,0.051798,0.110645,-0.336058,0.667646,0.682484,0.0565929,-1.30091,1.02788,-0.154967,0.579336,-0.818042,0.935977,0.30664,-0.441477,0.101101,-0.210205,1.11251,1.49426,0.969762,-0.0633494,-0.630867,-0.14583,-0.611749,0.898632,-0.867295,0.523319,-0.409791,-1.60941,-0.862287,-0.634137,1.8784,-0.0750546,-0.402615,-2.16988,-0.734146,-0.986884,-0.301907,-1.45348,2.41896,0.674694,0.778754,0.150908,0.684468,-2.6214,0.6728,0.00389942,0.392813,1.00233,0.692427,1.73282,0.543887,0.657749,-0.982499,0.0029237,0.823395,-0.039438,-0.631287,0.359643,1.39206,1.83349,-0.560745,1.42835,-0.537161,0.804273,2.13412,1.72611,-0.198076,0.0394246,-0.852568,0.188206,0.171256,-0.147326,-0.964707,1.34292,-1.2551,-0.496837,-0.0881592,-0.998265,1.23883,1.73035,1.41055,0.162978,0.0483462,-0.515057,0.57453,-0.862218,-0.84076,-0.434431,0.392135,-0.0339409,1.09798,0.663101,0.0488385,0.0578459,0.16986,-0.563516,-0.875128,1.77878,0.0365536,0.208296,0.814453,0.33296,1.31341,0.00771754,-0.388156,0.671789,-1.14107,0.412278,-0.234865,0.0107136,0.859451,0.719007,1.1514,-0.282036,1.80253,-0.219891,0.698643,0.201279,0.296585,0.154463,-0.037888,0.0662291,0.07497,0.334031,0.109695,0.423334,0.174572,0.183849,0.564561,0.366196,0.226587,0.426108,0.383178,0.184311,0.264261,0.681674,0.141864,0.0449901,0.42839,-0.0863556,0.553762,0.21976,-0.0896433,0.109151,0.49325,0.44644,0.546464,0.307741,0.291724,0.302577,0.119599,-0.298274,-1.20461,0.350202,-0.439522,0.0507328,-0.882221,0.288842,-0.131332,-0.630808,-0.268559,-0.476401,0.406703,0.661576,0.311399,-0.378353,-0.757254,-0.433421,-0.74449,0.263909,-0.915104,0.0133329,-0.609653,-1.41057,-0.911761,-0.759437,0.918048,-0.386168,-0.604862,-1.78477,-0.826208,-0.994947,-0.537625,-1.30647,1.27895,0.114398,0.183874,-0.235305,0.120924,-2.08622,0.113133,-0.333455,-0.0737987,0.333142,0.126237,0.820849,0.0270653,0.103085,-0.99202,-0.334106,0.213678,-0.362389,-0.757535,-0.0959446,0.593347,0.88806,-0.710437,0.617574,-0.694692,0.200911,1.08877,0.81637,-0.468303,-0.309737,-0.905272,-0.210404,-0.22172,-0.43442,-0.980141,0.560536,-1.17402,-0.667769,-0.394918,-1.00255,0.491044,0.819202,0.605689,-0.227247,-0.30378,-0.679934
