# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim1_model
# start_datetime = 2022-03-05 08:06:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c4a04cf6.json
# init = 2 (Default)
# random
#   seed = 1801615243
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00491436
# Diagonal elements of inverse mass matrix:
# 0.178038, 0.171829, 0.780225, 0.585249, 0.544007, 0.479305, 0.379122, 0.383361, 0.552311, 0.38824, 0.414468, 0.402459, 0.435122, 0.442501, 0.556709, 0.823759, 0.391526, 0.388469, 0.432639, 0.481903, 0.624675, 0.359573, 0.420839, 0.396078, 0.82891, 0.392713, 0.441504, 0.397921, 0.456528, 0.424515, 0.613022, 0.431197, 0.90388, 0.459107, 0.465138, 0.183271, 0.00592943, 0.0185027, 0.0158466, 0.0261218, 0.0217855, 0.0166239, 0.0182343, 0.0206756, 0.0213479, 0.0165546, 0.0172074, 0.0161413, 0.0160166, 0.022503, 0.0286778, 0.0212808, 0.0160736, 0.0193424, 0.0164079, 0.0183733, 0.0199388, 0.0208857, 0.017424, 0.0175081, 0.0316302, 0.0202939, 0.0188674, 0.0354232, 0.0160773, 0.0167832, 0.0439366, 0.0189051, 0.021529, 0.0166065, 0.0282373, 0.0506086, 0.0179182, 0.0184897, 0.0159366, 0.0184127, 0.0598996, 0.0178382, 0.0157966, 0.0163909, 0.0214329, 0.0189118, 0.030792, 0.0179766, 0.0184067, 0.0219468, 0.0156064, 0.0201584, 0.015817, 0.0185726, 0.0164891, 0.0268174, 0.0347667, 0.0178278, 0.0276771, 0.0179588, 0.0192986, 0.0428824, 0.0332592, 0.0160477, 0.015844, 0.0213233, 0.0163581, 0.0157274, 0.0158775, 0.0210852, 0.0266234, 0.0257006, 0.017225, 0.0161705, 0.021723, 0.0252124, 0.032622, 0.028104, 0.0156462, 0.0159798, 0.0179279, 1.69729, 0.190512, 0.190627, 0.190486, 0.189905, 0.190127, 0.18976, 0.190451, 0.190559, 0.190287, 0.190042, 0.19015, 0.190471, 0.190227, 0.190519, 0.190003, 0.189732, 0.1908, 0.190451, 0.189917, 0.190342, 0.190467, 0.19014, 0.190132, 0.190211, 0.190458, 0.190715, 0.189406, 0.189633, 0.190268, 0.190119, 0.190367, 0.18964, 7.14151e-05
7103.31,0.996052,0.00491436,8,255,0,-7035.67,-0.200539,0.0430454,0.886844,-1.21792,-1.3432,-1.06389,-0.334884,-0.585004,0.728646,0.440487,-0.0840934,0.059499,-0.0707219,-0.850879,-0.808234,1.39758,-0.372972,-0.116559,0.521074,-0.0106144,0.668302,-0.501309,-0.575272,0.227212,-1.95619,-0.12694,-0.624694,-0.0306397,0.255728,0.663362,0.516445,-0.690868,1.40937,-0.536213,-0.0251088,0.311721,0.655946,0.412679,-0.142393,-1.58251,0.800449,-0.402345,0.353961,-1.11835,0.675318,-0.0229046,-0.737654,-0.0994752,-0.479305,0.908844,1.29973,0.803743,-0.315819,-0.96161,-0.382326,-0.862125,0.618243,-1.08945,0.199402,-0.690724,-1.81479,-1.12719,-0.90687,1.68799,-0.233027,-0.643514,-2.42157,-0.961744,-1.15996,-0.545924,-1.68558,2.23243,0.489954,0.509024,-0.0861343,0.500839,-2.9411,0.388349,-0.261317,0.146307,0.728441,0.472705,1.41539,0.392886,0.411295,-1.25881,-0.178669,0.59664,-0.287138,-0.933756,0.188999,1.13908,1.59474,-0.791237,1.20686,-0.736137,0.543366,1.90634,1.49843,-0.454706,-0.195865,-1.17994,-0.0360398,-0.0931896,-0.435,-1.16082,1.11702,-1.50686,-0.788811,-0.3203,-1.19749,1.00817,1.54546,1.23716,-0.0790964,-0.382037,-0.817374,0.239139,-1.30201,-1.35708,-0.921063,-0.0887244,-0.523455,0.611424,0.141993,-0.451235,-0.422404,-0.299682,-1.04744,-1.35502,1.30053,-0.428455,-0.297717,0.334959,-0.138972,0.842965,-0.47358,-0.87619,0.159474,-1.61296,-0.0448741,-0.696071,-0.437165,0.353062,0.22966,0.660632,-0.744792,1.32936,-0.703296,0.212111,0.198786,-1.03706,-1.14817,-0.900463,-0.253945,-0.475762,0.689241,0.433689,-0.0315324,0.0958118,-0.0196739,-0.711552,-0.673732,1.28248,-0.287723,-0.060324,0.505157,0.0336321,0.635726,-0.401537,-0.467131,0.244547,-1.69179,-0.0695304,-0.510961,0.0158727,0.269836,0.631345,0.501051,-0.569647,1.29294,-0.432492,0.0207778,0.582417,0.218319,-0.726317,0.836773,0.047805,0.543901,-0.421854,0.754694,0.296697,-0.17214,0.246471,-0.00267686,0.907874,1.16427,0.838933,0.104561,-0.319043,0.0609362,-0.253786,0.717255,-0.402896,0.442518,-0.141356,-0.878683,-0.427655,-0.283137,1.41895,0.158869,-0.110389,-1.2767,-0.319131,-0.449149,-0.0463751,-0.793931,1.77607,0.633105,0.645614,0.255222,0.640245,-1.61748,0.566457,0.140311,0.407691,0.78954,0.62179,1.24014,0.569434,0.581509,-0.513989,0.194524,0.703085,0.123374,-0.300772,0.435694,1.05889,1.35778,-0.207287,1.10336,-0.171145,0.66814,1.56218,1.29461,0.013459,0.183245,-0.462254,0.288081,0.250594,0.0263851,-0.449716,1.04443,-0.676698,-0.205696,0.101622,-0.473769,0.973026,1.32546,1.12323,0.259838,0.061126,-0.224432
7100.55,0.982985,0.00491436,8,255,0,-7033.34,-0.248573,0.0310156,0.94869,-1.07543,-1.40976,-0.762168,0.102998,-0.315153,0.806829,0.673059,-0.0258109,-0.0122107,0.233642,-0.669973,-0.74101,1.56491,-0.270491,0.00183277,0.63155,0.18385,0.818605,-0.134546,-0.696371,0.257027,-1.76906,0.203546,-0.370052,0.0718797,0.697235,0.556832,0.618885,-0.283924,1.71111,-0.728013,0.0498358,0.238737,0.643981,0.458417,-0.222509,-1.62817,0.855604,-0.415777,0.438011,-1.13073,0.714668,-0.045478,-0.745293,-0.0815835,-0.471682,0.904282,1.35459,0.770655,-0.31421,-1.00579,-0.364755,-0.808118,0.649833,-1.14831,0.219649,-0.642717,-1.84224,-1.16049,-0.863832,1.72833,-0.249311,-0.585412,-2.41718,-0.960196,-1.13925,-0.465437,-1.68598,2.28316,0.387716,0.542885,-0.0380335,0.45996,-2.98411,0.439641,-0.292621,0.14357,0.804986,0.448752,1.49813,0.395842,0.451687,-1.32123,-0.15948,0.630033,-0.272697,-0.875541,0.142798,1.20564,1.61909,-0.762401,1.21848,-0.794861,0.528489,2.00328,1.56345,-0.493411,-0.166436,-1.15339,-0.0134875,-0.0855783,-0.37757,-1.14346,1.10214,-1.50857,-0.78279,-0.315545,-1.23135,1.08204,1.55285,1.31805,-0.0920509,-0.302582,-0.771742,0.234507,-1.24424,-1.28204,-0.850952,-0.0334236,-0.451776,0.663303,0.195214,-0.374486,-0.357806,-0.2542,-0.972294,-1.29243,1.35351,-0.368434,-0.207956,0.399736,-0.0689336,0.90383,-0.41259,-0.810131,0.232701,-1.54556,0.00379526,-0.638535,-0.377535,0.407284,0.296165,0.740801,-0.670384,1.38261,-0.632877,0.261972,0.197911,-0.98923,-1.30641,-0.692045,0.128728,-0.267967,0.796446,0.669539,0.00652908,0.0194314,0.25267,-0.604581,-0.671973,1.51563,-0.225596,0.0327543,0.630161,0.205432,0.807618,-0.0966269,-0.629624,0.274855,-1.64727,0.224118,-0.320049,0.0992071,0.692475,0.559277,0.618145,-0.23834,1.65433,-0.659643,0.0782943,0.533948,0.0954453,-0.809776,0.789729,-0.029016,0.520807,-0.489433,0.698969,0.20945,-0.241217,0.186198,-0.0650174,0.821077,1.11107,0.735024,0.0363913,-0.408974,0.00384138,-0.281676,0.657217,-0.500753,0.380187,-0.175161,-0.947633,-0.508596,-0.317554,1.35175,0.0781852,-0.138257,-1.31788,-0.379611,-0.494917,-0.0609956,-0.847003,1.70905,0.488418,0.588344,0.214244,0.534942,-1.68297,0.521857,0.0502946,0.331193,0.757132,0.527724,1.20351,0.493652,0.529614,-0.612108,0.136034,0.644466,0.0631249,-0.325095,0.330696,1.01514,1.2814,-0.252235,1.02342,-0.273139,0.579074,1.52881,1.24557,-0.0790107,0.131555,-0.504026,0.230051,0.183626,-0.00441104,-0.497627,0.948492,-0.732755,-0.265365,0.035532,-0.554231,0.935551,1.23874,1.08754,0.179458,0.0438793,-0.258251
7081.43,0.992492,0.00491436,8,511,0,-7005.56,-0.439182,0.0557924,0.667591,-1.26846,-1.73207,-0.428298,0.606734,-0.336094,1.3656,0.846348,-0.266182,-0.301086,-0.806575,-0.415853,-1.2061,2.53745,-0.423372,0.641114,0.733318,0.0346201,1.37352,-0.859285,-0.553864,0.480236,-1.31754,0.884296,-1.22909,-0.585481,1.24356,0.461417,1.36232,-1.08424,1.97679,-0.569109,0.706988,0.349796,0.629413,0.489458,-0.206073,-1.64069,0.904307,-0.392399,0.462024,-1.13718,0.755783,0.010299,-0.718321,-0.035639,-0.458932,0.930639,1.41857,0.811563,-0.258475,-1.00442,-0.35716,-0.839164,0.678873,-1.16783,0.267498,-0.639542,-1.87426,-1.17598,-0.844381,1.74592,-0.265971,-0.575037,-2.52764,-0.958821,-1.14634,-0.494166,-1.68897,2.32578,0.425984,0.542977,-0.0629995,0.506988,-3.0768,0.481082,-0.265281,0.153628,0.841184,0.482959,1.55148,0.374401,0.463249,-1.33167,-0.159904,0.662413,-0.257988,-0.924868,0.157856,1.25464,1.71124,-0.794013,1.27572,-0.794047,0.545345,2.07468,1.6177,-0.471153,-0.192562,-1.15895,-0.00248709,-0.0453001,-0.347287,-1.15524,1.14829,-1.519,-0.808598,-0.304566,-1.2514,1.12538,1.57894,1.35086,-0.0782978,-0.281293,-0.758416,0.241787,-1.35737,-1.4084,-0.961098,-0.168679,-0.57882,0.552464,0.0880186,-0.48882,-0.481229,-0.388958,-1.0955,-1.40842,1.23612,-0.489648,-0.32779,0.284205,-0.190539,0.783279,-0.535196,-0.924506,0.117578,-1.68107,-0.105569,-0.751089,-0.504592,0.281666,0.174627,0.597845,-0.788244,1.26302,-0.772696,0.151738,0.196938,-0.791022,-1.10052,-0.230136,0.460842,-0.168581,0.967455,0.620806,-0.121908,-0.14521,-0.482669,-0.221827,-0.74939,1.74977,-0.226847,0.483794,0.545349,0.0789044,0.972742,-0.517858,-0.313962,0.376393,-0.823783,0.64614,-0.764733,-0.335069,0.885979,0.36383,0.965262,-0.668036,1.37548,-0.324139,0.527771,0.657867,0.220091,-0.682872,0.918979,0.102815,0.6406,-0.365961,0.825496,0.356279,-0.102324,0.327365,0.0609383,0.935552,1.24266,0.860604,0.187109,-0.282402,0.124995,-0.178385,0.777087,-0.385251,0.518163,-0.0527397,-0.82989,-0.390379,-0.181668,1.4487,0.182391,-0.0121391,-1.24113,-0.253698,-0.371728,0.0387615,-0.713266,1.81367,0.617916,0.691553,0.310144,0.668901,-1.58678,0.652596,0.182825,0.446492,0.879248,0.653777,1.32631,0.585449,0.641371,-0.488372,0.24915,0.766728,0.187415,-0.232327,0.449153,1.13948,1.42687,-0.149966,1.15275,-0.149987,0.693044,1.65562,1.368,0.0532467,0.228595,-0.379663,0.348231,0.321284,0.13121,-0.377329,1.07255,-0.606283,-0.159146,0.158098,-0.437849,1.05813,1.3436,1.20005,0.300515,0.172747,-0.127561
7067.23,0.974608,0.00491436,9,511,0,-6997.69,0.200359,-0.352269,0.973936,-0.973326,-0.985025,-0.80851,-0.110059,-0.330921,0.598344,0.115879,0.246349,-0.333066,0.886205,-1.00828,-0.669917,0.917375,0.317644,-0.447736,0.372767,0.592506,0.68696,-0.072719,-0.287976,0.157607,-0.768307,-0.789332,-0.0171214,0.249344,-0.55681,0.376882,0.612973,-0.0547799,1.43847,-0.574458,-0.202507,0.32523,0.649032,0.479645,-0.14928,-1.48623,0.946586,-0.395714,0.450232,-1.0976,0.742711,0.104995,-0.662031,-0.058036,-0.506624,0.907676,1.3613,0.747569,-0.207817,-0.913216,-0.38304,-0.858547,0.658545,-1.08843,0.313485,-0.607141,-1.81004,-1.13231,-0.84851,1.64597,-0.205071,-0.578402,-2.41951,-0.784067,-1.18326,-0.483581,-1.61571,2.31355,0.443365,0.555387,0.039567,0.574228,-2.84595,0.468574,-0.243175,0.172652,0.799226,0.541034,1.4836,0.394126,0.480575,-1.26328,-0.163372,0.591624,-0.305801,-0.967093,0.223884,1.18407,1.70936,-0.736349,1.26464,-0.715233,0.599209,2.00564,1.61433,-0.400474,-0.139135,-1.10322,0.0107258,-0.0707252,-0.33326,-1.15919,1.10715,-1.47589,-0.771009,-0.26447,-1.20382,1.00969,1.56893,1.28709,-0.0359944,-0.249426,-0.771471,0.420756,-1.40108,-1.36822,-0.941112,-0.141748,-0.554375,0.525498,0.0818359,-0.491464,-0.462505,-0.336515,-1.10571,-1.40737,1.2567,-0.447926,-0.313154,0.303174,-0.19705,0.787265,-0.516884,-0.878464,0.150802,-1.62991,-0.0974905,-0.766298,-0.49705,0.31166,0.194721,0.655755,-0.806026,1.29,-0.749137,0.173559,0.197486,-1.30023,-1.31162,-1.13971,-0.459459,-0.674565,0.23048,-0.239411,-0.112341,-0.676654,0.510838,-1.33426,-1.00473,0.541196,-0.042904,-0.788335,0.0107818,0.224794,0.316786,-0.423093,-0.632739,-0.19877,-1.10055,-1.12103,-0.368944,-0.109424,-0.894567,0.0147899,0.244727,-0.405621,1.04871,-0.911755,-0.549498,0.636535,0.228343,-0.63938,0.939595,0.0683997,0.617445,-0.387149,0.807273,0.393375,-0.104449,0.287563,-0.00358485,0.914341,1.20876,0.810427,0.190351,-0.267476,0.0766252,-0.231994,0.752647,-0.381197,0.528692,-0.0688235,-0.849545,-0.409677,-0.22548,1.39352,0.192133,-0.0501711,-1.24511,-0.183654,-0.442743,0.0113706,-0.723417,1.8268,0.612988,0.685694,0.350911,0.697922,-1.52188,0.62935,0.167402,0.437287,0.843953,0.676379,1.28814,0.581031,0.637139,-0.494677,0.219197,0.709213,0.126756,-0.302444,0.470538,1.09373,1.43466,-0.152684,1.14603,-0.138978,0.714136,1.62695,1.37298,0.0653097,0.234927,-0.390794,0.332192,0.279327,0.108934,-0.427124,1.04381,-0.632669,-0.175179,0.153581,-0.456086,0.980553,1.34351,1.16059,0.301869,0.163345,-0.175479
7082.12,0.980715,0.00491436,9,511,0,-7016.47,-0.0132215,-0.1025,0.637677,-1.27342,-0.973097,-1.00899,0.537733,-0.342696,0.378136,0.281396,0.390175,0.490461,-0.988389,-1.24197,-1.21873,1.55686,0.495554,-0.341867,0.845668,-0.218537,1.30387,-0.227668,-0.590853,0.389465,-1.96887,-0.127045,-0.156287,-1.17087,1.59426,-0.0701576,0.399082,-0.69431,0.179909,-0.907551,0.321345,0.298715,0.695481,0.460668,-0.149219,-1.46781,0.789878,-0.374313,0.393896,-0.997034,0.71718,0.103781,-0.648292,-0.0440167,-0.322642,0.854913,1.19704,0.73164,-0.341316,-0.874173,-0.304583,-0.700437,0.610832,-0.994283,0.290508,-0.632776,-1.68277,-0.98906,-0.804749,1.60978,-0.227912,-0.559696,-2.19794,-0.925782,-1.06261,-0.449909,-1.52856,2.07094,0.392744,0.411548,-0.0439607,0.467687,-2.76465,0.407238,-0.212293,0.161906,0.763173,0.441886,1.35288,0.36513,0.461078,-1.11201,-0.149977,0.677654,-0.230611,-0.786965,0.233755,1.09823,1.50119,-0.758616,1.16383,-0.670033,0.56856,1.86323,1.43038,-0.411061,-0.127781,-1.06289,0.073147,-0.0638053,-0.339864,-1.10875,1.11215,-1.34429,-0.686868,-0.266614,-1.12075,1.04756,1.50059,1.18856,-0.0423268,-0.283142,-0.739481,0.397698,-1.3563,-1.35797,-0.930517,-0.109425,-0.515523,0.566794,0.122378,-0.445932,-0.45572,-0.33807,-1.06734,-1.35648,1.28604,-0.419413,-0.256495,0.34279,-0.153058,0.825993,-0.487013,-0.892531,0.170742,-1.59123,-0.059145,-0.738192,-0.467543,0.354874,0.197557,0.678902,-0.775886,1.3022,-0.696829,0.211962,0.200131,-0.914534,-0.723022,-0.745913,0.2404,-0.32103,0.138629,0.0769396,0.146306,0.210256,-0.732774,-0.894475,-0.879654,0.890273,0.213503,-0.320501,0.436763,-0.241856,0.728947,-0.247679,-0.479273,0.145853,-1.35801,-0.183514,-0.202161,-0.849136,0.914123,-0.147238,0.151985,-0.545246,0.0122238,-0.681225,0.102414,0.6191,0.194936,-0.722116,0.84806,0.038387,0.572662,-0.394703,0.7975,0.370892,-0.15216,0.268102,0.0743237,0.89329,1.13123,0.807557,0.0613357,-0.309256,0.0868833,-0.188426,0.723537,-0.39279,0.500758,-0.141369,-0.871623,-0.389158,-0.260973,1.41829,0.140206,-0.0905429,-1.22991,-0.345149,-0.440307,-0.0141885,-0.76437,1.73901,0.571861,0.584939,0.268141,0.623982,-1.62405,0.581941,0.151069,0.411317,0.829487,0.606038,1.23962,0.552655,0.619386,-0.474668,0.194409,0.77001,0.138329,-0.248604,0.461287,1.06252,1.34276,-0.228888,1.10813,-0.167281,0.694138,1.59456,1.29352,0.0128297,0.209845,-0.440507,0.349587,0.254339,0.0623455,-0.472401,1.0722,-0.63621,-0.178989,0.11329,-0.480748,1.02727,1.34235,1.12534,0.269277,0.101795,-0.21558
7085.3,0.947746,0.00491436,9,511,0,-7013.35,-0.584924,0.265636,0.62028,-1.29038,-1.59086,-0.341485,0.220604,-0.787761,1.53667,0.586171,-0.28665,-0.932369,0.359806,-0.471109,-1.12594,2.10145,-0.235341,0.460347,0.344798,0.499242,1.215,0.00253053,-1.18334,0.716743,-1.24671,0.700615,-0.452081,0.0668739,0.104598,1.32698,1.67394,0.052013,3.34988,0.376834,1.15035,0.260982,0.696541,0.456444,-0.15427,-1.49339,0.793831,-0.347387,0.382471,-1.00447,0.686166,0.0994474,-0.682445,-0.0750039,-0.346045,0.856736,1.21317,0.72294,-0.314262,-0.902731,-0.320921,-0.764903,0.600219,-1.07658,0.2676,-0.644487,-1.74863,-1.05148,-0.851068,1.53522,-0.219429,-0.592772,-2.294,-0.924009,-1.09605,-0.492975,-1.53567,2.15133,0.370095,0.402533,-0.0564595,0.454838,-2.81794,0.41657,-0.248315,0.149616,0.729366,0.444049,1.39728,0.385079,0.446886,-1.17553,-0.191868,0.697318,-0.270202,-0.820295,0.247835,1.11683,1.56354,-0.743079,1.1408,-0.69943,0.540419,1.83178,1.4748,-0.436988,-0.143788,-1.09474,0.0431933,-0.0733157,-0.337506,-1.11953,1.05477,-1.37753,-0.69679,-0.260658,-1.16252,1.0221,1.42454,1.18203,-0.0590858,-0.289373,-0.792222,0.236592,-1.2875,-1.29583,-0.85219,-0.0557991,-0.498414,0.634588,0.174032,-0.401709,-0.38499,-0.292667,-1.01088,-1.32115,1.33215,-0.405405,-0.222235,0.389969,-0.132428,0.910971,-0.450847,-0.831229,0.23237,-1.5739,-0.0164255,-0.686082,-0.440454,0.365485,0.25491,0.720529,-0.716417,1.37304,-0.654284,0.266607,0.201449,-0.534763,-0.721141,0.0538196,0.402472,-0.222997,1.2188,0.629227,0.0878331,-0.312694,0.488817,-0.0265837,-0.432764,1.56912,0.119658,0.55118,0.479508,0.575306,1.01927,0.267206,-0.468368,0.710217,-0.507675,0.700214,-0.0147809,0.307117,0.330516,1.08873,1.30395,0.297899,2.3435,0.499379,0.979176,0.578914,0.153526,-0.779229,0.813917,0.0190121,0.527388,-0.43867,0.738925,0.330251,-0.214369,0.208738,0.019947,0.857733,1.10601,0.764539,0.042085,-0.367807,0.0374469,-0.271805,0.679059,-0.4889,0.447376,-0.18793,-0.95701,-0.471416,-0.331822,1.33033,0.10814,-0.151908,-1.33688,-0.382629,-0.502459,-0.0823957,-0.808676,1.75947,0.518768,0.541362,0.221655,0.577795,-1.70183,0.55114,0.0880201,0.365195,0.769015,0.57028,1.23425,0.529205,0.572256,-0.557827,0.127337,0.746692,0.072775,-0.310388,0.433609,1.0389,1.35005,-0.256603,1.0556,-0.2262,0.637405,1.53689,1.28824,-0.0433987,0.160827,-0.50155,0.291067,0.209914,0.0258946,-0.518816,0.99567,-0.698527,-0.224361,0.0794226,-0.548762,0.972917,1.25323,1.08431,0.219826,0.0594214,-0.290833
