# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim1_model
# start_datetime = 2022-03-09 15:25:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc59543fe3.json
# init = 2 (Default)
# random
#   seed = 1801615243
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00545662
# Diagonal elements of inverse mass matrix:
# 0.188479, 0.203845, 0.248618, 0.315664, 0.322305, 0.240023, 0.251552, 0.2251, 0.317975, 0.26826, 0.220142, 0.240261, 0.246014, 0.286192, 0.343563, 0.396983, 0.203002, 0.237041, 0.241302, 0.234664, 0.308758, 0.224801, 0.266997, 0.22135, 0.411213, 0.270324, 0.221447, 0.253123, 0.265245, 0.277476, 0.355215, 0.238713, 0.417774, 0.281376, 0.258, 0.180753, 0.00915531, 0.020622, 0.0154641, 0.0306015, 0.0262417, 0.0158887, 0.0192866, 0.0217094, 0.0244266, 0.0167269, 0.0172022, 0.0156009, 0.0160414, 0.0266457, 0.0364239, 0.025241, 0.0154886, 0.0193221, 0.015844, 0.0180011, 0.0229325, 0.0216819, 0.0182051, 0.0168805, 0.0380735, 0.0222366, 0.0186824, 0.0488343, 0.0154468, 0.0165247, 0.0561316, 0.019392, 0.0232915, 0.016106, 0.0329226, 0.0712227, 0.019519, 0.0201599, 0.0159137, 0.0207842, 0.0791611, 0.0197936, 0.0154722, 0.0170106, 0.0246963, 0.0197384, 0.0413302, 0.0187294, 0.0200302, 0.0244878, 0.015678, 0.0224902, 0.015656, 0.0196744, 0.0174077, 0.0333458, 0.0464456, 0.0185443, 0.0351959, 0.0174426, 0.0218278, 0.0591626, 0.0455975, 0.0163749, 0.0152792, 0.0226982, 0.0164671, 0.0156804, 0.0162607, 0.0230738, 0.032922, 0.0291199, 0.0180347, 0.0154575, 0.0240736, 0.0303927, 0.0433185, 0.035665, 0.0158688, 0.0152639, 0.0176476, 1.53457, 0.19706, 0.196274, 0.196722, 0.19673, 0.19714, 0.196601, 0.195946, 0.196384, 0.19669, 0.197515, 0.196589, 0.196133, 0.19652, 0.196583, 0.196475, 0.197547, 0.196276, 0.196225, 0.19648, 0.196675, 0.195911, 0.196082, 0.196809, 0.196723, 0.19672, 0.197216, 0.196622, 0.196589, 0.196204, 0.196439, 0.197, 0.196144, 7.27129e-05
7065.06,0.984582,0.00545662,10,1023,0,-6979.39,-0.143126,-0.29864,0.172241,-0.717249,-0.275152,-1.58987,-0.90373,-0.613643,0.100071,1.33378,0.311345,0.308574,-0.27437,-0.20619,0.356984,0.729771,0.114047,0.664463,0.0328763,1.51045,2.38708,-0.912425,-0.331411,-0.0808551,-1.73949,0.761127,-1.42489,0.227765,-0.0982289,0.33687,0.499174,0.672384,-0.717837,0.499898,0.203065,0.336998,0.687583,0.595581,0.0309842,-1.28457,0.919566,-0.247462,0.519913,-0.873247,0.867127,0.207149,-0.498811,0.024012,-0.298954,0.991337,1.37604,0.852339,-0.0756379,-0.719796,-0.175969,-0.644859,0.753965,-0.893035,0.384003,-0.466543,-1.61197,-0.872433,-0.644582,1.75928,-0.132842,-0.517062,-2.19746,-0.735605,-1.00574,-0.304009,-1.39784,2.2752,0.51606,0.610325,0.0955876,0.62814,-2.68084,0.523903,-0.110995,0.270624,0.858279,0.574922,1.54313,0.51364,0.503824,-1.07958,-0.0759756,0.732026,-0.135122,-0.671427,0.390906,1.25364,1.74048,-0.602927,1.26468,-0.540971,0.684882,1.99915,1.64517,-0.241856,0.0202425,-0.957825,0.133965,0.049909,-0.213947,-0.939685,1.22449,-1.28594,-0.576856,-0.109906,-0.981664,1.15467,1.54801,1.28149,0.036587,-0.0687339,-0.568429,0.665319,-1.47287,-1.47813,-1.03699,-0.210546,-0.663456,0.462848,-0.0013613,-0.566819,-0.544753,-0.44572,-1.21191,-1.48394,1.18014,-0.576055,-0.410255,0.197493,-0.266848,0.693343,-0.611322,-0.99542,0.0495235,-1.73986,-0.184887,-0.848046,-0.5748,0.214008,0.0905399,0.525461,-0.907329,1.20582,-0.824352,0.0685474,0.198502,-0.42218,-0.346032,-0.57248,-0.454299,-0.404334,-0.281403,-0.0689079,-0.245013,-0.245491,-0.345898,-0.334154,-0.237153,-0.172943,-0.278996,-0.184192,-0.292977,-0.0384787,0.112512,-0.455797,-0.355722,-0.312566,-0.598251,-0.167543,-0.544064,-0.259409,-0.315559,-0.240617,-0.212662,-0.182828,-0.422281,-0.212537,-0.263664,0.746509,0.358302,-0.546251,0.969275,0.166847,0.694481,-0.263432,0.933219,0.47943,-0.005976,0.353508,0.131442,1.01862,1.28314,0.923052,0.28499,-0.157922,0.216004,-0.106396,0.855411,-0.277038,0.601032,0.0162104,-0.771365,-0.262873,-0.106206,1.54665,0.245658,-0.0185251,-1.17394,-0.168792,-0.354531,0.127966,-0.624135,1.90138,0.691832,0.756647,0.402722,0.768896,-1.5063,0.697224,0.260679,0.523074,0.927136,0.732304,1.39803,0.690168,0.683418,-0.405302,0.284758,0.840327,0.24409,-0.124664,0.605778,1.19898,1.53372,-0.0775645,1.20657,-0.0349644,0.807911,1.71158,1.46819,0.170702,0.350916,-0.321586,0.42911,0.371314,0.189891,-0.309114,1.17894,-0.547192,-0.0596385,0.261428,-0.337978,1.13093,1.40138,1.21813,0.362154,0.289737,-0.0538445
7078.94,0.995006,0.00545662,10,1023,0,-7000.01,-0.631301,0.38623,0.707007,-0.771044,-0.874313,-1.22875,1.06332,-0.0523511,1.31266,0.817202,-0.405211,-0.177004,-0.532117,-1.1161,-0.241122,1.23128,-0.469468,0.347413,1.1847,-0.0812905,1.25353,-0.180325,-0.578375,0.946054,-0.0251456,0.675817,-0.559546,-0.588019,-0.228646,1.0371,0.629585,-1.24547,1.6459,-1.07937,-0.53814,0.0348023,0.774492,0.507724,0.018994,-1.14999,0.811404,-0.21425,0.453258,-0.818412,0.762934,0.199548,-0.487423,0.0146556,-0.294768,0.87241,1.21781,0.746377,-0.0773608,-0.699023,-0.146139,-0.551436,0.694487,-0.840604,0.320298,-0.449574,-1.4196,-0.730483,-0.570579,1.5634,-0.104625,-0.43365,-1.9039,-0.625352,-0.884561,-0.268537,-1.26478,2.01516,0.527384,0.522417,0.0691115,0.565576,-2.40458,0.478876,-0.117775,0.277697,0.742341,0.502386,1.37813,0.43541,0.498088,-0.933964,-0.0931288,0.678535,-0.136852,-0.653972,0.302942,1.10836,1.51567,-0.563291,1.12763,-0.481416,0.57712,1.75413,1.42134,-0.244077,0.0164361,-0.819419,0.124739,0.0517987,-0.206938,-0.846248,1.09287,-1.09082,-0.516432,-0.0999575,-0.860529,1.02924,1.43805,1.21225,0.0133123,-0.070563,-0.512316,0.449406,-1.15597,-1.16959,-0.757414,0.0536457,-0.339198,0.767769,0.297403,-0.270594,-0.296854,-0.172932,-0.884717,-1.20253,1.45698,-0.228558,-0.081528,0.516875,0.0387048,1.0201,-0.293291,-0.687773,0.337137,-1.42869,0.0733525,-0.539547,-0.27852,0.511865,0.399569,0.850932,-0.560351,1.47805,-0.540792,0.379884,0.197543,-0.158903,-0.231915,-0.482503,1.138,0.349217,1.31429,0.963997,0.0997429,0.261087,0.0100197,-0.402863,0.215755,1.25676,0.0543129,0.631853,1.22382,0.328757,1.27249,0.258739,-0.0226851,1.0551,0.368452,0.864037,-0.00937256,-0.0295031,0.224576,1.11947,0.831351,-0.494325,1.54989,-0.376894,0.00576123,0.428031,0.049513,-0.855855,0.663228,-0.131132,0.385847,-0.599052,0.625689,0.18935,-0.342703,0.046153,-0.193493,0.710477,0.977987,0.612866,-0.025113,-0.506585,-0.0783811,-0.39228,0.572677,-0.616239,0.282871,-0.313389,-1.06467,-0.530951,-0.407107,1.24565,-0.0462288,-0.301056,-1.43976,-0.449528,-0.650284,-0.173177,-0.944759,1.59553,0.443257,0.439411,0.0883286,0.472837,-1.82753,0.405688,-0.0564132,0.249877,0.60974,0.423897,1.10216,0.372024,0.420567,-0.688546,-0.0373252,0.560322,-0.0711886,-0.471694,0.269429,0.893215,1.20868,-0.401462,0.908146,-0.338051,0.481777,1.39336,1.13562,-0.154233,0.047532,-0.599832,0.131411,0.0749201,-0.125469,-0.620611,0.881219,-0.810026,-0.365171,-0.042614,-0.631671,0.831945,1.14856,0.97368,0.0451126,-0.0198482,-0.361982
7076.3,0.975554,0.00545662,10,1023,0,-7013.91,0.0525837,-0.369269,0.514186,-1.50308,-0.670177,0.27227,0.105205,-0.697247,2.78586,0.640812,0.690239,0.829185,-0.151034,-0.669391,-1.05869,2.00253,0.134041,0.428117,1.70281,-0.0469152,1.64813,0.171129,-0.192192,1.02849,-0.867433,-0.383678,-1.00625,-0.909271,0.939765,0.697963,1.89767,-0.874492,2.35851,-1.09852,0.935193,0.154197,0.719335,0.480241,-0.10005,-1.28783,0.858053,-0.328249,0.440315,-0.898762,0.766914,0.127361,-0.570367,-0.0537566,-0.390323,0.857174,1.22796,0.815031,-0.144012,-0.775411,-0.22756,-0.659531,0.653268,-0.898606,0.282791,-0.532396,-1.61313,-1.01218,-0.661711,1.60624,-0.210509,-0.51016,-2.1122,-0.746953,-0.987084,-0.386612,-1.43448,2.09462,0.496279,0.497428,0.0594675,0.52104,-2.56914,0.452166,-0.166693,0.220793,0.803682,0.517035,1.40396,0.445189,0.453425,-1.05261,-0.142068,0.648115,-0.2184,-0.770341,0.304687,1.17769,1.54134,-0.684934,1.16457,-0.598972,0.607337,1.85286,1.46216,-0.345991,-0.0839417,-1.04427,0.0334083,-0.000653628,-0.300139,-1.02412,1.12866,-1.23919,-0.61917,-0.12681,-1.0426,1.01593,1.42766,1.15279,0.0260716,-0.142325,-0.598967,0.337656,-1.23204,-1.2421,-0.804147,-0.00965366,-0.437286,0.665624,0.226478,-0.339068,-0.296775,-0.210722,-0.948102,-1.25115,1.40585,-0.357972,-0.160367,0.431003,-0.0547103,0.91313,-0.390788,-0.773745,0.279953,-1.52031,0.0617013,-0.608278,-0.369832,0.434237,0.313805,0.771899,-0.679974,1.42559,-0.613249,0.296467,0.197995,-1.14213,-0.713864,-0.229272,-0.315174,-0.727783,1.06318,-0.0397722,-0.0143578,0.0570865,-0.446928,-0.71346,-0.913631,0.660402,-0.300347,-0.149137,0.506291,-0.393392,0.478176,-0.281277,-0.468091,0.159569,-0.81529,-0.56655,-0.886669,-0.836803,0.113945,-0.0103862,0.606485,-0.81892,0.843441,-0.934109,0.111594,0.499651,0.0822272,-0.772186,0.771424,-0.0819238,0.470931,-0.492314,0.705866,0.245812,-0.256088,0.115528,-0.126576,0.770792,1.03751,0.740477,0.0506043,-0.403583,-0.00949493,-0.320227,0.624115,-0.492202,0.357619,-0.228774,-1.00619,-0.5739,-0.321795,1.30962,0.00277014,-0.212779,-1.36519,-0.383113,-0.555848,-0.123907,-0.877675,1.66093,0.511188,0.512014,0.196974,0.529,-1.69387,0.479456,0.0342886,0.313021,0.732314,0.526118,1.16411,0.474437,0.480362,-0.602983,0.0520025,0.620409,-0.00290614,-0.399937,0.373369,1.00135,1.26294,-0.3385,0.991916,-0.276665,0.591076,1.48702,1.20598,-0.0946863,0.0938148,-0.59698,0.178229,0.153727,-0.0617037,-0.582491,0.96608,-0.737198,-0.291194,0.0629781,-0.595779,0.884994,1.18116,0.983441,0.172951,0.0518178,-0.276661
7068.88,0.958522,0.00545662,10,1023,0,-6996.65,-0.290533,0.308424,0.572443,-0.629691,-1.31831,0.343885,0.233916,-0.90583,-0.217396,0.284394,-0.159603,-0.786324,-1.16995,-1.25232,-1.2337,1.36108,0.14176,0.390946,0.487959,0.907803,0.892241,0.886791,-0.235861,1.25624,-1.65402,-0.565717,-1.67797,0.0391532,1.10938,0.553739,0.501145,-0.654637,1.24216,-0.9958,1.87029,-0.00108944,0.668443,0.444148,-0.207732,-1.46435,0.821872,-0.336709,0.416132,-1.01444,0.735162,0.0523194,-0.73546,-0.0783218,-0.418962,0.839941,1.23783,0.76304,-0.260922,-0.906675,-0.336659,-0.76354,0.674913,-1.05903,0.315333,-0.674842,-1.8268,-1.11922,-0.918792,1.62487,-0.256856,-0.564894,-2.37639,-0.926164,-1.14881,-0.502762,-1.64994,2.23479,0.41048,0.474373,-0.048557,0.480508,-2.84953,0.425185,-0.269969,0.176982,0.720946,0.465787,1.43508,0.336007,0.523339,-1.15665,-0.112531,0.65409,-0.269269,-0.878014,0.232545,1.1597,1.61014,-0.739863,1.20527,-0.678918,0.514552,1.91785,1.49294,-0.448458,-0.090323,-1.1358,0.00422981,-0.0712857,-0.378825,-1.09928,1.17499,-1.4475,-0.75777,-0.183682,-1.15044,1.07577,1.53668,1.20667,-0.00537419,-0.266548,-0.796966,0.453377,-1.03215,-1.05048,-0.632815,0.191824,-0.223148,0.898645,0.421554,-0.140594,-0.168292,-0.0375536,-0.767391,-1.07594,1.57521,-0.109185,0.0154469,0.630218,0.149502,1.14466,-0.169972,-0.553821,0.489799,-1.3114,0.213842,-0.408015,-0.168321,0.633194,0.520333,0.983278,-0.428272,1.58888,-0.410866,0.514148,0.199338,-0.0520384,-0.446234,0.505278,0.442327,-0.210112,0.183977,0.471223,0.21706,-0.141702,-0.361306,-0.408456,-0.397799,1.08756,0.389573,0.532217,0.587752,0.828089,0.819181,0.816061,0.173406,1.02755,-0.638407,-0.0154169,-0.652116,0.330837,0.943483,0.625407,0.5953,-0.0663186,1.01949,-0.261615,1.37905,0.295799,-0.139946,-0.979926,0.548285,-0.22616,0.277071,-0.679187,0.490325,0.0338832,-0.492703,-0.0534431,-0.281142,0.560363,0.82633,0.508959,-0.175501,-0.60715,-0.226127,-0.511473,0.450052,-0.708993,0.209693,-0.452183,-1.2222,-0.749221,-0.61525,1.08504,-0.172783,-0.378689,-1.58957,-0.620177,-0.769003,-0.337157,-1.10398,1.49274,0.273294,0.316002,-0.0335471,0.320103,-1.90584,0.283123,-0.181548,0.117213,0.480822,0.310263,0.958181,0.223512,0.348733,-0.774248,-0.0763099,0.436133,-0.18108,-0.587992,0.154354,0.774106,1.0752,-0.495646,0.804568,-0.454908,0.34286,1.28089,0.996858,-0.300858,-0.0614652,-0.760306,0.00173795,-0.0487399,-0.254312,-0.735894,0.784323,-0.968662,-0.507616,-0.12387,-0.770091,0.718,1.02609,0.805499,-0.00468178,-0.179261,-0.533816
7045.07,0.931341,0.00545662,10,1023,0,-6964.47,0.073433,-0.349326,0.553881,-1.23581,-1.51485,-0.537555,0.729538,-0.241385,1.49234,0.659829,0.204575,0.268152,-0.111577,-0.988052,-2.46253,2.47638,0.683445,-0.153156,1.33994,-1.18365,1.05945,-1.47029,-2.24475,2.72926,-0.975678,0.565252,0.35914,-1.46809,1.32229,1.05068,0.70574,-0.789148,1.54313,-0.326567,1.92133,0.22179,0.817393,0.41742,-0.0617618,-1.15921,0.772337,-0.256882,0.393044,-0.829221,0.659794,0.181113,-0.465479,0.0169746,-0.302281,0.786224,1.05607,0.675181,-0.205944,-0.658856,-0.202426,-0.594939,0.547005,-0.854608,0.295951,-0.486793,-1.37262,-0.76976,-0.650147,1.35412,-0.128067,-0.472468,-1.82964,-0.685066,-0.872859,-0.323484,-1.22836,1.85729,0.43033,0.543378,0.060981,0.445667,-2.2866,0.403451,-0.112256,0.205745,0.704128,0.444714,1.20339,0.358627,0.4146,-0.969051,-0.129535,0.564483,-0.148349,-0.683292,0.268307,0.960465,1.32737,-0.592798,1.05951,-0.564402,0.549191,1.61941,1.29445,-0.25688,-0.0819799,-0.83172,0.0854935,-0.0179846,-0.237173,-0.903844,0.944099,-1.16207,-0.483768,-0.267758,-0.904932,0.844255,1.35996,1.0905,-0.0530024,-0.136588,-0.582582,0.508933,-1.30204,-1.31453,-0.914624,-0.0861332,-0.486479,0.617798,0.152657,-0.402302,-0.403592,-0.331185,-1.04289,-1.3313,1.33723,-0.370048,-0.234377,0.384192,-0.0893044,0.907839,-0.432077,-0.82103,0.234295,-1.55857,-0.0675011,-0.679439,-0.436776,0.382168,0.251974,0.715769,-0.714046,1.3409,-0.663518,0.241657,0.201442,-1.03381,-1.18837,-0.647067,0.0547514,-0.483024,0.477254,0.0161409,-0.236016,-0.200802,-0.411126,-0.896589,-1.71327,1.02229,0.0292213,-0.434156,0.392843,-1.00493,0.237484,-1.16369,-1.59265,1.16236,-0.889735,-0.0362433,-0.150405,-1.16247,0.383063,0.232626,0.0415703,-0.786419,0.505383,-0.530205,0.71486,0.562986,0.171306,-0.725741,0.853093,0.0118168,0.543061,-0.456009,0.761101,0.36983,-0.158689,0.235665,-0.0252925,0.864444,1.08501,0.773678,0.0534528,-0.316754,0.0563287,-0.264509,0.668908,-0.476761,0.463699,-0.176111,-0.900179,-0.407406,-0.309635,1.32864,0.117109,-0.164402,-1.27375,-0.338178,-0.491678,-0.0426234,-0.782261,1.73993,0.573539,0.665943,0.271636,0.586075,-1.64726,0.551568,0.130033,0.389964,0.797339,0.585296,1.20543,0.514929,0.560681,-0.570305,0.115909,0.683195,0.10053,-0.336728,0.441102,1.00687,1.30678,-0.262759,1.08783,-0.239548,0.670695,1.54548,1.27986,0.0118186,0.15478,-0.458052,0.291672,0.20709,0.0279268,-0.517006,0.99349,-0.72808,-0.173638,0.00292668,-0.517895,0.911878,1.33341,1.11316,0.178466,0.110144,-0.254408
7087.24,0.999602,0.00545662,10,1023,0,-6991.21,-0.409817,0.191087,0.662354,-2.09047,-1.44364,0.21013,-0.476084,0.515462,1.26483,0.280531,0.393343,-0.249603,0.284981,-0.590039,-2.62644,2.45655,-0.312777,0.0921282,0.0359163,-0.489685,1.56053,-1.19175,-1.3548,-0.250264,-1.09701,-0.604012,-0.209084,-0.282811,1.3486,0.441282,1.04567,-0.885177,1.38496,-0.56302,0.621939,0.259202,0.73673,0.510532,-0.109526,-1.31285,0.767613,-0.280761,0.417903,-0.900565,0.6922,0.0734748,-0.606209,-0.03471,-0.353473,0.825596,1.19684,0.70788,-0.173724,-0.804711,-0.285223,-0.653297,0.609058,-0.890356,0.328528,-0.536542,-1.5455,-0.899482,-0.702946,1.5668,-0.172643,-0.490222,-2.10526,-0.75374,-1.02709,-0.41801,-1.42035,2.09854,0.438524,0.43844,0.055575,0.459311,-2.59191,0.443445,-0.129939,0.207029,0.757725,0.511097,1.34147,0.406497,0.470942,-1.09015,-0.102705,0.613487,-0.231569,-0.735903,0.230434,1.12837,1.55483,-0.638637,1.16982,-0.581413,0.614443,1.82987,1.4249,-0.32126,-0.104635,-0.976813,0.092575,-0.0736907,-0.311762,-1.02807,1.08734,-1.22877,-0.678616,-0.197076,-0.990634,1.01554,1.41532,1.18737,0.043217,-0.217621,-0.597737,0.331264,-1.3252,-1.33587,-0.91451,-0.11612,-0.531714,0.584475,0.131698,-0.435107,-0.425275,-0.293723,-1.04096,-1.372,1.31279,-0.424727,-0.272431,0.336023,-0.15757,0.832899,-0.485271,-0.873239,0.191804,-1.61614,-0.0698789,-0.721748,-0.477681,0.34304,0.214344,0.697122,-0.750702,1.29823,-0.738752,0.209875,0.199782,-1.19355,-0.765116,0.330267,-0.12425,0.532505,1.02885,0.376898,0.451619,0.0257609,0.379845,-0.199728,-1.54855,1.81819,-0.0160824,0.252108,0.214876,-0.133258,1.22471,-0.598277,-0.706269,0.0253232,-0.535522,-0.208984,0.0525991,0.00376534,1.08433,0.483371,0.883691,-0.395214,1.10842,-0.181832,0.60303,0.635326,0.178511,-0.708014,0.824725,0.0523565,0.567084,-0.404272,0.769166,0.313333,-0.187411,0.23363,-0.00121254,0.867443,1.14095,0.780718,0.131214,-0.333653,0.0490693,-0.222102,0.707913,-0.39675,0.501238,-0.136085,-0.879415,-0.403474,-0.258679,1.41351,0.13201,-0.101959,-1.29181,-0.296101,-0.497483,-0.048759,-0.787213,1.80526,0.582275,0.582214,0.300145,0.59759,-1.65034,0.585901,0.163471,0.411726,0.81744,0.635742,1.2475,0.55868,0.606159,-0.543943,0.183536,0.711176,0.0885979,-0.28296,0.428969,1.09051,1.40469,-0.211301,1.12105,-0.169143,0.71188,1.60732,1.30897,0.0225197,0.182114,-0.460445,0.327404,0.204912,0.0295172,-0.498205,1.06028,-0.646068,-0.240755,0.11401,-0.470628,1.00738,1.30191,1.13397,0.291041,0.098874,-0.181169
