# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim2_model
# start_datetime = 2022-03-05 08:19:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c6086655c.json
# init = 2 (Default)
# random
#   seed = 1801615243
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00466018
# Diagonal elements of inverse mass matrix:
# 0.176491, 0.107923, 0.099489, 0.105034, 0.0201801, 0.0104124, 0.173304, 0.67579, 0.679747, 0.56571, 0.513789, 0.497024, 0.452518, 0.775922, 0.653168, 0.500163, 0.448633, 0.498644, 0.584808, 0.608429, 0.924911, 0.524725, 0.457924, 0.50288, 0.460583, 0.67659, 0.556533, 0.570299, 0.446211, 0.684756, 0.534297, 0.570583, 0.534335, 0.565352, 0.587706, 0.583812, 0.537892, 0.77001, 0.499751, 0.435396, 0.168661, 0.00530174, 0.0157722, 0.0127581, 0.0208702, 0.0208326, 0.0130673, 0.0151393, 0.0161584, 0.0175517, 0.0135156, 0.0142664, 0.0132318, 0.0132252, 0.0203565, 0.0279799, 0.0187525, 0.0131718, 0.015571, 0.0135868, 0.0140292, 0.0173379, 0.0160178, 0.0151845, 0.0137131, 0.0235814, 0.0168437, 0.0153901, 0.0351775, 0.0134606, 0.0141867, 0.0320763, 0.0148462, 0.0169922, 0.0139145, 0.0203592, 0.0552777, 0.0154757, 0.0164562, 0.0134711, 0.0168695, 0.0380889, 0.0157185, 0.0136045, 0.0144097, 0.0193297, 0.0155571, 0.0299997, 0.0159365, 0.015867, 0.0175585, 0.0139056, 0.017942, 0.0132157, 0.0149147, 0.014638, 0.0246119, 0.0323401, 0.0145133, 0.0253102, 0.0141922, 0.01708, 0.0426768, 0.0322235, 0.0132797, 0.0134209, 0.0168472, 0.0138235, 0.0132005, 0.01341, 0.0164905, 0.0245297, 0.01842, 0.0149741, 0.0133221, 0.0165982, 0.0232869, 0.0314198, 0.026, 0.0132974, 0.0137118, 0.0146955, 0.443256, 0.167727, 0.168327, 0.168011, 0.168968, 0.167282, 0.167729, 0.167981, 0.167766, 0.168697, 0.168065, 0.167874, 0.168724, 0.168379, 0.167738, 0.168368, 0.168032, 0.168759, 0.168653, 0.16767, 0.16872, 0.168169, 0.167941, 0.168418, 0.168154, 0.16765, 0.167952, 0.167984, 0.168213, 0.168416, 0.167752, 0.168459, 0.167875, 8.79248e-05
6966.95,0.971228,0.00466018,8,255,0,-6897.74,0.370458,0.400548,0.267697,-0.196407,-0.125581,0.132795,-0.635829,0.718024,-1.03309,-1.00229,-0.396355,0.545574,-0.0357164,1.66549,0.676732,0.121499,0.207475,0.556305,-0.652957,-1.17483,2.12535,-0.550893,-0.511424,0.272317,-0.309409,1.24914,-0.676522,-1.02386,-0.105936,-1.80349,-0.367572,-0.634924,-0.761036,0.288097,0.0990527,0.714778,-1.14822,1.96167,-0.750736,0.188626,-0.0192795,0.670767,0.198009,-0.250226,-1.40899,0.725414,-0.450032,0.169333,-1.08264,0.544383,-0.0917206,-0.699604,-0.171677,-0.49511,0.717275,1.05029,0.563649,-0.398419,-1.00554,-0.453073,-0.796441,0.441893,-1.00602,0.164744,-0.681285,-1.59928,-1.06544,-0.960739,1.53941,-0.396158,-0.643099,-2.09959,-0.845835,-1.05,-0.566017,-1.38989,2.21143,0.301089,0.341628,-0.125893,0.341767,-2.27516,0.250618,-0.318224,-0.0106442,0.587356,0.297357,1.16705,0.213248,0.266269,-1.18457,-0.272684,0.478439,-0.36323,-0.89872,0.0701743,0.985401,1.40324,-0.782517,0.938033,-0.76291,0.412383,1.74288,1.35782,-0.512327,-0.237494,-1.11027,-0.109751,-0.283348,-0.515843,-1.10241,0.908438,-1.25863,-0.805463,-0.357184,-1.1262,0.934252,1.23302,1.07922,-0.171842,-0.401189,-0.805446,0.08411,0.0977992,-0.203995,0.285534,0.625354,0.270459,2.12905,0.669115,0.842267,0.809539,0.995741,-0.213206,-0.221849,1.7623,-0.273254,-0.109584,0.232713,-0.0810335,1.20722,-0.385627,-0.292602,0.262964,-1.12349,-0.585855,-1.11506,-0.901223,-0.423545,-0.0254189,0.380462,-1.0945,1.2117,-0.918651,-0.148247,0.203428,-1.37761,-1.3555,-0.920421,-0.244094,-0.661474,0.560032,-0.149919,-0.54859,-0.486857,-0.236389,-1.10467,-1.47939,0.89022,-1.03138,-1.00304,-0.440299,-0.857992,0.261085,-1.12159,-1.37099,-0.711894,-1.93078,-0.899755,-1.09172,-1.18227,-0.428968,-0.564707,-0.122601,-1.46028,0.772699,-1.17488,-0.500391,0.113538,-0.187123,-0.964383,0.467304,-0.321146,0.0943035,-0.745478,0.345875,-0.0808026,-0.488551,-0.134434,-0.351383,0.461845,0.68522,0.358797,-0.286526,-0.693761,-0.323186,-0.553506,0.277128,-0.694082,0.0912254,-0.476263,-1.09202,-0.733939,-0.663711,1.01331,-0.285009,-0.450649,-1.42762,-0.586638,-0.723583,-0.398945,-0.951572,1.46407,0.182681,0.209873,-0.103724,0.209967,-1.54538,0.148827,-0.232733,-0.0264193,0.374699,0.180178,0.763537,0.12376,0.159325,-0.813851,-0.202187,0.301642,-0.262922,-0.622111,0.0277911,0.641695,0.921967,-0.544166,0.609922,-0.531014,0.257334,1.14979,0.891498,-0.362931,-0.178583,-0.764011,-0.0928966,-0.20934,-0.36529,-0.758737,0.590071,-0.86353,-0.559558,-0.258867,-0.774699,0.607386,0.807791,0.704627,-0.134545,-0.288384,-0.559546
6955.16,0.999624,0.00466018,8,255,0,-6876.9,0.0998841,-0.424328,-0.153317,-0.510581,-0.244729,0.151289,0.0593157,0.617327,-0.854339,-0.798879,-0.20377,0.482435,0.320949,2.22333,1.46015,0.461281,0.643799,0.626972,-0.570751,-0.630807,2.24598,-1.23089,-0.394477,0.533735,-0.167083,1.10969,-0.765533,-1.17994,0.0801271,-1.74599,-0.696021,-0.941072,-0.890143,-0.164608,-0.180876,0.407325,-0.740006,1.74991,-1.13553,-0.342056,0.035884,0.658795,0.198508,-0.290887,-1.43043,0.773731,-0.444818,0.20815,-1.10132,0.567812,-0.0520045,-0.689436,-0.183912,-0.530444,0.711419,1.10716,0.586142,-0.389082,-1.00059,-0.404415,-0.822326,0.460868,-1.05634,0.224263,-0.706265,-1.59828,-1.05855,-0.937067,1.52301,-0.431655,-0.679855,-2.0933,-0.875349,-1.08589,-0.582547,-1.44361,2.1896,0.321377,0.335944,-0.168677,0.354497,-2.40454,0.271356,-0.299326,0.0126433,0.613211,0.284951,1.24892,0.208832,0.302495,-1.24694,-0.281863,0.461837,-0.394772,-0.896104,0.0984725,1.03343,1.46298,-0.797974,1.05161,-0.807589,0.462197,1.80354,1.47922,-0.501519,-0.21316,-1.16588,-0.0544214,-0.245128,-0.473224,-1.15576,0.956094,-1.3203,-0.847998,-0.420951,-1.09477,0.94217,1.38502,1.04043,-0.155386,-0.409995,-0.81785,0.155253,0.0393642,-0.275878,0.246731,0.578764,0.196966,2.06472,0.610887,0.76333,0.789465,0.897659,-0.253906,-0.278806,1.64618,-0.330073,-0.166396,0.205651,-0.0762765,1.14738,-0.438796,-0.349557,0.217201,-1.19931,-0.654289,-1.18163,-0.980497,-0.506158,-0.0724246,0.337518,-1.08645,1.13133,-0.976118,-0.219572,0.201998,-0.468091,-0.433854,-0.066477,0.357136,0.257447,1.43184,0.960708,0.344077,0.45675,0.446363,-0.293024,-0.330099,1.44582,-0.700547,-0.184206,0.388805,-0.0438289,0.744358,-0.413269,-0.669094,0.10878,-1.01853,-0.370357,-0.521634,-0.490194,-0.0423013,-0.0523438,0.310768,-0.39751,1.13958,-0.641677,-0.151845,0.16666,-0.155751,-0.906476,0.545614,-0.25716,0.173012,-0.689661,0.409956,0.00162367,-0.418313,-0.0852761,-0.31357,0.504563,0.765278,0.422032,-0.220441,-0.623301,-0.230543,-0.505861,0.339502,-0.66003,0.183628,-0.4294,-1.01705,-0.661485,-0.581451,1.03924,-0.248488,-0.412001,-1.34317,-0.540792,-0.679496,-0.347895,-0.915156,1.47838,0.247606,0.257202,-0.0752395,0.269425,-1.54821,0.214652,-0.161311,0.0442133,0.439864,0.223608,0.858669,0.173462,0.235166,-0.785593,-0.149806,0.34014,-0.22419,-0.554465,0.100757,0.716701,0.999691,-0.489817,0.728678,-0.496152,0.340377,1.22405,1.01039,-0.294514,-0.104544,-0.732193,3.14578e-05,-0.125605,-0.275874,-0.725522,0.665754,-0.833925,-0.522773,-0.241436,-0.685346,0.656581,0.948327,0.721311,-0.0664838,-0.234219,-0.502912
6929.7,0.952673,0.00466018,8,255,0,-6852.5,0.247897,-0.102629,-0.0892321,-0.529071,-0.0463443,0.129912,-0.144331,0.645537,-0.00565422,-0.981027,-0.127351,0.735761,0.405707,2.11585,1.14167,0.790587,0.51372,1.477,-0.196931,-0.744182,2.58788,-0.561175,-0.430652,0.252838,-0.17334,1.53704,-0.602439,-1.29946,0.270269,-1.97543,-0.452207,-0.674994,-0.565019,0.222955,-0.168764,0.149999,-1.65645,1.79168,-0.373469,0.0729139,-0.0704173,0.660354,0.31681,-0.369403,-1.44486,0.699616,-0.440237,0.232904,-1.09686,0.577869,-0.00932174,-0.648275,-0.190632,-0.484489,0.728774,1.04704,0.58859,-0.334487,-0.970724,-0.462135,-0.823223,0.505446,-0.979356,0.10828,-0.665033,-1.66468,-1.0821,-0.945331,1.53097,-0.289357,-0.66292,-2.01701,-0.914762,-1.14451,-0.585927,-1.40817,2.21984,0.310407,0.342903,-0.164136,0.34539,-2.36404,0.233062,-0.405186,0.0547683,0.657222,0.282947,1.26294,0.248517,0.329742,-1.12002,-0.249968,0.489158,-0.402276,-0.86673,0.146109,1.01716,1.48904,-0.787808,1.09272,-0.719288,0.482629,1.79333,1.44628,-0.520741,-0.290261,-1.12518,-0.131223,-0.180517,-0.421763,-1.06676,0.931823,-1.37936,-0.701447,-0.458097,-1.10664,0.91627,1.36508,1.06204,-0.174137,-0.285121,-0.824777,0.185118,0.149418,-0.142126,0.325999,0.670886,0.298206,2.14978,0.725531,0.89432,0.865641,1.05417,-0.179926,-0.153199,1.79914,-0.249905,-0.0704646,0.273312,-0.0122136,1.23641,-0.362726,-0.23026,0.311272,-1.08177,-0.562007,-1.03704,-0.86198,-0.381026,-0.00473736,0.443385,-1.06324,1.24976,-0.869633,-0.120242,0.203968,-0.147981,-0.777621,-0.226541,0.33063,0.117568,1.22153,0.592658,0.366022,0.187294,0.809126,-0.271458,-0.624728,1.52624,-0.50659,-0.422333,0.0188853,-0.256228,0.847886,-0.533228,-0.983179,0.0301379,-1.41954,-0.436248,-0.580065,-0.509071,-0.000405183,-0.253275,-0.0475013,-1.21363,1.01227,-0.385419,-0.0972624,0.138789,-0.314354,-1.02453,0.391577,-0.36113,0.0833817,-0.794735,0.311181,-0.076573,-0.498508,-0.196302,-0.390351,0.410832,0.620997,0.31826,-0.291297,-0.711438,-0.37559,-0.614035,0.263355,-0.717139,0.00108603,-0.509574,-1.16969,-0.784988,-0.69467,0.940562,-0.261495,-0.508179,-1.40236,-0.674484,-0.826198,-0.457337,-1.00031,1.39546,0.134561,0.15602,-0.178805,0.157662,-1.63152,0.0834862,-0.337983,-0.0342509,0.363581,0.116428,0.763568,0.0936915,0.147329,-0.81003,-0.235485,0.2526,-0.336062,-0.642766,0.0260664,0.601266,0.912874,-0.590649,0.651162,-0.545401,0.248289,1.11382,0.884638,-0.41429,-0.262092,-0.813437,-0.157071,-0.189622,-0.34893,-0.774854,0.544916,-0.981285,-0.53362,-0.372923,-0.80119,0.534645,0.831016,0.630906,-0.185409,-0.258698,-0.615062
6926.54,0.994691,0.00466018,10,1023,0,-6846.69,-0.114614,-0.227548,-0.0747187,-0.3507,-0.525768,0.272969,0.229703,0.638239,-1.66753,-1.47281,-0.358591,-0.380569,0.565772,0.523688,1.71091,-0.0424619,-0.251287,0.29108,-0.14797,-0.698519,1.04484,-0.743375,0.141629,1.17939,-0.239636,0.861369,0.123414,-1.69229,0.632589,-1.20795,-0.602231,0.399318,-0.435151,0.368303,0.466467,-0.427002,-0.188586,1.80062,0.0814923,-0.283154,-0.27129,0.593808,0.319561,-0.347879,-1.60199,0.809906,-0.515121,0.261642,-1.1793,0.609408,-0.0220965,-0.735052,-0.215652,-0.570626,0.800835,1.2806,0.674421,-0.393916,-1.0666,-0.465443,-0.915927,0.542877,-1.08576,0.102659,-0.752242,-1.7872,-1.15685,-1.03883,1.69428,-0.348005,-0.75667,-2.29099,-1.00589,-1.20558,-0.643962,-1.52346,2.46369,0.323436,0.363173,-0.142526,0.361782,-2.64483,0.247624,-0.389041,0.0172154,0.66276,0.29446,1.43833,0.242079,0.337106,-1.25095,-0.315351,0.486988,-0.434822,-0.938528,0.146303,1.06298,1.62924,-0.865065,1.08834,-0.788992,0.471029,2.01002,1.60098,-0.598379,-0.294509,-1.22036,-0.137456,-0.244051,-0.43583,-1.1908,1.10465,-1.44974,-0.777618,-0.492792,-1.21256,0.972292,1.4896,1.16354,-0.189199,-0.341764,-0.918883,0.277044,0.342278,0.0280337,0.544234,0.871317,0.524083,2.35203,0.934008,1.10352,1.06244,1.25137,0.0532424,0.054283,1.9673,-0.0590497,0.144808,0.486323,0.209911,1.45973,-0.154695,-0.0179232,0.505864,-0.904724,-0.349039,-0.834222,-0.661745,-0.168021,0.195962,0.628113,-0.809634,1.45559,-0.680229,0.0687305,0.202823,-0.834582,-0.7103,0.000835774,-0.0131913,0.5908,0.563941,1.32167,0.202602,0.0693216,0.415481,0.135262,-0.216119,0.896559,-0.244748,0.320095,0.982432,0.0767578,0.779462,0.30847,-0.850379,0.633445,-0.541258,-0.154665,0.484563,-0.0480278,0.464768,0.52742,-0.0428264,0.10934,1.37893,0.281714,0.0489829,-0.0815322,-0.477864,-1.22257,0.209639,-0.577173,-0.115925,-0.97157,0.0905813,-0.284411,-0.70777,-0.399346,-0.610133,0.204252,0.489143,0.129187,-0.505201,-0.904644,-0.547674,-0.815175,0.0510744,-0.916023,-0.21033,-0.717978,-1.33254,-0.958235,-0.888153,0.734787,-0.477939,-0.720607,-1.6317,-0.868595,-0.987173,-0.65368,-1.17593,1.19167,-0.0792314,-0.0556352,-0.355924,-0.0564611,-1.84181,-0.124249,-0.502306,-0.261068,0.122262,-0.0964374,0.582802,-0.127542,-0.0711141,-1.01411,-0.458548,0.0178873,-0.529491,-0.828596,-0.184414,0.359919,0.696165,-0.784973,0.374975,-0.7398,0.00841033,0.922276,0.679387,-0.626613,-0.446172,-0.995948,-0.352913,-0.41621,-0.53009,-0.978396,0.384657,-1.13216,-0.733046,-0.563914,-0.991316,0.306065,0.613248,0.41963,-0.383638,-0.474232,-0.816931
6916.64,0.945362,0.00466018,10,1535,0,-6853.31,-0.123231,-0.0804505,0.0919686,-0.480171,-0.510808,0.0359784,0.0278606,0.636779,-1.7127,-1.22471,0.151679,-0.604498,-0.173607,1.10207,1.38921,-0.540635,0.0766439,0.315789,-0.733141,-0.440795,1.92178,-0.78829,-0.156329,0.701309,-0.986233,0.590002,-0.691309,-2.0279,0.492466,-1.62111,-0.918233,0.535107,-0.504052,-0.111304,1.29075,0.624473,0.0642479,1.66735,-0.0750663,-0.359488,0.26036,0.611547,0.395487,-0.213486,-1.44299,0.941499,-0.373513,0.396747,-1.01512,0.686653,0.0915477,-0.595659,-0.09081,-0.430801,0.919953,1.30181,0.78202,-0.258429,-0.931703,-0.316122,-0.786925,0.685258,-0.979645,0.347115,-0.598671,-1.63558,-0.995402,-0.82908,1.77976,-0.216061,-0.648321,-2.11955,-0.852016,-1.11432,-0.498078,-1.35446,2.51928,0.444712,0.480932,-0.0209627,0.43682,-2.45401,0.470598,-0.245867,0.141919,0.817192,0.414945,1.49306,0.341689,0.457971,-1.06322,-0.17365,0.708267,-0.295509,-0.873833,0.274701,1.20461,1.73007,-0.734345,1.29395,-0.648941,0.536128,2.04278,1.61554,-0.465397,-0.16058,-1.04667,-0.0283625,-0.101069,-0.31175,-1.05296,1.22989,-1.28277,-0.639782,-0.357096,-1.0102,1.08956,1.53709,1.30731,-0.0656542,-0.204938,-0.74193,0.278409,-0.262195,-0.573784,-0.0791638,0.301643,-0.0801022,1.76031,0.321035,0.499597,0.436372,0.626437,-0.546771,-0.598683,1.35603,-0.65424,-0.486373,-0.118283,-0.37632,0.832858,-0.752235,-0.629975,-0.115466,-1.48115,-0.944395,-1.46507,-1.25935,-0.786502,-0.408929,0.0155071,-1.41484,0.841866,-1.27658,-0.534861,0.201982,-1.06275,-0.752009,0.124446,-0.357071,-0.0826884,0.729637,0.912482,-0.316405,0.0766658,0.228948,-0.438988,-0.252828,1.25161,-0.474106,-0.0716865,0.474439,-0.600152,0.403562,-0.41235,-1.26346,0.341452,-1.00443,-0.556851,0.368605,-0.293109,-0.0430156,0.84978,0.425512,0.0687723,1.08959,-0.0199401,-0.201054,0.502218,0.129803,-0.622095,0.83613,0.0319392,0.502989,-0.360433,0.68028,0.316345,-0.103914,0.204825,-0.00309511,0.822954,1.05648,0.738601,0.102318,-0.30942,0.0670361,-0.220882,0.679427,-0.338739,0.472637,-0.105756,-0.739873,-0.348375,-0.246662,1.34877,0.128228,-0.136119,-1.03584,-0.260688,-0.421099,-0.0442382,-0.567956,1.80102,0.532322,0.554472,0.24754,0.527495,-1.24039,0.548152,0.11,0.347149,0.760111,0.514118,1.17343,0.469318,0.54043,-0.389852,0.154165,0.693498,0.0796418,-0.27403,0.428352,0.997034,1.31838,-0.188726,1.05167,-0.136498,0.588227,1.50962,1.24834,-0.0242525,0.162157,-0.379728,0.243015,0.198551,0.0697102,-0.383575,1.0125,-0.524113,-0.130897,0.0419786,-0.357426,0.926675,1.20036,1.05984,0.220209,0.135031,-0.193365
6924.53,0.998502,0.00466018,11,2303,0,-6849.22,0.633405,0.181039,-0.352052,-0.484831,0.0256788,0.193816,-0.647832,0.61424,-0.667917,-1.06175,-0.474993,0.354245,-0.297669,1.70924,1.18586,0.573317,0.452581,0.497668,-0.861852,-0.623908,2.82485,0.2878,-0.569692,0.94322,-0.0029688,1.45671,-0.569497,-0.863655,0.74387,-1.93771,-0.573528,-0.965478,-0.566465,-0.323611,0.0865214,-0.382136,-1.69566,1.67754,-1.21535,0.00369625,-0.203235,0.591501,0.474661,-0.197006,-1.39327,1.00436,-0.348981,0.454806,-0.989793,0.813033,0.0889548,-0.604989,-0.0471871,-0.489018,0.985931,1.45514,0.835974,-0.31838,-0.901142,-0.359127,-0.733805,0.633664,-0.997225,0.342995,-0.65479,-1.70529,-0.986772,-0.863365,1.83374,-0.27995,-0.622324,-2.10497,-0.886143,-1.08286,-0.542675,-1.40293,2.69731,0.475405,0.597159,0.0502301,0.477697,-2.46211,0.506362,-0.274187,0.156247,0.879962,0.577398,1.55105,0.373438,0.45256,-1.18401,-0.113544,0.731318,-0.193564,-0.794259,0.229481,1.29708,1.76436,-0.725013,1.35868,-0.671996,0.664148,2.12914,1.76675,-0.443897,-0.0800212,-1.10538,0.0731272,-0.135332,-0.325872,-1.11032,1.26087,-1.29505,-0.775139,-0.292235,-1.05141,1.08789,1.67383,1.39987,-0.0636751,-0.221519,-0.765024,0.192937,0.174089,-0.108739,0.385097,0.693953,0.315135,2.21647,0.761651,0.886378,0.949309,1.04263,-0.142503,-0.108557,1.81588,-0.192576,-0.0114398,0.343575,0.0525351,1.29178,-0.320332,-0.218231,0.385952,-1.06981,-0.526129,-1.00669,-0.820159,-0.364562,0.0617147,0.485592,-0.998717,1.2726,-0.827819,-0.0709057,0.20799,-1.05809,-1.3,-0.939591,-0.43024,-0.830671,0.40205,0.0805701,-0.295678,-0.369839,-0.342144,-1.17721,-1.03106,1.0873,-0.471053,-0.997759,-0.0684685,-0.649655,0.24694,-0.997639,-1.17832,-0.190917,-1.83805,-1.00012,-1.24087,-0.995777,-0.846606,-0.594687,-0.882555,-1.68937,0.38258,-1.39435,-0.645561,0.0775279,-0.319764,-1.02736,0.390844,-0.409657,0.0657833,-0.788698,0.277675,-0.150618,-0.561086,-0.231146,-0.492489,0.379945,0.65748,0.291245,-0.391557,-0.736261,-0.415659,-0.637281,0.171578,-0.793094,-0.000352586,-0.590543,-1.21192,-0.786911,-0.713916,0.881424,-0.368825,-0.57134,-1.44833,-0.727389,-0.843747,-0.524227,-1.03307,1.39223,0.0779679,0.149986,-0.173523,0.0793236,-1.65957,0.0962788,-0.365416,-0.110814,0.317264,0.138297,0.714211,0.017654,0.0644552,-0.903578,-0.270396,0.229341,-0.317728,-0.673039,-0.0674964,0.563991,0.840388,-0.632081,0.600425,-0.600721,0.18961,1.05615,0.841801,-0.4658,-0.250567,-0.857067,-0.15998,-0.283283,-0.395988,-0.85999,0.542573,-0.96926,-0.66173,-0.376092,-0.825143,0.440254,0.786836,0.624791,-0.240898,-0.334263,-0.655747
