# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim2_model
# start_datetime = 2022-02-28 16:30:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df46ac8730b.json
# init = 2 (Default)
# random
#   seed = 1920737066
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00470184
# Diagonal elements of inverse mass matrix:
# 0.156454, 0.112635, 0.101398, 0.113735, 0.0214116, 0.0102739, 0.176508, 0.496297, 0.50876, 0.407101, 0.471299, 0.570139, 0.554546, 0.658195, 0.586792, 0.443776, 0.457052, 0.603762, 0.486441, 0.559246, 0.387279, 0.451825, 0.4696, 0.444446, 0.43905, 0.446253, 0.417723, 0.395295, 0.329488, 0.36947, 0.476475, 0.710293, 0.49175, 0.57484, 0.642109, 0.583079, 0.418399, 0.46725, 0.399666, 0.487673, 0.164823, 0.00612097, 0.0116603, 0.012622, 0.0280502, 0.0143512, 0.0136534, 0.0109591, 0.0212858, 0.0120667, 0.0113341, 0.0166311, 0.0118815, 0.0140314, 0.0132919, 0.0182351, 0.0133558, 0.0127158, 0.0200101, 0.0135755, 0.0187141, 0.0121797, 0.0212398, 0.0113845, 0.0163783, 0.0349706, 0.0226186, 0.0175841, 0.0237936, 0.0130658, 0.0159908, 0.0503119, 0.0187317, 0.0232878, 0.0156409, 0.0290599, 0.0409497, 0.0116105, 0.0117782, 0.0125283, 0.011478, 0.0581818, 0.0116141, 0.0132372, 0.0114347, 0.0130907, 0.0116733, 0.0223352, 0.0115075, 0.0112367, 0.0246372, 0.0126649, 0.0123094, 0.0132507, 0.0179756, 0.0112898, 0.0168668, 0.0229265, 0.0167185, 0.017823, 0.0169342, 0.0120966, 0.0324751, 0.0250124, 0.0145382, 0.0122614, 0.0226079, 0.0116756, 0.0122362, 0.013759, 0.0233792, 0.016723, 0.0272067, 0.0172117, 0.0134054, 0.0225829, 0.015107, 0.0216682, 0.0179625, 0.012285, 0.0121464, 0.0173993, 0.437756, 0.158413, 0.15815, 0.158185, 0.158262, 0.157783, 0.158243, 0.158838, 0.158904, 0.158255, 0.158384, 0.157876, 0.157637, 0.158143, 0.158286, 0.157811, 0.15814, 0.158053, 0.158397, 0.158403, 0.158295, 0.158231, 0.158088, 0.15809, 0.158216, 0.158022, 0.158006, 0.158183, 0.158496, 0.158243, 0.159181, 0.157902, 0.157764, 7.35949e-05
7329.17,0.998132,0.00470184,10,1023,0,-7242.24,-0.380009,0.340025,-0.389852,-0.156799,-0.254417,-0.0102667,-0.301418,0.515819,1.35911,-1.13186,1.5597,-1.39329,-1.92222,0.659686,-1.56483,-0.308366,0.560863,0.84806,0.349086,0.243477,1.38772,0.82326,0.112797,-0.486057,0.77797,0.0864718,-1.61389,0.520075,0.982548,-0.287228,-0.483567,-0.231182,-0.454848,-1.55986,0.333472,1.11565,-1.33378,-0.861708,-0.351182,0.237681,0.742606,0.563498,0.45837,-0.0499472,-1.18683,1.00139,-0.12496,0.530898,-0.773017,0.735393,0.284724,-0.518331,0.0835188,-0.208738,1.03933,1.37548,0.895066,-0.0795459,-0.728791,-0.178031,-0.728476,0.838423,-0.760907,0.456154,-0.54374,-1.49011,-0.842147,-0.571072,1.78961,-0.175786,-0.4909,-2.01336,-0.654479,-0.951395,-0.356968,-1.20924,2.4805,0.530011,0.684064,0.0189148,0.597722,-2.25754,0.658367,-0.0827934,0.382464,0.942132,0.594252,1.60721,0.501041,0.642361,-0.988448,-0.0612405,0.736025,-0.13199,-0.59206,0.458402,1.41819,1.6983,-0.48797,1.30517,-0.483329,0.678339,2.19341,1.75421,-0.21466,-0.0130408,-0.92247,0.0725808,-0.022405,-0.133614,-0.989661,1.26102,-1.22725,-0.578213,-0.10396,-0.938344,1.22671,1.68954,1.26423,0.0216853,-0.00301207,-0.53218,0.440191,0.746267,-0.354423,0.142959,-1.45631,-0.699351,0.627475,-1.13648,-0.0857077,0.317141,0.191834,-0.770162,0.811268,-1.15918,-0.862431,-0.855002,-1.20621,-1.75757,-0.872357,-1.25585,-0.302388,-0.854692,-1.06039,-1.92134,-2.23515,-2.16439,-2.11441,-0.171211,-0.152155,-1.47392,-0.991708,-1.20278,-1.43744,0.190924,0.399639,-0.885253,0.503105,-1.0201,-1.29294,0.0388601,-1.10859,-0.46048,-0.0121145,0.136027,-0.121353,-0.175828,0.414395,0.123235,-0.243235,-0.552136,0.0998735,-0.256815,-1.1339,-0.0331537,0.205399,-0.449576,-0.550852,-0.420666,-0.536038,-1.10602,-0.129407,0.274056,-0.989407,-0.745904,-0.482565,-0.178818,1.0009,0.714461,0.0738316,1.30689,0.672191,1.04177,0.307012,1.157,0.903047,0.450528,0.789669,0.624982,1.32827,1.51769,1.24697,0.697782,0.331933,0.642286,0.332111,1.21506,0.313836,0.999648,0.436209,-0.0970684,0.268058,0.420808,1.75105,0.643551,0.465985,-0.391918,0.373808,0.206497,0.541455,0.0611997,2.14036,1.04127,1.12807,0.753264,1.07942,-0.529513,1.11359,0.695952,0.958124,1.2735,1.07747,1.64827,1.02494,1.10458,0.185617,0.708097,1.15735,0.66823,0.408981,1.00091,1.54176,1.6996,0.467636,1.47807,0.470251,1.12485,1.97859,1.7311,0.621645,0.735258,0.222795,0.783505,0.729981,0.667315,0.184934,1.45319,0.0510548,0.416784,0.684025,0.213851,1.43385,1.69466,1.455,0.754826,0.740909,0.442723
7341.59,0.992379,0.00470184,10,1023,0,-7253.93,-0.0731924,0.309505,-0.201235,-0.571033,-0.231375,-0.0732442,-0.12878,0.313116,1.18485,-0.0652537,0.360945,-1.97284,-0.90756,-0.229812,-0.345711,-0.965163,1.50377,1.10171,0.647667,1.18731,0.414663,0.394294,-1.19785,-0.366883,-1.50485,-0.311724,-1.69515,-0.424302,-0.0634521,0.757674,-1.47668,-2.00732,-1.30102,-0.986142,-0.0362477,1.61331,-1.52161,-0.576129,0.142437,1.66125,0.451697,0.523872,0.583654,0.0415848,-1.35891,1.05281,-0.210051,0.584735,-0.930868,0.855221,0.280858,-0.534667,0.0534164,-0.238464,1.02077,1.48385,0.964504,-0.111829,-0.800117,-0.20587,-0.649904,0.863063,-0.901329,0.431964,-0.482992,-1.57118,-0.994681,-0.591104,1.95206,-0.0937297,-0.498857,-2.20138,-0.70717,-0.97875,-0.400969,-1.31657,2.7196,0.628654,0.633769,0.19505,0.704792,-2.42603,0.595058,-0.00888728,0.392826,0.874841,0.613532,1.80859,0.509762,0.661738,-1.11751,-0.0250625,0.802264,-0.160207,-0.65172,0.433148,1.41554,1.84172,-0.552388,1.39449,-0.487197,0.849356,2.37846,2.00425,-0.338246,-0.027855,-1.01746,0.20078,0.062792,-0.211895,-0.995334,1.36382,-1.13245,-0.641642,-0.137997,-0.994089,1.20109,1.71398,1.49953,0.120517,-0.0804191,-0.620833,0.4293,1.02461,-0.0794843,0.427434,-1.15953,-0.424449,0.926083,-0.864499,0.198178,0.61274,0.514415,-0.485455,1.12098,-0.884451,-0.550059,-0.614567,-0.950274,-1.43966,-0.58064,-0.984436,-0.0595173,-0.556596,-0.780392,-1.64411,-1.9547,-1.88803,-1.84821,0.0710308,0.131822,-1.17202,-0.719863,-0.926571,-1.13857,0.191957,0.242217,-0.149212,-0.0157621,-0.746509,-0.412951,-0.200738,-0.237028,-0.430988,0.342076,0.216183,0.0740151,0.242985,0.00105772,-0.00532025,-0.503846,-0.243657,-0.599974,-0.226386,-0.659558,-0.261636,-0.148648,0.10846,-0.591153,-0.757304,-0.536149,-0.437557,-0.14013,0.376372,-0.60522,-0.309175,-0.0841805,0.391383,0.757457,0.473482,-0.260196,1.00324,0.341657,0.758023,-0.0359587,0.899723,0.59883,0.1716,0.47968,0.326772,0.986447,1.22905,0.956973,0.393113,0.0325377,0.343847,0.11123,0.903831,-0.0204842,0.677991,0.198671,-0.371401,-0.069389,0.142034,1.47432,0.402594,0.19036,-0.701547,0.0812299,-0.0610428,0.24164,-0.23802,1.87642,0.781031,0.783711,0.553878,0.820917,-0.819231,0.763431,0.447041,0.657487,0.910002,0.773109,1.39917,0.718747,0.798363,-0.133734,0.438567,0.87198,0.367769,0.110279,0.678611,1.19326,1.41652,0.162316,1.18223,0.196468,0.896651,1.6977,1.50167,0.274499,0.437104,-0.0813246,0.55688,0.484592,0.340691,-0.0697308,1.16616,-0.141562,0.115559,0.379404,-0.0690787,1.08092,1.34961,1.23726,0.514832,0.409567,0.12646
7343.64,0.916017,0.00470184,10,1023,0,-7263.9,-0.252361,0.223565,-0.237056,-0.304414,-0.299885,0.0809285,-0.0269796,0.42591,-0.284318,-1.84643,0.744834,-1.87655,-1.21433,1.66369,-1.73978,-0.171233,-0.0715817,0.433508,0.304748,-0.0253473,-0.257814,-0.662534,0.206508,0.3045,-1.44599,-0.315377,-1.11572,-0.69262,0.490883,-0.988642,-0.54504,-1.43075,-1.52112,-2.38188,0.627882,1.00903,-0.379174,-1.1646,0.643559,0.265757,0.269988,0.52354,0.738848,0.0769344,-1.14611,1.14259,-0.120302,0.637104,-0.874058,0.945414,0.32361,-0.505506,0.128168,-0.155665,1.11576,1.59539,1.07036,-0.0398212,-0.745932,-0.125339,-0.640718,0.959617,-0.822106,0.495878,-0.457927,-1.53308,-0.89755,-0.555357,2.05189,-0.0184522,-0.394333,-2.14199,-0.600158,-0.93946,-0.338928,-1.16514,2.72025,0.755751,0.73405,0.243064,0.800449,-2.35022,0.657102,0.0865934,0.453203,1.01555,0.72155,1.87306,0.556855,0.775138,-1.02683,0.0598411,0.890746,-0.0786387,-0.547383,0.508263,1.40572,1.92121,-0.507282,1.52122,-0.536966,0.938541,2.37199,2.06154,-0.246682,0.0712965,-0.932075,0.284991,0.0741506,-0.131232,-0.940523,1.4187,-1.13312,-0.518126,-0.077706,-0.904481,1.25255,1.77848,1.58358,0.205567,0.0195641,-0.483893,0.475378,1.20176,0.0649511,0.579597,-1.01987,-0.282768,1.08013,-0.712329,0.330306,0.768126,0.65441,-0.334928,1.26414,-0.739358,-0.424154,-0.447573,-0.763668,-1.33381,-0.415486,-0.844082,0.117614,-0.412218,-0.663653,-1.48111,-1.82644,-1.72155,-1.71329,0.24667,0.234809,-1.04103,-0.560459,-0.772363,-0.982095,0.187113,-0.148073,-0.813392,0.290253,-0.826219,-0.544177,0.681603,-0.767967,-0.0999093,-0.0574669,0.157656,0.102816,-0.0377752,-0.136785,-0.309159,0.0609744,0.10271,-0.64284,-0.161302,-0.502176,-0.321973,0.182092,-0.448052,-0.259117,-0.636352,-0.67484,-1.04145,0.240441,0.402776,-0.188474,-0.522995,0.247119,0.0862091,0.656804,0.310266,-0.330046,0.868177,0.207005,0.603537,-0.187616,0.76495,0.439411,0.00533525,0.337089,0.188491,0.854133,1.10524,0.830364,0.24914,-0.120537,0.204368,-0.0654533,0.772385,-0.160417,0.5296,0.030245,-0.532639,-0.199915,-0.0207635,1.34423,0.260327,0.0635388,-0.851428,-0.0442189,-0.221857,0.0925455,-0.340008,1.69415,0.665654,0.654292,0.397242,0.689055,-0.960443,0.614007,0.315323,0.507257,0.801671,0.647748,1.25061,0.561523,0.675803,-0.2676,0.301317,0.736328,0.228817,-0.0165887,0.536084,1.00594,1.27582,0.00440572,1.06641,-0.0111349,0.761351,1.51182,1.34929,0.14084,0.307314,-0.217991,0.419192,0.308809,0.201283,-0.222413,1.01273,-0.323245,-0.00127183,0.229306,-0.203544,0.925747,1.20109,1.09905,0.37761,0.28023,0.0166508
7352.28,0.997712,0.00470184,10,1023,0,-7276.47,-0.17579,0.712808,-0.167103,-0.571175,-0.102202,-0.0736827,0.452808,0.357558,1.70042,-1.09867,0.135679,-0.851427,-0.536802,-0.0333187,-0.977188,-0.759961,-0.0730451,0.43298,-0.806661,1.48799,-0.227738,-0.348996,1.53074,0.120557,-0.777174,0.95432,-0.658819,0.273636,0.402088,-0.510875,-1.2807,-2.58961,-1.94521,-0.197504,1.08189,0.536073,-0.727973,-0.129354,-0.0644999,-0.103286,0.112172,0.553335,0.231966,-0.357393,-1.62495,0.740755,-0.49249,0.139699,-1.10914,0.456361,-0.143426,-0.829011,-0.282819,-0.584946,0.675573,1.04857,0.511495,-0.386542,-1.10979,-0.497102,-1.02503,0.492668,-1.10347,0.150773,-0.788496,-1.89602,-1.21186,-0.972968,1.50883,-0.43104,-0.785917,-2.43095,-1.04443,-1.20606,-0.705791,-1.62632,2.15163,0.28734,0.292318,-0.215119,0.363603,-2.61709,0.248264,-0.367947,0.0330393,0.523875,0.265274,1.32334,0.147411,0.317434,-1.30029,-0.377638,0.427431,-0.497425,-0.996498,0.0627168,0.999193,1.43536,-0.800677,0.999689,-0.882821,0.481162,1.84126,1.50859,-0.583524,-0.351007,-1.24205,-0.174085,-0.353584,-0.497374,-1.23193,0.955116,-1.46932,-0.858079,-0.435838,-1.21918,0.888379,1.3707,1.05417,-0.198832,-0.363165,-0.893735,0.450086,1.5541,0.447612,0.974756,-0.682477,0.112432,1.45344,-0.339984,0.706986,1.11964,1.00689,0.0305399,1.63703,-0.383545,-0.0352136,-0.0612912,-0.414164,-0.935872,-0.0565428,-0.472858,0.491264,-0.0654579,-0.257317,-1.1003,-1.40861,-1.38922,-1.30844,0.606314,0.680073,-0.646776,-0.192697,-0.398674,-0.656868,0.192786,1.06081,0.05997,0.501321,0.148374,0.26087,0.440895,0.103407,0.181078,0.42669,0.607624,0.16438,0.98485,0.371378,0.328022,1.00014,0.495914,0.174923,0.794033,0.217242,0.550649,0.596578,0.270141,-0.00511557,-0.473128,-0.242717,0.382189,0.839648,0.644485,0.192515,0.406557,0.429746,0.415877,0.240526,-0.0855864,-0.786971,0.522057,-0.16034,0.189472,-0.501552,0.364692,0.032809,-0.346549,-0.0443218,-0.2115,0.48599,0.69238,0.3952,-0.101716,-0.501913,-0.162893,-0.455011,0.384782,-0.498415,0.1956,-0.324131,-0.936965,-0.558395,-0.426206,0.947058,-0.126338,-0.322703,-1.23296,-0.465746,-0.555182,-0.278367,-0.787727,1.30274,0.271167,0.273921,-0.00686127,0.313366,-1.33596,0.249545,-0.0914262,0.130453,0.40205,0.258957,0.844419,0.193739,0.287819,-0.607325,-0.0967889,0.348684,-0.163071,-0.439226,0.146875,0.66506,0.906405,-0.330871,0.665334,-0.376324,0.378415,1.13101,0.946924,-0.210712,-0.0820528,-0.575095,0.0158442,-0.0834787,-0.163043,-0.569498,0.64067,-0.700856,-0.362634,-0.128993,-0.562443,0.603743,0.87063,0.695482,0.00215107,-0.0887803,-0.382363
7350.73,0.997829,0.00470184,10,1023,0,-7264.79,-0.335208,0.516588,-0.26982,-0.226896,-0.363752,0.0428325,0.229071,0.130151,-0.948269,-0.334923,-0.741106,1.26917,-0.753766,-0.350673,0.411229,0.201462,-0.499964,0.652372,0.122628,-0.301295,-2.19382,-0.26621,1.2304,0.151368,-0.710562,-0.541214,0.498428,0.922669,0.6847,-0.0251034,0.599861,0.00372017,0.00417639,-0.944151,1.35344,0.646605,-0.252564,0.209319,-0.357952,-0.457859,0.0535281,0.590936,0.268788,-0.228962,-1.3477,0.844571,-0.354273,0.280985,-1.02882,0.535624,0.0985819,-0.698074,-0.103662,-0.470496,0.752691,1.13484,0.689872,-0.324628,-0.876468,-0.343362,-0.805489,0.565709,-0.963765,0.16555,-0.605645,-1.52758,-1.04395,-0.800127,1.51195,-0.313699,-0.568093,-2.13603,-0.817306,-1.11963,-0.596823,-1.37135,2.25617,0.313061,0.408124,-0.0537537,0.407364,-2.36026,0.401019,-0.295219,0.102101,0.647522,0.360434,1.38097,0.280687,0.389216,-1.20867,-0.237676,0.540617,-0.277835,-0.747074,0.204071,1.02209,1.38943,-0.634928,1.13111,-0.675306,0.47255,1.8434,1.50079,-0.48071,-0.162572,-1.03192,-0.0547465,-0.20827,-0.29696,-1.08771,0.9566,-1.2588,-0.749044,-0.322332,-1.04887,0.821444,1.31445,1.10268,-0.197642,-0.258129,-0.706033,0.549803,1.55745,0.435535,0.948945,-0.666486,0.0933021,1.44708,-0.365727,0.724624,1.13097,1.02511,0.0351517,1.6436,-0.358711,-0.048041,-0.0760743,-0.423882,-0.959767,-0.0636493,-0.487902,0.478798,-0.0540137,-0.264971,-1.11289,-1.43822,-1.35933,-1.3345,0.590018,0.659072,-0.675234,-0.226288,-0.403776,-0.636401,0.19052,0.105653,0.18548,0.132615,0.394254,0.130967,0.18343,0.282592,0.255291,0.164,0.313977,0.245031,0.189857,-0.0564565,0.194423,0.389208,0.248771,0.13659,0.158631,0.293941,0.349157,0.318185,0.225803,0.307143,0.229555,0.229614,0.106188,0.405222,0.313227,0.196199,0.256314,0.182483,0.16948,0.212364,-0.0817738,-0.742874,0.552615,-0.155824,0.219572,-0.554437,0.370047,0.111784,-0.358989,-0.00772945,-0.224505,0.49832,0.724143,0.461198,-0.138306,-0.464408,-0.149377,-0.422464,0.387826,-0.515995,0.151358,-0.304369,-0.849171,-0.563381,-0.419295,0.946992,-0.131848,-0.282178,-1.20873,-0.429447,-0.608099,-0.299156,-0.756849,1.38678,0.238527,0.294703,0.0217631,0.294254,-1.34123,0.290505,-0.120927,0.113863,0.436172,0.266521,0.86959,0.219396,0.28353,-0.660715,-0.0869229,0.372998,-0.110654,-0.387945,0.174121,0.657517,0.874594,-0.321673,0.721939,-0.345534,0.332775,1.14286,0.940398,-0.23054,-0.0425412,-0.556273,0.0211764,-0.0695463,-0.121956,-0.589237,0.618817,-0.690342,-0.389109,-0.136949,-0.566286,0.538949,0.830284,0.705141,-0.0632659,-0.0990096,-0.363692
7352.16,0.967807,0.00470184,10,1023,0,-7270.85,-0.0722223,-0.114868,-0.68771,-0.787132,-0.254916,0.247874,0.139067,0.272488,-1.04963,-1.40793,-0.161308,0.1817,-1.64682,1.58224,-1.05514,-0.244504,0.765778,1.96932,-0.696352,-0.0918929,0.386125,-0.164433,0.728959,-1.56686,0.908344,-0.369354,-0.196966,-0.0565008,-0.902613,0.0533817,-0.0312278,-1.09579,0.845356,-0.713505,1.51374,1.07259,-1.78663,1.44722,0.911862,-1.57991,-0.0773822,0.579275,0.27097,-0.196416,-1.41291,0.858289,-0.379155,0.320918,-1.01535,0.520588,0.0602998,-0.700258,-0.133296,-0.446065,0.775823,1.11477,0.642539,-0.322047,-0.922933,-0.340607,-0.863834,0.60656,-0.988075,0.192047,-0.680633,-1.61942,-1.12181,-0.861356,1.5478,-0.322711,-0.639365,-2.14943,-0.807177,-1.10912,-0.543302,-1.3593,2.21321,0.318683,0.415308,-0.0869258,0.404921,-2.37836,0.358993,-0.330785,0.127095,0.642719,0.363702,1.35096,0.30314,0.478524,-1.12216,-0.225827,0.522361,-0.281101,-0.82222,0.249691,0.998921,1.41738,-0.705222,1.06657,-0.759319,0.525872,1.87946,1.6116,-0.44026,-0.184269,-1.11173,-0.0257979,-0.17979,-0.397162,-1.07839,1.02303,-1.36315,-0.705759,-0.317335,-1.0682,0.94235,1.3335,1.1193,-0.242125,-0.247714,-0.728482,0.479526,1.69851,0.560609,1.11438,-0.498499,0.226629,1.56388,-0.202277,0.844781,1.26697,1.16249,0.161899,1.78202,-0.224981,0.0679962,0.0525709,-0.283676,-0.821512,0.0676314,-0.328969,0.614849,0.0713954,-0.130861,-0.972809,-1.30366,-1.24233,-1.19458,0.728956,0.775577,-0.519232,-0.0626073,-0.254599,-0.526288,0.189686,-0.146945,-0.244578,0.0951124,0.188578,-0.309673,0.570208,-0.148446,0.0724425,0.347732,0.675682,-0.0506806,0.114027,0.244281,0.0942609,0.337699,-0.287884,0.38658,0.0384224,0.0853962,0.123671,-0.106884,0.153613,0.130558,-0.159523,0.369416,-0.0553545,0.551544,0.431335,-0.347767,0.533418,0.387539,-0.291439,0.0795838,-0.191161,-0.895848,0.419803,-0.297017,0.108518,-0.66555,0.224181,-0.042452,-0.483024,-0.154597,-0.335777,0.372032,0.568374,0.294824,-0.263936,-0.612014,-0.274687,-0.57778,0.273983,-0.649749,0.0338659,-0.471656,-1.01547,-0.727218,-0.576344,0.819218,-0.26432,-0.44775,-1.32249,-0.54496,-0.719869,-0.392104,-0.864789,1.20468,0.107223,0.163195,-0.127736,0.157178,-1.45511,0.130573,-0.268998,-0.00375925,0.294929,0.133301,0.705198,0.0982192,0.199815,-0.727422,-0.208198,0.225208,-0.240217,-0.553674,0.0672573,0.501268,0.74367,-0.4859,0.540453,-0.517237,0.227242,1.01134,0.856177,-0.332414,-0.184125,-0.721379,-0.0923263,-0.18153,-0.307448,-0.702066,0.515232,-0.867021,-0.486211,-0.261206,-0.696161,0.468497,0.695079,0.570998,-0.217639,-0.220877,-0.499374
