# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim2_model
# start_datetime = 2022-03-05 08:19:24 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c6086655c.json
# init = 2 (Default)
# random
#   seed = 1801615243
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_HJ,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80
# Adaptation terminated
# Step size = 0.00373912
# Diagonal elements of inverse mass matrix:
# 0.191008, 0.125354, 0.11394, 0.11287, 0.0224531, 0.00854672, 0.20589, 0.284023, 0.411041, 0.309575, 0.248506, 0.254244, 0.187048, 0.419571, 0.328362, 0.291191, 0.204285, 0.224124, 0.225144, 0.320021, 0.440324, 0.20581, 0.282084, 0.260742, 0.198399, 0.316692, 0.20456, 0.32537, 0.186372, 0.337257, 0.26308, 0.29456, 0.246026, 0.238677, 0.279944, 0.297238, 0.237766, 0.328099, 0.270705, 0.190415, 0.175636, 0.00626279, 0.0128404, 0.0114462, 0.023049, 0.0174958, 0.0119408, 0.0125654, 0.0174135, 0.015588, 0.011504, 0.0139846, 0.0116234, 0.0125393, 0.0172077, 0.0239026, 0.0153164, 0.011649, 0.0161857, 0.0117979, 0.0150275, 0.0145518, 0.0172638, 0.0124085, 0.0139414, 0.0279228, 0.017768, 0.0161581, 0.0330164, 0.0115537, 0.0133686, 0.0394853, 0.0159156, 0.0187041, 0.0128367, 0.022433, 0.0533993, 0.0128119, 0.01359, 0.0111378, 0.0135199, 0.0468309, 0.0131098, 0.0119711, 0.0117012, 0.0163249, 0.0133962, 0.026288, 0.0123242, 0.0132676, 0.0189776, 0.0117557, 0.0146662, 0.0117703, 0.0157561, 0.0123113, 0.0213661, 0.0303271, 0.0149157, 0.0219727, 0.0142652, 0.0139566, 0.0391993, 0.0304353, 0.0124296, 0.0113757, 0.0182348, 0.0112959, 0.0119777, 0.0131599, 0.0176906, 0.0209207, 0.0207898, 0.0147068, 0.0118815, 0.0179372, 0.0195762, 0.0281996, 0.0227982, 0.011562, 0.0121692, 0.0147395, 1.47483, 0.179596, 0.179965, 0.179651, 0.179701, 0.17931, 0.17912, 0.179188, 0.178745, 0.1794, 0.179225, 0.179186, 0.17961, 0.179376, 0.179363, 0.179985, 0.179195, 0.17926, 0.179135, 0.179305, 0.178939, 0.179158, 0.179011, 0.179221, 0.179528, 0.179208, 0.178792, 0.179359, 0.179678, 0.179021, 0.179279, 0.179452, 0.179318, 8.92753e-05
6937.66,0.999774,0.00373912,9,511,0,-6859.49,-0.0139425,-0.525857,-0.0586093,-0.693507,-0.253925,0.406084,-0.659466,0.634756,-1.15933,-0.826645,-0.690093,1.54648,1.10167,1.67261,2.24688,0.55912,0.409451,0.389542,-0.0084081,-0.801472,1.54598,-0.982305,-1.05951,0.77843,-0.146442,1.1422,-0.462912,-1.7054,-0.366282,-2.13439,-0.313278,0.279638,-0.0608365,0.788865,-0.779014,0.111773,-0.921982,1.48081,-0.9235,-0.128872,0.336431,0.583119,0.438836,-0.212967,-1.49509,0.946617,-0.302587,0.455997,-1.09473,0.737245,0.157906,-0.62668,-0.162706,-0.476659,0.98171,1.38231,0.808875,-0.310309,-0.950249,-0.385391,-0.748617,0.622664,-1.00447,0.28065,-0.694012,-1.7314,-1.11789,-0.888733,1.91668,-0.339609,-0.581788,-2.28085,-0.836015,-1.15185,-0.540557,-1.39438,2.70116,0.437933,0.465358,-0.0533589,0.536701,-2.51199,0.385517,-0.253634,0.166964,0.845422,0.463276,1.61184,0.347711,0.4711,-1.14434,-0.184523,0.668722,-0.280871,-0.960521,0.136789,1.32836,1.76913,-0.697391,1.29185,-0.772356,0.671469,2.152,1.68163,-0.408806,-0.196358,-1.13757,0.0520749,-0.122694,-0.409561,-1.15428,1.27103,-1.31404,-0.792726,-0.373602,-1.18371,1.24969,1.62643,1.35163,-0.0565321,-0.235459,-0.780589,0.107922,-0.325298,-0.63271,-0.176507,0.176471,-0.190525,1.65369,0.232653,0.39992,0.383355,0.541976,-0.639354,-0.652748,1.29715,-0.727201,-0.543945,-0.178778,-0.461253,0.765936,-0.829404,-0.698685,-0.161186,-1.58566,-1.01835,-1.54618,-1.3356,-0.872611,-0.456692,-0.0346709,-1.48924,0.769926,-1.37329,-0.629631,0.203886,-1.39536,-1.18418,-1.09751,0.32217,0.0398268,0.402232,0.766751,-0.304562,-0.399565,-0.412202,-0.664803,-1.16821,0.321856,-1.28299,-1.332,-0.165354,-0.752422,0.0655514,-0.953302,-1.74198,-0.891966,-2.01428,-0.858322,-0.481965,-0.698083,-0.15873,-1.15395,-0.588518,-1.2447,0.280484,-1.24566,-0.741269,0.592324,0.212246,-0.535382,0.888421,0.159987,0.602331,-0.301928,0.766333,0.428509,-0.0289976,0.241554,0.0584819,0.908885,1.14248,0.808102,0.155484,-0.217677,0.111702,-0.100102,0.699518,-0.249293,0.500083,-0.0682607,-0.673183,-0.31543,-0.181806,1.45408,0.138399,-0.00282035,-0.993579,-0.151065,-0.335235,0.021222,-0.476661,1.91153,0.591798,0.60779,0.305316,0.649392,-1.12836,0.561233,0.188532,0.433791,0.829413,0.606576,1.27633,0.539188,0.611138,-0.330854,0.228832,0.726376,0.17265,-0.223667,0.416195,1.11102,1.36804,-0.0702307,1.08973,-0.113944,0.727978,1.5913,1.31702,0.0980487,0.221931,-0.32691,0.366797,0.264886,0.097608,-0.336652,1.07759,-0.42981,-0.125822,0.118577,-0.353815,1.06515,1.28483,1.12459,0.303466,0.19913,-0.118745
6937.84,0.999817,0.00373912,10,1791,0,-6859.2,-0.937682,-0.0587314,-0.150137,-0.511964,-0.123827,0.15847,0.559122,0.915414,-0.6946,-0.686977,-0.231952,0.311604,0.0382449,1.51701,0.72552,0.592386,0.463817,0.592058,-0.442935,-0.618697,1.87632,-0.518432,-0.236033,0.625567,0.239118,1.12771,-0.667301,-0.668025,-0.135385,-1.28292,-0.3362,-0.467366,-0.421944,0.257619,0.113787,0.348794,-0.815215,1.32169,-0.7725,-0.0578227,0.249988,0.555419,0.593501,-0.112567,-1.50717,1.05258,-0.346678,0.546537,-1.13014,0.790728,0.11875,-0.644318,-0.0780644,-0.452898,1.0922,1.47176,0.845545,-0.283951,-0.946329,-0.424648,-0.735297,0.784599,-1.03276,0.394194,-0.642089,-1.83617,-1.1006,-0.866657,2.07745,-0.283686,-0.616322,-2.24745,-0.859573,-1.16681,-0.532108,-1.39241,2.87237,0.544408,0.586113,0.00180396,0.616082,-2.57675,0.515036,-0.237517,0.283199,0.861897,0.504683,1.66525,0.437355,0.522086,-1.15396,-0.219833,0.681954,-0.205101,-0.86239,0.276163,1.44532,1.86233,-0.669792,1.41903,-0.76044,0.736991,2.34445,1.9369,-0.419691,-0.0533165,-1.14018,0.0718284,-0.0688827,-0.320607,-1.1815,1.38096,-1.32148,-0.763416,-0.296167,-1.18426,1.35921,1.78611,1.4642,-0.0225073,-0.275053,-0.708172,0.156861,-0.267795,-0.567355,-0.0933844,0.244278,-0.112615,1.73876,0.326125,0.460034,0.449878,0.594777,-0.592364,-0.570343,1.36736,-0.657844,-0.496964,-0.127344,-0.423986,0.826057,-0.765408,-0.667833,-0.12547,-1.50426,-0.95433,-1.47991,-1.3056,-0.822122,-0.408316,0.0156857,-1.44044,0.823152,-1.33807,-0.563395,0.205163,-0.0767241,-0.0697461,0.34679,0.844369,0.594132,1.94781,1.22327,1.1014,0.983707,1.1011,0.153654,-0.00724178,2.27674,0.0845423,0.343055,1.13177,0.778014,1.59144,-0.0517341,-0.0523968,0.435189,-0.615276,0.25136,0.131289,0.172869,0.79495,0.663284,0.878413,-0.187137,1.76901,-0.148035,0.506191,0.579629,0.187466,-0.587122,0.834611,0.0574362,0.553545,-0.377712,0.689173,0.315944,-0.107878,0.206629,-0.00156038,0.856617,1.06743,0.719619,0.092276,-0.275621,0.01413,-0.15841,0.685768,-0.323627,0.46893,-0.106641,-0.769856,-0.361306,-0.23137,1.40384,0.0924233,-0.0923295,-0.998289,-0.227436,-0.398078,-0.045555,-0.523384,1.84535,0.552362,0.575526,0.25099,0.592171,-1.18119,0.536048,0.118066,0.407282,0.728702,0.530298,1.1749,0.492903,0.539964,-0.390945,0.127888,0.628758,0.136071,-0.229,0.403374,1.05275,1.28436,-0.122027,1.03814,-0.172375,0.659326,1.55214,1.32578,0.0168836,0.220375,-0.383288,0.289882,0.211729,0.0719165,-0.406242,1.017,-0.483985,-0.174028,0.0854909,-0.40777,1.00492,1.24203,1.06323,0.237487,0.097218,-0.143345
6955.85,0.999981,0.00373912,12,4351,0,-6876.5,0.385779,0.233538,0.265397,0.00622991,-0.250273,0.169651,0.134096,0.667271,-1.27898,-1.09591,-0.453271,0.363313,0.143336,1.89189,1.09597,0.200229,0.335169,0.52083,-0.593493,-0.752802,1.99877,-0.694111,-0.379852,0.561336,-0.511864,1.24182,-0.328938,-1.144,0.0766751,-1.92304,-0.96752,-0.800153,-0.695316,0.0360466,-0.277378,0.465125,-0.887803,1.64551,-1.06135,-0.111645,-0.905298,0.563339,0.29594,-0.365751,-1.58547,0.895457,-0.465493,0.275548,-1.25296,0.688795,0.0311091,-0.747688,-0.164587,-0.534864,0.977107,1.40477,0.706764,-0.368162,-1.11159,-0.430195,-0.840734,0.595944,-1.10309,0.183555,-0.733458,-1.8648,-1.15294,-1.02288,1.85459,-0.347819,-0.794622,-2.42644,-0.959702,-1.26235,-0.617262,-1.59755,2.64635,0.342368,0.411083,-0.107438,0.411768,-2.69027,0.39909,-0.389283,-0.0124624,0.783783,0.331587,1.58147,0.301484,0.439672,-1.30936,-0.158533,0.591336,-0.408893,-1.00027,0.128517,1.22633,1.71512,-0.798592,1.27131,-0.799696,0.53356,2.09829,1.73628,-0.553315,-0.303856,-1.19835,-0.0428787,-0.207593,-0.533765,-1.31902,1.25694,-1.45891,-0.879645,-0.48737,-1.21833,1.16693,1.60419,1.31235,-0.161697,-0.342902,-0.849881,0.0791906,0.955551,0.666993,1.14846,1.48207,1.09942,2.97797,1.5423,1.71385,1.67298,1.81654,0.637489,0.651873,2.58343,0.576383,0.722737,1.09434,0.802028,2.03949,0.457223,0.575246,1.11642,-0.271024,0.26348,-0.249665,-0.0585022,0.396855,0.805965,1.2346,-0.211438,2.04826,-0.0963536,0.674891,0.2056,-0.719333,-0.597172,-0.168359,0.376524,0.229739,1.3965,0.865403,0.267703,0.357744,0.48163,-0.261925,-0.368227,1.46782,-0.329065,-0.119369,0.508659,-0.207457,0.962727,-0.0853953,-0.62926,0.185259,-1.1491,-0.511503,-0.399823,-0.329869,0.158149,-0.0509905,0.44446,-0.45831,1.2321,-0.574114,0.0595985,-0.738583,-1.11134,-1.79846,-0.400852,-1.16753,-0.750071,-1.61114,-0.517272,-0.887773,-1.3265,-0.998016,-1.20661,-0.354855,-0.113936,-0.50715,-1.1127,-1.5315,-1.14764,-1.37892,-0.569579,-1.52671,-0.801894,-1.31848,-1.95581,-1.5548,-1.48152,0.139465,-1.10124,-1.35294,-2.27221,-1.44594,-1.61643,-1.25303,-1.80526,0.585496,-0.712429,-0.673719,-0.965822,-0.673333,-2.42083,-0.680475,-1.1246,-0.912319,-0.463762,-0.718502,-0.0143922,-0.73546,-0.657613,-1.64291,-0.994606,-0.572175,-1.13564,-1.46879,-0.832899,-0.21446,0.060899,-1.35518,-0.189118,-1.3558,-0.604723,0.276751,0.0728145,-1.217,-1.07647,-1.58038,-0.929453,-1.02224,-1.20599,-1.64835,-0.197212,-1.72716,-1.40084,-1.17985,-1.59163,-0.247921,-0.00159199,-0.166,-0.996388,-1.09847,-1.38407
6952.84,0.975005,0.00373912,11,3071,0,-6871.62,-0.247403,0.484862,0.373347,0.212138,-0.391457,0.262171,-0.475426,0.694477,-1.65007,-1.2739,-0.507549,0.514035,0.350111,1.37514,1.28351,-0.604786,0.0986585,0.179891,-0.823336,-0.97609,2.29043,-0.490433,0.240573,1.21339,-0.0554555,1.26743,-0.109351,-1.12342,0.454305,-1.41577,-0.504233,-0.211814,-0.609324,0.245361,-0.227329,0.424731,-0.657238,1.4546,-0.675015,-0.163448,-0.120896,0.654776,0.347983,-0.248474,-1.29979,0.846551,-0.325013,0.308052,-0.990552,0.671069,0.0436387,-0.682985,-0.0930692,-0.485145,0.806806,1.24744,0.6491,-0.33414,-0.945927,-0.33342,-0.688588,0.525285,-0.950063,0.128858,-0.603939,-1.60317,-1.08116,-0.908941,1.58244,-0.272674,-0.66511,-2.051,-0.837885,-1.02581,-0.492005,-1.34329,2.3176,0.355436,0.399628,-0.134698,0.396992,-2.22266,0.39962,-0.335793,0.104796,0.659103,0.354591,1.30345,0.271523,0.358647,-1.08326,-0.133074,0.495984,-0.278201,-0.86798,0.243478,1.07083,1.54959,-0.775639,1.17524,-0.613952,0.507693,1.88936,1.52637,-0.439946,-0.148383,-1.08464,-0.0713986,-0.142782,-0.420679,-1.00963,1.16341,-1.23958,-0.832736,-0.413266,-1.05481,0.958237,1.42848,1.1694,-0.121191,-0.327207,-0.753428,0.0678946,0.157903,-0.14285,0.363008,0.661867,0.3145,2.16118,0.725429,0.865357,0.882052,1.04992,-0.156643,-0.149708,1.75834,-0.215932,-0.065817,0.280186,0.00659453,1.23338,-0.360741,-0.21627,0.355125,-1.08028,-0.563803,-1.05134,-0.878928,-0.365334,0.00989953,0.437442,-1.02141,1.24493,-0.874783,-0.112683,0.206279,-1.62136,-1.36012,-0.827907,-0.118441,-0.232282,0.479574,0.415939,-0.895436,-0.40691,-0.350496,-1.04721,-1.1533,1.11523,-0.81602,-0.308353,0.367245,-0.513939,0.404774,-0.551367,-1.25561,-0.159922,-1.45865,-0.825604,-0.622526,-0.898587,-0.305029,-0.633301,-0.18046,-0.931863,0.534761,-0.944208,-0.588937,0.106955,-0.283591,-0.971969,0.433406,-0.333707,0.0808092,-0.769486,0.318504,-0.0923225,-0.568098,-0.181836,-0.438558,0.407381,0.6959,0.304119,-0.339683,-0.740267,-0.339212,-0.571767,0.223048,-0.742974,-0.0365229,-0.516341,-1.17061,-0.828811,-0.716049,0.915246,-0.299437,-0.556394,-1.46384,-0.669523,-0.792572,-0.443049,-1.00045,1.39661,0.111835,0.140771,-0.209093,0.139045,-1.57624,0.140765,-0.340765,-0.052278,0.310669,0.111282,0.732571,0.0568909,0.113937,-0.830188,-0.20803,0.203862,-0.303055,-0.689228,0.0385276,0.580259,0.89374,-0.628766,0.648621,-0.522897,0.211529,1.11621,0.878531,-0.408962,-0.218054,-0.831094,-0.167646,-0.214386,-0.396347,-0.781978,0.640874,-0.932543,-0.666152,-0.391493,-0.811561,0.506535,0.814438,0.644798,-0.200249,-0.335143,-0.614223
6960.26,0.989365,0.00373912,8,511,0,-6885.27,-0.0888075,0.436744,0.272293,0.0590781,-0.329559,0.245443,-0.561457,0.787627,-1.41252,-1.3245,-0.556839,0.475942,0.0873651,1.2338,1.09009,-0.124243,0.0168817,0.379184,-0.514829,-1.00609,2.06368,-0.432996,0.230504,0.881489,0.180672,1.02552,-0.245762,-0.856954,-0.00351974,-1.18739,-0.573987,-0.0881327,-0.316851,0.228232,-0.0905067,0.620747,-0.530935,1.46475,-0.620187,0.042024,-0.068493,0.652537,0.382019,-0.200123,-1.43303,0.761337,-0.411687,0.329754,-1.03035,0.585007,0.0517262,-0.649786,-0.160562,-0.467605,0.834244,1.20212,0.67512,-0.337978,-0.923462,-0.429278,-0.757507,0.576165,-0.963619,0.217478,-0.703244,-1.55751,-0.97289,-0.869404,1.61969,-0.326189,-0.673395,-2.06336,-0.812414,-1.09085,-0.551225,-1.31366,2.22717,0.363053,0.386978,-0.0884653,0.477143,-2.38372,0.336892,-0.247244,0.111607,0.700179,0.372066,1.36997,0.292303,0.404937,-1.09376,-0.231039,0.572584,-0.295745,-0.834183,0.200397,1.09625,1.45639,-0.671941,1.07892,-0.727924,0.517712,1.92367,1.51416,-0.440433,-0.198984,-1.03576,0.00742935,-0.188292,-0.43543,-1.01549,1.07895,-1.27566,-0.613601,-0.269402,-1.04401,0.983768,1.48098,1.10422,-0.0626132,-0.270574,-0.749447,0.123124,0.0639965,-0.208344,0.29628,0.618948,0.246988,2.10706,0.667611,0.844134,0.852562,0.969909,-0.213128,-0.22983,1.7202,-0.292156,-0.101595,0.228158,-0.028448,1.18334,-0.370091,-0.287926,0.274451,-1.14304,-0.590122,-1.07357,-0.909027,-0.437193,-0.0166578,0.406665,-1.0605,1.17626,-0.909442,-0.172027,0.204277,-1.674,-1.60467,-1.00004,-0.186593,-0.492646,0.410313,0.297129,-0.659315,-0.548161,-0.262802,-0.966951,-1.35388,1.06395,-0.902497,-0.379906,0.132828,-0.419155,0.246273,-0.755026,-1.23642,-0.564229,-1.49668,-1.01354,-0.630873,-0.811017,-0.381695,-0.632743,-0.0725402,-0.979636,0.592223,-1.04993,-0.528358,0.180788,-0.199081,-1.0036,0.428307,-0.337134,0.146684,-0.740836,0.313245,-0.0347398,-0.492503,-0.173266,-0.373623,0.475882,0.715932,0.372048,-0.289036,-0.671086,-0.348613,-0.562795,0.307476,-0.69729,0.0734192,-0.527386,-1.08483,-0.70334,-0.635811,0.988417,-0.281344,-0.507908,-1.41491,-0.598623,-0.78031,-0.428188,-0.925702,1.38482,0.168413,0.184024,-0.12622,0.24286,-1.62396,0.151342,-0.229829,0.00433437,0.3884,0.174294,0.825464,0.122245,0.195743,-0.782213,-0.219254,0.305139,-0.261477,-0.612829,0.0622734,0.646852,0.881855,-0.50696,0.635544,-0.54349,0.269334,1.18677,0.919555,-0.355892,-0.198338,-0.744364,-0.0636451,-0.19136,-0.352627,-0.731136,0.635559,-0.900909,-0.468891,-0.244288,-0.749752,0.573452,0.897904,0.652049,-0.10935,-0.245052,-0.557535
6979.77,0.998406,0.00373912,8,511,0,-6889.01,-1.02706,0.329326,-0.0443926,-0.364988,-0.212421,0.23512,0.593559,0.606703,-1.67876,-1.53834,-0.751972,0.483829,-0.0873044,1.44569,1.0824,-0.309065,-0.0401616,0.00305429,-0.985822,-1.4891,2.50597,-0.45398,-0.306474,1.0188,-0.0356499,1.54929,-0.198348,-1.15843,0.283246,-1.72562,-0.463303,-0.448895,-0.568739,0.502765,-0.210676,0.657216,-0.960329,2.01337,-0.640939,-0.0477274,0.0387933,0.612637,0.348696,-0.249983,-1.33244,0.952848,-0.304833,0.335374,-1.00968,0.727429,0.0619021,-0.720373,-0.0752874,-0.470492,0.868706,1.37483,0.743745,-0.28237,-0.919897,-0.341672,-0.800095,0.6537,-0.960995,0.246318,-0.641147,-1.62804,-1.04466,-0.882484,1.7392,-0.27355,-0.641993,-2.21683,-0.889495,-1.07929,-0.489632,-1.41445,2.4716,0.366134,0.511957,-0.0959537,0.4528,-2.48095,0.408485,-0.254876,0.0913005,0.839395,0.455401,1.47465,0.360192,0.440674,-1.16263,-0.174401,0.605295,-0.288889,-0.776005,0.099509,1.18231,1.67503,-0.719548,1.23604,-0.650849,0.497112,2.09964,1.64871,-0.42517,-0.121481,-1.10099,-0.0163058,-0.161497,-0.377436,-1.13902,1.13017,-1.22884,-0.748922,-0.332049,-1.05718,1.08355,1.48532,1.31564,-0.0630502,-0.279617,-0.73541,0.0399371,-0.0296901,-0.309053,0.172971,0.507331,0.127183,1.97947,0.535885,0.691507,0.710001,0.856481,-0.343808,-0.33779,1.59325,-0.404523,-0.257377,0.117272,-0.182408,1.05439,-0.531376,-0.434557,0.152689,-1.25327,-0.759917,-1.21513,-1.04245,-0.542417,-0.160785,0.284352,-1.22225,1.06257,-1.02579,-0.289661,0.204589,-0.424949,-0.339756,0.137335,0.887099,0.540591,1.47066,1.25025,0.406048,0.569193,0.595412,-0.00454204,-0.309882,2.11394,0.318128,0.40762,1.21167,0.57193,1.53352,0.47322,-0.109266,0.765405,-0.453382,0.312472,0.321213,0.248503,0.898588,0.465741,0.992294,0.0109248,1.81508,0.204699,0.564602,0.252418,-0.114356,-0.777512,0.622544,-0.147959,0.244256,-0.579773,0.484444,0.0767169,-0.402534,-0.00733052,-0.249448,0.570995,0.881067,0.49444,-0.134197,-0.52477,-0.170528,-0.451375,0.439275,-0.549948,0.189697,-0.353997,-0.958606,-0.601202,-0.501849,1.10429,-0.128794,-0.354516,-1.31932,-0.506145,-0.622421,-0.261173,-0.827752,1.55299,0.263101,0.352437,-0.0199915,0.316196,-1.48113,0.289047,-0.117353,0.0947275,0.553038,0.317789,0.942219,0.25946,0.308767,-0.673475,-0.0680515,0.40962,-0.138191,-0.436617,0.0997563,0.763119,1.06498,-0.402029,0.79604,-0.359941,0.343343,1.32511,1.04885,-0.221682,-0.0356306,-0.635715,0.0288038,-0.0601456,-0.192438,-0.659011,0.731176,-0.714038,-0.420024,-0.164632,-0.608872,0.702615,0.948759,0.844803,0.000166413,-0.13251,-0.411747
