# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim2_re_model
# start_datetime = 2022-03-09 16:04:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc1f13672a.json
# init = 2 (Default)
# random
#   seed = 539465750
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,s_HJ,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10
# Adaptation terminated
# Step size = 0.00238817
# Diagonal elements of inverse mass matrix:
# 0.189157, 0.107828, 0.0986616, 0.110615, 0.0206975, 0.00973274, 0.204974, 0.0180178, 0.259291, 0.127344, 0.103596, 0.165973, 0.109385, 0.190792, 0.217077, 0.171854, 0.0940917, 0.096553, 0.0989753, 0.134467, 0.1624, 0.093774, 0.157036, 0.151544, 0.107525, 0.126688, 0.0992946, 0.185557, 0.0837862, 0.141568, 0.185347, 0.17896, 0.118407, 0.174638, 0.171145, 0.170629, 0.125622, 0.151707, 0.106118, 0.116094, 0.198725, 0.00463133, 0.0107339, 0.0105308, 0.0209651, 0.0133943, 0.0119055, 0.010396, 0.0160745, 0.0118431, 0.0100647, 0.01316, 0.0106973, 0.0120358, 0.0134882, 0.0179715, 0.0126686, 0.011139, 0.0157548, 0.0116259, 0.013871, 0.0114201, 0.0164165, 0.0105208, 0.013071, 0.0247213, 0.016244, 0.0148066, 0.0237613, 0.0108304, 0.0129942, 0.0347004, 0.0146862, 0.0171744, 0.0117677, 0.0207672, 0.0384325, 0.0106271, 0.0108092, 0.00991361, 0.0110702, 0.0403183, 0.0109042, 0.0111479, 0.0103225, 0.0122235, 0.0109915, 0.0196964, 0.0107524, 0.0109057, 0.0173925, 0.0103625, 0.011648, 0.0109363, 0.0146834, 0.0101319, 0.0159587, 0.0217423, 0.0136427, 0.016309, 0.0135621, 0.0109128, 0.0283454, 0.0213248, 0.0115789, 0.0106065, 0.0171299, 0.0103143, 0.0104581, 0.0115023, 0.0168047, 0.0159849, 0.0192416, 0.0137123, 0.0112888, 0.0170831, 0.0150474, 0.0205783, 0.0172337, 0.010601, 0.0105375, 0.0138664, 0.195314, 0.077862, 0.216522, 0.213499, 0.228571, 0.196522, 0.199391, 0.214082, 0.318294, 0.270413, 0.199354, 0.303944, 8.56244e-05
6913.57,0.999062,0.00238817,9,1023,0,-6855.47,0.134109,0.021586,-0.204485,-0.546997,-0.0596003,0.275841,-0.275899,0.683588,-1.09237,-1.0892,-0.677488,0.936579,0.147904,1.53129,1.10726,0.390701,0.0796708,0.293859,-0.613133,-1.36871,2.17897,-0.729949,-0.773253,0.53544,0.00585042,1.37516,-0.464118,-1.13747,0.0285367,-1.97022,-0.328019,-0.895274,-0.710746,0.362908,-0.579905,0.0560508,-1.25617,1.56463,-1.13049,-0.0824935,-0.150206,0.599557,0.561944,-0.196976,-1.39331,0.998117,-0.32647,0.410247,-0.896736,0.838568,0.15383,-0.540812,-0.0587964,-0.3022,0.976077,1.4137,0.817806,-0.232392,-0.938448,-0.272574,-0.661279,0.744769,-0.944883,0.370435,-0.539086,-1.68909,-0.96419,-0.80467,1.8897,-0.205067,-0.589493,-2.08481,-0.735856,-1.05788,-0.493431,-1.2964,2.61906,0.562257,0.609541,0.0361279,0.529073,-2.37127,0.503525,-0.130471,0.227202,0.944658,0.583663,1.59147,0.45175,0.584102,-1.15086,-0.104071,0.704283,-0.193116,-0.686966,0.233232,1.31684,1.80222,-0.725423,1.30118,-0.660618,0.704644,2.19143,1.78168,-0.325129,-0.0696017,-1.00694,0.103712,-0.0131343,-0.288754,-1.00161,1.26962,-1.26438,-0.679396,-0.266594,-1.02781,1.21408,1.68707,1.33374,-0.0243641,-0.230536,-0.719945,0.0288042,0.028328,-0.440611,-0.283571,0.282293,0.283329,-0.419128,0.071831,0.835202,-1.25058,0.387434,1.03214,0.206147,0.0845831,-0.235229,0.258918,0.605169,0.266607,2.09808,0.641711,0.829833,0.805641,0.959343,-0.236631,-0.235446,1.70236,-0.312851,-0.139459,0.225319,-0.0541421,1.16988,-0.409402,-0.276733,0.210497,-1.19225,-0.603028,-1.13892,-0.932646,-0.457553,-0.0351065,0.382627,-1.0855,1.18417,-0.970444,-0.190916,-1.02263,-1.02046,-0.739022,0.364335,-0.174794,0.770875,0.481007,-0.00882063,-0.221437,-0.0750207,-0.69503,-1.21153,1.21362,-0.774883,-0.804486,0.090121,-0.2719,0.664141,-0.593165,-1.05346,-0.256392,-1.62272,-0.500129,-0.887898,-0.761756,-0.0278199,-0.672315,-0.237584,-1.13461,0.793665,-1.04869,-0.332291,0.186712,-0.268304,-0.985574,0.448223,-0.345943,0.0957611,-0.68785,0.352564,-0.0579758,-0.474453,-0.185458,-0.331392,0.435008,0.69739,0.340116,-0.289538,-0.71286,-0.313629,-0.546681,0.296326,-0.716717,0.0718912,-0.473419,-1.16291,-0.728293,-0.632652,0.98278,-0.273155,-0.503641,-1.40017,-0.591394,-0.784467,-0.446046,-0.927471,1.42007,0.1869,0.215249,-0.128545,0.167004,-1.57192,0.151686,-0.22843,-0.0139854,0.416171,0.199734,0.803975,0.120645,0.199997,-0.840211,-0.212602,0.272052,-0.26599,-0.562081,-0.0103698,0.639315,0.930329,-0.585139,0.629924,-0.546284,0.272269,1.16368,0.918011,-0.34514,-0.191936,-0.753924,-0.0880243,-0.158081,-0.323331,-0.750728,0.611007,-0.908274,-0.557543,-0.310044,-0.766437,0.577702,0.86129,0.649447,-0.164813,-0.288425,-0.581854,0.0163226,0.0207712,0.036801,0.0368304,0.0169311,0.030839,0.0524639,-0.00662221,0.0397795,0.0580426
6912.15,0.999411,0.00238817,11,2559,0,-6835.9,-0.142245,0.240373,-0.275168,-0.687972,-0.0948174,0.224537,0.904471,0.662564,-1.28251,-1.25236,-0.675388,0.666996,-0.0351592,1.55082,0.94294,0.196898,0.0570575,0.250621,-0.766157,-1.38748,2.59972,-0.348435,-0.253423,0.886877,0.288585,1.77093,-0.145718,-0.812173,0.476789,-1.56444,-0.0616132,-0.433983,-0.296245,0.698886,0.0408722,0.744228,-0.780807,2.18668,-0.619066,0.371443,-0.788839,0.596155,0.531324,-0.129675,-1.38249,0.981189,-0.351015,0.414295,-1.03016,0.835003,0.134383,-0.617178,-0.073118,-0.449088,1.02795,1.47529,0.86205,-0.267888,-0.953208,-0.308496,-0.770737,0.73701,-0.929377,0.383392,-0.59072,-1.57162,-0.985676,-0.860732,1.90197,-0.183697,-0.554989,-2.05377,-0.835187,-1.13347,-0.489784,-1.43112,2.70786,0.463099,0.521849,0.0563389,0.551406,-2.39302,0.443208,-0.168582,0.269923,0.897171,0.464543,1.6209,0.451417,0.569291,-1.05334,-0.0774321,0.718142,-0.219221,-0.838361,0.237599,1.31642,1.75561,-0.636809,1.38097,-0.656004,0.707666,2.1355,1.74994,-0.305355,-0.0987528,-1.05377,0.0614128,-0.131853,-0.249854,-1.02399,1.32427,-1.23435,-0.682976,-0.247802,-1.06679,1.18982,1.67089,1.36644,-0.0118816,-0.169869,-0.706654,-0.300614,0.0265373,-0.322523,0.190891,-0.216284,-0.16564,0.789361,-0.516285,0.904511,-0.827462,0.434435,1.52569,0.201471,1.02372,0.745762,1.25214,1.57997,1.21953,3.03667,1.63532,1.79097,1.78379,1.92363,0.762242,0.745566,2.67044,0.674607,0.846205,1.18742,0.922357,2.14836,0.580521,0.653696,1.2291,-0.181295,0.312292,-0.170071,0.0486685,0.510511,0.914736,1.35371,-0.136698,2.15829,0.0168223,0.773537,0.0547257,0.0747032,0.456983,1.3464,0.881176,1.93199,1.52923,1.03493,0.942276,1.07052,0.396843,-0.0148234,2.62695,0.673611,0.736562,1.49208,1.09568,2.07783,0.807924,0.366354,1.22037,-0.132073,0.863649,0.61693,0.70819,1.36753,0.931552,1.39757,0.387136,2.35329,0.4943,1.15058,-0.472088,-0.866146,-1.61302,-0.203899,-0.998099,-0.541855,-1.40298,-0.291048,-0.708726,-1.15677,-0.832429,-1.05657,-0.17602,0.0906609,-0.274924,-0.948542,-1.3571,-0.972751,-1.24832,-0.349467,-1.34289,-0.560278,-1.141,-1.72577,-1.37645,-1.30197,0.345031,-0.898351,-1.1197,-2.0132,-1.28674,-1.46456,-1.08083,-1.64201,0.825463,-0.512761,-0.477737,-0.755253,-0.460116,-2.21545,-0.524619,-0.88934,-0.627923,-0.253986,-0.5119,0.17747,-0.519725,-0.449454,-1.41679,-0.835001,-0.360716,-0.919529,-1.28863,-0.647194,-0.00405161,0.257775,-1.16848,0.0344351,-1.17992,-0.366961,0.484247,0.254393,-0.970878,-0.847711,-1.41705,-0.752228,-0.867444,-0.937791,-1.3993,0.000630075,-1.5247,-1.196,-0.936568,-1.42481,-0.0795213,0.207273,0.0257701,-0.795923,-0.890108,-1.21011,-0.309173,-0.295549,-0.306354,-0.30501,-0.279667,-0.314315,-0.276611,-0.322573,-0.289086,-0.260127
6904.15,0.999962,0.00238817,10,1535,0,-6846.79,1.11926,0.370267,-0.126859,-0.513683,-0.146501,0.0430257,-0.247588,0.669808,-1.14583,-1.37247,-0.444205,0.0360953,-0.376846,1.93782,0.313534,-0.0111561,0.207698,0.478786,-1.12187,-1.12979,2.51952,-0.392332,0.0753667,0.675481,-0.0703765,1.66254,-0.486487,-0.593922,0.423549,-1.52711,-0.44635,-0.648639,-0.572243,0.0925631,0.550247,1.2566,-0.787197,2.389,-0.612097,0.288905,0.197213,0.61117,0.431991,-0.27092,-1.37078,1.00306,-0.37747,0.433006,-0.874235,0.727199,0.0699601,-0.582973,-0.0779891,-0.374306,0.983232,1.43052,0.746623,-0.248319,-0.871236,-0.349992,-0.679502,0.645086,-0.97478,0.326487,-0.572129,-1.57434,-1.00421,-0.8299,1.81323,-0.266494,-0.591693,-2.15797,-0.803379,-1.00581,-0.506136,-1.34266,2.49944,0.539136,0.56631,-0.00695082,0.581042,-2.37547,0.511549,-0.219089,0.092964,0.817839,0.517135,1.52499,0.384038,0.51294,-1.09349,-0.112947,0.67225,-0.233564,-0.730035,0.295476,1.28657,1.63099,-0.762589,1.20417,-0.683797,0.634904,2.14224,1.70572,-0.403925,-0.103577,-1.04169,0.0408552,-0.0660817,-0.448229,-1.05619,1.25721,-1.22503,-0.705837,-0.28643,-1.01468,1.15005,1.62881,1.37126,-0.0661723,-0.23007,-0.749866,-1.12326,0.028281,-0.745461,0.311425,-0.405693,-0.320947,0.207591,-0.218737,1.18008,-1.08312,0.184899,1.25873,0.203192,0.908307,0.60007,1.10967,1.47539,1.0568,2.87951,1.46426,1.6432,1.61794,1.81743,0.599558,0.596742,2.53674,0.5207,0.697933,1.06756,0.770916,2.00451,0.40864,0.524199,1.07912,-0.316978,0.18598,-0.313606,-0.0654681,0.37858,0.767712,1.19905,-0.303701,2.02792,-0.114793,0.643892,-1.01507,-1.16688,-0.54512,-0.223411,-0.500002,1.05038,-0.0375797,-0.25506,-0.10847,0.0731075,-0.999022,-1.00433,1.44001,-0.510375,-0.197106,0.204855,-0.294726,0.865998,-0.57344,-0.645402,0.0361088,-1.27046,-0.546557,-0.682051,-0.630881,-0.185588,0.120972,0.594093,-0.774859,1.35258,-0.657575,-0.0540769,0.461233,0.0316344,-0.640569,0.810251,-0.0334854,0.461854,-0.337094,0.641655,0.23997,-0.159083,0.149548,-0.0315519,0.798135,1.0715,0.653527,0.0454479,-0.335261,-0.0166915,-0.218079,0.591471,-0.398544,0.396752,-0.152455,-0.764975,-0.416532,-0.309997,1.30541,0.0343399,-0.164412,-1.12167,-0.293788,-0.41751,-0.112123,-0.62338,1.72479,0.526717,0.543325,0.192965,0.552329,-1.2546,0.509857,0.0633122,0.25403,0.697052,0.513271,1.12924,0.431925,0.510707,-0.471096,0.128183,0.608073,0.0544657,-0.248963,0.377799,0.983526,1.19403,-0.268859,0.933169,-0.220704,0.585248,1.50648,1.2397,-0.0496538,0.13391,-0.439439,0.222182,0.156826,-0.0767312,-0.448298,0.965585,-0.551488,-0.234174,0.0221556,-0.422928,0.900092,1.19269,1.03529,0.15677,0.0566009,-0.261083,-1.14434,-1.11445,-1.13474,-1.13234,-1.11739,-1.12945,-1.08989,-1.15389,-1.11803,-1.08766
6924.76,0.989031,0.00238817,12,6143,0,-6851.17,0.0557756,0.224714,0.480159,0.26426,-0.411003,0.258567,-0.568205,0.829859,-1.33284,-1.01097,-0.200186,0.541361,0.388993,1.23065,1.24644,-0.227811,0.199771,0.307076,-0.31771,-0.607695,1.55466,-0.605218,-0.147084,0.758297,-0.25797,0.785111,-0.412079,-1.261,0.0018221,-1.40108,-0.898775,-0.248406,-0.695187,0.0589836,-0.428643,0.27211,-0.7522,1.14333,-0.806785,-0.385942,-0.417856,0.638889,0.275044,-0.355254,-1.55195,0.748812,-0.50931,0.168386,-1.17688,0.541214,-0.036463,-0.820859,-0.193019,-0.559425,0.721134,1.12326,0.558971,-0.389386,-1.06937,-0.548081,-0.870758,0.450354,-1.11283,0.0996534,-0.820076,-1.64896,-1.12106,-0.975218,1.57718,-0.361387,-0.705015,-2.21468,-0.922962,-1.25014,-0.626652,-1.43685,2.29481,0.261812,0.263394,-0.181588,0.324196,-2.49618,0.23351,-0.419859,0.0189308,0.585409,0.263061,1.23057,0.206895,0.322067,-1.18255,-0.287847,0.508659,-0.423163,-0.886933,0.0334205,1.02984,1.3977,-0.802269,1.08034,-0.838307,0.427292,1.82497,1.38695,-0.58122,-0.267729,-1.23772,-0.156411,-0.237031,-0.499429,-1.14569,0.961717,-1.37246,-0.874733,-0.418607,-1.17547,0.873691,1.34985,1.09586,-0.214448,-0.454827,-0.899219,0.298886,0.0188938,-1.01751,1.08014,-0.350412,-0.776055,0.294391,-0.54973,1.4659,-2.09075,0.35829,1.91237,0.204089,0.236957,-0.0726522,0.423377,0.748659,0.361688,2.23773,0.781188,0.945646,0.956225,1.09551,-0.107561,-0.0655028,1.8263,-0.150294,-0.0138906,0.371018,0.0969904,1.30489,-0.265328,-0.168011,0.386953,-1.02844,-0.499982,-0.981713,-0.799893,-0.31539,0.063043,0.527354,-0.973773,1.30994,-0.818132,-0.0335209,-1.67428,-1.40716,-0.734331,-0.118952,-0.245395,0.453064,0.466162,-0.757256,-0.402423,-0.313375,-0.83186,-1.07251,0.721947,-1.07045,-0.690264,0.0610747,-0.782284,0.0833263,-0.910172,-1.61466,-0.566693,-1.73091,-1.31406,-0.774347,-1.14511,-0.519257,-0.923919,-0.342392,-1.19242,0.380602,-1.23772,-0.888483,-0.242133,-0.644824,-1.40938,0.0605517,-0.743249,-0.310276,-1.16975,-0.0720805,-0.441152,-0.942294,-0.541174,-0.775266,0.0428685,0.299785,-0.0607354,-0.666631,-1.10106,-0.768019,-0.974174,-0.13013,-1.12883,-0.354189,-0.941794,-1.47136,-1.13409,-1.04091,0.589787,-0.648742,-0.868282,-1.83279,-1.00753,-1.21655,-0.818217,-1.33584,1.04827,-0.250587,-0.249577,-0.53387,-0.210731,-2.01264,-0.268669,-0.6861,-0.405761,-0.0438445,-0.249789,0.368342,-0.285673,-0.212091,-1.17337,-0.601758,-0.0928795,-0.68821,-0.984508,-0.396504,0.240095,0.47512,-0.930417,0.272359,-0.953441,-0.144864,0.748097,0.468249,-0.789191,-0.588905,-1.20862,-0.517786,-0.569293,-0.736936,-1.14983,0.196574,-1.29471,-0.976713,-0.6853,-1.16885,0.140335,0.444549,0.282274,-0.554864,-0.70844,-0.992357,0.279661,0.319294,0.292266,0.284224,0.304448,0.2885,0.326583,0.259384,0.305656,0.335018
6924.03,0.985513,0.00238817,10,2047,0,-6855.46,0.193382,0.458133,0.281114,0.265749,-0.244876,0.0735936,0.0490311,0.655791,-1.08327,-1.14495,-0.0988044,0.297439,0.0739686,2.23863,0.901627,0.0900451,0.56293,0.729008,-0.723153,-0.697606,2.55878,-0.361053,0.259998,0.859829,-0.0741192,1.59574,-0.433895,-0.724164,0.462256,-1.49318,-1.06073,-0.877461,-1.16677,-0.385174,0.0194226,0.747532,-1.09675,1.79796,-1.07397,-0.293507,0.0184215,0.649015,0.309601,-0.334446,-1.42539,0.659351,-0.44301,0.212109,-1.07755,0.526804,-0.10008,-0.801533,-0.23861,-0.594487,0.710385,1.14218,0.554343,-0.396498,-1.05529,-0.530484,-0.870349,0.47066,-1.07329,0.0914809,-0.747676,-1.73186,-1.14382,-0.961584,1.45484,-0.360089,-0.677818,-2.17133,-0.928665,-1.12209,-0.627402,-1.49215,2.22736,0.240685,0.271823,-0.17912,0.277936,-2.38875,0.288454,-0.417573,-0.0201329,0.605542,0.330825,1.31298,0.169588,0.242814,-1.25441,-0.347079,0.471037,-0.419126,-0.939712,0.0367272,0.949028,1.43367,-0.838115,0.992726,-0.798077,0.450196,1.81901,1.4527,-0.520873,-0.315902,-1.13971,-0.153133,-0.309591,-0.49995,-1.15964,0.978346,-1.35317,-0.799349,-0.407122,-1.16727,0.893673,1.30232,1.00937,-0.178328,-0.328879,-0.827054,-0.640485,0.0168681,-1.29095,-0.606093,-0.349912,-0.786013,-0.321359,-0.362381,0.400395,-1.33628,-0.588146,1.46194,0.202902,0.720364,0.416759,0.917015,1.24541,0.863178,2.74297,1.3124,1.44615,1.47069,1.60954,0.41027,0.434537,2.37929,0.354749,0.536322,0.872289,0.599021,1.81758,0.22341,0.349844,0.914621,-0.517384,0.026434,-0.461956,-0.322451,0.186354,0.59641,1.00406,-0.432403,1.80888,-0.297743,0.47347,-0.661365,-0.70182,-0.015764,0.244089,0.0975391,1.51711,0.64031,0.108082,0.418196,0.527108,-0.425206,-0.408453,1.72706,-0.187744,0.219536,0.612899,0.000424335,1.0955,-0.235513,-0.425869,0.352174,-0.93018,-0.646587,-0.5264,-0.716125,-0.203563,0.0617683,0.539256,-0.670207,1.22811,-0.655267,-0.143448,0.219358,-0.198639,-0.906681,0.44635,-0.269099,0.156084,-0.680923,0.360325,-0.0465319,-0.501785,-0.13644,-0.36741,0.479472,0.759712,0.378198,-0.238911,-0.66648,-0.325871,-0.546448,0.323887,-0.678157,0.077794,-0.466832,-1.10558,-0.723933,-0.605661,0.962633,-0.215282,-0.421492,-1.3908,-0.584296,-0.709834,-0.388772,-0.950004,1.46401,0.17463,0.194839,-0.0978299,0.198806,-1.53191,0.205633,-0.252589,0.00535496,0.411427,0.233132,0.870568,0.128487,0.176011,-0.795711,-0.206838,0.324132,-0.253597,-0.591466,0.0422581,0.634355,0.948893,-0.525528,0.662715,-0.499542,0.310605,1.19899,0.961243,-0.319633,-0.186603,-0.721269,-0.0809638,-0.182508,-0.306053,-0.734203,0.653383,-0.859808,-0.500368,-0.245807,-0.739154,0.598429,0.86365,0.673519,-0.0973157,-0.195026,-0.518349,-0.662261,-0.650709,-0.646388,-0.653744,-0.645906,-0.646598,-0.633731,-0.663026,-0.650406,-0.615825
6917.37,0.962369,0.00238817,11,3071,0,-6850.76,0.131328,0.238179,-0.626136,-1.06141,0.166424,0.229318,-0.620949,0.672177,-0.633738,-0.891328,-0.771903,1.03581,-0.184636,1.76026,0.752928,0.857371,0.118946,0.382203,-0.788603,-1.63364,2.97222,-0.120809,-0.531925,0.785123,0.700418,2.19035,0.0124818,-0.303495,0.716657,-1.56128,0.613649,-0.814209,-0.164374,0.981601,0.0428159,0.608174,-0.971452,2.33849,-0.625293,0.795533,-0.129035,0.637604,0.273904,-0.272847,-1.44874,0.767207,-0.450231,0.284769,-1.0706,0.567112,-0.0466094,-0.750509,-0.223585,-0.503793,0.827639,1.19611,0.606497,-0.382416,-1.00931,-0.44353,-0.843207,0.482369,-1.04496,0.105893,-0.665356,-1.65355,-1.14655,-0.920179,1.64115,-0.307276,-0.74245,-2.09991,-0.94556,-1.17066,-0.606806,-1.39098,2.33626,0.289671,0.393777,-0.121249,0.398236,-2.44751,0.232958,-0.34895,0.00726919,0.700489,0.250426,1.38522,0.21373,0.332194,-1.17418,-0.170089,0.547206,-0.31227,-0.884855,0.111609,1.08459,1.49995,-0.764467,1.1038,-0.807101,0.531811,1.86893,1.49697,-0.514641,-0.233844,-1.14918,-0.14074,-0.185417,-0.524746,-1.13425,1.03791,-1.36596,-0.834082,-0.439313,-1.13267,0.921565,1.38111,1.15272,-0.147397,-0.431344,-0.861944,0.530421,0.0216282,-0.908157,-0.249444,-0.662727,-0.794698,-0.876396,-0.920917,1.28354,-1.63948,-0.649177,0.852726,0.202724,-0.335697,-0.609333,-0.12345,0.207068,-0.173777,1.65876,0.240675,0.416933,0.393993,0.550607,-0.627212,-0.641664,1.31997,-0.684506,-0.528119,-0.162489,-0.44996,0.74695,-0.817449,-0.686472,-0.135142,-1.56461,-1.00459,-1.55075,-1.3377,-0.844187,-0.45624,-0.0287566,-1.49494,0.776174,-1.34362,-0.564866,-1.04693,-1.22008,-1.1398,0.0752987,-0.745057,0.562255,-0.114848,-0.0446441,-0.540996,-0.364041,-1.15103,-1.71904,1.37691,-0.702153,-0.978496,-0.0932073,-0.150144,0.85135,-0.612559,-0.824951,-0.139229,-1.6704,-0.208468,-1.16824,-0.731437,0.0388609,-0.592169,-0.212148,-1.27394,0.950928,-1.04126,-0.0862101,0.0456075,-0.303003,-1.05276,0.360139,-0.416104,0.0525353,-0.811654,0.232558,-0.158753,-0.607562,-0.271594,-0.450255,0.398671,0.633613,0.25767,-0.372865,-0.772574,-0.411832,-0.666667,0.178526,-0.795308,-0.0615167,-0.553269,-1.18334,-0.860079,-0.715745,0.917369,-0.324955,-0.602424,-1.46795,-0.731928,-0.87545,-0.515937,-1.01593,1.36057,0.0556607,0.122039,-0.206344,0.124882,-1.68958,0.0195001,-0.351527,-0.1244,0.3176,0.0306377,0.754185,0.00724043,0.0827732,-0.877697,-0.237484,0.219866,-0.328139,-0.693222,-0.0578721,0.562503,0.827337,-0.616462,0.574752,-0.643646,0.21005,1.0626,0.825441,-0.457172,-0.278135,-0.86176,-0.218771,-0.247258,-0.463615,-0.852238,0.532738,-0.999975,-0.660849,-0.409142,-0.85123,0.458559,0.751566,0.605945,-0.223016,-0.404062,-0.678614,0.510779,0.525026,0.516087,0.513233,0.511466,0.510503,0.558182,0.494962,0.516381,0.548864
