# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim2_re_model
# start_datetime = 2022-03-09 16:04:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc1f13672a.json
# init = 2 (Default)
# random
#   seed = 539465750
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2_re-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim2_re-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim2_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,s_HJ,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10
# Adaptation terminated
# Step size = 0.00223438
# Diagonal elements of inverse mass matrix:
# 0.194664, 0.11725, 0.116044, 0.122078, 0.0187929, 0.0100496, 0.209236, 0.0180684, 0.191714, 0.102874, 0.111463, 0.167712, 0.110205, 0.220433, 0.202935, 0.147766, 0.0994159, 0.10194, 0.0992259, 0.144036, 0.180377, 0.0876919, 0.174135, 0.137694, 0.100177, 0.137246, 0.0920591, 0.155262, 0.0844973, 0.136066, 0.162236, 0.193427, 0.117558, 0.169232, 0.189088, 0.203317, 0.145237, 0.170334, 0.114719, 0.105788, 0.188808, 0.00636306, 0.0158094, 0.0141973, 0.0255673, 0.0203376, 0.0146364, 0.0154395, 0.0196946, 0.0184571, 0.0144195, 0.0165818, 0.0142676, 0.0153163, 0.0208558, 0.0278286, 0.0186269, 0.0146904, 0.019536, 0.015148, 0.0168015, 0.0173419, 0.0193401, 0.0151798, 0.0157799, 0.0300094, 0.0198771, 0.0180524, 0.0375586, 0.0143876, 0.0164067, 0.0403848, 0.0177122, 0.0209979, 0.015527, 0.0248376, 0.0579434, 0.0156396, 0.0163687, 0.0142172, 0.0163812, 0.0479405, 0.0159347, 0.0144284, 0.0148292, 0.0194305, 0.0160749, 0.0301464, 0.0152815, 0.0158373, 0.021029, 0.014187, 0.0174585, 0.0141335, 0.0176408, 0.0148925, 0.0248395, 0.0340692, 0.0172123, 0.025127, 0.0164654, 0.0169166, 0.0436449, 0.0339166, 0.0148963, 0.0145397, 0.0202297, 0.0147492, 0.013936, 0.0151674, 0.0202973, 0.0243899, 0.0235089, 0.0174492, 0.0146171, 0.0205759, 0.0231346, 0.0313644, 0.0258122, 0.0139629, 0.0143233, 0.0168743, 0.182887, 0.0875656, 0.229699, 0.201105, 0.218399, 0.224385, 0.191679, 0.223057, 0.309351, 0.305813, 0.217778, 0.281512, 8.22446e-05
6908.95,0.957555,0.00223438,9,511,0,-6849.35,0.0590852,0.24781,0.16858,-0.460605,-0.248857,0.37326,-0.982839,0.58098,-1.95901,-1.47501,-0.772314,1.201,0.446844,1.25807,1.84158,-0.0777956,-0.0788789,0.0985564,-0.460366,-1.56082,2.51342,-0.746822,-0.594818,1.15686,0.0561326,1.469,-0.295912,-1.63702,0.15361,-1.97406,0.00774251,0.236452,-0.0332476,1.28131,-0.288928,0.520679,-0.515517,2.25455,-0.497932,0.380424,-0.260881,0.574026,0.544425,-0.0592649,-1.38712,1.12804,-0.195975,0.58001,-0.940403,0.949227,0.234203,-0.547997,0.0289962,-0.275651,1.08506,1.63059,0.925188,-0.25726,-0.868428,-0.280081,-0.622443,0.813721,-0.916733,0.370336,-0.491662,-1.57446,-0.915379,-0.753595,2.06068,-0.133161,-0.484588,-2.10273,-0.7991,-1.03098,-0.396231,-1.34587,2.7506,0.652816,0.708653,0.147102,0.661059,-2.44498,0.663589,-0.131936,0.252771,1.05611,0.599897,1.75591,0.515055,0.534944,-1.0911,-0.0439754,0.749115,-0.130219,-0.724731,0.317878,1.4188,1.95341,-0.661759,1.46255,-0.652916,0.726776,2.28079,1.90279,-0.307221,0.0508597,-0.946922,0.168877,0.0317894,-0.352534,-0.996251,1.36836,-1.21976,-0.698649,-0.15208,-1.02296,1.34032,1.81755,1.48979,0.101025,-0.12848,-0.681824,0.335532,0.0244647,-0.672017,-0.0871908,-0.381896,0.288955,0.208008,-0.273361,1.6187,-1.09238,0.624152,1.41682,0.207254,-0.176588,-0.461297,0.0566058,0.377307,-0.00188663,1.83253,0.414888,0.573513,0.581144,0.714647,-0.457985,-0.492751,1.48265,-0.523019,-0.365614,-0.00319766,-0.297973,0.946826,-0.644449,-0.504721,0.0203913,-1.36782,-0.864022,-1.34962,-1.17173,-0.710284,-0.281601,0.117792,-1.31185,0.944514,-1.17997,-0.406048,-2.12098,-1.83979,-1.43154,-0.285083,-0.723231,-0.251925,0.0870814,-1.02804,-1.02867,-0.925579,-1.2503,-1.88964,0.477409,-1.41673,-1.32842,-0.310729,-0.950227,-0.129382,-1.15476,-1.93391,-0.893595,-2.12973,-0.97834,-0.845465,-1.00215,-0.238425,-1.1507,-0.680335,-1.28234,0.327008,-1.27213,-0.76182,0.0516338,-0.2949,-1.05712,0.386643,-0.373375,0.0720605,-0.800697,0.284001,-0.126442,-0.575445,-0.244236,-0.419112,0.36197,0.675118,0.270201,-0.408555,-0.759381,-0.421654,-0.618179,0.206216,-0.78711,-0.0482982,-0.543108,-1.16466,-0.786332,-0.693464,0.922005,-0.337319,-0.539047,-1.4679,-0.719585,-0.852692,-0.488328,-1.03344,1.31804,0.113853,0.145905,-0.17644,0.118584,-1.66436,0.120037,-0.336616,-0.115783,0.345356,0.0834758,0.747056,0.0347742,0.0461915,-0.8872,-0.286124,0.169131,-0.33563,-0.676895,-0.0784103,0.553547,0.860427,-0.640748,0.578659,-0.635672,0.156308,1.04835,0.831369,-0.437234,-0.231686,-0.804439,-0.163941,-0.242633,-0.463245,-0.832755,0.524592,-0.961058,-0.661924,-0.348178,-0.848089,0.508495,0.782442,0.594296,-0.20289,-0.334632,-0.652266,0.319091,0.333399,0.326189,0.342601,0.340621,0.328844,0.375133,0.308807,0.350802,0.370194
6907.48,0.964522,0.00223438,10,2047,0,-6828.23,-0.0744872,0.273104,0.131517,-0.534456,-0.223889,0.405183,-1.09188,0.573867,-1.99523,-1.55176,-1.00542,1.23938,0.379023,1.13654,1.88376,-0.0970571,-0.256661,-0.0374663,-0.534097,-1.66497,2.54692,-0.7815,-0.745027,1.17814,0.134357,1.48058,-0.273494,-1.78556,0.0981291,-2.07949,0.172984,0.240068,0.0954025,1.53173,-0.397171,0.483063,-0.545694,2.27505,-0.443161,0.399906,-0.215823,0.579929,0.604259,-0.0880471,-1.40561,1.19491,-0.246469,0.531255,-0.924292,0.899198,0.164934,-0.592727,0.0583228,-0.345265,1.07581,1.55148,0.944573,-0.184687,-0.874402,-0.312958,-0.590625,0.824413,-0.854273,0.378532,-0.563331,-1.67093,-0.938921,-0.812048,1.98042,-0.165415,-0.51716,-2.11509,-0.761446,-1.02723,-0.347958,-1.30919,2.82384,0.607099,0.693579,0.0635951,0.681602,-2.40462,0.581348,-0.124653,0.234298,1.07401,0.616672,1.69313,0.474581,0.629272,-1.02799,-0.0724841,0.754845,-0.171181,-0.70438,0.401455,1.41664,1.91154,-0.609243,1.3985,-0.601415,0.74412,2.39268,1.91298,-0.348043,0.00609914,-0.941665,0.10494,0.0673987,-0.321803,-0.974451,1.40367,-1.20968,-0.627011,-0.158263,-1.03386,1.25369,1.75279,1.5015,0.119946,-0.154119,-0.622254,0.5069,0.0265194,-0.67283,0.186939,-0.564578,0.064009,0.179083,-0.0441872,1.41248,-0.981908,0.920698,1.18379,0.206212,-0.356944,-0.680947,-0.199397,0.137798,-0.23352,1.63566,0.206575,0.354538,0.33975,0.492903,-0.693678,-0.659987,1.26504,-0.74537,-0.592906,-0.217533,-0.506391,0.716952,-0.868146,-0.770436,-0.222336,-1.60883,-1.0681,-1.58603,-1.36803,-0.885099,-0.508127,-0.0668414,-1.54055,0.729651,-1.37225,-0.651278,-2.23688,-1.98239,-1.66886,-0.380646,-0.874376,-0.439662,-0.010855,-1.14758,-1.23917,-1.11339,-1.39839,-2.04736,0.369706,-1.54036,-1.51943,-0.415788,-1.01478,-0.24223,-1.24883,-2.11656,-1.03557,-2.28524,-0.992615,-0.954118,-1.03714,-0.212875,-1.31981,-0.814671,-1.40504,0.213692,-1.3462,-0.862392,0.134604,-0.266884,-1.03098,0.477137,-0.358758,0.0922672,-0.751847,0.305648,-0.120173,-0.559563,-0.182,-0.416052,0.408067,0.683927,0.331962,-0.322928,-0.722914,-0.397317,-0.558343,0.262277,-0.71124,0.00369864,-0.542515,-1.18484,-0.76033,-0.686753,0.932679,-0.311752,-0.515739,-1.44242,-0.657408,-0.811546,-0.417614,-0.975061,1.4218,0.136251,0.186403,-0.178943,0.179457,-1.61033,0.121317,-0.288113,-0.079947,0.407027,0.141803,0.76607,0.0593999,0.14911,-0.811981,-0.257859,0.221933,-0.315096,-0.624314,0.0169924,0.605728,0.892734,-0.569141,0.595209,-0.564601,0.215713,1.17176,0.893568,-0.417663,-0.212286,-0.761922,-0.154966,-0.176737,-0.402446,-0.780935,0.598204,-0.917353,-0.579445,-0.307604,-0.815388,0.511229,0.800672,0.654942,-0.146263,-0.305201,-0.576686,0.489057,0.511858,0.491928,0.508598,0.511649,0.505728,0.544358,0.48086,0.531316,0.538293
6909.39,0.99999,0.00223438,11,2559,0,-6835.38,-0.267715,0.402367,0.362144,0.122991,-0.303652,0.331241,-0.615291,0.681674,-1.80184,-1.44421,-0.710359,0.690512,0.199819,1.0635,1.36161,-0.298523,-0.138212,0.0281752,-0.553623,-1.24939,1.98549,-0.804346,-0.483544,0.884418,-0.141248,1.07109,-0.434707,-1.55165,-0.0117578,-1.79175,-0.826348,-0.370318,-0.756016,0.289658,-0.776138,0.00287616,-1.11149,1.28453,-1.05525,-0.38944,0.154212,0.591607,0.557374,-0.0747124,-1.34287,1.07328,-0.306524,0.494975,-0.936614,0.908496,0.162542,-0.621601,0.027004,-0.28548,1.0174,1.47786,0.887401,-0.175765,-0.829327,-0.250209,-0.685549,0.755697,-0.867738,0.432211,-0.551912,-1.63373,-1.00656,-0.848684,1.98397,-0.208935,-0.613151,-2.07042,-0.739103,-1.01184,-0.462877,-1.27961,2.66079,0.645266,0.62843,0.0359631,0.60618,-2.37692,0.533641,-0.0998129,0.183712,0.954916,0.610068,1.68981,0.467807,0.600148,-1.08594,-0.0898265,0.776369,-0.160888,-0.702755,0.368329,1.35157,1.8452,-0.67785,1.38231,-0.581387,0.651792,2.27133,1.86594,-0.385024,-0.00538041,-0.948666,0.0855298,0.085671,-0.313054,-0.967525,1.35648,-1.23451,-0.604479,-0.210316,-0.947144,1.24466,1.76567,1.47317,0.032066,-0.12768,-0.649018,-0.134828,0.024751,0.386816,-0.158983,1.18549,-0.0689047,0.693482,0.413084,1.5226,-0.685347,0.361245,1.14183,0.20421,-0.0834716,-0.405982,0.103852,0.423835,0.0370719,1.91645,0.473052,0.647173,0.642326,0.792862,-0.38993,-0.374936,1.53296,-0.504878,-0.326094,0.0552687,-0.223276,0.996241,-0.596517,-0.485113,0.0601511,-1.33879,-0.818101,-1.26189,-1.11655,-0.648389,-0.235518,0.208916,-1.31217,0.986399,-1.12538,-0.349859,-1.84356,-1.59977,-1.09952,-0.144587,-0.47908,0.109666,0.312884,-0.818786,-0.709506,-0.596085,-0.992681,-1.46697,0.738165,-1.16359,-0.94491,-0.0124063,-0.711576,0.114843,-0.911619,-1.67301,-0.623306,-1.83668,-1.17859,-0.867727,-1.13065,-0.417839,-1.14436,-0.61333,-1.37296,0.260339,-1.33462,-0.880762,0.483958,0.110012,-0.640239,0.789169,-0.0271294,0.447043,-0.399895,0.691684,0.250373,-0.213531,0.170188,-0.0146797,0.756115,1.02852,0.679204,0.0502283,-0.336424,0.00618698,-0.251363,0.601287,-0.359148,0.409911,-0.172303,-0.812312,-0.441275,-0.347875,1.32794,0.0306045,-0.208532,-1.07066,-0.283046,-0.4444,-0.119629,-0.602812,1.72835,0.535955,0.525995,0.175488,0.512832,-1.25199,0.469917,0.095162,0.262897,0.719147,0.515132,1.15392,0.430969,0.509263,-0.488236,0.10107,0.613517,0.0590297,-0.261542,0.372118,0.953811,1.24585,-0.246809,0.971993,-0.18974,0.539816,1.49795,1.25812,-0.0735705,0.151029,-0.407025,0.204812,0.204896,-0.0309928,-0.418182,0.956713,-0.57613,-0.203402,0.0297875,-0.406125,0.890564,1.1988,1.02575,0.173182,0.0786758,-0.229751,-0.125254,-0.138763,-0.105486,-0.136533,-0.117663,-0.124603,-0.0971418,-0.151791,-0.125886,-0.106566
6910.62,0.968717,0.00223438,10,2047,0,-6840.76,-0.447276,0.463029,0.515133,-0.0948367,-0.378775,0.219476,0.106315,0.580964,-2.18472,-1.80035,-0.66273,0.250671,0.105286,1.47587,1.20776,-0.604076,-0.0451225,0.134435,-0.906142,-1.31926,2.12788,-0.980185,-0.313445,0.848061,-0.557373,1.08038,-0.790856,-1.81937,-0.0988639,-2.1142,-0.717978,0.0648771,-0.548139,0.511766,0.0675686,1.0337,-0.525946,2.27676,-0.594609,-0.00872639,0.446324,0.560856,0.591276,-0.133367,-1.48255,1.05035,-0.271156,0.553739,-1.01742,0.828162,0.168022,-0.566373,0.000668207,-0.430614,1.16342,1.57092,0.953386,-0.255883,-0.849353,-0.232591,-0.7361,0.790493,-0.987583,0.357743,-0.498239,-1.65664,-0.892204,-0.812192,2.03407,-0.141672,-0.475262,-2.24958,-0.806746,-1.11677,-0.426899,-1.39281,2.8255,0.556332,0.682587,0.0698336,0.677714,-2.47529,0.612098,-0.18351,0.279402,0.949956,0.602043,1.75092,0.442157,0.589912,-1.12941,-0.128054,0.826348,-0.212049,-0.767698,0.375531,1.38926,1.95288,-0.610346,1.42174,-0.644547,0.774576,2.38977,1.87821,-0.292795,-0.0344058,-1.01768,0.0790003,-0.00898116,-0.249834,-1.03837,1.42734,-1.34296,-0.617454,-0.224202,-1.10527,1.36018,1.81798,1.50311,0.0858065,-0.113752,-0.734158,-0.799637,0.0214138,-0.522075,-0.777927,-0.461442,0.0987683,0.20182,-0.522126,1.2152,-1.02015,-0.0638959,1.42498,0.206502,0.299249,0.00986784,0.48903,0.808783,0.465404,2.29046,0.855561,1.04437,1.03302,1.18363,-0.0141749,-0.0312791,1.89661,-0.0788192,0.0650491,0.439778,0.147959,1.39607,-0.203733,-0.0999666,0.46406,-0.938257,-0.416429,-0.902969,-0.749854,-0.24554,0.142821,0.596087,-0.872421,1.39199,-0.727127,0.0144808,-1.16293,-0.939625,-0.278707,0.251946,0.167483,0.96374,0.807979,-0.244631,0.0801008,0.184417,-0.42012,-0.660128,1.34254,-0.463137,-0.0757847,0.599008,-0.217498,0.733978,-0.353143,-0.950672,0.048879,-1.12196,-0.310804,0.144007,-0.212133,0.403633,0.14557,0.70686,-0.19924,1.42903,-0.239131,0.101246,0.777945,0.371525,-0.385176,1.03542,0.294245,0.756892,-0.1243,0.910804,0.540561,0.12867,0.446699,0.204812,1.09884,1.32738,0.981037,0.302811,-0.0300404,0.315874,0.0334778,0.889678,-0.107568,0.646967,0.166884,-0.482814,-0.0540737,-0.00919857,1.58715,0.366867,0.179771,-0.815367,-0.00614418,-0.180026,0.206896,-0.334842,2.03103,0.758347,0.829158,0.485491,0.826425,-0.941957,0.789623,0.343402,0.603029,0.979113,0.783984,1.42834,0.694311,0.77718,-0.187111,0.374505,0.909787,0.327395,0.0157561,0.656943,1.2255,1.54161,0.104008,1.24371,0.0848259,0.880751,1.78664,1.49973,0.282109,0.427028,-0.124451,0.490632,0.441287,0.306204,-0.136051,1.24686,-0.306885,0.100021,0.320579,-0.173571,1.20919,1.46595,1.28935,0.49445,0.382526,0.034567,-0.810817,-0.816295,-0.809518,-0.797522,-0.795315,-0.810818,-0.773615,-0.821482,-0.801005,-0.769123
6906.39,0.982648,0.00223438,10,1535,0,-6847.44,-0.32154,0.419587,0.477984,-0.0897323,-0.376405,0.223656,0.0964088,0.559849,-2.26927,-1.89109,-0.726996,0.349612,0.102676,1.57732,1.32871,-0.656788,-0.0859579,0.129646,-0.958731,-1.30041,2.27361,-1.05529,-0.281603,0.880778,-0.506435,1.09754,-0.832977,-1.88077,-0.155188,-2.18392,-0.808138,-0.0293329,-0.528,0.458359,0.0194219,0.934748,-0.601047,2.24004,-0.697083,-0.0881946,0.197564,0.563183,0.564945,-0.134388,-1.41447,1.05058,-0.272366,0.510334,-1.02414,0.889861,0.175766,-0.630655,-0.0453323,-0.357405,1.11243,1.61125,0.959954,-0.259331,-0.965741,-0.2592,-0.738657,0.781665,-0.972938,0.478673,-0.557627,-1.67055,-0.964501,-0.836182,1.91933,-0.177337,-0.552016,-2.16763,-0.861745,-1.07492,-0.436866,-1.40053,2.86637,0.599481,0.745185,0.107161,0.673046,-2.44241,0.584369,-0.169552,0.308864,0.956226,0.623132,1.78758,0.465266,0.548537,-1.11779,-0.109925,0.864743,-0.185238,-0.751628,0.321835,1.43136,1.92599,-0.695,1.45848,-0.67194,0.758901,2.29199,1.92871,-0.33116,-0.0601281,-1.08533,0.112688,0.0212768,-0.301082,-1.04064,1.40732,-1.32791,-0.607567,-0.27106,-0.978094,1.35381,1.76686,1.57723,0.064985,-0.143685,-0.731749,-0.637847,0.0184963,-0.413869,-0.844687,-0.344178,-0.125793,0.0459345,-0.489974,1.29981,-1.37402,-0.0635293,1.68553,0.20627,0.378042,0.0747379,0.551387,0.927885,0.537896,2.40249,0.969963,1.10314,1.0943,1.26101,0.0510155,0.0923437,2.02001,-0.0123627,0.184379,0.525843,0.270618,1.46894,-0.126893,-0.00548394,0.52223,-0.843587,-0.327988,-0.827436,-0.600545,-0.164641,0.254214,0.65931,-0.770499,1.4578,-0.64024,0.0993677,-1.17404,-0.962314,-0.3106,0.292139,0.153892,0.97947,0.840286,-0.271294,0.0482853,0.168991,-0.440336,-0.631624,1.36929,-0.494395,-0.0612463,0.589512,-0.187118,0.710868,-0.369933,-0.956539,0.0095271,-1.12626,-0.356027,0.0799868,-0.199192,0.353021,0.107282,0.619727,-0.240087,1.35049,-0.293853,0.0470331,0.515732,0.121879,-0.599041,0.789234,0.0441725,0.484975,-0.379216,0.698719,0.296553,-0.157609,0.172034,-0.00372017,0.824066,1.10499,0.738194,0.0515138,-0.346325,0.0515872,-0.218434,0.637785,-0.350377,0.467145,-0.116481,-0.743262,-0.345626,-0.273359,1.2785,0.0976914,-0.113322,-1.02321,-0.287755,-0.40781,-0.048471,-0.591191,1.81186,0.535182,0.61724,0.257916,0.576612,-1.17796,0.526671,0.102075,0.371511,0.736094,0.548501,1.2043,0.459594,0.506491,-0.431953,0.135656,0.684573,0.0932415,-0.22574,0.378816,1.00368,1.28225,-0.193848,1.01896,-0.180861,0.624964,1.48838,1.28378,0.0110607,0.163701,-0.413673,0.261028,0.209547,0.028,-0.388509,0.99014,-0.55029,-0.144607,0.044908,-0.353281,0.960005,1.19263,1.08583,0.234163,0.116643,-0.214544,-0.645502,-0.65347,-0.644213,-0.640174,-0.636997,-0.64691,-0.613805,-0.663261,-0.639022,-0.606671
6908.03,0.986118,0.00223438,11,2559,0,-6841.79,-0.369323,0.168209,0.178782,-0.292942,-0.248012,0.135143,0.315391,0.796854,-1.03297,-0.993032,-0.208602,0.353924,0.0554702,1.64671,0.801764,0.0147378,0.264493,0.458849,-0.555723,-0.744545,1.80626,-0.560233,-0.200332,0.512102,-0.333088,1.05708,-0.539259,-0.989685,0.0699532,-1.49283,-0.538599,-0.372429,-0.569177,0.136941,0.113098,0.760561,-0.652191,1.70436,-0.639707,0.00843117,0.0416628,0.562736,0.514471,-0.102566,-1.40105,1.13037,-0.203725,0.592255,-0.972111,0.839869,0.115404,-0.589351,-0.0194523,-0.375473,1.06057,1.58391,0.931561,-0.191965,-0.932679,-0.210913,-0.717397,0.722355,-0.918089,0.369807,-0.528677,-1.67603,-1.07746,-0.820188,2.00638,-0.214195,-0.574097,-2.18395,-0.843292,-1.09777,-0.427277,-1.37629,2.85458,0.556306,0.579958,0.0753436,0.635434,-2.43408,0.604001,-0.143404,0.223802,0.92524,0.590084,1.72768,0.420836,0.588057,-1.12387,-0.0521039,0.71516,-0.177276,-0.804152,0.366568,1.43793,1.94888,-0.663795,1.44854,-0.659582,0.796879,2.38458,1.91637,-0.377537,-0.0423985,-1.01698,0.0772209,-0.10266,-0.340633,-1.1179,1.33417,-1.2271,-0.740277,-0.26951,-1.06256,1.31562,1.82457,1.5125,0.00691147,-0.237684,-0.654018,-0.308837,0.0261516,-0.0931719,0.0382454,0.490004,-0.836037,0.151483,-0.639608,0.778321,-1.37086,-0.126954,1.35446,0.200475,0.212541,-0.082764,0.414739,0.75059,0.334671,2.25059,0.774006,0.942579,0.91298,1.09817,-0.0816291,-0.103269,1.86541,-0.131491,-0.0126938,0.375666,0.0457246,1.33915,-0.260025,-0.176888,0.390884,-1.006,-0.498822,-0.982781,-0.806113,-0.307852,0.0621543,0.507356,-0.969522,1.31627,-0.838321,-0.0591335,-0.507733,-0.47591,0.149166,0.597416,0.359593,1.62758,0.95428,0.327135,0.526153,0.681026,-0.127439,-0.277902,1.75472,-0.131033,0.155756,0.723462,0.0499685,1.15773,-0.114319,-0.473243,0.371133,-0.87418,-0.113794,0.0186194,-0.13816,0.424513,0.405514,0.921447,-0.20431,1.67352,-0.194362,0.322109,0.331174,-0.0160545,-0.746759,0.677765,-0.0729805,0.374946,-0.505379,0.514287,0.106605,-0.289986,0.0307163,-0.169629,0.638484,0.932983,0.565885,-0.066363,-0.483189,-0.0770257,-0.362042,0.448158,-0.474979,0.249767,-0.255843,-0.901499,-0.56466,-0.419886,1.17073,-0.0788723,-0.281402,-1.18732,-0.432888,-0.57609,-0.198781,-0.732822,1.64804,0.354716,0.368026,0.0840613,0.399244,-1.32808,0.381556,-0.0390359,0.167604,0.562328,0.373724,1.01389,0.278482,0.372584,-0.590779,0.0123421,0.444109,-0.0580967,-0.410863,0.247944,0.850838,1.13837,-0.331878,0.856808,-0.329507,0.490095,1.38355,1.12007,-0.170791,0.0178036,-0.53063,0.0851178,-0.0161075,-0.150023,-0.587417,0.792449,-0.648871,-0.374917,-0.11,-0.556278,0.782009,1.06841,0.892799,0.0455521,-0.0920906,-0.326376,-0.311274,-0.307837,-0.296023,-0.330701,-0.304875,-0.325564,-0.288483,-0.344687,-0.312157,-0.273416
