# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_model
# start_datetime = 2022-02-24 12:44:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpEdkaY0/standata-53604ddc60b2.json
# init = 2 (Default)
# random
#   seed = 1306202872
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,l,s_HJ.1,s_HJ.2,s_HJ.3,s_HJ.4,s_HJ.5,s_HJ.6,s_HJ.7,s_HJ.8,s_HJ.9,s_HJ.10,s_HJ.11,s_HJ.12,s_HJ.13,s_HJ.14,s_HJ.15,s_HJ.16,s_HJ.17,s_HJ.18,s_HJ.19,s_HJ.20,s_HJ.21,s_HJ.22,s_HJ.23,s_HJ.24,s_HJ.25,s_HJ.26,s_HJ.27,s_HJ.28,s_HJ.29,s_HJ.30,s_HJ.31,s_HJ.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00223363
# Diagonal elements of inverse mass matrix:
# 0.180321, 0.115298, 0.104022, 0.117738, 0.020868, 0.00855757, 0.178244, 0.017042, 0.225512, 0.21614, 0.202036, 0.207186, 0.231256, 0.219425, 0.213805, 0.213137, 0.200886, 0.21922, 0.19896, 0.250668, 0.209341, 0.220612, 0.21252, 0.223513, 0.242258, 0.24165, 0.220075, 0.218129, 0.221447, 0.235411, 0.203622, 0.232444, 0.229315, 0.274566, 0.207691, 0.225572, 0.21974, 0.204646, 0.225151, 0.295851, 0.200438, 0.00568649, 0.201798, 0.202394, 0.202282, 0.201895, 0.202575, 0.201955, 0.202639, 0.202032, 0.202325, 0.20185, 0.20199, 0.202274, 0.201917, 0.202428, 0.202475, 0.201933, 0.202685, 0.202046, 0.202506, 0.202503, 0.202463, 0.202366, 0.202445, 0.202476, 0.202726, 0.2025, 0.202614, 0.202339, 0.201357, 0.202501, 0.201931, 0.202296, 0.202271, 0.202694, 0.202127, 0.202541, 0.201926, 0.202337, 0.202711, 0.202274, 0.20267, 0.203298, 0.202314, 0.201903, 0.202465, 0.202095, 0.201435, 0.202423, 0.201838, 0.201904, 0.202156, 0.202324, 0.202925, 0.20176, 0.202223, 0.202117, 0.202069, 0.202262, 0.203002, 0.202535, 0.202143, 0.202143, 0.201787, 0.202177, 0.202705, 0.202511, 0.201875, 0.203097, 0.202206, 0.202637, 0.202049, 0.202352, 0.202198, 0.202717, 0.201983, 0.202618, 0.202153, 0.202808, 0.201515, 0.202694, 0.0301811, 0.00271025, 0.00646525, 0.00243404, 0.0030901, 0.00341492, 0.00285825, 0.00240503, 0.0050842, 0.0025542, 0.00323339, 0.00262911, 0.0026522, 0.002696, 0.00231097, 0.00215598, 0.00261341, 0.00257476, 0.00267177, 0.00297752, 0.00239326, 0.00261591, 0.00463604, 0.00276453, 0.00239724, 0.00282597, 0.00251251, 0.00301127, 0.00246344, 0.00251157, 0.00249143, 0.00254401, 0.00274371
6486.33,0.956877,0.00223363,11,2047,0,-6401.92,0.0923212,0.0412357,-0.183403,-0.427139,-0.0775258,0.110037,-0.345903,0.630397,0.489104,-0.125057,0.184296,-1.14795,-0.598788,1.12556,-0.944797,0.0928945,0.522335,0.706634,-0.624875,0.562745,-0.611745,-0.448711,-0.21299,-0.730484,-0.817376,-0.370248,-0.836025,0.245403,-0.378113,-0.56519,-0.974772,-1.22272,-1.02899,-1.4148,0.704611,0.533178,-0.692459,-0.18116,-0.55356,-0.686609,0.101843,0.546613,0.402245,0.0577944,-0.664057,0.707881,-0.0721894,0.392789,-0.439877,0.590896,0.225907,-0.244268,0.104946,-0.093928,0.692309,0.904224,0.618169,-0.00935898,-0.380162,-0.0421627,-0.302057,0.568983,-0.420663,0.34783,-0.223126,-0.845834,-0.481967,-0.30242,1.18763,0.0211053,-0.195011,-1.18276,-0.357113,-0.516554,-0.166747,-0.681944,1.61588,0.421257,0.496134,0.161747,0.465828,-1.27066,0.415885,0.0411468,0.276752,0.608366,0.468641,1.04201,0.389457,0.444378,-0.51855,0.0617832,0.511614,0.0195638,-0.332333,0.339453,0.90221,1.15046,-0.247229,0.887925,-0.224191,0.5191,1.36951,1.17393,-0.0509511,0.0701168,-0.46314,0.182485,0.109604,-0.0254037,-0.497619,0.8319,-0.684854,-0.265035,-0.0197545,-0.541632,0.793143,1.10823,0.891346,0.145363,0.0197695,-0.219164,3.64569,0.750845,0.0546827,0.485161,0.15315,0.0493818,0.112766,0.28755,0.0606918,0.188973,0.082532,0.307167,0.989664,0.351528,0.24131,0.374085,0.169657,0.585502,0.325865,0.115603,0.194593,0.222339,0.0494721,0.216052,0.466224,0.366059,0.284884,0.227561,0.521919,0.170606,0.192343,0.382307,0.146246,1.07633,0.375841,0.578035,-0.780108,0.00283179,1.31074,-0.42951,0.5816,0.976507,0.944292,-0.196602,1.19958,-0.462789,-0.230008,-0.231626,-0.534803,-0.899323,-0.149348,-0.611566,0.423136,-0.17092,-0.404042,-1.24002,-1.5462,-1.46759,-1.44491,0.500476,0.516779,-0.766414,-0.32774,-0.578592,-0.748371
6480.87,0.988644,0.00223363,11,2047,0,-6406.11,0.180975,0.790611,0.375901,-0.292657,-0.188304,-0.0474653,-0.124673,0.585072,0.29472,-0.110928,-0.0308217,-1.26218,-0.735077,0.666103,-0.957577,-0.192077,0.297367,0.454434,-0.848059,0.68566,-0.524548,-0.175428,-0.212411,-0.387886,-0.692065,-0.376089,-0.563582,0.268081,-0.0917201,-0.189147,-0.527002,-1.08715,-0.677863,-0.358351,1.32696,1.34959,0.0801638,0.399807,0.166577,0.395073,-0.36991,0.639478,-0.0335493,-0.384953,-1.13352,0.293342,-0.509553,-0.0584066,-0.881974,0.167014,-0.198479,-0.660729,-0.320517,-0.514042,0.273863,0.488126,0.20225,-0.403391,-0.822637,-0.486288,-0.715591,0.136288,-0.85612,-0.0886556,-0.657093,-1.28115,-0.910276,-0.746432,0.728272,-0.379047,-0.630491,-1.62333,-0.815482,-0.94882,-0.564735,-1.12715,1.16753,-0.0178058,0.0560896,-0.286415,0.0596579,-1.74621,-0.023675,-0.416393,-0.127494,0.16054,-0.00691781,0.624948,-0.0192797,-0.0162064,-0.938277,-0.376786,0.106928,-0.390483,-0.761403,-0.0863481,0.458183,0.712022,-0.664993,0.449564,-0.66839,0.096405,0.937415,0.765532,-0.496277,-0.365566,-0.919369,-0.227783,-0.320702,-0.459575,-0.940862,0.40673,-1.10213,-0.698908,-0.449542,-0.973307,0.35397,0.685441,0.468713,-0.276866,-0.393911,-0.654218,3.57731,0.760611,0.050811,0.58004,0.143343,0.0488395,0.124579,0.231037,0.0561297,0.174615,0.0789534,0.297473,0.961154,0.327213,0.220901,0.383999,0.216762,0.546954,0.360562,0.120165,0.188675,0.2271,0.0586731,0.240325,0.40926,0.331985,0.315676,0.234123,0.561831,0.205963,0.202341,0.369871,0.143884,1.42404,0.808694,0.943255,-0.351013,0.42919,1.76307,-0.00300639,1.01267,1.41823,1.36414,0.209896,1.62073,-0.0141099,0.189686,0.205694,-0.0786907,-0.427737,0.309095,-0.184488,0.848417,0.245434,0.0361694,-0.784445,-1.17131,-1.04162,-0.988856,0.903223,1.06711,-0.342109,0.115868,-0.136868,-0.31232
6475.38,0.982605,0.00223363,11,2047,0,-6412.01,-0.189337,0.775476,0.250123,-0.607647,-0.0354273,-0.00722281,-0.0377248,0.579349,0.493199,-0.0454963,0.108391,-1.19749,-0.474139,0.859033,-0.87955,0.102312,0.525481,0.519709,-0.65442,0.746585,-0.363792,-0.117862,-0.0366555,-0.393478,-0.720245,-0.0623217,-0.493819,0.533178,-0.0195513,-0.24975,-0.255385,-0.693387,-0.432353,-0.365174,1.4709,1.55625,0.24415,0.655101,0.50179,0.320051,-0.0715348,0.691645,0.246047,-0.11566,-0.867018,0.55376,-0.229019,0.222434,-0.571335,0.448994,0.0545903,-0.405316,-0.0379195,-0.217356,0.524676,0.76422,0.468252,-0.142544,-0.536993,-0.192228,-0.456047,0.439785,-0.579393,0.197446,-0.373064,-0.984707,-0.651564,-0.454379,1.0182,-0.110648,-0.379211,-1.35212,-0.548907,-0.679237,-0.316119,-0.834684,1.45804,0.266693,0.351132,-0.0159451,0.316243,-1.44782,0.243478,-0.130704,0.138514,0.446324,0.312552,0.911125,0.239628,0.27373,-0.682188,-0.0868713,0.386494,-0.126517,-0.505638,0.18785,0.754996,0.991385,-0.370713,0.716366,-0.408623,0.367209,1.22256,1.02282,-0.238051,-0.0745847,-0.629222,0.0360305,-0.0563639,-0.181862,-0.674151,0.690562,-0.835692,-0.438944,-0.154386,-0.65327,0.625721,0.963983,0.778718,-0.0142687,-0.095151,-0.423147,3.25431,0.783174,0.0499396,0.577134,0.13755,0.0476829,0.124847,0.236597,0.056531,0.181801,0.0739911,0.297701,0.900338,0.353768,0.224598,0.387701,0.209907,0.539581,0.340846,0.113717,0.19859,0.223572,0.0532374,0.237719,0.416721,0.342255,0.309539,0.239836,0.588573,0.189421,0.207993,0.348919,0.154022,1.11413,0.535988,0.698413,-0.6193,0.153372,1.46876,-0.291491,0.735731,1.14312,1.09591,-0.0486175,1.33268,-0.308327,-0.0880309,-0.000269685,-0.374168,-0.71279,0.0260193,-0.461359,0.601793,0.00501906,-0.246221,-1.07808,-1.48519,-1.27676,-1.25294,0.618626,0.732261,-0.606146,-0.170875,-0.32615,-0.582179
6479.35,0.927081,0.00223363,11,2047,0,-6403.36,0.281566,0.127565,-0.293466,-0.380696,-0.217859,-0.035591,-0.0352196,0.539352,0.43404,0.107863,0.192813,-0.9881,-0.540683,0.905923,-0.723293,0.0106773,0.50148,0.7334,-0.595357,0.895692,-0.258654,0.103888,0.0908169,-0.110491,-0.386564,-0.176508,-0.321191,0.476853,0.188664,0.0792164,-0.83043,-1.45598,-0.92272,-0.702441,1.04954,0.893389,-0.217234,0.0859723,-0.0875133,0.102534,-0.0677477,0.629767,0.244865,-0.0859145,-0.844222,0.588192,-0.223009,0.244523,-0.600915,0.423275,0.0798185,-0.371522,-0.04622,-0.253119,0.564031,0.769239,0.463596,-0.137832,-0.529961,-0.193754,-0.439346,0.443363,-0.601788,0.191872,-0.378825,-0.979689,-0.630625,-0.455224,1.04577,-0.119334,-0.356399,-1.35358,-0.518774,-0.67221,-0.309332,-0.835758,1.47619,0.272581,0.34511,-0.0144739,0.297986,-1.4535,0.250533,-0.100242,0.159679,0.479969,0.33126,0.909341,0.251721,0.292534,-0.675838,-0.0896096,0.389663,-0.153458,-0.477588,0.210392,0.77394,1.02341,-0.368314,0.708694,-0.366193,0.408499,1.21174,1.04045,-0.216053,-0.0533584,-0.619002,0.0360405,-0.044772,-0.166502,-0.649095,0.715822,-0.800494,-0.424429,-0.144608,-0.694615,0.661985,0.954952,0.7864,-0.0112546,-0.12285,-0.388363,2.7891,0.782017,0.0480873,0.575957,0.145233,0.0460494,0.121094,0.234803,0.056345,0.176528,0.0752855,0.305799,0.856808,0.348421,0.221701,0.389858,0.198247,0.550843,0.33497,0.116154,0.204086,0.223284,0.054659,0.239431,0.417014,0.354344,0.292014,0.248727,0.565254,0.178806,0.172045,0.364168,0.147293,1.08363,0.514847,0.643475,-0.610222,0.149345,1.46011,-0.275874,0.728209,1.12197,1.09026,-0.0476515,1.33987,-0.285632,-0.071899,-0.06231,-0.350974,-0.717605,-0.00131204,-0.480804,0.530744,-0.0194711,-0.25831,-1.07887,-1.52327,-1.31349,-1.32453,0.628024,0.654632,-0.61773,-0.173802,-0.350531,-0.60851
6479.76,0.848106,0.00223363,11,2047,0,-6386.12,-0.306004,0.510033,-0.057954,-0.303092,-0.379825,0.108322,0.0266446,0.69693,0.0427697,-0.12939,0.124894,-1.05272,-0.999498,1.07078,-1.01437,-0.291069,0.261409,0.870096,-0.808919,0.500148,-0.17923,0.105399,0.491462,-0.0754359,0.165495,-0.22068,-0.30256,0.516775,0.252903,0.236894,-0.30716,-0.732584,-0.151034,-0.3755,1.55055,1.11921,0.0627885,0.421805,0.0369649,0.471577,-0.122953,0.587806,0.182825,-0.175542,-0.908218,0.516311,-0.253597,0.193447,-0.644351,0.339509,0.0140201,-0.449386,-0.0698929,-0.295514,0.488798,0.709695,0.391074,-0.212269,-0.598977,-0.257058,-0.497816,0.354348,-0.609044,0.14147,-0.429219,-1.06754,-0.685108,-0.505695,0.941519,-0.165041,-0.428727,-1.38657,-0.570982,-0.711744,-0.329974,-0.914712,1.40795,0.20172,0.27738,-0.0696745,0.231906,-1.48859,0.209112,-0.181845,0.073921,0.403752,0.253588,0.857523,0.203932,0.233435,-0.75428,-0.150798,0.334426,-0.193218,-0.563861,0.118088,0.693189,0.939994,-0.416728,0.643642,-0.459731,0.320919,1.13407,0.96656,-0.281947,-0.12353,-0.682541,-0.0340539,-0.100441,-0.232399,-0.701523,0.613916,-0.872162,-0.49011,-0.210315,-0.724959,0.581125,0.904695,0.695737,-0.0711672,-0.168054,-0.444211,3.83064,0.778665,0.0533609,0.492873,0.140123,0.0531995,0.124807,0.266299,0.0631173,0.17565,0.081164,0.313998,0.927779,0.351827,0.236899,0.360525,0.191667,0.603563,0.319205,0.117577,0.180483,0.221831,0.051589,0.223967,0.446754,0.342243,0.302554,0.244886,0.516278,0.190782,0.193351,0.381868,0.137016,1.17715,0.582013,0.742073,-0.562436,0.205376,1.52772,-0.23247,0.791383,1.17467,1.15337,-0.0225492,1.44676,-0.228732,-0.0331683,0.0516554,-0.326797,-0.584493,0.0822978,-0.412929,0.608265,0.0579388,-0.183657,-1.0062,-1.28617,-1.26858,-1.21485,0.720139,0.777798,-0.560603,-0.12662,-0.346741,-0.522864
6474.61,0.893658,0.00223363,11,2047,0,-6406.16,0.390636,0.447535,-0.562631,-0.160072,-0.191089,-0.0776922,-0.230782,0.741183,0.118052,-0.268014,-0.146803,-1.45739,-0.896589,0.405456,-1.09498,-0.389182,0.098241,0.237984,-1.04532,0.564082,-0.115246,0.25689,0.173209,-0.00036552,-0.262226,0.0516271,-0.127014,0.665024,0.359816,0.244283,-1.24544,-1.77308,-1.40611,-0.932468,0.688212,0.682029,-0.521964,-0.275264,-0.475333,-0.21348,0.152375,0.578066,0.341123,0.00321055,-0.752196,0.685209,-0.129585,0.325417,-0.489957,0.596473,0.17718,-0.291751,0.0632971,-0.137295,0.653497,0.896854,0.567552,-0.039252,-0.438297,-0.100984,-0.34121,0.523108,-0.452607,0.302234,-0.274837,-0.929294,-0.520882,-0.37773,1.11988,-0.0011428,-0.276014,-1.24634,-0.415281,-0.567672,-0.181859,-0.729128,1.57399,0.38013,0.440703,0.12483,0.400519,-1.4013,0.367265,-0.0381115,0.22821,0.554137,0.392685,1.00759,0.348682,0.37887,-0.608061,-0.00688257,0.479541,-0.0282695,-0.420202,0.304437,0.836212,1.10885,-0.270671,0.830247,-0.269398,0.496257,1.31909,1.12229,-0.0943528,0.049691,-0.541889,0.159319,0.0667271,-0.0880643,-0.563116,0.794316,-0.693285,-0.30124,-0.0446132,-0.570618,0.708748,1.05783,0.87563,0.0769112,-0.0220728,-0.282546,3.35231,0.737923,0.0454842,0.507073,0.151799,0.0474253,0.119506,0.269313,0.0533952,0.177372,0.0749571,0.310158,1.01702,0.34882,0.229804,0.374107,0.202174,0.56559,0.329026,0.116572,0.182797,0.228094,0.0573912,0.23433,0.440662,0.3496,0.308804,0.226802,0.542995,0.208716,0.21249,0.391297,0.147689,1.02771,0.428849,0.634846,-0.73958,0.0485391,1.37086,-0.362649,0.626545,1.02885,0.983832,-0.17855,1.24709,-0.393416,-0.198278,-0.169134,-0.51228,-0.760621,-0.0492112,-0.567996,0.457787,-0.123725,-0.35275,-1.19232,-1.51458,-1.43134,-1.3465,0.543057,0.6507,-0.695158,-0.278554,-0.527941,-0.705538
