# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim3_model
# start_datetime = 2022-02-24 12:44:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpEdkaY0/standata-53604ddc60b2.json
# init = 2 (Default)
# random
#   seed = 1306202872
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim3-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim3-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,l,s_HJ.1,s_HJ.2,s_HJ.3,s_HJ.4,s_HJ.5,s_HJ.6,s_HJ.7,s_HJ.8,s_HJ.9,s_HJ.10,s_HJ.11,s_HJ.12,s_HJ.13,s_HJ.14,s_HJ.15,s_HJ.16,s_HJ.17,s_HJ.18,s_HJ.19,s_HJ.20,s_HJ.21,s_HJ.22,s_HJ.23,s_HJ.24,s_HJ.25,s_HJ.26,s_HJ.27,s_HJ.28,s_HJ.29,s_HJ.30,s_HJ.31,s_HJ.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00205555
# Diagonal elements of inverse mass matrix:
# 0.170677, 0.107608, 0.0973268, 0.10273, 0.0204775, 0.00968949, 0.178736, 0.0192429, 0.228799, 0.215904, 0.203435, 0.209509, 0.232776, 0.233225, 0.213561, 0.215528, 0.204144, 0.226594, 0.20014, 0.247255, 0.212986, 0.224779, 0.220938, 0.228171, 0.252041, 0.241365, 0.224253, 0.220115, 0.226412, 0.240623, 0.212375, 0.242161, 0.251563, 0.280652, 0.214966, 0.227759, 0.224244, 0.20796, 0.226333, 0.300383, 0.181793, 0.00638597, 0.186111, 0.185115, 0.184906, 0.186459, 0.186002, 0.186331, 0.186351, 0.186542, 0.186364, 0.185647, 0.18565, 0.185792, 0.185906, 0.185282, 0.186355, 0.186179, 0.185449, 0.186037, 0.186486, 0.185686, 0.18575, 0.18671, 0.185998, 0.185732, 0.185816, 0.185432, 0.186133, 0.18586, 0.18592, 0.184945, 0.18588, 0.18614, 0.185953, 0.185892, 0.185338, 0.18584, 0.186327, 0.185588, 0.186978, 0.186041, 0.186369, 0.186284, 0.185873, 0.186951, 0.185861, 0.185986, 0.186052, 0.18569, 0.185104, 0.186333, 0.186437, 0.185865, 0.185569, 0.186249, 0.185894, 0.186534, 0.186074, 0.186712, 0.185915, 0.186082, 0.186072, 0.18578, 0.185481, 0.186073, 0.185518, 0.186155, 0.186338, 0.185996, 0.18609, 0.186147, 0.185558, 0.185845, 0.185993, 0.186437, 0.186232, 0.186215, 0.186142, 0.186232, 0.185936, 0.184952, 0.0304164, 0.00249784, 0.00650102, 0.00263921, 0.00293504, 0.00330623, 0.00275887, 0.00276488, 0.00557419, 0.00231213, 0.00343343, 0.00253715, 0.00274059, 0.00268179, 0.00256925, 0.0022458, 0.0028335, 0.002522, 0.00252443, 0.00290934, 0.00288353, 0.00250633, 0.00464582, 0.00262551, 0.00290572, 0.00269848, 0.00266778, 0.0026957, 0.0022286, 0.00236922, 0.0025938, 0.00230428, 0.00251023
6466.79,0.844299,0.00205555,11,2047,0,-6392.09,-0.96686,0.170566,0.135911,0.285174,-0.597496,0.0766059,-0.0459319,0.574951,0.0751382,0.12534,0.288745,-0.794456,-1.03373,1.17665,-0.805259,-0.353759,0.293737,1.1713,-0.723811,0.663633,-0.497448,0.00342937,0.285943,-0.161062,0.15195,-0.719601,-0.433414,0.198975,0.139726,0.264903,-0.854408,-1.57599,-0.524437,-0.542706,1.14291,0.590547,-0.332149,-0.0809617,-0.481671,0.366399,0.777172,0.549212,0.96258,0.573732,-0.144409,1.28903,0.458619,0.931323,0.0888033,1.11471,0.77273,0.303008,0.657585,0.44759,1.23997,1.46131,1.16149,0.542022,0.157925,0.508399,0.239569,1.10522,0.119852,0.884534,0.329892,-0.325285,0.0590537,0.227972,1.73062,0.562489,0.318513,-0.664344,0.179803,0.0162103,0.402099,-0.193646,2.1615,0.937683,0.987101,0.695862,1.0134,-0.796088,0.990087,0.53729,0.834389,1.15396,0.998275,1.56532,0.945531,0.970093,-0.00841652,0.58811,1.08247,0.554475,0.166963,0.886853,1.4487,1.6952,0.294343,1.41815,0.294412,1.07979,1.91576,1.73077,0.461493,0.614875,0.0575093,0.74634,0.64076,0.500684,0.0264062,1.38795,-0.13783,0.266364,0.49971,0.0180091,1.33225,1.65906,1.47045,0.683194,0.573227,0.3291,2.69047,0.855998,0.04702,0.556667,0.147878,0.0478826,0.116729,0.253095,0.0528098,0.19968,0.074134,0.301685,0.887123,0.39402,0.22683,0.392339,0.203374,0.592465,0.29703,0.119613,0.186513,0.219119,0.0558977,0.21727,0.408583,0.330828,0.323358,0.220313,0.51951,0.191448,0.176681,0.388092,0.153478,0.460979,-0.154194,-0.0452159,-1.32803,-0.536989,0.778198,-0.973897,0.0441925,0.425539,0.405871,-0.791622,0.660318,-1.02132,-0.754343,-0.758116,-1.09627,-1.38005,-0.688993,-1.14683,-0.103103,-0.706763,-0.936452,-1.77138,-2.17035,-2.00596,-1.96177,-0.074504,0.048576,-1.3177,-0.854793,-1.09018,-1.29664
6464.84,0.83062,0.00205555,11,2047,0,-6391.17,-0.944154,0.636819,-0.1695,0.291807,-0.414902,-0.0807484,0.0359491,0.686543,0.218989,0.0688715,0.088594,-1.03081,-0.850132,0.686647,-0.795135,-0.329004,0.240808,0.702037,-0.785934,0.886576,0.0481521,0.582199,0.592192,0.387867,0.24078,-0.0363405,0.157276,0.751377,0.710646,0.715861,-0.924967,-1.65221,-0.95507,-0.299414,1.13065,0.826886,-0.159704,-0.00286102,-0.171436,0.475842,0.720623,0.590178,1.03281,0.700734,-0.0444361,1.36992,0.601056,1.04921,0.203422,1.23048,0.874919,0.398951,0.792757,0.569405,1.35657,1.56666,1.28365,0.657167,0.26389,0.61817,0.365771,1.25157,0.223679,1.00709,0.424271,-0.189452,0.17089,0.325182,1.83038,0.701435,0.412125,-0.556736,0.290359,0.145475,0.502484,-0.0367546,2.27692,1.0912,1.16609,0.8294,1.09469,-0.665308,1.08782,0.683694,0.944229,1.28525,1.09562,1.73289,1.06807,1.0763,0.126798,0.709888,1.20207,0.672923,0.318665,1.01373,1.561,1.81307,0.404914,1.50952,0.402954,1.18838,2.01255,1.8156,0.56678,0.730621,0.20681,0.832643,0.779376,0.618932,0.146123,1.51532,-0.0208723,0.371793,0.612108,0.131576,1.4523,1.76126,1.57957,0.790243,0.685937,0.406266,3.04492,0.829294,0.0462126,0.549959,0.151208,0.0514452,0.129922,0.251711,0.0499193,0.169007,0.0751726,0.331536,1.04208,0.344655,0.261284,0.387105,0.205791,0.557569,0.338105,0.110652,0.179255,0.218305,0.0588534,0.237731,0.414746,0.35435,0.299125,0.245349,0.53452,0.202534,0.188373,0.39062,0.144456,0.3307,-0.281455,-0.165583,-1.4236,-0.661415,0.655572,-1.06845,-0.0749393,0.310058,0.282189,-0.855296,0.594113,-1.12015,-0.882471,-0.803389,-1.20001,-1.49363,-0.819614,-1.27659,-0.262914,-0.815629,-1.05683,-1.87464,-2.24392,-2.16282,-1.99958,-0.161596,-0.130274,-1.42489,-0.987081,-1.1748,-1.39373
6475.62,0.960309,0.00205555,11,2047,0,-6400.98,0.0786452,-0.0313284,-0.177038,-1.09105,-0.287046,0.0283649,-0.0614915,0.562752,-0.0117552,-0.291343,-0.157178,-1.32421,-1.03579,0.69402,-1.16425,-0.419801,0.112789,0.494649,-0.994583,0.466772,-0.910663,-0.538312,-0.408062,-0.772109,-0.864718,-0.791113,-0.940046,-0.11643,-0.418522,-0.494324,-0.499872,-1.01181,-0.488585,-0.446282,1.3975,1.16233,0.0166591,0.363821,0.0874495,0.360531,0.479629,0.547,0.804926,0.448022,-0.299368,1.10495,0.333882,0.778886,-0.0226977,0.978948,0.639042,0.133169,0.496892,0.301408,1.09397,1.32446,1.00245,0.418585,-0.000672116,0.357482,0.0609544,0.952474,-0.0202897,0.724213,0.183874,-0.440348,-0.0834429,0.0795776,1.55321,0.430686,0.187418,-0.80552,0.0537862,-0.117673,0.221121,-0.275341,2.02241,0.796914,0.889195,0.516379,0.83689,-0.884435,0.798198,0.423234,0.685738,1.04764,0.838914,1.45521,0.788706,0.80087,-0.135771,0.453672,0.932865,0.421398,0.0447532,0.730725,1.29143,1.53533,0.17343,1.30582,0.150641,0.924119,1.78522,1.57067,0.318443,0.485553,-0.0782863,0.603147,0.495363,0.375183,-0.10167,1.25101,-0.281836,0.113635,0.373034,-0.117197,1.17242,1.48629,1.31227,0.514584,0.427286,0.136504,3.90109,0.793751,0.0558779,0.534399,0.137216,0.0488018,0.123625,0.29245,0.0593141,0.173916,0.0760771,0.313923,0.924041,0.341692,0.24461,0.346508,0.187827,0.563844,0.337446,0.107289,0.198572,0.225278,0.0468422,0.204838,0.402818,0.373496,0.286227,0.237637,0.546109,0.174424,0.197819,0.365933,0.14089,0.578164,-0.02108,0.0953753,-1.16755,-0.392596,0.932464,-0.840708,0.184374,0.589102,0.548355,-0.614167,0.861297,-0.878406,-0.626863,-0.617273,-0.945901,-1.30834,-0.492476,-1.00729,0.022379,-0.549693,-0.795979,-1.63375,-1.98225,-1.88524,-1.84668,0.110846,0.191735,-1.16704,-0.709725,-0.915111,-1.15708
6473.35,0.995444,0.00205555,11,2047,0,-6395.85,0.648916,0.0184235,-0.803138,-0.545294,-0.160873,0.077278,-1.16032,0.481348,-0.660937,-1.07374,-0.830541,-2.09015,-1.66144,0.0727474,-1.92466,-1.00283,-0.533356,-0.278431,-1.69246,-0.299324,-0.984469,-0.756226,-0.530509,-0.993361,-1.02894,-0.820414,-1.13572,-0.179872,-0.641961,-0.789378,-1.79972,-2.24341,-1.87168,-2.06405,-0.0645859,-0.223808,-1.42212,-1.01385,-1.27652,-1.29484,0.588021,0.561552,0.880417,0.528973,-0.180928,1.20108,0.423054,0.876208,0.0330222,1.02469,0.716212,0.239894,0.579887,0.386918,1.17992,1.40729,1.09333,0.478071,0.114119,0.445599,0.175874,1.03887,0.0427896,0.799313,0.270551,-0.348383,0.0198317,0.180637,1.68689,0.517874,0.275455,-0.711258,0.094136,-0.0230534,0.325435,-0.209987,2.0876,0.902618,0.969884,0.609725,0.947996,-0.821487,0.889508,0.475891,0.772188,1.06686,0.914232,1.5488,0.87074,0.93031,-0.0441331,0.526628,1.02482,0.496279,0.145718,0.831006,1.37602,1.63485,0.241716,1.31001,0.269637,1.0138,1.87066,1.63846,0.397514,0.563466,0.00643133,0.653138,0.555815,0.437329,-0.0237881,1.31372,-0.188089,0.211922,0.45445,-0.0199138,1.2422,1.57624,1.39595,0.609102,0.51375,0.209725,3.79057,0.811439,0.0526442,0.528683,0.157093,0.0485855,0.117619,0.288957,0.0589379,0.169701,0.0752038,0.313888,0.915564,0.334502,0.244249,0.339346,0.193376,0.555218,0.33574,0.110488,0.19694,0.225995,0.0504797,0.208215,0.40907,0.373438,0.297661,0.244938,0.539392,0.179536,0.196748,0.367463,0.146402,0.494644,-0.0973052,0.0745846,-1.23877,-0.475998,0.847203,-0.918369,0.0993559,0.497173,0.45387,-0.715673,0.80813,-0.942706,-0.720788,-0.685457,-1.0057,-1.31526,-0.629361,-1.08834,-0.0783936,-0.63041,-0.873372,-1.7028,-2.11627,-1.9834,-1.93235,0.0080995,0.0873891,-1.23035,-0.821731,-0.983239,-1.22883
6483.84,0.943001,0.00205555,11,2047,0,-6400.56,-0.286401,0.736018,0.275522,-0.150189,-0.314747,0.153892,-1.02291,0.482642,-0.846991,-1.22028,-0.87663,-2.11388,-1.99733,0.141433,-2.03305,-1.25151,-0.716712,-0.158894,-1.81478,-0.568572,-1.36284,-1.13318,-0.700805,-1.32546,-1.12755,-1.36712,-1.53154,-0.637862,-1.02947,-1.06762,-1.30254,-1.75067,-1.18704,-1.61701,0.453313,0.0484831,-1.03576,-0.587548,-0.976644,-0.783694,0.626724,0.564958,0.919756,0.581328,-0.148303,1.24616,0.469387,0.923289,0.091282,1.11566,0.745134,0.264269,0.632027,0.431338,1.23814,1.46597,1.16944,0.515469,0.139644,0.494722,0.218799,1.09427,0.10881,0.88049,0.312857,-0.315764,0.0617871,0.210871,1.72433,0.550097,0.332865,-0.665532,0.160614,0.0339202,0.381964,-0.157908,2.13502,0.932739,1.02011,0.661314,0.993203,-0.758904,0.941456,0.515759,0.820334,1.1518,0.993935,1.60063,0.906856,0.930346,0.0142165,0.587508,1.06017,0.549936,0.183552,0.862437,1.42754,1.67811,0.290117,1.43229,0.290033,1.05537,1.89865,1.69616,0.431077,0.58236,0.0706699,0.69819,0.638809,0.499137,0.0263251,1.33877,-0.154038,0.264702,0.506453,0.00526756,1.29879,1.64367,1.43393,0.658464,0.551225,0.261683,3.35417,0.808239,0.0547702,0.510183,0.153304,0.0496684,0.121458,0.261908,0.0593313,0.171977,0.0781807,0.299799,0.902125,0.333264,0.237869,0.360141,0.18382,0.581942,0.324919,0.105593,0.200981,0.231385,0.0530446,0.224475,0.415011,0.377595,0.30125,0.241172,0.567055,0.19051,0.1911,0.346285,0.145555,0.565961,-0.157832,0.0436098,-1.29879,-0.525963,0.800622,-0.91218,0.054282,0.44888,0.420519,-0.754344,0.752919,-0.98488,-0.764896,-0.710407,-1.05064,-1.39418,-0.697076,-1.13989,-0.143068,-0.70792,-0.933003,-1.74954,-2.14125,-2.04496,-1.98788,-0.0384099,0.0261055,-1.29181,-0.845602,-1.03407,-1.28309
6489.92,0.974092,0.00205555,11,2047,0,-6425.17,0.399777,0.306756,-0.0747557,-0.430077,-0.302801,-0.0548633,-0.849043,0.706514,-0.663798,-0.972789,-0.850754,-2.08781,-1.74566,-0.254748,-1.83965,-1.20992,-0.687488,-0.35455,-1.7912,-0.24636,-1.47054,-0.979657,-1.02987,-1.20419,-1.36817,-1.40781,-1.37815,-0.64526,-0.848333,-0.920914,-1.62928,-2.28675,-1.71639,-1.35142,0.323886,0.134162,-0.978217,-0.733756,-0.929286,-0.504365,0.820266,0.600914,1.06492,0.723824,-0.0333962,1.39011,0.596146,1.05599,0.227728,1.24183,0.887584,0.416814,0.768202,0.587022,1.34444,1.57075,1.27358,0.669042,0.294738,0.624709,0.383893,1.24847,0.232231,0.999751,0.435425,-0.2081,0.179984,0.341693,1.86294,0.709406,0.473416,-0.519494,0.284886,0.157943,0.517418,-0.0390691,2.25989,1.0736,1.1473,0.826549,1.13606,-0.62373,1.07659,0.720012,0.977451,1.28504,1.15313,1.72992,1.07356,1.07404,0.135857,0.707295,1.18451,0.660555,0.332869,1.01612,1.568,1.82464,0.432651,1.51489,0.431517,1.21168,2.02543,1.82119,0.620048,0.731564,0.173517,0.85695,0.763573,0.634085,0.155248,1.51603,0.00946996,0.395368,0.642148,0.134431,1.44927,1.76022,1.57281,0.786513,0.706243,0.406663,3.70759,0.861303,0.047724,0.520101,0.139342,0.0478009,0.124837,0.267981,0.0531639,0.191305,0.076179,0.31728,0.886817,0.362442,0.237503,0.381711,0.186974,0.56992,0.320803,0.110572,0.188824,0.236041,0.0527982,0.240553,0.403098,0.311425,0.289857,0.220824,0.498535,0.178788,0.180518,0.352324,0.143381,0.360765,-0.285428,-0.0972898,-1.43551,-0.664893,0.653404,-1.09609,-0.0855325,0.302017,0.273937,-0.902855,0.487298,-1.17726,-0.898609,-0.906537,-1.21307,-1.49212,-0.833538,-1.27463,-0.239587,-0.812245,-1.06467,-1.87251,-2.27279,-2.15204,-2.13016,-0.165284,-0.10639,-1.44357,-0.998126,-1.20356,-1.40674
