# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim4_nocor_model
# start_datetime = 2022-02-24 14:27:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpEdkaY0/standata-5360330a6882.json
# init = 2 (Default)
# random
#   seed = 1306202872
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim4_nocor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,l,s_HJ.1,s_HJ.2,s_HJ.3,s_HJ.4,s_HJ.5,s_HJ.6,s_HJ.7,s_HJ.8,s_HJ.9,s_HJ.10,s_HJ.11,s_HJ.12,s_HJ.13,s_HJ.14,s_HJ.15,s_HJ.16,s_HJ.17,s_HJ.18,s_HJ.19,s_HJ.20,s_HJ.21,s_HJ.22,s_HJ.23,s_HJ.24,s_HJ.25,s_HJ.26,s_HJ.27,s_HJ.28,s_HJ.29,s_HJ.30,s_HJ.31,s_HJ.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00212247
# Diagonal elements of inverse mass matrix:
# 0.164402, 0.127428, 0.129171, 0.135142, 0.0206677, 0.0176396, 0.0254269, 0.0137792, 0.17126, 0.019602, 0.220811, 0.218051, 0.196057, 0.198383, 0.224913, 0.25163, 0.214281, 0.2118, 0.197913, 0.21069, 0.193342, 0.270064, 0.193373, 0.219175, 0.211319, 0.221263, 0.237116, 0.229274, 0.218315, 0.204237, 0.218848, 0.231029, 0.196567, 0.233759, 0.24878, 0.260354, 0.193182, 0.227871, 0.209983, 0.194282, 0.221567, 0.271993, 0.176104, 0.00582134, 0.17859, 0.179206, 0.178367, 0.17919, 0.178354, 0.17894, 0.17944, 0.179263, 0.179048, 0.179633, 0.179119, 0.178427, 0.179043, 0.179553, 0.179611, 0.178874, 0.179064, 0.179086, 0.178881, 0.178582, 0.179175, 0.178671, 0.179471, 0.179003, 0.178571, 0.177943, 0.178768, 0.178465, 0.179914, 0.178467, 0.178606, 0.178886, 0.179768, 0.178786, 0.179006, 0.179021, 0.179558, 0.179219, 0.179708, 0.1788, 0.179401, 0.179927, 0.179228, 0.179631, 0.179462, 0.179301, 0.179159, 0.179463, 0.178843, 0.179743, 0.178625, 0.179082, 0.180369, 0.17934, 0.179322, 0.179472, 0.179192, 0.178402, 0.17866, 0.179036, 0.179131, 0.180032, 0.178789, 0.178813, 0.179138, 0.178937, 0.17892, 0.17947, 0.178106, 0.179132, 0.179248, 0.178778, 0.179787, 0.179064, 0.179853, 0.178875, 0.178951, 0.179646, 0.179691, 0.179499, 0.0316774, 0.00227745, 0.00345964, 0.00260501, 0.00301689, 0.00328701, 0.00264293, 0.00245653, 0.00342209, 0.00260755, 0.00305793, 0.00247727, 0.00235374, 0.00252593, 0.00256202, 0.00271353, 0.00256277, 0.00259383, 0.00284267, 0.00284984, 0.00270217, 0.00267647, 0.00489097, 0.00295887, 0.00224568, 0.00267321, 0.0025617, 0.00259388, 0.00237666, 0.00252705, 0.00260333, 0.00243457, 0.00279085
6187.89,0.968341,0.00212247,11,2047,0,-6112.31,-0.638848,0.186726,-0.104615,-1.08376,-0.277744,0.0745604,-0.0770026,0.331495,0.23085,0.636547,0.583668,0.253049,0.508347,-0.662889,-0.486915,1.54827,-0.575417,0.244084,0.755092,1.24021,-0.325777,0.972507,0.0956379,0.440062,0.58545,0.262501,0.233452,0.149942,0.0815667,0.845347,0.540199,0.501692,0.145279,0.0714778,0.57531,-0.892705,1.46111,0.760948,-0.227047,0.506056,-0.219666,-0.299841,0.323068,0.692751,0.585375,0.271695,-0.280317,0.896603,0.201282,0.607651,-0.125066,0.757675,0.448044,0.0717254,0.354262,0.137958,0.890588,1.11173,0.79195,0.260683,-0.0678554,0.209358,-0.00980494,0.784032,-0.058084,0.5465,0.0600862,-0.425414,-0.148685,-0.00213825,1.36663,0.298073,0.0484815,-0.687573,-0.0839304,-0.147506,0.117231,-0.300741,1.80407,0.594873,0.650691,0.388649,0.646139,-0.745396,0.584366,0.242402,0.457909,0.77891,0.642207,1.24923,0.586083,0.641138,-0.159752,0.300567,0.706726,0.247849,-0.0333649,0.554129,1.06774,1.34592,0.0943223,1.06678,0.0500171,0.712664,1.57153,1.33362,0.187012,0.319899,-0.113015,0.411343,0.362673,0.191466,-0.15619,1.02165,-0.278462,0.0601948,0.253421,-0.17515,0.977323,1.25071,1.09006,0.373848,0.285366,0.00636959,2.85108,0.845025,0.122317,0.569678,0.0948045,0.0924526,0.160534,0.242878,0.126027,0.241433,0.153165,0.289981,0.958373,0.301022,0.206864,0.35365,0.170976,0.532662,0.341543,0.0987042,0.21426,0.204183,0.0344065,0.198914,0.308109,0.298808,0.326346,0.237088,0.533884,0.179517,0.171633,0.320952,0.175243,0.79791,0.157993,0.349041,-0.914985,-0.221124,1.28108,-0.618923,0.425005,0.812294,0.841387,-0.361365,1.0448,-0.730306,-0.607223,-0.36969,-0.867263,-0.948505,-0.418254,-0.945099,0.122502,-0.548326,-0.751791,-1.39082,-1.61054,-1.5191,-1.77455,0.0812392,-0.00906224,-1.20326,-0.667619,-1.02061,-1.29509
6171.04,0.992073,0.00212247,11,2047,0,-6095.18,-0.646649,0.45524,0.869991,0.263281,-0.743715,-0.192154,-0.265315,-0.00922344,0.222438,0.65168,0.356402,0.594067,0.657342,-0.440518,-0.746318,1.00467,-0.34623,-0.254494,0.44035,1.32678,-0.431982,1.44695,-0.546104,0.181934,0.090987,0.13984,0.0153849,-0.966232,-0.218281,-0.025292,0.380213,0.589178,-0.545613,-1.32519,-0.108499,-0.065767,1.36123,0.60002,-0.0969867,0.0763132,-0.342381,0.732316,0.313003,0.40997,0.586536,0.270771,-0.336569,0.857493,0.173453,0.550302,-0.137074,0.706449,0.434676,0.0133499,0.339687,0.149969,0.84671,1.06403,0.770847,0.212272,-0.0811603,0.19469,-0.0303674,0.721152,-0.0731709,0.506085,0.0660032,-0.438586,-0.157148,-0.0182029,1.37035,0.271565,0.0367178,-0.700457,-0.070814,-0.192505,0.111426,-0.285332,1.77094,0.598798,0.657637,0.35919,0.603195,-0.76028,0.583458,0.240287,0.448817,0.7239,0.631611,1.22935,0.552188,0.611481,-0.168895,0.265396,0.708123,0.203521,-0.0155187,0.527464,1.05416,1.27431,0.0235426,1.01491,0.0593679,0.692258,1.54404,1.32593,0.143509,0.274395,-0.13662,0.360303,0.293638,0.15738,-0.17145,0.998812,-0.312253,-0.00339669,0.215882,-0.176185,0.968199,1.26134,1.05765,0.304664,0.256609,0.0355519,3.39236,0.757116,0.122064,0.523637,0.0963652,0.0967304,0.178174,0.258189,0.14055,0.234905,0.137727,0.338296,0.918431,0.349268,0.217369,0.395583,0.15519,0.611582,0.296059,0.0865098,0.225708,0.205005,0.0354521,0.169176,0.353367,0.294712,0.336735,0.256475,0.513165,0.187753,0.169787,0.294903,0.175102,0.773901,0.183361,0.466397,-0.879925,-0.190784,1.30846,-0.618902,0.465587,0.829148,0.886283,-0.291646,1.09255,-0.661869,-0.585642,-0.3116,-0.848591,-0.994553,-0.391825,-0.930643,0.135011,-0.49779,-0.730535,-1.32643,-1.59986,-1.48744,-1.78528,0.101876,0.0768295,-1.17231,-0.630902,-0.948392,-1.29087
6176.06,0.998177,0.00212247,11,2047,0,-6095.28,0.105559,0.702779,-1.0474,-1.00442,0.0962429,-0.100509,0.0744263,-0.0325084,-0.256948,0.499259,0.182117,-0.39201,-0.256174,-1.58423,-0.629308,0.491444,-1.13014,-0.0880151,0.229498,0.0604251,-0.941074,0.561413,0.0220825,0.0298278,0.385204,-0.296084,-0.332048,0.398134,-0.332102,0.887755,0.0660712,-0.207428,-0.568105,-0.77238,-0.772758,-0.96252,0.860287,0.896433,-0.381137,0.180354,-0.120871,-0.550696,0.475122,0.652734,0.646909,0.388964,-0.227866,0.962182,0.29152,0.669594,-0.0449073,0.837912,0.527307,0.155708,0.443894,0.254297,0.937907,1.19527,0.885374,0.34166,0.0381002,0.276434,0.083564,0.839551,-0.00111956,0.596069,0.15786,-0.356861,-0.0804992,0.062738,1.45542,0.351946,0.128196,-0.662191,0.0141364,-0.0616873,0.217278,-0.227088,1.89395,0.698894,0.758182,0.461728,0.743655,-0.674575,0.684848,0.339698,0.563541,0.904857,0.722057,1.33937,0.673729,0.719322,-0.0678526,0.361848,0.827182,0.334136,0.0216093,0.645675,1.143,1.4118,0.118028,1.14871,0.127771,0.818558,1.6444,1.43237,0.239345,0.373274,-0.0723482,0.456094,0.414774,0.269623,-0.0914131,1.10769,-0.193359,0.0925496,0.321005,-0.0730461,1.0132,1.33755,1.15535,0.397035,0.358361,0.112152,2.99822,0.82913,0.110218,0.549206,0.100823,0.0917013,0.152738,0.226075,0.11549,0.233969,0.147994,0.303924,0.983885,0.291383,0.198704,0.364126,0.169297,0.517912,0.315314,0.0991697,0.208252,0.197915,0.0359291,0.202483,0.337354,0.304141,0.348848,0.228853,0.512453,0.177166,0.19235,0.33865,0.172557,0.535531,0.0685808,0.301353,-0.994546,-0.293756,1.2357,-0.687407,0.351618,0.712002,0.775622,-0.426418,0.889341,-0.795688,-0.663501,-0.435542,-0.960832,-1.0742,-0.50895,-1.03258,0.0342588,-0.612967,-0.829306,-1.44923,-1.6853,-1.54278,-1.82328,0.00738605,-0.0854354,-1.29155,-0.743998,-1.09202,-1.37215
6205.74,0.980714,0.00212247,11,2047,0,-6148.04,-0.469632,0.13769,0.14563,-0.0803988,-0.466383,0.0866688,-0.144435,0.0949235,-0.175105,0.584986,0.0972646,-0.0572653,0.310582,-0.874674,-1.01629,1.25422,-0.920597,-0.267876,0.346084,1.10943,-0.699691,0.632692,-0.252584,0.252815,0.297144,0.116563,0.0504131,-0.38881,-0.156474,0.411529,0.376025,0.433539,-0.694445,-1.22884,-0.377551,-0.816725,0.965415,0.289575,-0.5654,-0.163085,-0.675566,-0.141371,0.45077,0.516988,0.651874,0.327082,-0.263558,0.937489,0.224998,0.628903,-0.0739002,0.782753,0.504995,0.098401,0.379194,0.218258,0.905182,1.12311,0.842585,0.293433,-0.0357113,0.248733,0.0394835,0.816908,-0.0205242,0.546453,0.121424,-0.384183,-0.11354,0.0450883,1.42181,0.333381,0.0968048,-0.668407,-0.00397521,-0.123839,0.171108,-0.251682,1.85488,0.643387,0.71395,0.414476,0.703299,-0.673249,0.631367,0.296819,0.527799,0.865347,0.693008,1.26307,0.637066,0.700283,-0.115385,0.353198,0.727424,0.283885,0.0387486,0.575824,1.11524,1.37496,0.0895207,1.09765,0.111248,0.749589,1.61364,1.39733,0.206058,0.349637,-0.0796097,0.431162,0.401126,0.267225,-0.142622,1.05868,-0.218309,0.0676978,0.28082,-0.0969078,0.994249,1.30812,1.12876,0.375518,0.310867,0.0804851,2.86856,0.767248,0.115598,0.537187,0.0943711,0.0933488,0.165405,0.245156,0.132065,0.226439,0.147522,0.334415,0.979075,0.326458,0.208472,0.401962,0.173777,0.532281,0.297625,0.0945191,0.230343,0.215071,0.0351563,0.193484,0.342814,0.289201,0.318959,0.237035,0.531023,0.172899,0.192405,0.300682,0.189335,0.768672,0.0947759,0.393267,-0.947799,-0.258322,1.23282,-0.681994,0.386112,0.792325,0.828447,-0.409259,1.02721,-0.745353,-0.62676,-0.397434,-0.90151,-1.02503,-0.448773,-1.00143,0.0918817,-0.572799,-0.792281,-1.39301,-1.71071,-1.5519,-1.80182,0.0674705,-0.0460159,-1.24724,-0.714785,-1.06309,-1.3169
6205.57,0.999983,0.00212247,11,2047,0,-6125.19,-0.0503865,0.677235,0.0564417,-0.540239,-0.238026,-0.232463,-0.132731,-0.0572665,-0.153875,0.519943,0.591631,0.127356,0.153968,-1.08633,-0.538571,0.552362,-0.70893,-0.135165,0.354519,0.486602,-0.755511,1.10207,-0.467467,-0.142847,-0.0481733,-0.326245,-0.498339,-0.38862,-0.475162,0.236901,-0.0238057,-0.0968811,-0.558059,-1.06968,-0.607108,-0.490897,1.0683,0.812933,-0.207316,0.157356,-0.152897,0.0819569,0.389479,0.440198,0.558905,0.289015,-0.302507,0.849872,0.16551,0.558691,-0.136948,0.720543,0.457923,0.01719,0.317266,0.179759,0.849616,1.07812,0.774692,0.208526,-0.0879393,0.161423,-0.00954342,0.742365,-0.115537,0.52167,0.0559176,-0.445212,-0.192487,0.0127161,1.34479,0.265399,0.0277344,-0.715315,-0.0908397,-0.180827,0.093108,-0.308346,1.7837,0.583095,0.65761,0.363777,0.613985,-0.753346,0.597779,0.209717,0.459306,0.792386,0.638408,1.22492,0.535428,0.632126,-0.158492,0.253535,0.701813,0.23814,-0.0213919,0.533308,1.02424,1.2933,0.0400749,1.03673,0.0317944,0.701643,1.52363,1.33787,0.150063,0.2518,-0.149734,0.365966,0.310527,0.196147,-0.166187,0.998652,-0.270536,0.023569,0.213416,-0.18211,0.954489,1.243,1.0578,0.319741,0.236222,0.0267815,3.06947,0.820826,0.110782,0.559307,0.0935364,0.0901403,0.171701,0.245196,0.126358,0.227678,0.140852,0.322261,0.966495,0.327194,0.209964,0.397874,0.166012,0.548089,0.320008,0.0921933,0.227864,0.206418,0.036732,0.176713,0.363179,0.310509,0.307517,0.246078,0.518819,0.165815,0.168574,0.307347,0.167924,0.900466,0.171125,0.439036,-0.880781,-0.185558,1.3377,-0.620984,0.441475,0.825133,0.862764,-0.364417,0.992893,-0.665576,-0.597385,-0.290263,-0.851466,-0.934811,-0.365841,-0.912029,0.127147,-0.513685,-0.72813,-1.3302,-1.62552,-1.51636,-1.72641,0.0886846,0.0146141,-1.18235,-0.645546,-0.977722,-1.25075
6176.31,0.98054,0.00212247,11,2047,0,-6099.43,0.389007,-0.375857,-0.179848,-0.886407,-0.506091,0.146293,-0.309713,0.188579,-0.259324,0.59237,-0.533539,-0.658186,-0.262827,-1.39869,-1.64795,0.852264,-1.51039,-0.835652,-0.241984,0.643887,-1.25222,-0.146,-0.533321,0.1518,-0.0951037,0.040329,-0.297839,-0.750513,-0.23289,0.12871,0.280101,0.383823,-0.893197,-1.30295,-0.447471,-1.23208,0.685128,-0.104198,-0.908583,-0.430694,-1.07798,-0.540175,0.527139,0.526089,0.70497,0.381277,-0.207812,0.979563,0.255384,0.668177,-0.0365988,0.832753,0.532992,0.169485,0.423777,0.278689,0.961747,1.18034,0.871828,0.332574,0.056346,0.308254,0.0869192,0.840427,0.0192419,0.604896,0.190434,-0.320955,-0.0731108,0.0884262,1.46061,0.390865,0.143196,-0.56734,0.0744124,-0.0775663,0.222493,-0.189819,1.91169,0.698522,0.748474,0.459264,0.745463,-0.641932,0.686111,0.339503,0.60035,0.886983,0.756442,1.31527,0.670793,0.733861,-0.0646835,0.408122,0.808101,0.352307,0.0741572,0.638684,1.15384,1.40914,0.127606,1.17436,0.196447,0.830948,1.67357,1.4317,0.275024,0.386786,-0.0232268,0.50773,0.441491,0.284255,-0.0887678,1.10896,-0.159793,0.150688,0.348211,-0.0531702,1.05179,1.35374,1.1642,0.425197,0.35591,0.146539,2.3538,0.823981,0.129468,0.516497,0.0927566,0.11325,0.161861,0.242325,0.120213,0.233983,0.144394,0.335534,0.981043,0.305039,0.203405,0.372471,0.158538,0.575035,0.33553,0.0942895,0.223731,0.216426,0.0343798,0.186132,0.308896,0.273386,0.339732,0.242681,0.472958,0.167537,0.176032,0.301673,0.199115,0.725121,0.0368881,0.304741,-1.0002,-0.295358,1.20239,-0.721384,0.351859,0.720094,0.764583,-0.45922,0.864443,-0.81326,-0.700859,-0.441053,-0.962619,-1.05708,-0.560798,-1.04798,0.0366328,-0.647702,-0.844559,-1.4662,-1.72638,-1.62235,-1.85929,-0.0186598,-0.11218,-1.29229,-0.758759,-1.14232,-1.37403
