# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_C_sim4_nocor_model
# start_datetime = 2022-02-24 14:27:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpEdkaY0/standata-5360330a6882.json
# init = 2 (Default)
# random
#   seed = 1306202872
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim4_nocor-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_C_sim4_nocor-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_C_sim4_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,l,s_HJ.1,s_HJ.2,s_HJ.3,s_HJ.4,s_HJ.5,s_HJ.6,s_HJ.7,s_HJ.8,s_HJ.9,s_HJ.10,s_HJ.11,s_HJ.12,s_HJ.13,s_HJ.14,s_HJ.15,s_HJ.16,s_HJ.17,s_HJ.18,s_HJ.19,s_HJ.20,s_HJ.21,s_HJ.22,s_HJ.23,s_HJ.24,s_HJ.25,s_HJ.26,s_HJ.27,s_HJ.28,s_HJ.29,s_HJ.30,s_HJ.31,s_HJ.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00211567
# Diagonal elements of inverse mass matrix:
# 0.170622, 0.126896, 0.161023, 0.128488, 0.0211305, 0.0197543, 0.0259421, 0.0137521, 0.182586, 0.0194603, 0.244314, 0.23439, 0.202978, 0.207593, 0.250486, 0.262366, 0.232805, 0.228165, 0.211667, 0.218102, 0.205044, 0.300996, 0.213081, 0.24768, 0.219106, 0.248065, 0.240019, 0.25425, 0.248456, 0.226639, 0.24767, 0.25544, 0.207447, 0.24323, 0.25978, 0.274173, 0.205514, 0.240545, 0.223826, 0.205618, 0.235921, 0.285941, 0.199169, 0.00532995, 0.200216, 0.200542, 0.201148, 0.200265, 0.200211, 0.200293, 0.200509, 0.200989, 0.200893, 0.200898, 0.199798, 0.199388, 0.200363, 0.2008, 0.200516, 0.200964, 0.200124, 0.200962, 0.200603, 0.199945, 0.201011, 0.200447, 0.200315, 0.202256, 0.2007, 0.200994, 0.200895, 0.200613, 0.200035, 0.202396, 0.200685, 0.20043, 0.199929, 0.200385, 0.20146, 0.200366, 0.200755, 0.200506, 0.201055, 0.201961, 0.200143, 0.200998, 0.199835, 0.200388, 0.200427, 0.200661, 0.201111, 0.200225, 0.200729, 0.200258, 0.201055, 0.200768, 0.202257, 0.200423, 0.201531, 0.200114, 0.200165, 0.200797, 0.200536, 0.200362, 0.200772, 0.20013, 0.200246, 0.199898, 0.200148, 0.200674, 0.200602, 0.20079, 0.200642, 0.200493, 0.201739, 0.201053, 0.200469, 0.200852, 0.200217, 0.200751, 0.200271, 0.200029, 0.200744, 0.20042, 0.0284048, 0.00218762, 0.00366136, 0.00232634, 0.00292439, 0.00358485, 0.00254948, 0.00260908, 0.00338665, 0.00255325, 0.00349794, 0.0023379, 0.00244689, 0.0024555, 0.00260837, 0.00257332, 0.00269412, 0.00244226, 0.00269352, 0.00320986, 0.00316741, 0.00252336, 0.00592283, 0.00270774, 0.00236083, 0.00285341, 0.00272668, 0.0026783, 0.0025087, 0.00263614, 0.00234975, 0.00244171, 0.00324311
6191.74,0.988326,0.00211567,11,2047,0,-6127.87,0.1432,0.749932,0.0146802,-0.342175,-0.143295,-0.0480197,-0.00304547,0.128899,-0.219369,0.62386,0.561801,0.0208449,0.197671,-1.04894,-0.547296,0.963961,-0.798219,0.0662535,0.528326,0.690842,-0.648613,0.792649,-0.167491,-0.0184658,0.21174,-0.257967,-0.285178,-0.039172,-0.385844,0.561018,0.0347337,-0.072455,-0.561016,-0.724204,-0.435194,-1.13403,0.868591,0.479312,-0.578622,0.0152323,-0.473241,-0.629311,-0.17665,0.590533,-0.0950792,-0.381744,-0.953934,0.215845,-0.484317,-0.0804896,-0.761249,0.0768888,-0.232023,-0.640864,-0.347188,-0.509498,0.189191,0.421244,0.107105,-0.425526,-0.747533,-0.467482,-0.685274,0.0934888,-0.768329,-0.197634,-0.61617,-1.08331,-0.836757,-0.64348,0.686149,-0.405508,-0.644563,-1.36442,-0.733593,-0.860295,-0.556619,-0.980352,1.11866,-0.077698,0.0149382,-0.304795,-0.0384233,-1.41976,-0.0678671,-0.445357,-0.220703,0.0887568,-0.0116527,0.533699,-0.105652,-0.0835724,-0.822692,-0.390067,0.063966,-0.398388,-0.678566,-0.134,0.377662,0.639108,-0.638805,0.335509,-0.608526,0.0216732,0.876767,0.668968,-0.501814,-0.386237,-0.81174,-0.285003,-0.316478,-0.488571,-0.860953,0.349312,-0.962536,-0.652278,-0.45256,-0.852331,0.290316,0.576717,0.401572,-0.346512,-0.389835,-0.613143,3.60995,0.83245,0.123654,0.560493,0.0888912,0.095514,0.179657,0.235317,0.13899,0.257506,0.135989,0.318597,0.965696,0.325079,0.202582,0.393867,0.162403,0.585784,0.319934,0.0861976,0.210515,0.204281,0.0329833,0.197611,0.321541,0.297878,0.337976,0.26461,0.524783,0.182564,0.181179,0.290261,0.175213,1.53927,0.838735,1.0689,-0.225579,0.456764,1.95251,0.0462662,1.11301,1.51126,1.52498,0.286445,1.61039,0.0212006,0.092712,0.297094,-0.189343,-0.316845,0.282498,-0.264028,0.802901,0.124635,-0.0676602,-0.705892,-0.902234,-0.825991,-1.06774,0.762187,0.645424,-0.518892,0.015212,-0.323086,-0.621533
6193.1,0.883369,0.00211567,11,2047,0,-6116.58,-0.668725,1.09105,0.748298,0.313554,-0.223584,0.133045,-0.0249702,0.142812,0.246686,0.500127,0.543597,0.0278239,0.375326,-0.818977,-0.606078,1.55021,-0.767115,0.18342,0.695292,1.15103,-0.433318,0.585819,0.0468589,0.283226,0.503981,0.0716353,0.072611,0.122718,-0.0776938,0.766535,0.381657,0.299555,-0.213856,-0.490256,-0.0242737,-0.738085,1.23806,0.875127,-0.253537,0.305466,-0.169508,-0.191147,-0.52874,0.485369,-0.231529,-0.521758,-1.11453,0.0730258,-0.650532,-0.223385,-0.900199,-0.072063,-0.344271,-0.762118,-0.492507,-0.629305,0.0287431,0.274872,-0.0496607,-0.595058,-0.881068,-0.611979,-0.814838,-0.0719154,-0.900394,-0.302,-0.771793,-1.22197,-0.971036,-0.822636,0.522237,-0.539324,-0.753718,-1.55892,-0.888213,-0.977328,-0.669605,-1.11739,0.971966,-0.249153,-0.164765,-0.446744,-0.175212,-1.56519,-0.224696,-0.57996,-0.338065,-0.0274886,-0.185261,0.414535,-0.229243,-0.148976,-0.972853,-0.542721,-0.105853,-0.573908,-0.879904,-0.294714,0.228034,0.48724,-0.768349,0.176655,-0.779248,-0.113308,0.723797,0.507389,-0.671355,-0.518975,-0.94587,-0.43947,-0.468178,-0.622135,-0.994182,0.193275,-1.08548,-0.779142,-0.577504,-0.997716,0.155851,0.428246,0.263124,-0.479455,-0.573867,-0.813243,2.65165,0.713231,0.11959,0.525132,0.105581,0.0979406,0.163055,0.241655,0.133267,0.249245,0.147537,0.318063,0.971888,0.332351,0.229929,0.371348,0.160787,0.571672,0.32351,0.0941328,0.217511,0.223743,0.0364781,0.171765,0.336433,0.299867,0.323657,0.247594,0.503449,0.163714,0.184659,0.296666,0.160917,1.72142,0.956662,1.17942,-0.0895795,0.613241,2.12141,0.20322,1.26139,1.67367,1.68929,0.470368,1.7224,0.13407,0.229274,0.450173,-0.0487124,-0.163786,0.417415,-0.115047,0.936741,0.294507,0.079614,-0.542926,-0.812747,-0.678744,-0.912602,0.91071,0.914676,-0.379978,0.144106,-0.154858,-0.456958
6185.47,0.790085,0.00211567,11,2047,0,-6105.54,0.95509,-0.545171,-0.590023,-0.906284,-0.448377,-0.0587029,-0.107735,-0.0810675,0.23076,0.787722,0.672917,0.52703,0.684216,-0.476502,-0.429768,1.40814,-0.342751,0.178391,0.757314,1.35892,-0.281809,1.18738,-0.154447,0.297579,0.423996,0.149365,0.173778,-0.321064,-0.0991461,0.480181,0.424036,0.469532,-0.301267,-0.901516,-0.147349,0.135425,1.52992,1.07032,0.185847,0.429871,0.0944297,0.749523,-0.421546,0.544354,-0.23922,-0.53818,-1.13379,0.0978994,-0.639399,-0.210713,-0.947552,-0.0503502,-0.346257,-0.749297,-0.476182,-0.638227,0.0475185,0.273214,-0.0162614,-0.582014,-0.877191,-0.622796,-0.816192,-0.0501774,-0.889958,-0.285427,-0.723614,-1.23362,-0.971585,-0.809898,0.568704,-0.531026,-0.761545,-1.53788,-0.868195,-0.971551,-0.662358,-1.10739,1.00391,-0.202746,-0.136642,-0.415143,-0.149379,-1.57006,-0.208451,-0.541022,-0.312551,-0.0334617,-0.159455,0.424309,-0.27739,-0.182204,-0.953498,-0.512032,-0.101833,-0.555243,-0.820707,-0.264892,0.267116,0.495423,-0.752088,0.266011,-0.769563,-0.104841,0.760471,0.549155,-0.619609,-0.514389,-0.946509,-0.396864,-0.448896,-0.603615,-1,0.21705,-1.099,-0.768742,-0.552965,-0.982641,0.142283,0.463182,0.274051,-0.471491,-0.549099,-0.804775,3.33977,0.846794,0.118701,0.541674,0.0900193,0.0921415,0.161526,0.24697,0.130627,0.212254,0.136534,0.308601,0.924388,0.310947,0.186215,0.360504,0.173609,0.54718,0.319298,0.0900313,0.204423,0.18173,0.0348164,0.209531,0.34024,0.307533,0.33038,0.238172,0.537931,0.197751,0.165275,0.330055,0.204339,1.62137,0.976169,1.2087,-0.10181,0.601905,2.11661,0.189607,1.25212,1.63132,1.67581,0.442403,1.72762,0.110617,0.221894,0.463918,-0.0594702,-0.152464,0.360095,-0.141543,0.911683,0.281776,0.0609703,-0.567582,-0.787175,-0.69876,-0.923339,0.899594,0.808311,-0.409042,0.13242,-0.217514,-0.492323
6185.56,0.8923,0.00211567,11,2047,0,-6115.49,0.381385,0.415525,-0.451995,-0.617993,-0.372768,-0.212054,0.0310458,6.71089e-05,0.312621,0.598054,0.953175,0.65309,0.737435,-0.510369,-0.189563,1.09136,-0.208032,0.237074,0.809204,1.14674,-0.245372,1.56719,0.0835256,0.310058,0.712178,0.167495,0.435606,0.0377858,-0.0505995,0.755708,0.442489,0.439166,-0.0807166,-0.653254,0.0685132,-0.0835393,1.57687,1.23542,0.22109,0.572888,0.226744,0.59644,-0.52914,0.480243,-0.24627,-0.535097,-1.12228,0.0399746,-0.644848,-0.270136,-0.912943,-0.0969978,-0.369657,-0.784663,-0.505293,-0.631931,0.0397381,0.237155,-0.0682788,-0.578741,-0.882282,-0.647022,-0.807952,-0.0891033,-0.920109,-0.284338,-0.78635,-1.26275,-0.987418,-0.81223,0.528535,-0.558797,-0.774135,-1.5535,-0.886931,-1.02058,-0.685012,-1.11706,0.977061,-0.229032,-0.137838,-0.462052,-0.19305,-1.56628,-0.240584,-0.603382,-0.351524,-0.0360387,-0.183009,0.391214,-0.264062,-0.186993,-1.01225,-0.539823,-0.1368,-0.610076,-0.85185,-0.305579,0.199293,0.47028,-0.7929,0.220496,-0.768076,-0.138463,0.73363,0.481508,-0.68452,-0.539067,-0.952299,-0.461802,-0.518955,-0.612044,-0.994476,0.159943,-1.08839,-0.817657,-0.618115,-1.00164,0.125717,0.428715,0.240949,-0.4963,-0.54643,-0.789274,3.0818,0.831222,0.132278,0.50801,0.0902453,0.0907367,0.16316,0.242085,0.128386,0.21348,0.138252,0.310454,0.931169,0.327274,0.19912,0.359713,0.152861,0.559011,0.357154,0.0949296,0.215122,0.201235,0.0339804,0.199042,0.369067,0.306841,0.323451,0.235005,0.514133,0.176606,0.172421,0.303429,0.170215,1.70806,0.992857,1.30309,-0.0692459,0.634507,2.13648,0.200922,1.25936,1.66544,1.70305,0.486333,1.81943,0.171002,0.23486,0.491864,-0.0184013,-0.089126,0.471193,-0.0981236,0.981557,0.311942,0.0872231,-0.511844,-0.835378,-0.6671,-0.971093,0.910576,0.942798,-0.348275,0.18334,-0.107388,-0.443324
6190.87,0.995575,0.00211567,11,2047,0,-6111.42,0.34194,0.681479,-0.355037,-0.617128,-0.193316,-0.232921,-0.0782217,-0.0825398,0.231121,0.513014,0.944428,0.476666,0.437744,-0.774265,-0.142667,0.868692,-0.327792,0.285511,0.757302,0.815645,-0.378594,1.44496,0.140526,0.443858,0.589412,0.207492,0.105841,0.263305,0.0744552,0.897621,0.509689,0.436745,-0.191873,-0.718523,-0.225199,-0.0381886,1.49139,1.24299,0.210264,0.576871,0.335575,0.460856,-0.30092,0.57805,-0.152949,-0.435699,-1.03747,0.152662,-0.567326,-0.17113,-0.834174,0.000518383,-0.284998,-0.702733,-0.402921,-0.560394,0.120759,0.3739,0.0371539,-0.44714,-0.7961,-0.532833,-0.742238,0.028305,-0.830094,-0.192747,-0.680135,-1.17856,-0.911486,-0.705269,0.633416,-0.463354,-0.677638,-1.40873,-0.792781,-0.863252,-0.575689,-1.03603,1.08199,-0.146786,-0.0691403,-0.375037,-0.115081,-1.45725,-0.153009,-0.493794,-0.263978,0.059096,-0.100564,0.51249,-0.168964,-0.0753503,-0.897877,-0.445625,-0.0590229,-0.481025,-0.730779,-0.196946,0.293253,0.569,-0.696632,0.329548,-0.662654,-0.0193608,0.827853,0.603895,-0.570297,-0.454385,-0.874933,-0.323315,-0.39349,-0.528862,-0.894398,0.293371,-1.00122,-0.722342,-0.50314,-0.920857,0.220776,0.509563,0.329659,-0.410537,-0.485955,-0.698697,2.84813,0.876433,0.126076,0.542892,0.0895002,0.0985997,0.170848,0.236111,0.134138,0.251239,0.133266,0.333863,0.943057,0.342759,0.211774,0.415258,0.160425,0.62444,0.298321,0.101824,0.215062,0.208263,0.0335158,0.189102,0.348045,0.29824,0.338932,0.231566,0.535675,0.182606,0.167136,0.293898,0.174477,1.5772,0.89416,1.09534,-0.181256,0.525985,2.02083,0.125582,1.17991,1.56559,1.59134,0.365109,1.69412,0.0207682,0.145416,0.404358,-0.148357,-0.237084,0.322946,-0.209635,0.849623,0.182543,-0.00521553,-0.650512,-0.965455,-0.759169,-0.981253,0.82822,0.691033,-0.485214,0.0572194,-0.237912,-0.561144
6202.76,0.849743,0.00211567,11,2047,0,-6122.59,0.918314,0.150986,-0.417213,-1.23219,-0.189266,-0.119358,-0.16981,0.0947337,-0.0465707,0.53539,0.515638,0.0179557,0.19718,-1.11899,-0.603892,0.752708,-0.799799,-0.0737755,0.40877,0.580377,-0.715013,0.872957,-0.240636,0.127768,0.0605838,-0.106614,-0.377749,-0.123913,-0.240196,0.475683,0.208605,0.116053,-0.403325,-0.668759,-0.303985,-0.823464,1.07809,0.726576,-0.351299,0.18468,-0.272693,-0.281601,-0.187405,0.525387,-0.0612724,-0.366568,-0.960098,0.233529,-0.4758,-0.0878544,-0.759541,0.0580519,-0.19427,-0.590743,-0.321366,-0.450138,0.187861,0.409833,0.1214,-0.388054,-0.700553,-0.461215,-0.670729,0.0870192,-0.744231,-0.130013,-0.579405,-1.09013,-0.803947,-0.659058,0.706482,-0.37095,-0.620144,-1.36662,-0.696073,-0.790398,-0.554328,-0.979195,1.16401,-0.067163,-0.00497834,-0.300312,-0.0106093,-1.39818,-0.0604874,-0.380435,-0.158888,0.162838,-0.0100877,0.592389,-0.0601201,-0.0611921,-0.81874,-0.368161,0.0412467,-0.394382,-0.664692,-0.133477,0.413043,0.661874,-0.607509,0.407267,-0.584486,0.0606425,0.921215,0.693063,-0.457524,-0.362527,-0.796089,-0.258687,-0.334915,-0.450094,-0.820157,0.348854,-0.922232,-0.593619,-0.416727,-0.837632,0.285745,0.61637,0.418265,-0.311259,-0.363503,-0.641474,2.39888,0.84086,0.11811,0.571073,0.0947871,0.100514,0.165803,0.237381,0.144632,0.2405,0.14305,0.328648,0.982178,0.34033,0.213828,0.391113,0.166076,0.595255,0.322585,0.0965079,0.214999,0.199021,0.03768,0.188567,0.356946,0.295838,0.336354,0.243534,0.548179,0.193186,0.167062,0.304943,0.178895,1.52853,0.820076,1.12568,-0.253714,0.444124,1.94803,0.0374489,1.08657,1.48481,1.51583,0.297797,1.61895,-0.0304142,0.0698217,0.300103,-0.220764,-0.292792,0.261949,-0.284091,0.756161,0.122557,-0.0824043,-0.721263,-0.954971,-0.87122,-1.08904,0.735454,0.668361,-0.550026,-0.0174476,-0.351985,-0.624463
