# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_model
# start_datetime = 2022-02-28 23:42:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df462b1ddb.json
# init = 2 (Default)
# random
#   seed = 1920737066
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32
# Adaptation terminated
# Step size = 0.0629287
# Diagonal elements of inverse mass matrix:
# 0.153876, 0.111102, 0.0959465, 0.0996985, 0.0189774, 0.0092692, 0.160176, 0.487663, 0.469228, 0.434591, 0.459493, 0.660498, 0.520785, 0.640307, 0.566173, 0.402934, 0.422383, 0.548663, 0.422855, 0.529351, 0.489726, 0.329053, 0.434244, 0.395463, 0.507378, 0.395139, 0.386195, 0.4855, 0.418933, 0.421522, 0.474298, 0.830372, 0.513366, 0.607024, 0.709896, 0.652687, 0.395808, 0.43089, 0.446659, 0.538274, 1.0235, 0.0200669, 0.0229007, 0.0221238, 0.0205262, 0.0212512, 0.0227021, 0.0178658, 0.0203864, 0.0237087, 0.0220261, 0.0161792, 0.017224, 0.0218225, 0.0158534, 0.0203629, 0.0189245, 0.0163552, 0.0225802, 0.0219998, 0.0252129, 0.0204935, 0.0208479, 0.0228892, 0.0213188, 0.019211, 0.0194436, 0.0188911, 0.0203392, 0.0221484, 0.0205245, 0.0204142, 0.0254164
-27.5926,0.931234,0.0629287,6,63,0,58.4985,-1.14876,0.430637,-0.0262337,-0.301113,-0.294545,0.13522,0.125302,0.479976,0.88511,-0.802922,-0.17875,-1.81345,-1.43266,1.26022,-0.112979,-0.662755,0.403939,1.08357,-1.26445,1.494,0.700989,0.0460907,1.02491,-0.198931,-0.171947,0.321837,-0.181041,0.763704,0.654526,0.247303,-1.8634,-1.30832,-0.603423,-1.13691,3.06042,1.61786,1.11074,1.12813,-0.0985944,0.822577,0.316465,0.598633,-0.257603,0.111925,-1.13812,-0.47507,0.549762,-0.859756,0.135157,0.31769,0.129319,-0.464275,0.798271,-0.8611,-0.809697,-0.498167,-0.833141,-1.4769,-0.683605,-0.778989,-0.432679,-0.551146,-0.579637,-2.14014,-2.06286,-1.83407,-1.87946,-0.0433962,-0.0063389,-1.15914,-0.699071,-1.09614,-1.0831,0.550134,-0.260082,0.039506,-0.745111,-0.562342,0.730178,0.0710747,-0.192805,0.319183,0.645388,-0.481604,0.842385,0.46176,0.147424,0.617234,0.02982,0.0427714,0.279776,0.0384065,0.491862,0.439459,0.244002,-0.769084,-0.502662,-0.164327,-0.420386,1.59423,0.901836,0.658429,0.666776,0.077979,0.52012
-42.5093,0.991749,0.0629287,6,63,0,77.8135,-0.161835,0.108642,-0.592787,-0.809849,-0.0635458,0.352088,-0.804104,0.496692,0.981427,-0.15874,0.956375,-2.46162,-2.12277,2.78999,-1.48575,0.740504,-0.634034,1.93029,-1.28697,0.292198,-0.230193,-1.44908,0.381315,-0.0328109,-0.59485,1.26087,-1.09224,0.96956,-0.932377,-0.105503,0.0329352,0.0140373,0.191307,-1.60313,2.39857,1.2075,-0.0413946,0.905076,0.22619,-1.1652,0.314229,0.750116,0.0136452,0.399981,-1.37502,-0.608602,0.858299,-0.846327,-0.0359484,0.273995,0.377258,-0.657307,0.877211,-0.70527,-1.05194,-0.844772,-0.647682,-1.35257,-0.418381,-0.96532,-0.421169,-0.452228,-0.655067,-1.71969,-2.40325,-1.93662,-1.8486,0.0350689,-0.0253772,-1.15155,-0.574252,-0.866599,-0.951524,-0.316637,-0.882948,-0.32908,-2.02677,-1.85847,0.58166,-1.54206,-0.436301,-1.11902,0.154657,-1.44333,-0.658972,-0.918439,-1.52385,-0.614708,-0.820401,-1.09956,-0.177842,-1.34661,-0.322532,-1.26721,-0.856506,-0.787745,-0.797132,-0.709083,-1.60036,0.387245,-0.204348,-0.824664,-0.35456,-0.691757,-1.38285
-15.6081,0.884955,0.0629287,6,63,0,54.6383,-0.112881,0.611867,0.0612128,-0.53899,-0.0749801,0.09438,-0.692337,0.690297,0.382376,-0.936487,0.458881,-1.35182,-1.39013,0.405793,-1.46292,-0.150281,-0.518701,0.524308,-0.589046,0.499696,-0.645885,-0.15695,0.491081,-0.4019,-1.19736,-0.194675,-0.574116,1.10519,-1.21041,-0.388343,-0.846312,-1.18221,-1.28411,-1.24924,1.70348,1.25003,0.807903,0.212488,0.154924,0.187472,0.234106,0.740831,-0.430518,0.216753,-0.859704,-0.54491,0.295958,-1.027,-0.0799672,0.345983,0.324062,-0.337782,0.62456,-0.898448,-0.418464,-0.381809,-0.807565,-1.37631,-0.707301,-0.890762,-0.161162,-0.680739,-0.844395,-1.6779,-2.19466,-2.00395,-1.89259,-0.2588,0.0665732,-0.790927,-0.604016,-0.985333,-1.05353,-0.428384,-1.33879,-0.375573,-1.62549,-1.65194,-0.412219,-1.70219,-0.796076,-1.0504,-0.330409,-1.09895,-0.347399,-1.13819,-0.800679,-0.353346,-0.969768,-1.51887,-0.82672,-1.08865,0.0705729,-1.52788,-0.960409,-1.27654,-1.50841,-1.57875,-1.55469,0.483572,0.170553,-0.134644,-0.545657,-0.585393,-0.562926
-14.4934,0.939652,0.0629287,6,63,0,48.3609,-0.260095,0.29301,-0.113324,-0.530854,-0.195203,0.136702,-0.349382,0.58,1.03259,-1.02151,0.395493,-1.68082,-1.66558,1.88138,-2.3406,-0.318936,-0.275769,0.181277,-1.09829,0.485338,-0.936978,-0.0350305,0.0427881,-0.722928,-1.09412,-0.756771,-0.769371,0.381636,-0.687786,-0.258619,-0.786805,-1.43592,-1.08749,-1.60073,1.20148,0.824634,-0.434425,-0.399317,0.499437,-0.0237587,0.225606,0.829735,-0.137896,0.246596,-1.28514,-0.443823,0.622918,-0.859537,0.15831,0.0732522,0.104568,-0.510771,0.864644,-1.01375,-0.550749,-0.812931,-1.0749,-1.37412,-0.740672,-0.87924,-0.0123133,-0.805529,-0.801569,-1.63578,-2.11416,-1.75414,-1.84976,-0.258051,-0.256595,-0.926176,-0.869711,-0.891648,-1.01099,0.249522,-0.94186,-0.119997,-1.32426,-1.31542,0.741819,-1.70693,-0.534365,-0.509328,-0.244241,-0.986393,-0.0678863,-0.892829,-0.3697,-0.324565,-0.76868,-0.983969,-0.788309,-0.795617,-0.128033,-0.748298,-0.499381,-0.805729,-1.18221,-0.980129,-1.2778,0.347477,0.128905,-0.601348,-0.580986,-0.0597089,-0.363162
-27.9745,0.818015,0.0629287,6,63,0,56.9455,-0.973575,1.08353,0.490409,0.0515886,-0.176233,0.0274886,-0.293135,0.488382,0.272055,0.54231,0.53947,-2.30444,-2.01793,1.06473,-0.419965,-0.542552,-0.117199,0.40128,-1.25215,0.366283,0.616768,0.609471,-1.11247,0.0517277,-0.341892,-0.110774,-1.14261,-0.0735918,0.486392,-0.232342,-0.986474,-2.47977,-0.564301,-0.519441,1.86207,1.41803,0.311475,1.04192,0.48433,1.28852,0.264519,0.594669,-0.169346,0.34905,-1.13685,-0.595009,0.634601,-0.744029,-0.0722976,0.219115,0.19195,-0.368772,0.642869,-0.711908,-0.646604,-0.866996,-0.661858,-1.3071,-0.607804,-0.793737,-0.625467,-0.574786,-0.918443,-1.73359,-2.32077,-1.81727,-1.96145,-0.0848721,-0.0632491,-0.920768,-0.878893,-0.77434,-1.09795,-0.160268,-0.0282804,-0.0296676,-1.41858,-1.27865,0.226861,-0.498238,-0.558107,-0.350372,-0.0971572,-0.90466,-0.114249,0.0080831,0.00451956,-0.836447,-0.267872,-0.460109,-0.347235,-0.851164,-0.329076,-0.0555897,-0.406606,-0.774911,-1.50421,-0.568729,-0.54682,0.616267,0.399406,-0.141016,0.21572,-0.0565972,0.336157
-23.1185,0.980484,0.0629287,6,63,0,59.2367,-0.609253,0.620409,0.479381,-0.145014,-0.158838,-0.0620651,-0.0532285,0.531845,1.17807,-0.781439,0.449187,-1.57906,-0.202293,0.912181,-1.78394,-0.93267,0.366938,0.741332,-0.222476,0.848278,-1.39264,-0.411721,0.356892,0.104479,-1.86066,-1.03794,-0.304066,-0.442571,-0.106543,-0.413769,-0.242472,-1.83158,-1.87303,-0.350184,2.15433,1.64626,0.609517,0.591767,0.776615,0.526863,0.248151,0.547247,-0.402658,0.129322,-1.0372,-0.158412,0.865777,-0.841487,0.119387,0.269634,0.327611,-0.492036,0.669381,-0.794311,-0.491147,-0.554544,-0.842137,-1.32967,-0.611347,-0.913483,-0.153902,-0.468837,-0.711122,-1.55217,-2.05975,-2.00984,-1.77674,0.0279524,0.0333484,-1.04793,-0.406398,-0.917384,-1.02013,0.573322,-0.468832,0.185669,-0.893042,-0.160817,0.43191,-1.00201,-0.549264,0.141925,0.341045,-0.171551,0.397924,-0.793896,-0.2722,0.136583,0.00233816,-1.04281,-0.60525,-0.214944,-0.288607,-0.109893,-0.273289,-0.182186,-1.02735,-1.04939,-0.239472,1.09254,0.822325,0.27094,0.2615,0.35981,0.226981
