# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_model
# start_datetime = 2022-03-09 18:50:37 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc2cf83d3a.json
# init = 2 (Default)
# random
#   seed = 539465750
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32
# Adaptation terminated
# Step size = 0.0274231
# Diagonal elements of inverse mass matrix:
# 0.161597, 0.103502, 0.099017, 0.0988746, 0.0157071, 0.00663343, 0.152349, 0.624007, 0.610415, 0.500227, 0.507554, 0.481409, 0.462926, 0.648396, 0.641112, 0.507041, 0.49799, 0.439606, 0.533341, 0.5769, 0.780961, 0.486392, 0.427563, 0.52615, 0.495168, 0.564105, 0.461088, 0.557032, 0.478588, 0.778361, 0.599647, 0.639656, 0.489958, 0.561806, 0.467125, 0.600543, 0.541729, 0.719754, 0.547058, 0.597509, 0.670396, 0.0171547, 0.0210229, 0.0186483, 0.0197632, 0.0191058, 0.022174, 0.017924, 0.0198328, 0.0223914, 0.0224218, 0.0183619, 0.018426, 0.0176806, 0.0173178, 0.0205351, 0.0220976, 0.0159421, 0.0215944, 0.0190344, 0.0218025, 0.0171874, 0.0184048, 0.021354, 0.0248894, 0.0219922, 0.0189881, 0.0202735, 0.020137, 0.0206691, 0.0165192, 0.0233973, 0.0207667
-31.8333,0.979996,0.0274231,7,127,0,69.5703,-0.501531,0.0285524,-0.126749,-0.140972,-0.228435,0.142696,-0.442753,0.172061,0.109029,-0.791053,-0.173537,-0.105079,0.0295879,-0.135723,0.459211,0.850672,0.882773,-0.885357,-1.03444,-0.0796947,-0.414588,1.02429,0.22812,1.56163,-0.518617,-0.694589,1.50981,-0.426571,0.030146,-0.764963,-1.48379,0.332164,-0.993469,0.82338,0.486994,0.416282,-0.556114,1.37779,0.560494,-0.829083,0.471168,-0.659537,-0.87667,-0.390476,-0.231576,-0.596458,0.69153,-0.439873,-0.269777,-0.041585,0.157892,-0.783638,-0.889779,0.500545,-0.951578,-0.72511,-0.501346,-0.99008,0.0964125,-1.01099,-1.21436,-0.41369,-1.72522,-1.30721,-2.06497,-1.53004,-1.01905,-0.589289,-0.557203,-1.47391,0.0933327,-1.70909,-0.8765,-0.423994,-0.578863,-0.472613,-0.460833,-0.437663,-0.466106,-0.363741,-0.296386,-0.290863,-0.595089,-0.620741,-0.456466,-0.514088,-0.266513,-0.403503,-0.174057,-0.531987,-0.562265,-0.182973,-0.51615,-0.437567,-0.574374,-0.698056,-0.385601,-0.613691,-0.301082,-0.358961,-0.371128,-0.538439,-0.205689,-0.346314,-0.585406
-43.3784,0.999362,0.0274231,7,127,0,74.582,-0.0260248,-0.486937,0.0249598,-0.235399,-0.417739,0.276866,-1.04317,0.232095,-0.476232,-0.490381,-0.886342,-0.414371,-1.58629,-1.01086,2.30524,0.237874,0.648621,1.03603,-0.0267739,0.59462,0.276575,-0.447003,0.261881,0.780425,0.738169,-0.148767,0.525841,-1.49168,0.896184,-1.14649,-0.126746,-0.189194,0.0912363,1.49097,-1.97466,-0.335599,0.552377,-1.32103,0.412695,1.04992,0.470234,-0.548475,-0.963307,-0.733575,-0.385785,-0.674771,0.777166,-0.298547,-0.10277,-0.268529,-0.168425,-0.849992,-0.921112,0.29837,-0.785932,-1.00318,-0.617081,-0.556771,0.071117,-1.02425,-0.823375,-0.623756,-1.67775,-1.30946,-1.86741,-1.3584,-1.24559,-0.851876,-0.218246,-1.32426,-0.182952,-1.48809,-0.760473,-1.1537,-1.15699,-1.24889,-1.13934,-1.41134,-1.27779,-0.508137,-0.987962,-0.89263,-0.802714,-1.04939,-0.905163,-0.97898,-1.14692,-0.982391,-0.862039,-0.871847,-1.0777,-0.921127,-1.38938,-0.835172,-1.30927,-1.07259,-1.08708,-1.022,-0.697126,-1.50148,-1.12106,-0.914968,-1.34978,-0.947387,-0.799492
-50.7995,0.999536,0.0274231,7,255,0,89.9452,-0.364445,0.741034,0.380832,0.346097,-0.115086,0.126542,-1.12632,0.430042,0.0879755,-0.458198,-0.0747146,-0.428667,0.566533,0.0963971,0.20578,1.15576,0.143885,0.7264,-0.964704,-1.28748,0.922356,-1.00389,0.245569,-1.12649,-0.232946,0.868535,-0.0486158,-0.744653,0.96622,-0.283341,-0.237974,-0.347082,0.82319,1.67177,0.94691,-0.228865,-2.60357,1.18675,-0.778167,0.757733,0.536529,-0.581838,-1.01852,-0.642466,-0.209383,-0.532787,0.259976,-0.2426,-0.1106,-0.0379056,-0.19589,-0.892302,-0.982556,0.300666,-0.720769,-0.732604,-0.416968,-0.519324,0.150935,-1.16602,-1.11656,-0.329452,-1.39802,-1.39002,-2.14417,-1.34957,-1.22756,-0.780403,-0.292037,-1.43078,0.0488044,-1.82088,-0.877693,-1.08848,-1.32336,-1.15845,-1.31066,-0.882685,-1.08486,-1.03782,-0.629292,-1.06444,-0.813936,-1.54118,-1.67999,-0.729667,-1.55803,-1.02071,-1.61076,-1.22649,-0.752812,-1.14722,-1.44655,-0.710803,-1.24817,-1.22866,-1.27558,-0.772312,-0.407386,-0.719107,-1.22474,-2.24596,-0.615966,-1.46096,-0.800461
-41.9091,0.99965,0.0274231,7,127,0,80.2775,-0.821413,0.553337,0.920251,0.015823,-0.260478,0.155076,-0.517931,0.179825,-0.340072,-0.798983,0.0195769,0.542001,-0.115831,-0.790341,0.0711912,-0.627781,0.443833,0.284238,-0.714667,-0.250173,1.18582,-0.90614,-1.29467,0.150061,-1.35342,0.902217,0.335583,-0.948432,0.685679,-1.05787,-0.608393,-1.13668,-0.724427,3.03896,0.495917,0.845731,-0.140323,1.99265,-0.82923,0.681139,0.496645,-0.558236,-0.958855,-0.623147,-0.496471,-0.433413,0.669554,-0.237044,-0.160514,0.118121,0.108839,-0.760895,-1.086,0.366391,-0.897017,-0.891624,-0.543251,-0.976937,0.0809067,-1.00032,-0.936412,-0.516689,-1.57629,-1.45235,-1.90323,-1.47072,-1.0445,-0.758328,-0.41149,-1.52991,-0.107839,-1.41248,-1.01059,-0.579084,-0.661608,-0.51441,-0.420465,-0.53876,-0.660054,-0.505129,-0.630822,-0.438118,-0.466817,-0.646446,-0.562918,-0.30469,-0.680878,-0.750746,-0.490946,-0.761309,-0.355689,-0.457584,-0.688483,-0.394628,-0.708162,-0.627335,-0.722335,-0.648201,0.0285515,-0.428752,-0.365847,-0.543164,-0.159601,-0.667047,-0.395445
-30.9337,0.9961,0.0274231,7,127,0,68.0103,-0.482476,-0.202174,0.0969091,-0.722269,-0.226291,0.157636,-0.445124,0.457298,-0.546045,-0.899331,0.445461,0.845873,1.00623,0.296514,1.06562,0.57469,-0.22348,1.42915,-0.612664,0.0916572,1.14542,-1.50362,0.0270862,-0.298733,-0.954785,0.995363,-0.465523,-1.09828,-0.110784,-1.82489,-0.509184,-1.0592,-0.13967,2.50527,0.63838,1.51044,-0.184914,2.49122,-0.790563,1.32649,0.266701,-0.606041,-1.03479,-0.659217,-0.39224,-0.305969,0.768663,-0.215809,0.0923575,-0.168178,0.275337,-0.861048,-1.03061,0.290539,-1.227,-0.732307,-0.833719,-0.799411,-0.01999,-0.923156,-0.894087,-0.723455,-1.63504,-1.21808,-2.07408,-1.36256,-0.970837,-0.701327,-0.387897,-1.58481,0.043315,-1.43728,-0.829488,-0.69483,-0.856387,-0.241416,-0.0583077,0.015023,-0.309529,0.0421816,-0.182319,-0.547321,0.208425,-0.725295,-0.40321,0.0786754,-1.13273,-0.432738,-0.581734,-0.881746,0.0100539,-0.658007,-0.947364,-0.495786,-1.27964,-0.677973,-0.929493,-0.508995,0.700532,-0.153194,0.245596,-0.529685,0.694106,-0.806647,0.161479
-21.6725,0.989017,0.0274231,7,127,0,63.6962,-0.572167,0.0524928,-0.0782049,0.054849,-0.228827,0.108763,-0.430495,0.460363,-1.37706,-1.01373,0.43357,0.578111,0.86765,1.52083,0.876208,0.0639924,-0.0614815,1.25567,0.540843,-0.55484,2.17444,-0.0938148,0.868112,1.616,0.438721,2.00019,0.185692,-1.19066,0.482663,-0.693655,-0.549695,-1.57806,-0.329916,0.348219,0.45094,0.868215,-0.146505,2.60727,-2.53229,0.530013,0.220175,-0.859354,-1.1159,-0.434627,-0.345499,-0.490798,0.739298,-0.355689,-0.176575,-0.328192,0.108193,-0.821786,-0.887795,0.147687,-0.929381,-0.993662,-0.480194,-0.692222,0.287797,-0.958021,-0.893216,-0.809585,-1.72073,-1.30004,-1.90382,-1.27591,-1.22816,-0.760361,-0.562212,-1.40835,0.0892902,-2.04124,-0.781832,-1.06444,-0.897177,-0.230895,-0.164354,-0.0310607,0.269639,-0.0271211,-0.401035,-0.458799,0.147568,-0.181511,-0.685922,0.570538,-0.473684,-0.0308484,0.313453,-0.228524,0.490318,-0.345009,-0.97863,-0.208295,-0.749828,-0.683554,-1.15697,-0.582376,-0.270188,-0.222899,-0.0308007,-0.49794,0.769795,-1.59627,-0.186496
