# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_model
# start_datetime = 2022-02-28 23:42:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpyEQMqJ/standata-df462b1ddb.json
# init = 2 (Default)
# random
#   seed = 1920737066
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,s_SI,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32
# Adaptation terminated
# Step size = 0.0048358
# Diagonal elements of inverse mass matrix:
# 0.149848, 0.115385, 0.0965095, 0.104475, 0.0202878, 0.00948342, 0.153412, 0.682548, 0.60293, 0.524688, 0.561678, 0.636002, 0.544544, 0.740189, 0.641182, 0.506904, 0.567993, 0.628147, 0.50372, 0.5933, 0.479712, 0.478594, 0.570187, 0.53393, 0.586024, 0.523159, 0.531525, 0.539545, 0.452111, 0.50063, 0.573289, 0.944402, 0.593481, 0.715774, 0.876297, 0.662738, 0.513744, 0.540039, 0.493025, 0.672423, 0.392314, 0.0208722, 0.0265121, 0.022749, 0.0224686, 0.0195817, 0.0226732, 0.0166848, 0.0191868, 0.0236122, 0.0216064, 0.0171465, 0.0163864, 0.0201603, 0.0175959, 0.0213859, 0.0252595, 0.0196951, 0.0204414, 0.0215966, 0.0235745, 0.0214427, 0.0210546, 0.0244728, 0.0214358, 0.021042, 0.0232222, 0.0198034, 0.0242298, 0.023047, 0.0197656, 0.0215288, 0.0220461
88.8203,6.97777e-16,0.0048358,1,3,1,-57.47,0.432037,0.332045,-0.0388077,-0.189407,-0.155122,0.0435794,-1.16873,0.634119,0.942151,-0.0421548,1.02264,-1.48174,-0.440216,0.810238,-0.940137,0.0562839,0.518082,0.968525,-0.242323,1.02561,-0.522901,0.152204,0.469293,-0.383044,-0.774646,0.281911,-0.36633,0.51968,0.00991961,0.254561,-1.51492,-2.09542,-1.13623,-1.58277,1.46822,0.830189,-0.150365,0.482852,0.00264655,0.29481,0.00728997,0.564973,-0.226535,0.412835,-1.20999,-0.284162,0.211197,-0.761919,-0.0187767,0.228648,0.241887,-0.323747,0.543552,-0.99199,-0.586322,-0.505288,-0.977803,-1.42445,-0.311988,-0.908665,-0.263916,-0.710598,-0.638483,-1.91685,-2.23155,-1.86073,-2.0399,-0.0940825,-0.302938,-1.03862,-0.595687,-0.836395,-0.901868,-0.571293,-1.19546,-0.520253,-2.10833,-1.44788,-0.654941,-1.76489,-1.13304,-0.840203,-0.554569,-1.32239,-0.518373,-1.50031,-1.07221,-0.871142,-1.41162,-1.65995,-0.989964,-1.40103,-0.83919,-1.16244,-1.00731,-2.12937,-2.49747,-1.88923,-2.17239,-0.237705,-0.64229,-1.26408,-0.862543,-1.16705,-0.981785
91.9442,0.226039,0.0048358,2,4,1,-57.6412,0.432674,0.330877,-0.0386632,-0.189163,-0.155373,0.0426627,-1.16713,0.634481,0.938975,-0.0465723,1.02581,-1.47617,-0.445289,0.817757,-0.942817,0.0537508,0.524011,0.970607,-0.241781,1.02651,-0.522195,0.151746,0.472985,-0.381059,-0.77196,0.284897,-0.36661,0.51983,0.0142188,0.253355,-1.51339,-2.09603,-1.13598,-1.58979,1.46843,0.827271,-0.148999,0.48634,-4.11488e-05,0.29225,0.00728579,0.566231,-0.22656,0.412991,-1.2091,-0.28537,0.210595,-0.763676,-0.0195244,0.227713,0.243109,-0.324165,0.544111,-0.99215,-0.58595,-0.50539,-0.977345,-1.42496,-0.313196,-0.90914,-0.263768,-0.711175,-0.638845,-1.91792,-2.23144,-1.86037,-2.04052,-0.0941091,-0.303298,-1.03846,-0.59649,-0.836277,-0.901326,-0.571367,-1.19668,-0.516269,-2.10373,-1.44966,-0.648278,-1.76533,-1.13303,-0.834654,-0.551297,-1.32053,-0.51583,-1.49845,-1.07085,-0.867029,-1.4089,-1.65692,-0.986367,-1.39974,-0.837306,-1.15811,-1.00638,-2.12735,-2.49702,-1.88789,-2.17582,-0.235439,-0.642241,-1.26167,-0.858555,-1.16716,-0.981702
95.2207,0.200503,0.0048358,2,5,1,-59,0.430921,0.333655,-0.0358593,-0.190499,-0.156203,0.0420757,-1.16646,0.632477,0.945728,-0.0474073,1.02958,-1.47434,-0.445101,0.814881,-0.943563,0.0497087,0.528346,0.974719,-0.236604,1.02642,-0.521613,0.156788,0.473643,-0.388817,-0.771385,0.287201,-0.364373,0.516836,0.0140235,0.254568,-1.51672,-2.09498,-1.14198,-1.58979,1.47178,0.82452,-0.151769,0.484433,0.000818879,0.289327,0.00730008,0.564883,-0.227043,0.412511,-1.21051,-0.284631,0.211172,-0.763109,-0.0193054,0.227767,0.243901,-0.324232,0.545511,-0.992393,-0.586757,-0.50526,-0.976588,-1.42465,-0.313046,-0.90969,-0.264764,-0.710444,-0.639849,-1.91839,-2.23164,-1.85999,-2.04142,-0.0941967,-0.304185,-1.03897,-0.595966,-0.837008,-0.902402,-0.568306,-1.19644,-0.51527,-2.09895,-1.44797,-0.651064,-1.76324,-1.13502,-0.832291,-0.54997,-1.3161,-0.517268,-1.49637,-1.06729,-0.866889,-1.41238,-1.65434,-0.98481,-1.39692,-0.839571,-1.15759,-1.00545,-2.12575,-2.49149,-1.88873,-2.17196,-0.235587,-0.644967,-1.26245,-0.860065,-1.16594,-0.983465
95.2207,0.0114658,0.0048358,2,5,1,-56.9889,0.430921,0.333655,-0.0358593,-0.190499,-0.156203,0.0420757,-1.16646,0.632477,0.945728,-0.0474073,1.02958,-1.47434,-0.445101,0.814881,-0.943563,0.0497087,0.528346,0.974719,-0.236604,1.02642,-0.521613,0.156788,0.473643,-0.388817,-0.771385,0.287201,-0.364373,0.516836,0.0140235,0.254568,-1.51672,-2.09498,-1.14198,-1.58979,1.47178,0.82452,-0.151769,0.484433,0.000818879,0.289327,0.00730008,0.564883,-0.227043,0.412511,-1.21051,-0.284631,0.211172,-0.763109,-0.0193054,0.227767,0.243901,-0.324232,0.545511,-0.992393,-0.586757,-0.50526,-0.976588,-1.42465,-0.313046,-0.90969,-0.264764,-0.710444,-0.639849,-1.91839,-2.23164,-1.85999,-2.04142,-0.0941967,-0.304185,-1.03897,-0.595966,-0.837008,-0.902402,-0.568306,-1.19644,-0.51527,-2.09895,-1.44797,-0.651064,-1.76324,-1.13502,-0.832291,-0.54997,-1.3161,-0.517268,-1.49637,-1.06729,-0.866889,-1.41238,-1.65434,-0.98481,-1.39692,-0.839571,-1.15759,-1.00545,-2.12575,-2.49149,-1.88873,-2.17196,-0.235587,-0.644967,-1.26245,-0.860065,-1.16594,-0.983465
93.1678,0.0991977,0.0048358,2,7,1,-64.8904,0.431334,0.333168,-0.0388652,-0.188412,-0.155963,0.0419921,-1.1664,0.631131,0.949984,-0.0458118,1.03483,-1.47256,-0.447611,0.815708,-0.954596,0.0479652,0.53051,0.970111,-0.240815,1.03194,-0.518359,0.161219,0.472739,-0.39052,-0.771034,0.283894,-0.367783,0.511637,0.0150925,0.253893,-1.51368,-2.08957,-1.14296,-1.59018,1.47356,0.823075,-0.155238,0.483396,-0.00220936,0.292767,0.0072537,0.564674,-0.227104,0.411109,-1.21136,-0.284038,0.211318,-0.763654,-0.0192618,0.22793,0.24399,-0.32315,0.545709,-0.991547,-0.586518,-0.50525,-0.976809,-1.42427,-0.313117,-0.90988,-0.265215,-0.710497,-0.638956,-1.91834,-2.23175,-1.86063,-2.04232,-0.0941602,-0.304118,-1.0385,-0.596695,-0.837937,-0.902272,-0.56684,-1.19532,-0.513289,-2.09578,-1.4489,-0.651586,-1.76888,-1.13613,-0.831583,-0.554137,-1.31839,-0.515115,-1.49356,-1.06465,-0.868043,-1.41287,-1.65303,-0.987229,-1.39852,-0.843494,-1.15688,-1.00616,-2.12173,-2.4852,-1.88776,-2.17002,-0.236395,-0.646936,-1.26438,-0.861318,-1.1678,-0.981629
94.2631,0.185576,0.0048358,2,5,1,-52.5538,0.430111,0.332501,-0.0370176,-0.189989,-0.156291,0.0420251,-1.16659,0.633314,0.94334,-0.0468138,1.03875,-1.46457,-0.449149,0.820082,-0.952459,0.0503191,0.520922,0.967814,-0.243835,1.02881,-0.514617,0.162777,0.473295,-0.385492,-0.773523,0.287949,-0.370079,0.511586,0.0135079,0.25535,-1.50905,-2.08932,-1.14226,-1.59329,1.45918,0.822191,-0.151719,0.483107,-0.00157721,0.291944,0.00726988,0.564696,-0.227815,0.412972,-1.21085,-0.283436,0.212042,-0.764184,-0.0200343,0.226869,0.244727,-0.324172,0.545598,-0.990984,-0.586541,-0.505276,-0.976998,-1.42477,-0.313041,-0.909672,-0.264089,-0.710993,-0.639492,-1.91867,-2.23125,-1.8585,-2.04175,-0.0939122,-0.304235,-1.03971,-0.595607,-0.836836,-0.902765,-0.569158,-1.19624,-0.508737,-2.09412,-1.45104,-0.647219,-1.76979,-1.13472,-0.836681,-0.553658,-1.32101,-0.51503,-1.4925,-1.0635,-0.866845,-1.41073,-1.65647,-0.984226,-1.40096,-0.842594,-1.15803,-1.00487,-2.12229,-2.48978,-1.89,-2.17564,-0.242468,-0.645884,-1.26267,-0.86063,-1.16759,-0.981696
