# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_model
# start_datetime = 2022-02-23 15:14:32 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpOWLLXk/standata-47c4228e7b7d.json
# init = 2 (Default)
# random
#   seed = 1306202872
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,s_SI,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32
# Adaptation terminated
# Step size = 0.0986047
# Diagonal elements of inverse mass matrix:
# 0.147558, 0.102459, 0.0890595, 0.113047, 0.0197102, 0.00960475, 0.16151, 0.63398, 0.570155, 0.450372, 0.504648, 0.632093, 0.539317, 0.69265, 0.663015, 0.469916, 0.498815, 0.650573, 0.511229, 0.521155, 0.40383, 0.485174, 0.465113, 0.417143, 0.562237, 0.478296, 0.478233, 0.494474, 0.43757, 0.46199, 0.562769, 0.882486, 0.623733, 0.671332, 0.745889, 0.687857, 0.439512, 0.516392, 0.457742, 0.497198, 0.0178551, 0.020765, 0.0201534, 0.0193491, 0.0198507, 0.020173, 0.0157374, 0.0183886, 0.0211551, 0.0201345, 0.0162599, 0.0172846, 0.0187041, 0.0175172, 0.0190362, 0.0185511, 0.0163752, 0.0233177, 0.0198161, 0.0218611, 0.0182352, 0.0234661, 0.0231498, 0.0217257, 0.019984, 0.0213046, 0.0179278, 0.0242394, 0.0215339, 0.0185758, 0.0217854, 0.0200541, 0.725601
-41.496,0.987961,0.0986047,5,31,0,86.3152,-0.143824,-0.0228416,-0.476289,-0.483939,-0.274912,-0.0146497,-0.0671075,0.0801912,0.741851,0.716683,0.561277,1.11384,-0.142272,-0.212326,-0.766809,-0.455195,1.12818,0.265885,0.879956,-0.0850393,-0.327984,-0.295523,-1.25549,-0.749469,-0.493251,1.56686,-0.994205,1.4877,-0.0550071,-1.05611,0.630817,0.198816,0.246696,-0.204516,0.392261,-0.361831,-0.366325,-0.545152,-0.773968,0.619346,0.541326,-0.229145,0.340188,-1.20228,-0.311341,0.635112,-0.654419,-0.118002,0.228741,0.264579,-0.579028,0.854672,-0.870797,-0.542588,-0.357012,-0.861084,-1.38147,-0.5897,-0.688061,-0.189001,-0.497172,-0.524222,-1.64696,-2.05795,-1.83826,-2.23145,-0.277297,-0.168156,-1.01131,-0.589054,-0.987856,-0.945281,0.571523,0.219935,-0.088226,-0.0758337,-0.123366,0.20006,-0.0677515,-0.156165,0.179412,0.183927,-0.248148,0.0721788,-0.0753237,-0.672026,-0.826939,-0.93585,-0.94498,-1.09923,-0.264957,-0.862558,-0.424376,-0.848471,-1.09203,-0.802439,-0.638746,-1.0431,-1.25013,-1.0097,-0.809292,-1.01375,-0.880777,-0.872956,-1.29632,-0.00761754,-0.00963583,-0.022098,0.0222126,-0.0785164,-0.0841342,-0.128599,-0.10361,0.0233629,-0.0457858,0.00345726,-0.0739269,-0.0934089,-0.0908058,-0.167787,-0.127208,-0.106662,0.0585409,-0.146834,0.0521932,-0.0715186,-0.151798,-0.0165215,-0.0511642,-0.0473246,-0.0835078,-0.0356516,-0.0961231,-0.0964835,-0.110824,-0.129173,-0.0174414
-56.9623,0.989898,0.0986047,6,63,0,99.842,-0.497916,0.169692,-0.207485,-0.517192,-0.068896,-0.0331744,0.105783,0.219747,-0.134989,1.05177,-0.728842,-0.167153,0.809769,-0.08725,0.277558,0.103001,-0.344087,1.26121,0.408757,0.476289,0.689467,-0.892001,0.499064,2.03241,0.870019,1.88912,0.603641,1.21431,-0.165288,1.71796,-1.84001,-2.44441,1.71722,-0.70507,0.34871,-2.28711,0.0538069,0.596755,2.14625,-1.92707,0.728682,-0.388072,0.449645,-1.01146,-0.549626,0.635922,-0.885722,-0.116016,0.436577,0.22005,-0.422961,0.774153,-0.591997,-0.624801,-0.596118,-0.823606,-1.58518,-0.438614,-0.763007,-0.447535,-0.598592,-0.744132,-1.64041,-2.1696,-1.74635,-1.82837,-0.0352305,-0.22172,-1.11287,-0.877215,-0.862874,-1.13081,0.736988,-0.241818,-0.0577544,-0.413306,-0.312893,-0.0214229,-0.19574,-0.215097,-0.146116,-0.275051,0.0162567,-0.132633,-0.194372,-0.496716,-0.913217,-0.556531,-0.291047,-0.531279,-0.169162,-0.57944,-0.35581,-0.763754,-0.390836,-1.3828,-1.43641,-0.624198,-1.31732,-0.978486,-1.52182,-1.05856,-0.87283,-0.555278,-1.61398,0.0761194,0.336906,-0.0543779,0.0690516,0.283727,0.08661,0.166775,0.128417,0.030171,0.382929,0.195606,0.210446,0.257291,-0.0902314,0.215451,0.552398,0.296967,0.52091,0.238431,0.372623,0.0694614,0.483299,-0.298554,-0.431369,0.483137,-0.0491539,0.182411,-0.396802,0.117607,0.236918,0.577415,-0.317684
-64.5065,0.981337,0.0986047,5,63,0,110.211,0.121976,0.518695,-0.0207562,-0.338229,-0.188329,-0.0549722,-0.6378,0.0157079,-0.862946,-0.635993,-4.03254,1.34161,1.55757,0.642265,-0.644982,-0.284752,0.0203784,0.380954,-1.10661,-0.367232,0.0547715,0.226912,-1.20939,0.265294,0.385469,-0.780793,0.125492,-0.623389,-0.466727,0.201164,0.676733,-2.24116,-1.37914,-1.98558,1.42064,0.555858,0.319601,-0.805653,-0.0172442,1.04174,0.989483,-0.454328,0.286333,-0.91331,-0.634016,0.463286,-0.771907,-0.0168979,0.388024,0.278842,-0.164468,0.984309,-0.758922,-0.64536,-0.463057,-0.923877,-1.56716,-0.42428,-0.704293,-0.339295,-0.692861,-0.598352,-1.57782,-2.29088,-1.98466,-1.8462,-0.246961,0.1506,-1.34458,-0.990584,-0.988676,-1.01599,0.651221,0.124568,-0.0815913,-0.072981,-0.0514816,0.197544,0.138358,-0.0467784,0.216586,0.137489,-0.060535,0.0568692,-0.0694245,-0.597165,-0.747305,-0.701867,-0.802629,-0.830613,-0.435519,-0.734916,-0.537909,-0.786164,-0.887526,-0.996703,-0.86173,-1.12782,-1.43414,-1.15883,-1.03864,-1.18217,-1.05399,-1.06861,-1.46348,-0.651355,-0.64779,-0.701143,-0.616726,-0.613334,-0.627711,-0.647931,-0.642273,-0.63748,-0.631816,-0.655182,-0.643568,-0.636939,-0.634235,-0.656797,-0.633633,-0.631745,-0.650064,-0.635829,-0.647592,-0.645131,-0.63464,-0.62717,-0.673004,-0.659463,-0.668989,-0.615484,-0.629068,-0.632779,-0.650455,-0.638071,-0.621436
-43.7905,0.914592,0.0986047,6,63,0,73.3188,-0.727261,0.245414,-0.0291675,-0.405412,-0.166011,0.0402739,0.119315,0.183045,1.04687,-0.779209,-1.24978,-0.08902,-0.833435,-0.112005,0.95265,0.779933,-0.567464,1.02548,-0.838831,0.938001,2.17317,-1.13599,-0.671846,1.24323,-0.522631,-0.649067,0.557321,-0.338889,0.653185,0.646635,-1.1285,0.947064,0.247953,0.414405,0.406392,-0.150124,-0.53206,-1.08073,0.134866,1.2592,0.738148,-0.260251,0.620233,-1.29033,-0.478201,0.567966,-0.813446,0.0712884,0.264389,0.196402,-0.461428,0.561249,-0.614638,-0.350566,-0.577101,-0.864535,-1.30402,-0.533574,-0.749199,-0.445684,-0.747029,-0.613634,-1.60903,-2.30436,-1.81749,-1.91501,-0.0982702,0.0810909,-1.01263,-0.727753,-1.05598,-1.18974,0.703464,0.214512,-0.304615,-0.424863,-0.267852,-0.0988581,-0.272497,0.0432053,0.150025,-0.170558,-0.147258,-0.275692,0.105447,-0.116025,-0.767751,-0.800314,-0.381545,-0.908573,-0.478563,-0.445474,-0.514223,-0.464901,-0.564697,-1.26631,-0.815738,-1.1902,-1.06642,-1.04984,-0.94505,-1.13821,-1.1988,-0.911371,-0.979573,0.310941,-0.0233156,-0.109451,0.10302,-0.0332415,0.098813,0.293693,0.262078,0.0154434,0.307025,-0.0342291,0.291012,0.517104,-0.0886222,-0.00366324,0.346883,0.0236498,0.000506357,0.22133,0.0572829,0.238877,0.237679,-0.0872508,0.292671,0.164702,0.19517,0.193703,0.0918354,0.0219239,-0.0785081,0.144002,0.349806
-48.3332,0.979034,0.0986047,6,63,0,76.0405,-0.371616,0.0297339,-0.440885,-0.656067,-0.296773,0.21294,-0.417043,0.10404,-0.303284,1.7361,1.18359,-0.174442,-0.053052,0.603743,-0.344206,-0.652897,1.09251,-0.408211,0.948801,0.174882,-2.7011,0.996187,1.78876,-1.68897,1.25622,1.41235,-1.25378,1.36245,-0.6251,-0.09405,0.640577,-0.621579,-0.610908,-1.09646,0.506964,1.7426,0.815625,1.23504,-0.618219,-1.52179,0.603098,-0.120924,0.21468,-0.881351,-0.410195,0.537978,-0.818128,0.127022,0.308947,0.305101,-0.61641,0.428159,-0.777388,-0.783012,-0.866414,-1.04798,-1.51663,-0.617601,-0.836777,-0.179189,-0.471076,-0.762556,-1.64447,-2.21529,-1.87314,-1.951,-0.222271,-0.168218,-1.02543,-0.559571,-0.899307,-1.31812,0.522688,0.321352,0.20304,-0.0563662,-0.296802,0.402467,-0.498507,0.0416872,0.116104,0.1655,-0.611177,0.0514019,0.352698,-1.00826,-0.564884,-0.974402,-0.932377,-1.27217,-0.304892,-0.776938,-0.475327,-0.777627,-0.898638,-1.32006,-1.46602,-1.90556,-1.2255,-1.3083,-0.669362,-0.986129,-1.01222,-0.948029,-1.39093,-0.448597,-0.236419,-0.293903,-0.435192,-0.422562,-0.35423,-0.452854,-0.48497,-0.303378,-0.459513,-0.31833,-0.398848,-0.698065,-0.3134,-0.230941,-0.592763,-0.286346,-0.270103,-0.547486,-0.275294,-0.482078,-0.426828,-0.350397,-0.481712,-0.480602,-0.531118,-0.364299,-0.235744,-0.332186,-0.288549,-0.481362,-0.575369
-47.5117,0.98498,0.0986047,6,63,0,93.6506,-0.00799262,-0.21792,-0.414964,-0.581055,-0.400944,0.014083,-0.291264,0.140148,-0.147392,1.23706,1.99925,-0.528612,-0.296564,0.400671,-0.353707,0.0871892,1.2477,0.161938,1.01773,0.755001,-1.77644,2.27272,0.96862,-0.297029,0.304074,1.06384,-0.741951,1.02362,0.366837,-0.869527,0.467051,-0.744822,-0.680889,-1.25444,1.37951,2.47898,2.09518,1.27321,0.513909,0.059016,0.652854,-0.223565,0.267871,-0.838148,-0.370616,0.593609,-0.783368,0.0349683,0.367765,0.398394,-0.606319,0.472208,-0.853242,-0.728081,-0.93011,-0.901883,-1.4444,-0.686772,-0.891635,-0.162107,-0.524111,-0.753912,-1.81849,-2.32628,-1.98662,-1.74049,-0.204736,-0.11589,-0.974827,-0.649342,-0.972301,-1.23015,0.503366,0.14346,-0.109006,-0.00138565,-0.489609,0.196969,-0.194057,-0.257533,0.221785,0.205831,-0.511094,0.0396533,-0.0285338,-0.831768,-0.458566,-0.758798,-0.937777,-1.17936,-0.0616292,-0.851301,-0.290513,-0.785204,-1.19661,-1.01007,-0.926095,-1.51246,-1.70022,-1.12112,-0.5511,-0.902552,-0.838352,-0.871151,-1.67986,-0.311921,-0.117892,-0.0110726,-0.365348,-0.332827,-0.23511,-0.340835,-0.279044,-0.116401,-0.268568,-0.148631,-0.185452,-0.540229,0.0272539,-0.155513,-0.332892,-0.248648,-0.142168,-0.395247,-0.147805,-0.239852,-0.413127,-0.225807,-0.395649,-0.386689,-0.467072,-0.0979272,0.0561617,0.00237185,-0.112825,-0.21924,-0.282993
