# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_re_model
# start_datetime = 2022-03-09 18:52:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc72294eae.json
# init = 2 (Default)
# random
#   seed = 1827429962
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.03035
# Diagonal elements of inverse mass matrix:
# 0.182387, 0.10475, 0.0982784, 0.0982931, 0.014828, 0.0067751, 0.167029, 0.0232498, 0.278278, 0.182073, 0.183316, 0.268658, 0.20732, 0.258738, 0.298069, 0.22606, 0.174663, 0.181571, 0.184042, 0.210114, 0.221785, 0.150235, 0.233858, 0.225281, 0.176313, 0.206738, 0.174286, 0.244136, 0.158922, 0.206691, 0.217712, 0.277312, 0.14924, 0.220492, 0.239688, 0.261004, 0.193613, 0.218018, 0.17023, 0.170554, 0.178568, 1.4223, 0.890075, 0.917596, 1.04573, 0.910899, 0.852638, 0.85741, 0.948851, 0.843265, 0.894952, 0.938705
-59.9015,0.999375,0.03035,7,127,0,82.2643,-1.30771,-0.083351,-0.107427,-0.196716,-0.371248,0.0988357,0.897726,0.610056,-1.18631,-1.47502,-0.0453432,-0.350715,0.191072,1.43139,0.846415,-0.630451,-0.108393,0.371096,-0.913385,-0.422175,1.82801,-0.524978,0.797762,1.04441,0.0898281,0.901022,0.0794424,-1.17759,0.317902,-1.37225,-1.65025,-0.631883,-0.583652,0.0241206,0.535324,1.1167,-0.921912,1.64981,-0.725113,0.0764855,-0.344307,0.0187169,-0.747369,1.94333,-0.538415,0.925636,0.814331,1.23164,1.18695,1.30441,-0.254285,-0.607652,0.17401,-0.00211917,0.870064,0.68377,1.01429,1.77096,1.41409,0.513116,0.8316,1.12412,0.34051,0.640176,2.01291,0.57746,1.38441,1.53488,0.952526,1.4474,0.94619,0.179331,1.09166,0.0605771,-0.109016,0.512242,0.541666,0.912441,1.2243,1.57898,0.335308,1.9042,0.455366,0.944386,-0.358295,-0.307934,-0.354384,-0.326982,-0.329065,-0.321254,-0.322091,-0.319892,-0.349066,-0.35568,-0.148212,-0.710558,-0.132797,-0.176964,-0.216493,1.19969,0.0542163,0.137434,0.0102423,0.348134,-0.784396,-0.498814,0.841762,-0.760068,-0.308047,-0.219119,-0.287209,0.382127,-0.505299,-0.817356,-0.215614,-1.47358,-1.30191,-1.6033,-1.07474,-0.696922,-0.216596,0.032199,-1.53014,0.545968,-1.22858,-0.346302
-54.5875,0.726007,0.03035,8,255,0,85.8627,0.39924,-0.0972709,-0.306008,-0.819304,-0.180385,0.0472995,-0.676961,0.728161,-0.731894,-0.769349,0.0978853,0.370793,0.11209,1.09772,0.0514676,-0.182288,0.388815,0.702212,-0.233991,-0.491285,1.67105,0.0789569,0.604744,0.774938,-0.1592,1.17245,-0.0966099,-0.365034,0.54016,-0.869609,-0.131517,-0.383221,-0.0162685,0.266625,0.691628,1.57156,0.292999,1.73608,-0.397316,0.492714,-0.24778,0.00167411,0.00783723,-1.56173,0.190749,0.90511,-0.501997,0.746986,0.352525,1.15199,-1.29304,0.823249,-1.2099,-1.23717,-0.605684,-0.406963,-0.595341,0.122355,-0.639484,-0.809695,-0.39384,-0.165637,-0.847344,-1.0347,0.539836,-0.619467,-0.236609,-0.112681,-0.792884,0.176768,-0.747308,-0.942764,-0.283637,-1.31018,-0.772726,-0.956007,-0.688807,-0.482815,-0.173344,0.467385,-0.46361,0.587184,-0.966271,-0.318185,-0.247767,-0.250395,-0.247461,-0.246265,-0.248621,-0.24653,-0.24719,-0.245852,-0.249945,-0.246402,-0.39076,-0.604968,-0.117262,0.152688,-0.216216,0.81976,-0.322357,-0.0158096,0.182773,0.433024,-0.416774,-0.612416,0.750175,-0.489971,-0.28029,-0.184817,-0.615147,0.438551,-0.67246,-0.64838,-0.139442,-1.27622,-1.04214,-1.67373,-1.164,-0.953864,-0.565433,0.023851,-1.06054,0.235985,-1.47501,-0.635841
-49.2326,0.969208,0.03035,7,255,0,76.869,0.451211,0.172313,0.0247614,-0.356814,-0.212769,0.119176,-0.750696,0.70605,-0.816415,-0.726619,-0.286207,0.676961,0.115098,1.08682,0.117765,-0.0254532,0.201269,0.445938,-0.508024,-0.806928,1.66967,-0.336616,0.0678058,0.711514,-0.247494,1.10658,-0.655122,-0.749886,0.205217,-1.35485,-0.074879,-0.693632,-0.405139,0.254364,0.222841,1.24587,-0.0837787,1.34018,-0.61638,0.467537,-0.629324,0.056867,-0.656481,0.260792,-0.787926,0.662648,-1.18987,-1.20348,0.109101,-0.349161,-1.16781,-0.6891,-1.32713,-1.26373,-0.952773,-0.272728,-0.669431,0.0166552,-0.667548,-0.768667,-0.60859,-0.435842,-1.10939,-1.32043,0.428173,-0.988364,-0.702822,-0.248332,-0.925439,0.0306035,-1.21325,-1.28015,-0.605803,-1.70729,-0.803564,-1.24043,-1.03674,-0.571102,-0.593359,0.128948,-0.809848,0.195537,-1.18589,-0.420592,-0.666656,-0.614494,-0.674131,-0.591641,-0.696988,-0.697762,-0.62312,-0.64918,-0.695734,-0.668511,0.0965676,-0.123912,0.0808345,0.654739,0.108486,1.36015,-0.0261447,0.561855,0.52904,0.727794,-0.270789,-0.364838,1.16905,-0.342845,-0.198184,0.0959702,-0.286405,0.832157,-0.695572,-0.376761,0.0570527,-1.17446,-0.468089,-1.43374,-0.94399,-0.536844,-0.212424,0.449204,-0.797294,0.561319,-1.06931,-0.0786315
-53.4363,0.964407,0.03035,7,255,0,77.5629,0.0225107,0.340343,0.153386,-0.16102,-0.0337522,0.143023,-0.68175,0.593513,-0.75204,-1.18258,-0.115488,0.669346,0.0406646,1.20485,0.502689,0.492243,0.15088,0.315423,-0.675019,-0.7855,1.90226,-0.549242,-0.67288,0.169401,0.372756,0.651655,-0.0435559,-0.879236,0.107559,-1.80617,-0.481334,-1.09427,-0.668751,0.13513,-0.0160704,0.469898,-1.88807,1.60271,-1.09165,-0.171882,-0.373267,0.0264002,0.482099,-0.62472,-0.332134,0.13575,0.0141101,-1.24505,-0.708779,-0.190269,-2.11391,-1.39653,-1.1281,-1.38363,-0.750294,-0.284485,-0.657615,0.0333452,-0.383398,-0.389598,-0.592201,-0.494543,-1.08238,-1.14795,0.447263,-1.00773,-1.08111,-0.581209,-0.460515,-0.294985,-0.707601,-1.20359,-0.617913,-1.75373,-0.967428,-1.33121,-1.07866,-0.601549,-0.691288,-0.40286,-1.80234,0.26948,-1.32966,-0.783765,-0.360539,-0.389759,-0.382035,-0.369683,-0.372894,-0.406136,-0.391979,-0.37829,-0.429074,-0.410135,-0.265955,-0.690637,0.0499661,0.126584,-0.146152,1.00688,-0.0177082,0.333645,0.22456,0.326344,-0.561293,-0.36007,0.913417,-0.556705,-0.528316,-0.302082,-0.134634,0.180795,-0.400972,-0.587535,-0.164135,-1.32058,-0.943577,-1.39125,-1.09331,-0.749599,-0.287872,-0.00906975,-1.7056,0.546375,-1.21641,-0.634767
-63.9752,0.89311,0.03035,7,127,0,93.5346,-0.667445,0.172571,-0.0649563,-0.430365,-0.181174,0.194484,0.0461633,0.471217,-1.8818,-1.81311,-0.95524,0.608674,0.107623,1.05465,0.553122,-0.203569,-0.607662,-0.166595,-0.682858,-2.13515,2.28018,-0.588259,-0.39389,0.377405,0.24768,0.429175,-0.619862,-1.38577,0.246924,-1.97142,-0.914871,-1.41302,-0.185363,-0.0565197,0.00212101,0.426692,-1.71509,1.37802,-0.918201,-0.192179,-0.183808,0.0144684,0.160365,-1.51052,0.773742,-0.253961,-0.594193,-1.32803,-0.668235,0.165532,-0.0773996,0.0838691,-0.840571,-0.808205,-0.403962,0.332981,0.0968772,0.543131,0.306804,-0.0497618,-0.240177,-0.0323389,-0.275611,-0.959958,1.12062,-0.231034,-0.139444,0.224003,0.162874,0.248398,-0.245926,-0.606836,0.162518,-0.882804,-0.384939,-0.619673,-0.0411829,0.0195303,0.0471628,0.247228,-0.762016,0.695507,-0.386508,-0.0443945,-0.181488,-0.205663,-0.172613,-0.187482,-0.192405,-0.203022,-0.193476,-0.181413,-0.184928,-0.182594,-0.375082,-0.677446,-0.270634,0.0969154,-0.173526,1.03333,-0.172846,0.243387,-0.0182732,0.211709,-0.494344,-0.893062,0.799795,-0.633057,-0.568424,-0.527512,-0.337675,-0.0207609,-0.849815,-0.696273,-0.224742,-1.38078,-1.18447,-1.86946,-1.04739,-1.12949,-0.43464,-0.286244,-1.74351,0.107797,-1.27942,-0.745394
-62.3828,0.984801,0.03035,7,127,0,96.9917,0.435549,-0.14228,0.0203419,-0.630895,-0.0751253,0.20459,-0.792176,0.487852,-1.18901,-1.16939,-0.111882,0.694961,0.114733,1.50069,0.833087,-0.0665614,-0.0805343,0.457174,-0.477383,-1.4292,1.98187,-1.0881,-1.00414,-0.0194345,-0.14258,-0.148944,-1.1236,-1.93196,-0.765028,-2.27965,-0.700434,-1.16987,-0.491674,0.399846,0.028342,0.168815,-1.29344,1.76851,-1.07605,-0.226719,-0.315466,0.0168883,0.5384,0.0688899,-0.67122,-0.0830086,-0.829054,-0.468684,0.114159,1.71221,1.29588,-1.29429,-1.37224,-1.36266,-0.846757,-0.453138,-0.736203,-0.0600619,-0.385753,-0.824648,-0.831464,-0.569143,-1.02507,-1.48941,0.174686,-1.32301,-1.28205,-0.801657,-0.861734,-0.864838,-1.34032,-1.73469,-1.1654,-1.90431,-1.13388,-1.3629,-1.03204,-0.59711,-0.778349,-0.709819,-1.42318,0.0705929,-1.31713,-0.902781,-0.306373,-0.314302,-0.326801,-0.316868,-0.329467,-0.323381,-0.313538,-0.286549,-0.29358,-0.337324,-0.308911,-0.56208,0.0788369,-0.0525518,-0.22591,1.13746,-0.086171,0.0432721,0.130859,0.402363,-0.49335,-0.591364,1.04913,-0.48223,-0.328504,-0.229747,-0.185758,0.0310309,-0.707199,-0.640349,-0.318499,-1.10332,-1.0816,-1.49732,-1.06546,-0.813691,-0.222481,-0.175376,-1.3224,0.4586,-1.17962,-0.685696
