# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_re_model
# start_datetime = 2022-03-08 01:12:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp4eB9Ds/standata-7847bc71538.json
# init = 2 (Default)
# random
#   seed = 262917418
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,z_i.33,z_i.34,z_i.35,z_i.36,z_i.37,z_i.38,z_i.39,z_i.40,z_i.41,z_i.42,z_i.43,z_i.44,z_i.45,z_i.46,z_i.47,z_i.48,z_i.49,z_i.50,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,z_k.11,z_k.12,z_k.13,z_k.14,z_k.15,z_k.16,z_k.17,z_k.18,z_k.19,z_k.20,z_k.21,z_k.22,z_k.23,z_k.24,z_k.25,z_k.26,z_k.27,z_k.28,z_k.29,z_k.30,z_k.31,z_k.32,z_k.33,z_k.34,z_k.35,z_k.36,z_k.37,z_k.38,z_k.39,z_k.40,z_k.41,z_k.42,z_k.43,z_k.44,z_k.45,z_k.46,z_k.47,z_k.48,z_k.49,z_k.50,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_i.33,re_i.34,re_i.35,re_i.36,re_i.37,re_i.38,re_i.39,re_i.40,re_i.41,re_i.42,re_i.43,re_i.44,re_i.45,re_i.46,re_i.47,re_i.48,re_i.49,re_i.50,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,re_k.11,re_k.12,re_k.13,re_k.14,re_k.15,re_k.16,re_k.17,re_k.18,re_k.19,re_k.20,re_k.21,re_k.22,re_k.23,re_k.24,re_k.25,re_k.26,re_k.27,re_k.28,re_k.29,re_k.30,re_k.31,re_k.32,re_k.33,re_k.34,re_k.35,re_k.36,re_k.37,re_k.38,re_k.39,re_k.40,re_k.41,re_k.42,re_k.43,re_k.44,re_k.45,re_k.46,re_k.47,re_k.48,re_k.49,re_k.50,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32,m_SI.33,m_SI.34,m_SI.35,m_SI.36,m_SI.37,m_SI.38,m_SI.39,m_SI.40,m_SI.41,m_SI.42,m_SI.43,m_SI.44,m_SI.45,m_SI.46,m_SI.47,m_SI.48,m_SI.49,m_SI.50
# Adaptation terminated
# Step size = 0.0170907
# Diagonal elements of inverse mass matrix:
# 0.1636, 0.0997395, 0.078937, 0.0866384, 0.0121788, 0.00539986, 0.169103, 0.0122885, 0.158865, 0.127176, 0.14646, 0.118264, 0.164578, 0.141002, 0.173191, 0.111401, 0.134118, 0.282427, 0.115262, 0.179951, 0.141149, 0.162605, 0.106663, 0.113618, 0.16171, 0.112135, 0.137253, 0.131415, 0.153907, 0.131098, 0.121918, 0.152417, 0.13567, 0.156466, 0.141581, 0.173641, 0.204131, 0.165756, 0.210329, 0.125542, 0.196508, 0.189718, 0.14898, 0.16826, 0.121769, 0.126023, 0.140619, 0.130325, 0.120693, 0.114526, 0.114331, 0.168517, 0.191217, 0.10513, 0.112125, 0.210528, 0.156609, 0.155567, 0.172894, 1.51808, 1.02761, 1.0056, 0.817022, 0.965998, 0.921015, 0.923126, 0.973185, 0.913054, 1.02564, 0.922756, 0.977278, 0.885226, 0.92397, 0.878071, 0.935802, 0.861392, 0.871338, 0.842309, 0.985035, 0.866389, 1.01901, 0.958429, 1.04177, 0.918982, 1.14802, 0.972876, 1.03223, 0.983095, 1.01606, 0.980488, 1.00487, 0.914738, 0.905501, 0.865291, 1.0585, 1.03687, 1.01852, 0.99735, 1.16831, 1.07541, 0.922153, 0.998835, 1.09283, 1.13318, 1.09864, 0.971655, 0.819928, 0.956884, 1.01763, 0.977157
-139.361,0.919291,0.0170907,8,255,0,186.059,-0.777052,0.462941,-0.0711398,-0.57427,-0.229181,0.128208,-0.0974042,0.4462,-0.487591,0.429747,0.473748,0.206722,0.804995,-0.312279,0.903588,0.0326503,1.021,1.2008,-0.879282,0.16223,1.34414,-1.54532,-0.15361,-0.375368,-1.76094,0.424233,-1.18743,0.239515,0.997192,-1.00805,0.52685,-0.912733,-1.04667,-0.0408565,1.72593,-0.0634906,1.43382,-0.145293,-0.798271,0.177586,-2.1572,0.0932943,-1.63433,-0.724641,-0.848503,0.0785651,-1.26054,-0.018754,-1.65597,0.897614,-0.111644,1.42133,-0.691588,0.330545,-0.203501,1.82041,-0.172092,0.999274,0.0440901,0.00213477,0.467317,0.138247,0.85216,0.129077,-0.00901668,-2.69616,1.04204,-1.45696,0.69168,0.688841,-0.121394,-1.10378,-0.43749,0.0742576,-0.19745,-0.225772,-1.48705,-0.887272,-0.269422,1.82994,-0.46163,0.517648,-0.759591,-1.24637,-1.05091,-0.779506,0.183354,2.12886,1.01707,0.901694,-1.25398,-0.884752,-0.810784,-0.354952,0.160965,-0.778834,0.547784,1.47884,-1.48212,-0.451498,-0.801162,2.1374,0.0329214,0.0429276,0.0558477,-1.69571,-0.978093,-0.245307,-0.175418,0.0116913,-0.314967,0.094349,0.113982,-0.00516507,0.261785,-0.236743,0.305777,-0.0828356,0.358168,0.438394,-0.48974,-0.0250172,0.502353,-0.786928,-0.165945,-0.264893,-0.883137,0.0918886,-0.627236,0.0094675,0.347543,-0.547195,0.137676,-0.504666,-0.564428,-0.115634,0.672706,-0.125734,0.542364,-0.162234,-0.453593,-0.0181653,-1.05995,-0.0557763,-0.826641,-0.420739,-0.476006,-0.0623485,-0.659858,-0.105772,-0.836297,0.303111,-0.14722,0.536793,-0.405991,0.0500851,-0.188206,0.714861,-0.174192,0.348472,0.0450877,0.0443852,0.0459093,0.0443656,0.0440708,0.0383344,0.0463146,0.0409798,0.0455667,0.0455606,0.0438309,0.0417338,0.0431562,0.0442486,0.0436686,0.0436081,0.0409156,0.042196,0.0435149,0.0479966,0.0431046,0.0451952,0.0424685,0.0414294,0.0418466,0.042426,0.0444815,0.0486347,0.0462613,0.046015,0.0414131,0.0422014,0.0423593,0.0433324,0.0444337,0.0424275,0.0452595,0.0472471,0.0409261,0.0431262,0.0423798,0.0486529,0.0441604,0.0441817,0.0442093,0.0404701,0.0420021,0.0435664,0.0437156,0.0441151,-0.296785,0.272272,0.0834107,-0.0752562,0.615422,0.0450107,0.355075,-0.112992,0.416285,0.703342,-0.376129,0.32862,0.696249,-0.736798,-0.164153,-0.199205,-0.817032,0.189525,-1.39914,-0.634639,-0.439915,-1.27117,-0.593872,-1.05251,-1.24007,-0.983794,0.0370018,-1.1053,-0.493523,-1.03755,-0.921153,-0.805623,-1.99999,-0.788156,-2.42157,-1.87107,-1.8948,-1.53705,-2.19089,-1.45269,-2.18321,-1.1077,-1.50212,-0.833665,-2.1367,-1.39267,-1.607,-0.423974,-1.40088,-1.23048
-131.262,0.995385,0.0170907,8,255,0,182.304,0.299939,0.479733,0.0785165,-0.347789,-0.392214,0.129517,-0.0271062,0.518858,-0.517909,0.351106,0.313136,0.39435,0.358409,-0.220221,0.866348,0.1073,0.632671,0.247154,-0.98194,-0.264744,1.13707,-1.12244,0.0308846,-0.325713,-1.5879,0.225192,-0.8123,0.192769,1.50108,-1.04026,0.626714,-1.03274,-1.15955,-0.130652,1.08246,-0.215245,1.05112,-0.00504248,-1.16465,0.114313,-1.66775,0.0628587,-1.25453,-0.704823,-0.715558,0.131643,-0.76239,0.0382055,-1.18604,0.796034,0.338552,1.29252,-0.564736,0.407158,-0.0998421,1.27046,-0.160276,1.07396,-1.2283,0.0112166,1.23074,0.68394,-0.0316113,0.805987,-0.408523,-0.787521,-1.20729,-0.438901,-0.107204,-1.25169,0.227646,0.879494,0.180176,0.485679,1.56456,1.82508,0.836999,0.277628,0.501659,0.614184,-0.415698,-0.790312,-0.379129,-1.98102,-0.256014,-1.23264,-1.15429,0.135897,0.0494828,-2.34681,-0.80528,-0.294215,0.848172,0.685759,-0.974914,0.0842883,0.930501,0.403256,-2.30197,0.33202,-0.907634,-0.891468,0.134242,-0.430419,-0.12759,-1.57491,-2.0364,-0.494926,-0.848923,0.615384,-0.295828,0.155068,0.135367,0.177505,0.158857,-0.14137,0.422405,0.0285671,0.30116,0.101131,-0.536593,-0.164471,0.56287,-0.609492,-0.0110815,-0.196105,-0.851002,0.0897364,-0.448574,0.0729136,0.751743,-0.566852,0.298069,-0.562949,-0.628746,-0.0948959,0.534535,-0.138788,0.518275,-0.0297225,-0.631393,0.0322059,-0.892431,0.00550856,-0.67803,-0.392809,-0.398379,0.041198,-0.422678,-0.00728292,-0.64249,0.385922,0.148554,0.643528,-0.320124,0.184151,-0.07891,0.632084,-0.110266,0.530125,-1.2145,-1.22063,-1.22866,-1.21926,-1.23289,-1.23714,-1.24184,-1.23323,-1.22951,-1.24234,-1.22575,-1.21844,-1.22628,-1.22286,-1.21075,-1.20783,-1.21891,-1.22519,-1.22268,-1.22141,-1.23297,-1.23717,-1.23256,-1.25052,-1.23117,-1.24213,-1.24125,-1.22678,-1.22775,-1.25463,-1.23734,-1.2316,-1.21879,-1.22061,-1.23924,-1.22736,-1.21787,-1.22378,-1.25412,-1.22458,-1.23848,-1.2383,-1.2268,-1.23313,-1.22973,-1.24597,-1.25114,-1.23385,-1.23783,-1.2214,0.87273,1.597,1.40028,1.28489,1.9015,1.47826,1.824,1.2043,1.53806,1.87179,0.885172,1.57817,2.03214,0.61374,1.21932,1.14365,0.399568,1.48416,-0.0294493,0.710738,1.05435,-0.0657145,0.696355,0.149717,-0.134779,0.249387,1.09685,-0.0750498,0.575515,0.122526,0.128778,0.33481,-0.671166,0.58216,-1.14278,-0.789885,-0.651597,-0.307701,-0.778075,-0.137482,-0.772689,0.146374,0.00468669,0.38314,-1.01724,-0.110073,-0.332128,0.768089,-0.124618,0.0927156
-135.987,0.946571,0.0170907,8,255,0,189.578,-0.232051,0.346543,0.0346458,-0.397301,-0.342018,0.103803,-0.384586,0.41984,-0.436945,1.16239,0.766406,0.236886,0.510908,0.274773,1.58295,0.464992,0.496524,0.788599,-0.51612,0.451797,1.96062,-1.06767,0.538866,-0.4269,-0.694155,1.37565,-0.879556,0.0892617,1.03091,-1.01174,0.802339,-0.588387,-0.84942,0.255888,1.3534,0.249297,1.76587,0.198045,-1.13493,0.303727,-1.87217,0.0119389,-1.19598,-0.772119,-0.941221,-0.313157,-1.30728,-1.09118,-1.24097,1.20697,-0.155592,-0.118426,-1.00862,0.204043,0.102509,2.04531,0.227138,1.52412,-0.290303,0.00197495,0.21456,1.38694,-0.645104,-1.86275,-0.275716,0.994244,0.0177888,-0.346242,-1.03652,0.0907327,2.90543,-0.219729,-0.634466,-1.26406,-0.603962,-0.195366,0.708403,0.364183,-0.82324,0.166738,0.129119,2.40362,0.918153,0.553982,0.0400346,-1.11819,1.3833,0.865022,0.83546,-0.106423,-0.0252832,0.80244,0.00690446,-0.497996,1.56938,-1.00504,-0.278607,0.0629254,-0.0701502,0.994102,-1.15691,1.06967,-0.217056,-0.843583,-0.8053,2.12623,0.864162,1.45197,0.902871,0.503191,-0.568034,0.103433,-0.0628183,-0.285132,-0.170086,-0.269226,0.280001,-0.189364,-0.176125,-0.0535007,-0.601274,-0.194904,0.43856,-0.832836,-0.158349,-0.563816,-0.676021,0.192966,-0.753859,-0.347111,0.0482305,-0.809357,-0.0477322,-0.631615,-0.741207,-0.277154,0.183626,-0.279921,0.356797,-0.301439,-0.861078,-0.257069,-1.1706,-0.379574,-0.886709,-0.708753,-0.779749,-0.516062,-0.933436,-0.842706,-0.905597,0.12215,-0.44991,-0.434306,-0.808044,-0.298921,-0.341549,0.474119,-0.289225,0.255302,-0.289879,-0.287563,-0.291577,-0.293981,-0.290847,-0.288339,-0.290267,-0.290986,-0.29235,-0.290123,-0.284565,-0.290737,-0.291556,-0.292799,-0.291495,-0.290688,-0.288904,-0.289583,-0.291928,-0.289973,-0.290048,-0.285556,-0.288489,-0.289209,-0.290224,-0.292511,-0.287571,-0.288594,-0.288653,-0.290513,-0.290353,-0.288718,-0.290289,-0.291286,-0.287203,-0.292288,-0.290853,-0.290178,-0.290441,-0.288339,-0.292587,-0.28819,-0.290731,-0.291969,-0.291893,-0.286103,-0.288596,-0.287435,-0.288519,-0.289309,-0.132701,0.777154,0.474812,0.105994,0.765861,0.559448,0.936825,0.26136,0.318804,0.925148,0.0639985,0.741044,1.13612,-0.349826,0.340052,0.0299401,-0.169171,0.8344,-0.924938,-0.327478,-0.233594,-0.908918,-0.24612,-0.555857,-0.856159,-0.504358,0.128271,-0.760904,-0.120714,-0.714377,-0.753033,-0.538893,-1.50508,-0.404148,-1.8796,-1.66091,-1.59732,-1.41707,-1.83097,-1.55301,-1.6159,-0.683506,-1.17213,-1.26727,-2.00357,-1.15225,-1.15912,-0.0131833,-0.907641,-0.713753
-143.717,0.920319,0.0170907,8,255,0,196.676,-1.18835,0.255147,0.192906,-0.208438,-0.484951,0.255558,0.540694,0.360681,-0.403352,0.952164,1.37984,0.744934,0.11444,-0.18141,1.8245,0.86276,0.50889,1.11793,-0.523286,-0.266968,1.90359,-1.45539,0.898488,-0.341278,-0.792354,1.69269,-0.913681,-0.121481,1.07084,-1.15726,0.56499,-1.28007,-1.32372,0.661014,1.07003,0.655146,2.49827,0.0400976,-2.33834,0.16179,-1.62827,0.0975883,-0.611398,-0.732119,-0.85649,0.154469,-0.832486,-1.13078,-1.31863,1.39746,-0.240962,-0.211969,-0.0991625,0.412088,0.230137,1.26365,-0.185432,2.34088,-0.540439,0.0310947,-0.292029,1.00823,1.04114,-3.1359,-0.00134612,1.78293,0.661307,1.27121,-0.917867,-0.134514,2.01645,-0.971211,0.0833642,0.45492,0.355923,-0.00845813,-0.318162,0.0588939,-0.643221,-0.936635,0.205771,-0.0977683,1.56554,-1.72981,-0.0295082,0.625752,-0.801424,0.158452,-0.243915,0.88159,-0.123636,-0.610203,0.604241,1.90926,0.280382,-0.982576,-0.193951,1.3179,1.04314,0.800744,2.364,0.626561,-0.499659,-0.859522,0.2749,0.633612,0.262031,0.0215551,-0.936864,-1.87494,0.395213,0.884121,1.03838,0.809377,0.581971,0.475263,1.19876,0.851875,0.724241,0.943908,0.351955,0.444404,1.22728,0.0157627,0.864761,0.417602,0.254907,1.15122,0.211147,0.496878,0.926927,0.123294,0.744475,0.078996,0.0632545,0.779109,0.926635,0.776993,1.44177,0.555157,-0.302702,0.599049,-0.0465915,0.575892,0.320175,0.276633,0.231775,0.596408,0.240432,0.132843,0.0650883,1.04473,0.453784,0.464241,0.504928,0.689326,0.6237,0.996469,0.473812,1.38501,-0.549519,-0.509088,-0.508065,-0.637948,-0.54048,-0.484999,-0.519875,-0.500911,-0.568979,-0.544621,-0.477738,-0.570638,-0.537846,-0.526293,-0.529371,-0.540702,-0.550332,-0.538607,-0.560439,-0.569563,-0.53404,-0.543479,-0.491759,-0.594226,-0.541356,-0.520981,-0.565359,-0.535512,-0.548023,-0.513026,-0.544283,-0.559413,-0.52165,-0.481071,-0.53172,-0.570991,-0.546469,-0.499459,-0.508002,-0.51554,-0.466931,-0.520956,-0.555975,-0.567165,-0.531891,-0.520737,-0.532291,-0.539768,-0.56957,-0.598739,0.133681,0.960604,0.705146,0.376791,1.03027,0.771454,1.03453,0.503793,0.547213,1.236,0.308084,0.892701,1.33756,-0.178166,0.584282,0.272327,0.0947801,1.07355,-0.638594,-0.082452,0.0285315,-0.625043,-0.035615,-0.312379,-0.598531,-0.258587,0.349352,-0.512166,0.0491628,-0.529146,-0.539923,-0.299346,-1.23639,-0.174493,-1.59208,-1.36112,-1.32352,-1.07719,-1.53662,-1.27035,-1.3381,-0.493667,-0.966308,-1.0045,-1.69464,-0.916673,-0.931597,0.0178426,-0.690721,-0.493453
-150.079,0.948132,0.0170907,8,255,0,210.658,-1.26235,0.422539,0.668511,0.146945,-0.675771,0.125969,-0.213137,0.440985,0.0586999,1.00637,0.387845,0.633849,-0.0795485,-0.479239,0.836801,0.735259,0.635036,0.223253,-0.934272,-0.616489,1.57439,-0.395364,0.0969157,-0.601343,-0.887781,1.04685,-1.58087,-0.731374,1.3733,-1.73058,0.159027,-1.60353,-0.947608,-0.506662,1.10065,0.460313,1.13989,0.762658,-1.23308,0.420018,-2.12244,-0.907647,-0.739287,-0.371373,-0.42284,0.312655,-0.615234,-0.968294,-1.33216,1.17742,0.222485,1.19997,0.381306,0.0747416,0.358102,1.32961,-0.0276236,1.70593,0.224674,0.00554326,1.7805,0.856197,0.15062,-1.88261,-0.735447,-0.257505,-0.204798,-0.665082,0.125345,0.729093,0.809526,1.4148,-0.789203,1.51171,-0.460647,-1.12616,1.70043,-2.00008,0.556296,-1.60224,0.936148,2.51457,0.319843,1.18939,0.557875,-2.09646,-1.753,1.57598,-0.676086,1.59019,1.28334,1.06701,-0.172343,0.190747,-0.143678,-0.2178,-0.695873,-0.0691856,1.705,1.69608,-0.225811,-0.430792,-0.683337,-0.96441,-0.335935,-0.240921,-0.109847,1.07811,-1.33348,-2.51108,-0.187251,0.230657,-0.0421027,0.0663812,-0.248217,-0.424474,0.15588,0.111102,0.0669045,-0.114685,-0.625137,-0.485,0.481148,-0.387487,-0.170398,-0.47832,-0.604635,0.248507,-0.910276,-0.535662,0.392467,-0.976298,-0.143008,-0.92027,-0.631018,-0.436567,0.272234,-0.0101457,0.289539,0.123184,-0.756907,-0.0279152,-1.1491,-0.613396,-0.539152,-0.376907,-0.399603,-0.0752606,-0.484446,-0.64014,-0.800598,0.30609,-0.115024,0.316032,-0.0449866,-0.180177,-0.0552194,0.373203,-0.225318,0.539152,0.234543,0.22942,0.225508,0.214238,0.220597,0.223246,0.223538,0.220987,0.225368,0.228715,0.229161,0.232516,0.220299,0.233053,0.22212,0.218431,0.234099,0.213587,0.227757,0.215792,0.229863,0.238612,0.226447,0.231267,0.227766,0.213052,0.214956,0.23341,0.220926,0.233488,0.231787,0.230588,0.223718,0.225731,0.223877,0.223466,0.220816,0.22429,0.234125,0.234075,0.223422,0.222286,0.220886,0.219328,0.222811,0.223338,0.224065,0.23065,0.217282,0.210754,-0.551393,0.337532,-0.0458609,-0.305975,0.376775,-0.0114394,0.38763,-0.143501,-0.179483,0.752936,-0.455825,0.139992,0.635124,-0.657425,-0.330797,-0.450313,-0.827472,0.370717,-1.53123,-0.779801,-0.52643,-1.45595,-0.89705,-1.13264,-1.2202,-1.08928,-0.199198,-1.24342,-0.857745,-1.05477,-0.984617,-0.946812,-2.01378,-0.865749,-2.37286,-2.28839,-1.96603,-1.80655,-2.12974,-1.99461,-2.15507,-1.23679,-1.49305,-1.35994,-2.27905,-1.81726,-1.62165,-0.619794,-1.47737,-1.24745
-124.693,0.951762,0.0170907,8,255,0,181.924,-0.590966,0.487208,0.255522,-0.411519,-0.328773,0.105114,-0.136437,0.501651,-0.492329,0.784159,0.40672,0.109621,0.172342,-0.13878,1.16281,0.339942,0.375649,0.811672,-0.554806,-0.120595,1.31684,-0.942393,-0.171669,-0.562905,-1.17396,0.94157,-1.31537,-0.367059,0.721299,-1.25869,-0.0493792,-1.2961,-1.15177,-0.554842,0.862857,-0.270461,1.13829,-0.156993,-1.90192,0.00920648,-2.45492,-0.830804,-0.851035,-0.943851,-0.512327,-0.104082,-0.662454,-0.816805,-1.05843,0.999695,0.477838,0.856726,-0.572071,-0.0263363,0.314688,1.16839,0.23786,1.02398,-0.149128,0.0133039,1.07945,0.787891,-1.41619,-0.227001,-0.0156002,1.05349,0.221563,0.0170264,-0.201783,-0.0144286,0.327111,-0.423039,0.773315,0.548021,-0.712008,1.3438,0.381497,-1.07167,-0.096481,0.464624,0.0831069,1.61309,-0.0521089,-0.472696,0.768953,0.0876425,-0.0931531,1.3207,0.0671332,1.45877,-0.60517,0.594955,-1.96172,-0.938482,0.892737,-1.41544,-1.8724,0.117622,-0.534211,1.30194,-1.81467,0.660062,0.919123,0.332292,-1.36742,-0.316208,-0.975453,-1.03287,-0.166076,-1.57929,-0.383414,0.256937,0.0675948,-0.0814454,-0.0499811,-0.206056,0.446886,0.0340953,0.0520077,0.270739,-0.414756,-0.196933,0.524157,-0.609189,-0.222555,-0.418818,-0.725353,0.335902,-0.796292,-0.320572,0.225404,-0.767861,-0.161208,-0.786629,-0.714224,-0.414774,0.296416,-0.272114,0.434588,-0.215192,-1.09053,-0.131818,-1.36795,-0.55321,-0.563359,-0.60992,-0.393446,-0.18865,-0.468757,-0.546188,-0.667401,0.365061,0.103271,0.29334,-0.423417,-0.149648,0.0214266,0.449688,-0.0171141,0.377243,-0.134767,-0.138646,-0.167969,-0.152148,-0.149336,-0.135113,-0.146181,-0.148902,-0.151813,-0.14932,-0.144777,-0.154756,-0.13884,-0.141838,-0.158601,-0.131251,-0.144053,-0.163386,-0.150412,-0.142947,-0.148023,-0.127668,-0.149822,-0.155417,-0.138898,-0.147962,-0.150368,-0.131558,-0.148235,-0.129721,-0.157179,-0.141213,-0.175227,-0.161614,-0.137251,-0.167959,-0.174039,-0.147564,-0.156235,-0.131808,-0.17327,-0.140347,-0.1369,-0.144708,-0.16732,-0.153335,-0.162106,-0.16287,-0.151338,-0.170139,-0.168094,0.701414,0.37059,0.0860499,0.646567,0.387372,0.864459,0.25888,0.324617,0.997674,0.0162694,0.499615,0.99155,-0.348037,0.0480609,-0.0565403,-0.441286,0.744012,-1.1011,-0.442053,-0.180528,-1.00392,-0.486935,-0.848826,-0.959746,-0.778862,0.108183,-0.874822,-0.170115,-0.74716,-1.11636,-0.53775,-1.83516,-0.722516,-1.91531,-1.91205,-1.57153,-1.44694,-1.72904,-1.62115,-1.74237,-0.801568,-0.983154,-0.894211,-1.97015,-1.36211,-1.15666,-0.405586,-0.998425,-0.95179
