# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_re_model
# start_datetime = 2022-03-05 10:50:31 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpMthmVV/standata-4a0c6fb6d33.json
# init = 2 (Default)
# random
#   seed = 1827429962
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,z_k.11,z_k.12,z_k.13,z_k.14,z_k.15,z_k.16,z_k.17,z_k.18,z_k.19,z_k.20,z_k.21,z_k.22,z_k.23,z_k.24,z_k.25,z_k.26,z_k.27,z_k.28,z_k.29,z_k.30,z_k.31,z_k.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,re_k.11,re_k.12,re_k.13,re_k.14,re_k.15,re_k.16,re_k.17,re_k.18,re_k.19,re_k.20,re_k.21,re_k.22,re_k.23,re_k.24,re_k.25,re_k.26,re_k.27,re_k.28,re_k.29,re_k.30,re_k.31,re_k.32,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.0272912
# Diagonal elements of inverse mass matrix:
# 0.18785, 0.0981655, 0.0872169, 0.0934277, 0.0145608, 0.00698448, 0.183476, 0.0225353, 0.258956, 0.193301, 0.192757, 0.249309, 0.186448, 0.266252, 0.291272, 0.247749, 0.195809, 0.182695, 0.181703, 0.224791, 0.211314, 0.159837, 0.261476, 0.230703, 0.171658, 0.207893, 0.173941, 0.229319, 0.142782, 0.209673, 0.26239, 0.275103, 0.18536, 0.25586, 0.233366, 0.263691, 0.198275, 0.208762, 0.179472, 0.194528, 0.164952, 1.30386, 0.966963, 0.869605, 0.885337, 0.946839, 0.907727, 0.839872, 0.966122, 0.872162, 0.951156, 0.937014, 1.03069, 1.11182, 1.05177, 0.876183, 0.960753, 1.01274, 1.06183, 1.05665, 1.01326, 0.971755, 1.05896, 1.22316, 1.03846, 1.07877, 0.850587, 0.926085, 1.01809, 1.00962, 1.03288, 0.851261, 1.0213, 1.00731
-65.7453,0.995643,0.0272912,7,127,0,117.274,0.0277978,0.230625,0.50021,0.478451,-0.374327,0.100434,-0.228469,0.515478,-0.831845,-0.381843,0.569753,0.644983,0.97577,2.25839,1.36821,-0.116733,0.68677,1.16096,0.379488,0.0283083,2.03756,-0.154664,0.218072,1.19436,0.134863,1.69603,0.164815,-1.05018,0.160169,-1.39251,-1.17794,-1.24148,-0.654125,-0.0120814,0.35414,0.713966,-0.462094,1.97369,-0.839506,-0.283749,-1.19995,0.0214297,0.728426,0.0566455,-0.271409,-0.0710344,1.49812,0.468954,0.408425,-1.12602,0.0739098,0.530054,-0.260252,-0.591413,-0.564198,-1.32323,0.726191,-0.382035,-0.894357,0.685801,-0.632803,1.05244,-0.671856,1.90227,1.66767,-1.46996,0.585173,-0.716699,0.727477,-1.41748,0.552176,-0.573536,0.00682502,0.690717,-0.657267,-0.425301,0.0652257,0.104005,0.274518,0.935678,0.476813,-0.288643,0.125545,0.369978,-0.0328518,-0.213877,0.82185,-0.308195,-0.116058,0.387199,-0.15895,0.645794,-0.143511,-0.769814,-0.145906,-0.946278,-0.835672,-0.868424,-0.565656,-0.234697,-0.045918,0.139564,-0.466668,0.788924,-0.661216,-0.374736,-1.18434,-1.19874,-1.20577,-1.20147,-1.16784,-1.1899,-1.1912,-1.22408,-1.19837,-1.18859,-1.20553,-1.21262,-1.21204,-1.22831,-1.18439,-1.20814,-1.21912,-1.18525,-1.21351,-1.1774,-1.21435,-1.15918,-1.16421,-1.23145,-1.18741,-1.21531,-1.18436,-1.23033,-1.18812,-1.21224,-1.1998,-1.18515,0.6812,0.522967,0.717408,0.897157,0.695331,2.02381,0.76669,0.995142,0.960737,1.25092,0.494716,0.301049,1.59743,0.299628,0.134676,0.574322,0.546698,1.52813,0.348627,0.182455,0.492419,-0.536714,-0.0145249,-0.977573,-0.17153,0.16575,0.527504,0.60623,-0.322876,1.44492,-0.334414,0.348585
-72.4005,0.995142,0.0272912,7,255,0,111.853,-0.665154,-0.142576,-0.115408,-0.26957,-0.323514,0.112155,-0.239348,0.533539,-0.528672,-1.54052,0.141645,0.442989,0.687673,1.96874,1.37411,-0.025467,0.856112,0.73574,-0.183398,-0.37295,2.29901,-0.25789,0.0939375,1.52859,0.391756,1.72037,-0.0657712,-0.876066,0.777363,-1.66254,-0.637178,-0.463687,-0.282823,0.561992,0.412425,0.904535,0.0579794,1.79333,-0.759817,0.271629,-0.00693308,0.0130633,-0.409331,-0.440249,-0.732908,0.188941,-0.245518,0.176717,0.824135,0.619909,0.699996,-1.02547,0.664615,0.335801,0.0463305,0.824125,-0.498674,-1.55772,-2.66144,0.330048,-2.35532,1.04306,1.37823,1.08687,1.77771,-2.16879,-0.673193,0.973127,1.76876,1.17134,0.0227259,0.0735621,0.769136,1.2116,-0.521415,-1.06127,-0.163775,-0.00299637,0.127552,0.811052,0.493793,-0.252936,0.217421,0.153198,-0.337198,-0.438332,0.987264,-0.376943,-0.189229,0.576213,-0.030331,0.678536,-0.27444,-0.706764,0.175405,-1.12638,-0.579307,-0.486743,-0.390245,0.0604965,-0.0193032,0.243256,-0.208414,0.717462,-0.64474,-0.0944237,-0.0122803,-0.0126842,-0.0165073,-0.00446489,-0.0101404,-0.00462457,0.00383285,0.00116498,0.00221118,-0.0203291,0.00174899,-0.00254641,-0.00632785,0.00383272,-0.0134474,-0.027282,-0.0417003,-0.00262156,-0.0377014,0.00669271,0.0110712,0.00726497,0.0162897,-0.0352646,-0.0157272,0.00577917,0.0161727,0.0083685,-0.0066362,-0.00597212,0.00311438,0.00889447,-0.31965,-1.22209,-0.555134,-0.348584,-0.514478,0.82182,-0.286752,-0.123784,-0.0157719,-0.0404536,-0.886964,-0.948316,0.471377,-1.03782,-1.13336,-0.473606,-0.632012,0.254912,-1.06065,-1.04459,-0.459107,-1.9586,-1.21653,-1.92798,-1.39652,-0.965668,-0.794557,-0.624261,-1.40569,-0.0117805,-1.68385,-0.790835
-63.5039,0.995242,0.0272912,7,127,0,103.834,-0.703407,-0.215191,-0.139016,-0.395565,-0.261917,0.171266,0.221606,0.523423,-1.29454,-0.177488,-0.0433607,0.939303,0.436872,1.01407,1.36348,0.101658,-0.0169207,0.536994,-0.0154818,-0.705514,1.86671,0.108073,0.655129,0.887584,0.0141029,0.811274,0.18988,-1.07344,-0.141349,-1.66742,-0.228186,-0.744382,-0.684225,0.208151,0.260362,1.22825,-0.32734,2.07515,-0.880024,-0.277758,-0.412221,0.111987,-0.276756,-0.702385,-0.54726,0.331157,-0.112876,0.686995,0.182929,-0.340499,1.29148,0.621067,1.0851,0.826542,0.573712,0.788884,0.601098,-0.24075,-0.222454,0.426618,-0.941349,0.174771,-0.265227,-0.241574,-1.26041,0.237928,0.153869,1.12495,0.261422,-0.670886,-0.567948,0.611784,0.315486,1.31079,-0.455984,0.128705,0.19891,0.713259,0.450275,0.752396,0.935286,0.274816,0.21275,0.502682,0.213503,-0.147676,1.19869,0.278174,0.564516,0.686188,0.228988,0.646246,0.320994,-0.340257,0.147621,-0.651161,0.102169,-0.168021,-0.136533,0.330557,0.357886,0.864503,0.0502692,1.30779,-0.239019,0.0762214,-0.443214,-0.490879,-0.473507,-0.375136,-0.424862,-0.335286,-0.391735,-0.450353,-0.267592,-0.342669,-0.290704,-0.319659,-0.347972,-0.323876,-0.344906,-0.439182,-0.437133,-0.364445,-0.51764,-0.392649,-0.441923,-0.439274,-0.553371,-0.385576,-0.39499,-0.28624,-0.382945,-0.487352,-0.475824,-0.343709,-0.376891,-0.265429,-0.315897,-0.105223,-0.141198,0.168813,-0.253706,0.818315,0.0386965,0.27565,0.000693248,0.322638,-0.415782,-0.583824,0.731475,-0.306419,-0.168941,-0.293761,-0.388148,0.253731,-0.445536,-0.582849,-0.41563,-1.37448,-0.675476,-1.5966,-1.21297,-0.842444,-0.290118,0.141802,-1.10033,0.616573,-1.26157,-0.668881
-78.447,0.978853,0.0272912,7,127,0,114.174,0.0506935,-0.0184166,-0.106232,-0.218575,-0.166921,0.104545,-0.396269,0.428232,-1.31369,-0.950351,-0.593088,1.0067,-0.0430855,1.5294,0.736721,0.271092,-0.197196,0.718708,-0.626293,-1.37407,2.18843,-0.0469779,0.00802246,0.682105,0.0188006,1.30132,-0.389782,-1.17322,-0.0276829,-2.41398,-0.734063,-1.50623,-1.44559,-0.506899,-0.208945,0.600462,-1.4786,2.32406,-1.98418,-0.467897,-0.346722,0.0272064,-0.490859,0.528951,0.169788,-1.91109,0.274323,-0.551505,-0.352255,-2.22477,0.345515,-0.388171,-0.991827,0.526373,-0.280165,1.41076,0.0322951,2.13935,-0.00596037,1.40563,-2.7022,2.97991,-0.191521,-1.18928,0.41489,-1.05722,-1.25328,-0.168021,0.446668,-0.169715,-1.76764,0.49378,1.04395,1.45863,-0.958833,-0.80324,-0.650249,0.0348316,-0.41472,0.258667,-0.0807819,-0.280179,-0.480715,-0.0884955,-0.664468,-0.984691,0.540886,-0.416387,-0.392834,-0.10417,-0.388218,0.160999,-0.563187,-0.89868,-0.408124,-1.43001,-0.710619,-1.04128,-1.01532,-0.61334,-0.485747,-0.139132,-1.02945,0.598969,-1.24596,-0.596638,-0.360077,-0.332331,-0.342103,-0.398716,-0.339259,-0.361727,-0.356306,-0.40725,-0.337322,-0.357283,-0.373706,-0.332402,-0.354345,-0.30834,-0.345844,-0.288518,-0.346884,-0.30848,-0.42024,-0.26565,-0.351933,-0.379078,-0.335435,-0.375486,-0.380819,-0.351294,-0.33457,-0.35134,-0.394814,-0.333288,-0.31832,-0.307038,-0.265663,-0.343827,-0.263108,0.305556,-0.25027,0.899968,-0.0344786,0.328848,-0.0119661,0.400655,-0.452414,-0.658756,0.715264,-0.316816,-0.392738,-0.251958,-0.304784,0.382981,-0.574961,-0.585754,-0.294952,-1.41885,-0.678321,-1.42383,-1.17344,-0.828401,-0.384638,-0.0856281,-1.23945,0.677141,-1.37434,-0.548204
-64.5253,0.927091,0.0272912,7,127,0,101.211,0.00281341,-0.52553,-0.350545,-0.322141,-0.312833,0.219377,-0.0179715,0.517059,-1.5431,-0.912901,0.168202,0.709716,0.418437,1.27362,1.64439,-0.0286117,-0.132991,0.687189,-0.216635,-0.765368,1.94471,-0.362508,0.186801,0.920629,0.258985,0.970581,-0.171488,-1.47457,0.0471029,-1.77134,-1.06223,-1.01293,-0.916776,-0.151122,-0.585553,0.158466,-1.47064,1.51516,-2.06855,-1.02638,-0.678469,0.00208791,0.95012,0.0760313,1.35034,-0.152162,-0.245355,0.989991,0.692071,-0.10742,-0.422751,-0.681783,1.3925,-0.654192,0.373228,-0.609061,-0.376499,-1.23158,2.14939,1.25403,0.287917,1.00256,-0.489501,0.931724,0.123554,1.2287,1.66643,0.628903,-0.85365,-1.31118,0.0314471,0.0153587,-1.08416,0.352158,-0.815848,-0.489995,0.0689991,0.348994,0.198385,0.640566,0.832275,-0.0327655,-0.0867357,0.337346,-0.129985,-0.413712,0.987557,-0.20541,0.0786156,0.458048,0.115939,0.483877,-0.106641,-0.78041,0.00638346,-0.933861,-0.567209,-0.541717,-0.491999,-0.0961105,-0.320737,0.063965,-0.778378,0.765457,-1.08754,-0.548668,-0.676485,-0.67831,-0.675649,-0.678786,-0.678981,-0.676402,-0.677024,-0.678693,-0.679351,-0.679892,-0.675561,-0.679835,-0.677689,-0.67974,-0.679255,-0.68104,-0.673981,-0.67585,-0.677868,-0.676375,-0.679491,-0.676523,-0.678211,-0.675903,-0.674989,-0.677156,-0.680251,-0.681206,-0.678403,-0.678437,-0.680732,-0.677733,-0.0296238,-0.16531,0.281682,0.273161,-0.0531766,1.35302,0.335846,0.572318,0.278891,0.741209,-0.292329,-0.315738,1.11761,-0.215555,-0.0945135,-0.0391264,0.0521072,0.703149,-0.348908,-0.367252,0.0217294,-1.1097,-0.487928,-1.2399,-0.769589,-0.503859,-0.0421595,0.253325,-1.12973,0.977603,-1.28595,-0.415701
-77.5105,0.933329,0.0272912,7,127,0,108.579,-0.211923,-0.401933,-0.482346,-0.293973,-0.186222,0.191412,-0.501154,0.599818,-0.796415,-1.13644,0.297642,0.631841,0.681363,1.16556,1.09021,0.130564,0.386341,0.236647,-0.144794,-0.295582,2.46337,0.213286,0.617842,0.931344,0.46393,1.58138,-0.409339,-0.451357,0.0692357,-0.932809,-1.54853,-1.15739,-1.308,-0.0154303,-0.730465,-0.369388,-1.31825,0.755127,-0.918028,-0.640986,0.00192852,0.057456,0.550872,1.89414,0.0206279,-1.71719,-0.913451,-0.39409,-0.313115,-0.664001,-1.13135,-0.422137,-0.495126,0.188744,0.00850111,1.04429,2.22494,-0.430657,0.847504,0.536856,-0.556498,-0.578618,1.071,-1.68081,1.16156,-0.252102,-0.495772,0.67168,0.0941996,1.12975,0.0974447,-1.50884,0.0304817,1.73273,-0.978858,-1.18281,-0.322623,-0.122164,-0.0924599,0.197971,0.152776,-0.422839,-0.269419,-0.359208,-0.588004,-0.678449,0.97642,-0.373221,-0.130561,0.0574834,-0.22288,0.44739,-0.746682,-0.771886,-0.459625,-1.06067,-1.42999,-1.19538,-1.28572,-0.510409,-0.9393,-0.72272,-1.29186,-0.0482147,-1.0518,-0.885629,0.0335794,0.110758,0.00311371,-0.0967346,-0.0505548,-0.0207143,-0.0160618,-0.0362224,-0.0630745,-0.0223258,-0.0265194,0.012773,0.00241696,0.0619295,0.129765,-0.0228153,0.0506227,0.0327741,-0.0300457,-0.0313166,0.0634641,-0.0946442,0.068667,-0.0125563,-0.0265566,0.0405206,0.00734085,0.0668393,0.0075273,-0.0847635,0.00367987,0.101484,-0.631066,-1.17059,-0.316247,-0.469999,-0.484082,0.562673,-0.445431,-0.243698,-0.171999,-0.239027,-0.926516,-0.740357,0.68821,-0.744888,-0.538427,-0.664923,-0.687327,0.212289,-1.31735,-0.830749,-0.816118,-1.53097,-1.63778,-1.86598,-1.70594,-1.06894,-0.845989,-0.682518,-1.69518,-0.0552714,-1.36408,-1.00064
