# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJ_NC_sim5_re_model
# start_datetime = 2022-03-09 18:52:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 2000
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.94999999999999996
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmp8W8kz6/standata-4bcc72294eae.json
# init = 2 (Default)
# random
#   seed = 1827429962
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJ_NC_sim5_re-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJ_NC_sim5_re_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_k,s_SI,z_k.1,z_k.2,z_k.3,z_k.4,z_k.5,z_k.6,z_k.7,z_k.8,z_k.9,z_k.10,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_k.1,re_k.2,re_k.3,re_k.4,re_k.5,re_k.6,re_k.7,re_k.8,re_k.9,re_k.10,m_SI.1,m_SI.2,m_SI.3,m_SI.4,m_SI.5,m_SI.6,m_SI.7,m_SI.8,m_SI.9,m_SI.10,m_SI.11,m_SI.12,m_SI.13,m_SI.14,m_SI.15,m_SI.16,m_SI.17,m_SI.18,m_SI.19,m_SI.20,m_SI.21,m_SI.22,m_SI.23,m_SI.24,m_SI.25,m_SI.26,m_SI.27,m_SI.28,m_SI.29,m_SI.30,m_SI.31,m_SI.32
# Adaptation terminated
# Step size = 0.032473
# Diagonal elements of inverse mass matrix:
# 0.170604, 0.104529, 0.092192, 0.102456, 0.0148604, 0.00630687, 0.161151, 0.0215299, 0.235419, 0.174501, 0.171355, 0.251286, 0.193049, 0.248833, 0.279354, 0.22493, 0.183864, 0.167431, 0.15578, 0.209159, 0.197794, 0.157092, 0.238043, 0.210124, 0.165643, 0.190993, 0.14927, 0.21659, 0.13989, 0.204966, 0.265239, 0.267987, 0.190846, 0.245348, 0.2514, 0.274522, 0.209308, 0.215905, 0.19223, 0.181684, 0.179463, 1.30758, 0.940139, 0.972038, 0.805891, 0.824697, 0.923333, 0.862791, 0.744833, 0.890117, 0.926752, 0.840524
-71.7887,0.949404,0.032473,7,127,0,97.0767,-0.542006,-0.173868,0.0470981,-0.228587,-0.316888,0.265926,-0.115998,0.348446,-1.54848,-1.79138,-0.215273,1.61398,0.915554,1.47478,2.41403,-0.53505,-0.236566,0.523722,0.289643,-1.15112,2.57069,-0.596026,-0.391686,1.86977,-0.607184,1.15687,-0.0818478,-2.58331,0.0444263,-2.91281,-0.676764,0.0391683,0.118941,0.655771,-0.94289,1.26973,-0.625068,2.43646,-0.739287,-0.00902531,-0.469112,0.0098917,-1.26342,1.01805,-0.675453,-0.929686,-0.962844,-0.850015,-1.69718,-1.19788,0.975207,0.173732,-0.65556,-0.740199,-0.191009,0.446386,0.203023,0.397885,0.725163,-0.302434,-0.198429,0.0664907,-0.0150731,-0.5171,0.779748,-0.323681,-0.25248,0.535517,-0.327569,0.287108,-0.144518,-1.01614,-0.100518,-1.13096,-0.351814,-0.10235,-0.0745535,0.112503,-0.444544,0.326433,-0.333801,0.732976,-0.3736,-0.119143,-0.481609,-0.459041,-0.475793,-0.478308,-0.478636,-0.47752,-0.4859,-0.480961,-0.459465,-0.467393,0.0855895,-0.510277,-0.0308355,0.183188,-0.194476,1.10802,0.0359162,0.211521,0.116672,0.420323,-0.322199,-0.473121,0.85623,-0.389215,-0.439405,-0.0670655,-0.491192,0.453965,-0.488888,-0.609182,-0.140231,-1.36433,-0.674927,-1.21301,-0.759162,-0.747658,-0.43466,0.245944,-1.04943,0.631861,-0.934299,-0.344167
-65.6723,0.933999,0.032473,6,127,0,89.3455,0.0909917,-0.213989,0.141495,-0.115523,-0.359384,0.214666,-0.260306,0.403254,-2.06369,-1.14067,-0.215371,0.925855,1.0032,1.51636,1.81475,0.023216,0.570908,0.251104,0.200424,-0.649112,2.50063,-0.236033,0.0756605,1.26098,-0.301866,0.571961,-0.635643,-1.59163,0.143623,-2.22639,-1.16633,-0.179041,-1.08678,-0.0619554,-0.684239,1.00346,0.0520565,1.73923,-1.11923,-0.106132,-0.916474,0.00132567,-0.637274,0.367804,-0.477483,0.016003,-1.92995,0.229637,-1.69167,0.0617433,1.11049,1.42052,-1.09249,-0.720287,-0.347155,0.113048,0.144237,0.351171,0.471499,-0.250944,-0.030085,-0.159047,-0.179484,-0.522063,0.748081,-0.355487,-0.229796,0.248189,-0.382034,-0.0296606,-0.516631,-0.902137,-0.202389,-1.15811,-0.730633,-0.332505,-0.698553,-0.28529,-0.536228,0.144343,-0.239314,0.441044,-0.711639,-0.303104,-0.917319,-0.915987,-0.917107,-0.916453,-0.919033,-0.91617,-0.918717,-0.916392,-0.915002,-0.914591,0.176161,0.055506,0.262613,0.503435,0.295389,1.49773,0.3787,0.846972,0.755387,0.67035,0.0741612,-0.0440724,1.45474,0.190112,0.0912108,0.27164,0.139244,0.779494,-0.200341,0.0923992,0.372493,-0.802854,-0.334595,-0.829627,-0.71249,-0.4114,-0.0233024,0.554775,-0.37535,0.915007,-0.671972,0.117254
-65.7354,0.999459,0.032473,7,127,0,87.3018,-0.634587,-0.0382527,0.26038,0.169559,-0.334665,0.17641,-0.494531,0.438147,-1.54289,-0.811458,0.0136006,0.753912,0.983306,2.07689,2.09689,0.0816096,1.23641,1.31936,-0.270633,-0.0155086,2.01067,-0.362112,0.693757,1.16512,-0.263854,1.43303,-0.230073,-1.65362,-0.228166,-1.59855,-1.39439,-1.54691,-0.724348,0.110749,-0.761503,1.3592,-1.62269,1.54923,-1.30554,-0.634926,-0.0444447,0.0253747,-1.13431,-1.43247,1.05505,-1.16582,1.0456,-0.738261,0.449615,-0.244003,-1.37587,-1.45777,-1.17054,-0.850069,-0.488572,-0.164207,-0.0636984,0.415454,0.424214,-0.458774,0.0471993,0.0835421,-0.613108,-0.501326,0.38644,-0.65319,-0.190564,0.0159638,-0.610138,0.133348,-0.595337,-1.21906,-0.594501,-1.19493,-1.10548,-1.1723,-0.811902,-0.446007,-0.828182,0.100997,-1.20551,0.184258,-1.06655,-0.772722,-0.0732275,-0.0807932,-0.0176731,-0.074027,-0.0179129,-0.0631779,-0.0330358,-0.0506362,-0.0793569,-0.0814351,-0.617924,-0.732922,-0.549522,-0.358974,-0.504737,0.830881,-0.220504,-0.0416598,0.149868,0.227116,-0.958703,-0.684989,0.406808,-0.782804,-0.552815,-0.576393,-0.738909,0.249161,-0.914996,-0.954107,-0.696846,-1.5018,-1.20236,-2.10091,-1.29056,-1.00563,-0.886686,-0.0529513,-1.82136,0.112963,-1.51878,-0.870444
-60.35,0.873687,0.032473,7,255,0,91.1237,0.214768,0.0383769,-0.129664,-0.350818,-0.284522,0.131249,-0.657277,0.544675,-1.69524,-1.26368,-0.857645,0.185137,0.378478,1.26925,0.876452,0.0087701,0.399907,0.277752,-0.576773,-0.372423,1.81326,-0.405421,0.513888,0.831213,0.145247,1.40368,0.400218,-1.03169,0.327004,-1.12356,-0.208234,-0.760128,-0.0297308,0.687169,0.00528689,1.28871,-0.750005,1.77159,-0.86446,0.306786,-0.471207,0.0132745,0.552171,1.9426,0.443204,1.02203,-2.07726,1.24867,1.15421,-0.518086,1.22242,-0.858887,-1.58063,-1.34557,-1.12441,-0.556437,-0.451129,0.0340531,-0.179895,-0.6525,-0.439458,-0.505992,-0.971431,-0.860127,0.33036,-0.8781,-0.377375,-0.204536,-0.578164,0.107271,-0.439288,-1.21922,-0.479166,-1.26925,-0.770697,-1.0713,-0.673471,-0.282993,-0.654397,0.0446532,-1.06579,0.307665,-1.12813,-0.490178,-0.463877,-0.44542,-0.465323,-0.45764,-0.498781,-0.454631,-0.455885,-0.478084,-0.45498,-0.482608,-0.341827,-0.458263,-0.407247,0.10315,-0.0196431,1.13749,0.0971581,0.489832,0.416814,0.385055,-0.458801,-0.247286,0.713463,-0.622509,-0.338293,-0.323625,-0.303127,0.571517,-0.326538,-0.646905,-0.200391,-1.16436,-0.612486,-1.6202,-0.839835,-0.499462,-0.51975,0.098157,-1.36752,0.450166,-1.29075,-0.351414
-51.3228,0.972683,0.032473,9,575,0,72.3068,0.181624,0.0331567,0.217246,0.122911,-0.222912,0.09342,-0.437426,0.573812,-1.06906,-1.16308,0.133617,0.516775,0.438076,1.41397,0.748441,0.262675,0.456227,0.617795,-0.945593,-0.786587,1.39732,-0.901388,-0.174326,0.151321,-0.777685,0.75055,-0.477092,-1.35521,0.0828109,-1.54635,-1.08802,-1.39466,-1.00706,-0.64266,-0.617413,-0.0270193,-1.05056,1.4578,-1.63952,-0.126653,-0.583135,0.0843405,-0.793716,-0.498771,-0.604157,0.764812,0.179731,-0.374911,-0.185143,0.302325,-1.24504,0.999678,-1.05086,-1.10481,-0.360755,-0.140895,-0.186053,0.373925,-0.00796237,-0.286701,-0.175638,-0.0829282,-0.980019,-0.888779,0.364374,-0.954653,-0.537457,-0.350597,-0.883671,-0.00675239,-0.711187,-1.21506,-0.389909,-1.32474,-1.06175,-1.2377,-1.01529,-0.806192,-0.791705,-0.45293,-1.04025,0.399079,-1.3782,-0.510101,-0.650078,-0.625202,-0.63409,-0.518631,-0.567977,-0.614755,-0.59875,-0.557637,-0.688143,-0.498822,-0.0920829,-0.412007,0.189344,0.392317,0.159043,1.21724,0.22555,0.605906,0.483443,0.603399,-0.57135,-0.420416,0.977898,-0.44103,-0.202868,-0.121111,-0.345404,0.670344,-0.300065,-0.46271,0.141879,-0.929181,-0.536078,-1.26602,-0.74391,-0.564662,-0.312722,-0.0375201,-0.884336,0.893624,-1.1133,-0.00907616
-53.9727,0.995882,0.032473,6,127,0,91.5261,-0.311818,-0.348027,-0.110583,-0.662724,-0.167378,0.0884555,-0.235048,0.537112,-0.741359,-0.887771,0.193564,0.339615,0.475821,1.7656,0.89436,-0.0425108,0.356883,0.713369,-0.171664,-0.620837,1.12369,-0.930239,-0.610559,0.166173,-0.642003,0.0527228,-1.21638,-1.07897,-0.478698,-2.25301,-0.472778,-1.5141,-0.347548,0.0548653,0.195328,0.737314,-1.07213,1.68595,-0.731656,-0.0901725,0.11062,0.00364458,-0.340874,1.69328,0.333549,0.242157,0.813762,-0.527689,-0.577825,1.61595,-1.02511,-0.706288,-0.633241,-0.711881,-0.131083,-0.0526373,0.0205208,0.713279,0.245323,-0.257882,-0.0433622,0.148111,-0.327251,-0.568508,0.368498,-0.734691,-0.562987,-0.145795,-0.579876,-0.20673,-0.888382,-0.814576,-0.492163,-1.44517,-0.488983,-1.04829,-0.42172,-0.20558,-0.130135,0.160972,-0.810903,0.670495,-0.62803,-0.283481,0.109378,0.116792,0.111836,0.111503,0.113586,0.108697,0.108514,0.11651,0.106884,0.108046,-0.679509,-0.976171,-0.484219,-0.47338,-0.523165,0.598623,-0.400456,-0.372147,-0.314667,-0.102736,-0.823202,-0.983017,0.143893,-1.03431,-0.978728,-0.677073,-0.879298,-0.383601,-1.28327,-0.916629,-0.778142,-1.83344,-1.27917,-2.25446,-1.40285,-1.22743,-0.900453,-0.657081,-1.86042,-0.106447,-1.59572,-1.07387
