# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJb_C_sim1_model
# start_datetime = 2022-02-22 08:54:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpKk1edD/standata-495415351d46.json
# init = 2 (Default)
# random
#   seed = 1661923731
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_C_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_C_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJb_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_HJb,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00365778
# Diagonal elements of inverse mass matrix:
# 0.107909, 0.0271759, 0.0170537, 0.0163175, 0.0163977, 0.0161905, 0.0164208, 0.0164388, 0.0162241, 0.016344, 0.0162962, 0.01634, 0.0163881, 0.0162613, 0.0163412, 0.0164009, 0.0162827, 0.0162339, 0.0164275, 0.0162613, 0.0162749, 0.0163171, 0.0164815, 0.0162665, 0.0164414, 0.0163539, 0.0162798, 0.0162971, 0.0162395, 0.016309, 0.0163777, 0.0163046, 0.0164346, 0.0163959, 0.0163713, 0.0447828, 0.00694505, 0.0422422, 0.0422075, 0.0423854, 0.0424205, 0.0423541, 0.0424929, 0.0424652, 0.0424907, 0.0422046, 0.0423431, 0.0425279, 0.0425537, 0.0423449, 0.042425, 0.0424185, 0.0423142, 0.0424521, 0.042405, 0.0423935, 0.0424724, 0.0421656, 0.0426224, 0.0422478, 0.0425115, 0.0423541, 0.042416, 0.0422602, 0.0424592, 0.0424543, 0.0425551, 0.042299, 0.0424767, 0.0423333, 0.0426577, 0.0424591, 0.0424946, 0.0421966, 0.0422854, 0.042419, 0.0423063, 0.0422794, 0.0422517, 0.0423476, 0.0420869, 0.0420994, 0.0425452, 0.0424149, 0.0424179, 0.0422099, 0.0425359, 0.0426365, 0.042394, 0.0423901, 0.0424033, 0.0423072, 0.042309, 0.0425102, 0.0423133, 0.0425054, 0.0425497, 0.0423368, 0.0424863, 0.0423652, 0.0427007, 0.0425909, 0.0422449, 0.042078, 0.0422893, 0.0424242, 0.042183, 0.0424272, 0.0424348, 0.042378, 0.0421515, 0.042179, 0.0424479, 0.0425691, 0.0420268, 0.0422014, 0.0425568, 8.9009e-05
21484.9,0.629056,0.00365778,6,63,0,-21426.3,-0.338952,0.201801,0.473992,0.794615,0.0139725,0.569292,-0.769414,-0.389529,1.24648,-0.672437,0.249037,0.607559,0.815904,-0.225167,0.801715,-0.0130605,0.189778,0.496125,-0.119479,-0.293764,0.286551,-0.107474,0.685039,0.205032,0.163948,-0.106182,-0.526429,-0.0983251,-0.626558,1.45237,1.21417,0.30093,0.710948,0.352792,0.270224,0.105306,0.535357,0.382408,0.104843,-0.548803,0.598405,-0.00889469,0.359945,-0.339255,0.516644,0.233673,-0.163307,0.146224,-0.0305141,0.585999,0.815271,0.55447,0.0554923,-0.316028,0.00911414,-0.213465,0.508097,-0.349051,0.332029,-0.147325,-0.727596,-0.385383,-0.209252,0.999904,0.0534668,-0.110676,-1.10722,-0.288619,-0.430797,-0.0749021,-0.579026,1.36642,0.379147,0.421815,0.187492,0.41977,-1.39601,0.373822,0.0838596,0.25116,0.529705,0.422005,0.901053,0.348087,0.37627,-0.431585,0.0892663,0.492479,0.043283,-0.244431,0.269279,0.758743,0.968242,-0.180416,0.767724,-0.146779,0.454967,1.16661,0.990472,-0.0282265,0.0878364,-0.371369,0.180085,0.117644,0.00538827,-0.393292,0.713048,-0.535958,-0.179287,0.029405,-0.404495,0.686507,0.911377,0.79326,0.157019,0.0688023,-0.170037,0.0211605,0.455663,-0.32498,0.23034,-1.10837,-0.728482,0.907528,-1.01139,-0.0899151,0.268607,0.476952,-0.564119,0.462763,-0.352013,-0.149174,0.157173,-0.458431,-0.632717,-0.0524014,-0.446426,0.346087,-0.13392,-0.175004,-0.445135,-0.865381,-0.437277,-0.96551,1.11342,0.875218,-0.0380226,0.371996,0.0138399,-0.0687282
21485.3,0.87477,0.00365778,6,63,0,-21422.5,-0.343745,0.180892,0.459442,0.805879,0.0143788,0.568187,-0.776566,-0.390581,1.26282,-0.657085,0.259443,0.610613,0.815351,-0.215627,0.817206,0.00161419,0.179503,0.473397,-0.100678,-0.298326,0.285419,-0.110258,0.70155,0.20552,0.162909,-0.100953,-0.526219,-0.101368,-0.638886,1.4658,1.22611,0.287627,0.688134,0.356455,0.274732,0.175822,0.530733,0.371927,0.0949725,-0.550042,0.634636,-0.00850439,0.369429,-0.352892,0.514032,0.206274,-0.158471,0.151805,-0.0252004,0.617728,0.780752,0.518184,0.044833,-0.266879,-0.00759171,-0.208483,0.501573,-0.303136,0.313134,-0.151696,-0.740041,-0.34954,-0.225915,1.00801,0.0705529,-0.154277,-1.06034,-0.266791,-0.387778,-0.0988235,-0.591789,1.35882,0.379237,0.434303,0.166034,0.419998,-1.44569,0.399262,0.0582074,0.287415,0.523848,0.411623,0.907114,0.359524,0.403266,-0.426175,0.0900773,0.476702,0.0511298,-0.23648,0.333651,0.781411,0.964219,-0.180658,0.765094,-0.17243,0.469125,1.17896,0.976039,-0.0248093,0.119892,-0.379752,0.195904,0.144333,0.0294008,-0.427706,0.71711,-0.523446,-0.207322,0.0255475,-0.394653,0.667123,0.925728,0.763497,0.135283,0.068579,-0.17512,0.0211741,0.462134,-0.329366,0.224442,-1.12031,-0.734326,0.919077,-1.00083,-0.0843013,0.266869,0.471607,-0.559372,0.473461,-0.342131,-0.164242,0.129652,-0.444423,-0.64207,-0.0583253,-0.454002,0.357805,-0.138225,-0.180835,-0.444697,-0.869964,-0.445112,-0.982631,1.12206,0.882363,-0.0561173,0.344389,0.0127102,-0.0690126
21482.1,0.982659,0.00365778,6,63,0,-21415.1,-0.342626,0.176739,0.462703,0.797213,0.0318295,0.556031,-0.763328,-0.386391,1.24201,-0.672146,0.249132,0.598032,0.832286,-0.226573,0.81165,-0.0127424,0.191968,0.496729,-0.118259,-0.28749,0.294144,-0.12414,0.683378,0.199669,0.167935,-0.102659,-0.532016,-0.0904166,-0.629564,1.4689,1.21927,0.293225,0.69539,0.348665,0.271471,0.146045,0.520754,0.384548,0.109989,-0.542465,0.62563,0.002424,0.360889,-0.338536,0.524397,0.234648,-0.160973,0.149592,-0.0225641,0.599567,0.802127,0.549193,0.0443895,-0.300133,0.0152083,-0.203633,0.500423,-0.314772,0.331495,-0.146928,-0.738098,-0.38499,-0.225498,1.01368,0.0536621,-0.129037,-1.08347,-0.283276,-0.393787,-0.0824088,-0.588662,1.34225,0.366891,0.418891,0.174444,0.421753,-1.42999,0.374978,0.0706728,0.252746,0.548634,0.43367,0.907665,0.343852,0.375986,-0.420817,0.0941836,0.479046,0.0306789,-0.2288,0.286615,0.779669,0.96715,-0.187971,0.773857,-0.147493,0.453086,1.16876,0.986892,-0.0172884,0.0999589,-0.363425,0.182781,0.106165,-0.0064818,-0.406976,0.717119,-0.504053,-0.190223,0.0156534,-0.404994,0.692186,0.91525,0.795545,0.159396,0.0793155,-0.163019,0.0212107,0.454586,-0.310797,0.213405,-1.10595,-0.729017,0.899387,-1.01477,-0.0934941,0.255406,0.48966,-0.569199,0.469024,-0.355369,-0.150658,0.154103,-0.460885,-0.630116,-0.0484826,-0.466766,0.340752,-0.142957,-0.174691,-0.445285,-0.874642,-0.433043,-0.97219,1.12627,0.876642,-0.0494009,0.352764,0.00603866,-0.0711557
21475.4,0.990224,0.00365778,6,63,0,-21409.7,-0.339105,0.178745,0.462959,0.80044,-0.00518312,0.561965,-0.778612,-0.387951,1.25103,-0.677143,0.259161,0.608637,0.811011,-0.216207,0.805949,-0.000929873,0.181785,0.463799,-0.121851,-0.310023,0.273117,-0.10242,0.697003,0.198488,0.151954,-0.107385,-0.525723,-0.110905,-0.635876,1.44185,1.22211,0.277092,0.696851,0.348213,0.268126,0.126592,0.516477,0.381497,0.0802368,-0.559066,0.616386,0.000796436,0.365913,-0.341767,0.517835,0.206788,-0.166885,0.169148,-0.014194,0.613094,0.812073,0.514689,0.0292386,-0.292627,-0.0150111,-0.210156,0.499534,-0.325103,0.317498,-0.16478,-0.699086,-0.362443,-0.225148,0.996509,0.0683869,-0.114892,-1.10145,-0.282432,-0.404794,-0.0651963,-0.583684,1.35628,0.396792,0.427589,0.196015,0.421498,-1.406,0.395964,0.0716854,0.270649,0.51539,0.417701,0.916031,0.371196,0.37075,-0.420635,0.100117,0.463517,0.0395959,-0.252781,0.314572,0.763816,0.962661,-0.179546,0.756759,-0.143834,0.467075,1.17367,0.99743,-0.0237638,0.110257,-0.384777,0.198384,0.124064,0.010746,-0.412205,0.701787,-0.52859,-0.178729,0.021059,-0.393933,0.68387,0.94599,0.7946,0.137118,0.074618,-0.151429,0.0212326,0.461335,-0.344288,0.22286,-1.11772,-0.727056,0.911929,-1.01625,-0.0799443,0.269532,0.471906,-0.555312,0.466844,-0.340035,-0.15732,0.124694,-0.460956,-0.649128,-0.0659881,-0.441525,0.357898,-0.140617,-0.187151,-0.446489,-0.864828,-0.45001,-0.97498,1.10275,0.883006,-0.0620125,0.357747,0.00910764,-0.0709787
21478.5,0.87044,0.00365778,6,63,0,-21425.3,-0.337796,0.140642,0.461872,0.789887,0.0247038,0.559777,-0.779004,-0.405655,1.25021,-0.666243,0.236032,0.597407,0.808398,-0.238391,0.801773,-0.0218113,0.180275,0.495208,-0.112348,-0.304852,0.279354,-0.132234,0.679325,0.188319,0.159929,-0.112614,-0.539953,-0.10505,-0.643819,1.46151,1.20935,0.300021,0.692791,0.349193,0.2642,0.157484,0.513139,0.379,0.112745,-0.534901,0.625042,-0.0183781,0.368413,-0.347261,0.516877,0.24024,-0.151423,0.136725,-0.034434,0.596365,0.783494,0.553547,0.0698696,-0.286061,0.0198491,-0.202736,0.512615,-0.317446,0.330331,-0.13013,-0.760792,-0.365151,-0.205386,1.01338,0.0708166,-0.1475,-1.06599,-0.26791,-0.405231,-0.0992843,-0.582665,1.37396,0.361689,0.434253,0.162088,0.415515,-1.45842,0.384447,0.0724644,0.25748,0.548401,0.423254,0.897895,0.336827,0.412401,-0.427335,0.0910982,0.494219,0.0544859,-0.22675,0.298049,0.776475,0.975195,-0.175033,0.775779,-0.162334,0.464613,1.16719,0.972254,-0.0150623,0.0930897,-0.360912,0.187121,0.13118,0.023927,-0.401387,0.729256,-0.524491,-0.191339,0.0314116,-0.398199,0.673142,0.896359,0.774178,0.158752,0.078531,-0.195158,0.021197,0.452092,-0.313092,0.221981,-1.1168,-0.743451,0.912412,-1.00404,-0.101764,0.259611,0.470602,-0.576186,0.463977,-0.359607,-0.157521,0.157412,-0.450144,-0.642648,-0.0584418,-0.47003,0.341529,-0.149477,-0.177867,-0.45041,-0.877749,-0.442846,-0.981615,1.12371,0.871554,-0.0377749,0.354995,0.0113968,-0.0735956
21482.1,0.995421,0.00365778,6,63,0,-21416.8,-0.332086,0.144941,0.469563,0.796901,-0.00829816,0.561461,-0.76867,-0.403581,1.2422,-0.670364,0.239748,0.5965,0.798331,-0.230373,0.797691,-0.00628872,0.17219,0.467228,-0.124004,-0.308608,0.279879,-0.117236,0.681649,0.187774,0.157313,-0.116849,-0.519556,-0.10555,-0.639739,1.46028,1.22564,0.279802,0.699681,0.343334,0.256281,0.171891,0.518959,0.382514,0.104842,-0.557244,0.624197,0.000969505,0.372116,-0.338226,0.511565,0.225231,-0.157969,0.149234,-0.0102067,0.598268,0.794366,0.53688,0.0421916,-0.309523,-0.0114438,-0.197063,0.497488,-0.305121,0.32103,-0.152351,-0.73517,-0.367772,-0.210861,1.02401,0.0627637,-0.14551,-1.08253,-0.274011,-0.420937,-0.0806168,-0.58726,1.37962,0.365296,0.43299,0.17432,0.423056,-1.43488,0.388937,0.0750267,0.266283,0.51343,0.391476,0.93089,0.384881,0.366412,-0.425934,0.0824656,0.454144,0.0412259,-0.242318,0.304304,0.772329,0.95903,-0.196735,0.766714,-0.160964,0.466803,1.14136,1.01306,-0.0236345,0.108815,-0.381503,0.206828,0.124363,0.00712877,-0.408675,0.716034,-0.513178,-0.189487,0.0190468,-0.406437,0.677842,0.917442,0.780623,0.136767,0.0698508,-0.165492,0.0211731,0.464815,-0.340384,0.229375,-1.10076,-0.735667,0.910115,-1.00245,-0.0923382,0.264414,0.466245,-0.562459,0.465605,-0.338375,-0.159896,0.135142,-0.456091,-0.640695,-0.0522074,-0.449322,0.349562,-0.144312,-0.174774,-0.448935,-0.851642,-0.437637,-0.971825,1.12819,0.893556,-0.0522848,0.367594,0.0112477,-0.0758054
