# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJb_C_sim1_model
# start_datetime = 2022-02-22 08:54:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpKk1edD/standata-495415351d46.json
# init = 2 (Default)
# random
#   seed = 1661923731
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_C_sim1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_C_sim1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJb_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_j,s_j,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,s_HJb,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00989353
# Diagonal elements of inverse mass matrix:
# 0.0155295, 0.0236142, 0.0187743, 0.0129671, 0.0130683, 0.0129535, 0.0128438, 0.0131557, 0.0130613, 0.013113, 0.0131527, 0.0130819, 0.0129904, 0.0131527, 0.0129806, 0.0130494, 0.0128658, 0.0130919, 0.012886, 0.0131, 0.013039, 0.0129484, 0.0130587, 0.0129463, 0.0129205, 0.0129508, 0.0129669, 0.0129317, 0.0129579, 0.0131147, 0.0130314, 0.0131006, 0.0130959, 0.0131572, 0.0130694, 0.00444789, 0.00818011, 0.0010404, 0.0011008, 0.00105874, 0.00114485, 0.00110823, 0.00105424, 0.00109724, 0.00107472, 0.00106337, 0.00109467, 0.0010952, 0.00105418, 0.00108545, 0.00105846, 0.00109886, 0.00107834, 0.0011085, 0.00110486, 0.00107443, 0.00107452, 0.00111081, 0.00104861, 0.0011115, 0.00114175, 0.00108967, 0.00110639, 0.00107656, 0.00106492, 0.00104905, 0.00116582, 0.0010973, 0.0011268, 0.00109598, 0.00105444, 0.00117746, 0.00111007, 0.00110652, 0.00108842, 0.00108574, 0.0011894, 0.00107712, 0.00107819, 0.00104007, 0.00106389, 0.00109841, 0.0010949, 0.00109419, 0.00108922, 0.00111104, 0.00107952, 0.00108628, 0.00110722, 0.00107538, 0.00107063, 0.00109539, 0.0010843, 0.00106641, 0.00104847, 0.00108168, 0.00105988, 0.00118414, 0.00109114, 0.00106517, 0.00103305, 0.00110688, 0.00104634, 0.00115678, 0.00109334, 0.00105801, 0.0011019, 0.00110966, 0.00105668, 0.00112449, 0.00112994, 0.00109218, 0.00109251, 0.00107329, 0.00106706, 0.00105152, 0.00106425, 8.51296e-05
21479.6,0.853313,0.00989353,7,127,0,-21416.6,-0.0195503,-0.154142,0.719446,0.414552,-0.356566,0.187581,-1.15677,-0.771604,0.859207,-1.05292,-0.121304,0.228308,0.422814,-0.605708,0.424621,-0.378177,-0.197749,0.0994366,-0.497583,-0.691675,-0.0885369,-0.494069,0.297408,-0.190792,-0.229437,-0.479547,-0.909255,-0.486816,-1.02181,1.07413,0.843468,-0.0861235,0.315575,-0.0287195,-0.118733,0.194307,0.545678,0.441962,0.168048,-0.491553,0.695313,0.042995,0.418692,-0.273639,0.57785,0.280232,-0.0793144,0.223332,0.0559572,0.644422,0.838746,0.588086,0.103358,-0.238509,0.066348,-0.151002,0.580901,-0.273906,0.375584,-0.0948904,-0.661751,-0.29958,-0.155449,1.05859,0.136442,-0.0668463,-1.01201,-0.21971,-0.36372,-0.0259202,-0.520918,1.45336,0.438088,0.500614,0.254789,0.46368,-1.36805,0.455715,0.135055,0.312095,0.590956,0.486904,0.956625,0.415052,0.430283,-0.382438,0.182518,0.55189,0.0915582,-0.168298,0.37487,0.833051,1.00543,-0.116928,0.788929,-0.10132,0.521984,1.22061,1.05719,0.0599354,0.162917,-0.30543,0.240905,0.193492,0.0629244,-0.355067,0.767731,-0.469841,-0.138646,0.0784592,-0.329353,0.731356,0.982745,0.857511,0.208659,0.138438,-0.116008,0.0212631,0.395002,-0.376116,0.168031,-1.17632,-0.791154,0.839657,-1.07248,-0.140854,0.208758,0.403264,-0.625258,0.40507,-0.397727,-0.217299,0.0798863,-0.517133,-0.711225,-0.108087,-0.513619,0.277857,-0.210342,-0.248987,-0.499097,-0.928806,-0.506366,-1.04136,1.05458,0.823918,-0.105674,0.296025,-0.0482698,-0.138283
21472.6,0.984449,0.00989353,7,127,0,-21419,-0.0484966,-0.305039,0.692798,0.453248,-0.333615,0.214094,-1.11829,-0.74722,0.920884,-1.02024,-0.100878,0.250523,0.475834,-0.558777,0.462066,-0.363652,-0.152123,0.148515,-0.465092,-0.646989,-0.0599441,-0.459346,0.352599,-0.158125,-0.187825,-0.464885,-0.87583,-0.442544,-0.98059,1.10397,0.875506,-0.060875,0.351233,-0.00221561,-0.0743518,0.301312,0.515226,0.434211,0.149548,-0.494346,0.657372,0.0529699,0.432474,-0.300563,0.569821,0.280225,-0.12601,0.189782,0.00554125,0.676269,0.873276,0.591366,0.110593,-0.227265,0.0519827,-0.152773,0.549155,-0.257393,0.384439,-0.0897447,-0.68891,-0.319639,-0.162498,1.06888,0.111895,-0.0810845,-1.04592,-0.220077,-0.335281,-0.0238912,-0.54104,1.39524,0.434844,0.472358,0.215103,0.488319,-1.38621,0.437237,0.120458,0.330225,0.584237,0.465408,0.969741,0.407778,0.466008,-0.353449,0.120579,0.523243,0.115103,-0.199941,0.350693,0.823962,1.04552,-0.124443,0.852593,-0.0976197,0.521952,1.23419,1.03042,0.0130101,0.16166,-0.327051,0.255857,0.173614,0.0826762,-0.346261,0.7763,-0.474615,-0.120207,0.0867784,-0.349996,0.743971,0.977444,0.820104,0.204799,0.120914,-0.116152,0.0208786,0.404752,-0.382112,0.165597,-1.16679,-0.795716,0.872388,-1.06874,-0.149375,0.202026,0.427337,-0.607274,0.41357,-0.412149,-0.20062,0.100019,-0.513589,-0.695486,-0.108441,-0.507843,0.304102,-0.206622,-0.236322,-0.513381,-0.924327,-0.491041,-1.02909,1.05548,0.82701,-0.109372,0.302737,-0.0507122,-0.122848
21472,0.629592,0.00989353,7,127,0,-21414.7,-0.0716377,-0.234849,0.770984,0.474706,-0.311739,0.237979,-1.09877,-0.725643,0.935651,-0.989287,-0.0695939,0.275443,0.494957,-0.552181,0.475643,-0.323573,-0.146559,0.16317,-0.435248,-0.639411,-0.0410442,-0.435399,0.376097,-0.133375,-0.180243,-0.434144,-0.85315,-0.429125,-0.962323,1.14039,0.886478,-0.0423768,0.374803,0.0185474,-0.0668845,0.247712,0.481376,0.440793,0.166804,-0.485109,0.684119,0.0374502,0.403474,-0.27295,0.578617,0.274991,-0.0825411,0.234645,0.055315,0.635738,0.838885,0.586961,0.104604,-0.243444,0.0700835,-0.153597,0.577899,-0.274296,0.378865,-0.0957123,-0.661169,-0.306239,-0.153539,1.05497,0.138499,-0.0682014,-1.0024,-0.219112,-0.36666,-0.0306123,-0.515612,1.45214,0.438937,0.489986,0.251648,0.470453,-1.36135,0.454744,0.142359,0.308868,0.595039,0.489498,0.953877,0.412878,0.43042,-0.385049,0.175474,0.553666,0.0967016,-0.174306,0.368821,0.824753,1.00312,-0.124154,0.792413,-0.102444,0.519566,1.22012,1.04951,0.052519,0.160985,-0.313598,0.241549,0.188635,0.0556812,-0.354351,0.759732,-0.471226,-0.140662,0.07417,-0.334089,0.725619,0.977323,0.8549,0.205696,0.129789,-0.11913,0.0212948,0.403068,-0.383377,0.166341,-1.17041,-0.797281,0.864013,-1.06092,-0.141232,0.203806,0.423319,-0.623819,0.404006,-0.395211,-0.218197,0.0915319,-0.506886,-0.711049,-0.112682,-0.507037,0.30446,-0.205013,-0.25188,-0.505781,-0.924788,-0.500763,-1.03396,1.06875,0.81484,-0.114015,0.303165,-0.0530904,-0.138522
21482.4,0.994597,0.00989353,7,127,0,-21406.3,-0.0860612,-0.183177,0.599445,0.504025,-0.301056,0.264254,-1.095,-0.702664,0.927979,-0.986987,-0.0579548,0.285889,0.504386,-0.538062,0.492877,-0.322782,-0.135412,0.172927,-0.430509,-0.624063,-0.0306765,-0.422893,0.385021,-0.107786,-0.165865,-0.422936,-0.849382,-0.413814,-0.947885,1.13673,0.910239,-0.0280755,0.37708,0.0333594,-0.0433541,0.207668,0.466672,0.445152,0.173639,-0.499008,0.661141,0.0419702,0.439363,-0.28759,0.566694,0.286633,-0.108785,0.203839,0.0421749,0.667971,0.882031,0.582904,0.10754,-0.227014,0.0511902,-0.164339,0.560378,-0.264823,0.38994,-0.0894521,-0.693515,-0.30257,-0.174862,1.05439,0.107463,-0.065994,-1.02809,-0.216635,-0.340538,-0.00506149,-0.546757,1.43173,0.452461,0.476373,0.224417,0.48003,-1.35343,0.460417,0.110912,0.321852,0.595908,0.456137,0.971846,0.432866,0.458574,-0.360526,0.141829,0.542244,0.109598,-0.18717,0.358352,0.850983,1.03358,-0.125047,0.840274,-0.0952675,0.527568,1.23806,1.04051,0.0356104,0.175686,-0.312926,0.261953,0.178676,0.0912015,-0.358447,0.802275,-0.453327,-0.117158,0.0956559,-0.336556,0.73869,0.985105,0.821898,0.200219,0.119061,-0.112469,0.0210828,0.417964,-0.387117,0.178193,-1.18107,-0.788725,0.841918,-1.07305,-0.144016,0.199828,0.418324,-0.624123,0.406816,-0.408843,-0.221473,0.0868656,-0.516571,-0.710124,-0.116738,-0.508954,0.29896,-0.193847,-0.251926,-0.508997,-0.935443,-0.499875,-1.03395,1.05067,0.824178,-0.114137,0.291019,-0.0527018,-0.129415
21486,0.973891,0.00989353,7,127,0,-21422.8,-0.0946227,-0.106449,0.58168,0.513753,-0.288856,0.275631,-1.08398,-0.692143,0.93437,-0.978122,-0.0583439,0.294592,0.514646,-0.524411,0.501474,-0.312241,-0.129733,0.18215,-0.422188,-0.614219,-0.0224929,-0.413616,0.391794,-0.103311,-0.161492,-0.416798,-0.84251,-0.40561,-0.938086,1.1547,0.926592,-0.0253673,0.389236,0.0509591,-0.0421342,0.197765,0.507158,0.438643,0.170289,-0.490977,0.683889,0.0433525,0.434361,-0.279145,0.575777,0.282089,-0.0862357,0.211964,0.0333709,0.662567,0.858015,0.585222,0.0954054,-0.227864,0.0457136,-0.150796,0.570467,-0.270929,0.373092,-0.0975217,-0.680775,-0.32085,-0.164599,1.06341,0.112573,-0.0658158,-1.01775,-0.225193,-0.347894,-0.01646,-0.545168,1.4309,0.436735,0.483925,0.234879,0.479371,-1.35088,0.466138,0.12843,0.321088,0.613183,0.466134,0.993399,0.414032,0.455787,-0.373671,0.138772,0.530685,0.101236,-0.198594,0.35235,0.84803,1.02006,-0.116845,0.856143,-0.0946279,0.524852,1.24157,1.05142,0.0351843,0.171269,-0.303924,0.266101,0.202263,0.0817064,-0.347985,0.778136,-0.466121,-0.143717,0.0816428,-0.357195,0.739851,0.988738,0.848,0.207269,0.127992,-0.107079,0.021112,0.41913,-0.383478,0.181008,-1.1786,-0.786766,0.839748,-1.07274,-0.152967,0.199969,0.420023,-0.619034,0.406851,-0.406864,-0.224356,0.087527,-0.516811,-0.708842,-0.117116,-0.508238,0.297172,-0.197934,-0.256114,-0.511421,-0.937133,-0.500233,-1.03271,1.06008,0.831969,-0.11999,0.294613,-0.0436636,-0.136757
21492.6,0.901655,0.00989353,7,127,0,-21425.4,-0.0947449,-0.0372763,0.649514,0.495906,-0.298615,0.264782,-1.07688,-0.695225,0.936839,-0.974689,-0.0451418,0.2994,0.519766,-0.519659,0.502969,-0.306567,-0.114774,0.174186,-0.418826,-0.601655,-0.0252747,-0.419197,0.382588,-0.112013,-0.131828,-0.403318,-0.834172,-0.415162,-0.939702,1.14251,0.929217,0.00295079,0.397406,0.0370588,-0.0249462,0.22972,0.569659,0.442094,0.15023,-0.477826,0.666381,0.0532594,0.420798,-0.297506,0.577407,0.281721,-0.111437,0.199384,0.0334682,0.668072,0.851305,0.593284,0.12091,-0.227989,0.0722192,-0.152907,0.561988,-0.263519,0.397271,-0.0902194,-0.668869,-0.297884,-0.151581,1.05182,0.137335,-0.0780377,-1.02375,-0.225692,-0.34977,-0.0330062,-0.516256,1.41508,0.440604,0.488096,0.239059,0.480994,-1.39758,0.426132,0.126885,0.318422,0.571221,0.494884,0.951401,0.415154,0.434919,-0.357674,0.161285,0.547931,0.114901,-0.173345,0.374493,0.804973,1.02847,-0.135348,0.800104,-0.103755,0.531177,1.22796,1.03499,0.0419367,0.161017,-0.325113,0.238981,0.176,0.0646884,-0.354492,0.768902,-0.47053,-0.121016,0.0796816,-0.323557,0.732629,0.987503,0.836038,0.214,0.135158,-0.126491,0.0209308,0.401161,-0.39336,0.170037,-1.17162,-0.78997,0.842094,-1.06943,-0.139887,0.204655,0.425021,-0.614404,0.408225,-0.401312,-0.209519,0.0794413,-0.513571,-0.6964,-0.12002,-0.513942,0.287843,-0.206758,-0.226573,-0.498062,-0.928917,-0.509907,-1.03445,1.04776,0.834472,-0.0917941,0.302661,-0.0576861,-0.119691
21491,0.898347,0.00989353,7,127,0,-21439.2,-0.0700169,-0.139827,0.55384,0.463752,-0.324021,0.236201,-1.10598,-0.724404,0.93624,-0.989567,-0.0708177,0.275731,0.49401,-0.548022,0.478544,-0.333011,-0.140978,0.146233,-0.445843,-0.629207,-0.0538411,-0.448758,0.365709,-0.136166,-0.159305,-0.43138,-0.8472,-0.440998,-0.967294,1.13046,0.880036,-0.0230603,0.369861,0.0095762,-0.0535958,0.169953,0.523608,0.438045,0.166824,-0.501061,0.68199,0.0420772,0.432692,-0.274585,0.570957,0.277432,-0.0906427,0.212774,0.0313979,0.653978,0.86335,0.587306,0.0980226,-0.234572,0.0500592,-0.149591,0.567886,-0.266572,0.364861,-0.0949831,-0.680825,-0.322574,-0.168288,1.07326,0.113059,-0.0663756,-1.02403,-0.215177,-0.348187,-0.0164016,-0.536932,1.42858,0.431078,0.49079,0.230285,0.470085,-1.32509,0.467956,0.128263,0.324946,0.606199,0.457482,0.977358,0.407504,0.46636,-0.380788,0.141589,0.531463,0.0904573,-0.192734,0.353134,0.852519,1.02137,-0.101794,0.848013,-0.0969086,0.51178,1.23102,1.05039,0.0339458,0.166061,-0.304808,0.256583,0.189857,0.0795582,-0.344123,0.775888,-0.467961,-0.137706,0.0887025,-0.357497,0.740322,0.968118,0.845505,0.202973,0.122095,-0.104274,0.0210506,0.393735,-0.394037,0.166184,-1.176,-0.794421,0.866223,-1.05958,-0.140835,0.205714,0.423993,-0.618039,0.408527,-0.403028,-0.210995,0.0762163,-0.51586,-0.699223,-0.123858,-0.518775,0.295692,-0.206182,-0.229321,-0.501397,-0.917217,-0.511015,-1.03731,1.06044,0.810019,-0.0930772,0.299844,-0.0604407,-0.123613
21477.2,0.95354,0.00989353,7,127,0,-21407.7,-0.0714185,-0.0794672,0.597322,0.474728,-0.307847,0.232324,-1.103,-0.727268,0.921538,-1.0021,-0.0866696,0.286276,0.479253,-0.546306,0.489275,-0.342239,-0.150525,0.16235,-0.449112,-0.61907,-0.0489563,-0.4436,0.351647,-0.134596,-0.166963,-0.429949,-0.862806,-0.428229,-0.960796,1.12701,0.894521,-0.0326864,0.365617,0.0304367,-0.062209,0.163918,0.51348,0.444051,0.169901,-0.505089,0.689275,0.0491955,0.42784,-0.269267,0.591981,0.266439,-0.0735664,0.205572,0.0406714,0.651558,0.85865,0.595784,0.100721,-0.235294,0.0551601,-0.131976,0.562728,-0.267158,0.36733,-0.102191,-0.679301,-0.317508,-0.155539,1.06472,0.119692,-0.0739446,-1.02993,-0.23074,-0.345309,-0.0217934,-0.525116,1.44203,0.430263,0.497626,0.220787,0.453174,-1.33432,0.46242,0.135148,0.322575,0.59323,0.449873,0.981242,0.412046,0.464061,-0.371425,0.140865,0.530399,0.0775168,-0.187975,0.373457,0.852253,1.01202,-0.112468,0.848501,-0.103352,0.528547,1.24542,1.03711,0.0379933,0.154573,-0.308774,0.271363,0.167656,0.0660214,-0.361046,0.780746,-0.459438,-0.130508,0.0920571,-0.355857,0.732906,0.982242,0.85175,0.208166,0.114682,-0.0997869,0.0210616,0.40331,-0.379266,0.160905,-1.17442,-0.798687,0.85012,-1.07352,-0.158088,0.214857,0.407834,-0.617724,0.417856,-0.413657,-0.221943,0.090931,-0.52053,-0.690488,-0.120375,-0.515018,0.280229,-0.206015,-0.238382,-0.501367,-0.934224,-0.499647,-1.03221,1.05559,0.823103,-0.104105,0.294199,-0.0409818,-0.133628
