# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJb_NC_sim1_model
# start_datetime = 2022-02-22 09:04:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpKk1edD/standata-495475331b6.json
# init = 2 (Default)
# random
#   seed = 911124181
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_NC_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_NC_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJb_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_HJb,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00165794
# Diagonal elements of inverse mass matrix:
# 0.185887, 0.128473, 0.00885323, 0.0167234, 0.00311589, 0.00880436, 0.0268004, 0.0107316, 0.0416132, 0.0212934, 0.00337939, 0.00990729, 0.017304, 0.00627017, 0.0172008, 0.00316323, 0.00291119, 0.00693944, 0.00439957, 0.00819042, 0.00357028, 0.00431848, 0.0127819, 0.00296171, 0.00290321, 0.0042952, 0.0152835, 0.00411391, 0.0196577, 0.0566078, 0.0393254, 0.00367507, 0.0131891, 0.00434678, 0.00354986, 0.143819, 0.00106338, 0.00257684, 0.00213141, 0.00432014, 0.00318498, 0.0022455, 0.00235644, 0.00340761, 0.00292615, 0.00211157, 0.00262361, 0.00201147, 0.00234718, 0.00319742, 0.00432684, 0.0030056, 0.00221015, 0.00284091, 0.00229052, 0.00260801, 0.0027304, 0.00309742, 0.00212038, 0.00249445, 0.00555717, 0.00310465, 0.00259957, 0.00572551, 0.0021346, 0.00236316, 0.00931311, 0.00276086, 0.00352067, 0.00224929, 0.00458715, 0.00976608, 0.00232127, 0.00262493, 0.00199402, 0.00270722, 0.014012, 0.00229554, 0.00215843, 0.00221793, 0.00278657, 0.00246165, 0.00497869, 0.00226367, 0.00237618, 0.0038316, 0.00228767, 0.00257644, 0.00241773, 0.00269421, 0.00224652, 0.00416477, 0.00569478, 0.00254274, 0.00431279, 0.00205629, 0.00265412, 0.00735988, 0.00527253, 0.00207717, 0.00220645, 0.00318229, 0.00181752, 0.00191189, 0.00218073, 0.00342624, 0.00361838, 0.00412755, 0.00252027, 0.00213865, 0.00317498, 0.00371875, 0.00525087, 0.00420592, 0.00194905, 0.00205676, 0.00262311, 0.000101193
21407.8,0.927541,0.00165794,10,1023,0,-21339.4,0.0265885,0.223862,0.537798,0.888945,-0.580383,0.457386,-2.03091,-1.32763,1.71804,-1.83385,-0.132085,0.525679,0.931008,-0.997532,0.920757,-0.61499,-0.254427,0.312017,-0.810469,-1.14931,-0.0593242,-0.79179,0.687405,-0.232417,-0.312399,-0.785502,-1.58994,-0.774509,-1.7654,2.09898,1.67326,-0.0458429,0.701494,0.0694408,-0.0974832,-0.102838,0.436009,0.521129,-0.179711,-1.64709,1.0174,-0.439739,0.463207,-1.14509,0.835091,0.0833688,-0.767192,-0.0187478,-0.439446,0.984455,1.4426,0.785566,-0.311058,-1.03955,-0.399836,-0.855836,0.799149,-1.05339,0.379015,-0.722506,-2.04312,-1.22607,-0.908721,1.95608,-0.219604,-0.674303,-2.87648,-0.993634,-1.32125,-0.565529,-1.7153,2.75601,0.490448,0.611413,-0.0214669,0.583805,-3.71509,0.496257,-0.193304,0.240654,0.853506,0.551606,1.69224,0.408016,0.478434,-1.36475,-0.195039,0.738923,-0.265431,-0.917666,0.361152,1.36426,1.81943,-0.793755,1.36975,-0.754264,0.688446,2.27825,1.85517,-0.477996,-0.151572,-1.25569,0.0355512,-0.121624,-0.340529,-1.31833,1.25072,-1.59153,-0.771639,-0.351647,-1.28813,1.2142,1.70471,1.40709,-0.0178621,-0.21192,-0.774441,0.0209861,0.701935,-0.0882665,0.469843,-0.868358,-0.490136,1.14782,-0.762379,0.152827,0.506571,0.724556,-0.312609,0.719044,-0.106878,0.087032,0.391665,-0.212006,-0.394237,0.191958,-0.201961,0.593548,0.0988691,0.0558548,-0.198579,-0.631206,-0.192667,-0.725564,1.35269,1.12374,0.199208,0.601124,0.261207,0.171436,0.124379,-0.181194,-0.820986,0.340756,-0.294568,0.099124,-0.602107,0.261269,-0.0664887,-0.437341,-0.111012,-0.29444,0.326393,0.526148,0.239675,-0.238462,-0.556091,-0.27717,-0.47599,0.245598,-0.562126,0.0624156,-0.417857,-0.993655,-0.637415,-0.499048,0.750028,-0.198588,-0.39684,-1.35701,-0.536071,-0.678916,-0.349414,-0.850723,1.09881,0.111001,0.163743,-0.112198,0.151706,-1.72265,0.113534,-0.18712,0.00208899,0.269298,0.137667,0.634995,0.0750605,0.105763,-0.697883,-0.187877,0.219339,-0.218568,-0.502949,0.0546271,0.491991,0.690448,-0.448922,0.494384,-0.431704,0.19733,0.8905,0.706031,-0.311249,-0.168925,-0.650329,-0.0873376,-0.155867,-0.251312,-0.677644,0.442488,-0.796759,-0.43928,-0.25616,-0.664473,0.426565,0.640432,0.510667,-0.110626,-0.195237,-0.440501,0.728524,-0.0616779,0.496432,-0.841769,-0.463547,1.17441,-0.735791,0.179416,0.53316,0.751145,-0.28602,0.745632,-0.0802896,0.11362,0.418253,-0.185418,-0.367648,0.218546,-0.175372,0.620136,0.125458,0.0824433,-0.171991,-0.604618,-0.166079,-0.698976,1.37928,1.15033,0.225797,0.627713,0.287796,0.198025
21400.3,0.998498,0.00165794,10,1023,0,-21339.6,0.105105,0.153799,0.522477,0.88734,-0.554302,0.486147,-2.08867,-1.35281,1.79998,-1.86051,-0.114644,0.560461,0.938085,-1.01736,0.960653,-0.598507,-0.250307,0.342265,-0.819394,-1.16871,-0.0667615,-0.803671,0.746403,-0.232195,-0.277277,-0.801119,-1.61954,-0.79036,-1.81795,2.19329,1.75077,-0.0345755,0.758115,0.0614703,-0.0780721,-0.117524,0.436747,0.511207,-0.173964,-1.64095,1.02878,-0.395565,0.453125,-1.14673,0.778964,0.156714,-0.701064,-0.0177245,-0.436861,1.00365,1.45298,0.850844,-0.251231,-1.0753,-0.369671,-0.862015,0.718555,-1.17687,0.393786,-0.751026,-2.06638,-1.23236,-0.876588,1.87122,-0.170667,-0.733869,-2.84888,-1.04045,-1.32528,-0.582731,-1.75319,2.72232,0.512852,0.597428,-0.00446272,0.580561,-3.60583,0.510799,-0.267773,0.183025,0.79001,0.52889,1.65765,0.423825,0.530051,-1.3754,-0.171766,0.684897,-0.282975,-0.907698,0.321849,1.37165,1.82301,-0.819446,1.35677,-0.734657,0.68492,2.3127,1.89851,-0.423659,-0.168359,-1.23619,0.0087944,-0.114306,-0.357992,-1.30641,1.24126,-1.61378,-0.817315,-0.353225,-1.31577,1.16676,1.70768,1.40352,-0.0600588,-0.219107,-0.811342,0.0210037,0.617414,-0.13581,0.4078,-0.937484,-0.553013,1.09425,-0.818275,0.0939006,0.446627,0.643927,-0.377749,0.655718,-0.158907,0.0230196,0.332625,-0.274315,-0.456825,0.118918,-0.2661,0.543778,0.0324826,0.00892834,-0.264767,-0.692372,-0.259146,-0.796038,1.29974,1.06854,0.135734,0.549897,0.185916,0.113008,0.105745,-0.193502,-0.834205,0.331792,-0.290286,0.0803777,-0.618354,0.222687,-0.0490791,-0.423712,-0.125265,-0.308321,0.320819,0.517061,0.25408,-0.227248,-0.587159,-0.278977,-0.494006,0.196304,-0.631518,0.0544614,-0.445532,-1.02001,-0.655753,-0.500371,0.699726,-0.192062,-0.438039,-1.36177,-0.571937,-0.696335,-0.37203,-0.883227,1.07144,0.106463,0.143401,-0.119473,0.136035,-1.69236,0.105567,-0.234473,-0.0375877,0.227511,0.113468,0.606451,0.0675808,0.113975,-0.718225,-0.192542,0.181604,-0.241112,-0.513958,0.023043,0.481543,0.678673,-0.475415,0.475044,-0.438383,0.181613,0.892542,0.711646,-0.302555,-0.191054,-0.657428,-0.113683,-0.167447,-0.273876,-0.688095,0.424595,-0.822337,-0.474484,-0.271794,-0.692184,0.392058,0.628303,0.495459,-0.143754,-0.213218,-0.471875,0.722519,-0.0307052,0.512905,-0.832379,-0.447908,1.19935,-0.71317,0.199006,0.551732,0.749032,-0.272643,0.760824,-0.0538016,0.128125,0.43773,-0.16921,-0.35172,0.224023,-0.160995,0.648883,0.137588,0.114034,-0.159661,-0.587266,-0.15404,-0.690933,1.40485,1.17364,0.24084,0.655002,0.291021,0.218114
21402.3,0.999432,0.00165794,10,1023,0,-21349.1,0.203407,0.102683,0.508572,0.998303,-0.602624,0.50792,-2.14112,-1.37309,1.8816,-1.91234,-0.112283,0.600092,1.03116,-1.02612,0.978706,-0.616525,-0.24127,0.351683,-0.828295,-1.18831,-0.0578941,-0.813257,0.740797,-0.201514,-0.284013,-0.811754,-1.62142,-0.807033,-1.86268,2.30286,1.8012,-0.0206986,0.75978,0.0837997,-0.0650818,-0.17203,0.43409,0.462759,-0.15059,-1.65776,1.02684,-0.40518,0.461154,-1.2091,0.820253,0.112434,-0.802466,-0.0909758,-0.459907,0.986697,1.42816,0.80674,-0.29904,-1.00844,-0.388435,-0.873055,0.798303,-1.07684,0.314584,-0.750544,-2.07787,-1.2055,-0.883375,1.96197,-0.303353,-0.686158,-2.89571,-1.02358,-1.31818,-0.547508,-1.72183,2.78151,0.465449,0.576428,0.0413109,0.565633,-3.71602,0.504233,-0.200007,0.231465,0.83665,0.599779,1.72779,0.43904,0.50599,-1.35467,-0.18427,0.744964,-0.308117,-0.962649,0.287739,1.38736,1.83751,-0.779192,1.37596,-0.778661,0.670542,2.27759,1.85443,-0.475813,-0.112085,-1.26952,0.0457345,-0.107923,-0.370947,-1.34046,1.26733,-1.58317,-0.817702,-0.321721,-1.26754,1.15073,1.73561,1.40271,-0.0357482,-0.22814,-0.782647,0.0210894,0.610392,-0.203795,0.360996,-0.986233,-0.595634,1.05961,-0.869881,0.0455783,0.407873,0.627101,-0.419171,0.600425,-0.210865,-0.0200208,0.281539,-0.318565,-0.501661,0.0732392,-0.310917,0.479431,0.00019805,-0.0417584,-0.310153,-0.721925,-0.307752,-0.844623,1.27385,1.01873,0.0921558,0.489086,0.145301,0.0695837,0.0288488,-0.2374,-0.891648,0.27371,-0.347915,0.0281521,-0.696888,0.184034,-0.123224,-0.520373,-0.211522,-0.371672,0.256285,0.44792,0.178168,-0.301841,-0.609785,-0.340646,-0.551015,0.174505,-0.639476,-0.0354725,-0.497834,-1.07401,-0.695328,-0.555495,0.679641,-0.303713,-0.469885,-1.42903,-0.616355,-0.744241,-0.409698,-0.919459,1.0354,0.0300163,0.0781913,-0.154098,0.0735051,-1.78512,0.0468521,-0.258852,-0.0715536,0.191151,0.088328,0.577986,0.0185526,0.0476147,-0.760078,-0.25202,0.151351,-0.305781,-0.589907,-0.0471259,0.430209,0.625614,-0.51027,0.425258,-0.51004,0.119045,0.816651,0.632961,-0.378576,-0.220685,-0.723117,-0.152178,-0.218879,-0.333055,-0.753912,0.378107,-0.859268,-0.526987,-0.311686,-0.722257,0.327492,0.58138,0.436874,-0.187548,-0.271064,-0.51177,0.813798,-0.000388618,0.564403,-0.782827,-0.392227,1.26302,-0.666474,0.248985,0.611279,0.830508,-0.215765,0.803832,-0.00745862,0.183386,0.484945,-0.115159,-0.298254,0.276646,-0.107511,0.682838,0.203605,0.161648,-0.106747,-0.518519,-0.104345,-0.641216,1.47726,1.22213,0.295562,0.692492,0.348707,0.27299
21392.8,0.999219,0.00165794,10,1023,0,-21334.6,0.361058,0.0258956,0.506896,0.957409,-0.554946,0.52559,-2.11713,-1.39024,1.85943,-1.93248,-0.0935585,0.596686,1.00149,-1.04858,0.995746,-0.60562,-0.240375,0.350923,-0.840033,-1.20874,-0.047313,-0.830938,0.786214,-0.23352,-0.295506,-0.802075,-1.68186,-0.826853,-1.87813,2.28888,1.80032,-0.0206934,0.794555,0.0800091,-0.0906742,-0.252239,0.433168,0.474541,-0.164527,-1.63707,1.0299,-0.396499,0.469277,-1.20128,0.825446,0.136703,-0.788152,-0.0309004,-0.495973,1.04303,1.43643,0.857111,-0.279215,-1.03262,-0.389145,-0.829493,0.788445,-1.06931,0.344815,-0.766453,-2.08532,-1.20273,-0.889201,1.91606,-0.307713,-0.678348,-2.91059,-1.03751,-1.33327,-0.565353,-1.79426,2.80594,0.447553,0.54974,0.0223964,0.597221,-3.68215,0.480277,-0.20474,0.212733,0.82585,0.583093,1.69346,0.426439,0.508625,-1.35077,-0.205485,0.754346,-0.29093,-0.945669,0.286489,1.38119,1.82721,-0.769738,1.3859,-0.773424,0.694763,2.28636,1.84076,-0.483634,-0.13162,-1.20865,0.0549014,-0.0830456,-0.354407,-1.29092,1.27125,-1.60959,-0.832741,-0.335631,-1.29122,1.15927,1.74735,1.43284,-0.0574249,-0.225557,-0.776529,0.0211632,0.511202,-0.255404,0.292315,-1.04727,-0.678812,0.968431,-0.953668,-0.0215288,0.328353,0.533546,-0.505628,0.530635,-0.281091,-0.0959497,0.203777,-0.399914,-0.58681,0.00191281,-0.395303,0.424424,-0.0924749,-0.123895,-0.380673,-0.826631,-0.393233,-0.926121,1.18612,0.938472,0.0154061,0.428652,0.0664518,-0.0200668,-0.0466824,-0.323506,-0.961364,0.193882,-0.423989,-0.0489625,-0.772595,0.105318,-0.193023,-0.593641,-0.265624,-0.467078,0.199569,0.369976,0.119035,-0.373185,-0.699535,-0.420804,-0.611549,0.0892909,-0.715431,-0.102876,-0.584242,-1.15553,-0.773225,-0.637412,0.577736,-0.38553,-0.546077,-1.51301,-0.701653,-0.82977,-0.497132,-1.02946,0.963207,-0.0583729,-0.0141085,-0.242537,0.00645875,-1.84723,-0.0441979,-0.340925,-0.160089,0.105493,0.000338968,0.481315,-0.0675188,-0.0319185,-0.837348,-0.341248,0.0745201,-0.37826,-0.661872,-0.12814,0.346051,0.539253,-0.585664,0.348089,-0.587261,0.0487107,0.738138,0.545119,-0.461733,-0.309252,-0.775786,-0.228457,-0.288211,-0.405756,-0.811423,0.298427,-0.949462,-0.612956,-0.397623,-0.811555,0.249921,0.504657,0.368424,-0.277113,-0.349942,-0.588606,0.87226,0.105654,0.653373,-0.686209,-0.317754,1.32949,-0.59261,0.339529,0.689411,0.894604,-0.144569,0.891693,0.0799674,0.265108,0.564835,-0.0388555,-0.225752,0.362971,-0.0342451,0.785482,0.268583,0.237163,-0.0196146,-0.465572,-0.0321744,-0.565063,1.54717,1.29953,0.376464,0.78971,0.42751,0.340991
21387.9,0.999978,0.00165794,10,1023,0,-21325.1,0.311295,-0.208481,0.507344,0.973948,-0.576971,0.501771,-2.11067,-1.40229,1.81867,-1.96937,-0.103841,0.580972,0.9829,-1.07557,0.969065,-0.618716,-0.258619,0.320601,-0.858468,-1.21262,-0.052243,-0.842355,0.724328,-0.226532,-0.300849,-0.81174,-1.64451,-0.830728,-1.87875,2.227,1.78974,-0.067486,0.746035,0.0518996,-0.102993,0.0418022,0.434654,0.491524,-0.187202,-1.66621,1.04308,-0.408475,0.454267,-1.1671,0.736809,0.0788018,-0.716716,-0.0366104,-0.423232,0.966946,1.46355,0.828763,-0.285187,-1.10311,-0.429173,-0.897719,0.757548,-1.2074,0.390731,-0.699548,-2.0654,-1.24987,-0.923769,1.92741,-0.221485,-0.689555,-2.82883,-1.03513,-1.33691,-0.603406,-1.67918,2.70783,0.451569,0.636055,0.0278862,0.554744,-3.71102,0.521427,-0.232528,0.225198,0.835613,0.578937,1.70566,0.437813,0.514906,-1.38802,-0.155152,0.702862,-0.241822,-0.944006,0.343438,1.39397,1.8465,-0.807112,1.3573,-0.748548,0.660291,2.32231,1.90486,-0.418006,-0.137331,-1.28773,0.0431121,-0.116478,-0.340072,-1.37099,1.25041,-1.60399,-0.816944,-0.35613,-1.29454,1.17114,1.7038,1.38103,-0.0388842,-0.180717,-0.769974,0.0212152,0.285645,-0.501204,0.0460887,-1.27932,-0.919925,0.71421,-1.20763,-0.261164,0.0862713,0.290187,-0.754166,0.283168,-0.522383,-0.33969,-0.0458264,-0.64402,-0.823699,-0.234987,-0.635845,0.159002,-0.323411,-0.361115,-0.620313,-1.04281,-0.629946,-1.16166,0.921372,0.699534,-0.24272,0.170015,-0.18215,-0.260734,0.255445,-0.0395659,-0.682425,0.495182,-0.135743,0.239251,-0.465481,0.36206,0.0760537,-0.269722,0.0258893,-0.142158,0.46209,0.677943,0.402028,-0.0821557,-0.437668,-0.14474,-0.348395,0.371074,-0.483001,0.211635,-0.262259,-0.855934,-0.501458,-0.359718,0.879559,-0.0544673,-0.257916,-1.18776,-0.408123,-0.539294,-0.220471,-0.688059,1.21877,0.238079,0.318267,0.053923,0.282924,-1.57121,0.268443,-0.0592672,0.139686,0.405005,0.29344,0.783177,0.232099,0.265608,-0.561505,-0.0256355,0.347304,-0.0633068,-0.368514,0.191079,0.647696,0.844392,-0.309012,0.631758,-0.283558,0.3288,1.05121,0.869757,-0.139886,-0.0178895,-0.517915,0.060541,-0.00882543,-0.106012,-0.554103,0.585297,-0.655381,-0.313286,-0.112991,-0.520878,0.550844,0.782365,0.642074,0.024901,-0.0367471,-0.29287,0.59694,-0.189909,0.357384,-0.968023,-0.60863,1.02551,-0.896333,0.050131,0.397567,0.601482,-0.442871,0.594463,-0.211088,-0.0283947,0.265469,-0.332724,-0.512403,0.0763088,-0.324549,0.470297,-0.0121156,-0.0498198,-0.309017,-0.731519,-0.318651,-0.85036,1.23267,1.01083,0.0685753,0.48131,0.129145,0.050561
21388.5,0.976105,0.00165794,10,1023,0,-21327.1,0.419694,-0.432333,0.505294,0.923959,-0.599611,0.494461,-2.17267,-1.41165,1.8049,-1.92555,-0.136393,0.588706,0.969501,-1.10625,0.961853,-0.66136,-0.283545,0.307873,-0.864881,-1.2346,-0.0661579,-0.86035,0.738234,-0.262738,-0.325521,-0.84272,-1.68206,-0.846292,-1.89866,2.24536,1.76073,-0.0636798,0.756201,0.0334552,-0.110328,0.164067,0.433057,0.48021,-0.162004,-1.65025,1.00336,-0.473192,0.459712,-1.18765,0.832036,0.131744,-0.792531,-0.0502361,-0.429459,1.00545,1.45194,0.840409,-0.274151,-1.04327,-0.383444,-0.866307,0.781903,-1.07083,0.331192,-0.752634,-2.10524,-1.25166,-0.864173,1.91702,-0.206508,-0.686632,-2.94552,-1.02458,-1.326,-0.566132,-1.80398,2.81986,0.497091,0.555907,0.00189562,0.624152,-3.64904,0.482459,-0.262572,0.228536,0.856151,0.545982,1.68454,0.424418,0.526716,-1.35232,-0.167162,0.679974,-0.326016,-0.916962,0.279812,1.38134,1.82931,-0.791778,1.38594,-0.730678,0.710681,2.2874,1.86285,-0.439756,-0.148268,-1.2598,0.0302938,-0.102479,-0.302733,-1.2988,1.27183,-1.61998,-0.84297,-0.333898,-1.36091,1.18329,1.7551,1.45473,-0.0294754,-0.277303,-0.7841,0.021232,0.0345379,-0.735313,-0.182485,-1.53017,-1.14563,0.479674,-1.4053,-0.501252,-0.134863,0.05755,-0.991316,0.0536854,-0.766514,-0.575607,-0.276767,-0.869353,-1.05617,-0.465763,-0.867063,-0.0593078,-0.565094,-0.596817,-0.858155,-1.28227,-0.85996,-1.39171,0.702234,0.457353,-0.46451,-0.0502295,-0.415429,-0.488082,0.372025,0.0939098,-0.550584,0.59858,-0.0408522,0.363148,-0.350251,0.524386,0.22112,-0.179144,0.142312,-0.0219132,0.599485,0.792841,0.528012,0.045344,-0.287729,-0.00198592,-0.211093,0.502675,-0.299664,0.307492,-0.161866,-0.747623,-0.377971,-0.210169,0.994246,0.0746371,-0.133284,-1.11151,-0.279634,-0.410165,-0.0811002,-0.617158,1.38522,0.379335,0.404806,0.164888,0.43436,-1.41618,0.372999,0.0503583,0.263036,0.534829,0.400508,0.893568,0.347864,0.392165,-0.421565,0.0916762,0.458534,0.0228837,-0.233029,0.285241,0.762267,0.956261,-0.178818,0.764258,-0.152358,0.471832,1.15464,0.970788,-0.0263724,0.0998585,-0.381498,0.177186,0.119688,0.0329665,-0.398385,0.714841,-0.537476,-0.200987,0.0194703,-0.425285,0.676497,0.924123,0.794047,0.151302,0.043979,-0.175493,0.454232,-0.31562,0.237209,-1.11048,-0.725938,0.899368,-0.985607,-0.0815582,0.28483,0.477244,-0.571623,0.473379,-0.346821,-0.155913,0.142927,-0.449659,-0.636478,-0.0460689,-0.447369,0.360386,-0.1454,-0.177124,-0.438461,-0.862577,-0.440266,-0.972021,1.12193,0.877047,-0.0448167,0.369464,0.00426502,-0.0683879
