# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = HJb_NC_sim1_model
# start_datetime = 2022-02-22 09:04:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpKk1edD/standata-495475331b6.json
# init = 2 (Default)
# random
#   seed = 911124181
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_NC_sim1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/HJb_NC_sim1-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=HJb_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_i.1,z_i.2,z_i.3,z_i.4,z_i.5,z_i.6,z_i.7,z_i.8,z_i.9,z_i.10,z_i.11,z_i.12,z_i.13,z_i.14,z_i.15,z_i.16,z_i.17,z_i.18,z_i.19,z_i.20,z_i.21,z_i.22,z_i.23,z_i.24,z_i.25,z_i.26,z_i.27,z_i.28,z_i.29,z_i.30,z_i.31,z_i.32,m_j,s_j,z_j.1,z_j.2,z_j.3,z_j.4,z_j.5,z_j.6,z_j.7,z_j.8,z_j.9,z_j.10,z_j.11,z_j.12,z_j.13,z_j.14,z_j.15,z_j.16,z_j.17,z_j.18,z_j.19,z_j.20,z_j.21,z_j.22,z_j.23,z_j.24,z_j.25,z_j.26,z_j.27,z_j.28,z_j.29,z_j.30,z_j.31,z_j.32,z_j.33,z_j.34,z_j.35,z_j.36,z_j.37,z_j.38,z_j.39,z_j.40,z_j.41,z_j.42,z_j.43,z_j.44,z_j.45,z_j.46,z_j.47,z_j.48,z_j.49,z_j.50,z_j.51,z_j.52,z_j.53,z_j.54,z_j.55,z_j.56,z_j.57,z_j.58,z_j.59,z_j.60,z_j.61,z_j.62,z_j.63,z_j.64,z_j.65,z_j.66,z_j.67,z_j.68,z_j.69,z_j.70,z_j.71,z_j.72,z_j.73,z_j.74,z_j.75,z_j.76,z_j.77,z_j.78,z_j.79,z_j.80,s_HJb,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,re_j.1,re_j.2,re_j.3,re_j.4,re_j.5,re_j.6,re_j.7,re_j.8,re_j.9,re_j.10,re_j.11,re_j.12,re_j.13,re_j.14,re_j.15,re_j.16,re_j.17,re_j.18,re_j.19,re_j.20,re_j.21,re_j.22,re_j.23,re_j.24,re_j.25,re_j.26,re_j.27,re_j.28,re_j.29,re_j.30,re_j.31,re_j.32,re_j.33,re_j.34,re_j.35,re_j.36,re_j.37,re_j.38,re_j.39,re_j.40,re_j.41,re_j.42,re_j.43,re_j.44,re_j.45,re_j.46,re_j.47,re_j.48,re_j.49,re_j.50,re_j.51,re_j.52,re_j.53,re_j.54,re_j.55,re_j.56,re_j.57,re_j.58,re_j.59,re_j.60,re_j.61,re_j.62,re_j.63,re_j.64,re_j.65,re_j.66,re_j.67,re_j.68,re_j.69,re_j.70,re_j.71,re_j.72,re_j.73,re_j.74,re_j.75,re_j.76,re_j.77,re_j.78,re_j.79,re_j.80,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32
# Adaptation terminated
# Step size = 0.00193878
# Diagonal elements of inverse mass matrix:
# 0.135934, 0.13746, 0.00348096, 0.0129275, 0.0026483, 0.00754023, 0.016046, 0.00651152, 0.0291311, 0.0127577, 0.00336603, 0.00815314, 0.0133548, 0.00434961, 0.0132188, 0.00272788, 0.00295081, 0.00611517, 0.00332017, 0.00521103, 0.00360768, 0.00328625, 0.01019, 0.00310399, 0.00278417, 0.00313931, 0.00956244, 0.00310906, 0.0118803, 0.0399629, 0.0282604, 0.00368562, 0.0102817, 0.00431028, 0.00347154, 0.134387, 0.000857718, 0.00145425, 0.000971077, 0.00162002, 0.00272199, 0.000735175, 0.00157556, 0.00102664, 0.00235811, 0.00117799, 0.000800906, 0.000940314, 0.000773267, 0.00264426, 0.00327521, 0.00221633, 0.000822301, 0.00101899, 0.000771342, 0.000786276, 0.0021751, 0.00110631, 0.00130039, 0.000779916, 0.0023608, 0.00101185, 0.000850675, 0.00538722, 0.000858489, 0.000701128, 0.00460538, 0.000979473, 0.0013323, 0.00082176, 0.00176298, 0.00907716, 0.00148589, 0.00169663, 0.000865296, 0.00145866, 0.00791668, 0.00155672, 0.000845073, 0.000991784, 0.00252559, 0.00166233, 0.00473333, 0.00152955, 0.00172275, 0.00125863, 0.000936567, 0.00193619, 0.000766518, 0.000936403, 0.00118699, 0.00312117, 0.00487108, 0.000787704, 0.00349533, 0.000742986, 0.00170944, 0.00675021, 0.00552081, 0.00076652, 0.000862687, 0.00112772, 0.00106534, 0.000971172, 0.000844435, 0.00113524, 0.00300602, 0.00170284, 0.000856872, 0.000887229, 0.00114752, 0.0030292, 0.00488941, 0.00360564, 0.00102392, 0.000768202, 0.000851094, 7.1852e-05
21400.8,0.944665,0.00193878,10,1023,0,-21358.3,-0.507177,0.193889,0.457605,1.17827,-0.529753,0.653184,-2.24922,-1.40627,2.16702,-1.99825,0.0115793,0.778791,1.23933,-1.07048,1.20236,-0.574473,-0.14269,0.53073,-0.781397,-1.21325,0.0528832,-0.812482,0.950573,-0.106366,-0.204029,-0.780701,-1.70721,-0.785924,-1.91702,2.64165,2.12429,0.0952709,0.968763,0.216552,0.0420024,0.340665,0.450609,0.570424,-0.0356515,-1.44663,1.12009,-0.300097,0.559742,-1.02306,0.881946,0.236836,-0.618265,0.0718541,-0.305507,1.09387,1.46777,0.950898,-0.177502,-0.908264,-0.232035,-0.719372,0.902414,-0.977603,0.466224,-0.550187,-1.94345,-1.02705,-0.751146,1.97437,-0.116849,-0.548293,-2.6646,-0.881621,-1.13462,-0.423458,-1.59945,2.80267,0.56079,0.727152,0.116616,0.675753,-3.38447,0.589746,-0.122464,0.316391,0.955754,0.664213,1.74019,0.509357,0.635132,-1.21603,-0.0297943,0.756598,-0.168144,-0.767756,0.416644,1.47755,1.89173,-0.662205,1.43622,-0.583271,0.753681,2.31598,1.94553,-0.315958,-0.0282082,-1.1209,0.188447,0.0251967,-0.24144,-1.20048,1.34951,-1.41948,-0.679352,-0.209106,-1.16279,1.24647,1.76501,1.4689,0.0910727,-0.129479,-0.632497,0.0215617,0.733074,-0.0485288,0.492789,-0.835367,-0.44963,1.18553,-0.72052,0.199188,0.550268,0.761015,-0.295969,0.744096,-0.0689932,0.128593,0.436754,-0.163682,-0.361299,0.218088,-0.177907,0.628876,0.145215,0.100524,-0.163364,-0.587341,-0.165754,-0.683349,1.40272,1.16598,0.237485,0.6372,0.292984,0.213109,0.597703,0.3246,-0.311197,0.845388,0.205439,0.59289,-0.120336,0.738078,0.447386,0.0620694,0.373043,0.203001,0.833574,1.00205,0.769148,0.260681,-0.0686068,0.236108,0.0165097,0.747301,-0.0998515,0.55075,0.0927458,-0.535071,-0.122135,0.00219186,1.23034,0.288012,0.0935994,-0.860026,-0.0566012,-0.170603,0.149851,-0.380062,1.60357,0.593362,0.668326,0.393213,0.645165,-1.18441,0.60641,0.285481,0.483233,0.771336,0.639966,1.12481,0.570186,0.626861,-0.207291,0.327239,0.681595,0.264898,-0.00529243,0.528409,1.00646,1.1931,0.0422698,0.987839,0.077838,0.68028,1.38427,1.21734,0.198292,0.327954,-0.164423,0.425581,0.352019,0.23187,-0.20028,0.948764,-0.298966,0.0345429,0.24644,-0.1833,0.902335,1.136,1.00257,0.381703,0.282321,0.0556564,0.225896,-0.555706,-0.0143878,-1.34254,-0.956807,0.678351,-1.2277,-0.307989,0.0430909,0.253838,-0.803147,0.236919,-0.57617,-0.378584,-0.0704235,-0.67086,-0.868476,-0.289089,-0.685085,0.121699,-0.361962,-0.406653,-0.670541,-1.09452,-0.672931,-1.19053,0.895546,0.658799,-0.269692,0.130023,-0.214193,-0.294068
21404.8,0.949766,0.00193878,10,1023,0,-21341.7,-0.525836,0.140451,0.454998,1.24013,-0.496632,0.67822,-2.24621,-1.39398,2.21937,-2.01313,-0.00204072,0.806357,1.24237,-1.0171,1.22442,-0.541049,-0.124455,0.531072,-0.816842,-1.19699,0.0892615,-0.778754,0.979783,-0.110819,-0.175519,-0.78024,-1.70823,-0.749564,-1.91058,2.65137,2.1185,0.0995164,0.999944,0.211786,0.0607497,0.403348,0.451833,0.578034,-0.0503256,-1.43912,1.10178,-0.294445,0.56222,-1.02046,0.886253,0.260277,-0.617341,0.0808249,-0.296019,1.05973,1.5318,0.893383,-0.155023,-0.918708,-0.245965,-0.714585,0.833149,-0.934678,0.459275,-0.585639,-1.85684,-1.02636,-0.714161,1.96673,-0.098323,-0.531126,-2.65154,-0.917554,-1.16451,-0.422803,-1.54563,2.72964,0.597731,0.71325,0.144063,0.67273,-3.40554,0.620631,-0.0990301,0.330692,0.901397,0.678895,1.75847,0.480408,0.594921,-1.19962,-0.0093435,0.800377,-0.157612,-0.736854,0.423943,1.46434,1.87608,-0.641399,1.47337,-0.579043,0.741447,2.34065,1.8912,-0.321788,-0.0343957,-1.06847,0.195818,-0.00898559,-0.207236,-1.17391,1.30895,-1.35586,-0.686113,-0.175905,-1.12109,1.23902,1.76773,1.49154,0.081142,-0.112725,-0.60179,0.021355,0.704708,-0.0855157,0.44904,-0.881571,-0.493809,1.15026,-0.775519,0.139523,0.507342,0.705729,-0.322327,0.69756,-0.105725,0.0838243,0.382088,-0.231211,-0.404177,0.181065,-0.213881,0.586251,0.0900287,0.0605902,-0.214557,-0.636789,-0.200599,-0.728861,1.34682,1.10436,0.185731,0.595424,0.236813,0.168092,0.664523,0.380609,-0.246896,0.90117,0.270308,0.657377,-0.057732,0.803786,0.52095,0.124413,0.439867,0.269597,0.882168,1.09547,0.807008,0.333303,-0.0117552,0.292212,0.0804745,0.779792,-0.0189707,0.610863,0.138736,-0.435633,-0.0603949,0.0806661,1.29198,0.358922,0.163368,-0.794704,-0.0112335,-0.122816,0.212311,-0.29502,1.63669,0.673423,0.725618,0.46844,0.70731,-1.13539,0.683769,0.358603,0.552765,0.810629,0.710095,1.19788,0.620412,0.672153,-0.138681,0.399126,0.764985,0.332133,0.0704128,0.594899,1.06499,1.25102,0.113543,1.06907,0.141717,0.738358,1.46093,1.25786,0.257953,0.387807,-0.0794246,0.491825,0.399288,0.309712,-0.127065,0.994775,-0.209276,0.0933391,0.323868,-0.103196,0.963177,1.20206,1.07727,0.44001,0.352415,0.131439,0.178872,-0.611352,-0.0767963,-1.40741,-1.01964,0.624426,-1.30136,-0.386313,-0.0184941,0.179893,-0.848163,0.171724,-0.631561,-0.442012,-0.143748,-0.757047,-0.930013,-0.344771,-0.739717,0.0604145,-0.435807,-0.465246,-0.740393,-1.16263,-0.726435,-1.2547,0.820982,0.578527,-0.340105,0.0695879,-0.289023,-0.357744
21395.3,0.637895,0.00193878,10,1023,0,-21353.6,-0.697681,0.309712,0.459729,1.23038,-0.489894,0.729966,-2.2084,-1.38123,2.20649,-1.97229,0.00776205,0.779888,1.22948,-1.00604,1.2091,-0.524892,-0.10783,0.514542,-0.797941,-1.17883,0.0900606,-0.756581,0.97534,-0.0934595,-0.168106,-0.756136,-1.67683,-0.739125,-1.87974,2.61774,2.15109,0.0983108,0.986731,0.239894,0.0809991,0.400278,0.454804,0.587493,-0.00386179,-1.46071,1.09758,-0.258003,0.553634,-0.969701,0.861237,0.2206,-0.621393,0.0931112,-0.331305,1.0739,1.47489,0.941591,-0.140838,-0.878752,-0.217558,-0.690185,0.882582,-0.980138,0.450612,-0.605201,-1.85893,-1.064,-0.755285,1.91762,-0.0845645,-0.527239,-2.60233,-0.83511,-1.09708,-0.424618,-1.51313,2.71193,0.550933,0.660572,0.152094,0.654699,-3.38304,0.58562,-0.100305,0.334303,0.926087,0.655828,1.7481,0.562908,0.613815,-1.17564,-0.0708239,0.80158,-0.16034,-0.79488,0.395481,1.42953,1.8689,-0.634658,1.38038,-0.629928,0.794078,2.32119,1.85397,-0.266615,-0.0138496,-1.07949,0.114383,0.0622877,-0.230001,-1.14182,1.34718,-1.4694,-0.658087,-0.208033,-1.12606,1.24644,1.75972,1.45824,0.0985305,-0.0983738,-0.680631,0.0213024,0.875353,0.0844935,0.645298,-0.705554,-0.325279,1.3241,-0.597008,0.31328,0.668249,0.874938,-0.152796,0.865569,0.0684037,0.260139,0.546262,-0.0571246,-0.23223,0.351115,-0.0381106,0.758103,0.266746,0.232429,-0.0379059,-0.461173,-0.0300855,-0.554457,1.51316,1.29863,0.354908,0.76334,0.419998,0.346949,0.667472,0.398521,-0.264058,0.899464,0.282937,0.652073,-0.0407464,0.791972,0.500607,0.117666,0.442625,0.249599,0.888693,1.07107,0.828517,0.336224,0.000617621,0.301331,0.0863788,0.80168,-0.0454932,0.605218,0.12503,-0.445171,-0.0836329,0.0567708,1.27242,0.361817,0.160487,-0.783275,0.0204661,-0.0986797,0.20716,-0.287901,1.63367,0.650844,0.700708,0.469451,0.698038,-1.13834,0.66662,0.354659,0.55232,0.821466,0.698551,1.19532,0.656291,0.679443,-0.134407,0.368067,0.764839,0.327354,0.0387628,0.580144,1.05043,1.25026,0.111633,1.02808,0.113784,0.761428,1.45596,1.24347,0.27902,0.393979,-0.0906807,0.4523,0.428606,0.295672,-0.119028,1.01298,-0.268013,0.100977,0.305663,-0.111858,0.967165,1.2006,1.06349,0.44509,0.355537,0.0907237,0.177672,-0.613188,-0.0523831,-1.40324,-1.02296,0.62642,-1.29469,-0.384401,-0.0294324,0.177257,-0.850477,0.167888,-0.629277,-0.437542,-0.15142,-0.754806,-0.929911,-0.346566,-0.735792,0.0604222,-0.430935,-0.465252,-0.735587,-1.15885,-0.727767,-1.25214,0.815481,0.600949,-0.342773,0.0656591,-0.277683,-0.350732
21391.8,0.701262,0.00193878,10,1023,0,-21322.5,-0.27488,0.0681484,0.456891,1.25923,-0.479909,0.704255,-2.20523,-1.36442,2.23269,-1.965,0.0198682,0.827584,1.26049,-0.985291,1.25226,-0.501173,-0.0944686,0.554241,-0.786598,-1.1712,0.116085,-0.745553,1.02712,-0.0815901,-0.145262,-0.75085,-1.66079,-0.726159,-1.92544,2.69592,2.15298,0.122094,1.0225,0.279047,0.100206,0.208666,0.453146,0.608319,-0.0364605,-1.44269,1.11096,-0.275211,0.566492,-1.03217,0.911758,0.274044,-0.59765,0.0526704,-0.277863,1.08154,1.53426,0.900359,-0.137984,-0.907802,-0.247067,-0.677592,0.848167,-0.94774,0.472184,-0.516595,-1.84814,-1.07272,-0.69512,1.93921,-0.134122,-0.571985,-2.6451,-0.835171,-1.15682,-0.42301,-1.5577,2.79452,0.597003,0.708611,0.105586,0.695709,-3.33097,0.618195,-0.0701595,0.353074,0.906268,0.679153,1.78649,0.493845,0.613704,-1.20065,-0.0814517,0.812968,-0.114227,-0.740213,0.461154,1.48252,1.88056,-0.641646,1.46206,-0.625337,0.728927,2.32521,1.95203,-0.237256,-0.00692242,-1.06006,0.198895,0.0192527,-0.225523,-1.12641,1.28897,-1.34502,-0.671301,-0.217878,-1.106,1.23775,1.76827,1.47126,0.0814844,-0.100871,-0.599477,0.0212418,0.643478,-0.151117,0.389916,-0.939401,-0.555244,1.08824,-0.829641,0.0772259,0.446264,0.644054,-0.382022,0.640293,-0.160833,0.0249865,0.321376,-0.291241,-0.466963,0.121187,-0.272488,0.537431,0.0308706,0.00177946,-0.274908,-0.690651,-0.263627,-0.811569,1.29989,1.05182,0.123932,0.535318,0.195642,0.113931,0.484324,0.192144,-0.445084,0.712091,0.083955,0.46537,-0.25906,0.621825,0.332848,-0.062157,0.232533,0.0827532,0.698764,0.903908,0.61666,0.146139,-0.202701,0.0967083,-0.0983822,0.59301,-0.220799,0.422634,-0.0254271,-0.628814,-0.277431,-0.106325,1.08741,0.147889,-0.050527,-0.989951,-0.169789,-0.315542,0.0169805,-0.4972,1.47499,0.479196,0.52977,0.256512,0.523924,-1.30075,0.488799,0.176873,0.36866,0.619338,0.516421,1.01821,0.43245,0.486764,-0.335406,0.171756,0.577059,0.156905,-0.126759,0.417636,0.880464,1.06083,-0.0820936,0.871191,-0.074703,0.538977,1.26232,1.09322,0.101154,0.205529,-0.271697,0.298795,0.21739,0.106471,-0.301764,0.792757,-0.400827,-0.0955316,0.109935,-0.292512,0.769549,1.00995,0.875364,0.24559,0.162957,-0.0629846,0.368598,-0.425997,0.115036,-1.21428,-0.830124,0.813364,-1.10452,-0.197654,0.171384,0.369174,-0.656902,0.365413,-0.435713,-0.249893,0.046496,-0.566121,-0.741843,-0.153693,-0.547368,0.262551,-0.244009,-0.273101,-0.549788,-0.965531,-0.538507,-1.08645,1.02501,0.776944,-0.150948,0.260438,-0.0792378,-0.160949
21405.3,0.966657,0.00193878,10,1023,0,-21344.4,-0.762884,0.703999,0.470131,1.22257,-0.488065,0.718303,-2.14682,-1.34182,2.19219,-1.92514,0.0139041,0.789987,1.23766,-0.96785,1.22833,-0.507424,-0.0855975,0.524232,-0.769564,-1.1334,0.110522,-0.721038,0.961264,-0.0714688,-0.161535,-0.733504,-1.63689,-0.702085,-1.83698,2.60528,2.10335,0.116805,0.994284,0.260592,0.0966845,0.0632861,0.454016,0.593002,-0.0216892,-1.43117,1.12169,-0.276229,0.571068,-0.989183,0.875628,0.248362,-0.619753,0.0742987,-0.32355,1.08927,1.49854,0.95244,-0.138928,-0.886913,-0.258575,-0.727371,0.903627,-0.984156,0.444499,-0.56583,-1.8706,-1.05672,-0.719366,1.97845,-0.0661492,-0.514999,-2.61203,-0.863815,-1.11965,-0.446905,-1.48846,2.73135,0.597807,0.684244,0.125309,0.646011,-3.44711,0.594873,-0.0656593,0.333593,0.944226,0.682964,1.73277,0.574697,0.603211,-1.17462,-0.0329971,0.813198,-0.188844,-0.780593,0.410185,1.43054,1.89205,-0.629232,1.41863,-0.611285,0.827168,2.33902,1.91439,-0.322576,0.0122206,-1.09501,0.176078,0.00945424,-0.228138,-1.19124,1.36722,-1.44996,-0.668121,-0.212499,-1.09382,1.25771,1.81173,1.50237,0.0539729,-0.0990689,-0.63146,0.0211819,1.27877,0.474544,1.0417,-0.30529,0.0731657,1.73461,-0.201069,0.710536,1.0754,1.28586,0.248983,1.28148,0.465443,0.663757,0.950457,0.342203,0.17115,0.755959,0.365017,1.15592,0.670399,0.628056,0.359156,-0.065553,0.373927,-0.159623,1.92882,1.69285,0.758913,1.17144,0.826511,0.749453,0.332518,0.0534389,-0.586486,0.572553,-0.062126,0.32256,-0.385818,0.460835,0.176046,-0.218092,0.0970189,-0.0836106,0.557832,0.743647,0.495709,0.00021081,-0.339386,-0.0541111,-0.266952,0.473547,-0.383536,0.265096,-0.19361,-0.785996,-0.41648,-0.263318,0.961532,0.0332534,-0.170531,-1.12262,-0.3289,-0.445052,-0.139616,-0.612497,1.30336,0.3347,0.373944,0.120178,0.356585,-1.50176,0.333368,0.0334758,0.214743,0.49198,0.373362,0.849989,0.324208,0.337154,-0.47001,0.0483049,0.432491,-0.0224522,-0.291116,0.249517,0.712775,0.922308,-0.222395,0.707367,-0.214247,0.438834,1.12524,0.932449,-0.0831686,0.0688345,-0.433864,0.143228,0.0675785,-0.0402923,-0.477555,0.684025,-0.595021,-0.240052,-0.0331918,-0.433324,0.634306,0.885842,0.745387,0.0877907,0.0183073,-0.223407,0.515882,-0.28834,0.278811,-1.06817,-0.689718,0.971729,-0.963953,-0.0523483,0.312513,0.522975,-0.513901,0.518592,-0.297441,-0.0991271,0.187573,-0.420681,-0.591734,-0.00692543,-0.397867,0.393035,-0.0924848,-0.134828,-0.403728,-0.828437,-0.388957,-0.922507,1.16594,0.929967,-0.00397151,0.408559,0.0636272,-0.0134307
21394.1,0.808922,0.00193878,10,1023,0,-21343.7,-0.544382,0.329495,0.476627,1.22524,-0.445126,0.719072,-2.1228,-1.31557,2.15643,-1.9081,0.054684,0.794301,1.22433,-0.971632,1.21898,-0.511092,-0.117542,0.526828,-0.725201,-1.10722,0.103556,-0.730618,0.968014,-0.0807203,-0.149526,-0.720484,-1.6192,-0.709029,-1.82897,2.59284,2.10232,0.113174,0.991954,0.258805,0.0960861,0.216475,0.450975,0.616255,-0.0372649,-1.46933,1.13638,-0.254526,0.619092,-1.00075,0.901021,0.258947,-0.617333,0.0928746,-0.273077,1.07896,1.55704,0.941631,-0.146188,-0.875209,-0.237006,-0.710626,0.840867,-0.997144,0.471745,-0.607109,-1.86885,-1.05007,-0.739832,1.95994,-0.0404255,-0.526403,-2.6651,-0.881318,-1.12579,-0.455152,-1.55164,2.82557,0.586206,0.717456,0.144894,0.681096,-3.34821,0.636291,-0.091917,0.325871,0.941053,0.685425,1.78993,0.551246,0.604414,-1.20674,-0.0177247,0.780767,-0.21822,-0.735604,0.424763,1.45476,1.92099,-0.663621,1.47211,-0.613266,0.729312,2.34939,1.94162,-0.291774,0.0294795,-1.10547,0.184481,0.0238914,-0.206231,-1.17706,1.2977,-1.43171,-0.683745,-0.172592,-1.1379,1.22776,1.77252,1.47667,0.0250192,-0.119552,-0.645255,0.0212886,0.913477,0.117337,0.672225,-0.682288,-0.297539,1.35731,-0.579955,0.355559,0.708081,0.913044,-0.13361,0.910494,0.0858953,0.273472,0.580596,-0.0161548,-0.198236,0.378853,-0.0187365,0.790877,0.291022,0.258227,-0.0139065,-0.442257,-0.00844653,-0.542241,1.56531,1.33152,0.383437,0.802287,0.452849,0.375293,0.49439,0.199669,-0.446154,0.728955,0.10169,0.49567,-0.23484,0.622812,0.333253,-0.0619268,0.258359,0.093324,0.703056,0.918662,0.641126,0.150547,-0.178223,0.109591,-0.104,0.595684,-0.233212,0.42922,-0.0573164,-0.626331,-0.25708,-0.117171,1.10036,0.198244,-0.0209197,-0.98542,-0.180978,-0.291229,0.0112127,-0.483278,1.49074,0.480839,0.540029,0.281818,0.523632,-1.29349,0.503426,0.175022,0.363434,0.640866,0.525584,1.02369,0.465073,0.48905,-0.327735,0.208481,0.568581,0.118063,-0.115264,0.408032,0.872536,1.08279,-0.0828018,0.880357,-0.0600929,0.545376,1.27599,1.0921,0.0848919,0.229769,-0.282064,0.299671,0.227249,0.12347,-0.314348,0.801705,-0.42919,-0.0918773,0.13864,-0.296688,0.770162,1.01583,0.882414,0.227758,0.16256,-0.0745192,0.369096,-0.427045,0.127843,-1.22667,-0.84192,0.812928,-1.12434,-0.188822,0.163699,0.368663,-0.677992,0.366112,-0.458486,-0.27091,0.036214,-0.560536,-0.742617,-0.165528,-0.563118,0.246495,-0.25336,-0.286154,-0.558288,-0.986639,-0.552828,-1.08662,1.02093,0.787136,-0.160944,0.257906,-0.0915325,-0.169089
