# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim1_model
# start_datetime = 2022-03-02 19:28:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b4493b47a6.json
# init = 2 (Default)
# random
#   seed = 1285144116
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.111454
# Diagonal elements of inverse mass matrix:
# 0.108799, 0.114343, 0.0218714, 0.13827, 0.143204, 0.142744, 0.13461, 0.143299, 0.141525, 0.142202, 0.141883, 0.139286, 0.141502, 0.143826, 0.156667, 0.146659, 0.14523, 0.135437, 0.136377, 0.134232, 0.144644, 0.143508, 0.137566, 0.139155, 0.143936, 0.142535, 0.136513, 0.135121, 0.136385, 0.137563, 0.130321, 0.143801, 0.148608, 0.145632, 0.146608
-3921,0.970982,0.111454,4,15,0,3942.28,0.0984555,-0.0675761,0.445499,-0.740379,-1.19809,-0.327896,0.373107,-0.0612418,0.249563,0.00671449,-0.536165,-0.542491,0.23964,-0.634482,-0.798864,0.894609,-0.110281,-0.0480038,0.35276,-0.135667,0.671448,-0.263405,-0.762399,-0.286172,-1.05588,-0.484412,0.0826326,-0.126699,0.0737923,0.753841,0.607182,-0.297088,0.965583,-0.52287,0.200181,-0.641923,-1.09963,-0.22944,0.471563,0.0372137,0.348019,0.10517,-0.437709,-0.444035,0.338096,-0.536027,-0.700409,0.993064,-0.0118253,0.0504518,0.451216,-0.0372112,0.769904,-0.16495,-0.663944,-0.187716,-0.957421,-0.385956,0.181088,-0.0282438,0.172248,0.852297,0.705637,-0.198633,1.06404,-0.424414,0.298636,0.655188,0.750191,0.55711,0.384246,0.490698,0.413863,0.473732,0.607713,0.60922,0.416272,0.630888,0.668278,0.270307,0.502956,0.48739,0.389072,0.509302,0.3165,0.541144,0.660146,0.546792,0.722605,0.595309,0.454851,0.50706,0.457044,0.298951,0.330564,0.549496,0.256538,0.604539,0.425891
-3919.61,0.944884,0.111454,4,15,0,3935.58,0.0655779,-0.0825595,0.505091,-0.335143,-1.0292,-0.649856,-0.047905,-0.561085,0.38913,0.12833,-0.108305,-0.362463,0.262746,-0.612127,-0.737521,1.0914,-0.190427,0.215284,0.0796494,-0.0565833,0.631716,-0.116469,-0.104832,0.264777,-0.418155,-0.179007,-0.343142,-0.00322478,0.235423,-0.0597266,0.391714,-0.515174,0.744437,-0.328214,0.104772,-0.269565,-0.963622,-0.584278,0.0176729,-0.495507,0.454708,0.193908,-0.0427273,-0.296885,0.328324,-0.546549,-0.671943,1.15698,-0.124849,0.280862,0.145227,0.00899462,0.697294,-0.0508913,-0.0392544,0.330354,-0.352577,-0.113429,-0.277564,0.0623531,0.301001,0.00585131,0.457292,-0.449596,0.810015,-0.262636,0.17035,0.566986,0.723846,0.642051,0.495582,0.621403,0.388242,0.451674,0.51068,0.573681,0.418649,0.633335,0.661938,0.239217,0.531172,0.430243,0.463757,0.497751,0.332413,0.51272,0.509812,0.418154,0.587242,0.528327,0.568949,0.484417,0.425313,0.498537,0.387628,0.610543,0.307887,0.565284,0.457515
-3920.78,0.99212,0.111454,4,15,0,3935.06,0.0362606,-0.0564945,0.524736,-0.538769,-1.29086,-0.645335,0.115983,-0.517935,0.38053,0.447582,-0.183092,-0.396261,0.294494,-0.624617,-0.693893,0.884738,0.00534672,0.351569,-0.0303985,0.22246,0.813911,-0.351872,-0.400154,0.203515,-0.510465,-0.193088,-0.347306,-0.118903,0.163268,0.0780049,0.523638,-0.527648,0.542398,-0.376271,-0.071914,-0.502508,-1.2546,-0.609075,0.152244,-0.481674,0.41679,0.483842,-0.146832,-0.36,0.330754,-0.588356,-0.657633,0.920999,0.0416073,0.38783,0.0058621,0.25872,0.850172,-0.315611,-0.363894,0.239775,-0.474205,-0.156827,-0.311045,-0.082642,0.199529,0.114266,0.559899,-0.491387,0.578658,-0.34001,-0.0356534,0.623049,0.778095,0.64773,0.462012,0.618143,0.397285,0.381345,0.536642,0.58904,0.418057,0.642988,0.658728,0.284754,0.4896,0.40424,0.498534,0.435678,0.299397,0.578254,0.589983,0.440342,0.616378,0.539127,0.57714,0.520649,0.450283,0.471465,0.363571,0.620433,0.359241,0.584193,0.508912
-3925.36,0.950699,0.111454,4,15,0,3941.83,0.0877698,-0.161636,0.455634,-0.590109,-1.21231,-0.463924,0.238618,-0.147454,-0.0485078,0.0426823,-0.524455,-0.70381,0.191492,-0.612612,-0.500463,1.13979,-0.172289,-0.219488,0.084697,0.181455,0.657282,-0.838512,-0.582497,-0.311284,-0.890579,-0.344248,-0.143785,-0.279717,0.196958,0.489414,0.323739,-0.169473,0.915155,-0.391453,0.168995,-0.502339,-1.12454,-0.376154,0.326388,-0.059684,0.039262,0.130452,-0.436685,-0.616041,0.279262,-0.524842,-0.412693,1.22756,-0.0845195,-0.131719,0.172467,0.269225,0.745052,-0.750742,-0.494727,-0.223515,-0.802809,-0.256478,-0.0560156,-0.191947,0.284727,0.577183,0.411509,-0.0817032,1.00293,-0.303683,0.256765,0.623009,0.754829,0.592945,0.41912,0.514917,0.490186,0.467433,0.607469,0.649318,0.430635,0.628279,0.601733,0.226609,0.521117,0.532882,0.45699,0.433097,0.3219,0.67934,0.621219,0.555647,0.690575,0.56377,0.514,0.54784,0.429295,0.359581,0.39855,0.520414,0.268367,0.575343,0.436159
-3921.3,0.993867,0.111454,4,15,0,3938.85,0.0481524,-0.16594,0.491016,-0.438982,-1.38747,-0.227156,-0.00918624,-0.363839,0.778855,0.0748096,-0.392581,-0.471272,0.12152,-0.613096,-1.09518,0.823332,-0.126072,0.138343,0.595549,-0.419644,0.611384,0.016971,-0.302168,0.284485,-0.828654,-0.323761,0.0103762,-0.0900647,0.11996,-0.0106738,0.550059,-0.631297,0.461893,-0.379955,0.0612347,-0.390829,-1.33932,-0.179004,0.0389661,-0.315686,0.827008,0.122962,-0.344429,-0.42312,0.169672,-0.564944,-1.04702,0.871484,-0.0779194,0.186495,0.643702,-0.371492,0.659536,0.0651233,-0.254016,0.332637,-0.780502,-0.275609,0.0585286,-0.0419123,0.168112,0.0374786,0.598211,-0.583145,0.510045,-0.331803,0.109387,0.596482,0.792378,0.544632,0.49026,0.578273,0.304278,0.469298,0.585266,0.60423,0.457683,0.637596,0.740203,0.294946,0.51947,0.453511,0.34441,0.591819,0.340844,0.483725,0.563165,0.417599,0.685788,0.568469,0.485372,0.510477,0.458071,0.490631,0.354753,0.641791,0.375183,0.582198,0.47268
-3919.75,0.950745,0.111454,4,15,0,3943.23,0.0250948,-0.00807873,0.458307,-0.254128,-0.916408,-0.665025,0.346868,-0.406528,0.0741692,-0.188013,-0.40876,-0.506063,0.413542,-0.598165,-0.7434,1.18139,-0.227157,0.270199,0.172266,0.0403823,0.647653,-0.394654,-0.432934,-0.0083854,-0.473961,-0.407545,-0.0181531,0.0996543,0.357938,0.0921495,0.470073,-0.367411,0.622435,-0.262572,0.320854,-0.229033,-0.891314,-0.63993,0.371963,-0.381434,0.0992639,-0.162919,-0.383665,-0.480968,0.438637,-0.57307,-0.718305,1.20648,-0.202062,0.295294,0.197361,0.065477,0.672747,-0.369559,-0.40784,0.0167094,-0.448866,-0.38245,0.0069417,0.124749,0.383033,0.117244,0.495168,-0.342317,0.64753,-0.237477,0.345949,0.557009,0.709161,0.654738,0.408067,0.594219,0.475204,0.54064,0.594757,0.617976,0.392066,0.639471,0.672234,0.230324,0.550344,0.426708,0.450819,0.483637,0.337882,0.591352,0.60057,0.495823,0.61037,0.594464,0.498265,0.468853,0.405396,0.470722,0.378677,0.584753,0.343546,0.559092,0.414365
-3921.89,0.975555,0.111454,4,15,0,3936.49,0.0746614,-0.154857,0.462782,-0.326875,-1.23251,-0.871555,-0.151937,-0.247895,0.375718,0.0103783,-0.384906,-0.695161,0.304282,-0.317544,-0.796204,0.822503,-0.362079,0.151811,0.289371,-0.157475,0.725702,-0.44767,-0.555085,0.0144329,-0.564815,-0.450101,-0.0329042,-0.0680505,0.0865056,0.30081,0.480732,-0.230898,0.804579,0.190551,-0.0713429,-0.252213,-1.15785,-0.796894,-0.0772758,-0.173233,0.450379,0.0850397,-0.310245,-0.6205,0.378944,-0.242882,-0.721543,0.897165,-0.287418,0.226472,0.364032,-0.0828138,0.800364,-0.373009,-0.480423,0.0890943,-0.490154,-0.375439,0.0417572,0.00661096,0.161167,0.375472,0.555393,-0.156236,0.87924,0.265212,0.00331855,0.562721,0.760941,0.68931,0.519309,0.5432,0.389271,0.478753,0.576945,0.650332,0.406382,0.560424,0.672947,0.289634,0.571364,0.443623,0.409984,0.520692,0.309948,0.592186,0.617848,0.477741,0.620143,0.592773,0.489562,0.498347,0.459795,0.407219,0.364614,0.53898,0.293335,0.434083,0.49917
-3924.98,0.987023,0.111454,4,15,0,3939.27,0.0895361,-0.0531131,0.464201,-0.153414,-1.14241,-0.932834,-0.0358488,-0.112528,0.355553,0.46303,-0.293739,-0.504736,0.105084,-0.566412,-0.643233,0.82245,-0.526021,-0.029379,0.0944499,-0.175485,0.276311,-0.312592,-0.662313,0.181811,-0.747335,-0.564446,0.061919,-0.0919378,0.166991,0.162634,0.341578,-0.30011,0.90923,-0.130895,0.258164,-0.0638775,-1.05287,-0.843298,0.0536873,-0.0229923,0.445089,0.552566,-0.204202,-0.4152,0.194621,-0.476876,-0.553697,0.911986,-0.436485,0.0601571,0.183986,-0.0859494,0.365847,-0.223056,-0.572777,0.271347,-0.657799,-0.47491,0.151455,-0.00240172,0.256527,0.25217,0.431114,-0.210574,0.998767,-0.0413594,0.3477,0.515964,0.741326,0.699159,0.486581,0.505748,0.390529,0.365269,0.550874,0.602334,0.451498,0.61701,0.634993,0.286594,0.607421,0.484965,0.454133,0.521474,0.409545,0.555534,0.639404,0.432576,0.658766,0.616545,0.462208,0.5006,0.436218,0.437289,0.39386,0.55245,0.269184,0.510338,0.41394
-3919.21,0.983049,0.111454,4,15,0,3939.88,0.071515,-0.11911,0.480804,-0.504379,-0.967947,-0.509746,0.211074,-0.205616,0.322196,0.218376,-0.576998,-0.617441,0.381346,-0.652919,-0.711286,1.22568,-0.292773,0.0435463,0.22836,-0.187966,0.71288,-0.0127188,-0.892889,-0.0346089,-0.988182,-0.208277,0.177133,0.237782,0.220414,0.0495497,0.561765,-0.381668,0.979702,-0.348204,-0.224407,-0.432864,-0.896432,-0.438231,0.282589,-0.134101,0.393711,0.289891,-0.505483,-0.545926,0.452861,-0.581404,-0.639771,1.2972,-0.221258,0.115061,0.299875,-0.116451,0.784395,0.0587963,-0.821374,0.0369061,-0.916667,-0.136762,0.248648,0.309297,0.291929,0.121065,0.63328,-0.310153,1.05122,-0.276689,-0.152892,0.606557,0.710216,0.607837,0.429819,0.533475,0.402824,0.42803,0.623747,0.63319,0.388681,0.64139,0.654702,0.214637,0.55509,0.471266,0.425588,0.52908,0.313374,0.485305,0.694528,0.490775,0.714363,0.534137,0.438156,0.423286,0.427532,0.469771,0.346767,0.576923,0.258991,0.568734,0.538149
-3919.58,0.836943,0.111454,4,15,0,3940.4,-0.0565228,0.022586,0.586594,-0.174211,-1.3477,-0.268541,0.119634,-0.414145,0.582265,0.117547,-0.162889,-0.282441,0.160277,-0.439499,-0.694992,1.00775,0.0308744,0.0935438,0.513387,0.144529,0.671972,-0.36121,-0.201202,0.276399,-0.619586,-0.435613,-0.389949,-0.402127,0.173198,0.513017,0.778142,-0.548717,0.793856,-0.303876,0.378307,-0.230734,-1.40422,-0.325064,0.0631107,-0.470668,0.525743,0.0610244,-0.219412,-0.338964,0.103755,-0.496022,-0.751515,0.951224,-0.0256484,0.037021,0.456864,0.0880058,0.61545,-0.417732,-0.257725,0.219876,-0.676109,-0.492136,-0.446471,-0.45865,0.116675,0.456494,0.721619,-0.60524,0.737333,-0.360399,0.321784,0.557429,0.802853,0.580558,0.484228,0.615542,0.37151,0.484749,0.554634,0.583939,0.474085,0.621524,0.679509,0.278639,0.506412,0.490746,0.38773,0.478013,0.350817,0.60294,0.564077,0.445251,0.66287,0.62061,0.6098,0.612694,0.470864,0.387818,0.327036,0.646854,0.323588,0.589137,0.420241
-3918.29,0.976709,0.111454,4,15,0,3943.07,0.00582181,-0.102131,0.484892,-0.611204,-0.90054,-0.369275,0.268131,-0.172794,0.211774,0.255891,-0.333808,-0.506221,0.448314,-0.77489,-0.844176,1.29538,-0.252084,0.0648466,0.160551,-0.088679,0.971281,0.0063903,-0.793551,-0.000439986,-0.868358,-0.0542574,0.121105,0.164971,0.229678,0.313155,0.396731,-0.261956,1.02111,-0.351935,-0.0245478,-0.605382,-0.894719,-0.363454,0.273952,-0.166972,0.217596,0.261713,-0.327986,-0.500399,0.454135,-0.769068,-0.838355,1.3012,-0.246262,0.0706684,0.166372,-0.0828572,0.977103,0.0122121,-0.787729,0.00538182,-0.862537,-0.0484356,0.126927,0.170793,0.2355,0.318977,0.402553,-0.256134,1.02694,-0.346113,-0.018726,0.646887,0.709863,0.589876,0.431937,0.541646,0.445815,0.434943,0.581269,0.622553,0.388378,0.683319,0.698119,0.213962,0.561256,0.48234,0.458503,0.520702,0.273467,0.496947,0.687344,0.498655,0.70319,0.512107,0.468311,0.457405,0.441396,0.420925,0.400699,0.563686,0.263679,0.585675,0.504681
