# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim1_model
# start_datetime = 2022-03-02 19:28:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b4493b47a6.json
# init = 2 (Default)
# random
#   seed = 1285144116
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.07159
# Diagonal elements of inverse mass matrix:
# 0.183252, 0.185076, 0.0179851, 0.217925, 0.22078, 0.222225, 0.217179, 0.212096, 0.220001, 0.223766, 0.209584, 0.207558, 0.217327, 0.21503, 0.219819, 0.228196, 0.21366, 0.223054, 0.215171, 0.215992, 0.217554, 0.216138, 0.214943, 0.216575, 0.219917, 0.216276, 0.218579, 0.222172, 0.209199, 0.220532, 0.215474, 0.211278, 0.222952, 0.217431, 0.224503
-3927.04,0.992667,0.07159,4,15,0,3940.82,0.69169,-0.869508,0.530121,-1.13079,-1.8059,-0.861956,-0.552722,-1.44241,0.00210488,-0.464639,-0.779156,-1.28917,-0.266318,-1.2859,-1.33912,0.504685,-0.924644,-0.623526,-0.258625,-0.611954,0.406923,-0.91229,-1.41863,-0.51416,-1.38969,-0.72154,-0.771893,-0.472576,-0.583222,-0.453428,0.0230515,-1.08298,-0.0704064,-1.4383,-0.873874,-0.439099,-1.11421,-0.170266,0.138968,-0.750721,0.693795,0.227051,-0.0874662,-0.597481,0.425372,-0.59421,-0.64743,1.19637,-0.232954,0.0681636,0.433064,0.0797361,1.09861,-0.2206,-0.726941,0.17753,-0.698003,-0.02985,-0.0802036,0.219114,0.108468,0.238262,0.714741,-0.391288,0.621283,-0.746608,-0.182184,0.608044,0.752913,0.542464,0.465314,0.679336,0.333189,0.44348,0.521853,0.64508,0.395232,0.644331,0.656431,0.232121,0.557977,0.482966,0.393395,0.480077,0.25,0.554928,0.674134,0.455734,0.667745,0.507462,0.52004,0.44544,0.47291,0.440715,0.328552,0.596593,0.34949,0.678439,0.54542
-3925.37,0.992356,0.07159,5,31,0,3948.82,0.7611,-0.895832,0.541729,-1.0641,-2.07783,-1.29169,-0.25033,-0.805061,-0.609638,-0.459605,-1.24637,-1.23949,-0.670869,-1.29511,-1.60041,0.314663,-0.794381,-0.445086,-0.426175,-0.991485,-0.387691,-0.825121,-1.00253,-0.870833,-1.5471,-1.16405,-0.703743,-0.917922,-0.554105,-0.254756,-0.41576,-1.31089,0.466049,-0.772087,-0.353286,-0.303003,-1.31673,-0.530592,0.51077,-0.0439611,0.151462,0.301495,-0.485266,-0.478388,0.0902313,-0.534012,-0.839307,1.07576,-0.0332808,0.316014,0.334925,-0.230385,0.373409,-0.0640208,-0.241435,-0.109733,-0.785995,-0.402953,0.0573567,-0.156822,0.206995,0.506344,0.34534,-0.54979,1.22715,-0.0109875,0.407814,0.575177,0.788637,0.629621,0.375013,0.510989,0.462207,0.425192,0.618991,0.617367,0.477457,0.630418,0.698319,0.254309,0.508319,0.421647,0.417043,0.557343,0.407718,0.516,0.560067,0.527406,0.686971,0.599397,0.485665,0.539125,0.448435,0.376051,0.414513,0.634087,0.226681,0.502747,0.399436
-3924.5,0.999485,0.07159,5,63,0,3940.63,0.767459,-0.876414,0.519309,-1.20316,-2.09646,-1.27798,-0.164402,-0.812223,-0.587392,-0.549638,-1.23082,-1.21428,-0.578564,-1.29381,-1.56559,0.189183,-0.695366,-0.453289,-0.497005,-0.959296,-0.325953,-0.884464,-1.03351,-0.916607,-1.52204,-1.16158,-0.713081,-0.834385,-0.510716,-0.262594,-0.393502,-1.21503,0.405196,-0.774445,-0.282934,-0.435703,-1.329,-0.510525,0.603057,-0.0447635,0.180067,0.217821,-0.463358,-0.446823,0.188895,-0.526354,-0.798128,0.956642,0.0720935,0.314171,0.270454,-0.191837,0.441506,-0.117005,-0.26605,-0.149147,-0.754577,-0.394122,0.0543778,-0.0669254,0.256743,0.504865,0.373957,-0.447573,1.17265,-0.00698599,0.484525,0.607235,0.790675,0.624929,0.353645,0.511189,0.455104,0.445759,0.61381,0.609884,0.452916,0.628632,0.689574,0.277551,0.481984,0.422097,0.432796,0.547813,0.391382,0.529218,0.566123,0.537218,0.680175,0.597275,0.486409,0.516725,0.436164,0.376398,0.407585,0.610062,0.236375,0.501746,0.381184
-3921.92,1,0.07159,5,63,0,3941.07,0.644174,-0.547873,0.59453,-1.49228,-1.82911,-0.860696,-0.369522,-1.16427,-0.0782829,-0.256271,-1.07079,-1.12874,-0.110569,-1.20689,-1.25676,0.553814,-0.832904,-0.613755,-0.338188,-0.866719,0.241484,-0.693644,-1.35734,-0.642675,-1.64611,-0.729065,-0.54867,-0.532338,-0.453539,-0.513325,0.170271,-1.1761,-0.08889,-0.880837,-0.393727,-0.84811,-1.18493,-0.216522,0.274652,-0.520091,0.565891,0.387903,-0.42662,-0.484562,0.533605,-0.562719,-0.612584,1.19799,-0.18873,0.0304193,0.305986,-0.222545,0.885658,-0.0494697,-0.713166,0.00149879,-1.00193,-0.0848906,0.0955036,0.111836,0.190635,0.130849,0.814445,-0.531925,0.555284,-0.236663,0.250447,0.700171,0.765834,0.55392,0.431765,0.627169,0.362185,0.404222,0.605066,0.618825,0.369676,0.637081,0.64853,0.231833,0.547043,0.492396,0.424095,0.555408,0.292007,0.512365,0.6711,0.499625,0.731438,0.52121,0.476142,0.47207,0.452485,0.467334,0.306944,0.629932,0.364639,0.558891,0.437713
-3917.83,0.83395,0.07159,5,31,0,3937.77,0.627325,-0.693888,0.523352,-0.908956,-1.74844,-1.05029,-0.514559,-1.01443,-0.303349,-0.653341,-0.85484,-1.0038,-0.713593,-1.12125,-1.34075,0.363202,-0.672705,-0.745772,-0.237291,-0.6011,-0.203268,-0.809572,-1.17324,-0.356695,-1.20805,-1.15311,-0.722893,-0.719771,-0.330788,-0.125302,-0.124265,-1.10312,0.553328,-1.01659,-0.526446,-0.281631,-1.12112,-0.422963,0.112765,-0.387104,0.323976,-0.0260162,-0.227516,-0.376471,-0.0862682,-0.493926,-0.71342,0.990527,-0.0453804,-0.118447,0.390033,0.0262245,0.424056,-0.182248,-0.545917,0.27063,-0.580728,-0.525781,-0.0955682,-0.0924464,0.296537,0.502022,0.50306,-0.475799,1.18065,-0.389266,0.100879,0.569946,0.754196,0.604192,0.471839,0.595585,0.419707,0.506504,0.556635,0.593022,0.521554,0.621031,0.671157,0.270808,0.511343,0.529577,0.403709,0.493444,0.395546,0.545436,0.633188,0.432752,0.641235,0.628499,0.523874,0.523095,0.426404,0.377066,0.376822,0.616755,0.234935,0.596106,0.474802
-3918.32,0.984659,0.07159,5,31,0,3935.14,0.631934,-0.647288,0.391741,-1.19528,-1.79481,-0.889464,-0.368122,-0.725582,-0.161423,-0.334426,-0.935228,-1.08615,0.019355,-1.11152,-1.39721,0.635434,-0.805591,-0.342274,-0.409784,-0.862522,0.275516,-0.75383,-0.865178,-0.699032,-1.44357,-0.737466,-0.670227,-0.696277,-0.614852,-0.501378,0.0952202,-1.05145,-0.0316622,-0.837133,-0.50059,-0.563346,-1.16287,-0.25753,0.263812,-0.0936477,0.470511,0.297508,-0.303294,-0.454211,0.651289,-0.479584,-0.765277,1.26737,-0.173657,0.28966,0.22215,-0.230588,0.90745,-0.121896,-0.233244,-0.0670977,-0.811637,-0.105532,-0.038293,-0.0643425,0.0170819,0.130556,0.727154,-0.419518,0.600272,-0.205199,0.131344,0.637226,0.761854,0.564029,0.434427,0.523395,0.384495,0.426167,0.575248,0.61164,0.342699,0.61765,0.682498,0.219708,0.543305,0.428087,0.44469,0.557393,0.287522,0.530436,0.558048,0.516768,0.692458,0.526358,0.509572,0.51608,0.49573,0.467407,0.32582,0.603368,0.354281,0.551121,0.467211
-3921.83,0.982239,0.07159,5,63,0,3935.39,0.599528,-0.63237,0.662339,-1.12884,-2.32429,-1.10387,-0.241346,-0.883117,-0.0918959,-0.689694,-0.722449,-1.02354,-0.407658,-1.09828,-1.21866,0.540956,-0.413517,-0.54019,-0.20106,-0.799517,0.327164,-0.913275,-1.1281,-0.66979,-1.23154,-0.893358,-0.47158,-0.74611,-0.309042,-0.320441,0.295924,-1.37762,0.467818,-1.10537,-0.520707,-0.52931,-1.72476,-0.504342,0.358182,-0.283589,0.507632,-0.0901663,-0.122921,-0.424015,0.19187,-0.498749,-0.619132,1.14048,0.186011,0.0593375,0.398468,-0.19999,0.926692,-0.313747,-0.528572,-0.0702626,-0.632014,-0.29383,0.127948,-0.146582,0.290486,0.279087,0.895452,-0.778095,1.06735,-0.505842,0.078821,0.629322,0.848741,0.623479,0.4114,0.570426,0.375749,0.522526,0.530692,0.604444,0.452179,0.622165,0.650021,0.242231,0.453631,0.48517,0.40168,0.549831,0.283596,0.5778,0.62915,0.517558,0.652946,0.572934,0.468057,0.53658,0.427885,0.430678,0.289986,0.685269,0.255908,0.623831,0.480305
