# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim1_model
# start_datetime = 2022-02-21 14:09:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9c60c12b4a.json
# init = 2 (Default)
# random
#   seed = 444138895
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim1-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0954928
# Diagonal elements of inverse mass matrix:
# 0.126623, 0.129145, 0.0141955, 0.184264, 0.160868, 0.163211, 0.166989, 0.160235, 0.185105, 0.160845, 0.163466, 0.159725, 0.178802, 0.16394, 0.172845, 0.163808, 0.16676, 0.152524, 0.165932, 0.153706, 0.163624, 0.165211, 0.1552, 0.152275, 0.160055, 0.15289, 0.17242, 0.162564, 0.165155, 0.191603, 0.185628, 0.166444, 0.181668, 0.158922, 0.160145
-3901.5,0.908357,0.0954928,5,31,0,3921.99,-0.677972,0.493015,0.971873,2.57829,-0.0444071,2.20345,-1.84815,-0.449443,2.96732,-0.559819,0.647413,1.67495,2.26784,-0.342766,2.01554,0.352895,0.688815,1.26346,0.214344,-0.113228,0.766687,-0.0999257,1.31436,1.0511,0.675529,-0.0851278,-0.762584,0.294032,-0.167416,3.65278,2.58257,0.855851,1.92091,1.72088,0.866549,1.90032,-0.722379,1.52548,-2.52612,-1.12742,2.28935,-1.23779,-0.0305597,0.996982,1.58986,-1.02074,1.33757,-0.325077,0.0108429,0.585492,-0.463628,-0.7912,0.0887148,-0.777898,0.636385,0.373132,-0.00244369,-0.7631,-1.44056,-0.38394,-0.845388,2.97481,1.9046,0.177879,1.24293,1.04291,0.188577,0.130072,0.673131,0.178656,0.925953,0.755362,0.0920088,0.775179,0.507639,0.269535,0.169403,0.735116,0.20791,0.580561,0.497289,0.35767,0.613874,0.688089,0.477836,0.685227,0.346064,0.407784,0.500611,0.682026,0.808541,0.594823,0.699599,0.0485772,0.129589,0.455647,0.223926,0.260589,0.452995
-3903.95,0.935692,0.0954928,5,31,0,3919.72,-0.72932,0.897025,1.06003,2.39121,0.0157013,1.77017,-0.589589,-0.090373,2.58224,-0.475886,1.09086,1.20585,2.6703,-0.437274,1.89818,-0.129866,1.20262,1.20363,0.0695822,-0.205425,0.795871,0.342952,1.62967,0.793998,0.709346,0.397308,-0.648019,0.112004,-0.615832,2.51911,2.91818,1.46113,2.46981,1.06333,0.392983,1.66189,-0.713619,1.04085,-1.31891,-0.819693,1.85292,-1.20521,0.361539,0.476528,1.94098,-1.16659,1.16886,-0.859186,0.473299,0.474315,-0.659738,-0.934746,0.0665508,-0.386369,0.900347,0.0646778,-0.0199742,-0.332013,-1.37734,-0.617317,-1.34515,1.78979,2.18886,0.731808,1.74049,0.334009,-0.336337,0.159508,0.6712,0.260986,0.789,0.694171,0.13553,0.76945,0.410587,0.383072,0.12554,0.762529,0.237062,0.702491,0.383836,0.383596,0.659202,0.718037,0.483368,0.595408,0.288979,0.483836,0.504993,0.582249,0.798563,0.649608,0.793336,0.143098,0.100755,0.324798,0.14925,0.417265,0.583301
-3905.02,0.965066,0.0954928,5,31,0,3922.88,-0.684206,0.655602,1.25539,3.06958,0.077511,2.16992,-1.85235,-0.433831,3.16336,-0.623759,0.751421,1.72255,2.41937,-0.407709,2.07647,0.495223,0.673843,1.22334,0.265531,-0.179259,0.737773,-0.156285,1.21857,1.01981,0.697656,-0.167435,-0.78716,0.39598,-0.0984515,3.8112,2.41288,0.807213,1.95583,1.74005,0.807141,2.38537,-0.606695,1.48572,-2.53655,-1.11804,2.47915,-1.30796,0.0672155,1.03834,1.73516,-1.09191,1.39227,-0.188983,-0.0103626,0.539132,-0.418675,-0.863465,0.0535673,-0.840491,0.53436,0.335602,0.0134502,-0.851641,-1.47137,-0.288225,-0.782657,3.12699,1.72868,0.123008,1.27162,1.05585,0.122935,0.0842951,0.647186,0.184565,0.926665,0.753624,0.0773326,0.787172,0.483202,0.26147,0.149928,0.748742,0.199046,0.547106,0.502591,0.36839,0.603166,0.703384,0.486611,0.698569,0.369501,0.416878,0.496638,0.700911,0.813265,0.571562,0.686252,0.0420074,0.150757,0.469287,0.21898,0.258104,0.469305
-3903.08,0.992711,0.0954928,5,31,0,3919.04,-0.717348,0.680158,1.14389,2.90022,-0.0827494,2.04171,-1.5825,-0.347369,2.82304,-0.567493,0.614798,1.81949,2.41562,-0.279681,2.07764,0.599834,0.757373,1.42562,0.403128,-0.10056,0.741151,-0.160335,1.29489,1.19163,0.618739,-0.0127475,-0.492873,0.148656,-0.0554605,3.88326,2.77129,1.08523,2.27475,1.68399,0.414746,2.18287,-0.800097,1.32437,-2.29985,-1.06472,2.1057,-1.28484,-0.10255,1.10215,1.69827,-0.997029,1.36029,-0.117514,0.0400256,0.708275,-0.314219,-0.817907,0.023803,-0.877683,0.577539,0.47428,-0.0986084,-0.730095,-1.21022,-0.568692,-0.772808,3.16592,2.05394,0.367884,1.5574,0.966642,-0.302602,0.101299,0.689995,0.210093,0.908864,0.743591,0.108544,0.783273,0.525615,0.249338,0.154691,0.730474,0.204193,0.529345,0.489995,0.32998,0.577915,0.693792,0.49405,0.706342,0.359499,0.383604,0.524632,0.674826,0.770338,0.638461,0.684128,0.0404687,0.113654,0.409052,0.17402,0.27555,0.575078
-3901,0.968347,0.0954928,5,31,0,3920.48,-0.56853,0.807093,1.17568,2.29022,-0.244631,2.11397,-1.35639,-0.323962,2.86269,-0.513399,0.371498,1.35674,2.25727,-0.600512,1.91699,0.31924,0.64951,1.27019,0.0912095,-0.506327,0.665414,0.462077,1.01882,0.759331,0.323166,-0.0788616,-0.607426,0.252936,-0.376209,2.38855,2.48953,1.40005,2.25052,1.35627,0.318525,1.72169,-0.813162,1.54544,-1.92492,-0.892492,2.29416,-1.08193,-0.197032,0.788208,1.68874,-1.16904,1.34846,-0.24929,0.0809795,0.701662,-0.477321,-1.07486,0.0968834,-0.106453,0.450293,0.190801,-0.245365,-0.647392,-1.17596,-0.315594,-0.944739,1.82002,1.921,0.831519,1.68199,0.787742,-0.250005,0.151653,0.692783,0.175746,0.872686,0.709404,0.0916078,0.746859,0.549099,0.312554,0.155942,0.762972,0.206122,0.562002,0.479766,0.331444,0.617115,0.74552,0.475798,0.526588,0.389291,0.452444,0.561035,0.656423,0.76422,0.57825,0.720056,0.139432,0.12775,0.303324,0.156832,0.312654,0.562178
-3903.99,0.995143,0.0954928,5,31,0,3914.95,-0.443661,0.446865,1.1586,2.45374,0.0403032,1.49705,-1.39178,-0.431014,2.60026,-0.809679,1.03485,1.25162,3.08618,-0.474552,1.67965,-0.316173,0.816126,0.726641,-0.225809,-0.100657,0.469289,-0.662638,1.37379,0.638621,0.57848,-0.0696667,-1.20073,-0.109443,-0.791636,3.20683,2.42829,0.400761,1.82185,1.16529,0.485451,2.01008,-0.403358,1.05339,-1.83545,-0.874676,2.1566,-1.25334,0.591185,0.807959,2.64252,-0.918213,1.23599,-0.759834,0.372465,0.282979,-0.66947,-0.544318,0.0256278,-1.1063,0.930129,0.19496,0.134819,-0.513328,-1.64439,-0.553104,-1.2353,2.76316,1.98463,-0.0429007,1.37819,0.721624,0.0417901,0.118149,0.599494,0.258574,0.862409,0.705718,0.103716,0.777878,0.356363,0.308326,0.0664517,0.714678,0.225135,0.681318,0.407946,0.429724,0.661385,0.632816,0.493593,0.751439,0.282899,0.451414,0.466346,0.625586,0.838131,0.634855,0.774744,0.0593475,0.120826,0.510724,0.2013,0.327035,0.489554
