# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim2_model
# start_datetime = 2022-03-02 19:29:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b4138b1e1.json
# init = 2 (Default)
# random
#   seed = 1780753607
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.07365
# Diagonal elements of inverse mass matrix:
# 0.131288, 0.0948419, 0.0821363, 0.0775851, 0.0162272, 0.00657792, 0.142662, 0.0242837, 0.235075, 0.201533, 0.209779, 0.212506, 0.188623, 0.221027, 0.200486, 0.216566, 0.194756, 0.196303, 0.188786, 0.204526, 0.20166, 0.195975, 0.21272, 0.188782, 0.204292, 0.195079, 0.189939, 0.212174, 0.187108, 0.195939, 0.235106, 0.208436, 0.193254, 0.198422, 0.24925, 0.232059, 0.226679, 0.206378, 0.203748, 0.203635
-3912.13,0.94428,0.07365,5,31,0,3928.3,-0.64912,0.0971133,-0.0781016,0.11374,-0.21999,0.171506,-0.473675,0.617258,-0.48122,-1.27309,-0.0895515,-0.26978,-0.0152854,0.758465,-0.13899,-0.764947,-0.682138,-0.718726,-0.369436,-0.393592,1.09579,-0.533131,0.337987,0.430445,-0.551392,0.416114,-0.289884,-0.902613,0.54568,-1.17607,-0.745246,-0.60325,-0.898198,-0.482903,-0.843143,-0.182407,-1.26284,0.116414,-0.85074,-0.600559,-0.0610453,-1.19471,-0.0727027,-0.507528,-0.359374,1.144,-0.67251,-0.489389,-0.557736,-0.567435,-0.650785,-0.457408,0.739028,-0.988482,-0.214743,-0.384632,-1.06173,0.122093,-0.925705,-1.04305,0.108254,-1.74794,-0.98308,-1.38782,-1.38699,-1.08046,-0.88912,-0.291124,-1.78627,0.0064843,-1.26662,-0.783404,0.515257,0.767582,0.518168,0.624227,0.588889,0.241586,0.662065,0.619963,0.635928,0.638171,0.657187,0.612399,0.323217,0.728788,0.55348,0.59499,0.743021,0.469515,0.716203,0.739439,0.472963,0.851693,0.727719,0.800243,0.800111,0.746581,0.708709,0.572271,0.85647,0.498379,0.780163,0.686413
-3909.42,0.962053,0.07365,5,63,0,3930.93,-0.544715,-0.197957,-0.0803357,-0.113415,-0.307071,0.235,-0.300123,0.568508,-1.05469,-1.23387,-0.688636,0.183548,-0.306059,-0.0916638,1.05842,-0.348119,-0.552523,-0.32586,-0.614767,-1.05497,0.602436,-0.700376,-0.223885,0.203752,-0.401145,0.284484,-0.424283,-0.737821,0.100211,-0.949773,-0.373786,-0.547895,-0.613693,-0.00577481,-0.877045,-0.608405,-0.614244,0.149769,-1.12603,-0.83084,-0.453538,-1.10542,-0.650462,-0.120468,-0.762906,0.456744,0.341548,0.055566,-0.364222,-0.100026,-0.984039,-1.12939,0.485698,-0.954731,-0.61856,-0.548326,-0.727861,0.255322,-0.926147,-0.557005,-0.129122,-1.36677,-0.620985,-1.55824,-1.21119,-0.750697,-0.869628,-0.688563,-1.26449,0.0723142,-1.62615,-1.00568,0.61148,0.751275,0.657115,0.530081,0.681984,0.387759,0.415433,0.486112,0.590062,0.524986,0.727909,0.755726,0.380907,0.722066,0.649891,0.633747,0.674336,0.436514,0.716293,0.635759,0.532236,0.796857,0.650442,0.826101,0.770509,0.67933,0.704668,0.665647,0.779797,0.481929,0.835641,0.732173
-3900.52,0.92015,0.07365,6,63,0,3924.5,-0.459284,-0.367054,0.233971,-0.375776,-0.374025,0.0815545,-0.245553,0.440849,-0.571563,-1.02561,-0.0468913,0.0328421,-0.0926804,0.432016,0.84999,-0.187712,-0.112429,-0.0427788,-0.347403,-0.29142,0.669592,-0.718291,-0.0445418,-0.0380353,-0.677854,0.00876661,-0.627966,-0.734393,-0.117538,-1.58482,-0.393783,0.105715,-0.338585,0.0697992,0.0868267,0.501939,-0.407133,0.887981,-0.749761,-0.311091,-0.375124,-1.20026,-0.536183,-0.259198,-0.775558,0.359524,0.055081,-0.0271122,-0.418859,-0.303494,-0.923611,-0.917857,0.654055,-0.901451,-0.603301,-0.622757,-0.744468,0.0998986,-0.907919,-0.592183,-0.270221,-1.96608,-0.932998,-1.36305,-1.30448,-0.870978,-0.756309,-0.447865,-1.64195,0.146153,-1.80172,-0.966851,0.592697,0.768571,0.630924,0.564439,0.684722,0.411075,0.486233,0.506778,0.60321,0.575296,0.715777,0.714605,0.342076,0.711248,0.646411,0.650845,0.677972,0.475046,0.712574,0.643866,0.567147,0.877189,0.717683,0.796254,0.786587,0.704949,0.680552,0.610132,0.837801,0.463527,0.858358,0.724491
-3901.49,0.874561,0.07365,5,63,0,3921.75,-0.612211,0.0319528,0.0364444,-0.393117,-0.257307,0.132267,-0.345244,0.617409,-0.564019,-1.34729,-0.324288,-0.258821,-0.189499,0.673031,-0.0683104,-0.795688,-0.630272,-0.500307,-0.525354,-0.63866,0.72867,-0.853491,-0.009123,0.163333,-0.416781,0.219851,-0.484407,-1.03338,0.211532,-0.6311,-0.037506,-0.434355,-0.327862,0.3723,-0.486058,0.0884259,-0.556423,0.434568,-0.377168,-0.0873818,-0.21218,-1.3269,-0.444191,-0.471514,-0.594903,0.916024,-0.626947,-0.544667,-0.624378,-0.462963,-0.857376,-0.852912,0.449542,-1.24793,-0.585793,-0.583522,-0.80721,0.0141054,-1.0216,-1.12783,-0.161944,-1.16182,-0.763148,-1.79947,-1.34703,-0.705755,-1.19229,-0.69119,-1.68444,-0.278135,-1.37939,-0.817038,0.552847,0.790328,0.609257,0.615742,0.644489,0.285769,0.651797,0.632897,0.651214,0.613717,0.702112,0.701178,0.38947,0.776942,0.642399,0.641878,0.691515,0.496474,0.735284,0.755438,0.540398,0.761664,0.682037,0.858084,0.793644,0.669463,0.767151,0.666232,0.843491,0.569089,0.798892,0.693607
-3898.94,0.998558,0.07365,5,63,0,3916.33,-0.496656,-0.379326,0.277374,-0.310693,-0.181768,0.100606,-0.277069,0.53475,0.124431,-0.599013,0.0610582,0.185191,-0.131456,1.03627,0.462761,-0.173541,-0.233533,-0.102509,-0.120288,-0.336197,0.629481,-1.08012,-0.241,-0.237526,-0.665229,-0.0348443,-0.962054,-0.879148,-0.0128643,-1.52515,-0.424627,-0.399611,-0.702315,0.240554,-0.760154,0.225519,-0.587622,0.610865,-0.655637,-0.531304,-0.0715862,-1.03634,-0.468209,-0.431134,-0.876747,0.770534,-0.397947,-0.447948,-0.673933,-0.520693,-0.81374,-0.932114,0.634091,-1.15697,-0.439412,-0.5705,-0.746415,0.0216047,-1.14692,-0.736904,-0.0749043,-1.69827,-1.02723,-1.45395,-1.51227,-0.618171,-1.32754,-0.393703,-1.4673,0.0317422,-1.44645,-1.12957,0.517889,0.738144,0.61496,0.606144,0.706148,0.316364,0.598194,0.610151,0.662383,0.62731,0.692906,0.717504,0.346583,0.760782,0.608119,0.638879,0.678397,0.494599,0.758947,0.676318,0.518717,0.845309,0.736378,0.810606,0.819398,0.649802,0.790433,0.597174,0.812647,0.492065,0.809451,0.75576
-3902.76,0.860057,0.07365,6,63,0,3923.65,-1.02133,0.46393,0.0443282,-0.114403,-0.122899,0.117041,-0.0602951,0.487486,-0.393649,-0.760939,-0.305694,-0.095028,-0.332337,0.984005,0.348693,-0.377764,-0.69148,-0.408149,-0.278737,-0.610051,1.12345,-0.448903,0.368781,0.425804,-0.182337,0.797275,-0.266582,-0.49338,0.682693,-0.893903,-0.184068,-0.144207,-0.470461,0.507556,-0.325422,0.0931666,-0.455631,0.831044,-0.417117,-0.270108,-0.344245,-0.923712,-0.481612,-0.476861,-0.752351,1.03528,-0.198376,-0.430379,-0.807312,-0.50896,-0.663701,-0.831033,0.395873,-1.23156,-0.447053,-0.579047,-1.01695,0.104743,-1.17129,-1.07888,-0.0899526,-1.74166,-1.13234,-1.39792,-1.55894,-0.66291,-1.10283,-0.719293,-1.54223,-0.00332097,-1.44363,-1.16644,0.585221,0.715798,0.618128,0.617006,0.679691,0.262061,0.549432,0.605964,0.691536,0.624563,0.660091,0.696573,0.402304,0.774092,0.609938,0.640848,0.734377,0.473838,0.763378,0.746283,0.522473,0.850897,0.756271,0.801853,0.826201,0.659914,0.75079,0.672451,0.823789,0.50083,0.809016,0.7625
