# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim2_model
# start_datetime = 2022-02-21 13:30:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9c24c01e14.json
# init = 2 (Default)
# random
#   seed = 1010977154
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0753401
# Diagonal elements of inverse mass matrix:
# 0.129947, 0.0956468, 0.104676, 0.122224, 0.0168227, 0.00896447, 0.123687, 0.0223371, 0.184059, 0.173293, 0.157914, 0.166864, 0.171985, 0.168814, 0.171516, 0.171085, 0.159577, 0.167764, 0.14413, 0.204626, 0.190349, 0.209943, 0.192734, 0.214005, 0.231467, 0.213407, 0.208313, 0.196768, 0.204655, 0.230408, 0.168119, 0.205509, 0.205086, 0.254495, 0.181732, 0.19314, 0.194857, 0.186263, 0.205299, 0.271459
-3891.78,0.848744,0.0753401,5,63,0,3921.07,-0.945021,0.420917,-0.178453,-0.0594489,-0.495112,0.0546666,0.0705726,0.512327,1.02602,-0.426496,0.597779,-0.912531,-0.74692,0.79045,-0.466604,-0.30297,0.438636,0.801989,-0.644298,0.166737,-0.119635,0.178333,0.549672,0.282534,0.458348,-0.111156,-0.1475,0.696649,0.267977,0.08882,-0.649149,-1.22362,-0.140353,-0.0112625,1.41708,1.04031,-0.195263,-0.0113168,-0.109322,0.139921,1.45505,-0.548826,0.43916,-1.23656,-0.225998,0.596013,-0.497042,0.144907,0.665969,0.294646,-0.582373,0.264481,-1.00627,-0.91094,-0.759207,-0.953769,-1.25486,-0.538329,-1.20002,-0.00620396,-0.894811,-1.36803,-1.8574,-2.15572,-1.8076,-1.66201,-0.0489478,0.125179,-1.47797,-1.10977,-1.07959,-1.71299,0.189226,0.633863,0.391941,0.774964,0.55626,0.355256,0.621764,0.463837,0.3394,0.426867,0.641613,0.434263,0.73229,0.713193,0.681182,0.721872,0.77814,0.631424,0.768528,0.501551,0.709882,0.797061,0.864994,0.896202,0.859072,0.840508,0.512234,0.468746,0.814266,0.752086,0.746417,0.847224
-3891.93,0.987652,0.0753401,5,31,0,3905.24,-0.59476,0.411987,0.055943,-0.283413,-0.485108,-0.0872928,0.103582,0.653521,0.606134,-0.306587,0.655556,-0.711506,-0.631489,0.939966,-0.35332,-0.543133,0.169591,0.963757,-0.680672,1.20337,-0.508227,0.278432,0.17498,0.695209,-0.60265,0.159876,0.27216,0.239814,0.273596,0.380538,-0.00159218,-1.05604,-0.141839,-0.0381483,1.233,0.985188,0.0392663,0.126502,0.196295,0.609195,0.934671,-0.518269,0.549174,-0.979954,-0.212916,1.0802,-0.474966,-0.0552742,0.441362,0.656551,-0.570967,1.06646,-1.0967,-0.64944,-0.686351,-0.376721,-1.86014,0.0215816,-0.619698,-0.16859,-0.726305,-0.907481,-1.22029,-1.8633,-1.6694,-2.11296,-0.379109,-0.228018,-1.53409,-1.12546,-1.07093,-1.6637,0.281978,0.626743,0.366056,0.727099,0.553029,0.253468,0.616558,0.513815,0.391416,0.341515,0.638986,0.256076,0.749642,0.656884,0.665155,0.593082,0.865313,0.494605,0.65015,0.542048,0.673994,0.712484,0.772114,0.865682,0.841496,0.892157,0.593658,0.556759,0.822603,0.755001,0.744774,0.840734
-3894.11,0.904682,0.0753401,5,31,0,3909,-0.611862,0.27486,-0.295989,-0.633738,-0.442815,-0.00957124,0.198227,0.722383,1.26602,-0.237959,0.649543,-1.0861,-0.56673,0.532594,-0.187713,-0.058793,0.466793,1.00879,-0.678375,0.528719,-0.149652,0.527702,0.433148,0.436498,0.436407,-0.228188,0.0883207,0.57815,0.455373,0.272642,-0.481118,-1.61459,-0.203432,0.493756,1.70306,1.12478,0.042773,-0.0592711,0.194533,0.822097,1.60609,-0.391016,0.522494,-1.36108,-0.144479,0.490437,-0.258583,0.356592,0.684929,0.628312,-0.608175,0.514027,-0.962612,-0.524952,-0.698988,-0.747655,-1.05735,-0.630212,-0.931458,-0.0704354,-0.66303,-1.10876,-1.96744,-2.79547,-2.0418,-1.56371,-0.072273,-0.216306,-1.62706,-1.50585,-1.19587,-1.41618,0.167133,0.596527,0.372269,0.795936,0.536057,0.379791,0.564288,0.411785,0.335162,0.347893,0.647524,0.37425,0.723644,0.628305,0.667963,0.678667,0.742184,0.652538,0.717371,0.517602,0.659941,0.751898,0.877336,0.942431,0.885117,0.826885,0.51806,0.553867,0.835767,0.818446,0.767789,0.804739
-3896.5,0.895551,0.0753401,5,63,0,3917.88,-0.384356,0.277932,0.0949839,-0.665437,-0.342452,-0.157576,0.0690955,0.609009,0.836064,-0.0417684,0.67852,-0.567994,-0.462213,1.15045,-0.201161,-0.556373,0.487661,0.680123,-0.594721,1.3429,-0.531844,0.019817,-0.178146,0.581151,-0.677415,0.14353,-0.0284412,0.294205,0.359292,0.208366,-0.268893,-0.781979,-0.362675,0.0964188,1.36819,1.43868,0.458762,0.588512,0.502338,0.630415,0.802727,-0.456461,0.434116,-0.926805,-0.43199,1.27204,-0.552294,-0.381286,0.510206,0.389905,-0.686583,0.885037,-1.04818,-0.832061,-0.791143,-0.372422,-1.57007,-0.0550089,-0.854896,-0.095012,-0.543433,-0.89775,-1.65502,-1.78172,-1.87089,-2.18193,-0.39162,-0.135483,-1.36964,-0.917059,-1.10996,-1.78777,0.309442,0.612174,0.393144,0.716427,0.606349,0.218908,0.634668,0.594183,0.375145,0.40374,0.665206,0.292135,0.740425,0.696791,0.688077,0.592044,0.827794,0.513749,0.701593,0.523735,0.632611,0.710487,0.839569,0.855909,0.866561,0.898615,0.596673,0.533819,0.797322,0.714442,0.752122,0.856653
-3893.55,0.898082,0.0753401,5,31,0,3908.95,-0.4786,0.13816,-0.263319,-0.210595,-0.490911,-0.0718776,-0.0321519,0.710851,1.20679,-0.31213,0.873474,-0.976118,-0.377308,0.606731,-0.411528,-0.153539,0.270399,0.996899,-0.779873,0.633085,-0.587622,0.384569,0.544683,0.265396,0.0862394,-0.413393,0.0552819,0.378945,0.231472,0.00805928,-0.409408,-1.81667,-0.259002,0.058129,1.38048,1.16448,-0.201975,-0.314589,-0.000113707,0.68126,1.43315,-0.632446,0.643258,-1.37034,-0.0598295,0.593161,-0.64073,0.217594,0.42286,0.546998,-0.791416,0.404896,-1.34688,-0.701681,-0.507147,-0.966635,-1.36649,-0.717079,-0.994522,-0.198082,-0.927668,-1.44264,-1.42674,-2.43412,-1.60535,-1.77618,-0.018514,0.185622,-1.54529,-1.34913,-1.03364,-1.3535,0.192608,0.653044,0.34451,0.797435,0.514953,0.35591,0.654918,0.445815,0.395832,0.366561,0.688135,0.400137,0.793618,0.66856,0.624137,0.724448,0.796813,0.671963,0.72998,0.549359,0.716602,0.808864,0.806392,0.919392,0.832765,0.855225,0.504628,0.453727,0.824232,0.793987,0.737621,0.794701
-3894.72,0.993478,0.0753401,5,31,0,3914.88,-0.518674,0.124188,-0.24071,-0.398964,-0.443401,-0.0104997,0.218856,0.657497,0.995765,-0.678174,0.530533,-0.845312,-0.518443,0.820848,0.180984,-0.493952,0.338929,0.993954,-0.558063,0.941046,-0.602799,0.576828,0.277391,0.295119,0.0621568,-0.0646819,0.197021,0.685776,0.500483,0.20306,-0.483568,-1.45334,0.0102173,0.0168729,0.925245,1.02578,0.21953,0.21215,0.148352,0.184116,1.27649,-0.891219,0.344446,-1.17953,-0.155419,0.721597,0.0502345,-0.136888,0.498484,0.555022,-0.54664,0.865633,-1.269,-0.330298,-0.70749,-0.74368,-1.28482,-0.319403,-0.677186,0.184168,-0.472479,-1.03325,-1.64316,-2.30617,-1.50098,-1.71737,-0.524654,0.00978213,-1.12565,-0.908566,-0.917027,-1.73118,0.218148,0.709142,0.41473,0.764863,0.538777,0.327041,0.487444,0.534169,0.377897,0.3647,0.633356,0.296164,0.780571,0.581832,0.669846,0.6778,0.78327,0.579179,0.66311,0.454088,0.61597,0.737545,0.837965,0.909387,0.81772,0.84779,0.628235,0.497554,0.755036,0.712707,0.714436,0.849563
