# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim2_model
# start_datetime = 2022-03-02 19:29:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b4138b1e1.json
# init = 2 (Default)
# random
#   seed = 1780753607
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0808963
# Diagonal elements of inverse mass matrix:
# 0.130263, 0.0970053, 0.0899698, 0.0835423, 0.0133632, 0.00963175, 0.135765, 0.0186369, 0.238477, 0.190887, 0.203822, 0.184192, 0.170305, 0.259675, 0.184543, 0.198014, 0.206525, 0.2029, 0.179358, 0.207609, 0.180256, 0.170923, 0.215936, 0.16746, 0.179874, 0.191579, 0.167237, 0.219405, 0.175099, 0.190584, 0.168512, 0.190873, 0.176762, 0.175209, 0.240099, 0.224323, 0.187784, 0.211164, 0.194267, 0.192533
-3909.05,0.948223,0.0808963,5,63,0,3923.53,-0.919697,-0.488458,-0.0793453,-0.833471,-0.172098,0.0128021,0.524456,0.530248,0.745284,0.0745803,0.906843,0.516066,0.863832,1.90858,0.782012,0.740618,1.0814,0.780834,0.61869,0.453216,1.61449,0.255221,1.03582,0.57104,0.309585,1.13584,-0.0549686,-0.0294618,0.724784,-0.517181,0.827933,0.555072,0.496133,0.90334,0.516121,1.23372,-0.0568505,1.36539,0.433046,0.449214,-0.266436,-1.08316,-0.420398,-0.646246,-0.503037,0.748397,-0.611682,-0.26287,-0.161702,-0.441234,-0.699097,-0.93713,0.662522,-0.773872,-0.190815,-0.618098,-0.64116,0.232956,-1.10387,-0.933567,-0.290286,-1.63742,-0.813833,-1.5144,-1.34196,-0.898471,-1.33966,-0.671141,-2.0434,-0.419046,-1.46937,-1.2709,0.566218,0.747092,0.603578,0.656164,0.623173,0.321171,0.648324,0.565342,0.540338,0.608553,0.667988,0.718519,0.340173,0.684358,0.54756,0.649786,0.655016,0.442023,0.750985,0.717798,0.572066,0.837184,0.692926,0.819712,0.792812,0.710635,0.792433,0.661759,0.88528,0.603255,0.812962,0.780897
-3907.7,0.921771,0.0808963,7,159,0,3933.24,-0.707242,0.0337707,-0.0365225,-0.10673,-0.28938,0.147555,-0.206799,0.494473,-0.75434,-1.45341,-0.518618,0.0655471,-0.133982,0.432973,0.554186,-0.335743,-0.259703,-0.43991,-0.666961,-0.619262,1.32731,-0.705203,0.518967,0.677982,-0.321865,0.559056,-0.057653,-0.8994,0.333789,-0.641534,-0.754804,-0.449082,-0.68768,-0.00862902,-0.269054,0.308274,-0.338162,0.163645,-0.966774,-0.264451,-0.383127,-1.45376,-0.677949,-0.194542,-0.612003,0.680573,-0.0949685,-0.0767151,-0.277556,-0.422393,-1.06245,-0.884702,0.914764,-1.24744,-0.229412,-0.259398,-0.858389,0.229036,-0.759235,-1.10544,-0.184868,-1.33704,-1.25543,-1.66889,-1.51842,-0.904394,-0.751448,-0.256649,-1.29251,-0.324826,-1.77965,-0.770787,0.594627,0.810576,0.663281,0.548483,0.648397,0.336133,0.523724,0.519169,0.568947,0.604056,0.743159,0.707796,0.286026,0.776856,0.557103,0.564488,0.702324,0.44299,0.681188,0.751279,0.546086,0.792003,0.778238,0.841427,0.820305,0.711852,0.679494,0.563812,0.784572,0.5805,0.855653,0.683691
-3905,0.832681,0.0808963,5,63,0,3925.74,-0.573442,0.120463,0.408517,0.00579487,-0.165897,0.0353853,-0.283301,0.43792,-0.294563,-0.742886,0.300107,-0.68769,-0.218225,0.729199,0.194105,-0.28597,-0.442733,-0.062545,-0.333264,-0.406676,0.435887,-0.62976,-0.362998,-0.391417,-0.510303,-0.0175891,-0.678098,-0.952059,0.13344,-1.25734,-0.15481,-0.285891,-0.474495,-0.257197,-0.329599,0.0828921,-0.90951,0.586393,-0.685871,-0.614306,-0.296259,-0.908387,-0.00574141,-0.903685,-0.608361,0.607433,-0.244935,-0.302775,-0.667474,-0.267009,-0.676088,-0.773354,0.362432,-0.777564,-0.678185,-0.716544,-0.605627,-0.0437323,-0.868046,-0.956335,-0.000846036,-1.49301,-0.592025,-1.1354,-1.10096,-0.871735,-0.90398,-0.538801,-1.65605,0.0577342,-1.3513,-1.104,0.573528,0.71267,0.501435,0.711706,0.647567,0.352645,0.560929,0.575121,0.660937,0.566358,0.662865,0.684246,0.410371,0.685155,0.663333,0.671845,0.646943,0.510931,0.704339,0.722387,0.500212,0.81653,0.64383,0.756834,0.75044,0.705107,0.711767,0.631533,0.839706,0.48557,0.794342,0.751009
-3905.2,0.916591,0.0808963,6,127,0,3928.62,0.0381474,-0.0102953,-0.0873154,-0.208558,-0.274479,0.23925,-1.1398,0.565586,-1.63841,-2.12798,-1.65977,-0.677684,-1.42035,-0.641414,-0.163751,-1.40489,-1.11963,-1.36105,-1.33495,-1.40481,-0.0713144,-1.74138,-0.636771,-0.409215,-1.1996,-0.345403,-1.20309,-1.65421,-0.859874,-1.69063,-0.8546,-1.15105,-1.1473,-0.581902,-1.52744,-0.897657,-1.64219,-0.62124,-1.95682,-1.11176,-0.321792,-1.26308,-0.846369,-0.257737,-1.10782,0.657255,-0.112834,-0.293974,-0.172042,-0.379906,-0.94414,-0.692056,0.392265,-1.40081,-0.392434,-0.542733,-0.952903,0.196456,-1.11295,-0.895464,-0.496939,-1.49544,-0.628503,-1.6071,-1.23432,-0.829893,-0.986168,-0.434667,-1.74717,-0.185028,-1.9276,-0.791784,0.579761,0.779557,0.699805,0.56408,0.751723,0.341356,0.528179,0.572969,0.542905,0.59385,0.719935,0.666424,0.403172,0.802312,0.596869,0.632448,0.721699,0.451043,0.752679,0.710017,0.62174,0.816893,0.65215,0.833009,0.774574,0.696332,0.72833,0.606988,0.851595,0.546126,0.872983,0.688214
-3903.68,0.996357,0.0808963,6,63,0,3922.63,-0.2124,0.442454,0.261867,-0.113582,-0.171767,0.232611,-1.09439,0.484863,-1.46127,-2.53769,-0.933839,-0.779745,-1.07755,-0.627868,-0.592176,-1.44965,-1.6075,-1.45669,-1.22452,-1.80601,-0.146269,-1.35392,-1.21643,-0.468674,-1.29747,-0.701935,-1.29168,-1.73535,-0.433005,-1.89461,-1.07523,-1.34097,-1.38779,-0.56212,-1.18894,-1.02759,-1.47566,-0.502813,-1.49965,-1.38203,-0.176045,-1.61804,0.0364725,-0.304321,-0.586453,0.729012,-0.347689,-0.376042,-0.553211,-0.38141,-0.684445,-0.89868,0.389851,-0.894779,-0.734624,-0.389104,-0.979964,-0.116828,-1.07215,-0.931631,0.0401324,-1.52644,-1.07019,-1.76281,-1.5787,-0.936652,-0.737997,-0.625637,-1.59491,-0.200506,-1.53492,-1.23536,0.543898,0.834524,0.490883,0.575499,0.642551,0.325411,0.586057,0.592918,0.63488,0.594213,0.66473,0.710678,0.403753,0.709875,0.675819,0.596067,0.727101,0.529174,0.745005,0.717406,0.489968,0.821485,0.744634,0.853562,0.829021,0.718423,0.676558,0.651499,0.831306,0.549959,0.822725,0.774754
-3904.4,0.943169,0.0808963,5,63,0,3928.57,0.247439,0.114173,0.0274699,-0.217343,-0.124541,0.10018,-1.05299,0.572755,-1.42322,-1.64231,-1.59681,-1.14184,-1.16586,-0.267822,-0.446989,-1.12317,-1.03809,-1.08339,-1.47129,-1.48764,0.107954,-1.66259,-0.62949,-0.900759,-1.02064,-0.393713,-1.1744,-1.42826,-0.975188,-1.9,-1.04913,-1.23557,-1.3523,-0.79629,-1.7203,-0.937028,-1.71595,-0.216352,-1.87393,-0.952459,-0.50198,-0.91765,-0.903899,-0.602322,-0.683453,0.636898,-0.0749115,-0.286885,-0.284293,-0.314365,-0.953369,-0.840396,0.598761,-1.22759,-0.246537,-0.672499,-0.619867,0.132612,-0.844659,-0.8119,-0.530046,-1.53097,-0.847497,-1.34346,-1.29275,-0.801394,-1.4008,-0.653043,-1.67291,0.0638598,-1.77001,-0.716612,0.622925,0.714563,0.71175,0.646187,0.664509,0.345948,0.518719,0.571233,0.570598,0.57795,0.721792,0.698549,0.354627,0.773397,0.561324,0.662063,0.650188,0.466895,0.699446,0.692514,0.629494,0.822148,0.700042,0.793058,0.784612,0.690273,0.80231,0.657696,0.841964,0.48404,0.854459,0.671861
