# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim2_model
# start_datetime = 2022-02-18 19:01:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c29447cb0.json
# init = 2 (Default)
# random
#   seed = 826487715
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim2-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim2_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0646997
# Diagonal elements of inverse mass matrix:
# 0.142392, 0.138159, 0.104566, 0.100634, 0.0160722, 0.015724, 0.1378, 0.0239006, 0.199949, 0.190608, 0.195262, 0.186205, 0.186244, 0.199059, 0.177666, 0.18713, 0.204007, 0.180218, 0.18552, 0.206862, 0.260063, 0.267256, 0.224003, 0.243095, 0.274911, 0.218608, 0.270841, 0.221828, 0.2211, 0.223873, 0.195116, 0.27387, 0.183329, 0.223086, 0.172643, 0.218807, 0.232248, 0.199591, 0.223919, 0.190458
-3892.11,0.968458,0.0646997,5,31,0,3907.95,-0.336441,1.17318,0.070794,-0.225257,-0.142438,-0.0973055,-0.229626,0.553038,0.714644,-0.266794,0.012611,-1.26229,-0.600134,0.704799,-0.78244,-0.442797,-0.156864,0.777047,-1.31903,0.397564,-0.73685,0.0909959,-0.18522,-0.541881,-0.494412,-0.638415,-0.051501,-0.0212149,-0.504366,-0.40055,-0.605949,-0.679296,-0.764947,-0.886796,0.233752,0.936926,-0.462401,-0.383243,-0.585669,-0.405755,1.27047,0.211645,0.502104,-0.750686,-0.016675,1.2772,-0.165817,0.25121,0.343685,1.37709,-0.779785,1.13026,-1.24691,-0.529615,-0.708526,-1.09835,-0.987893,-0.950527,-0.65553,-0.422917,-0.950287,-0.881824,-1.49163,-1.79276,-1.57325,-1.89742,-0.626485,-0.128976,-1.48293,-1.00361,-1.57972,-1.13667,0.219177,0.447285,0.377046,0.679328,0.504169,0.218027,0.541359,0.437526,0.414915,0.201477,0.685634,0.244112,0.776765,0.629393,0.670075,0.749951,0.728671,0.721221,0.658255,0.604181,0.721173,0.7072,0.816323,0.857265,0.828246,0.8696,0.651692,0.532199,0.815015,0.731768,0.829164,0.757068
-3893.95,0.900283,0.0646997,5,63,0,3914.17,-0.862311,0.772066,0.157206,-0.461728,-0.228335,0.104044,-0.268559,0.587906,0.566017,-0.036483,0.728463,-1.21589,-0.74326,0.550298,-0.813087,-0.274327,0.39758,0.390455,-0.453547,0.0683244,-0.300375,-0.968144,0.112286,-0.428947,-0.730678,-0.340647,-0.43419,0.266983,-0.0733561,-0.781783,-0.282969,-0.765401,-0.786345,-0.616536,1.45406,0.787733,0.259096,-0.264136,0.121997,-0.437685,1.06557,0.339014,1.12168,-0.787225,-0.199408,1.07643,-0.216071,0.44674,0.808521,0.960888,0.0194184,0.851416,-0.6172,-1.46218,-0.485799,-1.0802,-1.02092,-1.12024,-0.901648,-0.136165,-0.54739,-1.57252,-1.60632,-1.93382,-1.98564,-1.88014,-0.0885172,-0.564482,-1.54045,-1.16217,-1.11503,-1.51293,0.256247,0.416049,0.2457,0.687235,0.549687,0.254183,0.553809,0.390136,0.308206,0.2767,0.495146,0.299136,0.649581,0.811867,0.619116,0.746531,0.735152,0.754033,0.711288,0.533989,0.63353,0.828142,0.832899,0.873672,0.879281,0.867628,0.522115,0.637489,0.82353,0.761726,0.753065,0.819495
-3891.36,0.99883,0.0646997,7,127,0,3916.68,0.0383701,0.240841,-0.699177,-0.675419,-0.0521249,-0.104574,0.0135117,0.61909,1.27303,0.419511,1.08155,-0.716215,-0.277994,1.24931,-0.170568,0.379027,0.858393,1.2752,-0.00562109,0.806701,-0.0253825,-0.254264,0.254298,0.00443776,0.158043,-0.456879,0.382044,0.920967,0.317463,-0.715133,-0.732525,-0.698795,-0.732269,-0.717973,0.593132,0.467716,-0.404201,-0.516665,0.0272988,-0.288815,1.17358,0.29174,0.957824,-0.831849,-0.367333,1.15592,-0.24777,0.330144,0.738713,1.19193,-0.111141,0.771977,-0.982529,-1.25186,-0.63873,-0.900726,-0.793035,-1.13469,-0.60949,0.0724406,-0.547245,-1.52381,-1.62607,-1.81362,-1.59749,-1.7262,-0.222132,-0.560741,-1.27812,-1.31312,-0.974863,-1.12572,0.236208,0.427578,0.277314,0.696746,0.590814,0.239409,0.561628,0.418206,0.323286,0.232914,0.527757,0.316052,0.72761,0.777623,0.654466,0.711099,0.688483,0.756703,0.647824,0.481898,0.633496,0.821099,0.83563,0.859799,0.831668,0.848926,0.555306,0.636624,0.78213,0.788034,0.726088,0.755048
-3891.26,0.983729,0.0646997,5,63,0,3908.16,0.00143924,0.230421,-0.795856,-1.04147,-0.142713,-0.0363068,0.0311758,0.729418,1.25569,0.336998,0.653412,-0.822649,-0.256903,1.27757,-0.52973,0.135829,0.378076,1.13098,-0.746769,0.96492,0.00836688,0.332412,0.399826,-0.138931,-0.396987,-0.155431,0.118895,0.147922,-0.0701187,-0.141841,-0.164454,-0.892295,-0.550359,-0.429136,0.918659,1.45899,-0.121301,0.0565022,-0.411402,-0.374736,1.45084,0.45461,0.7821,-0.671808,-0.0340673,1.48933,-0.273665,0.469427,0.517841,1.37043,-0.568238,1.33729,-0.847377,-0.634094,-0.530373,-1.10236,-1.23612,-0.996402,-0.830997,-0.660439,-0.922784,-1.09111,-1.40673,-2.24041,-1.7151,-1.73541,-0.359305,0.0973392,-1.55987,-0.919944,-1.70106,-1.46194,0.189872,0.388265,0.313867,0.661908,0.508516,0.184022,0.567993,0.384752,0.373357,0.202551,0.638357,0.207957,0.700017,0.653417,0.62957,0.750702,0.774887,0.730351,0.696566,0.659359,0.715609,0.748591,0.80325,0.90382,0.847497,0.850103,0.588872,0.475684,0.826335,0.715031,0.845673,0.81183
-3895.56,0.758543,0.0646997,5,31,0,3912.97,-0.334778,0.349487,-0.692894,-0.841147,-0.0901706,-0.0984382,0.453993,0.703147,1.36443,0.772949,1.32672,-0.720196,-0.190099,1.43489,-0.109135,0.467598,0.926689,1.34496,0.00329663,1.12046,0.346027,0.200344,0.468555,0.533522,0.160171,-0.0386388,0.686628,1.10869,0.624473,-0.313748,-0.324612,0.112318,-0.410377,-0.46408,1.22158,0.684116,0.177878,-0.0673114,0.530622,0.0614418,1.05394,0.413478,0.974247,-1.05867,-0.483086,1.1349,-0.381127,0.244594,0.581215,1.06247,-0.317683,0.921952,-0.946889,-1.16255,-0.795905,-0.751934,-1.12225,-1.09573,-0.665773,-0.0787882,-0.591,-1.51476,-1.77932,-1.56026,-1.81609,-2.03472,-0.180177,-0.921513,-1.32535,-1.35406,-1.02952,-1.29529,0.258469,0.398078,0.274035,0.742437,0.618476,0.243257,0.594145,0.439155,0.358653,0.256838,0.57876,0.28456,0.720489,0.761797,0.689098,0.6796,0.754405,0.749458,0.660556,0.519687,0.643594,0.819766,0.855612,0.82639,0.860097,0.884394,0.544923,0.71535,0.790071,0.794792,0.736822,0.78504
-3900.6,0.992327,0.0646997,5,63,0,3918.02,-1.18282,0.15712,-0.174342,-0.671354,-0.125361,0.207456,0.395414,0.654809,1.72118,0.572833,1.00045,-0.365253,0.172126,1.58204,-0.0705472,0.341828,0.856187,1.45053,-0.237216,1.2614,-0.227817,0.0429173,0.693337,-0.130348,-0.424865,0.645753,0.0216452,0.425785,0.0676848,0.287931,0.24696,-1.08319,-0.153932,-0.117282,1.54725,1.77812,0.540357,0.377297,-0.368339,-0.117596,1.62062,0.40417,0.841521,-0.504728,0.0958932,1.49608,-0.117592,0.362889,0.706983,1.38889,-0.352368,1.31652,-0.920805,-0.747365,-0.304402,-1.15728,-1.10326,-0.752304,-0.754043,-0.46493,-0.861948,-0.965911,-1.30617,-2.2506,-1.63895,-1.48728,-0.276573,0.359475,-1.42455,-0.942323,-1.72374,-1.53451,0.165119,0.400311,0.301215,0.62357,0.476045,0.183011,0.529364,0.41026,0.330266,0.199585,0.587192,0.211398,0.715206,0.678604,0.575518,0.760837,0.75087,0.67968,0.680059,0.614183,0.703067,0.724304,0.786871,0.904702,0.837392,0.815669,0.568706,0.411087,0.80605,0.719569,0.84861,0.822665
