# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim3_model
# start_datetime = 2022-03-02 19:31:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b4856160d.json
# init = 2 (Default)
# random
#   seed = 1803114061
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0991739
# Diagonal elements of inverse mass matrix:
# 0.128755, 0.11741, 0.0944486, 0.0988741, 0.0239634, 0.0121832, 0.0982075, 0.0303707, 0.240016, 0.176803, 0.209936, 0.188816, 0.181795, 0.258753, 0.177726, 0.214232, 0.205853, 0.247395, 0.166698, 0.210554, 0.209222, 0.22573, 0.258546, 0.204691, 0.198404, 0.193333, 0.198409, 0.261499, 0.19062, 0.30715, 0.221605, 0.265331, 0.192165, 0.180409, 0.271194, 0.253366, 0.252931, 0.200653, 0.204852, 0.207926, 0.0103504, 0.393378, 0.0704818, 0.138885, 0.0681962, 0.083771, 0.0815761, 0.0710484, 0.0805021, 0.0638588, 0.0711555, 0.0759465, 0.18533, 0.0852851, 0.0695451, 0.066144, 0.0753298, 0.0662798, 0.142377, 0.0694125, 0.0729782, 0.0985506, 0.0608787, 0.112403, 0.0946791, 0.0782068, 0.0669526, 0.0695762, 0.0737076, 0.0757301, 0.0760827, 0.0605775, 0.074721, 0.0794645
126.16,0.801788,0.0991739,6,63,0,-64.7749,0.077863,-0.593331,0.139917,-0.433042,-0.429931,0.198431,-0.911921,0.539991,-1.23111,-1.96515,-1.15923,-0.46898,-0.644393,-0.0276411,-0.290645,-0.70858,-0.574562,0.0391274,-0.94521,-0.686864,-0.661799,-1.47216,-0.272364,-0.23358,-1.17933,-1.14004,-1.40586,-1.60253,-0.344573,-2.08634,-1.38972,-1.2258,-0.547557,-0.843685,-1.19493,0.168091,-0.866967,-0.714261,-0.741023,-0.788567,1.10938,0.697073,4.18701,4.52178,1.61916,8.8835,5.17779,3.36468,3.71622,1.52049,2.39836,2.46087,9.51222,2.45211,2.7603,3.21222,1.58522,1.94662,5.49093,6.24483,3.49408,1.87308,4.36294,2.10321,7.9252,3.64996,3.62512,4.33647,4.4245,4.4921,2.30479,2.32279,1.95621,3.37849,-0.25687,-1.52215,-0.97321,-0.370288,-0.89027,0.742163,-0.769986,0.119782,-0.178351,0.487887,-1.06847,-0.658493,0.00648614,-0.996549,-0.12381,-0.324243,-0.674439,-0.349143,-1.1462,-0.64823,0.166067,-1.83845,-1.30015,-2.20472,-0.948436,-1.32038,-1.14064,0.0997623,-1.47229,-0.648213,-1.13615,-0.728273,0.563867,0.820854,0.725759,0.591528,0.708946,0.322531,0.683518,0.47009,0.54447,0.380391,0.744307,0.658922,0.498378,0.73038,0.530913,0.580358,0.662497,0.58641,0.758817,0.656612,0.458579,0.862765,0.78586,0.900672,0.720801,0.789245,0.757797,0.47508,0.813405,0.656608,0.756972,0.674426
122.542,0.997975,0.0991739,5,63,0,-88.8917,-0.368266,0.470138,0.312959,-0.282355,-0.12563,0.0359673,-0.681987,0.749043,-0.917393,-1.73514,0.244725,-1.1546,-0.720472,1.20996,-0.00597412,-0.632258,-0.207983,0.624734,-1.02373,-2.10449,0.656038,-1.63772,-1.50408,-0.670953,-0.918862,0.16552,-1.11325,-1.16282,-0.416043,-2.15649,-0.565849,-1.48766,-0.4976,-0.247807,-0.3583,-0.196122,-0.737738,0.730568,-0.72659,-0.4229,1.22384,0.539615,3.21291,6.43833,5.75082,2.33066,4.74371,5.3848,4.34271,3.25144,1.26045,2.4339,4.11324,5.0276,6.12441,4.79819,2.77612,4.71973,8.95094,2.28628,2.20579,1.40308,3.4004,2.95773,4.31598,3.94679,5.03038,3.21867,3.63638,3.93921,1.70531,1.63285,1.31864,2.88157,-0.446262,-1.39723,0.485529,-0.873269,-0.56184,1.59933,0.106454,-0.181739,0.0942411,0.942313,-0.829268,-1.90975,0.68834,-1.66172,-1.64567,-0.838407,-0.912291,0.233651,-1.17834,-1.06896,-0.429806,-2.24703,-1.10853,-2.34256,-1.18359,-0.933938,-0.977337,-0.850988,-1.50549,0.136984,-1.43292,-0.996148,0.60975,0.801743,0.380947,0.705426,0.636878,0.168075,0.473412,0.54531,0.476457,0.280433,0.6962,0.870991,0.334402,0.840469,0.838304,0.69813,0.713469,0.441852,0.764649,0.7444,0.605827,0.904394,0.751854,0.912341,0.765593,0.717873,0.72658,0.700774,0.818391,0.465807,0.807355,0.730301
116.305,0.998467,0.0991739,6,63,0,-86.4929,-0.184177,-0.398155,-0.175902,-0.457218,-0.482693,0.125121,-0.177127,0.565892,-1.13589,-1.4048,-0.32931,-0.919018,-0.318324,0.720587,0.64896,-0.425353,0.0229249,0.650963,-0.673358,-1.39678,0.466999,-1.30565,-0.441358,0.170212,-0.430542,0.2495,-1.4028,-1.75454,0.0678214,-1.14662,-0.451831,-1.06801,-0.0485671,-0.562537,-0.12023,0.104951,0.103668,0.358194,-1.32663,-0.382034,1.27688,0.483535,5.10932,4.89137,1.10511,9.64093,4.8431,1.84,3.69609,1.50883,3.37261,1.77463,10.7977,3.11648,1.6606,2.25487,2.79322,2.36319,4.37843,4.30003,3.61943,2.96552,3.99599,1.65931,3.71126,7.40801,2.79851,2.84562,4.70985,5.76993,1.99445,2.9946,5.25064,6.88659,-0.338676,-1.10636,-0.417053,-0.811819,-0.695642,1.19061,0.10719,0.305739,0.171171,0.858206,-0.913016,-1.66151,0.417389,-1.57158,-1.17214,-0.633824,-0.565941,0.337551,-1.81352,-1.5807,-0.15878,-1.66821,-0.691554,-2.50735,-0.838932,-1.34036,-0.692557,-0.605036,-1.01389,-0.103265,-2.20819,-0.752291,0.583869,0.75145,0.602778,0.692497,0.667221,0.23315,0.473228,0.424155,0.457312,0.297714,0.713617,0.840441,0.397142,0.828009,0.763532,0.653356,0.637826,0.416404,0.859787,0.829304,0.539612,0.841337,0.666313,0.924655,0.69824,0.79255,0.666536,0.646808,0.73378,0.525793,0.900983,0.679678
131.366,0.999079,0.0991739,6,63,0,-88.2411,-0.288935,-0.453387,-0.000850087,-0.505556,-0.550047,0.161665,-0.562661,0.602907,-0.849386,-1.46417,-0.348317,-0.353325,-0.279266,0.266239,0.637808,-0.4369,-0.0109121,0.519219,-0.727895,-0.811821,0.470753,-0.97513,-0.267042,0.350237,-0.487778,-0.477712,-1.04239,-1.57194,-0.231887,-1.52007,-0.773391,-1.00756,-0.444312,-0.0905707,-0.51535,0.13466,-0.394967,0.388419,-1.25017,-0.106658,1.35962,0.567379,4.73147,4.78121,0.979079,8.55663,5.50772,1.81867,3.98726,1.84869,3.43288,1.66579,6.47069,3.9022,2.15939,2.49934,2.41122,2.64144,6.95935,4.95835,4.15198,2.69421,4.99817,1.90093,4.27424,6.38997,4.25426,2.6755,3.65533,4.96528,2.13154,3.01001,6.45727,5.12434,0.0375929,-1.16464,-0.469784,-0.309899,-0.768883,0.799455,-0.0582926,0.355644,0.13654,0.733901,-1.06064,-1.13498,0.572928,-1.11946,-0.922009,-0.42637,-0.502448,-0.218667,-1.3708,-1.19605,-0.331401,-1.95574,-1.09108,-2.69225,-1.38948,-1.04053,-1.1548,-0.661659,-1.6939,-0.143777,-2.28018,-0.554009,0.490603,0.762175,0.615333,0.576861,0.683279,0.310142,0.514569,0.412014,0.465918,0.324339,0.742813,0.756756,0.360562,0.753889,0.715451,0.605006,0.623034,0.55445,0.797509,0.767822,0.5821,0.876071,0.748585,0.936568,0.800509,0.738952,0.760387,0.659633,0.844736,0.535882,0.907222,0.635065
129.879,0.997512,0.0991739,6,63,0,-101.432,-1.1693,0.170422,-0.0434885,0.234709,-0.593139,0.333233,-0.380371,0.680654,-1.20332,-1.82647,0.0420442,-0.29894,-0.180876,0.239517,0.543017,-0.816392,-0.270449,0.461494,-0.451378,-1.17063,1.22912,-1.24205,0.0524049,0.401143,0.494953,0.0575496,0.0435397,-0.974012,0.733474,-1.9393,-0.73043,-0.462937,0.383719,-0.187964,-0.92983,-0.0986996,-0.242141,-0.0256569,-0.0409017,-0.537557,1.10161,0.352855,3.38719,5.54136,6.05289,3.05399,4.58594,6.17531,3.81009,3.166,1.30691,3.22197,4.96481,2.50527,5.11679,2.83616,2.94131,3.84086,4.61389,2.50095,2.35538,2.18594,2.81197,5.43876,4.42702,2.19581,3.25264,4.80407,4.81816,3.51372,1.95536,2.04794,1.42876,3.61267,0.031445,-1.38408,0.189363,-0.450518,-0.748354,1.25171,-0.406024,0.157641,0.166856,0.971296,-0.849697,-1.24081,0.756797,-1.98019,-1.07747,-1.17771,-0.26227,-0.245612,-1.052,-0.992273,0.0436633,-2.99159,-0.991965,-2.19857,-0.554452,-1.29021,-1.06163,-0.399656,-1.40289,-0.2007,-0.911661,-0.780012,0.492139,0.799646,0.4528,0.610762,0.67882,0.222404,0.600134,0.460671,0.458382,0.274622,0.700504,0.775704,0.319342,0.878702,0.746015,0.764536,0.565194,0.561096,0.741159,0.729537,0.489086,0.952193,0.729476,0.900121,0.635168,0.784182,0.743001,0.598605,0.802642,0.550007,0.71334,0.685683
132.887,0.998335,0.0991739,6,63,0,-95.9434,-0.488686,-0.194922,-0.00453433,-0.47596,-0.29432,-0.115725,0.107504,0.577061,0.107156,-0.446766,1.07838,-0.0347107,0.166736,1.35937,0.528929,0.338173,1.16018,0.960293,-0.110669,-0.348461,0.902744,-1.03921,-0.00522584,-0.165645,0.109369,0.308216,-0.552579,-0.548358,0.799762,-0.602864,-0.328718,-0.790378,0.63451,0.178253,0.778209,1.11354,-0.16518,0.972111,-0.449499,0.38785,1.16027,0.4119,4.12409,4.64173,1.37216,6.73212,4.43356,1.68557,3.96565,2.29041,2.3976,1.65904,9.07656,5.60871,2.02962,2.85215,3.47066,2.65596,4.61037,5.01246,5.37671,2.10851,3.36298,1.75198,3.63709,5.31077,5.27311,2.8305,3.35264,5.41476,2.68213,3.34688,5.29529,4.15008,-0.311331,-0.977359,0.120297,-0.29788,-0.583882,0.549358,-0.129947,0.071385,0.345983,0.182072,-0.77735,-1.41447,0.214796,-1.85906,-1.30053,-1.12158,-0.438871,-0.295794,-1.26869,-1.29208,0.00389362,-1.5786,-1.24046,-2.43358,-0.612987,-0.869581,-0.912393,-0.660999,-1.8042,-0.458872,-1.94462,-0.795505,0.57721,0.726584,0.469962,0.573924,0.64196,0.366013,0.532441,0.482161,0.414357,0.454607,0.685109,0.80447,0.446507,0.865188,0.785925,0.754282,0.60799,0.573414,0.780519,0.784498,0.499027,0.829006,0.775645,0.919352,0.648622,0.704659,0.71349,0.659485,0.858659,0.612747,0.874859,0.689012
