# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim3_model
# start_datetime = 2022-02-17 16:27:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpo9Ajcw/standata-11543b347315.json
# init = 2 (Default)
# random
#   seed = 700132987
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,mu_a,sigma_a,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,mu_the,sigma_the,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0681975
# Diagonal elements of inverse mass matrix:
# 0.131933, 0.0931994, 0.0827377, 0.0865592, 0.00681544, 0.00544404, 0.132263, 0.17282, 0.164233, 0.151818, 0.156449, 0.156914, 0.169325, 0.155585, 0.16852, 0.157154, 0.155076, 0.167721, 0.158456, 0.159289, 0.16453, 0.168888, 0.16904, 0.148101, 0.161539, 0.153115, 0.172541, 0.147561, 0.152639, 0.168862, 0.156523, 0.175491, 0.152019, 0.153243, 0.142965, 0.162741, 0.151878, 0.163273, 0.161427, 0.163489, 0.0280377, 0.0267271, 0.170308, 0.156832, 0.124371, 0.142102, 0.165061, 0.0935703, 0.216795, 0.150436, 0.217157, 0.107614, 0.146347, 0.172721, 0.138855, 0.160929, 0.16279, 0.198914, 0.173972, 0.112425, 0.127727, 0.187227, 0.162224, 0.124864, 0.133824, 0.164985, 0.149687, 0.185939, 0.314976, 0.109017, 0.183966, 0.109926, 0.188205, 0.162624
123.805,0.722973,0.0681975,6,63,0,-100.619,0.187111,0.254766,-0.487766,-0.801921,-0.106427,0.017626,0.0586963,0.127968,0.0766956,-0.118893,-0.0557092,-0.013763,-0.0819032,0.00178674,0.132308,-0.0297473,-0.00852411,-0.0762298,-0.00486216,-0.0164328,0.108401,0.218519,0.0921069,0.116879,-0.0577469,0.089731,0.0628228,0.316462,0.0908684,-0.0016887,-0.175606,0.306791,-0.12096,0.148355,0.0801582,-0.214438,0.0735237,0.0300829,0.300101,0.159966,1.49828,0.741161,8.99097,14.4788,4.84469,6.04378,5.37758,1.31226,5.97089,5.19147,13.1455,1.25817,5.10413,3.70611,3.28414,4.36031,3.51981,4.25105,4.66796,4.46052,2.76764,8.82082,7.41916,1.83927,2.40475,4.34895,2.5837,3.0477,17.9788,1.08924,4.69551,3.1717,3.77205,12.2607,0.669999,0.41659,0.488034,0.5465,0.532051,0.60748,0.771042,0.666807,0.543479,0.550114,0.576051,0.709031,-0.103883,-0.0763657,-0.220404,-0.220412,-0.257641,-0.245642,-0.219672,0.0948113,-0.163822,-0.373126,-0.851833,-0.358964,-0.739367,-0.530895,-0.667385,-0.934989,-0.79379,-0.447903,-0.366759,-0.40062,0.338497,0.397333,0.380357,0.366677,0.370039,0.352634,0.316254,0.339212,0.367379,0.365838,0.359842,0.329813,0.525948,0.519082,0.554879,0.554881,0.564056,0.561104,0.554698,0.476315,0.540864,0.592214,0.700952,0.58879,0.676857,0.629692,0.660917,0.718086,0.688644,0.610141,0.590676,0.598837
120.519,0.809828,0.0681975,6,63,0,-82.2313,-0.126138,0.221114,-0.134919,-0.54781,-0.120321,0.136642,-0.14926,0.133436,-0.230554,-0.0441297,-0.0444071,-0.331921,-0.111854,-0.108436,-0.133492,-0.274636,0.00460786,-0.26191,-0.225149,-0.286134,0.00275131,-0.16252,-0.11456,-0.25898,-0.00374498,-0.0403756,0.0237741,0.147164,0.0114642,0.116906,-0.196602,-0.0188423,-0.397317,-0.215984,-0.0532792,-0.334393,-0.0671398,-0.0558371,0.104019,0.0330449,1.38101,0.812096,4.71168,4.08774,3.5747,6.02531,3.4208,0.949947,5.02633,4.00052,5.38239,2.0687,3.79594,5.87224,3.7499,10.865,2.0114,12.5979,7.96398,1.76837,2.34415,7.99568,8.69969,6.49803,1.78544,7.81154,4.85781,11.8929,20.2504,0.483518,12.3051,2.03799,9.04633,6.38958,0.502477,0.623532,0.632593,0.363756,0.644523,0.638602,0.6509,0.575124,0.690947,0.508474,0.493875,0.596311,0.191746,-0.0669091,-0.155591,-0.328026,0.199257,-0.340683,0.133392,0.208855,0.0358015,-0.107459,-0.706554,-0.283526,-0.8419,-0.61264,-0.760573,-0.777741,-0.909839,-0.341668,-0.278629,-0.34617,0.376959,0.348978,0.346923,0.410051,0.344225,0.345563,0.342787,0.360055,0.333822,0.375551,0.378981,0.355188,0.45221,0.516721,0.53882,0.581279,0.45035,0.584356,0.466701,0.447975,0.491051,0.526839,0.669639,0.57041,0.698865,0.648543,0.681478,0.685193,0.712967,0.584596,0.56921,0.585689
124.056,0.985963,0.0681975,6,63,0,-84.6755,-0.345087,0.00580955,-0.0502038,-0.635877,-0.0182695,0.176934,0.0281513,0.194142,0.3418,-0.153417,-0.0592898,0.397078,0.1757,-0.121436,0.14278,0.0347861,0.285335,-0.049551,0.00906015,0.196437,0.0615099,-0.0912789,-0.0464379,-0.18192,-0.195278,0.0372646,0.174444,-0.085148,0.0233051,0.122238,0.0145562,0.0854173,0.00401406,0.106993,-0.101564,0.0648695,-0.0326906,0.0280513,-0.0890862,0.195356,1.5437,0.804501,6.95324,11.5732,4.68759,5.99343,2.53763,1.51991,3.19244,6.53194,27.7106,1.8156,4.3363,7.0778,5.40077,10.9816,2.23554,10.156,6.35903,3.2744,2.62869,8.55634,5.74003,2.77609,1.72443,9.86671,4.4769,2.04468,26.0445,0.931895,6.38201,2.34569,5.78835,4.51711,0.72415,0.219008,0.314553,0.773757,0.561595,0.263042,0.532929,0.434861,0.660596,0.338471,0.389284,0.601474,0.203114,0.0361462,-0.0959471,-0.235683,-0.0515462,-0.363986,0.303996,-0.11906,-0.0162786,-0.111296,-0.629134,-0.208658,-0.629751,-0.363308,-0.931405,-0.412521,-0.883092,-0.581609,-0.55726,-0.428484,0.32648,0.445466,0.422004,0.315667,0.363178,0.434616,0.369834,0.392966,0.340606,0.416181,0.40389,0.354006,0.449395,0.490964,0.523968,0.55865,0.512884,0.590005,0.424581,0.52973,0.50407,0.527795,0.652293,0.551976,0.652433,0.589841,0.71736,0.601692,0.707462,0.641437,0.635818,0.605512
129.511,0.771569,0.0681975,6,63,0,-94.0397,-0.353154,0.155587,-0.354173,-0.805627,-0.0341785,0.175962,0.156116,0.147647,0.179094,0.00995815,0.172261,-0.0810538,0.0303198,0.122634,0.156477,-0.0478201,0.241733,-0.0225897,-0.0411974,0.293062,0.116124,0.200586,-0.00472549,0.192685,0.0336976,0.125051,0.180409,0.291715,0.170068,0.409982,0.0075373,0.0491179,-0.0446345,0.11605,-0.0023025,-0.15667,0.0959645,0.254447,0.337654,0.386286,1.4092,0.663124,4.98281,11.6329,2.91819,7.99766,5.54912,1.32481,3.37723,6.22163,15.0847,1.43618,4.16504,5.33687,4.87921,5.35379,3.31912,7.4509,5.62365,2.78935,2.90859,8.71822,9.32598,3.26065,1.8279,8.56728,3.20559,5.03324,13.7656,0.529198,13.7881,1.96813,6.81544,8.45938,0.711364,0.52366,0.688616,0.440606,0.569222,0.658884,0.703337,0.517608,0.76074,0.520291,0.487094,0.867774,-0.0519174,0.00601747,-0.375256,-0.185803,-0.130365,-0.593425,-0.0101807,-0.0496359,-0.181894,-0.149774,-0.830364,-0.444817,-0.863967,-0.55252,-1.03341,-0.838504,-0.973604,-0.519791,-0.326937,-0.414478,0.329298,0.371997,0.334341,0.391597,0.361416,0.34099,0.331073,0.373412,0.318486,0.372784,0.380578,0.295718,0.512976,0.498496,0.592728,0.546318,0.532545,0.644151,0.502545,0.512406,0.545349,0.537374,0.696432,0.609406,0.703489,0.63472,0.737576,0.69815,0.725837,0.627099,0.581014,0.602161
130.355,0.962551,0.0681975,6,63,0,-100.473,-0.27181,-0.00392805,-0.159736,-0.619044,-0.0773551,0.149302,0.0916562,0.102334,0.285193,0.146732,0.0303522,0.366506,0.18494,-0.0612013,0.241908,0.295925,0.0280848,0.142185,0.13149,0.0617967,0.0394942,-0.00271268,0.0487168,-0.0297131,0.16061,0.0029641,0.222314,-0.0146843,0.1989,0.087375,0.138317,0.0545097,0.0650992,0.0653991,0.010975,0.240872,0.232097,-0.00305411,0.052969,-0.00502682,1.38221,0.704165,7.2395,11.5733,3.27259,4.49534,4.18697,1.148,6.10657,5.95741,13.2124,0.94767,5.2335,2.99269,6.67036,5.70444,2.7056,7.30456,3.92364,2.98351,2.42653,6.90064,5.23269,3.2473,2.53025,7.8154,2.39574,5.42953,10.4782,0.692332,6.65722,2.69838,4.16336,9.4378,0.66548,0.484993,0.374617,0.722778,0.580235,0.328091,0.655215,0.751257,0.378353,0.546486,0.502771,0.538142,0.0816508,-0.0205928,-0.118465,-0.214906,0.211772,-0.453816,0.213439,-0.115826,0.0737441,-0.259127,-0.524195,-0.327409,-0.555387,-0.46282,-0.839862,-0.317365,-0.705794,-0.521478,-0.466245,-0.583487,0.33951,0.381074,0.407426,0.326782,0.358878,0.418705,0.341815,0.320547,0.406524,0.36668,0.37689,0.36862,0.479599,0.505148,0.529582,0.553521,0.447254,0.611546,0.446842,0.528924,0.481572,0.564422,0.628128,0.581129,0.635384,0.613683,0.698436,0.578682,0.669471,0.627493,0.614495,0.641869
113.137,0.916685,0.0681975,6,63,0,-87.6273,-0.768755,0.464107,0.122692,-0.332608,-0.0519792,0.18271,0.151005,0.300271,0.421447,-0.193792,-0.0863892,0.538535,0.281712,-0.440941,0.745876,0.196122,0.227,-0.273427,-0.185699,0.369651,0.0860871,-0.106452,-0.496463,-0.0946265,-0.0565067,0.244075,0.683857,0.022917,0.422805,0.729884,0.0863342,0.345905,-0.226553,-0.000684026,0.0291277,0.225583,0.450742,0.148312,0.15575,0.222388,1.64965,0.919383,4.4932,10.0927,5.10347,10.4759,3.73435,0.898315,8.67563,3.04761,15.7718,2.03979,5.49499,10.6112,5.00312,9.81091,7.71699,9.11347,7.16026,2.43251,3.73981,18.8019,10.3567,4.59793,1.85884,9.63139,5.33486,5.13666,58.1866,0.697563,10.9563,3.4399,9.55735,8.72235,0.887161,0.243682,0.355119,0.988112,0.757511,0.0308245,1.23378,0.712263,0.672543,0.208423,0.273963,0.899912,0.0054879,-0.227393,-0.800114,-0.41038,-0.131055,-0.418944,0.568967,-0.236358,0.147393,0.223352,-0.696822,-0.0839344,-0.981471,-0.611216,-0.962961,-0.405121,-0.599843,-0.538024,-0.448731,-0.504289,0.291696,0.439379,0.412142,0.271285,0.319187,0.492294,0.225521,0.329099,0.337928,0.448082,0.431934,0.289069,0.498628,0.556605,0.689999,0.601179,0.532717,0.603231,0.361475,0.558816,0.463218,0.444393,0.667483,0.520971,0.7274,0.648218,0.723714,0.599917,0.64562,0.631353,0.610338,0.623467
