# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim3_model
# start_datetime = 2022-03-02 19:31:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b4856160d.json
# init = 2 (Default)
# random
#   seed = 1803114061
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.104621
# Diagonal elements of inverse mass matrix:
# 0.15675, 0.127847, 0.119998, 0.129083, 0.0244671, 0.0117217, 0.139174, 0.030068, 0.267408, 0.253526, 0.293617, 0.249278, 0.236781, 0.302222, 0.264305, 0.274873, 0.29165, 0.294455, 0.243546, 0.296708, 0.246061, 0.232721, 0.332195, 0.265908, 0.233537, 0.221831, 0.244986, 0.252582, 0.234431, 0.299036, 0.243083, 0.331953, 0.235122, 0.261672, 0.293031, 0.288965, 0.28082, 0.26591, 0.239915, 0.243381, 0.00960098, 0.401885, 0.0620886, 0.155515, 0.0536288, 0.0918991, 0.0940606, 0.0777014, 0.0789674, 0.0693324, 0.0733081, 0.0757673, 0.146071, 0.0862349, 0.0785618, 0.0833808, 0.0674681, 0.0540888, 0.115025, 0.0628099, 0.0792843, 0.0801294, 0.0648622, 0.112316, 0.0954925, 0.0964706, 0.0676233, 0.0694063, 0.0720756, 0.0679442, 0.0968098, 0.0694513, 0.0700189, 0.0680665
138.645,0.804479,0.104621,6,63,0,-96.0533,-0.826071,0.0903778,0.222247,0.306109,-0.334542,0.222228,-0.609067,0.85205,-0.860676,-1.55083,-0.148204,0.123182,-0.394978,0.350645,0.332892,0.000902255,-0.091245,0.259777,-0.558043,-1.4978,1.23523,-0.846398,-1.66665,0.0455406,-0.56716,-0.108596,-1.00536,-1.3007,0.144713,-2.06564,-0.875915,-1.01228,-0.51605,-0.362834,-0.990819,-0.703465,-0.731374,-0.052218,-1.61267,-0.844119,1.32385,0.557208,5.45823,7.57125,2.78993,4.75375,4.16498,3.43127,4.96801,2.36073,1.67048,1.91987,22.2704,3.71938,4.16936,4.48212,4.32733,2.62915,6.25534,4.54205,3.1662,2.51593,4.38588,2.82739,4.49476,2.83209,4.03691,5.17989,6.00697,5.47227,1.64321,2.66349,4.70224,4.24888,-0.233709,-1.40506,-0.134582,-0.134615,-0.853072,0.886353,-0.374689,0.44653,0.085936,0.477847,-0.920727,-1.60685,1.11761,-1.11395,-2.12087,-0.730469,-0.879755,-0.130813,-1.50878,-1.12795,-0.095581,-2.51038,-0.98198,-1.94976,-1.00375,-0.977354,-0.920873,-0.728928,-1.31033,-0.0409422,-2.02807,-0.905143,0.558163,0.802985,0.533595,0.533603,0.701211,0.291863,0.592592,0.390186,0.478529,0.382761,0.71519,0.832973,0.246456,0.752865,0.892916,0.674908,0.706771,0.532657,0.81888,0.75546,0.523877,0.924866,0.727501,0.875421,0.731795,0.726583,0.71522,0.67457,0.787569,0.510234,0.883713,0.712005
138.585,0.933895,0.104621,5,63,0,-104.245,-0.702914,-0.151566,-0.22629,-0.142922,-0.58892,0.163183,-0.136046,0.479371,-0.902395,-1.43072,0.0361404,-0.321955,-0.247618,0.429499,0.335688,-0.138251,-0.130293,0.0929162,0.0508553,-0.893627,1.24377,-0.206586,-0.00976561,0.539009,-0.320216,0.151719,-0.593242,-0.734935,0.381474,-1.04206,-1.07733,-0.0643682,-0.257062,-0.0478725,-0.105002,0.339294,-0.017883,0.531505,-0.423836,-0.322495,1.25908,0.414189,3.14658,5.6035,2.15464,5.08969,7.51736,3.61447,4.66997,2.41618,2.53952,2.26203,2.22503,5.91203,1.88598,3.68281,2.0812,3.70547,6.71036,4.43234,4.40578,1.80428,1.68376,3.42994,7.116,3.05583,5.93403,2.96273,4.49641,4.40328,3.57618,2.42477,2.14991,3.90802,-0.0421494,-1.18954,-0.183329,-0.335158,-0.841441,0.901074,-0.469306,0.630792,-0.0618385,0.233352,-0.375012,-1.32904,0.714411,-0.999874,-1.35968,-0.921329,-0.96477,-0.209683,-1.57371,-0.981141,-0.363827,-2.14726,-1.42257,-1.87322,-1.27413,-1.06016,-0.824466,-0.548125,-1.42362,-0.0632182,-1.54165,-0.816471,0.510536,0.766658,0.545704,0.583014,0.698769,0.28883,0.615219,0.347331,0.515455,0.441925,0.59267,0.790682,0.328625,0.731034,0.795708,0.715313,0.724076,0.55223,0.828311,0.727335,0.589966,0.895413,0.805742,0.866831,0.781448,0.742722,0.695183,0.633701,0.805905,0.515799,0.823704,0.693487
129.035,0.920801,0.104621,6,63,0,-96.2594,-0.0313189,0.041818,-0.138878,-0.368789,-0.0725783,-0.0309321,-0.401651,0.85422,-0.425038,-1.3119,0.0371677,-0.426148,-0.640395,0.629187,-0.389468,0.354444,-0.209435,0.430203,-0.742185,-0.913483,1.64811,-0.746671,-1.46153,-0.371974,-0.49065,0.193032,-1.01139,-1.46523,0.305359,-1.27161,-0.676661,-1.65628,-0.689153,-0.703503,-0.122285,0.0624677,-0.368579,0.31377,-1.59874,-0.251327,1.06878,0.496066,3.90468,3.96225,3.58001,3.97004,2.35943,3.28028,3.62898,2.26686,1.93692,2.69615,13.4303,2.11534,4.30344,3.35159,3.86924,2.5435,4.59391,3.24732,2.63619,2.45177,7.12923,1.86298,2.37148,2.78219,2.4655,4.52062,2.78465,4.55274,1.49284,2.29991,3.08975,3.98076,-0.356344,-1.26846,-0.0272029,-0.31197,-0.648815,0.598937,-0.37287,0.46294,-0.238322,0.410187,-0.729906,-1.00447,1.4251,-1.0022,-1.8367,-0.658671,-0.67681,-0.00927546,-1.23894,-1.70438,0.0557401,-1.56559,-1.06612,-2.22612,-1.16141,-1.12413,-0.71099,-0.546936,-0.939774,-0.208519,-2.13445,-0.710157,0.588155,0.780478,0.5068,0.577366,0.656743,0.354587,0.592152,0.386289,0.5593,0.398867,0.674785,0.731936,0.193863,0.731492,0.862558,0.658962,0.663026,0.502319,0.77538,0.846106,0.486069,0.827154,0.743858,0.90257,0.761588,0.754753,0.67062,0.633424,0.719054,0.551942,0.894206,0.670436
123.584,0.953772,0.104621,6,63,0,-84.2,-0.666176,-0.117816,-0.184274,-0.199512,-0.48882,0.209654,0.0785608,0.720246,-0.969501,-1.45961,0.131774,-0.431533,-0.440485,0.0643611,0.0724058,-0.253009,-0.578688,0.190884,0.110409,-0.916663,1.30364,-0.486025,-0.549217,0.25186,-0.230351,0.0314929,-0.658455,-1.08825,0.11238,-1.32561,-0.861107,-1.04761,-0.367593,-0.0796413,-0.0135634,0.406964,-0.368359,0.441235,-0.642425,-0.210935,1.18962,0.519947,3.2167,5.35611,2.2903,4.58961,7.81139,3.22659,4.04445,2.48982,2.33778,2.64528,3.73979,6.20075,1.58315,3.24247,1.74377,3.71576,4.82839,3.57227,4.09527,1.66217,1.23763,5.82673,6.79742,3.45303,5.64152,2.75738,5.13337,3.06189,3.82484,2.21525,1.76075,3.62451,-0.107601,-1.18576,0.0974803,-0.517241,-0.933917,0.677861,-0.670511,0.458983,-0.373996,0.455322,-0.243615,-1.13019,0.933487,-1.07524,-1.52624,-0.965237,-0.770325,-0.19925,-1.47724,-1.14917,-0.437009,-2.17373,-1.23708,-2.63842,-1.3012,-1.08349,-0.477529,-0.19641,-1.55036,0.00660015,-1.58545,-0.636154,0.526874,0.765982,0.475649,0.626502,0.717869,0.336739,0.661618,0.387227,0.592424,0.388096,0.560604,0.755875,0.282218,0.745593,0.821456,0.724169,0.683591,0.549648,0.814156,0.759359,0.607546,0.897865,0.775055,0.933294,0.786037,0.747154,0.617164,0.548945,0.824966,0.49835,0.829974,0.653884
121.987,0.949367,0.104621,5,63,0,-89.2415,-0.924097,0.15349,-0.0212828,-0.134927,-0.431155,0.245102,-0.43293,0.782711,-0.857891,-1.22271,-0.135263,0.376029,-0.456727,0.342721,0.512998,-0.743868,-0.197257,0.241973,0.0256016,-0.202767,1.19499,-0.648176,-1.15786,-0.214092,0.263656,0.46219,-0.106903,-1.98719,-0.0838988,-0.710891,-0.343352,-1.00533,-0.0761624,-0.0894074,-0.0911025,0.149947,-0.0236073,0.48858,-0.631493,-0.289238,1.15032,0.34842,5.08207,4.72867,3.02528,4.13496,2.03228,3.68472,4.61927,2.48369,2.08312,2.4703,8.20423,2.20193,5.79126,3.39671,3.92508,2.76447,5.07934,1.9492,2.62197,3.09108,5.30253,2.26398,3.24583,4.02477,3.24469,4.40805,3.59882,6.63824,1.6896,2.99957,2.98293,4.70995,0.00377346,-0.9399,-0.0640697,0.221331,-0.91087,1.04547,-0.221379,-0.0746071,0.0847281,0.576657,-0.305579,-0.289668,0.793606,-1.24278,-2.03435,-1.42269,-0.347694,0.183772,-0.964178,-2.05564,-0.643373,-1.53386,-0.910251,-2.64376,-1.13491,-1.2703,-0.555073,-0.436986,-1.24127,-0.00970017,-1.63837,-0.839394,0.499057,0.719079,0.516012,0.444892,0.713178,0.260096,0.55512,0.518643,0.478831,0.359702,0.575806,0.571915,0.311395,0.776048,0.884357,0.805759,0.586058,0.454186,0.723957,0.886516,0.655516,0.82257,0.713052,0.933625,0.756744,0.780793,0.635312,0.607541,0.775785,0.502425,0.837312,0.698338
130.502,0.989472,0.104621,6,63,0,-82.522,0.452772,0.111541,-0.0983453,-0.15168,-0.242427,-0.040715,-1.29133,0.710164,-1.23098,-2.31361,-0.823931,-0.978255,-1.56473,-0.0235274,-0.727171,-1.25202,-0.451549,-0.122399,-1.51357,-1.78694,0.0400556,-1.05302,-1.23763,-0.628536,-1.07856,-0.0515096,-1.30219,-1.81137,-0.919502,-2.93903,-1.12101,-2.00911,-1.24844,-1.17974,-0.8613,-0.677779,-1.40085,-0.193418,-1.42897,-1.36926,1.29979,0.494057,3.39824,7.37946,2.99153,5.85395,11.3778,3.24487,4.35995,1.97885,1.8198,2.1063,6.52423,6.19956,1.77575,3.71571,1.89955,3.2402,6.41367,6.7977,5.80755,1.18425,1.98664,3.46718,6.87687,2.49118,6.09982,3.33099,4.90716,3.07867,2.40659,2.23186,2.22155,4.07071,-0.284475,-1.51405,-0.321885,-0.0676335,-1.001,0.655096,-0.142487,-0.235166,0.16902,0.527801,-0.880705,-1.37379,0.3433,-0.858426,-1.38005,-0.600637,-0.714843,0.320873,-1.07675,-1.49946,-0.70515,-2.87283,-0.721736,-2.21233,-1.12572,-0.947172,-0.939743,-0.82536,-1.54602,-0.112623,-1.45562,-1.1391,0.570643,0.81966,0.579783,0.516902,0.731256,0.341842,0.535562,0.558522,0.457845,0.37103,0.706968,0.797991,0.415008,0.702332,0.798999,0.645802,0.67147,0.420463,0.745879,0.817493,0.669329,0.946487,0.672989,0.901352,0.755049,0.720546,0.719048,0.695373,0.824338,0.528126,0.810861,0.757515
