# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim3_model
# start_datetime = 2022-02-18 19:03:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c6a5f64ae.json
# init = 2 (Default)
# random
#   seed = 1141623802
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim3-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim3_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bA,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0834969
# Diagonal elements of inverse mass matrix:
# 0.156427, 0.116003, 0.0932595, 0.0917322, 0.0201421, 0.0135218, 0.15191, 0.0272021, 0.246575, 0.229901, 0.254939, 0.220191, 0.227338, 0.19945, 0.229787, 0.241406, 0.244309, 0.267876, 0.231171, 0.256835, 0.245548, 0.263071, 0.236104, 0.22852, 0.257018, 0.204606, 0.27061, 0.241076, 0.192606, 0.258882, 0.229043, 0.368086, 0.249317, 0.275866, 0.233373, 0.268057, 0.265314, 0.211874, 0.254333, 0.207968, 0.0209969, 0.0910605, 0.0999671, 0.0956757, 0.119678, 0.237081, 0.100118, 0.290961, 0.118908, 0.114853, 0.159966, 0.122781, 0.10017, 0.0742758, 0.132842, 0.105895, 0.138285, 0.149875, 0.105768, 0.17066, 0.1182, 0.11455, 0.18646, 0.14446, 0.150456, 0.143086, 0.158564, 0.168294, 0.114571, 0.130001, 0.150114, 0.577845, 0.137665, 0.153414
111.272,0.994373,0.0834969,6,63,0,-69.0637,-0.797348,0.497118,-0.182701,0.143507,-0.213508,0.0995859,-0.198892,0.516521,0.237862,-0.561618,0.784581,-0.748832,-0.775046,0.505653,-0.8668,0.0710301,0.490198,0.2627,-0.03713,-0.104742,0.3435,0.247986,0.260341,-0.116605,-0.467996,-0.0122595,0.283445,0.0816391,-0.277971,-0.452168,-1.31701,-1.35803,-1.11605,-0.706978,0.0656556,0.459528,-0.215523,-0.4235,0.602113,-0.216667,1.63073,1.0487,2.09386,3.48483,3.15404,10.6637,3.50824,14.8461,3.12872,2.73867,2.71393,2.1924,3.14272,1.5621,5.54405,3.7471,6.08786,8.47171,2.44671,6.49708,4.58835,4.14884,10.5307,1.8623,6.44376,3.62139,8.12376,6.15747,3.41814,5.22426,5.92521,111.822,2.47291,3.55878,0.498316,-0.417158,0.945611,-0.55466,-0.473165,0.790964,-0.515206,0.538619,0.667799,0.589437,0.198469,0.420844,-0.266588,-0.52781,-0.615041,-1.0417,-1.05323,-1.06196,-0.467495,-0.611465,-1.03736,-1.50999,-1.96561,-1.85717,-1.64865,-1.29742,-0.790238,-0.213765,-1.31169,-0.674401,0.0365302,-0.633275,0.377936,0.602803,0.279768,0.635216,0.616133,0.311962,0.626026,0.368509,0.33899,0.356764,0.450545,0.396315,0.566255,0.628972,0.64909,0.739178,0.741394,0.743064,0.614791,0.648275,0.73834,0.81906,0.877139,0.864967,0.838708,0.7854,0.687882,0.553239,0.787796,0.662488,0.490868,0.653232
99.9161,1,0.0834969,6,63,0,-71.6356,0.212293,0.359985,-0.84182,-1.13244,-0.0604963,-0.0754357,0.0214735,0.735321,0.00886152,-0.817363,1.08544,-0.933146,-1.03778,0.200178,-1.54783,0.469258,0.704202,1.40083,-0.676007,-0.0498966,-0.263594,0.0604633,0.429773,-0.433204,-0.173581,0.00128033,-0.174028,-0.191538,-0.103875,-0.647654,-0.485081,-0.151617,-0.307454,-0.0184094,0.445968,0.745075,-0.176171,0.501624,0.397689,-0.0281839,1.79404,0.478658,1.74555,2.78328,5.48972,7.25945,2.6545,3.37704,3.27447,4.9914,3.3438,6.44712,2.84503,2.66191,6.96494,3.94182,5.08116,9.21517,5.35749,6.17091,5.17891,2.40833,9.44071,3.19856,6.25247,7.1801,3.51154,5.41196,7.17087,10.7557,9.4637,46.8466,7.26618,13.4328,0.325395,-0.533696,1.3738,-0.635393,-0.709507,0.523755,-1.20547,0.844482,0.99726,1.73615,-0.366516,0.341761,-1.09925,-0.822149,-0.377403,-1.25447,-1.0022,-0.647982,-1.0496,-0.947068,-0.878185,-1.40287,-1.61105,-1.44255,-1.40056,-1.23155,-0.635086,-0.491546,-1.32531,-0.511662,-0.808413,-1.08842,0.419361,0.630345,0.202006,0.653711,0.670292,0.371975,0.769496,0.300592,0.269481,0.149803,0.590617,0.415382,0.75012,0.694692,0.593247,0.778072,0.731491,0.656556,0.740698,0.720525,0.706446,0.802639,0.833557,0.808849,0.802272,0.77409,0.653642,0.620471,0.790063,0.625196,0.691771,0.748084
92.8531,0.876151,0.0834969,6,63,0,-51.7094,-0.196703,0.814018,-0.0732465,-1.04649,0.255133,0.0588905,-0.357807,0.642926,-0.559604,-1.19288,-0.735508,-1.4828,-0.178991,0.288019,-0.570348,-0.56385,0.278792,0.759454,-0.446939,-0.371066,-0.508673,0.0658822,-0.602073,-1.03787,-0.198069,-0.609492,-0.568843,-0.480512,-1.12186,-1.94309,-0.930247,-1.00708,-0.474984,-0.960207,0.331569,0.193716,-0.404765,0.720241,0.296929,0.217129,1.49424,0.838913,2.08441,2.02473,2.16747,34.2495,3.4858,74.007,4.21527,3.25182,11.0016,4.66994,6.98045,1.23055,13.229,3.9566,3.75297,6.87914,2.40979,7.27367,9.36989,9.74679,7.78733,4.56939,8.54103,4.56668,5.12512,15.5306,3.52162,8.42348,6.67684,28.1035,6.85081,7.70594,0.0992814,-0.395381,0.0421851,-0.744704,0.430391,0.917202,-0.0203696,-0.152481,1.03668,1.33913,0.241649,-0.0290012,-0.687035,0.0855337,-0.641312,-1.01771,-0.406132,-0.796214,-0.578893,-0.737566,-1.29971,-1.94222,-1.82393,-1.72358,-1.50727,-1.74549,-0.492291,-0.492562,-0.941506,-0.648669,-0.518057,-0.953768,0.4752,0.597577,0.489455,0.678024,0.394033,0.285528,0.505092,0.538047,0.26179,0.207652,0.43988,0.50725,0.665307,0.47863,0.65505,0.734526,0.60016,0.689164,0.640813,0.676463,0.785786,0.874595,0.861036,0.848589,0.818656,0.851383,0.620646,0.62071,0.719404,0.656711,0.626693,0.721872
101.489,0.981394,0.0834969,6,63,0,-51.849,0.296375,0.703192,-0.181718,-1.15576,0.163362,-0.0935677,-0.594201,0.59172,-0.182781,-1.04421,0.166896,-1.23291,-1.06471,0.326423,-1.62957,0.424581,0.669518,0.12822,-0.539599,0.102682,-0.510321,-0.629539,-0.421697,-0.752911,-0.163545,-0.747933,-0.456988,-0.693343,-0.65904,-1.26483,-0.88492,-1.27773,-0.46683,-0.817678,0.527232,0.382845,-0.911753,0.579045,0.486731,-0.0743316,1.67889,0.811586,1.55975,2.80409,1.66518,6.16795,2.09772,9.47978,2.52245,3.51714,6.77703,2.51869,3.76411,1.73372,12.0512,2.98458,4.44772,6.28551,4.34488,8.06487,4.19011,4.2589,4.91511,3.09088,7.43291,9.48378,2.64627,15.2514,1.32333,5.72744,9.69936,59.7641,3.40272,7.10032,0.318302,-0.454372,0.744051,-0.68111,-0.595328,0.808488,-1.19822,0.767178,1.23399,0.578588,-0.0194984,0.400903,-0.730847,-0.723276,-0.421866,-0.715044,-0.403089,-0.579986,-0.569743,-0.83298,-0.747961,-1.10804,-1.78306,-2.32496,-1.45372,-1.77768,-0.194924,-0.513768,-1.45007,-0.623383,-0.492294,-1.14997,0.42109,0.611678,0.322119,0.663986,0.644587,0.308213,0.768208,0.31709,0.225483,0.359258,0.504874,0.401095,0.674991,0.673328,0.60393,0.671515,0.59943,0.641064,0.638704,0.696985,0.678734,0.751763,0.856074,0.910923,0.81057,0.855411,0.548577,0.625689,0.810009,0.650988,0.620647,0.759506
112.508,0.964858,0.0834969,6,63,0,-70.8437,-0.0270538,0.81656,-0.42506,-0.200509,-0.147021,-0.0376305,-0.359599,0.514678,-0.708144,-1.42944,0.133788,-1.19,-0.594262,0.192905,-0.847811,-0.90698,0.229605,0.539184,-1.08971,-0.791452,-0.498737,0.0550159,-0.245609,-0.545523,-0.345253,-0.278067,-0.0136186,-0.535587,-0.328839,-1.16084,-1.28955,-0.661411,-1.6735,-0.426218,0.0831452,0.375307,-0.443286,-0.278162,-0.0126493,-0.696536,1.46168,0.62735,3.33584,5.65674,6.54498,9.86272,3.89763,20.1026,3.68938,2.8811,2.8814,7.19517,3.73817,1.77448,3.37406,4.62127,6.79157,4.98155,5.20983,9.40587,4.16617,3.854,10.6729,3.26181,5.72224,2.18785,12.5028,4.28088,7.68376,10.3481,7.69547,11.7762,6.57756,7.65726,0.0426277,-0.758545,0.816097,-0.484875,0.185037,0.960793,-0.0342814,-0.0135764,0.923325,1.3356,-0.356052,0.141889,-1.01471,-0.575065,-0.838059,-1.1722,-0.844113,-0.77814,-0.626584,-1.00252,-0.841415,-1.77272,-1.72591,-1.20727,-2.02999,-0.928738,-0.389755,-0.184265,-1.08164,-0.440672,-0.498053,-0.973151,0.489345,0.681038,0.306593,0.618898,0.453872,0.276719,0.50857,0.503394,0.284281,0.208235,0.588084,0.464587,0.733941,0.639931,0.698056,0.763543,0.699331,0.685279,0.651714,0.731554,0.698763,0.854795,0.848889,0.769815,0.88391,0.716819,0.596224,0.545936,0.746804,0.608419,0.622002,0.725747
111.575,0.61298,0.0834969,6,63,0,-69.7301,-0.360848,0.170832,-0.180916,-0.427228,-0.100379,0.107485,-0.366079,0.689856,-0.291346,-0.737344,0.3144,-1.08547,-0.611844,0.324016,-1.34543,-0.1482,0.50007,0.718987,-0.347728,0.122992,-0.564716,-0.576727,-0.115157,-0.387493,-1.16612,-0.452822,-0.395226,-0.37081,-0.73566,-1.03181,-1.20621,-1.1763,-0.831926,-1.72747,-0.060081,-0.189785,-0.207081,-0.104115,0.0978723,-0.672236,1.23362,0.771046,1.69571,3.35752,3.54986,23.7822,2.86165,13.2094,3.15141,2.43964,7.73817,1.89936,2.1843,1.54075,21.4072,4.19431,4.99297,5.31453,5.44692,8.44098,5.75752,2.99084,3.98543,3.77396,8.27855,5.58084,3.507,4.96269,3.65412,7.97792,7.57608,22.811,6.12511,5.58264,0.024903,-0.475629,0.583906,-0.800379,-0.276118,0.651951,-0.986327,0.265432,0.777366,1.0664,-0.0431641,0.563891,-0.750549,-0.840466,-0.486382,-0.78209,-1.34027,-1.02733,-0.64728,-0.656338,-1.05235,-1.54947,-1.87049,-1.64898,-1.44167,-2.30374,-0.882486,-0.80501,-1.14245,-0.581421,-0.466713,-1.22745,0.493775,0.616715,0.358034,0.690056,0.568594,0.34255,0.728362,0.434029,0.314888,0.256089,0.510789,0.362648,0.679298,0.698563,0.619254,0.68613,0.792534,0.736398,0.656397,0.658437,0.741226,0.824837,0.866515,0.838754,0.808714,0.909187,0.707337,0.691045,0.758129,0.641394,0.614606,0.773372
