# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim4_model
# start_datetime = 2022-02-21 13:32:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9cbf37b54.json
# init = 2 (Default)
# random
#   seed = 898866816
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0534299
# Diagonal elements of inverse mass matrix:
# 0.126264, 0.124647, 0.14659, 0.146182, 0.131208, 0.142329, 0.144394, 0.143406, 0.138543, 0.146386, 0.139085, 0.135355, 0.151314, 0.144084, 0.141617, 0.142643, 0.13615, 0.135175, 0.137327, 0.134355, 0.136582, 0.138649, 0.141077, 0.147969, 0.144209, 0.136634, 0.156147, 0.132832, 0.12741, 0.139853, 0.138031, 0.134502, 0.153902, 0.143808, 0.144914, 0.0357685, 0.0249124, 0.165516, 0.133852, 0.240968, 0.148384, 0.190878, 0.195628, 0.175671, 0.180665, 0.221758, 0.100403, 0.155846, 0.197915, 0.128502, 0.258902, 0.163807, 0.220352, 0.167784, 0.175694, 0.252694, 0.16269, 0.174763, 0.151531, 0.188689, 0.126377, 0.384591, 0.202814, 0.155141, 0.359732, 0.156384, 0.137115, 0.0930407, 0.155898
167.939,0.94176,0.0534299,6,63,0,-137.873,-0.27836,-0.363202,0.17158,-0.461578,-0.354821,-0.507127,-0.371991,-0.473043,-0.108689,-0.23766,-0.593712,-0.486077,-0.682205,-0.313469,-0.183361,-0.0969072,-0.540817,-0.736749,-0.526865,-0.367633,-0.518118,-0.612475,-0.307273,-0.346318,-0.000912179,-0.294788,-0.374373,-0.540155,-0.23963,-0.217277,-0.601683,-0.13836,-0.165063,-0.110828,-0.514974,2.21105,0.914038,10.8674,13.4416,33.8866,11.5115,15.3327,29.7806,9.9021,20.2339,13.3679,1.13423,5.00886,9.90235,5.34931,44.0627,9.64646,40.8984,6.43128,6.84687,45.7903,8.81058,7.5704,11.2549,6.23502,1.30901,39.0841,14.0307,11.3179,53.7389,17.5401,3.62095,1.6384,5.91274,-0.739938,-0.633181,-0.785488,-0.650352,-0.751404,-0.387049,-0.51602,-0.872073,-0.764437,-0.960566,-0.591829,-0.461721,-0.375268,-0.819177,-1.01511,-0.805225,-0.645993,-0.796479,-0.890835,-0.585634,-0.624678,-0.279273,-0.573148,-0.652734,-0.818515,-0.517991,-0.495637,-0.880043,-0.41672,-0.443423,-0.389188,-0.793334,0.676982,0.65321,0.686862,0.65709,0.679484,0.595572,0.626217,0.705177,0.682316,0.723235,0.643785,0.613422,0.592731,0.694062,0.734019,0.691091,0.656107,0.689221,0.709062,0.642363,0.651282,0.569368,0.639489,0.657626,0.693921,0.626678,0.621433,0.706831,0.602698,0.609074,0.596087,0.688547
174.33,0.991152,0.0534299,6,63,0,-139.309,-0.275961,-0.351972,0.221668,-0.415852,-0.500199,-0.544703,-0.448192,-0.223722,-0.154047,-0.385517,-0.410105,-0.418575,0.126959,-0.218899,-0.547205,-0.0668784,-0.556906,-0.190536,-0.574176,-0.263657,-0.368254,-0.654161,-0.188678,-0.391982,-0.334304,-0.550072,-0.00208567,-0.539537,-0.241828,-0.332073,-0.512596,-0.299967,-0.320585,-0.38877,-0.0521369,2.4273,1.16209,11.4038,14.9604,35.8487,5.34756,7.83401,11.5125,22.533,12.1017,16.0678,1.17174,11.3203,14.4043,8.96105,82.1355,16.3868,44.9588,7.17317,8.05881,26.1431,5.96756,13.8118,7.14714,31.3132,1.96979,116.698,17.5055,6.23653,98.8299,4.81727,5.08771,1.64911,3.25195,-0.691813,-0.77616,-0.820664,-0.724153,-0.499683,-0.430008,-0.661478,-0.686066,-0.694536,-0.149002,-0.49486,-0.823166,-0.342839,-0.832867,-0.466497,-0.850137,-0.539618,-0.644215,-0.930122,-0.464639,-0.667943,-0.610265,-0.826033,-0.278047,-0.815498,-0.517789,-0.608034,-0.788557,-0.575928,-0.596546,-0.664731,-0.328098,0.66637,0.684852,0.694377,0.673521,0.622385,0.605875,0.659592,0.665091,0.666975,0.537182,0.621251,0.694908,0.58488,0.696961,0.614554,0.700596,0.631724,0.655706,0.7171,0.614114,0.661042,0.648001,0.695515,0.569067,0.69328,0.626631,0.647492,0.687521,0.64013,0.644866,0.660322,0.581296
173.196,0.986072,0.0534299,6,63,0,-150.099,-0.263937,-0.34832,0.181739,-0.118197,-0.273055,-0.413214,-0.236172,-0.26462,0.0140754,-0.393408,-0.328849,-0.446299,-0.218817,-0.215563,-0.565899,-0.207119,-0.449404,-0.43262,-0.615174,-0.325501,-0.212011,-0.69576,-0.536321,-0.265708,-0.0523549,-0.456735,-0.0856406,-0.669409,-0.533135,-0.506286,-0.730128,-0.0991782,0.0243767,-0.348344,-0.175216,2.32445,1.16244,13.2128,15.7808,45.0018,4.69032,8.14312,11.1225,19.0224,13.8179,16.8674,1.10189,11.35,15.8939,9.85784,69.812,19.1651,38.0046,7.25798,7.78854,27.0889,7.40807,15.4926,8.58798,26.2033,1.8843,81.85,22.6921,6.9316,74.7943,4.0779,3.68455,1.63999,3.34986,-0.382134,-0.536992,-0.677151,-0.500109,-0.528557,-0.249862,-0.657345,-0.592786,-0.710236,-0.482754,-0.4795,-0.829836,-0.471056,-0.713341,-0.696557,-0.879111,-0.589438,-0.475948,-0.959697,-0.800258,-0.529645,-0.316292,-0.720672,-0.349578,-0.933346,-0.797072,-0.770223,-0.994065,-0.363115,-0.23956,-0.612281,-0.439153,0.594388,0.631112,0.663102,0.622485,0.629146,0.562142,0.658664,0.644004,0.670453,0.618398,0.61763,0.69632,0.615634,0.671139,0.667424,0.706638,0.643236,0.616791,0.723061,0.69003,0.6294,0.57842,0.672755,0.586515,0.717754,0.689348,0.683569,0.72989,0.589794,0.559605,0.648461,0.608057
170.217,0.855028,0.0534299,6,63,0,-134.826,-0.336265,-0.336588,0.178181,-0.323108,-0.448536,-0.396095,-0.469882,-0.311977,-0.401666,-0.304928,-0.551185,-0.33525,0.0425578,-0.229436,-0.605793,-0.0925385,-0.554205,-0.357024,-0.56206,-0.203613,-0.41249,-0.659079,-0.0945003,-0.242729,-0.354553,-0.269167,-0.241542,-0.588879,-0.229708,-0.228177,-0.636948,-0.498606,-0.296976,0.0283526,-0.157038,2.35779,1.0423,10.2185,8.33727,33.2601,5.09495,13.573,12.5983,14.6212,8.65426,22.5752,2.4929,7.19476,11.7298,9.82088,82.744,15.5635,56.7045,11.1684,6.86809,29.2192,5.49835,32.569,4.39949,15.7841,1.51599,141.647,10.1444,4.69033,22.2179,5.78154,5.34513,2.97995,3.17676,-0.659374,-0.784801,-0.732361,-0.806148,-0.648242,-0.737931,-0.641193,-0.88745,-0.671515,-0.293708,-0.565701,-0.942059,-0.428804,-0.89047,-0.69329,-0.898325,-0.539878,-0.748756,-0.995344,-0.430766,-0.578994,-0.690819,-0.605433,-0.577807,-0.925144,-0.565974,-0.564443,-0.973214,-0.834872,-0.633242,-0.307913,-0.493303,0.65912,0.686714,0.675323,0.691288,0.656614,0.676543,0.655023,0.708364,0.661842,0.572904,0.637771,0.719515,0.605588,0.708987,0.666698,0.710605,0.631784,0.678907,0.730142,0.606056,0.640836,0.666149,0.646898,0.640563,0.716089,0.637834,0.63748,0.72576,0.697384,0.653224,0.576376,0.620884
181.58,0.989521,0.0534299,6,63,0,-142.215,-0.305147,-0.366656,0.122777,-0.331353,-0.404589,-0.43475,-0.368357,-0.268653,-0.264835,-0.420472,-0.55497,-0.366567,-0.462178,-0.463256,-0.308538,-0.354761,-0.303745,-0.313487,-0.537959,-0.399653,-0.229253,-0.555155,-0.341871,-0.287672,-0.263373,-0.481721,-0.239152,-0.448366,-0.423123,-0.462256,-0.705172,-0.321765,-0.24362,-0.421673,-0.409629,1.89304,1.04493,21.3887,9.88503,33.0426,8.29495,15.6812,10.7255,9.38189,9.26124,21.4971,1.20136,15.4662,11.8696,5.98428,62.424,9.50691,18.2593,10.24,6.38483,22.002,5.6776,28.0747,6.90604,8.80552,0.831406,72.2459,10.2313,3.8794,89.1801,7.93941,4.21133,1.85119,5.38793,-0.636501,-0.709736,-0.739898,-0.673504,-0.5738,-0.569983,-0.725619,-0.860117,-0.671714,-0.767325,-0.768403,-0.613685,-0.659908,-0.608892,-0.618635,-0.843107,-0.704801,-0.5344,-0.860303,-0.647018,-0.59282,-0.568521,-0.786869,-0.544299,-0.753513,-0.728271,-0.767404,-1.01032,-0.626913,-0.548767,-0.72682,-0.714776,0.653962,0.670343,0.676973,0.662287,0.63964,0.638759,0.673843,0.702685,0.661887,0.682942,0.683175,0.648781,0.65924,0.647688,0.649908,0.699119,0.669251,0.630509,0.702724,0.656338,0.644012,0.638422,0.687159,0.632812,0.679944,0.674426,0.682959,0.733083,0.651789,0.63385,0.674107,0.671456
174.956,0.955373,0.0534299,6,63,0,-146.405,-0.276295,-0.378528,0.148341,-0.377479,-0.350716,-0.500532,-0.33731,-0.239016,-0.23308,-0.36815,-0.540337,-0.408706,-0.18451,-0.410151,-0.296248,-0.141387,-0.716707,-0.33937,-0.576649,-0.331922,-0.215978,-0.560974,-0.295887,-0.259422,-0.170338,-0.490107,-0.0929293,-0.503015,-0.358322,-0.486947,-0.726421,-0.244046,-0.104556,-0.28425,-0.308517,2.06579,1.25631,7.40106,12.0397,16.644,5.13724,16.8625,7.86245,12.2216,7.00761,17.8331,1.35764,4.06717,10.3541,9.98638,23.7126,12.7448,72.9018,12.5451,17.7972,16.254,7.25626,5.66773,10.006,12.5888,1.1948,64.3735,31.2366,17.2391,44.657,3.37436,4.59401,1.40122,4.86412,-0.653774,-0.627011,-0.776827,-0.613605,-0.515311,-0.509374,-0.644445,-0.816632,-0.685001,-0.460805,-0.686445,-0.572543,-0.417682,-0.993002,-0.615664,-0.852943,-0.608216,-0.492273,-0.837269,-0.572181,-0.535717,-0.446633,-0.766402,-0.369224,-0.77931,-0.634617,-0.763242,-1.00272,-0.520341,-0.38085,-0.560545,-0.584812,0.65786,0.651811,0.684996,0.648763,0.626051,0.62466,0.655758,0.693521,0.664854,0.613205,0.665176,0.63935,0.602928,0.72968,0.649232,0.701184,0.647534,0.620642,0.69789,0.639266,0.630816,0.609838,0.682742,0.591271,0.685531,0.653536,0.682057,0.731592,0.627228,0.594078,0.636579,0.642174
