# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim4_model
# start_datetime = 2022-02-17 16:28:34 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpo9Ajcw/standata-11541357fb9.json
# init = 2 (Default)
# random
#   seed = 1062546382
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,mu_a,sigma_a,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,mu_the,sigma_the,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0314133
# Diagonal elements of inverse mass matrix:
# 0.080744, 0.0775417, 0.965414, 0.096333, 0.0943617, 0.0962058, 0.0928643, 0.0878089, 0.0875215, 0.090443, 0.0819028, 0.0944523, 0.0895497, 0.0929407, 0.0896276, 0.089103, 0.0955771, 0.0920458, 0.0895374, 0.0918389, 0.0908507, 0.0848476, 0.0871767, 0.0863361, 0.110414, 0.0891241, 0.0916318, 0.0880451, 0.0894721, 0.0837531, 0.0921913, 0.0890191, 0.0911599, 0.0938285, 0.0914962, 0.028721, 0.0250453, 0.205933, 0.206742, 0.151236, 0.214767, 0.168302, 0.125021, 0.155841, 0.137527, 0.136224, 0.115407, 0.148788, 0.190638, 0.230074, 0.176563, 0.120597, 0.139261, 0.129577, 0.192927, 0.144177, 0.146389, 0.20241, 0.282474, 0.119633, 0.182851, 0.186398, 0.143546, 0.153586, 0.104296, 0.10285, 0.136933, 0.117316, 0.0892748
143.886,0.982784,0.0314133,7,127,0,-110.136,0.348043,-0.712442,0.0550522,-0.760471,-0.766637,-0.76541,-0.813096,-0.727054,-0.673453,-0.703738,-0.728745,-0.735535,-0.784548,-0.68389,-0.791558,-0.720039,-0.827818,-0.617141,-0.611327,-0.691335,-0.676308,-0.800077,-0.72315,-0.743716,-0.760654,-0.565424,-0.651147,-0.805887,-0.653621,-0.777392,-0.744086,-0.64893,-0.720619,-0.666711,-0.686502,1.6524,0.836685,12.67,14.732,8.02107,9.62241,9.97225,5.06094,6.52568,3.02384,8.80263,1.12584,8.76789,9.01063,23.9845,11.697,4.22739,7.23138,5.99596,4.7695,3.78427,4.37056,7.49481,18.3307,1.76562,7.70028,10.2521,6.63749,5.69271,1.32745,2.02671,6.57103,1.53975,0.619288,-0.412427,-0.418594,-0.417367,-0.465053,-0.379011,-0.32541,-0.355695,-0.380702,-0.387492,-0.436505,-0.335847,-0.443514,-0.371995,-0.479775,-0.269097,-0.263284,-0.343292,-0.328265,-0.452034,-0.375107,-0.395673,-0.412611,-0.217381,-0.303104,-0.457843,-0.305577,-0.429349,-0.396043,-0.300887,-0.372576,-0.318668,-0.338459,0.60167,0.603147,0.602853,0.614212,0.593634,0.580642,0.587998,0.594042,0.595679,0.607426,0.583181,0.609096,0.591941,0.617695,0.566871,0.565443,0.58499,0.581337,0.611123,0.592692,0.597648,0.601714,0.554132,0.575201,0.612502,0.575805,0.605718,0.597737,0.574659,0.592081,0.579,0.583816
130.539,0.628551,0.0314133,7,127,0,-95.8887,0.228558,-0.730862,0.10497,-0.796971,-0.89428,-0.750027,-0.746873,-0.905337,-0.719213,-0.631687,-0.67134,-0.729162,-0.804691,-0.69506,-0.734373,-0.619083,-0.817355,-0.675045,-0.705039,-0.607468,-0.755663,-0.782657,-0.708628,-0.82511,-0.824554,-0.716983,-0.852351,-0.841729,-0.553533,-0.737724,-0.761286,-0.709523,-0.736787,-0.700872,-0.627808,1.60779,0.883858,10.0495,12.2083,8.05683,10.4537,11.4941,4.56016,6.33405,3.10261,8.64634,1.2056,9.3516,6.86758,25.783,13.8907,4.43977,6.34647,5.81002,4.38205,3.44457,4.70319,5.90555,22.0456,1.83396,6.80535,10.0552,6.36233,5.91799,1.40011,1.76761,5.83926,1.24512,0.514805,-0.568413,-0.665722,-0.52147,-0.518315,-0.67678,-0.490655,-0.40313,-0.442782,-0.500604,-0.576133,-0.466502,-0.505815,-0.390525,-0.588798,-0.446487,-0.476481,-0.378911,-0.527105,-0.554099,-0.48007,-0.596552,-0.595996,-0.488425,-0.623793,-0.613171,-0.324975,-0.509167,-0.532728,-0.480965,-0.50823,-0.472315,-0.39925,0.638397,0.660545,0.627491,0.626754,0.66302,0.620261,0.599439,0.608922,0.622601,0.640177,0.614556,0.623825,0.596409,0.643089,0.609804,0.616917,0.59361,0.628808,0.635086,0.617764,0.644867,0.64474,0.619735,0.651081,0.648664,0.580536,0.624611,0.630119,0.617976,0.624391,0.615931,0.598507
125.538,0.999276,0.0314133,7,127,0,-94.5374,0.430632,-0.787468,0.0893813,-0.737699,-0.725009,-0.792933,-0.713061,-0.717181,-0.773494,-0.868226,-0.805483,-0.823361,-0.887404,-0.824236,-0.795599,-0.96839,-0.858141,-0.793438,-0.783494,-0.702066,-0.761403,-0.822522,-0.774579,-0.612833,-0.969849,-0.700562,-0.659332,-0.832067,-0.812368,-1.06814,-0.857706,-0.692123,-0.846163,-0.655713,-0.791977,1.42541,0.87568,5.07395,4.65598,6.62573,5.58135,8.94438,3.10562,11.415,8.45403,3.64839,1.82653,7.76198,9.6943,11.3698,21.1737,4.83992,3.44453,4.97929,9.02347,8.65801,8.35119,5.54649,14.0851,1.09317,10.2809,19.8384,7.31229,5.13392,0.911998,2.60953,3.57522,2.02926,1.11335,-0.307067,-0.294377,-0.362302,-0.282429,-0.286549,-0.342862,-0.437595,-0.374852,-0.392729,-0.456772,-0.393605,-0.364968,-0.537758,-0.427509,-0.362807,-0.352862,-0.271434,-0.330772,-0.391891,-0.343948,-0.182201,-0.539218,-0.26993,-0.2287,-0.401435,-0.381736,-0.637507,-0.427074,-0.261491,-0.415531,-0.225081,-0.361345,0.576169,0.573067,0.589597,0.570142,0.571151,0.584886,0.607686,0.592631,0.596939,0.612248,0.59715,0.590242,0.631291,0.605279,0.58972,0.587312,0.567445,0.581947,0.596738,0.585149,0.545425,0.63163,0.567076,0.556927,0.599033,0.594292,0.65419,0.605175,0.565003,0.602413,0.556034,0.589366
111.306,0.943479,0.0314133,7,127,0,-83.6515,0.523993,-0.92702,0.144474,-1.16928,-1.032,-1.06941,-0.958105,-0.862857,-0.745327,-1.03206,-0.913833,-1.03186,-0.914302,-0.975212,-0.925768,-1.14668,-1.09389,-0.88512,-0.776877,-0.709068,-0.88865,-1.04725,-1.01814,-0.793092,-0.901802,-0.658207,-0.710019,-0.942616,-0.924112,-1.25675,-0.91163,-0.665493,-0.889933,-0.636569,-0.669831,1.57229,0.880701,27.7472,26.699,8.5393,25.0404,9.00912,5.84835,5.79729,5.42307,11.6212,1.36298,6.24012,7.65543,20.7119,6.94145,7.2075,5.20419,5.05724,5.25838,10.9947,9.94809,17.7622,18.4626,1.64229,3.46033,7.73509,6.12865,2.30511,1.49097,5.65794,5.98514,1.00932,0.835155,-0.645283,-0.508004,-0.54542,-0.434112,-0.338864,-0.221334,-0.508063,-0.38984,-0.507871,-0.390309,-0.451219,-0.401775,-0.62269,-0.569897,-0.361127,-0.252884,-0.185075,-0.364657,-0.523258,-0.494144,-0.269099,-0.377809,-0.134214,-0.186026,-0.418623,-0.400119,-0.732759,-0.387637,-0.1415,-0.36594,-0.112576,-0.145838,0.655947,0.624339,0.633072,0.606855,0.583915,0.555109,0.624352,0.596244,0.624307,0.596357,0.610929,0.599114,0.65083,0.638739,0.589313,0.562886,0.546137,0.590167,0.627909,0.621082,0.566872,0.593345,0.533503,0.546373,0.603154,0.598716,0.675411,0.595714,0.535316,0.590478,0.528114,0.536395
109.81,0.998143,0.0314133,7,127,0,-75.4227,0.481104,-0.913407,0.17281,-0.895407,-1.01104,-0.636524,-0.959244,-0.809125,-0.850291,-0.840254,-0.916409,-0.934884,-1.01724,-1.09153,-0.744815,-0.741115,-0.975681,-0.811235,-0.870845,-0.941435,-0.84518,-0.983804,-1.01844,-0.818279,-1.32414,-0.895718,-0.899034,-1.19125,-0.863273,-1.20709,-0.962818,-0.882517,-0.872518,-0.693335,-0.812253,1.6095,0.684389,7.68583,5.09005,7.8847,6.30959,5.70258,2.40605,12.7588,6.71767,4.19947,1.54283,8.78077,8.42382,14.5271,22.9981,4.23304,7.55633,5.59165,14.8511,7.23443,5.95429,7.98661,8.95905,1.39117,12.2881,22.6863,7.60699,12.8108,1.47603,2.19667,5.65417,2.45554,1.01131,-0.414303,-0.529937,-0.15542,-0.47814,-0.32802,-0.369187,-0.35915,-0.435305,-0.45378,-0.536136,-0.610426,-0.263711,-0.260011,-0.494577,-0.330131,-0.389741,-0.460331,-0.364076,-0.5027,-0.537336,-0.337175,-0.843033,-0.414614,-0.41793,-0.710146,-0.382169,-0.725987,-0.481714,-0.401413,-0.391414,-0.212231,-0.331149,0.602119,0.629469,0.538777,0.617308,0.581278,0.591262,0.588835,0.60714,0.611538,0.630913,0.648038,0.565548,0.564639,0.621184,0.581791,0.59622,0.613093,0.590027,0.623094,0.631193,0.583504,0.699104,0.602194,0.602988,0.670433,0.594396,0.673924,0.618153,0.599027,0.596623,0.55286,0.582039
121.942,0.995699,0.0314133,7,127,0,-77.9881,0.455021,-0.854276,0.123172,-0.957754,-0.803924,-1.09817,-0.966489,-1.04123,-0.799173,-0.98518,-0.869863,-0.933628,-0.831614,-0.923558,-0.973753,-0.879256,-0.965729,-1.00046,-0.615795,-0.765637,-0.966923,-0.712202,-0.785147,-0.877423,-0.682958,-0.814472,-1.04538,-0.741654,-0.736676,-0.813282,-0.794583,-0.709435,-0.746663,-0.827999,-0.689159,1.51735,0.719133,10.9657,3.5583,13.495,5.17171,4.82592,2.2909,15.2846,7.52179,5.12697,1.30133,9.95372,8.76269,16.6665,20.3206,4.47618,5.31442,6.04131,9.21999,6.85265,6.77866,7.79579,9.26525,1.84712,9.67554,15.7352,4.74813,9.69717,1.60496,2.71911,6.15202,1.70053,1.33478,-0.502734,-0.348904,-0.643148,-0.511468,-0.586207,-0.344152,-0.530159,-0.414842,-0.478608,-0.376594,-0.468537,-0.518733,-0.424235,-0.510709,-0.545441,-0.160775,-0.310616,-0.511903,-0.257181,-0.330127,-0.422403,-0.227938,-0.359452,-0.590364,-0.286634,-0.281655,-0.358262,-0.339563,-0.254415,-0.291643,-0.372979,-0.234138,0.623102,0.586352,0.655465,0.625151,0.642494,0.585199,0.62952,0.602248,0.617419,0.593051,0.615037,0.626851,0.604496,0.624973,0.633077,0.540107,0.577036,0.625252,0.563943,0.58179,0.604058,0.556739,0.588908,0.643449,0.571172,0.569952,0.58862,0.584084,0.563263,0.572398,0.592179,0.558269
