# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim4_model
# start_datetime = 2022-02-21 13:32:07 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9cbf37b54.json
# init = 2 (Default)
# random
#   seed = 898866816
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.061016
# Diagonal elements of inverse mass matrix:
# 0.150281, 0.151592, 0.0836839, 0.164246, 0.159606, 0.162781, 0.178102, 0.172995, 0.171755, 0.166399, 0.163627, 0.164641, 0.178354, 0.170606, 0.162536, 0.182351, 0.159419, 0.166856, 0.166908, 0.162748, 0.160262, 0.166377, 0.162841, 0.166014, 0.169221, 0.1638, 0.177795, 0.156881, 0.155258, 0.167287, 0.156475, 0.168192, 0.173024, 0.183058, 0.163992, 0.0438872, 0.0315903, 0.138928, 0.150054, 0.27029, 0.152945, 0.220871, 0.196239, 0.157229, 0.175989, 0.179063, 0.123404, 0.176522, 0.169221, 0.169693, 0.268295, 0.156846, 0.249179, 0.180203, 0.149603, 0.196977, 0.165597, 0.155818, 0.173489, 0.175458, 0.0989153, 0.398288, 0.185388, 0.151462, 0.316457, 0.17052, 0.136408, 0.115454, 0.146732
166.366,0.811041,0.061016,6,63,0,-128.225,0.0650144,-0.677403,0.130612,-0.74843,-0.910332,-0.646005,-0.589798,-0.895327,-0.714503,-0.873299,-0.758375,-0.609771,-0.544686,-0.493221,-0.602517,-0.583333,-0.914435,-0.729621,-0.784384,-0.426031,-0.52412,-1.00604,-0.626439,-0.801235,-0.611648,-0.759972,-0.699607,-0.73414,-0.592405,-0.646067,-0.868164,-0.592817,-0.689322,-0.597663,-0.564896,1.46699,1.32421,18.2245,11.1302,51.7867,2.65408,10.3543,21.6246,14.2877,11.2561,5.94218,0.99429,15.2369,8.65429,8.88253,40.8206,7.45333,16.4838,14.58,7.20047,40.2836,7.76772,12.4991,2.45008,20.8239,0.987189,31.1561,12.5298,9.28404,33.1817,6.91984,2.38039,1.33342,4.60339,-0.683415,-0.845317,-0.580991,-0.524783,-0.830313,-0.649489,-0.808284,-0.693361,-0.544757,-0.479672,-0.428207,-0.537503,-0.518319,-0.849421,-0.664606,-0.719369,-0.361016,-0.459106,-0.941027,-0.561425,-0.736221,-0.546633,-0.694958,-0.634593,-0.669125,-0.52739,-0.581053,-0.803149,-0.527803,-0.624307,-0.532649,-0.499882,0.6645,0.699584,0.641295,0.628266,0.696421,0.656895,0.691744,0.666714,0.632918,0.61767,0.605445,0.631231,0.626755,0.700446,0.660294,0.672468,0.589286,0.612802,0.719307,0.636782,0.676169,0.633354,0.667069,0.65353,0.661307,0.628874,0.64131,0.690648,0.628971,0.651198,0.630101,0.622431
170.553,0.842362,0.061016,6,63,0,-133.139,-0.272005,-0.377712,0.209458,-0.407821,-0.17263,-0.225792,-0.50368,-0.597706,-0.37689,-0.572659,-0.397252,-0.488938,-0.362,-0.364318,-0.368307,-0.392354,-0.394274,-0.382027,-0.386575,-0.311177,-0.264412,-0.597518,-0.359325,-0.413265,-0.308124,-0.378031,-0.16359,-0.691756,-0.17992,-0.333108,-0.675463,-0.316866,-0.170051,-0.326088,-0.348108,2.39204,0.849314,8.68029,6.08669,11.4534,10.8483,27.0766,10.766,10.9711,16.0012,37.4501,2.08872,3.38458,12.4527,3.41735,39.4762,14.4426,15.2912,10.89,12.1485,14.6587,4.65924,18.7384,18.1663,7.63675,1.82158,136.534,18.3684,8.5114,109.839,6.41771,6.59821,1.55325,5.67572,-0.679826,-0.444635,-0.497797,-0.775684,-0.869711,-0.648895,-0.844663,-0.669257,-0.760942,-0.634005,-0.636323,-0.640312,-0.664359,-0.666279,-0.654032,-0.65858,-0.583181,-0.536417,-0.869522,-0.63133,-0.68527,-0.580129,-0.650036,-0.435595,-0.963761,-0.451925,-0.605113,-0.947468,-0.588871,-0.442056,-0.598093,-0.620113,0.6637,0.609363,0.621941,0.684749,0.704686,0.656761,0.699446,0.661337,0.681558,0.653397,0.653922,0.654824,0.660239,0.660669,0.657919,0.658941,0.641799,0.630979,0.704646,0.652791,0.664914,0.641097,0.657019,0.607209,0.723874,0.611097,0.646825,0.720606,0.643106,0.608749,0.64522,0.650244
177.216,0.998801,0.061016,6,63,0,-142.082,-0.342521,-0.239125,0.153903,-0.238364,-0.0255819,-0.438805,-0.37562,-0.166858,-0.0996736,-0.146828,-0.211373,-0.32992,-0.318768,-0.287993,-0.144319,-0.0551583,-0.295647,-0.166053,-0.519575,-0.247287,-0.422988,-0.420125,-0.186854,-0.421577,-0.0626376,-0.142788,-0.123683,-0.508967,-0.033034,-0.361935,-0.556905,-0.189022,0.0737181,-0.131703,-0.173254,1.79433,0.99123,15.5306,11.1299,47.1282,3.34515,11.8466,24.6884,17.8078,11.91,8.30623,1.24427,16.4293,10.1573,12.0964,37.1758,8.49119,24.8319,14.968,5.39229,36.722,7.79403,16.976,2.78758,15.7895,1.32774,39.2958,9.2425,13.6217,39.9521,7.34401,3.61023,1.61659,5.70688,-0.580885,-0.368103,-0.781326,-0.718141,-0.509379,-0.442194,-0.489348,-0.553894,-0.672441,-0.661289,-0.630513,-0.48684,-0.397679,-0.638168,-0.508573,-0.862096,-0.589808,-0.765509,-0.762646,-0.529375,-0.764098,-0.405158,-0.485308,-0.466204,-0.851488,-0.375555,-0.704456,-0.899426,-0.531543,-0.268803,-0.474224,-0.515775,0.641271,0.591,0.685966,0.672198,0.624661,0.608782,0.619953,0.635038,0.66205,0.65955,0.652606,0.619362,0.59813,0.654339,0.624472,0.703098,0.643321,0.682549,0.681928,0.629337,0.682243,0.599926,0.619001,0.614485,0.700879,0.592801,0.669175,0.710832,0.629843,0.566799,0.616383,0.626159
167.622,0.865444,0.061016,6,63,0,-139.554,-0.430518,-0.16781,0.166529,-0.17706,0.178274,-0.145688,-0.320539,-0.251513,-0.150777,-0.162789,-0.213719,-0.147954,-0.220194,0.131709,-0.453917,-0.121245,-0.275423,-0.147445,-0.24677,-0.349406,-0.43149,-0.420655,-0.109162,-0.114493,-0.0491788,-0.166376,-0.0478993,-0.477627,-0.113742,-0.258217,-0.371185,-0.0959605,0.208737,-0.0435466,-0.139511,2.35403,1.00897,13.2806,11.4227,11.0318,9.27677,29.5586,6.13471,8.83514,16.3564,17.7654,2.19623,3.66118,12.7099,3.8753,28.1702,16.5161,16.6778,9.35196,12.1419,9.64218,5.36916,13.9417,17.7166,13.7771,1.42691,86.353,11.9164,3.95795,65.9171,3.71259,3.69655,1.28463,4.53197,-0.607578,-0.252244,-0.576206,-0.751057,-0.682031,-0.581295,-0.593307,-0.644237,-0.578472,-0.650712,-0.298809,-0.884435,-0.551763,-0.70594,-0.577963,-0.677288,-0.779924,-0.862008,-0.851173,-0.53968,-0.545011,-0.479697,-0.596894,-0.478417,-0.908145,-0.544259,-0.688735,-0.801702,-0.526478,-0.221781,-0.474064,-0.570029,0.647388,0.562729,0.640194,0.679409,0.664192,0.641365,0.644124,0.655711,0.640716,0.657171,0.574151,0.70774,0.634545,0.669504,0.640599,0.663133,0.685664,0.70308,0.700813,0.631738,0.632977,0.617676,0.644945,0.617374,0.71262,0.632803,0.665685,0.690339,0.628661,0.555219,0.616345,0.63877
164.274,0.717322,0.061016,6,63,0,-119.775,-0.477696,-0.174812,0.231696,-0.0986528,-0.106148,-0.31379,-0.0791253,-0.255457,0.166175,0.0101253,-0.108486,-0.324859,-0.180678,-0.244645,-0.234412,0.23289,-0.336841,-0.179633,-0.29831,0.200795,0.176807,-0.567114,-0.119687,-0.239866,-0.0502746,-0.174789,0.125503,-0.283733,-0.124702,-0.124291,-0.491778,-0.0693198,0.352422,-0.153902,-0.143658,1.51448,1.51983,9.51942,6.60381,39.114,3.95375,9.30661,22.8004,13.1245,11.5224,16.4714,0.929784,13.8464,6.57732,6.76707,69.2863,7.67212,50.2953,17.0607,4.5703,56.6635,6.48898,12.5632,1.82454,14.2875,0.942471,50.5196,19.0912,24.6991,52.251,8.76698,4.22317,1.5989,5.97041,-0.576349,-0.583844,-0.791485,-0.556821,-0.733153,-0.311521,-0.46757,-0.586181,-0.802555,-0.658374,-0.722341,-0.712108,-0.244805,-0.814537,-0.657328,-0.776006,-0.276901,-0.300889,-1.04481,-0.597383,-0.717561,-0.52797,-0.652485,-0.352193,-0.761429,-0.602398,-0.601986,-0.969474,-0.547016,-0.125274,-0.631598,-0.621354,0.640227,0.641951,0.68815,0.635717,0.675497,0.577256,0.614809,0.642488,0.690521,0.658895,0.673122,0.670867,0.560898,0.693076,0.65866,0.684819,0.568786,0.57466,0.739777,0.645057,0.67207,0.62901,0.65757,0.587149,0.681664,0.646205,0.646111,0.725015,0.633443,0.531278,0.652852,0.650526
164.075,0.969808,0.061016,6,63,0,-131.369,-0.190671,-0.486455,0.187746,-0.478016,-0.483058,-0.435088,-0.486084,-0.26782,-0.575966,-0.660375,-0.49826,-0.820832,-0.550538,-0.467409,-0.529941,-0.140113,-0.616237,-0.411462,-0.508032,-0.156035,-0.15492,-0.512961,-0.485041,-0.588337,-0.301918,-0.406798,-0.440552,-0.658398,-0.3079,-0.491895,-0.801494,-0.321144,0.00440569,-0.35922,-0.508348,2.19979,0.943667,15.0045,7.34926,22.3951,8.7981,25.5445,9.57262,12.2089,15.3485,10.8145,2.14347,3.58204,15.6732,6.61861,32.5338,15.8211,25.1929,8.61324,8.2584,11.9115,4.17569,15.8424,20.914,14.3957,1.43536,131.182,13.613,2.49587,102.197,4.85797,5.23924,1.38649,4.64589,-0.668687,-0.673728,-0.625759,-0.676754,-0.45849,-0.766636,-0.851046,-0.68893,-1.0115,-0.741208,-0.65808,-0.720612,-0.330783,-0.806907,-0.602133,-0.698702,-0.346706,-0.34559,-0.703631,-0.675711,-0.779007,-0.492589,-0.597468,-0.631222,-0.849068,-0.49857,-0.682565,-0.992164,-0.511815,-0.186265,-0.549891,-0.699018,0.661209,0.662337,0.651527,0.663014,0.612656,0.682793,0.700786,0.665729,0.733314,0.67726,0.658829,0.672742,0.58195,0.69145,0.646144,0.6679,0.585819,0.585548,0.668992,0.662781,0.685466,0.620716,0.645077,0.652767,0.700372,0.622123,0.664311,0.729515,0.625232,0.546432,0.63411,0.66797
