# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim4_model
# start_datetime = 2022-03-02 19:32:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b41fd3756f.json
# init = 2 (Default)
# random
#   seed = 250503746
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim4-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim4_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0793795
# Diagonal elements of inverse mass matrix:
# 0.152896, 0.152122, 0.0749351, 0.172228, 0.174484, 0.168401, 0.214273, 0.189272, 0.169551, 0.196697, 0.170691, 0.165906, 0.193801, 0.217926, 0.17708, 0.185469, 0.181727, 0.164181, 0.173199, 0.176301, 0.17102, 0.165138, 0.217807, 0.174707, 0.196599, 0.163198, 0.199912, 0.177333, 0.182961, 0.169793, 0.177703, 0.174072, 0.176636, 0.187567, 0.17733, 0.0368676, 0.0224417, 0.143437, 0.138174, 0.202854, 0.0985457, 0.145653, 0.210984, 0.114939, 0.262842, 0.206659, 0.0989531, 0.107516, 0.157806, 0.153239, 0.158412, 0.345034, 0.179114, 0.185929, 0.237693, 0.187601, 0.114682, 0.173088, 0.112959, 0.264291, 0.113524, 0.169853, 0.202612, 0.266399, 0.153656, 0.163144, 0.142864, 0.168797, 0.159518
117.415,0.948506,0.0793795,6,63,0,-83.7915,-0.642347,0.19228,0.188394,0.252286,0.291896,0.346365,0.57574,0.0465571,0.0301228,0.291797,-0.117348,0.1238,0.319939,0.373803,0.153528,-0.139913,0.291904,-0.238437,0.046516,0.321694,0.314157,-0.0170614,0.423934,0.0248667,0.349832,0.0275183,0.0772754,0.404323,0.150646,0.212428,0.495413,-0.0468791,0.411676,0.110538,0.41629,1.62959,0.941962,4.30236,4.77166,3.81774,1.48801,4.86877,11.7603,1.65165,39.202,9.09512,1.03945,2.13226,6.93455,5.67143,8.68891,54.6245,13.4663,4.3221,22.067,12.1404,1.12299,10.824,1.47356,28.5456,1.45284,14.8377,8.39827,16.0108,7.845,8.21611,8.10177,5.93609,10.8047,-0.390061,-0.350451,-0.295982,-0.066607,-0.59579,-0.612224,-0.35055,-0.759695,-0.518547,-0.322408,-0.268544,-0.488819,-0.78226,-0.350443,-0.880784,-0.595831,-0.320653,-0.32819,-0.659408,-0.218413,-0.61748,-0.292515,-0.614829,-0.565072,-0.238024,-0.491701,-0.429919,-0.146934,-0.689226,-0.230671,-0.531809,-0.226057,0.596297,0.586727,0.57346,0.516646,0.644693,0.648448,0.586751,0.681287,0.626808,0.579911,0.566736,0.619828,0.686167,0.586725,0.706985,0.644702,0.579483,0.581319,0.659127,0.554387,0.649645,0.572612,0.649042,0.637625,0.559227,0.620507,0.605854,0.536668,0.665795,0.557413,0.629905,0.556275
108.225,0.813213,0.0793795,6,63,0,-77.6754,-0.457463,0.0445265,0.281338,0.0720025,0.13619,-0.111894,0.330487,0.0392758,-0.357876,0.419809,-0.12033,-0.230839,0.203569,0.0702339,0.347307,0.113368,-0.192176,-0.46165,-0.0289788,-0.242781,-0.119508,0.301711,0.637991,-0.144269,0.30524,-0.0591683,0.0848328,-0.214423,-0.213465,-0.215987,0.0996291,0.0997737,0.000945921,0.161071,-0.207178,1.60166,0.886498,8.00024,7.42445,26.3195,1.11731,4.47012,11.2947,1.61443,13.5778,10.3809,0.708763,0.916809,2.60853,5.24036,5.28322,22.0802,13.2274,19.0714,10.0473,8.40034,1.60709,8.36372,1.44935,23.1519,1.58269,6.9502,18.1227,29.7721,5.34519,5.22064,4.35972,10.1433,4.00704,-0.38546,-0.321273,-0.569356,-0.126976,-0.418187,-0.815338,-0.0376535,-0.577793,-0.688302,-0.253894,-0.387229,-0.110156,-0.344094,-0.649639,-0.919113,-0.486442,-0.700244,-0.576971,-0.155752,0.180528,-0.601732,-0.152223,-0.516631,-0.37263,-0.671886,-0.670927,-0.673449,-0.357834,-0.357689,-0.456517,-0.296391,-0.664641,0.595189,0.579634,0.638615,0.531701,0.603049,0.693246,0.509412,0.640559,0.665589,0.563135,0.595615,0.527511,0.585185,0.656929,0.714861,0.619268,0.668242,0.64037,0.538859,0.45499,0.646052,0.537982,0.62636,0.592094,0.661925,0.661711,0.662275,0.588516,0.588481,0.612188,0.57356,0.660302
104.171,0.920733,0.0793795,6,63,0,-69.2041,-0.222832,-0.207519,0.28272,-0.134823,-0.452371,-0.202696,0.206393,0.00980141,0.0661955,0.418942,-0.70004,-0.311089,0.119427,0.0226768,-0.379811,-0.337421,0.229025,-0.489317,-0.580837,-0.355207,-0.333111,-0.0334888,0.253282,-0.280814,0.34784,-0.361567,0.168278,-0.138456,-0.274199,-0.231921,0.211334,-0.435602,-0.426608,-0.391794,0.274171,1.53365,1.10019,4.56326,3.62576,3.14298,1.84058,4.58275,13.4749,1.49587,45.9964,11.6222,1.26005,2.05145,9.20724,4.90494,7.60684,41.6543,11.4893,5.3759,24.0855,10.418,1.05247,10.8823,1.40366,19.9661,0.979032,14.4295,8.69851,9.84409,7.1028,6.2748,6.99393,5.08691,9.56305,-0.357655,-0.675203,-0.425528,-0.0164387,-0.213031,-0.156637,0.19611,-0.922872,-0.533921,-0.103406,-0.200155,-0.602643,-0.560254,0.0061926,-0.71215,-0.803669,-0.578039,-0.555943,-0.256321,0.0304503,-0.503646,0.125008,-0.584399,-0.0545539,-0.361288,-0.497031,-0.454753,-0.011498,-0.658434,-0.64944,-0.614626,0.0513389,0.588473,0.662667,0.604805,0.50411,0.553057,0.539079,0.451129,0.715627,0.630397,0.525828,0.549872,0.646261,0.636511,0.498452,0.670876,0.690759,0.640616,0.635513,0.563732,0.492388,0.623316,0.468789,0.642079,0.513635,0.589352,0.621761,0.611769,0.502874,0.658908,0.656884,0.648995,0.487168
104.836,0.972801,0.0793795,5,63,0,-59.1575,-0.320908,-0.122431,0.244266,-0.216611,-0.0281129,-0.394205,0.144497,-0.113272,-0.533986,0.0438057,-0.36726,-0.0867224,-0.308787,0.33727,0.157993,0.26171,-0.0424799,-0.532034,-0.347992,-0.0828158,-0.133995,-0.592893,0.139612,-0.395027,0.0543892,-0.263842,0.0290582,-0.115085,-0.205639,-0.3248,0.140173,-0.204903,0.0127829,0.0583863,-0.21128,1.63602,0.861003,5.65999,2.51845,3.35853,2.50879,4.60721,24.3793,2.15149,32.5159,19.1437,0.741882,1.58671,6.29723,3.38718,9.38737,45.6216,14.0207,8.2547,16.2066,12.805,1.45932,6.40995,0.880744,28.2831,0.873612,6.67619,13.967,26.1565,8.84225,11.1319,6.03636,5.22719,7.93293,-0.537519,-0.349021,-0.715113,-0.176411,-0.434181,-0.854894,-0.277103,-0.688168,-0.407631,-0.629695,0.0163619,-0.162915,-0.0591984,-0.363388,-0.852942,-0.6689,-0.403724,-0.454904,-0.913801,-0.181296,-0.715936,-0.266519,-0.58475,-0.29185,-0.435993,-0.526548,-0.645708,-0.180736,-0.525811,-0.308125,-0.262522,-0.532188,0.631235,0.58638,0.67153,0.543989,0.606871,0.701593,0.568836,0.665559,0.60052,0.65242,0.49591,0.540639,0.514795,0.58986,0.701184,0.661257,0.599582,0.611804,0.713777,0.5452,0.671711,0.566238,0.64216,0.572449,0.607304,0.628678,0.656043,0.545061,0.628506,0.576428,0.565256,0.629993
107.306,0.836192,0.0793795,5,63,0,-69.9954,-0.274442,-0.0636571,0.256191,-0.196421,0.133657,0.0987018,0.100512,0.0506238,0.128719,0.221854,-0.653319,-0.39275,0.263722,0.463357,-0.17207,-0.275201,0.190851,-0.510076,-0.225683,-0.391451,-0.260247,0.173226,0.340719,-0.342066,0.351525,-0.354831,0.140896,-0.206238,-0.306533,-0.228699,0.182166,-0.27485,-0.0943751,-0.324767,0.0258709,1.44056,0.943911,7.03201,2.44184,3.60046,2.16899,4.49636,17.7121,1.80296,21.1618,17.5632,0.737183,1.48664,5.03233,2.63148,9.07932,64.9387,13.8626,9.53512,23.0242,9.45809,1.09809,5.69745,1.18465,22.4165,0.857901,7.15149,9.40642,24.8019,7.50357,8.35986,6.47422,3.67778,5.24362,-0.470863,-0.140785,-0.17574,-0.173931,-0.223818,-0.145723,-0.0525882,-0.927761,-0.667192,-0.0107197,0.188915,-0.446512,-0.549643,-0.0835906,-0.784518,-0.500125,-0.665893,-0.534689,-0.101216,0.0662771,-0.616508,0.0770832,-0.629273,-0.133546,-0.48068,-0.580975,-0.503141,-0.0922765,-0.549292,-0.368817,-0.599209,-0.248571,0.615588,0.535138,0.543822,0.543373,0.555722,0.536367,0.513144,0.716621,0.660874,0.50268,0.452911,0.60981,0.634053,0.520885,0.686653,0.622489,0.660583,0.630576,0.525282,0.483437,0.649424,0.480739,0.652325,0.533337,0.617909,0.641292,0.623197,0.523053,0.633971,0.591173,0.645475,0.561825
114.727,0.996565,0.0793795,6,63,0,-80.0551,-0.383346,-0.0707943,0.265128,-0.0159648,-0.00127811,0.123656,0.0795842,-0.091112,-0.235989,0.387418,-0.532058,-0.275445,0.299861,0.391155,-0.0761343,-0.0997982,0.109445,-0.364356,-0.383321,-0.632973,-0.274282,0.0815284,0.404289,-0.410326,0.0806842,-0.229767,0.406078,-0.17085,-0.230907,-0.200216,0.155467,-0.141357,-0.00124745,-0.145693,0.0815644,1.426,1.02549,6.62535,2.51337,4.09676,2.1358,4.60765,15.9643,1.82755,22.076,16.3363,0.775943,1.42327,5.31201,2.88942,8.388,74.7936,14.5468,10.2136,21.0657,8.96331,1.14897,5.06952,1.12866,17.8988,1.10977,8.18103,9.73191,27.5712,7.28903,9.20244,5.23417,4.39887,5.93358,-0.399311,-0.384624,-0.25969,-0.303762,-0.474458,-0.619336,0.00407119,-0.915405,-0.658791,-0.0834853,0.0078088,-0.459481,-0.483145,-0.273901,-0.747702,-0.766667,-1.01632,-0.657628,-0.301818,0.0209431,-0.793672,-0.302662,-0.613113,0.0227313,-0.554196,-0.614254,-0.583562,-0.227879,-0.524704,-0.384594,-0.52904,-0.301782,0.598522,0.594988,0.56456,0.575362,0.616438,0.650067,0.498982,0.714105,0.658989,0.520859,0.498048,0.612891,0.61849,0.56805,0.678678,0.682799,0.734255,0.658727,0.574887,0.494764,0.688619,0.575093,0.648651,0.494317,0.635109,0.64891,0.641887,0.556725,0.628247,0.594981,0.629259,0.574878
