# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_model
# start_datetime = 2022-02-17 12:37:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpY9JLWa/standata-251c6aa12512.json
# init = 2 (Default)
# random
#   seed = 700132987
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aE.1,aE.2,aE.3,aE.4,aHS.1,aHS.2,aHS.3,mu_aHS,bP,bA,bAHS.1,bAHS.2,bAHS.3,mu_bAHS,sigma_abHS.1,sigma_abHS.2,mu_a,sigma_a,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,mu_the,sigma_the,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0340663
# Diagonal elements of inverse mass matrix:
# 0.183882, 0.232221, 0.266214, 0.272499, 0.248088, 0.467115, 0.291803, 0.304908, 0.20736, 0.0079463, 0.0671801, 0.0809043, 0.0730247, 0.0742327, 0.0830603, 0.821943, 0.898482, 0.208329, 0.218888, 0.281124, 0.226731, 0.235197, 0.224013, 0.228116, 0.247752, 0.249786, 0.244008, 0.244277, 0.224712, 0.251067, 0.243308, 0.223852, 0.239739, 0.232478, 0.246998, 0.230029, 0.249527, 0.221532, 0.232431, 0.222318, 0.212944, 0.232951, 0.253482, 0.250841, 0.256826, 0.242979, 0.22629, 0.263214, 0.236099, 0.242899, 0.245313, 0.233114, 0.0304878, 0.0234209, 0.152139, 0.160663, 0.128852, 0.135762, 0.138068, 0.0874784, 0.231036, 0.136603, 0.253937, 0.0978344, 0.129676, 0.154337, 0.143168, 0.177139, 0.152048, 0.184558, 0.160499, 0.121494, 0.1456, 0.195451, 0.154104, 0.147396, 0.0970903, 0.187843, 0.119445, 0.159614, 0.336207, 0.0825061, 0.18558, 0.10654, 0.14652, 0.206609
112.618,0.940801,0.0340663,7,127,0,-67.144,0.248218,-0.0170803,-0.0651858,-0.839739,1.01639,0.0122255,-0.0551194,-0.585185,-0.252362,-0.0765516,-0.268698,0.3596,0.34505,0.310638,0.365063,0.372764,0.0984738,-0.22641,0.170354,1,0.511576,0.511576,1,-0.0481538,-0.347859,-0.383318,0.173616,-0.446795,-0.360078,-0.0285013,-0.172195,0.0603335,-0.191605,-0.396716,-0.226687,-0.154537,-0.251852,-0.650124,-0.182159,-0.162496,-0.159148,-0.37431,-0.300539,-0.48668,-0.0385944,-0.302312,-0.0467179,-0.239585,-0.0458591,-0.339373,-0.39701,-0.352357,-0.359671,-0.240761,-0.0666762,1.50616,0.859313,6.2453,11.3961,3.37222,5.96311,2.95309,1.00154,3.3345,8.1563,17.1094,1.49416,3.20647,4.69772,3.25982,14.7003,5.3803,6.04095,3.18169,1.33786,2.24161,27.2296,13.965,1.97491,2.57011,3.62292,2.4545,8.01607,22.778,0.590617,5.91736,3.68741,7.54674,11.4595,0.634103,0.292809,0.263291,0.832108,0.250316,0.331091,0.686433,0.584328,0.712884,0.514418,0.276629,0.550631,0.293146,0.136418,-0.338206,0.111935,0.294099,0.00897791,0.0228724,0.0767337,-0.133173,0.167265,-0.624931,-0.30328,-0.520614,-0.341391,-0.74255,-0.722248,-0.841683,-0.539698,-0.52738,-0.306116,0.346581,0.427316,0.434555,0.3032,0.437746,0.417975,0.334827,0.357937,0.328962,0.374158,0.43128,0.365718,0.427234,0.465948,0.583755,0.472045,0.427001,0.497756,0.494282,0.480826,0.533244,0.458281,0.651339,0.575244,0.627291,0.584528,0.677553,0.673102,0.69882,0.631742,0.628872,0.575937
108.956,0.946031,0.0340663,7,127,0,-71.0751,-0.225175,-0.315078,-0.219777,0.617467,-0.97848,-0.0545111,0.0818033,-0.27662,0.0200573,-0.169579,0.00246008,0.245196,0.247619,0.265848,0.243084,0.375511,0.0161378,-0.362241,0.251148,1,-0.32474,-0.32474,1,-0.127823,-0.525873,-0.489831,-0.0856919,0.221219,-0.811541,0.0769901,-0.275383,-0.0541831,-0.375613,-0.513569,-0.334527,-0.584566,-0.263683,-0.556207,-0.756372,-1.01663,-0.000603509,-0.352636,-0.385993,-0.269509,-0.115949,-0.536955,-0.20353,-0.700125,-0.737803,-0.296637,-0.343394,-0.0385974,-0.151131,-0.436729,-0.0712711,1.35011,1.04006,8.25751,6.32766,2.43554,4.47645,5.77628,1.09584,13.6597,2.4992,18.7577,1.42948,6.47471,6.36757,8.16443,3.39747,2.07851,15.3596,8.77025,3.17499,3.64312,4.47461,2.69453,4.81181,2.06008,15.1186,4.29564,5.43362,45.387,0.644576,10.2625,1.95521,4.68202,5.68708,0.712054,0.221874,0.271077,0.701539,1.094,0.0480779,0.989254,0.729011,0.719887,0.516909,0.306566,0.715932,0.0788513,0.268121,-0.274482,-0.514132,-0.33347,-0.199294,0.198909,0.0405067,0.104346,-0.15011,-0.656162,0.174395,-0.727202,-0.621605,-0.769701,-0.293003,-0.702501,0.0455351,-0.300789,-0.00621894,0.329145,0.444758,0.432643,0.331471,0.250866,0.487983,0.271059,0.325412,0.327418,0.373575,0.423953,0.328289,0.480297,0.433369,0.568193,0.625775,0.582604,0.549659,0.450436,0.489875,0.473937,0.537457,0.658398,0.456511,0.674191,0.650584,0.683456,0.572731,0.668742,0.488618,0.574635,0.501555
107.043,1,0.0340663,7,127,0,-63.9546,0.339723,1.32075,-1.03418,-0.477406,0.499158,0.587486,0.140248,-0.0901303,0.206926,-0.228995,-0.0547597,0.101113,0.146132,0.149353,0.126436,0.360321,0.0350478,-0.7171,0.22505,1,-0.0482272,-0.0482272,1,-0.63775,-0.988744,-0.801985,-0.41932,-0.210831,-0.817126,-0.49414,-0.64874,-0.498661,-0.723573,-0.692329,-0.76039,-0.793932,-0.474422,-0.962547,-0.890011,-1.03253,-0.457071,-0.722031,-0.782645,-0.538348,-0.809035,-0.584574,-0.666232,-0.903748,-1.01472,-0.720808,-0.615614,-0.520682,-0.618246,-0.779139,-0.53986,1.46059,0.992589,3.98506,19.4314,5.9457,5.41254,3.41747,0.972089,9.05243,7.84027,26.0421,2.19161,3.08029,8.53825,3.67624,18.5661,7.31701,3.43823,4.33398,2.17084,2.1479,15.1418,9.77282,2.79407,1.18522,5.35308,2.80423,7.66341,25.6033,0.602941,11.7576,3.4682,7.34539,12.8057,0.64899,0.173587,0.378119,0.79633,1.12034,0.496274,0.890351,0.860159,0.699216,0.634259,0.567753,0.810714,0.0365241,0.178307,-0.40119,-0.381973,-0.175418,-0.0518006,-0.0426426,-0.0257885,0.147418,-0.427915,-0.353792,-0.299581,-0.548556,-0.733776,-0.700141,-0.423534,-0.75772,0.039082,-0.471536,-0.0602592,0.343217,0.456712,0.406581,0.310811,0.245948,0.378417,0.291037,0.297306,0.331986,0.346545,0.361756,0.307738,0.49087,0.455541,0.598974,0.594349,0.543742,0.512947,0.510659,0.506447,0.463212,0.605376,0.587537,0.57434,0.633801,0.675633,0.668219,0.604329,0.680858,0.490231,0.615747,0.51506
107.743,0.896481,0.0340663,7,127,0,-67.1672,0.109958,-1.11217,1.00546,0.455958,-0.413514,0.213844,0.101502,-0.0779082,0.0143439,-0.126479,-0.254402,0.471653,0.369239,0.271128,0.321694,0.0918406,0.063069,-0.658246,0.211012,1,0.649034,0.649034,1,-0.363517,-0.944126,-0.520724,-0.780057,-0.935083,-0.648562,-0.474736,-0.875468,-0.568574,-0.846899,-0.870835,-0.440554,-0.570494,-0.887543,-0.610981,-0.609205,-0.552007,-0.762843,-0.31444,-0.544895,-0.784731,-0.199545,-0.874961,-0.626937,-0.601044,-0.524902,-0.707669,-0.790393,-0.811953,-0.712368,-0.403495,-0.564675,1.16874,0.751701,9.46318,3.50166,2.01935,6.05278,4.484,1.18328,5.97331,2.33382,8.42262,0.871894,6.65774,4.93396,6.59807,2.38057,2.2242,16.641,6.52223,3.68725,3.66008,8.48978,5.79495,3.18397,2.13397,10.0043,3.3636,4.57759,24.6054,0.639994,6.57859,1.93518,6.55541,5.80287,0.925456,0.276134,0.709352,0.469652,0.378432,0.655136,0.868227,0.53621,0.671319,0.48134,0.403414,1.00548,0.0276564,-0.387555,-0.225831,-0.253503,0.0608681,-0.592643,0.200272,-0.0517648,-0.330866,0.0216866,-0.924342,-0.672316,-0.58171,-0.582098,-0.837582,-0.896671,-1.0842,-0.526157,-0.445966,-0.476628,0.283847,0.431402,0.329742,0.384699,0.406505,0.341833,0.295623,0.36907,0.338202,0.381936,0.400492,0.267865,0.493086,0.595694,0.556219,0.563039,0.484788,0.643971,0.450099,0.512938,0.58197,0.494579,0.715926,0.662021,0.641461,0.64155,0.697956,0.710265,0.747288,0.628586,0.60968,0.616951
112.861,0.84904,0.0340663,7,127,0,-66.6425,0.0804627,-0.798619,-0.329572,-0.0604772,0.241025,0.23194,0.142148,-0.589208,-0.365426,-0.100889,-0.192255,0.424316,0.440213,0.527038,0.379588,0.849617,0.179953,-0.758787,0.208713,1,0.851914,0.851914,1,-0.690811,-0.52045,-0.670363,-0.605501,-0.572033,-0.750722,-0.685845,-0.718435,-0.539071,-0.762782,-0.843587,-0.578578,-0.717325,-0.716001,-1.19367,-0.685903,-0.95534,-0.830742,-0.55491,-1.0466,-0.640333,-0.486077,-0.833816,-0.676909,-1.02409,-0.932023,-0.324543,-0.737697,-0.452622,-0.772564,-0.583179,-0.581691,1.50158,0.702015,5.97259,7.19088,5.54644,6.01423,3.37938,0.651139,8.57859,3.72367,9.30943,1.45735,4.36784,11.1052,6.39574,4.45414,3.18293,3.927,4.88895,3.64283,2.72616,5.78935,5.88984,3.0982,1.36285,7.57274,4.30567,7.56666,8.72914,0.78441,5.71869,3.07076,9.6654,7.15134,0.626546,0.742096,0.600013,0.680536,0.764899,0.578381,0.674578,0.696799,0.739135,0.585896,0.462025,0.864062,0.282804,0.205828,-0.5198,-0.0355235,0.0565353,-0.641042,0.378664,-0.2866,0.0883486,-0.0993158,-0.764633,0.0383487,-0.9001,-0.547633,-0.641039,-0.392458,-0.882655,-0.515458,-0.187043,-0.402886,0.348294,0.322546,0.354341,0.336142,0.317583,0.359305,0.337473,0.332522,0.323193,0.357577,0.386506,0.296491,0.429766,0.448724,0.627101,0.50888,0.48587,0.654989,0.406449,0.571164,0.477927,0.524809,0.682359,0.490414,0.71097,0.633586,0.654988,0.596874,0.707372,0.626085,0.546625,0.599381
105.937,0.995409,0.0340663,7,127,0,-70.6435,0.859292,0.793992,-0.0297662,0.212854,-0.483191,-0.115159,-0.189034,-0.362336,-0.101224,-0.13291,-0.126111,0.294949,0.171299,0.156966,0.313512,0.23382,0.393555,-1.0029,0.248704,1,0.617776,0.617776,1,-1.02261,-1.31875,-1.07141,-0.776725,-0.792374,-1.14667,-0.727926,-1.18505,-0.677368,-1.07417,-1.42067,-1.07526,-0.686993,-0.471853,-1.14517,-0.792895,-1.06204,-1.16827,-1.066,-0.959497,-0.66526,-0.753091,-0.840939,-0.852587,-1.11307,-0.980841,-1.01364,-1.02785,-1.26072,-0.884971,-0.866469,-1.12089,1.50092,0.797082,6.56563,5.41299,5.0708,6.93007,5.45027,1.34036,13.7488,9.29618,19.5336,2.0952,4.80981,3.44621,4.06734,5.68426,5.39572,9.68036,13.1454,2.74066,2.81982,13.0448,6.97177,4.18107,1.39052,9.26128,1.53472,5.36406,56.0827,0.683213,12.8935,1.43643,7.3938,9.1677,0.497929,0.129579,0.387237,0.702554,0.753955,0.389343,0.84935,0.464435,0.791596,0.48763,0.0843969,0.610323,0.163153,0.27514,-0.443366,-0.122037,-0.196422,-0.54137,-0.303539,-0.144224,0.108751,-0.148052,-0.402997,-0.383881,-0.60292,-0.537832,-0.673605,-0.636421,-1.07025,-0.19946,-0.407988,-0.538534,0.378027,0.46765,0.404383,0.331246,0.31996,0.403875,0.299569,0.385934,0.311826,0.380452,0.478913,0.351985,0.459302,0.431646,0.609061,0.530471,0.548948,0.632131,0.575307,0.535994,0.472839,0.536945,0.599407,0.594809,0.646324,0.631308,0.66231,0.653944,0.744644,0.5497,0.600605,0.631471
