# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_model
# start_datetime = 2022-02-17 12:37:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpY9JLWa/standata-251c6aa12512.json
# init = 2 (Default)
# random
#   seed = 700132987
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aE.1,aE.2,aE.3,aE.4,aHS.1,aHS.2,aHS.3,mu_aHS,bP,bA,bAHS.1,bAHS.2,bAHS.3,mu_bAHS,sigma_abHS.1,sigma_abHS.2,mu_a,sigma_a,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,mu_the,sigma_the,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0176412
# Diagonal elements of inverse mass matrix:
# 0.171267, 0.250046, 0.254769, 0.226302, 0.242171, 0.379662, 0.178541, 0.214464, 0.1711, 0.00689556, 0.0553012, 0.0738841, 0.0635015, 0.064109, 0.0645736, 0.925096, 0.86004, 0.137235, 0.243095, 0.383169, 0.159617, 0.168401, 0.181128, 0.153583, 0.165608, 0.157785, 0.174819, 0.172434, 0.161967, 0.188163, 0.165176, 0.165258, 0.183891, 0.179424, 0.172143, 0.168876, 0.175099, 0.169026, 0.183249, 0.162905, 0.166015, 0.179157, 0.173647, 0.178057, 0.179986, 0.165409, 0.155749, 0.191535, 0.161673, 0.164689, 0.152231, 0.164518, 0.0273654, 0.0273967, 0.178897, 0.197525, 0.113272, 0.136191, 0.141371, 0.0916045, 0.216549, 0.156194, 0.258126, 0.107571, 0.159541, 0.149806, 0.115077, 0.185211, 0.145782, 0.172725, 0.160821, 0.127852, 0.122146, 0.163535, 0.161381, 0.144903, 0.145693, 0.158151, 0.16979, 0.157795, 0.316472, 0.112157, 0.175779, 0.12152, 0.177505, 0.17591
148.158,7.33518e-117,0.0176412,1,2,1,-109.754,-1.02941,0.533046,-0.260677,-0.49189,-0.118929,0.711127,0.474909,0.0236145,0.504994,-0.123646,-0.189803,0.311124,0.307433,0.309885,0.30952,0.46336,0.00156905,0.191672,0.0854726,1,-0.128068,-0.128068,1,0.251468,0.193148,0.212977,0.184291,0.231473,0.290151,0.285221,0.129287,0.225621,-0.0162308,0.25377,0.160659,0.120567,0.17459,0.131975,0.1936,0.147778,0.229401,0.0929002,0.324325,0.244087,0.208299,0.182856,0.303104,0.122276,0.260862,0.183278,0.146995,0.244255,0.044422,0.187901,0.198765,1.6389,0.811645,7.04829,12.4776,6.54911,3.41492,7.0191,1.05188,7.8429,4.19609,8.092,1.02622,5.11663,5.12988,3.33795,7.44457,1.87859,14.6178,8.12324,4.90688,2.25537,9.517,7.05905,3.48741,1.47154,10.7784,4.83697,7.37531,34.1466,1.05141,9.36961,2.64598,7.60893,4.81714,0.512483,0.386988,0.416413,0.40692,0.516478,0.56556,0.599016,0.510257,0.438653,0.283169,0.50039,0.575216,-0.0398097,-0.0817506,-0.241997,-0.209161,0.00179545,-0.365437,-0.149046,0.0559142,-0.0627097,-0.331285,-0.695085,-0.363462,-0.68849,-0.520988,-0.877121,-0.682837,-0.955292,-0.603206,-0.579555,-0.544827,0.374612,0.404443,0.397375,0.399651,0.373676,0.362262,0.354569,0.375133,0.392062,0.429677,0.377449,0.360034,0.509951,0.520426,0.560206,0.5521,0.499551,0.590356,0.537193,0.486025,0.515672,0.582072,0.667097,0.589878,0.665631,0.627379,0.706225,0.664372,0.722178,0.64639,0.640965,0.632934
148.158,1.08742e-204,0.0176412,1,3,1,-101.802,-1.02941,0.533046,-0.260677,-0.49189,-0.118929,0.711127,0.474909,0.0236145,0.504994,-0.123646,-0.189803,0.311124,0.307433,0.309885,0.30952,0.46336,0.00156905,0.191672,0.0854726,1,-0.128068,-0.128068,1,0.251468,0.193148,0.212977,0.184291,0.231473,0.290151,0.285221,0.129287,0.225621,-0.0162308,0.25377,0.160659,0.120567,0.17459,0.131975,0.1936,0.147778,0.229401,0.0929002,0.324325,0.244087,0.208299,0.182856,0.303104,0.122276,0.260862,0.183278,0.146995,0.244255,0.044422,0.187901,0.198765,1.6389,0.811645,7.04829,12.4776,6.54911,3.41492,7.0191,1.05188,7.8429,4.19609,8.092,1.02622,5.11663,5.12988,3.33795,7.44457,1.87859,14.6178,8.12324,4.90688,2.25537,9.517,7.05905,3.48741,1.47154,10.7784,4.83697,7.37531,34.1466,1.05141,9.36961,2.64598,7.60893,4.81714,0.512483,0.386988,0.416413,0.40692,0.516478,0.56556,0.599016,0.510257,0.438653,0.283169,0.50039,0.575216,-0.0398097,-0.0817506,-0.241997,-0.209161,0.00179545,-0.365437,-0.149046,0.0559142,-0.0627097,-0.331285,-0.695085,-0.363462,-0.68849,-0.520988,-0.877121,-0.682837,-0.955292,-0.603206,-0.579555,-0.544827,0.374612,0.404443,0.397375,0.399651,0.373676,0.362262,0.354569,0.375133,0.392062,0.429677,0.377449,0.360034,0.509951,0.520426,0.560206,0.5521,0.499551,0.590356,0.537193,0.486025,0.515672,0.582072,0.667097,0.589878,0.665631,0.627379,0.706225,0.664372,0.722178,0.64639,0.640965,0.632934
148.158,1.95966e-12,0.0176412,1,3,1,-109.072,-1.02941,0.533046,-0.260677,-0.49189,-0.118929,0.711127,0.474909,0.0236145,0.504994,-0.123646,-0.189803,0.311124,0.307433,0.309885,0.30952,0.46336,0.00156905,0.191672,0.0854726,1,-0.128068,-0.128068,1,0.251468,0.193148,0.212977,0.184291,0.231473,0.290151,0.285221,0.129287,0.225621,-0.0162308,0.25377,0.160659,0.120567,0.17459,0.131975,0.1936,0.147778,0.229401,0.0929002,0.324325,0.244087,0.208299,0.182856,0.303104,0.122276,0.260862,0.183278,0.146995,0.244255,0.044422,0.187901,0.198765,1.6389,0.811645,7.04829,12.4776,6.54911,3.41492,7.0191,1.05188,7.8429,4.19609,8.092,1.02622,5.11663,5.12988,3.33795,7.44457,1.87859,14.6178,8.12324,4.90688,2.25537,9.517,7.05905,3.48741,1.47154,10.7784,4.83697,7.37531,34.1466,1.05141,9.36961,2.64598,7.60893,4.81714,0.512483,0.386988,0.416413,0.40692,0.516478,0.56556,0.599016,0.510257,0.438653,0.283169,0.50039,0.575216,-0.0398097,-0.0817506,-0.241997,-0.209161,0.00179545,-0.365437,-0.149046,0.0559142,-0.0627097,-0.331285,-0.695085,-0.363462,-0.68849,-0.520988,-0.877121,-0.682837,-0.955292,-0.603206,-0.579555,-0.544827,0.374612,0.404443,0.397375,0.399651,0.373676,0.362262,0.354569,0.375133,0.392062,0.429677,0.377449,0.360034,0.509951,0.520426,0.560206,0.5521,0.499551,0.590356,0.537193,0.486025,0.515672,0.582072,0.667097,0.589878,0.665631,0.627379,0.706225,0.664372,0.722178,0.64639,0.640965,0.632934
148.158,3.00873e-05,0.0176412,1,3,1,-99.51,-1.02941,0.533046,-0.260677,-0.49189,-0.118929,0.711127,0.474909,0.0236145,0.504994,-0.123646,-0.189803,0.311124,0.307433,0.309885,0.30952,0.46336,0.00156905,0.191672,0.0854726,1,-0.128068,-0.128068,1,0.251468,0.193148,0.212977,0.184291,0.231473,0.290151,0.285221,0.129287,0.225621,-0.0162308,0.25377,0.160659,0.120567,0.17459,0.131975,0.1936,0.147778,0.229401,0.0929002,0.324325,0.244087,0.208299,0.182856,0.303104,0.122276,0.260862,0.183278,0.146995,0.244255,0.044422,0.187901,0.198765,1.6389,0.811645,7.04829,12.4776,6.54911,3.41492,7.0191,1.05188,7.8429,4.19609,8.092,1.02622,5.11663,5.12988,3.33795,7.44457,1.87859,14.6178,8.12324,4.90688,2.25537,9.517,7.05905,3.48741,1.47154,10.7784,4.83697,7.37531,34.1466,1.05141,9.36961,2.64598,7.60893,4.81714,0.512483,0.386988,0.416413,0.40692,0.516478,0.56556,0.599016,0.510257,0.438653,0.283169,0.50039,0.575216,-0.0398097,-0.0817506,-0.241997,-0.209161,0.00179545,-0.365437,-0.149046,0.0559142,-0.0627097,-0.331285,-0.695085,-0.363462,-0.68849,-0.520988,-0.877121,-0.682837,-0.955292,-0.603206,-0.579555,-0.544827,0.374612,0.404443,0.397375,0.399651,0.373676,0.362262,0.354569,0.375133,0.392062,0.429677,0.377449,0.360034,0.509951,0.520426,0.560206,0.5521,0.499551,0.590356,0.537193,0.486025,0.515672,0.582072,0.667097,0.589878,0.665631,0.627379,0.706225,0.664372,0.722178,0.64639,0.640965,0.632934
148.158,7.69788e-41,0.0176412,1,2,1,-115.117,-1.02941,0.533046,-0.260677,-0.49189,-0.118929,0.711127,0.474909,0.0236145,0.504994,-0.123646,-0.189803,0.311124,0.307433,0.309885,0.30952,0.46336,0.00156905,0.191672,0.0854726,1,-0.128068,-0.128068,1,0.251468,0.193148,0.212977,0.184291,0.231473,0.290151,0.285221,0.129287,0.225621,-0.0162308,0.25377,0.160659,0.120567,0.17459,0.131975,0.1936,0.147778,0.229401,0.0929002,0.324325,0.244087,0.208299,0.182856,0.303104,0.122276,0.260862,0.183278,0.146995,0.244255,0.044422,0.187901,0.198765,1.6389,0.811645,7.04829,12.4776,6.54911,3.41492,7.0191,1.05188,7.8429,4.19609,8.092,1.02622,5.11663,5.12988,3.33795,7.44457,1.87859,14.6178,8.12324,4.90688,2.25537,9.517,7.05905,3.48741,1.47154,10.7784,4.83697,7.37531,34.1466,1.05141,9.36961,2.64598,7.60893,4.81714,0.512483,0.386988,0.416413,0.40692,0.516478,0.56556,0.599016,0.510257,0.438653,0.283169,0.50039,0.575216,-0.0398097,-0.0817506,-0.241997,-0.209161,0.00179545,-0.365437,-0.149046,0.0559142,-0.0627097,-0.331285,-0.695085,-0.363462,-0.68849,-0.520988,-0.877121,-0.682837,-0.955292,-0.603206,-0.579555,-0.544827,0.374612,0.404443,0.397375,0.399651,0.373676,0.362262,0.354569,0.375133,0.392062,0.429677,0.377449,0.360034,0.509951,0.520426,0.560206,0.5521,0.499551,0.590356,0.537193,0.486025,0.515672,0.582072,0.667097,0.589878,0.665631,0.627379,0.706225,0.664372,0.722178,0.64639,0.640965,0.632934
148.158,1.07464e-133,0.0176412,1,2,1,-114.733,-1.02941,0.533046,-0.260677,-0.49189,-0.118929,0.711127,0.474909,0.0236145,0.504994,-0.123646,-0.189803,0.311124,0.307433,0.309885,0.30952,0.46336,0.00156905,0.191672,0.0854726,1,-0.128068,-0.128068,1,0.251468,0.193148,0.212977,0.184291,0.231473,0.290151,0.285221,0.129287,0.225621,-0.0162308,0.25377,0.160659,0.120567,0.17459,0.131975,0.1936,0.147778,0.229401,0.0929002,0.324325,0.244087,0.208299,0.182856,0.303104,0.122276,0.260862,0.183278,0.146995,0.244255,0.044422,0.187901,0.198765,1.6389,0.811645,7.04829,12.4776,6.54911,3.41492,7.0191,1.05188,7.8429,4.19609,8.092,1.02622,5.11663,5.12988,3.33795,7.44457,1.87859,14.6178,8.12324,4.90688,2.25537,9.517,7.05905,3.48741,1.47154,10.7784,4.83697,7.37531,34.1466,1.05141,9.36961,2.64598,7.60893,4.81714,0.512483,0.386988,0.416413,0.40692,0.516478,0.56556,0.599016,0.510257,0.438653,0.283169,0.50039,0.575216,-0.0398097,-0.0817506,-0.241997,-0.209161,0.00179545,-0.365437,-0.149046,0.0559142,-0.0627097,-0.331285,-0.695085,-0.363462,-0.68849,-0.520988,-0.877121,-0.682837,-0.955292,-0.603206,-0.579555,-0.544827,0.374612,0.404443,0.397375,0.399651,0.373676,0.362262,0.354569,0.375133,0.392062,0.429677,0.377449,0.360034,0.509951,0.520426,0.560206,0.5521,0.499551,0.590356,0.537193,0.486025,0.515672,0.582072,0.667097,0.589878,0.665631,0.627379,0.706225,0.664372,0.722178,0.64639,0.640965,0.632934
