# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_cor_model
# start_datetime = 2022-02-18 19:22:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c68bb215f.json
# init = 2 (Default)
# random
#   seed = 1862562355
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_cor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_cor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_cor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,mu_aHS,bP,bAHS.1,bAHS.2,bAHS.3,mu_bAHS,sigma_abHS.1,sigma_abHS.2,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0593572
# Diagonal elements of inverse mass matrix:
# 0.21984, 0.748455, 0.282853, 0.350773, 0.23461, 0.0223363, 0.0612267, 0.0241879, 0.0295441, 0.0476914, 0.934146, 0.789829, 0.309466, 0.22761, 0.033277, 0.348972, 0.321655, 0.324625, 0.348883, 0.335094, 0.301569, 0.359961, 0.324467, 0.32412, 0.341351, 0.326218, 0.34482, 0.330088, 0.32141, 0.306243, 0.311978, 0.334602, 0.334645, 0.355054, 0.296496, 0.276605, 0.343951, 0.351373, 0.422475, 0.324556, 0.360603, 0.33318, 0.351844, 0.399434, 0.325054, 0.356573, 0.332023, 0.0139564, 0.0866706, 0.0803403, 0.0822369, 0.0932134, 0.115789, 0.102503, 0.12032, 0.0995141, 0.0972925, 0.0865458, 0.112354, 0.0966756, 0.0844292, 0.156937, 0.074807, 0.0971009, 0.121807, 0.095384, 0.139759, 0.120282, 0.095714, 0.143522, 0.125345, 0.15566, 0.134933, 0.111755, 0.0993952, 0.108446, 0.118012, 0.100802, 0.323259, 0.1137, 0.107222
145.267,0.984565,0.0593572,6,63,0,-101.645,-0.748936,-1.2316,-0.129148,0.0755681,-0.320881,0.00019628,0.566776,-0.0818495,-0.257928,0.188343,0.371454,0.284192,1,-0.513112,-0.513112,1,-0.0154239,0.469159,-0.278701,0.263158,0.309198,-1.17117,-0.647472,0.563456,-0.532165,-0.0914976,0.199551,0.778044,0.21358,-0.72437,-0.434494,0.171194,0.109991,-0.367696,0.506082,0.0917126,-0.405001,-0.15885,0.148033,-0.676081,-0.645836,-0.653473,-0.413786,0.277976,0.200542,0.413375,-0.0632454,-0.0379296,-0.103281,-0.661755,1.25752,0.620846,2.34556,2.15805,6.69238,3.87681,4.04522,6.90212,2.64111,4.67791,3.14097,5.58567,2.29772,2.93467,5.17937,3.61295,1.66115,11.546,4.12758,7.51044,10.0381,2.53774,5.39605,5.1573,3.84143,3.5026,3.93278,4.38421,4.07944,8.79163,3.34384,15.1174,4.39608,7.6849,0.00771997,0.549686,0.595711,-0.884684,-0.361089,0.849855,-0.245827,0.194733,0.486049,1.0644,0.500024,-0.438193,-1.55819,-0.952351,-0.931705,-1.40935,-0.617639,-0.786307,-1.52857,-1.20071,-0.89377,-1.63585,-1.83488,-2.35833,-1.60294,-1.16896,-0.730476,-1.03348,-0.994043,-1.22734,-1.55024,-1.85101,0.49807,0.365937,0.355326,0.707792,0.589304,0.299463,0.561149,0.45147,0.380825,0.256469,0.377535,0.607828,0.826094,0.721588,0.717421,0.803663,0.649681,0.687038,0.821797,0.768652,0.709668,0.83697,0.862342,0.913594,0.832428,0.762957,0.67491,0.737591,0.729886,0.773353,0.824948,0.864246
144.811,0.976681,0.0593572,6,127,0,-104.761,0.0798748,-0.358025,-0.654953,-0.481022,-0.452533,0.113279,0.211529,-0.0565043,-0.295731,-0.0483998,0.234378,0.64174,1,-0.818492,-0.818492,1,-0.448241,0.438733,0.00690844,-0.457818,0.446152,-0.681273,-0.917845,-0.505654,-1.1256,-0.553063,0.0642776,0.61908,-0.968099,0.0822006,-0.3264,-0.326966,-0.0423467,-0.504447,-0.867759,-0.229055,-0.321095,-0.192889,-0.523124,-1.421,-1.11908,-0.785896,-0.759828,-1.13255,-0.0507817,0.202316,-0.641556,-0.0212954,-0.288334,-0.180871,1.40899,0.469211,1.89452,4.75464,5.26883,3.01805,3.43781,6.43322,2.57316,2.53651,2.09842,5.87293,2.39764,2.78009,10.0873,2.85655,2.79612,8.16161,2.8628,7.08441,6.48365,2.24432,3.23253,7.46326,5.84386,4.57126,5.0464,3.69658,5.04427,9.70931,3.58163,9.54666,3.67617,4.85614,0.488742,0.0855581,0.980736,-0.164272,-0.457991,-0.037008,-0.692125,-0.181127,0.59007,1.06575,-0.473078,0.423365,-1.10877,-1.02142,-0.680292,-1.11602,-1.66331,-0.767179,-1.02873,-0.927545,-1.22261,-1.95848,-2.0088,-2.2407,-1.71109,-2.29602,-0.587622,-0.917194,-1.05092,-1.12202,-1.46499,-1.19367,0.38019,0.478624,0.272746,0.540976,0.612538,0.509251,0.66644,0.545158,0.356619,0.256213,0.616112,0.395712,0.751899,0.735248,0.663804,0.753249,0.840682,0.68291,0.73667,0.716577,0.772523,0.876368,0.881718,0.903845,0.846977,0.908547,0.642819,0.71447,0.740951,0.754363,0.812295,0.767398
149.834,0.933169,0.0593572,6,63,0,-105.051,-0.483506,-1.30981,0.341347,0.189823,-0.490676,-0.221671,0.563431,-0.0891435,-0.247451,0.156381,0.635581,0.332061,1,-0.261844,-0.261844,1,-0.459679,0.640932,-0.466003,-0.196076,-0.295674,-1.47516,-0.984826,-0.0835362,-1.0526,-1.02657,0.213509,0.178815,0.0612301,-1.27491,-0.626678,-0.439994,-0.808725,-0.84229,-0.630235,-0.681303,-0.756006,-0.829826,-0.849568,-1.06062,-0.866816,-0.990046,-0.973767,-0.634899,0.0256871,0.822436,-0.126227,-0.564012,0.410078,-0.527012,1.44071,0.350937,4.19632,3.26281,3.4317,5.84294,2.66917,5.99034,3.44924,4.91891,3.21721,5.23681,2.58281,2.59721,6.84465,4.51053,6.18176,4.70763,4.75495,5.19737,7.10168,2.70883,7.90961,2.82468,4.9004,3.20248,2.85509,6.53071,5.73157,5.41003,5.59152,11.8292,3.11654,7.47888,0.162955,0.312452,0.230058,-0.915019,-0.312857,0.571228,-0.329014,-0.182558,0.756445,0.876591,0.664382,-0.370685,-0.962343,-0.947702,-1.22729,-1.31247,-0.940093,-0.895774,-1.23791,-1.05914,-1.1477,-1.47606,-1.85675,-2.52649,-1.84327,-1.91529,-0.82862,-0.543978,-1.23,-1.14104,-0.844507,-1.27608,0.459351,0.422516,0.442738,0.714026,0.577582,0.360953,0.581519,0.545513,0.319419,0.293885,0.339756,0.591624,0.723591,0.720653,0.773344,0.787926,0.719118,0.71008,0.7752,0.742527,0.759091,0.813977,0.864917,0.925978,0.863335,0.871612,0.696063,0.632737,0.773818,0.75787,0.699414,0.781782
137.735,0.834901,0.0593572,6,63,0,-99.2442,-0.383605,-0.985571,0.00947753,0.194242,-0.416296,-0.331685,0.456758,0.00870691,-0.325489,0.229898,0.561655,0.466812,1,-0.48391,-0.48391,1,-0.535316,0.550907,-0.156486,-0.0463153,-0.189335,-1.34656,-1.21548,-0.105614,-1.46545,-0.731648,-0.0178939,-0.133533,-0.505253,-0.851718,-0.492159,-0.559561,-0.999883,-0.490117,-0.486379,-0.080585,-0.78638,-0.732238,-1.03205,-0.422337,-0.754161,-1.2173,-0.698409,-0.915256,-0.0159631,0.954319,-0.193229,-0.0175968,0.760726,-0.682028,1.47582,0.381689,3.77032,3.71963,3.51818,6.57811,2.18641,7.23041,3.74417,5.21927,4.4821,5.15145,2.11753,2.65277,6.25056,3.94196,7.34751,3.97528,4.82088,5.11885,8.31129,2.88981,6.86108,3.22831,3.29937,2.79088,2.59857,5.42604,6.67153,4.40048,5.24751,11.8033,2.55232,7.10992,0.553568,0.48354,0.366263,-0.739473,-0.441071,0.643054,-0.613813,0.300189,0.563446,0.679492,0.166186,0.270219,-0.729552,-1.05438,-1.50341,-1.07087,-0.685159,-0.562912,-1.24259,-0.952595,-1.35538,-1.06328,-1.89577,-3.08711,-1.65982,-2.44671,-0.999413,-0.705851,-1.54995,-0.541383,-0.732117,-1.46324,0.365037,0.381417,0.409444,0.676881,0.608514,0.344557,0.64881,0.425511,0.36275,0.336375,0.458549,0.432853,0.674707,0.741615,0.818082,0.744763,0.664889,0.637126,0.776014,0.721637,0.795007,0.743318,0.869412,0.956358,0.840214,0.920321,0.730943,0.669484,0.824906,0.632134,0.67527,0.812028
148.549,0.940102,0.0593572,6,63,0,-99.3143,-0.303863,-1.07708,-0.365496,-0.426372,-0.19743,0.135473,0.570613,0.168194,-0.0824107,0.092883,0.382972,0.323478,1,-0.336834,-0.336834,1,-0.524189,0.688164,-0.575965,-0.483191,-0.520183,-2.26776,-1.58354,-0.0831251,-2.02738,-0.59781,-0.121171,0.610246,-1.01833,-0.276224,-1.04461,-0.661549,-0.370255,-1.52094,-1.11168,-0.273451,-1.15688,-0.636711,-0.213362,-1.71866,-1.4882,-1.07705,-0.720612,-0.997658,-0.378764,-0.580188,-0.958341,0.474736,-1.6275,-0.238728,1.54263,0.317337,2.12641,4.87092,6.36213,5.35333,7.59389,4.62976,5.18814,4.04565,4.42861,5.00041,4.03485,2.49616,10.1137,3.4899,3.53852,9.20683,4.58832,7.09211,3.68029,5.43101,5.66796,8.42867,5.18546,3.64952,3.7479,4.03162,4.44514,6.87762,6.39014,6.45212,4.94502,4.04606,0.222535,0.388909,0.341403,-1.4272,-0.811325,0.699604,-1.28671,0.0692613,0.729901,1.36669,-0.204059,0.354047,-1.25457,-0.766362,-0.643262,-1.76241,-1.33741,-0.898618,-1.27746,-1.02538,-0.559969,-2.10729,-2.26021,-1.98233,-1.56622,-1.82579,-1.00002,-1.35575,-1.42714,-0.549614,-2.4714,-1.15794,0.444595,0.40398,0.415469,0.806464,0.692392,0.3319,0.783589,0.482692,0.325216,0.203155,0.550838,0.412401,0.778089,0.682733,0.655491,0.853511,0.792064,0.710665,0.782017,0.736018,0.636445,0.891609,0.905527,0.87893,0.827244,0.861259,0.731062,0.795068,0.806455,0.634046,0.922113,0.760957
155.692,0.985059,0.0593572,6,63,0,-114.233,0.234601,0.0118249,-0.965177,0.368055,-0.382007,-0.045425,0.186716,0.370428,-0.478155,0.166434,0.423713,0.469509,1,-0.23266,-0.23266,1,-0.958087,0.56559,-0.352425,-0.623411,-0.869774,-2.20118,-1.16372,-0.533181,-1.8871,-0.758797,-0.152753,0.0462662,-1.1102,-0.707457,-1.34866,-1.0944,-0.897377,-1.05645,-1.41231,-0.0252748,-1.61666,-1.1047,-1.21903,-0.810281,-1.91199,-1.17183,-1.47926,-0.817565,-0.487934,-0.305653,-1.64265,-0.391969,-0.674569,-0.674217,1.63637,0.29997,3.01132,3.6499,3.51562,5.30383,3.17547,8.04824,2.66302,5.95247,6.53143,3.58486,3.63379,3.57602,4.75249,2.9954,6.21621,4.41372,6.81115,5.89676,7.70886,3.68305,5.30232,3.04934,6.56395,5.02408,7.8329,4.88908,6.92812,8.19239,6.45914,11.8404,6.76455,6.47987,0.675405,0.37974,0.136903,-1.18745,-0.127079,0.499937,-0.839875,0.313102,0.85745,1.0882,-0.0876588,0.376782,-0.952801,-0.733804,-0.907205,-1.07685,-1.01117,-0.77067,-1.25077,-1.07574,-1.20418,-1.20816,-2.30691,-2.53363,-1.8495,-1.69945,-0.427608,-1.20516,-1.63344,-0.702271,-1.55116,-1.01977,0.337288,0.40619,0.465828,0.766285,0.531727,0.377555,0.698439,0.422358,0.297872,0.251958,0.521901,0.406903,0.721678,0.675639,0.712428,0.745898,0.733249,0.683666,0.777434,0.745688,0.769267,0.769974,0.909447,0.926466,0.864068,0.845463,0.605302,0.769442,0.83664,0.668691,0.825082,0.734929
