# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_cor_model
# start_datetime = 2022-02-18 19:22:36 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c68bb215f.json
# init = 2 (Default)
# random
#   seed = 1862562355
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_cor-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_cor-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_cor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,mu_aHS,bP,bAHS.1,bAHS.2,bAHS.3,mu_bAHS,sigma_abHS.1,sigma_abHS.2,Rho.1.1,Rho.2.1,Rho.1.2,Rho.2.2,m_c,s_c,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.055998
# Diagonal elements of inverse mass matrix:
# 0.184888, 0.501835, 0.397143, 0.429108, 0.192487, 0.0208527, 0.0436419, 0.0256581, 0.0307381, 0.0472757, 0.788456, 0.608989, 0.282068, 0.171436, 0.0325047, 0.273233, 0.261073, 0.253112, 0.250414, 0.269043, 0.253718, 0.300788, 0.25912, 0.251789, 0.267902, 0.270603, 0.27201, 0.270392, 0.28784, 0.260512, 0.265649, 0.287307, 0.294541, 0.269489, 0.264904, 0.229372, 0.232654, 0.288543, 0.348139, 0.27108, 0.269955, 0.284683, 0.282838, 0.312717, 0.275792, 0.255653, 0.235321, 0.0140759, 0.100225, 0.0818163, 0.0759883, 0.0885553, 0.134919, 0.137201, 0.140813, 0.0876359, 0.106581, 0.108885, 0.119342, 0.0876099, 0.0894896, 0.180099, 0.0886034, 0.105551, 0.119592, 0.0851513, 0.153027, 0.126871, 0.0985865, 0.156417, 0.133071, 0.137866, 0.132044, 0.104421, 0.100706, 0.11864, 0.127639, 0.113057, 0.358741, 0.132729, 0.0834722
154.896,0.93539,0.055998,6,63,0,-108.434,-0.409943,0.768496,-0.845558,-0.334554,-0.290807,-0.0797237,-0.0592422,-0.0125556,-0.27742,-0.133104,1.73435,0.149897,1,-0.81656,-0.81656,1,-0.0864766,0.626301,0.162508,0.328362,0.631579,-1.44471,-0.763628,-0.0963087,-0.762983,-0.824981,0.489411,0.687418,-0.0427683,0.0792119,-0.536985,-0.0585276,0.589182,-0.163995,0.36238,0.0698852,0.379157,0.196094,-0.11596,-0.870255,-0.889316,-0.0670585,-0.297697,-0.343481,0.657693,0.668045,-0.654941,0.539655,0.0614176,0.143095,1.71792,0.348328,3.14705,2.71976,7.44612,6.71803,4.12184,6.0259,3.57963,4.558,3.25738,5.12504,4.19385,2.6373,10.6392,4.06417,4.55854,10.0528,4.2865,8.07918,5.78445,4.82231,9.23989,6.17804,4.92151,4.43584,4.0764,8.53494,4.99234,9.46632,8.55311,8.10753,6.49468,6.18235,0.34471,0.467252,0.776656,-1.28726,-0.565958,0.0951744,-0.54675,-0.565435,0.640675,0.89437,0.130152,0.360414,-1.80357,-1.38698,-0.726718,-1.49846,-0.894919,-1.21162,-0.940018,-1.05174,-1.38855,-2.20454,-2.26107,-2.01221,-1.62613,-2.00812,-0.476857,-1.02753,-1.87921,-0.683596,-1.59394,-1.14203,0.414666,0.385267,0.315041,0.783683,0.63783,0.476224,0.633381,0.637709,0.345094,0.290209,0.467508,0.410859,0.858582,0.80011,0.674085,0.817344,0.709904,0.770586,0.719103,0.74111,0.80036,0.900656,0.905601,0.882073,0.835639,0.881647,0.617005,0.736437,0.86752,0.664541,0.83117,0.758052
141.729,0.899634,0.055998,6,63,0,-100.707,-0.102768,1.84136,-0.675786,-0.185119,-0.654355,-0.0539218,-0.362591,-0.250249,-0.392064,-0.225324,1.40417,0.173127,1,0.183054,0.183054,1,-0.0499521,0.584587,0.510873,-0.20095,0.151511,-1.08474,-0.673382,0.447588,-1.03545,0.26588,0.187659,1.15493,-0.139684,-0.1981,0.658936,0.196084,0.275679,0.42894,0.817196,0.0995938,0.0595033,-0.0570823,0.17863,-1.05548,-0.518157,-0.869259,-0.340561,-0.415744,-0.606693,0.575287,-0.205687,-0.160893,0.151137,-0.74657,1.6121,0.463852,2.44289,5.11209,8.63207,4.14657,2.78539,7.16411,3.80596,3.45577,2.70475,6.26606,3.92989,1.97144,7.6439,4.64925,4.00528,6.63375,3.80025,8.65678,5.77497,4.01201,8.32237,5.68184,3.36651,4.35946,3.32115,8.25337,5.93158,4.39243,9.7572,11.0801,3.84419,4.22894,0.840106,0.0989883,0.455634,-0.772244,-0.333687,0.783098,-0.683196,0.647425,0.495967,1.50091,0.183271,0.198092,-0.852382,-1.35708,-1.02724,-0.886534,-0.687845,-0.69655,-1.48739,-1.31397,-1.09499,-2.12907,-1.63915,-2.78693,-1.43226,-1.93926,-1.36282,-0.969156,-1.0225,-1.18145,-1.3661,-1.80897,0.301512,0.475273,0.388022,0.684006,0.582656,0.313653,0.664452,0.34357,0.378489,0.18229,0.45431,0.450638,0.701067,0.795285,0.736381,0.708174,0.665487,0.667422,0.815686,0.788176,0.749321,0.893697,0.837419,0.941966,0.807253,0.874271,0.796218,0.724951,0.735459,0.765208,0.79675,0.859238
143.746,0.912995,0.055998,6,63,0,-101.464,-0.444664,1.22302,-0.373914,-0.283188,0.619652,-0.103321,-0.295398,-0.196287,-0.266401,-0.136946,0.60223,0.193619,1,-0.351571,-0.351571,1,0.245431,0.540527,0.674514,0.745614,0.609954,-0.750793,-0.129766,0.852983,-0.539617,0.641249,1.15335,0.33282,0.499869,0.585382,0.37805,0.180504,0.34186,0.261602,0.207563,-0.20607,0.158193,-0.053271,0.271944,-1.24046,-0.345833,0.0534433,-0.369999,-0.00308888,-0.120599,0.599301,0.584374,0.382676,0.381151,0.335037,1.24915,0.603634,2.16469,1.30017,3.50994,3.63473,5.03218,7.25588,3.43846,6.81527,4.76467,2.65163,2.69113,2.08774,6.62231,2.50985,5.16085,10.6412,2.97862,7.9164,6.25738,4.16838,7.36504,4.56373,2.26786,1.70679,5.7422,4.14865,4.51889,7.95934,4.217,19.2688,5.46082,5.64656,0.349844,0.364811,0.23717,-1.10754,-0.434389,0.540342,-0.820183,0.416815,0.788586,0.040226,0.163171,0.389015,-0.994932,-1.27267,-0.915025,-1.01934,-1.15339,-1.05835,-1.28295,-1.22195,-0.928808,-2.34115,-1.70033,-1.85791,-1.66837,-1.64404,-1.26082,-1.08174,-0.672123,-0.779369,-1.24777,-0.907197,0.41342,0.409795,0.440984,0.75167,0.606921,0.368108,0.694275,0.397279,0.312472,0.489945,0.459298,0.403954,0.730061,0.781199,0.714027,0.734844,0.76013,0.742376,0.782951,0.772406,0.716833,0.912228,0.845578,0.865054,0.841358,0.838083,0.779167,0.746823,0.661978,0.685544,0.776913,0.712426
136.281,0.888817,0.055998,6,63,0,-108.078,-0.542344,0.301945,-0.221511,0.0705352,0.0657655,-0.0911108,-0.051158,-0.229184,-0.33488,-0.229873,1.1545,0.370838,1,0.346697,0.346697,1,0.159023,0.586962,0.709321,0.639746,0.817685,-0.104161,-0.653075,0.854353,-0.428553,0.0121584,1.3031,1.49066,-0.0522062,0.234607,-0.170931,0.921544,0.369836,-0.225267,0.48955,0.106799,0.0808994,0.0277065,-0.0127655,0.0869071,-0.0319525,0.134256,-0.74115,-0.204057,0.699428,0.706539,-0.506069,0.440041,-0.541766,-0.456686,1.35424,0.574343,1.97576,1.58148,3.60668,5.15245,7.65475,5.52,5.03667,4.89051,3.81634,2.07905,3.64663,2.62456,9.4428,1.99273,4.14035,5.44684,5.17995,4.97605,3.95528,3.99102,4.81651,4.10846,1.59112,1.79338,3.95986,5.539,2.68322,12.6546,1.88792,17.0385,6.9027,3.56289,0.333567,0.214493,0.399503,-0.5082,-1.01115,0.489206,-0.765415,-0.275205,0.891985,1.14319,-0.438567,-0.0280064,-1.59195,-0.570191,-0.892715,-1.50903,-0.920866,-0.686778,-1.40023,-1.15706,-1.22582,-0.981817,-1.25628,-1.78104,-1.91598,-1.78094,-0.23598,-0.905699,-1.54401,-0.614573,-2.10804,-1.58201,0.417373,0.446581,0.401432,0.624385,0.733245,0.380081,0.682528,0.56837,0.2907,0.241734,0.607918,0.507001,0.830891,0.638807,0.70945,0.818918,0.715218,0.66525,0.80222,0.760798,0.773086,0.727469,0.778385,0.855825,0.871689,0.855813,0.558723,0.712119,0.824047,0.648983,0.891682,0.829489
143.014,0.898204,0.055998,6,127,0,-101.169,-0.64428,0.219366,-0.405552,0.11354,0.428721,-0.124058,-0.020188,-0.120235,-0.300442,-0.114814,0.449185,0.182717,1,0.126115,0.126115,1,0.299365,0.508668,1.1399,0.664033,0.63143,-0.612562,-0.424954,0.82096,-0.2786,0.0687909,0.774778,0.829259,0.682022,0.312229,0.275572,1.10225,0.451444,0.148702,0.0590317,-0.03009,0.0481241,0.0635108,0.0359296,-0.203902,0.161258,-0.0254616,-0.235014,-0.276771,0.50714,0.475544,0.462867,-0.0704239,-0.625545,-0.0351015,1.40212,0.481233,1.90919,2.02469,2.61996,4.68454,5.38307,3.06334,3.1065,5.14791,4.14355,2.15573,1.97649,3.12354,12.446,1.95792,5.06594,3.92819,5.65963,9.03343,4.07351,3.85081,7.06585,2.03718,1.77585,2.54156,4.58928,4.68099,3.29532,8.33014,2.04474,8.63118,5.52967,4.22982,0.728557,0.185296,0.16232,-1.06241,-0.812222,0.424063,-0.636984,-0.222194,0.315297,0.456433,0.25624,0.0549429,-1.09359,-0.363199,-0.89377,-1.2254,-1.29569,-1.12039,-1.40288,-1.17579,-1.24189,-1.47702,-1.08305,-1.89954,-1.41192,-1.84559,-0.499308,-1.14142,-0.683192,-1.08365,-2.17992,-1.14461,0.325511,0.453808,0.459509,0.743152,0.692583,0.395545,0.654071,0.555321,0.421822,0.387832,0.436288,0.486268,0.749058,0.589815,0.709668,0.773012,0.785109,0.754061,0.802641,0.76419,0.775892,0.814122,0.74707,0.869839,0.804069,0.863608,0.622297,0.757939,0.664451,0.747184,0.898432,0.758525
137.13,0.995679,0.055998,7,127,0,-92.8542,-0.00565337,2.19708,-2.07022,-0.98906,-0.0705088,0.124089,-0.539419,0.204441,-0.564809,0.0535848,1.10114,0.662444,1,0.0388451,0.0388451,1,0.436775,0.695124,0.680886,0.251131,0.894504,-0.580932,-0.166436,0.668594,-0.860717,0.533443,0.922225,1.1942,-0.122047,0.29772,-0.0999466,0.381955,0.939048,0.402397,1.2688,1.09,-0.216315,0.414495,0.795594,0.429523,-1.00078,0.673368,0.388002,0.948355,0.626443,2.00398,-0.179366,1.22887,0.795859,1.15826,1.69471,0.465585,2.05908,4.21439,8.6089,4.87075,3.77571,10.1249,3.80419,4.00333,2.57291,8.60805,4.08603,2.33462,4.72115,4.0466,3.83728,11.048,2.22127,6.55472,9.14511,4.92227,8.56868,5.16267,8.22783,4.137,3.30872,5.53428,8.56982,6.04225,14.4326,21.4594,3.15205,5.88745,0.620281,0.257941,0.891684,-0.603014,-0.251119,0.593542,-0.974292,0.352452,0.909773,1.09507,-0.168206,0.0830222,-1.60388,-1.02567,-0.673016,-1.18078,-0.24958,-0.945393,-1.63838,-1.30351,-0.883886,-1.33883,-3.0124,-2.43898,-1.69104,-1.604,-0.757769,-0.500215,-1.42393,-1.01389,-1.77094,-0.988196,0.349718,0.43587,0.290763,0.646346,0.562452,0.355823,0.725974,0.412788,0.287046,0.250664,0.541953,0.479256,0.83256,0.736075,0.662178,0.765087,0.562073,0.720188,0.837315,0.786425,0.707627,0.792297,0.953131,0.919752,0.84436,0.832577,0.680869,0.62251,0.805954,0.73378,0.854575,0.728731
