# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_nocor_model
# start_datetime = 2022-03-02 19:33:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b41e782288.json
# init = 2 (Default)
# random
#   seed = 1581025025
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.119606
# Diagonal elements of inverse mass matrix:
# 0.113422, 0.12698, 0.151629, 0.173219, 0.0209232, 0.0153758, 0.0376255, 0.0224308, 0.118056, 0.0395403, 0.237234, 0.197704, 0.215655, 0.193476, 0.190512, 0.234372, 0.201073, 0.231189, 0.224791, 0.2292, 0.179566, 0.238377, 0.221527, 0.22848, 0.298033, 0.194731, 0.194474, 0.210131, 0.213339, 0.259978, 0.219024, 0.228068, 0.256013, 0.283172, 0.216805, 0.266815, 0.307331, 0.292209, 0.254122, 0.242114, 0.243791, 0.221613, 0.0121744, 0.290251, 0.0616157, 0.146602, 0.0614571, 0.0816009, 0.0755166, 0.0749228, 0.0827907, 0.0642762, 0.0824124, 0.0733793, 0.151665, 0.0816514, 0.064403, 0.0792634, 0.0800972, 0.0891478, 0.162288, 0.0709711, 0.0681045, 0.0894412, 0.0966089, 0.107721, 0.0746289, 0.0972313, 0.0708989, 0.0597436, 0.0735364, 0.0694964, 0.0963877, 0.0655475, 0.072546, 0.0756532
175.17,0.606771,0.119606,6,63,0,-136.344,0.228234,0.315742,-0.224787,-0.421839,-0.331912,-0.28455,-0.28092,-0.0107244,-0.597046,0.682836,-1.07702,-1.74097,0.171506,-1.27631,-0.96831,0.42425,-0.894331,-0.253011,-0.33959,-0.876839,-1.559,-1.19318,0.119043,-1.1763,-0.476834,0.276758,-1.10294,0.177603,-1.35037,-1.12993,-1.48993,-1.0492,-0.850509,-1.52464,-0.351972,-0.69375,-0.848815,-0.113085,-1.899,-0.247265,-1.16368,-0.526239,1.20668,0.499465,5.04354,2.73527,1.72973,3.92636,4.5386,3.49707,7.89907,2.98122,2.18811,1.77131,6.42412,4.08623,2.49756,3.18148,3.08475,2.67056,7.61314,2.45216,1.63269,2.04144,4.13247,1.65741,3.84142,4.16531,2.53615,3.27769,3.37687,1.93771,2.86775,2.86713,2.29709,4.68257,-0.696196,-1.33252,-0.0561868,-0.258192,-0.653948,0.209507,-0.322465,0.452936,-0.405011,-0.901691,-1.14998,-1.54258,-0.397938,-1.84203,-1.82917,-0.392028,-1.31195,-0.244719,-1.7487,-1.86022,-2.12862,-1.89072,-0.864676,-2.3637,-0.744774,-0.981169,-1.38197,-0.740901,-2.61355,-0.607426,-1.71596,-0.726925,0.667344,0.791257,0.514043,0.564192,0.6579,0.447814,0.579925,0.388663,0.599891,0.711297,0.759507,0.823839,0.598192,0.863189,0.861662,0.596771,0.78784,0.560876,0.851789,0.865322,0.893654,0.868838,0.703637,0.914017,0.678039,0.72734,0.799308,0.677193,0.931728,0.647353,0.847608,0.67413
176.719,0.994309,0.119606,6,95,0,-140.612,-0.533378,0.706443,0.575829,-0.0497203,-0.254961,-0.106294,-0.255154,-0.00628071,-0.475326,0.480193,-0.471435,-1.47136,-0.267702,-1.10899,-1.1907,0.312209,-0.407385,-0.71369,0.0711213,-1.30045,-0.800153,-0.749444,0.384701,-0.939542,-1.08363,-0.995691,-0.284207,0.0565538,0.0471132,-0.71302,-0.804249,-1.26532,-0.65408,-0.862555,-0.8478,-0.504464,0.0122645,-0.526368,-0.697985,-0.077909,-1.30489,-0.293072,1.11035,0.418761,5.1663,9.03722,2.54246,5.11736,4.66164,3.36185,2.67165,2.26957,2.44338,4.03788,7.87061,3.744,3.46823,4.64583,3.75737,2.36897,4.74851,1.96195,1.72603,3.21097,5.81842,1.70263,2.05175,2.92421,3.01239,4.69944,2.10701,2.56814,3.49081,3.30944,3.85635,4.13826,-0.0868369,-1.17783,-0.350544,-0.571713,-1.08172,0.3516,-0.212895,-0.191635,0.11293,-1.22748,-0.618469,-0.925774,-0.0513441,-1.48985,-2.20072,-1.50898,-0.444323,-0.306778,-0.258428,-1.35228,-1.33378,-1.95067,-1.09738,-1.9395,-1.58196,-1.15963,-0.823834,-1.43518,-1.67734,-0.783076,-2.15959,-0.877695,0.521696,0.764557,0.586749,0.639158,0.74682,0.412994,0.553024,0.547763,0.471797,0.773377,0.64987,0.716217,0.512833,0.816056,0.900314,0.818911,0.609289,0.576099,0.56425,0.794502,0.791466,0.87552,0.74977,0.874297,0.829481,0.761265,0.69505,0.807707,0.842551,0.686343,0.896562,0.706344
177.892,0.999295,0.119606,5,31,0,-146.781,-0.462046,0.719034,0.439731,-0.0556251,-0.104571,-0.159163,-0.304557,0.0340396,-0.643148,0.650283,-0.317557,-1.3949,0.0530846,-0.6544,-0.766598,0.847807,-0.236883,-0.0199009,0.14874,-1.09596,-1.03276,-1.55767,0.40847,-1.05787,-0.222164,-0.534219,-0.185912,0.256366,-0.240461,-1.08274,-1.26806,-1.30766,-0.409006,-1.05016,-0.741625,-0.0745597,-0.245003,-0.299509,-1.45544,-0.097182,-1.703,0.257151,1.1276,0.4018,6.68421,5.00054,2.80753,5.14858,3.60454,3.46434,2.96586,2.57586,1.95714,3.44995,6.20101,4.27729,4.5716,5.2367,3.76955,2.34496,3.53273,2.43124,1.39191,2.99588,6.13621,1.59043,1.7462,2.23994,3.41453,4.16146,1.85996,2.3546,2.63558,2.17925,4.06699,3.64854,-0.320511,-1.31964,-0.141588,-0.248031,-0.651465,0.587701,0.0288923,0.149089,0.00519279,-1.22673,-0.887804,-1.79069,-0.209911,-1.72312,-1.31978,-0.984377,-0.491216,-0.332193,-0.605411,-1.98438,-1.92479,-2.02829,-0.832725,-1.73376,-1.28464,-0.621787,-0.719978,-0.804307,-2.0624,-0.555072,-2.25884,-0.187914,0.579449,0.789122,0.535338,0.561692,0.657341,0.357163,0.492777,0.462797,0.498702,0.773245,0.708437,0.857011,0.552286,0.84853,0.789145,0.727976,0.620393,0.582293,0.646893,0.879147,0.872672,0.883735,0.696931,0.849893,0.783238,0.650625,0.672602,0.690895,0.887195,0.635312,0.90541,0.546841
186.977,0.859602,0.119606,5,31,0,-146.495,-0.292919,0.299982,0.518794,-0.530006,-0.16442,-0.0915167,-0.438278,0.0570592,-0.502418,0.616884,-0.175888,-0.898987,-0.0838223,-0.438565,-0.658839,0.127312,-0.361857,-0.142276,-0.0669799,-0.935703,-0.69585,-0.570512,0.439372,-1.12208,-1.03017,-0.0907248,-0.718432,0.625372,-1.16753,-0.11715,-0.99919,-1.34324,-0.17454,-1.2473,-0.596691,-0.423584,-0.446354,-0.17235,-0.907346,0.1487,-0.543434,-0.221087,1.19997,0.424214,3.19652,3.87531,1.84295,4.48416,2.12086,2.82896,6.24682,1.36826,2.28822,2.86252,6.54973,2.94933,3.78506,4.30034,3.00317,4.04006,12.4592,3.11931,3.3109,2.64689,4.12076,2.96349,5.08476,4.27292,5.97446,3.10637,3.96869,2.60997,1.95133,2.83105,2.55825,3.44937,-0.101319,-0.860178,-0.310698,-0.196626,-0.716079,-0.0437071,-0.340977,0.043906,-0.21347,-1.0621,-0.706198,-0.857677,-0.190793,-1.82593,-2.37326,-0.496973,-0.896922,0.0420977,-1.4398,-1.1521,-1.68964,-2.13417,-0.846205,-2.32759,-1.45592,-1.29298,-1.188,-0.960884,-1.86359,-0.569616,-1.41929,-0.922776,0.525308,0.702698,0.577056,0.548999,0.671743,0.510925,0.584428,0.489025,0.553166,0.743091,0.66956,0.702175,0.547554,0.861276,0.914766,0.621748,0.710317,0.489477,0.808424,0.759894,0.844177,0.894181,0.69977,0.911137,0.810908,0.784651,0.766383,0.723299,0.865715,0.638675,0.805227,0.715607
184.436,0.767206,0.119606,5,31,0,-147.888,-0.611177,0.331956,0.571576,0.0912955,-0.404548,-0.0355858,-0.335317,-0.061586,-0.500754,0.529946,-0.939197,-1.58493,-0.00783374,-0.488863,-0.44752,0.45163,0.325688,-0.290319,0.199381,-1.18072,-0.666034,-1.15053,0.466203,-0.709847,-0.443085,-0.362337,-0.454004,0.276147,-0.680416,-1.44729,-0.52817,-1.46508,-0.60036,-1.03703,-0.454279,-0.021545,-0.122691,0.03609,-0.637863,0.276896,-1.0765,0.160341,1.25197,0.466199,5.50251,6.65221,2.00489,4.99446,2.64969,4.8983,4.68635,2.17718,1.14161,2.91252,5.23593,3.19034,3.15813,3.37632,4.59346,4.24384,2.95331,5.91419,3.51737,4.80957,2.86028,1.38636,3.58769,3.67438,4.48326,3.44441,6.14056,2.11731,2.86813,2.29252,2.31197,5.05141,-0.483562,-1.40687,-0.293889,-0.190182,-0.695368,0.492593,0.0804614,0.250348,0.111109,-1.21955,-0.798507,-1.58492,-0.193555,-1.55091,-2.11392,-1.2142,-0.745482,-0.268237,-1.20264,-2.35995,-1.33627,-2.52041,-0.950049,-2.39213,-1.26546,-0.65577,-1.25049,-1.20708,-1.88972,-0.591533,-2.13058,-0.4652,0.618589,0.803271,0.572948,0.547403,0.66716,0.379283,0.479896,0.437738,0.472251,0.771984,0.689655,0.8299,0.548238,0.825045,0.892249,0.771042,0.678193,0.56666,0.768994,0.913722,0.791875,0.92556,0.721125,0.916225,0.779965,0.65831,0.777385,0.769783,0.868724,0.643717,0.89384,0.614247
178.236,0.972406,0.119606,6,63,0,-141.012,-0.251553,0.196156,0.46305,0.183488,-0.45378,0.138688,-0.141368,0.107761,-1.15243,0.455827,-1.62358,-2.23023,-0.244157,-0.69629,-0.721186,-0.42798,-0.657247,-1.26195,-0.941232,-1.84691,-1.15726,-1.50159,-0.453446,-1.14745,-0.759887,-0.526391,-0.75422,-0.471355,-1.27387,-1.88187,-1.35408,-1.83654,-1.47039,-1.51495,-1.73014,-0.292964,-1.22072,-0.971138,-1.27581,-0.457026,-1.47314,-0.706713,1.21648,0.433525,3.13027,7.72916,1.95876,4.05939,2.67971,7.15591,4.81033,1.9577,1.64831,3.02192,4.518,2.92053,3.02181,2.84165,3.37481,4.41866,4.99109,4.92236,3.09731,5.68923,3.28251,1.39038,3.38467,3.61382,5.27109,2.88695,5.57956,1.98949,3.11571,1.95716,1.07378,5.46525,-0.31888,-1.41548,0.228593,-0.103458,-0.562787,0.59019,-0.674512,-0.0404748,-0.246627,-1.09684,-0.869445,-1.19523,-0.468066,-1.36544,-1.67388,-0.991253,-0.590496,-0.35656,-1.36898,-1.94542,-1.53509,-2.29487,-1.17071,-2.34303,-1.94812,-0.489288,-1.26332,-1.14315,-1.81125,-0.385532,-1.78673,-0.539613,0.579051,0.804629,0.443099,0.525841,0.637097,0.356591,0.662513,0.510117,0.561346,0.749668,0.70463,0.767675,0.614926,0.796642,0.842092,0.729335,0.643479,0.588208,0.797215,0.874946,0.82275,0.908451,0.763274,0.912378,0.875241,0.619939,0.779598,0.758258,0.859513,0.595207,0.856526,0.631722
