# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_nocor_model
# start_datetime = 2022-03-02 19:33:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b41e782288.json
# init = 2 (Default)
# random
#   seed = 1581025025
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.116503
# Diagonal elements of inverse mass matrix:
# 0.13723, 0.123696, 0.129562, 0.127657, 0.0220801, 0.0145693, 0.0341254, 0.021205, 0.159334, 0.036564, 0.283035, 0.274738, 0.290106, 0.238773, 0.241814, 0.312165, 0.250815, 0.263288, 0.285944, 0.296537, 0.220943, 0.30674, 0.25748, 0.253012, 0.324876, 0.265458, 0.256106, 0.253719, 0.264057, 0.338863, 0.248798, 0.309224, 0.252808, 0.302654, 0.262543, 0.267533, 0.335752, 0.309923, 0.298831, 0.275843, 0.287889, 0.241378, 0.0114027, 0.52231, 0.068333, 0.14104, 0.0603302, 0.0930941, 0.0855619, 0.085248, 0.0802012, 0.0711096, 0.0795296, 0.0618337, 0.173208, 0.0730982, 0.0623872, 0.076812, 0.0641798, 0.0980878, 0.16111, 0.0604063, 0.0695773, 0.0801269, 0.0825065, 0.123747, 0.0716054, 0.0872528, 0.0639796, 0.0538582, 0.0630137, 0.0601194, 0.0748598, 0.0548443, 0.0815659, 0.0719771
171.062,0.968823,0.116503,6,63,0,-145.217,-0.325813,-0.00168763,0.410514,-0.288863,-0.352001,0.0508802,-0.0183659,-9.64212e-05,-0.69788,0.702957,-0.655204,-1.22358,0.0571893,-0.271546,-0.628899,0.665618,0.519889,-0.584245,-0.347404,-0.877657,-0.773927,-1.48823,-0.170983,-1.91928,-1.57083,0.304719,-0.909298,-0.653049,-0.947451,-1.69865,-1.77542,-2.04016,-1.20257,-0.349115,-0.67051,-0.360955,-0.245513,-0.12052,-0.774492,0.105009,-0.126408,0.00191937,1.05809,0.474153,5.60086,4.18972,3.99311,3.87716,5.46898,4.28413,3.53106,3.09997,1.48496,3.50943,8.01941,3.57876,4.01324,3.84724,2.39887,2.93888,7.89883,4.43021,1.52863,3.69953,5.19586,1.59472,3.88489,2.29081,6.14231,4.43484,2.84747,3.56825,2.76765,3.52703,1.8818,2.49554,-0.097769,-0.989504,-0.0307272,-0.0962103,-0.847258,0.944086,0.221968,-0.0346664,-0.263227,-0.750456,-0.891898,-1.70522,-0.0790937,-1.98514,-2.08529,-0.0439427,-0.770361,-0.460771,-1.00929,-1.55342,-1.81261,-2.29246,-1.61567,-1.63702,-1.48516,-1.07512,-1.17518,-1.15058,-1.91909,-0.652471,-1.09891,-0.597711,0.524423,0.72899,0.507681,0.524034,0.699992,0.280076,0.444735,0.508666,0.565429,0.679278,0.709282,0.846215,0.519763,0.879228,0.889466,0.510984,0.683599,0.613197,0.732881,0.825407,0.859677,0.90825,0.834197,0.83713,0.815351,0.74557,0.764081,0.759616,0.872036,0.657567,0.750056,0.645133
179.186,0.85127,0.116503,7,127,0,-128.613,-0.408607,-0.0562055,0.212023,-0.19319,-0.458646,0.171002,-0.134226,0.0785425,-0.628134,0.584785,-1.40107,-2.07452,-0.350445,-0.452798,-0.50307,0.16224,-0.230387,-0.135753,-0.280291,-1.48468,-0.595208,-1.27502,-0.00972731,-0.909647,-0.904692,-0.128212,-0.605042,0.182805,-0.720988,-1.74568,-1.30097,-1.34114,-0.594916,-0.500438,-1.05915,-0.592093,-0.452747,-0.130941,-1.04294,-0.262497,-1.26638,-0.535504,1.12287,0.603408,2.28733,9.5247,3.05564,9.41364,5.32994,3.42975,4.28473,1.84166,2.99081,3.25954,7.21764,2.50957,3.49671,5.04238,1.77197,4.39601,8.08656,3.41065,1.9224,4.7619,3.62864,1.57097,3.2509,1.68179,4.27774,4.29398,4.08468,3.4402,2.10661,3.56323,2.2261,4.76019,-0.39872,-1.59821,-0.188966,-0.26243,-0.720969,0.905815,-0.65666,0.751655,0.105421,-1.04291,-0.682303,-1.28172,-0.417538,-1.523,-2.21286,-0.999751,-0.841254,-0.094203,-1.2188,-2.19428,-1.87695,-2.19742,-0.855398,-1.90077,-1.84284,-1.32353,-1.1503,-0.959297,-2.17787,-0.814359,-2.17708,-0.960362,0.59838,0.831768,0.547101,0.565234,0.67282,0.287857,0.65851,0.320461,0.473669,0.739411,0.664253,0.782742,0.602894,0.82098,0.901398,0.73101,0.698729,0.523533,0.771853,0.899735,0.867261,0.900017,0.701698,0.869979,0.863285,0.789768,0.759566,0.722981,0.898245,0.693038,0.898172,0.723194
172.621,0.99942,0.116503,6,95,0,-140.078,0.0578154,-0.359262,-0.01269,0.174607,-0.499881,-0.0168829,-0.100675,0.0488373,-0.869248,0.524717,-1.2741,-1.99534,-0.244729,-0.735471,-0.687273,0.0764854,-0.390137,-0.829483,-0.451185,-1.83135,-0.791049,-1.4118,-0.267981,-0.878466,-1.40461,-0.656111,-0.677315,-0.10494,-0.244421,-1.37054,-1.05678,-1.48145,-1.80921,-1.07388,-0.890148,-1.3139,-0.641679,-0.434447,-1.36666,-0.747012,-1.77508,-0.99053,1.10853,0.400921,3.80884,4.20281,1.63523,2.58519,3.43506,3.91667,2.93557,2.43375,1.19208,5.13689,7.4916,3.76417,2.7267,4.16648,3.47195,4.06472,5.85069,3.05089,2.68725,1.69934,1.54207,1.75889,3.51762,2.00743,2.21744,2.81578,3.99229,1.54626,2.12436,1.58639,2.76831,4.59175,-0.586255,-1.67756,-0.473355,-0.322833,-0.922866,0.27903,-0.649579,-0.0636551,-0.435419,-1.75449,-0.884079,-1.82372,-0.361834,-1.19635,-2.43414,-1.301,-0.629762,-0.056231,-0.481993,-1.46324,-1.33393,-2.06409,-1.24156,-1.74855,-0.89274,-1.22277,-0.660688,-0.596019,-1.78884,-0.570465,-1.95286,-0.638794,0.642505,0.842581,0.616178,0.580014,0.715626,0.430692,0.656916,0.515908,0.607167,0.852518,0.707667,0.861012,0.589484,0.767874,0.919394,0.786004,0.652435,0.514054,0.618218,0.812028,0.79149,0.887364,0.775835,0.85177,0.709455,0.77255,0.659415,0.644745,0.856785,0.63887,0.875758,0.654481
174.483,0.992541,0.116503,6,63,0,-134.954,-0.173792,0.248355,0.430874,-0.593246,-0.0674411,0.172608,-0.38118,0.0155842,-0.743214,0.647386,-0.713188,-1.43046,-0.767253,-0.51105,-1.01971,-0.209403,-0.466602,-0.410192,-0.381179,-1.54647,-0.565331,-1.32279,0.150046,-0.656407,-0.659639,-0.853219,-1.08911,0.270982,-0.0525981,-1.63639,-1.46063,-2.01042,-0.303575,-1.42338,-0.487908,-0.326047,-0.514214,-0.553116,-1.40479,-0.357484,-0.846653,0.0348999,1.34482,0.386665,2.90161,3.33686,3.23173,5.27969,3.39745,3.26816,4.7434,2.33154,3.97024,1.60945,6.96652,2.78487,3.04791,3.34635,2.50607,5.73217,4.29395,3.41586,2.31041,4.45183,6.36144,2.32801,3.02401,3.93217,5.48744,3.26663,3.22193,5.92314,4.38963,4.17709,3.03699,2.75538,0.0195034,-0.922578,-0.158207,-0.340147,-0.761377,0.6327,-0.386372,0.158134,0.260839,-0.896214,-0.287764,-0.738469,-0.346817,-1.18349,-1.65034,-1.05683,-1.19929,-0.206648,-0.201253,-2.50069,-1.98222,-2.57323,-1.01639,-2.3038,-1.27766,-1.11215,-1.27919,-1.33733,-2.24216,-1.10508,-1.65104,-0.698051,0.495124,0.715567,0.539469,0.584226,0.681653,0.346899,0.595409,0.460549,0.435158,0.710171,0.571449,0.676661,0.585845,0.765576,0.838937,0.742084,0.768399,0.551479,0.550144,0.92419,0.878917,0.929119,0.734269,0.909191,0.782051,0.752529,0.782312,0.79205,0.903972,0.75121,0.839032,0.667756
188.761,0.994768,0.116503,5,31,0,-145.139,-0.264337,0.340677,0.0916903,-0.4888,-0.124195,0.0270609,-0.158191,0.303069,-0.84982,0.539987,-1.04516,-1.74744,-0.240256,-0.737617,-0.871332,-0.00106793,-0.322896,-0.246999,-0.457211,-1.31134,-1.39805,-1.60884,0.165846,-1.4669,-1.07642,-0.11528,-0.247455,0.319423,-1.60106,-0.71653,-1.3345,-0.753837,-0.288841,-1.13579,-0.859451,-0.190532,-1.05575,-1.27295,-1.71678,-0.218041,-1.94839,-0.219438,1.1818,0.336415,3.44086,5.68011,4.02666,4.64594,4.32722,3.96224,3.04491,2.88996,2.01398,3.37278,3.31203,4.38013,3.53126,3.15603,2.68686,6.28323,5.66349,5.08657,2.55208,3.19486,5.24295,1.44403,4.08995,2.97501,4.02015,3.11386,4.19356,2.9697,3.68603,2.68853,3.31125,4.23116,-0.62926,-1.45474,-0.0520586,-0.483863,-0.747376,0.325509,-0.23612,0.157016,-0.208294,-1.04725,-1.23867,-1.46618,-0.307686,-1.9961,-1.91561,-0.59254,-0.552677,-0.11869,-1.97712,-1.32295,-1.85358,-1.34881,-0.667754,-1.82336,-1.38004,-0.978773,-0.70761,-0.960233,-2.05068,-0.112255,-2.22157,-0.361062,0.652322,0.810727,0.513012,0.61866,0.678607,0.419334,0.558757,0.460827,0.551886,0.740246,0.775333,0.812476,0.57632,0.880387,0.871648,0.643948,0.634756,0.529638,0.878374,0.789673,0.864546,0.793935,0.661,0.860969,0.798998,0.726865,0.669873,0.723168,0.886017,0.528034,0.90217,0.589297
184.74,0.757785,0.116503,5,31,0,-153.978,-0.152062,-0.0215687,-0.00035785,-0.369802,-0.327002,0.123119,-0.0350768,-0.0405406,-0.738725,0.703295,-0.72343,-1.91559,-0.530924,-0.308051,-0.841547,-0.146995,-0.125498,-0.656837,-0.236192,-1.80883,-0.297838,-1.1125,0.29655,-0.995162,-1.27361,-0.398439,-0.79081,0.14925,0.0666101,-1.44362,-1.2899,-2.12623,-0.836343,-1.24793,-0.603885,-0.488249,-0.357723,0.106193,-1.1403,-0.131797,-1.04188,-0.30609,1.28639,0.388567,2.96545,7.05356,3.7523,6.17768,2.82299,4.58208,3.37102,2.19648,2.87114,2.99353,4.53903,2.94366,2.62421,4.56505,4.15112,4.99968,7.94493,2.39815,2.03364,1.40531,3.71614,2.3628,5.13578,2.78694,4.18969,3.7098,4.42164,2.34067,3.44087,2.27173,3.62294,3.09874,0.152586,-1.41583,-0.254429,-0.0145552,-0.837936,0.545718,-0.271651,0.136027,0.200176,-1.3325,-0.200967,-0.955905,0.114778,-1.32348,-2.03669,-0.97146,-0.910861,0.0607359,-0.239958,-1.59386,-1.59158,-2.62775,-1.2114,-2.43567,-1.35197,-1.10254,-1.33402,-0.963358,-2.23535,-0.907677,-1.97706,-0.89488,0.461927,0.804683,0.563266,0.503639,0.69803,0.366859,0.567498,0.466046,0.450123,0.791253,0.550073,0.722301,0.471337,0.789761,0.884596,0.72541,0.713176,0.484821,0.559703,0.831158,0.830838,0.932626,0.770546,0.919507,0.794452,0.750736,0.791504,0.723794,0.903379,0.712525,0.878367,0.709896
