# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_C_sim5_nocor_model
# start_datetime = 2022-02-21 13:33:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9c1860240b.json
# init = 2 (Default)
# random
#   seed = 1707178328
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_C_sim5_nocor-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_C_sim5_nocor_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aHS.1,aHS.2,aHS.3,bP,bAHS.1,bAHS.2,bAHS.3,m_i,s_i,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,m_M,s_M,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0943009
# Diagonal elements of inverse mass matrix:
# 0.153003, 0.156184, 0.121251, 0.115068, 0.0248356, 0.0186842, 0.025973, 0.0191298, 0.135334, 0.0325377, 0.268974, 0.252654, 0.261573, 0.227194, 0.242032, 0.254953, 0.253647, 0.23643, 0.229444, 0.269693, 0.230783, 0.285899, 0.184713, 0.261133, 0.213663, 0.258538, 0.280972, 0.211755, 0.234961, 0.222799, 0.243147, 0.271742, 0.23499, 0.287165, 0.3128, 0.292499, 0.230502, 0.241114, 0.239515, 0.194697, 0.229972, 0.300094, 0.0143477, 0.134493, 0.0769257, 0.110151, 0.0950559, 0.160183, 0.0883737, 0.129289, 0.100653, 0.098454, 0.0984952, 0.106145, 0.105742, 0.0823036, 0.218659, 0.0835751, 0.0918585, 0.132082, 0.13245, 0.118661, 0.103891, 0.100134, 0.145087, 0.113081, 0.158302, 0.116319, 0.197856, 0.105866, 0.0921881, 0.11591, 0.119716, 0.181958, 0.0964452, 0.0990268
151.435,0.918449,0.0943009,6,63,0,-119.826,-0.812956,-0.0747547,-0.723938,-0.588243,-0.349767,0.13718,0.0868016,0.0403533,0.274054,0.577776,0.41281,0.671721,0.585879,-0.481493,-0.921054,1.14014,-0.117911,0.0826449,0.916179,1.39292,-0.0319151,0.264099,-0.0442801,0.459811,0.931465,0.68585,0.503138,0.267375,0.115048,0.0926856,0.239889,-0.0669564,-0.676564,-0.0655337,-0.671322,-0.179718,1.23783,0.797338,0.468817,0.386272,0.060095,0.523436,1.64133,0.423441,2.31838,8.64392,3.47906,9.81333,7.38832,11.9966,3.06285,11.5128,2.32677,4.62069,4.19851,3.41259,7.06383,1.58948,3.87743,7.97906,5.5201,5.23578,10.2277,4.5847,7.29674,2.57111,5.60765,2.94072,7.6595,4.87256,5.79058,5.90081,4.77033,10.91,7.10808,5.20961,0.494113,0.363522,0.153484,-1.03074,-0.774834,0.485319,-0.361194,0.0787017,0.756435,0.615614,-0.30851,0.20993,-1.3175,-0.908373,-0.688223,-0.786202,-1.40218,-0.681259,-1.22717,-1.0507,-1.18023,-1.69481,-2.21999,-1.41561,-2.54074,-2.03054,-0.485957,-0.535546,-1.12373,-1.07785,-1.31174,-1.4702,0.378925,0.410107,0.461704,0.737059,0.684566,0.380997,0.589329,0.480335,0.319421,0.35078,0.576521,0.447709,0.788765,0.712667,0.665571,0.687015,0.80253,0.66402,0.773323,0.740909,0.764989,0.844856,0.90203,0.804649,0.926949,0.883966,0.619153,0.630776,0.754681,0.746087,0.787804,0.813088
158.306,0.992842,0.0943009,6,63,0,-120.489,-0.846421,0.276896,-0.563391,-0.628987,-0.293527,0.0487685,0.0849836,-0.0167037,0.148849,0.571663,0.563817,0.570924,1.33383,-0.479494,-0.692103,0.368724,-1.18081,0.227869,0.726534,1.00467,-0.0214311,0.206959,0.224538,0.809093,0.806402,-0.0412044,0.0146608,0.45463,-0.0367993,0.178484,0.0852485,-0.0811759,0.25907,-1.30004,-0.653087,0.548633,1.54231,0.6473,0.102914,0.629693,0.242882,0.583505,1.49476,0.638222,1.50959,3.22505,4.32451,7.90401,3.30947,9.09382,3.24425,7.26811,2.68741,3.98208,2.51676,2.40581,7.69783,2.21502,4.35485,6.68996,5.90235,6.77531,7.54898,3.05246,9.16692,3.06112,5.39102,3.93387,10.1013,5.34659,6.22386,7.1798,6.73121,12.1845,6.19845,9.17721,0.608435,0.288669,1.0137,-0.897684,-0.593005,-0.00535819,-1.40859,0.267302,0.635217,0.461439,-0.210809,0.0715348,-0.939717,-0.422719,-0.660752,-1.36018,-1.6922,-0.437231,-1.24682,-0.876814,-1.19015,-1.5309,-1.38626,-2.73254,-2.52142,-1.50637,-0.304957,-0.922482,-1.68478,-0.999657,-1.35959,-1.59135,0.352416,0.42833,0.266257,0.710473,0.644054,0.50134,0.803543,0.43357,0.346329,0.386645,0.552508,0.482124,0.719042,0.604134,0.659429,0.795789,0.844513,0.607599,0.776749,0.706162,0.766767,0.822139,0.799995,0.93892,0.92563,0.818523,0.575654,0.715548,0.843537,0.730991,0.795693,0.830806
160.601,0.951686,0.0943009,6,63,0,-116.248,-0.132649,0.546536,0.198043,-0.752692,-0.345985,-0.105644,-0.348268,0.262234,-0.546337,0.531548,-0.118541,-0.0888737,0.147651,-1.20923,-1.13989,-0.422396,-0.80575,-0.376668,0.459717,0.178206,-0.942809,-0.545827,-0.24453,-0.284595,-0.210644,0.216043,-0.828311,-0.626228,-0.574491,-0.119559,0.175241,-1.24718,-0.716448,-1.61247,-0.883898,-1.24729,0.209993,-0.477452,-0.821105,-0.284142,-0.913102,-1.01577,1.65574,0.441932,3.3196,3.77678,6.41078,4.64842,2.7056,7.86945,4.13557,4.10157,6.27638,4.5435,3.29387,3.36122,4.56276,3.43672,4.70778,7.41899,10.2187,10.5456,6.66129,3.28131,8.18443,5.56654,3.5371,4.08029,6.12645,3.10982,5.93934,7.24521,6.94805,5.80473,4.70628,6.94072,0.529862,0.17424,0.529251,-0.943218,-0.427276,0.221863,-0.478422,0.428751,1.11102,0.459961,-0.407093,-0.27277,-0.786572,-1.35471,-0.66128,-0.956814,-1.56149,-0.847195,-1.61892,-0.533172,-0.946243,-2.57415,-1.52016,-2.44724,-2.23239,-1.68812,-0.549816,-0.628265,-1.22878,-0.78709,-1.10244,-1.59788,0.370549,0.45655,0.370692,0.719749,0.605223,0.444761,0.617375,0.394425,0.247681,0.386995,0.600391,0.567773,0.687095,0.794898,0.659548,0.722483,0.826567,0.699978,0.834646,0.630223,0.720359,0.92918,0.820562,0.920359,0.903121,0.843977,0.634093,0.652096,0.773605,0.687206,0.750718,0.831721
160.849,0.934364,0.0943009,6,63,0,-118.208,-0.375551,0.53962,0.404034,-0.920458,-0.346802,-0.0595072,-0.198924,0.317555,-0.453149,0.4684,-0.0667489,-0.0712195,0.552059,-1.33028,-1.15949,-0.38213,-0.994146,-0.807109,0.259013,0.552782,-0.525651,-0.0105779,-0.601243,-0.191994,-0.310095,-0.226315,-1.45382,-0.374383,-0.744819,-1.06672,-0.322987,-1.36018,-1.24772,-1.26303,-0.169241,-0.968924,0.251612,-0.432738,-0.575678,-0.0510267,-1.18662,-0.934268,1.59217,0.303062,2.85838,3.83126,4.17346,6.06234,4.83061,6.32405,2.62503,6.21403,4.32177,3.59797,3.2576,3.49816,4.77388,2.55177,3.16664,7.47422,10.9497,8.12846,7.80599,3.81567,5.9918,4.44861,5.32922,4.26152,3.70638,3.45613,3.20228,6.20821,5.77635,5.01956,7.16413,6.43434,0.471549,0.0808773,0.776536,-1.22167,-0.556821,0.0128555,-0.777683,-0.157811,0.753831,0.630793,-0.146693,0.197872,-0.881299,-0.851202,-0.648695,-0.98851,-2.07563,-0.332605,-1.37828,-1.21804,-1.03369,-2.27686,-2.40721,-2.50835,-1.9295,-1.60056,-0.809165,-0.828379,-1.22879,-0.854337,-1.62088,-1.70752,0.38425,0.479792,0.315067,0.772357,0.635717,0.496786,0.68518,0.539371,0.319987,0.347331,0.536608,0.450693,0.707091,0.700819,0.656716,0.728794,0.888512,0.582393,0.798715,0.771719,0.73763,0.906942,0.917375,0.924725,0.873194,0.832097,0.691932,0.696012,0.773606,0.701476,0.834917,0.846514
156.42,0.871343,0.0943009,5,31,0,-120.51,-0.939805,1.25187,-0.00193225,-0.571452,-0.214982,-0.0127491,0.00244618,0.316875,-0.293653,0.496548,0.28047,-0.299308,-0.251154,-0.625106,-0.987369,-0.201441,-1.35024,-0.18219,0.333744,0.101876,-1.19117,-0.467403,-0.414672,0.151692,0.0491308,0.23852,-0.977112,-0.155383,0.0526436,0.0950089,-0.061572,-0.592432,-0.14202,-0.729374,-0.689538,-1.05967,0.881775,-0.105545,-0.878793,-0.308545,-0.501516,-0.703114,1.62178,0.251758,2.22619,5.58823,4.7984,3.81345,5.39494,10.5286,8.27579,4.01899,6.66282,4.98223,3.07161,4.18957,9.67102,4.88697,6.54065,7.21384,4.67461,6.40166,3.7052,5.14751,9.49756,4.3195,4.88107,4.56817,7.30712,3.90437,5.84037,5.42841,8.16633,7.38829,4.46309,5.69674,0.896934,0.077751,0.146634,-0.29914,-0.331004,0.253766,-0.933282,0.478944,0.899116,0.38473,-0.697615,-0.0312714,-1.29615,-0.839066,-0.994401,-0.81608,-2.19621,-0.837361,-0.922154,-0.706671,-1.08425,-1.74279,-1.44862,-2.20921,-2.48858,-1.679,-0.243616,-0.698596,-1.63145,-1.27433,-1.11851,-1.41022,0.289681,0.480572,0.463407,0.574232,0.582004,0.436897,0.717741,0.382502,0.289232,0.404987,0.667659,0.507817,0.785187,0.698269,0.729956,0.693404,0.899908,0.697909,0.715481,0.669665,0.747298,0.851042,0.809786,0.901073,0.923337,0.842772,0.560605,0.667876,0.836368,0.781483,0.753712,0.803801
154.321,0.96081,0.0943009,5,63,0,-115.246,-0.340125,0.238706,-0.451071,-0.846535,-0.35818,0.130215,0.0713227,0.11035,-0.312465,0.682761,-0.211895,0.0590051,1.01283,-1.53831,-1.67795,0.0546565,-1.38018,-0.805523,0.340509,0.326258,-0.746995,-0.279572,-0.429759,-0.0571425,0.144192,-0.130016,-0.587032,-0.17921,-0.811826,-0.781793,-0.277521,-0.718379,-1.23924,-1.29162,-0.185447,-0.143509,0.826858,-0.103275,0.220292,0.12355,-0.765096,-0.272872,1.72818,0.364717,3.6209,3.8053,3.64418,12.2455,5.66331,4.95114,2.97566,9.54431,5.73999,5.01945,5.05972,2.08373,5.61112,3.65112,3.58934,9.17991,5.1728,12.8977,6.62906,4.95932,8.30746,3.30577,8.04357,3.56306,3.86617,4.0149,4.90113,6.75939,4.95307,9.47307,5.97698,9.00942,0.648217,0.520245,1.35716,-1.31365,-0.751364,0.19173,-0.85246,-0.0224437,0.964039,0.327632,-0.243126,0.431545,-0.98607,-0.728271,-0.749356,-0.90751,-1.77309,-0.403128,-1.45636,-1.20515,-1.00183,-1.65542,-2.50252,-2.42593,-1.85158,-1.5145,-0.5521,-1.0129,-0.955246,-0.989494,-1.71461,-1.79011,0.343392,0.372795,0.204703,0.788123,0.679476,0.452214,0.701083,0.505611,0.27607,0.418817,0.560484,0.393758,0.728311,0.674426,0.679038,0.71249,0.854841,0.599439,0.810976,0.769439,0.731419,0.839622,0.924319,0.918783,0.864313,0.819727,0.634623,0.733587,0.722169,0.728988,0.847433,0.856941
