# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_nocor_sim5_model
# start_datetime = 2022-02-17 15:17:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpkhhw1f/standata-535875f250d8.json
# init = 2 (Default)
# random
#   seed = 1304097012
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_nocor_sim5-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_nocor_sim5-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_nocor_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aE.1,aE.2,aE.3,aE.4,aHS.1,aHS.2,aHS.3,bP,bA,bAHS.1,bAHS.2,bAHS.3,mu_a,sigma_a,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_a.6,z_a.7,z_a.8,z_a.9,z_a.10,z_a.11,z_a.12,z_a.13,z_a.14,z_a.15,z_a.16,z_a.17,z_a.18,z_a.19,z_a.20,z_a.21,z_a.22,z_a.23,z_a.24,z_a.25,z_a.26,z_a.27,z_a.28,z_a.29,z_a.30,z_a.31,z_a.32,mu_the,sigma_the,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0403903
# Diagonal elements of inverse mass matrix:
# 0.153226, 0.272283, 0.249859, 0.215082, 0.267348, 0.211468, 0.120543, 0.13822, 0.00801799, 0.024477, 0.0333651, 0.0261146, 0.0268907, 0.151195, 0.458432, 0.685338, 0.6557, 0.649179, 0.810087, 0.596644, 0.824484, 0.753089, 0.792619, 0.58454, 0.78871, 0.616747, 0.682988, 0.642935, 0.652798, 0.807948, 0.646085, 0.66591, 1.03863, 0.877385, 0.645593, 0.547445, 0.792169, 0.892661, 0.802256, 0.904491, 0.609901, 0.702963, 0.942564, 0.839549, 0.816476, 0.649616, 0.664853, 0.0265074, 0.0284309, 0.219577, 0.255489, 0.188407, 0.211637, 0.178423, 0.186414, 0.256963, 0.199369, 0.309084, 0.162646, 0.22504, 0.298707, 0.185374, 0.273588, 0.188911, 0.24898, 0.23299, 0.166831, 0.212173, 0.255206, 0.274882, 0.184975, 0.194404, 0.228008, 0.186163, 0.212538, 0.327202, 0.234438, 0.216767, 0.201432, 0.250281, 0.228898
92.4333,0.861557,0.0403903,6,63,0,-38.8386,-0.390454,-1.06157,-0.911115,-0.25727,0.167681,0.330126,-0.0747341,-0.655011,-0.0830588,0.0992539,-0.0263138,0.0160413,0.0931055,0.0356852,0.334098,1.40817,0.698725,0.037231,1.60834,1.01092,0.482134,1.59526,-0.907961,0.695999,-0.810473,-0.27017,0.779597,-0.679436,1.02671,-0.676751,-0.385919,-1.04883,0.125049,0.306245,0.735095,0.467507,1.3325,-0.355667,1.2526,-0.0996687,-0.0120093,-0.328997,-1.11363,-0.596581,0.327884,-0.0810223,0.270642,1.7284,0.916277,0.446336,1.17081,-0.412055,0.72561,-0.306751,-1.83368,0.408932,0.514603,1.14588,-1.53103,-0.166075,0.114265,0.123112,0.58294,-0.191464,1.16943,0.300067,-1.23762,-1.66705,0.898615,0.8899,-0.727075,-1.47063,0.466424,-1.0162,0.13171,1.90118,-1.98464,0.291557,-0.805462,0.558272,0.852178,0.506153,0.269128,0.0481241,0.573028,0.373433,0.196765,0.568658,-0.267663,0.268217,-0.235092,-0.0545779,0.296147,-0.191313,0.378708,-0.190416,-0.0932494,-0.314728,0.0774638,0.138001,0.281279,0.191878,0.480871,-0.0831423,0.454178,0.00238614,0.031673,-0.0742319,-0.336378,-0.163631,0.145231,0.00861587,0.126106,8.4771,16.4642,3.86068,10.9491,4.25176,1.04942,8.19149,9.02429,16.0924,1.3848,4.83668,6.25323,6.30413,9.60741,4.72547,16.4434,7.41381,1.81195,1.22253,12.8299,12.7279,2.89273,1.4636,8.63457,2.21949,6.354,32.1498,0.913861,7.35623,2.69224,9.3927,12.2955,0.80074,0.51859,0.304033,0.84183,0.684136,0.501022,0.898699,0.107504,0.530572,0.0852801,0.23034,0.693876,-0.282916,0.222641,-0.461778,-0.383951,-0.396662,-0.414819,-0.0083963,0.0808268,-0.0343592,0.0619817,-0.819331,0.0833685,-0.688678,-0.528272,-1.04468,-0.928555,-1.22755,-0.436246,-0.54166,-0.519834,0.309867,0.373182,0.424572,0.30115,0.335339,0.377301,0.289318,0.47315,0.370383,0.478693,0.442668,0.333171,0.570261,0.444569,0.613436,0.594826,0.597885,0.602243,0.502099,0.479804,0.508589,0.48451,0.694094,0.47917,0.665673,0.62908,0.739752,0.716782,0.77339,0.607364,0.632198,0.627109
84.4015,0.999678,0.0403903,7,127,0,-51.3661,0.223169,0.198424,0.668323,-0.000497088,-0.576568,0.428789,0.0743997,0.327546,-0.19788,0.323515,-0.177047,-0.128791,-0.305255,-0.813561,0.210414,0.685881,-2.73668,1.04402,-1.23939,1.09946,-0.256249,-0.0599734,0.0258575,1.79574,-0.481601,-1.75062,0.487514,-0.157101,-0.965992,-0.64188,0.644935,-1.08379,-0.827606,1.45907,0.495929,0.289033,0.778244,-0.8847,1.18277,-0.856592,-0.610067,-1.89955,-0.493991,-0.679133,-0.709918,-0.117725,0.273191,1.51949,0.979367,0.610245,0.347092,-0.24447,-0.26873,0.337791,-1.28484,0.27899,-0.12897,1.95407,-0.646846,0.510644,0.131307,0.526759,0.0459655,0.0717193,0.436142,0.912336,-0.573242,0.0501779,0.749289,0.00926097,-0.30766,-0.78748,1.13959,-0.223232,0.685501,1.36998,-2.18085,1.26932,-0.997277,-0.317217,0.430883,-0.669242,-1.3894,-0.593885,-1.07435,-0.58222,-0.86748,-0.82618,-0.80812,-0.435713,-0.914897,-1.18192,-0.710981,-0.846617,-1.01682,-0.948622,-0.677858,-1.0416,-0.987701,-0.506553,-0.709211,-0.752745,-0.649808,-0.999714,-0.564691,-0.9938,-0.941928,-1.21325,-0.917504,-0.95646,-0.962938,-0.838332,-0.756078,8.30734,6.41999,3.59685,3.5124,6.36177,1.29843,6.00576,4.02762,30.9767,2.42537,7.53526,5.19701,7.65513,4.78029,4.9024,7.00503,11.1674,2.60666,4.80006,9.51923,4.61151,3.381,2.1133,13.9511,3.67245,8.94274,17.4825,0.5399,15.8412,1.72079,3.34951,6.96904,0.719048,-0.108612,0.702258,0.252513,0.844464,0.543847,0.646578,0.772142,0.875788,0.534824,0.183337,0.923034,0.101114,-0.222666,-0.349192,-0.124502,-0.0708363,-0.754683,0.310637,0.0591546,-0.0458105,-0.321892,-0.592214,-0.166744,-0.478795,-0.554562,-0.923837,-0.606927,-0.889734,-0.18685,-0.42793,-0.133568,0.327603,0.527126,0.331312,0.437205,0.300595,0.367293,0.343761,0.316016,0.294051,0.369392,0.454294,0.28434,0.474743,0.555438,0.586422,0.531085,0.517702,0.680198,0.422959,0.485216,0.511451,0.579785,0.643873,0.54159,0.617463,0.635193,0.715823,0.647239,0.708835,0.546577,0.605379,0.533342
76.8092,0.95729,0.0403903,7,127,0,-39.5678,-0.499961,-0.182668,-0.608838,-0.197643,0.596148,-0.456134,0.631223,-0.577528,-0.210085,0.168623,0.149913,-0.27147,0.119315,0.0117159,0.180608,1.13399,1.90314,-0.536988,1.52689,0.850826,-0.0903979,2.10655,-0.563117,0.195606,-1.26439,-0.179056,0.926906,0.465768,1.67948,-0.923355,-1.03279,-0.015737,0.0328906,-0.0389757,-1.0118,0.256214,1.71668,-1.16784,0.236301,0.197893,-0.87377,1.32065,-0.179766,0.757777,0.918833,0.124581,-0.209453,1.48576,0.663104,0.728517,1.1811,0.230077,0.710191,-0.0187339,-2.36201,0.921707,0.411267,1.23005,-2.13237,-0.310381,0.980792,-0.0586336,0.908778,-0.35929,1.4419,-0.107113,-0.230246,-1.3903,1.54749,1.28043,-0.380552,-0.742887,0.492627,-1.27674,-0.23464,2.42886,-2.32354,0.26172,-0.231558,1.76449,1.27767,0.216523,0.355437,-0.0852683,0.287483,0.165382,-0.00461067,0.392174,-0.0899873,0.0470437,-0.216642,-0.0206229,0.179122,0.0958371,0.315043,-0.155049,-0.174814,0.00887367,0.0176562,0.00467659,-0.171023,0.05799,0.321761,-0.199205,0.0543936,0.0474569,-0.146094,0.250236,-0.0207512,0.148576,0.177664,0.0342161,-0.026113,7.1624,9.66927,5.14655,7.07588,4.36378,0.922661,8.1413,5.80358,9.98826,1.07442,3.59645,8.4666,4.24984,8.07179,3.48168,11.4948,4.1154,3.79272,1.75742,12.3284,10.3276,3.43294,2.69973,6.12528,1.89487,3.78169,22.117,0.946497,5.25568,3.78943,14.2363,10.3087,0.694309,0.719088,0.294687,0.700049,0.68393,0.497633,0.959638,0.591612,0.443304,0.326364,0.432706,0.917789,-0.0113814,0.0447733,-0.322471,-0.391151,-0.0738872,0.0803859,-0.241135,-0.159089,0.00470343,0.17566,-0.891639,-0.11108,-0.530842,-0.591353,-0.836119,-0.547536,-1.1742,-0.123448,-0.386585,-0.490276,0.333075,0.327594,0.426857,0.331801,0.335385,0.378097,0.276951,0.356265,0.390954,0.419125,0.39348,0.285409,0.502845,0.488809,0.579926,0.59656,0.518463,0.479914,0.559993,0.539689,0.498824,0.456197,0.709228,0.527742,0.629679,0.643675,0.697647,0.633564,0.763904,0.530823,0.59546,0.620171
74.2569,0.989619,0.0403903,7,127,0,-34.9815,-0.117461,-0.155764,0.396105,0.298067,-0.288379,0.55789,-0.131786,-0.398551,-0.0188704,0.236215,-0.0830183,-0.00868766,-0.0949915,-0.389864,0.190563,1.13624,-2.39473,-0.115725,-0.57483,-0.584402,-1.83763,0.214042,-0.0721571,0.492185,0.00379795,-1.40945,-0.208257,-0.440071,-0.795745,0.556341,-0.631849,-1.46843,0.349492,0.374335,0.925978,0.894444,-0.12376,-0.741793,0.945357,-2.02103,0.537711,-1.21576,-0.469146,-0.178123,-0.556969,0.431301,1.47365,1.12459,0.923425,0.38115,0.815067,-0.491054,0.332357,0.556659,-1.11261,0.578662,-0.26735,2.50494,-0.629263,0.71334,0.349647,0.738277,0.767869,0.682879,0.497124,1.15822,-0.775031,0.654094,0.897361,0.0188139,-0.0818721,-1.06505,1.01772,1.08332,1.4452,2.53049,-1.93461,1.55364,-0.983039,-0.556595,0.715498,-0.173338,-0.846212,-0.411917,-0.499406,-0.50123,-0.740049,-0.349076,-0.403615,-0.296072,-0.389141,-0.658454,-0.42955,-0.473726,-0.541504,-0.283846,-0.510271,-0.669693,-0.323264,-0.31853,-0.213407,-0.219416,-0.413448,-0.531223,-0.209714,-0.774999,-0.287396,-0.621543,-0.479266,-0.423808,-0.496002,-0.307674,-0.10904,4.37781,6.53543,1.95645,4.18494,5.14805,1.10205,5.25372,2.40538,31.1156,1.72204,5.94946,4.25229,6.08805,6.25671,5.78445,4.87267,8.97204,1.50516,5.63271,7.05143,3.1329,2.85474,1.15153,7.88039,8.37251,11.6945,31.8586,0.515881,12.9261,1.24212,1.84156,5.96133,0.894227,0.211101,0.64686,0.562301,0.569996,0.329713,0.726544,0.682257,0.76417,0.684282,0.406914,0.661447,-0.0340967,-0.116521,-0.0863905,-0.317209,-0.227867,-0.578667,0.10865,0.0001589,-0.0117087,-0.450843,-0.781928,-0.182365,-1.01545,-0.400539,-1.02299,-0.599732,-0.846493,-0.711557,-0.41862,-0.339241,0.290238,0.44742,0.343698,0.363015,0.361238,0.418311,0.325954,0.335758,0.317742,0.335306,0.399652,0.340415,0.508523,0.529097,0.521584,0.578644,0.556722,0.640761,0.472864,0.49996,0.502927,0.61084,0.686095,0.545465,0.734086,0.598817,0.735555,0.645595,0.699831,0.670745,0.603153,0.584006
74.1119,0.943144,0.0403903,7,127,0,-39.6788,-0.508464,0.367931,-0.211973,-0.365289,0.329738,-0.461646,0.439941,-0.482731,-0.196248,0.23122,0.0300501,-0.307209,0.0197904,0.178102,0.166631,0.288562,1.36789,-0.564086,0.320501,1.44681,0.880841,1.7089,-1.05746,0.37075,-1.16995,-0.150353,0.944326,0.739257,1.49973,-1.28031,-0.608101,-0.696879,-0.299099,0.233945,-0.702083,-0.066261,1.16452,-0.945229,-0.515323,-0.135761,-0.494427,0.186597,0.00471685,1.10345,0.0670146,0.187694,0.946333,1.53029,0.583051,0.542423,0.980034,0.276104,0.679201,-1.11317,-2.07706,0.753294,0.367101,0.72222,-1.85424,-0.515181,0.740126,-0.645512,0.688652,-0.837367,1.06721,-0.552501,-0.452069,-1.50799,1.55924,1.34983,-0.235683,-0.759212,0.429645,-1.90905,-0.519671,2.12947,-2.61843,0.449092,-0.26779,1.64975,0.93363,0.226185,0.406034,0.084108,0.231507,0.419186,0.324877,0.462857,0.00189597,0.239881,-0.016848,0.153049,0.335456,0.301285,0.428003,-0.0352374,0.0767738,0.0619807,0.128263,0.217085,0.0611135,0.167061,0.372147,0.0205979,0.0922335,0.15548,0.0957154,0.209195,0.178888,0.361971,0.189269,0.209378,0.33579,6.33793,8.18008,5.42639,6.86407,2.41393,1.37611,7.1671,5.72207,7.03842,1.56702,3.42094,7.11228,3.17061,6.902,2.83506,8.60663,3.3473,3.54917,1.91757,11.4663,10.1484,4.02642,2.96724,5.93458,1.51773,3.41199,15.9887,1.00362,6.00226,3.95174,12.0876,7.96173,0.450373,0.523604,0.216909,0.39477,0.681452,0.571912,0.770816,0.416473,0.387912,0.268264,0.35439,0.803343,0.0702408,0.0446466,-0.342604,-0.276286,-0.146217,-0.00427831,-0.143425,-0.0787103,-0.0336875,0.0646136,-0.64683,-0.118867,-0.405329,-0.35878,-0.808245,-0.351763,-0.876322,-0.11261,-0.222271,-0.118401,0.389272,0.37201,0.445984,0.402569,0.335937,0.360796,0.316303,0.397361,0.40422,0.433333,0.412318,0.309311,0.482447,0.48884,0.584823,0.568636,0.536489,0.50107,0.535795,0.519667,0.508421,0.483852,0.656296,0.529682,0.599967,0.588745,0.691735,0.587045,0.706059,0.528123,0.55534,0.529566
73.6925,0.890599,0.0403903,7,127,0,-41.1382,-0.125932,0.100882,0.283387,-0.096534,0.739447,-0.313265,0.449777,-0.680802,-0.0303883,0.341652,-0.0574335,-0.423287,-0.0406887,-0.200003,0.194674,0.522458,0.443626,0.136153,0.38389,1.88269,0.640096,1.38853,-0.115411,0.0208725,-0.759362,0.207413,0.949136,0.55943,1.67772,-1.45975,-1.51554,0.825492,-1.91259,-0.534666,-1.03355,-0.373874,1.33328,-0.836084,-0.0434953,-0.410527,-0.445119,0.284376,-0.374146,-0.494104,0.133349,-0.212605,1.097,1.50617,0.709677,0.348941,1.73176,0.482747,0.147519,-0.18776,-2.23849,1.05931,0.403768,1.42752,-1.52525,-0.520278,-0.0714908,-0.687087,0.340987,-1.02308,-0.096224,-0.444741,-0.772293,-0.792474,0.991989,1.25197,-0.630846,-0.847927,0.803739,-1.31052,-0.204293,1.595,-2.89939,0.657088,-0.256107,1.69773,1.53764,-0.0982945,-0.113641,-0.173498,-0.12527,0.166507,-0.0753936,0.070306,-0.222471,-0.19594,-0.347831,-0.159625,-0.0152316,-0.0910972,0.126604,-0.484178,-0.49504,-0.0393018,-0.572335,-0.304089,-0.401209,-0.272787,0.0595502,-0.362767,-0.208471,-0.279922,-0.286656,-0.144643,-0.27284,-0.296192,-0.174044,-0.241392,0.0135537,5.77655,15.4122,6.35197,5.00712,3.94686,0.920872,9.56335,6.00574,12.4193,1.52766,3.11722,4.28635,2.76921,5.74403,2.18172,4.21177,3.28888,2.60672,2.56965,9.11719,10.9646,2.88197,2.47049,7.97703,1.77913,3.90083,13.9867,0.576109,7.18856,3.75999,15.0445,13.4288,0.622489,0.590633,0.533135,0.58608,0.893187,0.648928,0.804061,0.527794,0.513051,0.382387,0.557621,0.743288,-0.00202277,0.192093,-0.337054,-0.354991,0.0533103,-0.258403,-0.235061,-0.228142,-0.109153,0.276517,-0.595176,0.153972,-0.495822,-0.223998,-0.693346,-0.221974,-0.879093,-0.349849,-0.175196,-0.185836,0.349216,0.35649,0.369786,0.357535,0.290453,0.343231,0.309157,0.371032,0.374478,0.405551,0.364098,0.322286,0.500506,0.452124,0.583475,0.587827,0.486676,0.564244,0.558496,0.556789,0.527261,0.431308,0.644552,0.461583,0.621477,0.555766,0.666711,0.555267,0.706634,0.586581,0.543687,0.546326
