# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_nocor_sim5_model
# start_datetime = 2022-02-17 15:17:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpkhhw1f/standata-535875f250d8.json
# init = 2 (Default)
# random
#   seed = 1304097012
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_nocor_sim5-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_nocor_sim5-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_nocor_sim5_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,aE.1,aE.2,aE.3,aE.4,aHS.1,aHS.2,aHS.3,bP,bA,bAHS.1,bAHS.2,bAHS.3,mu_a,sigma_a,z_a.1,z_a.2,z_a.3,z_a.4,z_a.5,z_a.6,z_a.7,z_a.8,z_a.9,z_a.10,z_a.11,z_a.12,z_a.13,z_a.14,z_a.15,z_a.16,z_a.17,z_a.18,z_a.19,z_a.20,z_a.21,z_a.22,z_a.23,z_a.24,z_a.25,z_a.26,z_a.27,z_a.28,z_a.29,z_a.30,z_a.31,z_a.32,mu_the,sigma_the,z_M.1,z_M.2,z_M.3,z_M.4,z_M.5,z_M.6,z_M.7,z_M.8,z_M.9,z_M.10,z_M.11,z_M.12,z_M.13,z_M.14,z_M.15,z_M.16,z_M.17,z_M.18,z_M.19,z_M.20,z_M.21,z_M.22,z_M.23,z_M.24,z_M.25,z_M.26,z_M.27,z_M.28,z_M.29,z_M.30,z_M.31,z_M.32,a_i.1,a_i.2,a_i.3,a_i.4,a_i.5,a_i.6,a_i.7,a_i.8,a_i.9,a_i.10,a_i.11,a_i.12,a_i.13,a_i.14,a_i.15,a_i.16,a_i.17,a_i.18,a_i.19,a_i.20,a_i.21,a_i.22,a_i.23,a_i.24,a_i.25,a_i.26,a_i.27,a_i.28,a_i.29,a_i.30,a_i.31,a_i.32,M.1,M.2,M.3,M.4,M.5,M.6,M.7,M.8,M.9,M.10,M.11,M.12,M.13,M.14,M.15,M.16,M.17,M.18,M.19,M.20,M.21,M.22,M.23,M.24,M.25,M.26,M.27,M.28,M.29,M.30,M.31,M.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.044861
# Diagonal elements of inverse mass matrix:
# 0.151541, 0.277669, 0.301256, 0.207243, 0.290818, 0.257592, 0.112816, 0.115926, 0.00777327, 0.0262739, 0.0371138, 0.0265762, 0.0281865, 0.155015, 0.426092, 0.663888, 0.622575, 0.705898, 0.855937, 0.650968, 0.771978, 0.652087, 0.66564, 0.59131, 0.780342, 0.756419, 0.74679, 0.507228, 0.603015, 0.86103, 0.615801, 0.714288, 0.9947, 0.756958, 0.553078, 0.694796, 0.848296, 0.943802, 0.923698, 0.769538, 0.662068, 0.600337, 0.812353, 0.775131, 0.767832, 0.682527, 0.563279, 0.0250554, 0.0271715, 0.204517, 0.264846, 0.162779, 0.241723, 0.196967, 0.189515, 0.275488, 0.185415, 0.360439, 0.178397, 0.192499, 0.245467, 0.222755, 0.22562, 0.240353, 0.261362, 0.23226, 0.187422, 0.216656, 0.300165, 0.28149, 0.235254, 0.167367, 0.262497, 0.217307, 0.232604, 0.515791, 0.245806, 0.288235, 0.21605, 0.207309, 0.257903
82.513,0.939167,0.044861,6,63,0,-48.1138,-0.449347,-0.361585,-0.0804623,-0.0814968,0.205076,0.174949,0.186116,-0.184992,-0.226337,0.0612988,0.138856,0.0127375,0.0259046,-0.0644983,0.156075,-0.643682,-1.24893,-0.74976,1.10468,-0.266624,-1.46817,0.851787,-1.39089,1.07556,0.127034,0.642284,0.0238339,0.785032,0.0886754,-0.491682,0.236925,-1.19327,-0.415103,0.0471392,1.40026,2.35233,2.22087,-0.108641,1.42406,-1.25726,-0.238973,1.07106,-0.956916,-0.240006,-0.095408,0.239645,0.180386,1.76172,0.827099,-0.319752,0.686657,-1.15043,0.0124257,-0.276663,-2.15739,0.729188,-0.0674881,0.347751,-1.51735,0.0631758,0.597919,-0.570771,1.06661,0.265662,0.702038,-0.936848,-1.00965,-0.825622,1.05035,0.483407,-0.756663,-1.43912,0.262511,-0.5098,-0.714985,1.88594,-2.56728,0.855441,-0.436308,0.598815,0.74632,-0.164961,-0.259425,-0.181517,0.107916,-0.106112,-0.293644,0.0684445,-0.281582,0.10337,-0.0446714,0.0357462,-0.0607784,0.0580257,-0.0506583,-0.141238,-0.0275202,-0.250738,-0.129286,-0.057141,0.154048,0.302643,0.282124,-0.0814545,0.157762,-0.260725,-0.101796,0.102668,-0.213849,-0.101957,-0.0793891,-0.0270957,-0.0363446,4.46941,10.2744,2.24837,5.88261,4.63157,0.977603,10.6423,5.50636,7.76284,1.65985,6.13479,9.54734,3.63148,14.0682,7.25327,10.406,2.68279,2.52602,2.9413,13.8803,8.68458,3.11394,1.77079,7.23439,3.81931,3.22315,27.7042,0.696509,11.8137,4.05866,9.55441,10.7941,0.533358,0.315929,0.411403,0.735969,0.636123,0.431024,0.863378,0.636317,0.713856,0.723913,0.707715,0.918603,0.0923844,-0.191964,-0.356579,-0.295561,-0.19003,-0.46635,-0.172097,0.131937,0.210266,-0.095086,-0.746968,-0.386044,-0.803274,-0.724022,-0.764231,-0.923908,-1.22357,-0.32331,-0.622973,-0.455929,0.369734,0.421668,0.398576,0.323886,0.346123,0.393882,0.296634,0.34608,0.328747,0.326532,0.330104,0.285243,0.47692,0.547844,0.588212,0.573357,0.547365,0.61452,0.542918,0.467064,0.447626,0.523754,0.678518,0.59533,0.690674,0.673492,0.682272,0.715838,0.772691,0.580131,0.650894,0.612048
76.3146,0.987817,0.044861,6,63,0,-49.3342,-0.641312,-0.18965,-0.293329,0.673296,0.576436,0.446429,0.0968264,0.038759,-0.280376,0.198179,-0.0140349,-0.0178396,-0.0143778,-0.158446,0.293075,-1.21078,-1.33987,-0.941692,1.17343,0.323339,-1.12612,1.57238,-1.13339,0.790428,-0.885822,-0.225397,0.578289,0.490775,0.412646,-0.838325,0.723109,-0.920167,0.273705,0.549251,1.30345,0.595042,1.75072,0.373057,-0.0737195,-1.49422,-0.932085,0.23271,-0.129504,1.95506,-0.596486,1.56613,0.480966,1.58974,0.665674,-0.540268,0.701367,-0.96516,0.150301,-0.157425,-2.43055,1.19416,0.467943,0.568001,-1.37309,-0.0286847,-0.0108905,-0.0402254,1.00963,0.230911,-0.414723,-0.959477,-0.995012,-1.17321,0.490618,-0.121835,-0.0640866,-1.08306,-0.0541183,-0.520724,-1.15572,2.94233,-2.86114,0.392172,-1.06123,0.387203,0.199547,-0.513295,-0.551128,-0.434433,0.185456,-0.0636833,-0.488484,0.302379,-0.490613,0.0732087,-0.418058,-0.224504,0.0110362,-0.0146119,-0.0375096,-0.404138,0.0534793,-0.428124,-0.0782299,0.00252576,0.223564,0.0159462,0.354647,-0.0491123,-0.180051,-0.596365,-0.431617,-0.0902444,-0.196401,0.414534,-0.333261,0.300549,-0.0174867,3.42156,7.8195,2.57863,5.41835,4.41473,0.972179,10.8554,6.69417,7.15522,1.96543,4.80975,4.86706,4.77294,9.60056,5.71703,3.7198,2.5884,2.52789,2.24513,6.79597,4.52057,4.69773,2.38399,4.729,3.46637,2.27143,34.7566,0.729904,6.36489,2.41889,6.34388,5.59891,0.241583,0.0514271,0.189882,0.853292,0.745596,0.299035,1.17694,0.536271,0.719284,0.423862,0.497733,1.11408,0.0754228,-0.16508,-0.712048,-0.319712,-0.305449,-0.714177,-0.0924038,0.15502,-0.13964,-0.242405,-0.538728,-0.367347,-0.933658,-0.791833,-0.905105,-0.665419,-0.715854,-0.300626,-0.0270263,-0.202456,0.439896,0.487146,0.452672,0.298743,0.321782,0.425793,0.235603,0.369056,0.327551,0.395593,0.378074,0.247111,0.481153,0.541176,0.670853,0.579254,0.575774,0.671324,0.523085,0.461323,0.534853,0.560306,0.631517,0.590818,0.717817,0.688225,0.711997,0.660477,0.671693,0.574595,0.506756,0.550442
69.6065,0.981615,0.044861,7,127,0,-35.8028,0.233476,-0.14237,-0.706541,-0.93914,-0.338343,-0.280117,0.173309,-0.708779,-0.104477,0.0152584,0.143007,-0.0862499,0.0926531,-0.175988,0.182082,0.0233296,-1.09527,0.344895,1.21592,0.882383,-0.338127,1.29589,-0.145335,1.25616,-1.74823,0.461717,1.84304,0.408053,-0.838661,-0.161097,-0.921387,-1.32505,-1.46685,0.749456,0.279749,-0.328893,-0.786332,0.30225,-0.871816,-0.855803,-1.307,-0.771098,-0.258945,-0.0772224,1.25307,0.946171,0.46241,1.47045,0.766562,1.77761,0.995742,0.44047,0.230476,-0.402932,-1.68006,0.031141,-0.453038,2.42243,-0.956941,0.278825,0.340794,0.450595,0.159203,-1.58865,2.20234,1.00744,-0.491785,0.288274,0.401656,0.977578,0.117059,-0.665267,0.286905,-0.722937,0.590917,1.63088,-2.73662,1.21294,0.216407,0.145705,1.04548,-0.17174,-0.375417,-0.113189,0.0454084,-0.0153219,-0.237555,0.059971,-0.202451,0.0527368,-0.49431,-0.0919178,0.159597,-0.101689,-0.328693,-0.205321,-0.343756,-0.417257,-0.443076,-0.0395255,-0.125051,-0.235874,-0.319165,-0.120954,-0.33473,-0.331815,-0.413969,-0.316391,-0.223138,-0.190049,0.0521736,-0.00370725,-0.0917915,16.998,9.33476,6.09882,5.19201,3.19496,1.2003,4.4563,3.07457,27.8655,2.08943,5.38805,5.65018,6.14634,4.91595,1.28743,23.5394,9.41887,2.98459,5.42722,5.92003,9.20569,4.75968,2.61295,5.42153,2.49995,6.84434,15.1897,0.534007,11.0258,5.13632,4.86535,9.69754,0.494117,0.23368,0.504017,0.678832,0.670808,0.440466,0.770427,0.564765,0.678051,0.203982,0.561777,0.955194,0.126963,-0.181128,0.0132357,-0.149526,-0.176442,-0.0703727,0.120203,0.182701,0.0394437,-0.0701603,-0.475331,-0.497611,-0.629431,-0.680707,-0.831386,-0.530418,-0.82262,-0.107595,-0.258281,-0.332647,0.378924,0.441844,0.376597,0.336522,0.338316,0.39163,0.316387,0.362446,0.336696,0.44918,0.363136,0.277842,0.468302,0.545159,0.496691,0.537312,0.543996,0.517586,0.469985,0.454451,0.49014,0.517533,0.616645,0.621898,0.65236,0.663896,0.696648,0.629581,0.694792,0.526873,0.564214,0.582403
66.7835,0.901613,0.044861,7,127,0,-31.0525,-0.22999,0.0334083,1.22147,0.953664,0.526724,0.677432,0.261919,-0.944297,0.103427,-0.125288,0.242427,0.14346,0.410985,-0.17093,0.166162,1.1727,0.453625,-1.57078,-1.01846,-0.44913,-0.723373,-0.177257,-0.67096,-0.149327,-0.793942,-1.3226,0.433929,0.906675,0.165214,0.0087655,-0.990776,-0.0156559,0.243863,1.14695,0.387559,-0.0089022,1.48845,-2.58181,-0.0974315,-0.0888188,0.118376,1.52734,-0.727786,-0.337568,-0.353272,-1.13591,0.866107,1.44634,0.748203,0.0878809,0.731531,-0.343328,1.19865,-0.437589,-2.27022,0.592331,-0.153822,2.18131,-1.3768,0.292302,0.769284,0.0417804,0.938312,0.23034,-0.22797,0.793231,-0.836825,-0.587408,2.73412,0.349929,-0.523782,-0.878362,1.04481,-0.597006,-0.634569,1.91695,-2.77891,1.55303,-1.69662,-0.0539287,0.819857,0.0239289,-0.095555,-0.431934,-0.340159,-0.245559,-0.291127,-0.200384,-0.282418,-0.195743,-0.302853,-0.390697,-0.0988276,-0.0202751,-0.143478,-0.169474,-0.33556,-0.173532,-0.130409,0.01965,-0.106533,-0.172409,0.0763932,-0.599929,-0.18712,-0.185689,-0.151261,0.0828564,-0.291861,-0.227021,-0.229631,-0.359675,-0.0270161,4.5362,7.34243,3.2853,10.4142,3.06158,0.777051,6.61619,3.78576,21.7236,1.51621,5.28587,7.55279,4.3824,8.571,5.04641,3.58145,7.68933,2.271,2.73693,32.8521,5.51877,2.87037,2.20151,9.28192,2.71734,2.64204,17.825,0.531076,13.5762,1.19354,4.07955,7.84406,0.861283,0.797989,0.453583,0.529304,0.571728,0.534186,0.592821,0.454597,0.681747,0.502392,0.458698,0.610093,0.0316776,-0.0112541,-0.0554215,-0.197426,-0.13362,-0.0647413,0.139833,-0.0807788,-0.114547,0.212409,-1.10888,-0.100596,-0.750829,-0.354447,-0.659615,-0.454912,-0.853099,-0.931232,-0.574902,-0.648347,0.297071,0.310456,0.388509,0.370679,0.360838,0.369541,0.355988,0.388268,0.335871,0.376979,0.387295,0.352038,0.492081,0.502814,0.513852,0.549197,0.533355,0.51618,0.465099,0.520184,0.528606,0.447096,0.75192,0.525128,0.679359,0.587696,0.659174,0.611806,0.701217,0.717325,0.639894,0.656638
73.0339,0.896512,0.044861,7,127,0,-12.3502,-0.355405,0.614352,-0.961124,-0.67189,0.212834,-0.599409,0.0761863,0.267072,-0.218973,0.35577,0.0703818,-0.165875,-0.347025,-0.31695,0.212473,0.381341,-1.69545,0.94152,1.30542,1.66293,-1.41215,1.27584,-0.604859,1.23684,-2.27149,-0.484378,-0.417193,-0.43399,-0.376307,0.143944,-1.01734,-0.334409,1.44297,0.503628,-1.16468,1.06734,3.12404,-0.864303,1.38391,-1.85692,0.146141,-0.48495,0.581624,0.782793,-0.392289,0.851742,-0.902891,1.35804,1.05106,0.753484,1.27248,0.323306,-0.0935213,0.0501035,-0.786068,1.15147,0.453127,1.42497,-1.20614,0.151394,0.6941,0.649497,0.321237,0.148294,1.1876,-0.147494,-0.491912,-0.418,0.131352,1.52435,0.0727778,-1.02483,0.662618,-0.417656,1.15465,1.07744,-1.33293,0.677625,-1.34,1.09917,0.990501,-0.235925,-0.677188,-0.116903,-0.039584,0.0363765,-0.616994,-0.0458696,-0.445466,-0.0541559,-0.79958,-0.419867,-0.405592,-0.409161,-0.396905,-0.286366,-0.533108,-0.388003,-0.010359,-0.209943,-0.564412,-0.0901683,0.346824,-0.500591,-0.0229069,-0.711495,-0.285899,-0.419989,-0.193371,-0.150628,-0.400301,-0.135978,-0.50879,8.5848,14.8128,5.4622,3.52451,4.09882,1.70205,13.0436,6.26075,17.3877,1.09451,4.55927,8.06535,7.69597,5.45033,4.54443,13.5485,3.33014,2.31871,2.50602,4.46423,19.3021,4.19768,1.3243,7.80284,2.50693,13.0873,12.0672,0.957963,7.92689,0.950869,12.3459,11.0134,0.680362,0.120136,0.697416,0.808724,0.995151,0.324786,0.96389,0.683258,0.777157,0.184687,0.470928,0.782614,-0.0456721,-0.203365,-0.28272,-0.580446,0.000978452,-0.36101,0.00908954,-0.373822,0.0324416,0.0756006,-0.770328,-0.326139,-0.862268,-0.589378,-0.808937,-0.581824,-0.786002,-0.26216,-0.413965,-0.540598,0.33618,0.470002,0.332385,0.308162,0.269896,0.41951,0.2761,0.335535,0.314933,0.453959,0.384397,0.313757,0.511416,0.550667,0.570213,0.64117,0.499755,0.589285,0.497728,0.592382,0.49189,0.481109,0.683592,0.58082,0.703134,0.643222,0.691883,0.641487,0.686972,0.565167,0.602038,0.631952
76.4516,0.927207,0.044861,7,127,0,-39.2895,-0.0386697,0.4718,-0.267324,-0.185936,0.0785658,0.981291,-0.115902,-0.961386,0.0649551,-0.033792,0.0552904,0.205029,0.350809,-0.347604,0.387102,-0.666592,-2.49242,-0.0958259,0.282743,0.463142,-0.888324,0.42322,0.0612761,-0.356877,-0.601123,-1.27378,0.369148,0.268342,-0.396479,-0.962507,-1.38387,0.806153,0.378424,1.313,0.349888,1.07891,2.22723,-0.970515,-0.710165,-0.332436,-0.124692,0.6317,-0.427432,-0.445185,1.88509,0.364871,0.491352,1.70266,0.899587,0.429656,0.710135,-0.63617,0.238688,-0.37335,-1.4973,0.586637,-0.0777785,0.904517,-1.99926,-0.0986547,0.0858007,0.57462,0.800484,0.284246,0.849079,-0.112556,-0.834489,-0.770936,0.865343,1.64728,0.172306,-0.853337,0.481537,-0.568095,0.692607,1.07261,-2.45415,0.980406,-1.67685,0.67868,-0.31625,-0.605644,-1.31243,-0.384699,-0.238154,-0.168321,-0.691477,-0.183775,-0.323884,-0.485752,-0.580301,-0.840687,-0.204706,-0.243729,-0.501082,-0.720193,-0.883304,-0.0355405,-0.201116,0.16066,-0.212162,0.0700443,0.514563,-0.723293,-0.622511,-0.476291,-0.395873,-0.103072,-0.513064,-0.519936,0.382118,-0.206362,-0.157401,8.07823,10.3967,3.0968,6.80311,3.92277,1.42718,9.3035,5.11763,12.3833,0.908602,5.02242,5.92894,9.20347,11.277,7.08772,11.7809,4.96,2.59079,2.74323,11.9545,24.1561,6.40875,2.54723,8.46419,3.29237,10.234,14.4049,0.603467,13.2583,1.21432,10.1066,4.12954,0.373583,-0.29791,0.624775,0.761238,0.798303,0.280188,0.767725,0.592326,0.518681,0.378761,0.146102,0.69386,0.0937491,-0.113192,-0.50354,-0.651527,0.294375,-0.334498,0.540988,-0.0509625,0.251409,0.585186,-1.03032,-0.280378,-0.818604,-0.373277,-0.694344,-0.465262,-1.03811,-0.0458963,-0.191328,-0.535003,0.407676,0.573932,0.348696,0.318378,0.310389,0.430408,0.316971,0.356101,0.373161,0.406426,0.463539,0.333175,0.47658,0.528268,0.623291,0.657354,0.426933,0.582853,0.367958,0.512738,0.437477,0.35774,0.736977,0.569639,0.69394,0.592251,0.666933,0.614262,0.738485,0.511472,0.547687,0.630649
