# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim1_model
# start_datetime = 2022-03-02 19:29:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b446ad533d.json
# init = 2 (Default)
# random
#   seed = 269239775
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0746667
# Diagonal elements of inverse mass matrix:
# 0.110098, 0.122334, 0.0206463, 0.160716, 0.21498, 0.130978, 0.134058, 0.122029, 0.16475, 0.142539, 0.15673, 0.155995, 0.148825, 0.166945, 0.172267, 0.207785, 0.132457, 0.127114, 0.159354, 0.140915, 0.169869, 0.126872, 0.143791, 0.138642, 0.167647, 0.127288, 0.120319, 0.144481, 0.123765, 0.147082, 0.173879, 0.13871, 0.182039, 0.149205, 0.129741
-3948.32,0.982396,0.0746667,6,63,0,3963.9,0.257385,-0.23423,0.481928,-0.905301,-2.1272,-1.56275,0.00265441,-0.70176,1.30425,0.705593,-0.947445,-0.613606,-0.124942,-1.35351,-1.6408,2.38909,-0.525656,0.0589477,0.29571,0.102491,0.665052,-0.206018,-1.64284,0.603549,-1.82909,-0.198529,0.110156,-0.392231,0.0893224,0.0535922,1.35509,-0.403705,2.41922,-0.763699,-0.28611,-0.67052,-1.25939,-0.987363,-0.232951,-0.572428,0.394327,0.105815,-0.69083,-0.529944,-0.294443,-0.886526,-1.02498,0.917141,-0.487558,-0.205821,-0.0917187,-0.184837,0.0862776,-0.333516,-1.02596,0.0566371,-1.11572,-0.329906,-0.181142,-0.423257,-0.191183,-0.208402,0.418825,-0.428786,0.931658,-0.602278,-0.372114,-0.413135,-1.002,-0.729978,0.0244346,-0.315043,0.651712,0.3632,-0.433445,-0.272558,-0.0370576,-0.629141,-0.767592,1.17453,-0.230173,0.0515639,0.165666,0.0725485,0.343663,-0.0761306,-0.768577,0.314022,-0.858332,-0.0725213,0.0762428,-0.165872,0.0662023,0.0489829,0.67621,-0.171401,1.18904,-0.344892,-0.114729,0.601839,0.731452,0.6748,0.493892,0.578116,0.342604,0.410185,0.606696,0.567721,0.509263,0.652295,0.683,0.236038,0.55729,0.487112,0.458678,0.481871,0.41492,0.519023,0.683213,0.422133,0.702312,0.518122,0.480949,0.541373,0.483455,0.487757,0.337108,0.542746,0.23343,0.585378,0.528651
-3945.28,0.942593,0.0746667,6,63,0,3963.47,-0.0288741,0.126363,0.515327,-0.733505,-2.30609,-0.0844173,0.562867,-0.621431,0.283483,-0.177825,-0.623968,-1.38978,1.17442,-0.547811,-1.51803,1.52087,-0.21228,0.16311,0.820895,-0.339359,1.81446,-0.654549,-0.26737,-0.522791,-1.58706,-0.976786,-0.493914,0.0637967,0.326499,0.869448,0.721838,-1.42843,1.37041,-0.787039,0.450871,-0.251631,-1.06203,0.0828609,0.416424,-0.193876,0.27245,0.0347254,-0.195184,-0.589829,0.731574,-0.155938,-0.65592,0.910109,0.01697,0.210418,0.549392,-0.0485174,1.0614,-0.210943,-0.0114198,-0.143045,-0.691492,-0.377,-0.128164,0.159239,0.294617,0.574413,0.498345,-0.609743,0.832571,-0.279219,0.358709,-0.280505,-1.0909,0.0539867,0.38755,-0.22275,0.243576,0.00585128,-0.224058,-0.618704,0.7027,-0.184812,-0.684794,0.881235,-0.0119042,0.181544,0.520518,-0.0773915,1.03253,-0.239817,-0.0402939,-0.171919,-0.720367,-0.405875,-0.157038,0.130365,0.265743,0.545539,0.469471,-0.638617,0.803697,-0.308093,0.329835,0.56967,0.748551,0.486507,0.404307,0.555458,0.439405,0.498537,0.555781,0.649924,0.331214,0.546072,0.664808,0.292922,0.502976,0.454738,0.372731,0.519338,0.262594,0.559669,0.510072,0.542874,0.672688,0.600098,0.539179,0.467455,0.433952,0.3669,0.384741,0.654441,0.309235,0.57642,0.418281
-3944.25,0.987899,0.0746667,6,63,0,3958.86,-0.342899,0.290541,0.513243,-0.942096,-1.57779,-0.952138,0.348683,-0.331543,1.07618,1.00738,-0.50166,-1.08592,0.569961,-1.78594,-1.67857,1.80048,-0.316079,0.129436,0.476401,0.114202,1.35241,0.266902,-1.1334,0.75068,-0.781259,-0.583434,0.327583,-0.130851,0.0387751,0.315723,1.21946,0.00608237,1.84675,-0.231098,0.168773,-0.192983,-0.519247,-0.198137,0.4695,0.120379,0.842884,0.807571,0.033068,-0.266797,0.583069,-0.62608,-0.570974,1.21462,0.128316,0.356973,0.535051,0.349154,0.984655,0.427527,-0.29117,0.675822,-0.110434,-0.00890192,0.458671,0.223383,0.310442,0.452584,0.916421,0.293663,1.23837,0.171932,0.377163,-0.535881,-0.862145,-0.541036,0.126602,-0.222519,0.499985,0.464673,-0.309831,-0.609696,0.240171,-0.968978,-0.913873,0.871726,-0.214583,0.0140745,0.192152,0.00625562,0.641756,0.084628,-0.634069,0.332924,-0.453333,-0.351801,0.115772,-0.119516,-0.0324565,0.109685,0.573522,-0.0492358,0.895474,-0.170967,0.034264,0.630854,0.703109,0.632053,0.468392,0.555401,0.377544,0.385878,0.576844,0.647872,0.440244,0.724916,0.713792,0.294895,0.553441,0.496481,0.452109,0.498436,0.34485,0.478856,0.653411,0.417529,0.611431,0.587054,0.471089,0.529844,0.508113,0.472606,0.360425,0.512306,0.289981,0.542638,0.491435
-3947.12,0.997131,0.0746667,6,63,0,3963.96,0.184055,-0.307481,0.421144,-0.431977,-2.75071,0.0488686,0.54882,-0.157936,1.20465,-0.0322311,-0.465946,-0.517827,0.970814,0.157944,-0.978842,2.71312,0.34679,0.455702,0.993325,-0.00670058,1.51174,-0.604931,-0.169035,0.0821608,-1.87662,-0.629369,0.186784,-0.339869,0.746683,1.47564,1.47631,-0.819384,1.73166,-0.493243,1.00823,-0.489405,-1.46593,-0.2869,-0.0763484,-0.373995,0.199851,-0.321055,-0.503711,-0.52556,0.101372,-0.240964,-0.719714,0.835134,-0.161432,-0.115564,0.110852,-0.310303,0.329178,-0.562244,-0.378669,-0.272879,-1.09781,-0.572536,-0.228818,-0.450614,0.00698036,0.313978,0.314259,-0.652559,0.421797,-0.515207,0.117128,-0.30535,-1.28187,-0.102845,0.107707,-0.189939,0.383906,-0.136999,-0.319656,-0.341505,0.285427,-0.0569084,-0.535659,1.01919,0.0226232,0.0684907,0.294907,-0.126247,0.513233,-0.378189,-0.194614,-0.0888239,-0.913754,-0.38848,-0.0447627,-0.266559,0.191036,0.498033,0.498315,-0.468504,0.605852,-0.331152,0.301183,0.57575,0.782768,0.525689,0.473099,0.547343,0.405185,0.534196,0.57924,0.584556,0.429124,0.514223,0.630802,0.265185,0.494344,0.482884,0.426803,0.53152,0.374436,0.593436,0.5485,0.522191,0.713768,0.595917,0.511189,0.566248,0.452386,0.378003,0.377937,0.61503,0.353006,0.58204,0.425268
-3952.54,0.999938,0.0746667,6,63,0,3966.7,0.503007,-0.675259,0.490097,-0.824411,-2.50603,-0.744545,0.0263221,0.195838,1.04932,0.515429,-0.205925,-0.714891,0.940348,-0.585771,-1.13475,3.56903,0.92281,0.723858,0.534305,0.563655,1.7235,-0.286142,-0.729137,0.051636,-1.82547,0.272122,0.19199,-0.494668,1.07877,1.89323,1.558,-0.923529,2.44464,-0.229755,1.04442,-1.0793,-1.90346,-1.04016,-0.662359,-0.579279,-0.160993,-0.422649,-0.776182,-1.02562,-0.214397,-0.962344,-1.2314,1.07391,-0.222992,-0.320498,-0.413398,-0.399013,0.169425,-0.815496,-1.03261,-0.649952,-1.56992,-0.541893,-0.581165,-0.917694,-0.146556,0.25261,0.0883111,-1.12788,0.522853,-0.787861,-0.163389,-0.576294,-1.40045,-0.537151,-0.159352,-0.0762724,0.342014,0.0803583,-0.273175,-0.522618,0.28861,-0.459337,-0.72839,1.57692,0.280015,0.182509,0.0896092,0.103994,0.672432,-0.312489,-0.5296,-0.146945,-1.06691,-0.0388855,-0.0781581,-0.414687,0.356451,0.755617,0.591318,-0.624871,1.02586,-0.284854,0.339618,0.640214,0.802255,0.631149,0.539754,0.519059,0.41532,0.479921,0.567872,0.62776,0.428344,0.612857,0.674452,0.171232,0.43045,0.454499,0.477613,0.474025,0.337952,0.577493,0.62939,0.53667,0.744009,0.50972,0.51953,0.602211,0.411819,0.319599,0.356332,0.651325,0.263888,0.570736,0.415902
-3943.46,0.976421,0.0746667,6,63,0,3964.25,0.269022,-0.403416,0.458325,-0.922898,-1.97477,0.018519,0.470319,-0.00516316,1.11598,0.779372,0.0320638,-0.365413,0.495957,-1.16352,-1.09224,2.39862,-0.0238827,0.706696,1.1677,0.359925,1.81573,-0.657045,-0.71881,-0.108248,-1.23789,-0.264287,0.285712,0.0572498,1.33317,0.164239,1.7231,-0.420183,1.79884,0.1912,0.7586,-0.826403,-1.3085,-0.394928,-0.187857,-0.405782,0.108065,-0.0462098,-0.38872,-0.570894,-0.176106,-0.936685,-0.904018,0.695933,-0.414362,-0.0795189,0.131771,-0.238453,0.428781,-0.704556,-0.732864,-0.453028,-0.970772,-0.524545,-0.272467,-0.377177,0.207612,-0.328141,0.386323,-0.595996,0.421037,-0.315784,-0.0557303,-0.557381,-1.03948,-0.125906,0.0811651,-0.13676,0.377087,0.222812,-0.119698,-0.301872,0.0929154,-0.667664,-0.634996,0.964955,-0.14534,0.189503,0.400793,0.0305687,0.697802,-0.435534,-0.463843,-0.184007,-0.701751,-0.255523,-0.00344514,-0.108155,0.476634,-0.0591191,0.655345,-0.326974,0.690059,-0.0467624,0.213291,0.635846,0.73875,0.531435,0.47972,0.534137,0.40683,0.444526,0.529889,0.5749,0.476788,0.66098,0.653621,0.275887,0.536271,0.452766,0.401122,0.492358,0.3323,0.607194,0.613925,0.545872,0.668576,0.563536,0.500861,0.527012,0.383047,0.514775,0.341786,0.581023,0.33402,0.511688,0.446878
