# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim1_model
# start_datetime = 2022-03-02 19:29:20 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpao2L8x/standata-20b446ad533d.json
# init = 2 (Default)
# random
#   seed = 269239775
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-profile-2.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0715214
# Diagonal elements of inverse mass matrix:
# 0.129986, 0.127595, 0.0220577, 0.150646, 0.18741, 0.164869, 0.181747, 0.168245, 0.172617, 0.150824, 0.136507, 0.147796, 0.167093, 0.158907, 0.186564, 0.294626, 0.147634, 0.141215, 0.192212, 0.157834, 0.17107, 0.208597, 0.140364, 0.145491, 0.159377, 0.174877, 0.148895, 0.140655, 0.161031, 0.164591, 0.17056, 0.158953, 0.229428, 0.134524, 0.173462
-3939.26,0.98222,0.0715214,6,63,0,3959.9,-0.256286,0.238252,0.643266,-0.121101,-1.67687,-0.361867,0.351263,-0.38439,0.462987,0.251,-0.692157,-0.926873,0.407812,-0.310096,-1.20182,1.40402,-0.119284,0.408415,0.808023,-0.203958,0.787716,-0.491846,-0.794738,0.146741,-0.828139,-0.207487,-0.157851,0.381424,0.620451,1.2497,1.12275,-1.35719,1.29904,-0.136522,0.561562,0.160352,-0.840422,0.0054751,0.464207,-0.00901322,0.536076,0.399711,-0.20699,-0.357974,0.500583,0.0387772,-0.534838,1.14141,0.16152,0.500971,0.758025,0.107052,0.744963,-0.0781364,-0.272976,0.332645,-0.294462,0.104782,0.136711,0.483609,0.637367,1.04214,0.960477,-0.634784,1.07388,0.150432,0.599486,-0.0959338,-1.09671,-0.25081,0.207922,-0.265299,0.27979,0.143426,-0.463275,-0.61426,0.244297,-0.217508,-0.791124,0.885124,-0.0947651,0.244686,0.50174,-0.149233,0.488677,-0.334422,-0.529262,0.0763598,-0.550748,-0.151503,-0.119574,0.227323,0.381081,0.785858,0.704191,-0.891069,0.817592,-0.105854,0.3432,0.523965,0.749643,0.562376,0.448206,0.565938,0.430505,0.464205,0.613791,0.648912,0.439228,0.554164,0.688073,0.292117,0.523674,0.439132,0.377132,0.537239,0.380205,0.582835,0.629311,0.480919,0.634309,0.537804,0.529858,0.443413,0.405866,0.313059,0.330884,0.709111,0.306275,0.526439,0.415032
-3948.52,0.907622,0.0715214,6,63,0,3960.2,-0.325587,0.196722,0.436364,-1.42167,-2.26649,-0.913268,0.925439,-0.117255,1.69396,1.05799,0.0368523,-0.611921,1.15991,-1.83064,-1.00859,3.16123,-0.018711,0.445214,0.95424,0.14435,2.12393,0.0582868,-0.454074,0.685726,-1.85134,-0.380436,0.411542,-0.487787,-0.00220743,0.387747,1.05882,-0.0904539,2.44004,-0.743758,-0.0223701,-0.423643,-0.792291,-0.201795,0.60055,0.145556,0.935905,0.658391,0.212803,-0.0702982,0.702866,-0.602103,-0.243391,1.57617,0.188557,0.390997,0.613118,0.259711,1.12353,0.222156,-0.00141915,0.495948,-0.611136,0.0307135,0.376304,-0.0161303,0.195759,0.365921,0.658753,0.157251,1.26147,-0.127827,0.186961,-0.749229,-1.11788,-0.527382,0.274963,-0.18003,0.610318,0.332804,-0.112784,-0.395885,0.377279,-0.92769,-0.568978,1.25058,-0.13703,0.0654105,0.287531,-0.0658757,0.797942,-0.10343,-0.327006,0.170361,-0.936722,-0.294873,0.0507172,-0.341717,-0.129828,0.0403341,0.333166,-0.168336,0.935879,-0.453413,-0.138626,0.679011,0.753595,0.628872,0.431689,0.544886,0.351987,0.417559,0.528166,0.597699,0.406783,0.716606,0.638527,0.222599,0.534204,0.483653,0.428608,0.516463,0.310466,0.525835,0.581031,0.457512,0.718437,0.573189,0.487323,0.584608,0.532411,0.489918,0.41747,0.541985,0.281734,0.611451,0.534601
-3947.09,0.670461,0.0715214,6,63,0,3967.72,-0.561531,0.441993,0.480459,-0.547619,-2.63558,-0.104247,1.03278,0.340786,0.79252,0.793295,-0.678278,-0.695288,1.22486,-0.598345,-1.13742,3.06988,0.250495,0.971546,0.825918,0.442052,1.65418,-0.438383,-0.0808408,0.311093,-1.58884,0.0894592,0.97092,-0.468614,0.146819,0.397671,1.33661,-0.953465,1.52906,-0.153882,0.473049,0.178885,-0.824296,0.391907,0.938204,0.605727,0.822767,0.823139,0.116109,0.107936,1.03049,0.154513,-0.104491,1.91694,0.562346,0.908782,0.838813,0.654381,1.23676,0.231368,0.403153,0.591461,-0.321377,0.484975,0.908481,0.216843,0.512534,0.633058,1.08418,-0.0161078,1.17665,0.368059,0.669274,-0.382646,-1.38583,-0.169624,0.376673,0.0441962,0.261236,0.261608,-0.445423,-0.453596,0.468959,-0.407018,-0.666022,1.35541,0.00081474,0.347251,0.277282,0.0928501,0.675229,-0.330163,-0.158378,0.0299298,-0.882908,-0.0765563,0.34695,-0.344688,-0.0489974,0.071527,0.522651,-0.577639,0.615115,-0.193472,0.107743,0.594511,0.799925,0.542305,0.40693,0.488953,0.43506,0.434968,0.60955,0.611494,0.384863,0.600373,0.660612,0.204987,0.499796,0.414049,0.43112,0.476804,0.337327,0.581799,0.539512,0.492518,0.707425,0.51913,0.414122,0.585329,0.512247,0.482126,0.372233,0.640524,0.350893,0.548218,0.47309
-3946.88,0.690247,0.0715214,6,63,0,3972.18,-0.484053,0.363137,0.457929,-0.631419,-2.54837,0.0131985,0.865659,0.574631,0.810483,0.797029,-0.673178,-0.736575,1.18837,-0.637867,-1.05521,3.18673,0.142905,0.810076,0.715391,0.501784,1.76169,-0.303536,-0.190514,0.347356,-1.47797,0.0211278,0.771868,-0.524537,0.0155846,0.449457,1.26875,-0.964508,1.54288,-0.106253,0.508117,0.0739925,-0.803834,0.369181,0.759547,0.626277,0.734281,0.72812,0.0548696,0.0258384,0.907327,0.0710398,-0.120076,1.82243,0.428578,0.734095,0.690736,0.592919,1.16986,0.224139,0.275895,0.522202,-0.313667,0.372812,0.716598,0.122937,0.370274,0.568957,0.944137,-0.0785387,1.06967,0.314481,0.595819,-0.410061,-1.28789,-0.114872,0.275494,0.142224,0.250228,0.244067,-0.429184,-0.458215,0.423273,-0.413013,-0.604129,1.33838,-0.0554757,0.250041,0.206682,0.108865,0.685811,-0.259914,-0.208158,0.0381484,-0.79772,-0.111241,0.232545,-0.361116,-0.113779,0.0849036,0.460084,-0.562592,0.585614,-0.169572,0.111766,0.601102,0.783789,0.528686,0.431559,0.464504,0.437767,0.439284,0.605679,0.612591,0.395734,0.60181,0.6466,0.207777,0.513865,0.437813,0.448513,0.472811,0.334966,0.564615,0.551852,0.490464,0.689487,0.527782,0.442124,0.589311,0.528414,0.478787,0.386966,0.637052,0.357642,0.542292,0.472088
-3944.94,0.999529,0.0715214,6,63,0,3960.86,-0.551633,0.388752,0.498306,-0.703771,-2.93266,-0.0412595,0.948766,-0.190592,1.28087,0.574802,-0.503277,-0.619795,0.700846,-0.937427,-1.00454,2.25716,-0.0687273,0.637129,1.16894,0.241422,2.2116,0.259351,-0.193139,0.596757,-1.42033,0.431666,0.583363,-0.293234,0.627995,0.394317,1.50744,-0.396284,1.79215,-0.500793,1.62188,0.0380592,-1.07261,0.368192,0.861528,0.293779,1.02702,0.675179,0.137966,0.0799046,0.737988,-0.0783734,-0.111818,1.51351,0.354505,0.706237,0.971242,0.509054,1.49081,0.517988,0.29251,0.68612,-0.319008,0.603854,0.679445,0.242632,0.701685,0.585243,1.13992,0.191282,1.28179,0.139204,1.19694,-0.513574,-1.62424,-0.183441,0.309895,-0.257854,0.475386,0.123546,-0.413667,-0.471729,0.186355,-0.630007,-0.663452,0.961875,-0.197128,0.154604,0.419609,-0.0425793,0.939173,-0.0336452,-0.259124,0.134486,-0.870641,0.0522203,0.127812,-0.309002,0.150052,0.0336093,0.588286,-0.360352,0.730157,-0.412429,0.64531,0.625644,0.835379,0.545732,0.42314,0.564109,0.383342,0.469153,0.601967,0.615793,0.453546,0.652491,0.660035,0.276503,0.549123,0.461426,0.39661,0.510643,0.281067,0.508411,0.564421,0.466429,0.704879,0.486948,0.46809,0.576642,0.462557,0.491598,0.357028,0.589126,0.32516,0.60167,0.344047
-3939.91,0.962562,0.0715214,6,63,0,3960.57,0.442446,-0.391122,0.630117,-0.539655,-1.47043,-0.733877,0.165316,-0.827472,0.863857,0.0945393,-0.259217,-1.1328,0.831785,-0.785454,-1.36454,1.45348,-0.0384959,-0.0759834,0.208324,0.0828276,1.15747,-0.32936,-1.02585,-0.30478,-1.09513,-1.04895,-0.188781,-0.269549,0.751134,0.821036,0.808713,-1.37274,1.21043,-0.580504,-0.579966,-0.731168,-1.31766,-0.85355,-0.286953,-0.912526,0.15321,-0.331551,-0.554459,-1.10492,0.133,-0.88605,-1.25094,0.524739,-0.415379,-0.439,-0.259853,-0.338931,0.338217,-0.598657,-1.03753,-0.583169,-1.08118,-1.05208,-0.510076,-0.560969,0.0821807,0.126227,0.118463,-1.25611,0.371593,-0.756907,-0.756569,-0.288722,-0.875216,-0.411104,0.155493,-0.47008,0.595656,0.110895,-0.112013,-0.662473,0.575446,-0.443604,-0.808494,0.967185,0.0270675,0.00344593,0.182593,0.103516,0.780664,-0.156211,-0.595084,-0.140722,-0.638733,-0.609638,-0.0676297,-0.118523,0.524627,0.568673,0.560909,-0.813665,0.814039,-0.314461,-0.314122,0.571683,0.70583,0.601353,0.461205,0.615403,0.355338,0.472305,0.527974,0.659816,0.359981,0.609117,0.691788,0.275442,0.493234,0.499139,0.454478,0.474144,0.314177,0.538974,0.644531,0.535123,0.654467,0.647858,0.516901,0.529596,0.371771,0.361543,0.363337,0.69289,0.30703,0.577974,0.577891
