# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim1_model
# start_datetime = 2022-02-18 19:01:09 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/RtmpoJNH5n/standata-158c4fde5216.json
# init = 2 (Default)
# random
#   seed = 1434486111
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-profile-3.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_c,s_c,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0673826
# Diagonal elements of inverse mass matrix:
# 0.151116, 0.131662, 0.0192827, 0.0992998, 0.0874991, 0.0805938, 0.145906, 0.0940133, 0.115015, 0.0969005, 0.0667469, 0.0704706, 0.105999, 0.101436, 0.0776744, 0.0806258, 0.0723975, 0.0697971, 0.0804729, 0.0946399, 0.0772536, 0.0838597, 0.0739712, 0.0672451, 0.0657288, 0.0829432, 0.118018, 0.0862225, 0.100077, 0.137086, 0.105778, 0.0665766, 0.0783841, 0.0694422, 0.0760596
-3894.99,0.903156,0.0673826,5,31,0,3905.58,0.0924759,0.390641,1.3495,0.574614,-0.792266,0.640291,-1.71313,-1.05504,1.43517,-1.50727,-0.263312,-0.00750638,1.10757,-1.28576,0.448922,-0.376417,-0.363643,0.0588252,-0.949102,-0.911108,-0.286656,-0.785161,0.31599,-0.146201,-0.631939,-0.910833,-1.5599,-0.448556,-1.2755,1.39892,1.05752,-0.0949333,0.902096,0.381735,-0.0863181,1.16608,-0.678521,1.25471,-1.92122,-1.03314,2.3274,-1.64341,0.0353007,0.380511,1.8853,-1.34449,0.99646,-0.117334,-0.100095,0.470025,-0.890172,-0.838899,0.0037992,-0.668933,0.817068,0.193343,-0.46216,-0.838528,-1.71444,-0.214685,-1.33064,2.27849,1.81776,0.262528,1.60802,0.905791,0.274154,1.25856,-0.586045,1.34719,-1.82875,-0.940662,2.41988,-1.55094,0.127777,0.472987,1.97778,-1.25201,1.08894,-0.0248581,-0.00761918,0.562501,-0.797696,-0.746423,0.0962751,-0.576457,0.909544,0.285819,-0.369684,-0.746052,-1.62196,-0.122209,-1.23817,2.37096,1.91023,0.355004,1.70049,0.998267,0.36663,0.221222,0.642457,0.20633,0.861612,0.719233,0.0816696,0.825049,0.468099,0.38391,0.121556,0.777648,0.251819,0.506214,0.501905,0.362969,0.689481,0.678399,0.47595,0.640252,0.287093,0.429028,0.591383,0.678318,0.835066,0.530514,0.775245,0.085414,0.128955,0.412169,0.154401,0.269282,0.409355
-3893.53,0.996096,0.0673826,5,31,0,3904.73,0.609678,-0.122983,1.28321,1.54342,-0.927336,0.549077,-1.74435,-1.1191,0.94733,-1.11502,-0.16148,0.40342,0.823136,-1.08997,0.720503,-1.12902,-0.0425006,-0.057881,-0.672336,-1.10372,-0.353082,-0.846122,0.0386615,-0.28854,-0.140971,-0.784172,-1.35959,-0.877211,-0.987202,1.41996,1.11931,-0.00745749,0.466361,-0.0601059,-0.717905,1.85755,-1.31295,0.5816,-2.36136,-1.55902,1.09264,-1.55379,-0.330196,0.394691,0.933275,-1.52165,0.801575,-1.57175,-0.17752,-0.197256,-0.985732,-1.53929,-0.576061,-1.20874,-0.073372,-0.493241,-0.303878,-1.12924,-1.86762,-1.24863,-1.38977,1.69913,1.31333,-0.132552,0.475457,-0.200112,-1.04421,2.46723,-0.703274,1.19128,-1.75168,-0.949343,1.70232,-0.944108,0.279482,1.00437,1.54295,-0.91197,1.41125,-0.962073,0.432157,0.412421,-0.376054,-0.929611,0.0336163,-0.599059,0.536306,0.116437,0.3058,-0.519564,-1.25795,-0.638953,-0.780094,2.3088,1.923,0.477125,1.08513,0.409566,-0.434529,0.0781876,0.668913,0.233031,0.852165,0.720983,0.154162,0.719929,0.430581,0.268083,0.176106,0.713403,0.196037,0.723537,0.393611,0.398332,0.592921,0.716996,0.491597,0.645441,0.369047,0.470924,0.42414,0.627046,0.778672,0.654517,0.6857,0.0903965,0.127527,0.382931,0.252536,0.399016,0.606955
-3890.87,0.797246,0.0673826,5,31,0,3910.61,0.735391,-0.280634,1.25979,0.848618,-0.864997,0.50895,-1.8751,-0.954297,1.49612,-1.43353,-0.201075,0.0229076,1.04598,-1.41637,0.500859,-0.464644,-0.105245,0.167832,-0.809393,-1.14649,-0.0348181,-0.935976,0.496475,-0.153189,-0.524436,-0.670967,-1.54502,-0.672444,-1.44288,1.42954,1.22224,-0.061695,0.947827,0.270132,-0.0996793,0.788451,-1.37035,0.360538,-2.64288,-1.48285,1.60417,-2.08658,-0.533947,-0.251775,1.03708,-2.06497,0.350346,-0.865991,-0.413221,-0.0692001,-1.3003,-1.72498,-0.324498,-1.45977,0.344822,-0.473621,-0.941316,-1.12591,-2.22704,-1.12778,-2.09837,1.5203,1.25914,-0.358357,0.913433,0.0596774,-0.40621,1.52384,-0.634962,1.09593,-1.90749,-0.747461,2.33956,-1.35119,0.201445,0.483616,1.77247,-1.32958,1.08574,-0.130599,0.32217,0.666191,-0.564912,-0.989587,0.410894,-0.72438,1.08021,0.26177,-0.205925,-0.390523,-1.49165,-0.392384,-1.36297,2.25569,1.99453,0.377034,1.64882,0.795069,0.329182,0.178896,0.653614,0.250503,0.870737,0.678625,0.0878991,0.794324,0.449808,0.381399,0.145235,0.790771,0.252422,0.532603,0.420147,0.33935,0.637588,0.729006,0.398698,0.673571,0.253466,0.434929,0.5513,0.596409,0.816326,0.596856,0.796243,0.0948598,0.119778,0.406842,0.161268,0.311081,0.41844
-3887.4,0.78712,0.0673826,5,31,0,3903.46,0.452206,-0.0837222,1.22855,1.13697,-0.941555,0.710628,-2.04513,-1.08655,1.54404,-1.47186,-0.221522,0.0464246,1.25072,-1.37915,0.485139,-0.677472,-0.0705001,0.0731913,-0.891574,-1.01126,-0.32121,-0.643226,0.310087,-0.175531,-0.666249,-0.95332,-1.4536,-0.688595,-1.24935,1.44938,1.3215,-0.184338,0.67527,0.153008,-0.150645,1.3131,-1.24047,0.789317,-2.59626,-1.4186,1.81321,-1.89197,-0.355873,-0.0266874,1.45285,-1.77807,0.512293,-0.916028,-0.170335,0.00619671,-1.17906,-1.3261,-0.478343,-0.873955,0.297234,-0.29937,-0.902239,-1.25492,-1.86954,-0.929692,-1.6186,1.69691,1.5398,-0.31019,0.745878,0.104256,-0.268797,1.7653,-0.788259,1.24152,-2.14405,-0.966395,2.26541,-1.43976,0.0963332,0.425518,1.90505,-1.32586,0.964499,-0.463822,0.281871,0.458403,-0.726856,-0.873897,-0.026137,-0.421749,0.74944,0.152836,-0.450033,-0.802713,-1.41734,-0.477487,-1.1664,2.14911,1.99201,0.142016,1.19808,0.556462,0.183409,0.146127,0.687457,0.224171,0.895112,0.7244,0.0940284,0.808418,0.475935,0.395197,0.129538,0.790156,0.275978,0.61392,0.429995,0.387365,0.674115,0.705556,0.506534,0.603902,0.320943,0.461865,0.610647,0.690555,0.804921,0.617154,0.762493,0.104414,0.120045,0.464556,0.231816,0.364367,0.454276
-3891.5,0.993819,0.0673826,6,95,0,3900.3,-0.224567,0.483949,1.0315,1.38232,-0.962953,0.872469,-2.03482,-1.33182,1.44766,-1.3721,-0.112374,0.605926,1.24733,-1.35067,1.16013,-0.942422,-0.231412,0.147374,-0.826649,-1.22847,-0.243161,-1.24067,0.250583,-0.183306,-0.0571017,-0.914319,-1.78948,-0.745981,-1.26399,2.08078,1.47548,0.249102,1.14591,0.365732,-0.785752,1.90981,-0.509333,1.3839,-1.61496,-0.889821,1.9772,-0.931367,0.368035,1.10896,1.77056,-0.909263,1.68061,-0.488155,0.245248,0.635964,-0.368737,-0.783215,0.233129,-0.795794,0.742423,0.29487,0.425048,-0.459167,-1.36189,-0.285528,-0.819852,2.63027,2.0059,0.740896,1.66595,0.861199,-0.326551,1.68524,-0.7339,1.15933,-1.83952,-1.11439,1.75263,-1.15593,0.143468,0.884392,1.54599,-1.13383,1.45605,-0.712722,0.0206808,0.411397,-0.593304,-1.00778,0.00856168,-1.02036,0.517856,0.0703025,0.200481,-0.683734,-1.58646,-0.510095,-1.04442,2.4057,1.78134,0.516329,1.44138,0.636632,-0.551118,0.156403,0.675661,0.238789,0.862892,0.752946,0.147716,0.760593,0.464194,0.292269,0.175666,0.756545,0.189073,0.671002,0.49483,0.398577,0.644123,0.732586,0.49786,0.735043,0.373354,0.482432,0.450047,0.664572,0.830117,0.624829,0.739702,0.0827389,0.144138,0.373711,0.191331,0.346008,0.634395
-3897.16,0.997589,0.0673826,5,63,0,3913.35,0.113671,0.149577,1.09264,1.26667,-1.04712,0.566722,-1.71983,-1.22508,1.53818,-1.49319,0.218101,0.590993,1.2447,-1.1936,0.683096,-1.0624,0.0704629,0.361678,-0.787524,-1.56255,-0.117225,-0.628216,0.356744,-0.329484,-0.25821,-0.786987,-1.99779,-0.963225,-1.19021,2.01221,1.67589,0.125219,0.874365,0.352975,-0.5769,1.53359,-0.994546,0.768798,-1.72957,-1.18899,1.83025,-1.48194,0.387882,0.795317,1.50958,-1.15459,0.895952,-1.01124,0.226568,0.54476,-0.710899,-1.55772,0.0214933,-0.536833,0.539369,-0.210429,-0.132552,-0.710313,-2.03328,-0.902876,-1.15088,2.34819,1.98071,0.286396,1.10494,0.535251,-0.480764,1.64726,-0.880875,0.882469,-1.6159,-1.07531,1.94392,-1.36827,0.501553,0.908988,1.62325,-1.04092,1.00962,-0.897572,0.340238,0.658431,-0.597228,-1.44405,0.135164,-0.423163,0.65304,-0.0967579,-0.0188815,-0.596642,-1.91961,-0.789205,-1.03721,2.46186,2.09438,0.400067,1.21861,0.648922,-0.367093,0.16148,0.707004,0.292666,0.834229,0.745606,0.125218,0.7971,0.377176,0.287207,0.164757,0.739028,0.267054,0.71045,0.415752,0.341092,0.645022,0.809082,0.46626,0.60424,0.342305,0.524171,0.50472,0.644888,0.872095,0.687661,0.738312,0.0785755,0.109644,0.401296,0.228181,0.343233,0.590756
