# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 1
# model = Hbeta_NC_sim1_model
# start_datetime = 2022-02-21 14:10:23 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/JRIVER~1/AppData/Local/Temp/Rtmpwju1ZW/standata-4c9c7ad23f78.json
# init = 2 (Default)
# random
#   seed = 1434486111
# output
#   file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/JRiveraEspejo/Desktop/1. Work/#Classes/PhD Antwerp/#thesis/paper1/sim_chain/Hbeta_NC_sim1-profile-4.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=Hbeta_NC_sim1_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,m_i,s_i,z_re.1,z_re.2,z_re.3,z_re.4,z_re.5,z_re.6,z_re.7,z_re.8,z_re.9,z_re.10,z_re.11,z_re.12,z_re.13,z_re.14,z_re.15,z_re.16,z_re.17,z_re.18,z_re.19,z_re.20,z_re.21,z_re.22,z_re.23,z_re.24,z_re.25,z_re.26,z_re.27,z_re.28,z_re.29,z_re.30,z_re.31,z_re.32,re_i.1,re_i.2,re_i.3,re_i.4,re_i.5,re_i.6,re_i.7,re_i.8,re_i.9,re_i.10,re_i.11,re_i.12,re_i.13,re_i.14,re_i.15,re_i.16,re_i.17,re_i.18,re_i.19,re_i.20,re_i.21,re_i.22,re_i.23,re_i.24,re_i.25,re_i.26,re_i.27,re_i.28,re_i.29,re_i.30,re_i.31,re_i.32,SI.1,SI.2,SI.3,SI.4,SI.5,SI.6,SI.7,SI.8,SI.9,SI.10,SI.11,SI.12,SI.13,SI.14,SI.15,SI.16,SI.17,SI.18,SI.19,SI.20,SI.21,SI.22,SI.23,SI.24,SI.25,SI.26,SI.27,SI.28,SI.29,SI.30,SI.31,SI.32,Ht.1,Ht.2,Ht.3,Ht.4,Ht.5,Ht.6,Ht.7,Ht.8,Ht.9,Ht.10,Ht.11,Ht.12,Ht.13,Ht.14,Ht.15,Ht.16,Ht.17,Ht.18,Ht.19,Ht.20,Ht.21,Ht.22,Ht.23,Ht.24,Ht.25,Ht.26,Ht.27,Ht.28,Ht.29,Ht.30,Ht.31,Ht.32
# Adaptation terminated
# Step size = 0.0621373
# Diagonal elements of inverse mass matrix:
# 0.147594, 0.136129, 0.0162714, 0.105218, 0.0603262, 0.0772523, 0.0956458, 0.0622693, 0.119617, 0.0716819, 0.0510134, 0.05757, 0.0944886, 0.0588686, 0.0676104, 0.0540989, 0.0470109, 0.0501602, 0.0517674, 0.059208, 0.045788, 0.0550484, 0.0572521, 0.047096, 0.0546227, 0.052245, 0.0836488, 0.0533796, 0.0646535, 0.134454, 0.0983829, 0.0534471, 0.0856981, 0.0547609, 0.0458128
-3894.86,0.819575,0.0621373,6,63,0,3916.02,-0.218975,0.291069,1.06399,1.90479,-0.691861,1.1174,-1.74607,-1.01303,1.82272,-0.978491,0.191308,0.719649,1.63208,-1.40101,1.40343,-0.71765,0.385584,0.415574,-0.506868,-1.2698,-0.0157261,-0.346173,0.723017,0.546766,0.00449179,-0.363161,-1.02348,-0.270893,-1.1388,2.15084,1.5219,0.340689,1.06556,0.578441,-0.246949,2.31774,-0.445061,1.47997,-1.56672,-0.786779,2.23042,-0.750031,0.494618,1.05677,2.02757,-1.19958,1.7843,-0.4725,0.701325,0.733233,-0.248231,-1.05998,0.274337,-0.0772533,1.06035,0.87282,0.295848,-0.095329,-0.797895,0.00284255,-0.920595,2.57953,1.91035,0.653558,1.42481,0.906522,0.0283186,2.09876,-0.664037,1.26099,-1.7857,-1.00575,2.01144,-0.969006,0.275642,0.83779,1.8086,-1.41856,1.56533,-0.691475,0.482349,0.514258,-0.467206,-1.27896,0.0553612,-0.296229,0.841373,0.653844,0.0768728,-0.314304,-1.01687,-0.216133,-1.13957,2.36056,1.69137,0.434582,1.20583,0.687546,-0.190657,0.109217,0.660167,0.220803,0.856399,0.732188,0.118007,0.724921,0.431522,0.302,0.140808,0.805113,0.172884,0.666295,0.381697,0.374196,0.614722,0.782272,0.486163,0.57352,0.301246,0.342124,0.480791,0.577936,0.734363,0.553824,0.757601,0.0862304,0.155595,0.393033,0.230439,0.334579,0.54752
-3894.87,0.961528,0.0621373,6,63,0,3913.34,0.0223316,0.0486596,0.94828,1.79384,-0.388191,1.31908,-1.72205,-1.36666,2.00749,-1.63087,0.203047,0.810584,1.99073,-1.19624,1.13428,-0.503291,0.107451,0.265899,-0.652789,-0.851933,0.16432,-0.694902,0.592723,-0.360653,0.136052,-0.520604,-1.44495,-0.52923,-0.994242,2.23576,2.06329,0.255675,1.57606,0.540727,0.00200027,1.74972,-0.319454,1.29952,-1.58432,-1.24731,1.95232,-1.49786,0.241205,0.81732,1.93643,-1.08571,1.12427,-0.428601,0.150553,0.300806,-0.570367,-0.759212,0.204481,-0.610302,0.610727,-0.29334,0.177675,-0.445019,-1.32155,-0.453198,-0.89416,2.16878,2.00523,0.291111,1.5432,0.56142,0.0505564,1.77206,-0.297123,1.32185,-1.56199,-1.22498,1.97465,-1.47553,0.263537,0.839651,1.95876,-1.06338,1.14661,-0.40627,0.172885,0.323137,-0.548035,-0.73688,0.226813,-0.58797,0.633058,-0.271008,0.200006,-0.422687,-1.29922,-0.430867,-0.871829,2.19112,2.02757,0.313443,1.56554,0.583752,0.072888,0.145287,0.573739,0.210511,0.826639,0.772939,0.12189,0.813896,0.434495,0.301608,0.123601,0.743335,0.24111,0.600193,0.456886,0.419911,0.63368,0.676313,0.443539,0.642899,0.346817,0.56734,0.450164,0.604126,0.785704,0.606081,0.705126,0.100551,0.116339,0.422275,0.172854,0.35807,0.481786
-3896.02,0.987178,0.0621373,6,63,0,3907.08,-0.262446,0.315418,1.06673,1.74393,-0.498452,1.18479,-1.96087,-1.44927,2.15113,-1.62102,-0.0590942,0.86855,1.59605,-1.14104,0.95702,-0.427077,0.0572929,0.360191,-0.750001,-0.713262,-0.000875296,-0.687386,0.653168,-0.11598,0.217303,-0.923452,-1.67643,-0.442638,-0.875228,2.39756,1.89988,0.357635,1.55795,0.324919,-0.141005,2.17572,-0.216299,1.57927,-1.77631,-1.23057,2.6101,-1.41378,0.25238,1.24193,2.01798,-0.901769,1.3363,-0.14016,0.376534,0.699646,-0.484635,-0.445444,0.314484,-0.41784,1.01217,0.191698,0.547223,-0.66966,-1.47289,-0.156759,-0.618218,2.87298,2.34208,0.696919,1.97733,0.66202,0.165003,1.91328,-0.478745,1.31682,-2.03876,-1.49301,2.34765,-1.67623,-0.0100664,0.979484,1.75553,-1.16422,1.07386,-0.402606,0.114088,0.437199,-0.747081,-0.70789,0.0520377,-0.680287,0.749728,-0.0707489,0.284776,-0.932107,-1.73534,-0.419205,-0.880665,2.61054,2.07964,0.434473,1.71489,0.399574,-0.0974437,0.128613,0.617451,0.211347,0.884807,0.81653,0.0872526,0.842405,0.502517,0.272994,0.147351,0.762098,0.25467,0.599314,0.471509,0.392408,0.678542,0.669935,0.486994,0.663803,0.320881,0.51768,0.429283,0.717503,0.850094,0.603293,0.70696,0.0684635,0.111092,0.393059,0.152531,0.401415,0.524342
-3890.33,1,0.0621373,6,63,0,3908.81,0.61792,-0.487274,1.18175,1.52569,-0.764805,0.975467,-1.82417,-1.24989,1.73905,-1.33689,0.162257,0.410167,1.76237,-1.0179,1.35935,-0.406546,0.0593085,0.197932,-0.475247,-0.921446,0.0406951,-0.344883,0.604673,0.135572,-0.110101,-0.625067,-1.47477,-0.699469,-1.25515,1.93417,1.53403,0.299958,0.863646,0.764943,-0.337588,1.31571,-1.39108,0.665481,-2.64298,-1.96433,1.56785,-2.06714,-0.295528,-0.00256008,1.5954,-1.69017,1.11914,-0.967709,-0.417186,-0.253368,-1.0489,-1.57619,-0.439183,-0.894839,0.227297,-0.327063,-0.617386,-1.22595,-2.23008,-1.31387,-1.97055,1.79843,1.32557,-0.1328,0.533338,0.416695,-0.886217,1.93363,-0.773161,1.2834,-2.02506,-1.34641,2.18577,-1.44922,0.322392,0.61536,2.21332,-1.07225,1.73706,-0.349789,0.200733,0.364551,-0.430976,-0.958271,0.178737,-0.276919,0.845217,0.290857,0.000534093,-0.608026,-1.61216,-0.69595,-1.35263,2.41635,1.94349,0.48512,1.15126,1.03461,-0.268298,0.126349,0.684204,0.216972,0.883403,0.793542,0.101036,0.809878,0.420093,0.350838,0.0985608,0.745025,0.149687,0.586566,0.449984,0.409858,0.606107,0.722775,0.455434,0.568791,0.300437,0.427794,0.499866,0.64749,0.833711,0.667289,0.794559,0.0819344,0.125265,0.381044,0.240259,0.26219,0.566675
-3891.93,0.874349,0.0621373,6,63,0,3909.31,-0.139604,0.180777,1.39963,1.35054,-0.541845,0.969282,-1.42386,-0.756683,1.47311,-1.15273,0.204669,0.643626,1.06547,-1.26623,0.880869,-0.367299,0.308566,0.45883,-0.887322,-0.759951,0.0264189,-0.418247,0.442466,-0.103103,-0.20304,-0.434138,-0.978956,-0.032023,-0.661432,1.54846,1.04322,0.266389,1.01198,0.60464,-0.0321728,2.07104,-0.577604,1.53741,-1.81209,-0.878298,2.24258,-1.43262,0.467237,1.08161,1.67204,-1.59148,1.41367,-0.333305,0.612654,0.822968,-1.06114,-0.882871,0.217753,-0.404614,0.800065,0.0364706,-0.103404,-0.426855,-1.1894,0.135957,-0.744981,2.34804,1.64089,0.553622,1.59718,1.02705,0.135747,1.93143,-0.717207,1.39781,-1.95169,-1.0179,2.10298,-1.57222,0.327633,0.94201,1.53244,-1.73108,1.27406,-0.472908,0.47305,0.683364,-1.20075,-1.02247,0.0781499,-0.544217,0.660461,-0.103133,-0.243007,-0.566459,-1.329,-0.00364703,-0.884584,2.20844,1.50129,0.414018,1.45757,0.887444,-0.00385657,0.126592,0.671992,0.198164,0.875631,0.734564,0.108808,0.8281,0.418817,0.280495,0.177637,0.849551,0.218563,0.616072,0.383895,0.335511,0.768658,0.735454,0.480472,0.632793,0.340636,0.52576,0.560455,0.637946,0.790675,0.500912,0.707771,0.0989953,0.182233,0.397949,0.188839,0.291638,0.500964
-3892.99,0.99942,0.0621373,6,63,0,3910.45,-0.160128,0.0908222,1.03612,1.71568,-0.660324,1.20872,-2.00204,-0.648895,2.15622,-1.17708,0.0847477,1.11917,2.17243,-0.639147,1.51822,-0.703889,-0.0014534,0.698563,-0.337701,-1.03796,0.0538999,-0.482996,0.881269,0.147048,0.0116899,-0.393317,-1.24208,-0.239002,-0.961906,2.28423,1.81874,0.392365,1.60854,0.64161,-0.119257,1.86848,-0.593355,1.34321,-1.98354,-0.581513,2.32493,-1.12878,0.178631,1.25042,2.34173,-0.571413,1.66389,-0.638493,0.0893163,0.814619,-0.259078,-0.984629,0.146669,-0.409622,1.00393,0.243183,0.102934,-0.316703,-1.19613,-0.156813,-0.905831,2.45757,1.97526,0.49736,1.75747,0.755609,-0.0327423,1.70835,-0.753483,1.18308,-2.14367,-0.741641,2.1648,-1.28891,0.0185036,1.09029,2.1816,-0.731541,1.50376,-0.798621,-0.0708113,0.654492,-0.419205,-1.14476,-0.0134585,-0.569749,0.843798,0.0830549,-0.0571933,-0.476831,-1.35626,-0.316941,-1.06596,2.29744,1.81513,0.337233,1.59734,0.595482,-0.19287,0.153378,0.679937,0.234499,0.895076,0.677355,0.102956,0.783962,0.495374,0.251563,0.101415,0.675143,0.181866,0.689679,0.517695,0.341978,0.603293,0.758552,0.503365,0.638705,0.300735,0.479248,0.514294,0.616999,0.795151,0.578578,0.743828,0.091335,0.140019,0.416482,0.168353,0.355378,0.548069
